0.131378+0.00587521j 0.364346-0.0343961j -0.00566642-0.00601718j 0.00501807+0.0420311j 0.00401456-0.00497879j 0.0401403-0.00139904j 0.0105465-0.0194821j -0.0171773-0.0222655j 0.00448169+0.0036013j 0.0225153+0.0159718j 0.00727304+0.00218017j -0.00865141+0.00485278j -0.00429936-0.00404039j -0.00201892+0.00622183j 0.00564642-0.00387813j 0.00752085+0.00462793j 0.0100128+0.00951758j -0.00840288-0.00821764j -0.00109425-0.0060383j -0.00479295-0.00190898j -0.0049679-0.000558938j 0.00150742+0.00371454j -0.00519134+0.00145551j -0.0100588-0.00853295j -0.00192931-0.000622643j -0.000533602-0.00360046j -0.000768726+0.00239569j -0.000837785-0.000675613j 0.0026729+0.00129995j -0.00416551-0.000675517j 0.0044087+0.000969251j 0.0105132+0.00364108j -0.00138375+0.00024431j 0.000658081-0.00351369j 0.00823982+0.00429903j -0.00136239-0.00602252j -0.00939265-0.00577679j 0.00758832+0.00894695j 0.00288128+0.000322766j -0.00857245-0.00815762j 
-0.0115088+0.13301j 0.0268197+0.3663j 0.00735311-0.00325251j -0.0424148+0.00194124j 0.000761841+0.00566798j 0.00388514+0.0382828j 0.015207+0.0057521j 0.0197898-0.0132964j 0.00180765+0.00391932j -0.0136525+0.0203428j -0.00264012+0.00177968j -0.0051044-0.00893756j -0.00120366-0.00614473j -0.00697211-0.00715329j 0.00791118+0.00686607j -0.00425725+0.0112703j -0.00618512+0.00998962j 0.00802497-0.00704045j 0.00209736-0.000686991j 0.00212476-0.00230987j -0.00125493-0.0107892j -0.000898562+0.00210209j 0.000324759-0.00931872j 0.00657676-0.0118357j 0.00128833-0.00295232j 0.000548113-0.0059836j 0.00261594+0.00141088j 0.00116279-0.00129833j -0.00784336-0.000771642j -0.00106444+0.00279589j -0.000943808+0.00309899j -0.00334023+0.0146019j 0.00426878+0.00368262j -0.00139761+0.00248145j -0.00128508+0.00953416j 0.00204709-0.00740605j 0.00914479-0.0170556j 0.000377949+0.00324094j -0.00480555+0.00958509j 0.00645239-0.0076845j 
0.0247796-0.0678951j 0.0804114-0.206047j 0.00195582+0.00387985j -0.0134463+0.0175847j -0.00892923-0.00406218j -0.0184968-0.0197657j 0.00331364+0.019146j 0.0004664-0.0150242j -0.0219881+0.000771065j 0.000788631-0.000191304j 0.00605679-0.00182713j 0.0122729+0.00405979j 0.0145652+0.00912235j 0.0200702+0.00333811j 0.00527521+0.0151646j -0.00718748+0.0118747j -0.000386688+0.0067396j 0.00135322+0.00322166j 0.00125361+0.00339094j -0.0189271+0.00155173j 0.00403669-0.0135739j 0.00505339+0.00233426j -0.00709405-0.00518199j -0.00267417-0.004314j 0.00563286-0.00428524j -0.0105673-0.000468067j 0.0136895+0.00488793j 0.0060457-0.00397528j -0.00654604-0.00860119j -0.00598729+0.0155529j 0.00621932-0.00282629j 0.0141489+0.00284517j 0.00662242+0.00854183j -0.00682536-0.000400016j 0.0121189+0.00201024j 0.000934554-0.0113401j 0.00376957-0.0122358j 0.0177303-0.0060811j -0.0116545+0.0096638j 0.00145338+0.00131315j 
0.0592257+0.0646162j 0.185458+0.207376j -0.0020416+0.00695864j -0.0173102-0.0397443j 0.00695746-0.00614731j 0.0265976-0.0218299j -0.0169346+0.00136394j 0.0181341-0.00135239j 0.00118709-0.0195022j -0.00150418+0.00517798j 0.00356027+0.000950741j -0.00942388+0.00816422j 0.00996387+0.0112578j 0.00470873+0.0113085j 0.00113908+0.000962855j -0.00786426+0.0061524j 0.00491936+0.00357402j 0.00286131+0.000413139j -0.0020845+0.00113877j -0.00427441-0.013523j -0.0030907-0.000517253j 0.0148232-0.00549082j -0.0062002-0.00228171j -0.0110814-0.0024346j 0.0102624-0.00759176j -0.00298821+0.00731335j -0.001339-0.012432j -0.00252904-0.00178398j 0.00450389+3.59865e-05j 0.0104639+0.00915132j -0.0106594+0.004459j 0.0128624-0.00539105j 0.00310001+0.00580534j -0.00655537+0.00132095j 0.0019386-0.000746842j -0.0160886+0.00322059j -0.00892443-0.00379847j 0.0115036-0.000502946j 0.0024537-0.00182997j -0.00498094+0.00135481j 
0.022768+0.032065j 0.089268+0.095857j 0.000309844+0.00475688j -0.0307953-0.00492185j 0.00261019-0.00379779j -0.0179126+1.44039e-05j -0.0121834+0.00652162j -0.00707601-0.000546123j -0.0135259-0.00952887j 0.0141527+0.00291282j 0.00814292+0.00371151j -0.0125887-0.00612499j -0.00514582+0.0102866j -0.0109528+0.0079231j -0.00334076-0.00802506j 0.00142621-0.00973768j 0.00492019+0.00196663j 0.0116419+0.00336506j -0.00413425-0.00135932j -0.00735114-0.00591249j -0.00817743+0.00591254j -0.0157628+0.00836236j 0.00367222+0.000271863j -0.00304886-0.00706341j -0.0214467+0.0022301j -0.00676184-0.0034243j 0.0108108-0.00304047j 0.00157036-0.000133588j 0.00841975-0.0119559j 0.00202707+0.00351159j 0.0231545+0.0037973j -0.00288582+0.00121502j 0.00595701-0.0167831j -0.000783572-0.00921172j 0.0149064+0.0099031j 0.00404858-0.00202199j -0.00714639-0.00371261j -0.00823761+0.00821834j 0.00632228-0.00295022j 0.0008421-0.00369765j 
0.049147-0.0132384j 0.142469-0.0376027j -0.00478174+0.00391844j -0.00306217-0.0157307j 0.00351194+0.00535268j 0.00742509-0.00943871j -0.00414311-0.00852017j -0.0135051+0.0118722j 0.0049065+0.012995j 0.0107879-0.0191611j -0.0101744-0.0217094j -0.024147+0.0256366j 0.00301112-0.00706408j -0.00615948-0.0116429j 0.0040743-0.00365469j -0.00522998+0.00847154j 0.00146165-0.0150543j 0.00347347-0.00372697j -0.00759879+0.00381233j -4.36585e-05+0.0127254j -0.00413303-0.000282209j -0.00096983-0.0052783j 0.00904853-0.00706084j -0.00229936+0.00932328j -0.00863033+0.00223988j -0.000523187-0.0258042j -0.000580201+0.00755078j -0.000931607+0.00731985j -0.0164691-0.00626945j 6.85768e-05-0.00412564j 0.00558048+0.00166713j -0.0108168+0.0125074j 0.00776558+0.000306464j -0.0022495+0.00815133j 0.00323666+0.00444274j -9.41311e-05-0.00108917j 0.00314152-0.00563592j 0.00746608-0.014608j -0.00551453+0.0114182j -0.0015488+0.00608165j 
-0.010544-0.0207983j -0.0305589-0.0298088j -0.000979361+0.00405034j 0.000811382-0.015031j 0.00183923-0.00546935j -0.00461293-0.0205903j 0.0139923-0.0114107j -0.00526301-0.0207239j 0.00851803+0.0115973j -0.0078095+0.00997009j -0.0236775+0.00128929j -0.00416645-0.00186953j 0.0101025-0.00964979j -0.00593005-0.0201083j 4.75784e-05+0.00184306j -0.0111381-0.00911715j -0.00859431-0.00716135j 0.00858387+0.0124703j -0.000453251-0.0101855j 0.0036171+0.000963946j 0.003495+0.000857902j -0.00569292-0.00691061j 0.0086141+0.00506072j 0.00371267-0.00276922j -0.00412566-0.00908216j -0.021591-0.00158686j 0.00399291-0.00264418j 0.00526429-0.00108752j 0.0126242-0.00776339j -0.0022611+0.000416516j 0.00569761+0.00763465j 0.00470374-0.0105739j 0.00224719-0.000765522j -0.00120572-0.00747109j 0.00753001+0.00879025j -0.00498068-0.00515524j -0.00261509+0.00280914j -0.00148662+0.00607328j 0.00443676-0.00253252j 0.000184112-0.00289748j 
-0.0670421+0.000842799j -0.242394+0.00126979j -0.000501243-0.00728225j 0.0537232-0.00128148j -0.00222559+0.00913793j -0.000941495+0.00437318j 0.00132539+0.00279563j 0.000215865+0.000599742j -0.00521292-0.00578026j -0.000304638+0.0038976j 0.00639179+0.0174472j -0.0224104-0.00576061j 0.00739077+0.0139491j -0.00836788+0.00620657j 0.00889035+0.00599475j -0.0205662+0.00738789j -0.00725605+0.0040246j 0.0159026-0.00010756j -0.00273867+0.00178079j 0.0116853-0.00255054j -0.00613158-0.00817307j 0.0042148-0.00121569j 0.0125163-0.00298677j 0.00636194-0.000576205j 0.00215716-0.00568305j -0.015077+4.00815e-05j 0.000682347+0.00198164j 0.00320583-0.000455518j -0.00313893-0.00330772j 0.00159945+0.00395636j -0.00369252+0.00513724j -0.00412513+0.00362267j 0.00996578+0.00253904j -0.00274864+0.00306814j -0.00367527+0.00315785j -0.00713742-0.000249692j 0.00371969-0.00872079j 0.00232282-0.00690852j -0.000360105+0.00654706j 0.0017971+0.000774288j 
-0.0115156+0.0115809j -0.029613+0.0331785j 0.00723725-0.00168387j -0.000881883+0.0149461j -0.00433418+0.00268468j -0.00455702+0.0281507j 0.0152565+0.0116468j 0.00284285+0.0045481j -0.00871916+0.0224048j -0.00262384-0.011564j 0.0058754-0.0163473j -0.0133396+0.0192112j 0.00983443+0.00182911j 0.00621037+0.00384355j -0.00318955-0.00188474j -0.00391438-0.00676762j 0.00597055-0.00720724j 0.00310782-0.00417749j 0.00511855-0.00803551j 0.00632396-0.00640272j 0.00066467+0.00925004j 0.00928164-0.00915123j 0.0132317-0.000809371j 0.00607452-0.00595009j 0.00258015-0.00131743j -0.0210498+0.00105742j -0.00478576+0.000178916j 0.00527425+3.9205e-05j 0.0172977-0.0016168j 0.000855372-0.00629601j -0.00279405+0.0049663j 0.00701286-0.00278598j -0.00321062+0.00194772j -0.00394297-0.00521231j 7.51804e-05+0.00545966j -0.00658333-0.00109297j -0.00381941+0.00384379j -4.48794e-05+0.0138891j 0.00350392-0.00818903j -0.00143436-0.00516792j 
-0.0512138-0.0250629j -0.142684-0.0316183j 0.00019439+0.0112044j 0.00450093-0.0221064j 0.00106826-0.00755169j -0.003379+0.00416169j 0.00156085-0.0103317j 0.00105155+0.0135491j 0.0162793+0.00553378j -0.00986214-0.00197769j 0.0127131+0.0115906j 0.0279888+0.0129495j 0.00485366-0.0130441j 0.0143144+0.0152356j 0.0107509-0.000439321j 0.00465822+0.0185211j 0.00597906+0.0232488j 0.00340878-0.00488662j -0.00241978-0.00871863j 0.00801526+0.0141135j -0.00921107-0.00653272j 0.000154804+0.00716278j 0.00669299+0.0152898j 0.00124931+0.00232553j -0.00118688-0.00173512j 0.000904532-0.0243664j -0.00485065-0.00571202j -0.00168463+0.00422504j 0.00580522-0.00977248j 0.00301956+0.00335833j -0.00149928+0.00118289j -0.0090888-0.00069542j 0.00214035-0.000954301j -0.00515844-0.0106424j -0.00498446+0.00382763j -0.00131085-0.0114928j 0.00690026-0.00124201j -0.00340177+0.00842868j 0.000654452+0.000304167j 0.00186991-0.00432344j 
0.0194533-0.03486j 0.0891876-0.0981253j 0.0038044+0.00949021j -0.0320713+0.00323392j -0.00590588-0.00955j -0.0233079+0.00122572j -0.0124315-0.0058617j -0.0216369+0.0114581j 0.00145241-0.00151524j 0.0142279-0.000788494j 0.0046405+0.0145311j -0.0158638+0.00724724j -0.00400272-0.0160134j -0.0129781-0.00608134j 0.0029908+0.00277584j -0.00106711+0.00817623j -0.0022991+0.00364906j 0.000854806-0.00237912j 0.00371828+0.000421751j 0.00796844-0.000132131j 0.00447898-0.00491504j 0.0135168-0.00772978j 0.00471685+0.00259223j 0.00708711+0.00381606j 0.0095596-0.00483138j -0.00697988+0.00345172j -0.0105879+0.00390322j 0.00196345+0.00080982j 0.00323263+0.0139225j -0.00306346-0.00333514j -0.013668+0.00191213j 0.00556149-0.00335588j -0.00422131+0.0154492j 0.000480465+0.00018806j -0.00489512-0.00576248j -0.00595076+0.00219235j 0.00261104+0.00545705j 0.00368271+0.000992136j -0.00106396-0.00327034j -0.00132317+0.000620037j 
