-0.0380939+0.00135023j 0.0027777+0.00532778j -0.00283606-0.00355498j -0.00053769-0.00567721j -0.000114313-0.00156923j -0.00147347-0.00412493j -0.00147579-0.000757928j 0.000751879+0.000288063j 0.0019187+0.00264124j -0.000885649-0.00188148j 3.4566e-05-0.000375845j 0.000374136+0.000153157j -0.000256945+0.000291533j 0.000375488+0.00226276j -0.000217069+3.73761e-05j -0.000940054-0.000541986j -0.00029673+0.000530046j 0.000185365+0.000286774j -6.87396e-05-0.000431927j -0.000193904+0.00191682j -0.000284861-0.000913974j -4.76873e-05-0.00104194j 0.000247489-0.000620434j -0.000175404-0.00111282j -0.000100291+0.00401419j 0.000189943+0.00207574j -0.00106426+0.00214276j -0.000272242-0.000517128j 0.000443359-0.000353385j -0.00063453-0.000364539j -0.000800524+0.000936328j -0.000180869+8.57819e-05j 0.000349556-0.000249676j 0.000520231-0.000396827j 7.72213e-05-8.78973e-05j -8.06939e-05+3.06265e-05j -0.000202659-0.000313335j 0.000155996-0.000139545j -9.25946e-07+1.94185e-05j 0.000191326+0.000142238j -0.000507509-0.000975139j 0.0012664-0.000434096j 0.00158096+0.000222746j -0.000362178-0.000621815j -0.000152273-0.000124493j 0.000460151+7.63619e-05j -3.32196e-05+0.000103929j -0.000414161-0.0007618j 6.59479e-05+0.000213748j -0.000518218+0.000458407j 0.00025633+0.000188244j 5.34676e-05-1.05576e-05j 
-0.00666826-0.00217929j -0.00816264-0.0152731j -0.00508503-0.00856643j -0.00438257+0.024758j 0.00168793+0.0138293j -0.00270385+0.0184468j -0.00252206+0.0069474j 0.00143496+0.00254982j -0.000492497+0.00182855j 0.00343779-0.00197397j -0.00339647+0.002629j -0.000724674-0.000775021j -0.00264359+0.000108316j 0.00288904+0.00116904j 0.0048871-0.00154516j 0.00469841-0.00206864j 0.00288044-2.05358e-05j -0.000714407-0.000777787j -0.000978408-0.000895947j -0.0021543-0.000106907j 0.00153866-0.00153732j 0.000721942-0.000855607j 0.000987079+0.000576467j -0.000372935-0.00136024j 0.00301411-0.00250962j 0.0023641-0.000155222j 0.00699518-0.000928131j 0.000434201+0.00129342j -0.0010138+0.000353635j 0.000987899+5.82493e-05j 0.00103189-0.00101914j 0.00150968-0.00160455j -0.000587144+0.00050246j -0.000731631+0.000687067j -0.000516633-0.0002451j -0.000311092-2.39744e-05j 0.000380146+0.000691732j -0.000709715-0.000273653j -0.000571615-0.000257501j 0.0010533-0.000129156j 0.000494639+0.00198584j -0.000996206-0.000448801j -0.00153695-0.00164786j 0.000178044+0.00190971j 0.000503536+0.000557334j -0.000764206+0.000148154j 0.000117879+5.32317e-05j 0.000207864+0.00174935j 0.000167695+7.13796e-05j 0.00133371-0.0012468j -0.000701483-0.000594886j -0.000179938+0.000140122j 
0.0013469+0.00063602j 0.0238596+0.000412791j 0.00710726-0.017912j 0.0141532+0.00014357j 0.00836666-0.00210433j 0.00451046+0.0144641j -0.00491173-0.00610936j -0.00115844+0.000995737j -0.000185143-0.00209343j -0.00130682-0.00229375j -0.0037516+0.000871484j -0.000792537+0.000263234j 0.00075366+0.00250696j -0.00165195-0.00139912j -0.000202063-0.000401799j 0.000528606-0.00106844j -0.000359716-0.00167965j 0.00105812+0.00295995j 0.000329974+0.000617131j -0.00139794+0.0030564j 0.000430419+0.00277985j 0.00257136+0.000143242j 0.000768591-0.00121248j 0.00208787+0.00203844j 0.00111855+0.0007842j 0.000404495-0.00341497j 0.00342121+0.00383312j -0.0026596+0.00072591j -0.00022393-0.000330944j 0.000268492-0.000411959j 0.000176782+7.17387e-05j -0.000808926+0.00357589j -0.000396798-0.000659932j -7.73415e-05-0.00116215j -0.000363735-0.000833894j 0.000209521-3.07075e-05j -0.000730011-0.000188912j -0.000476021-0.00116383j -0.000581575-0.000311346j 0.000495438+0.00025841j -0.000331367-0.000820049j -0.000133388+0.000887354j 0.000184937-0.00345728j -0.0039125-5.19049e-05j -0.0016786+4.55727e-05j -0.000242119-0.000144778j 2.56658e-05+3.96221e-05j -0.000700883-0.000113118j -0.00054901-0.00143163j 0.00104289+0.00171969j 0.0016962-0.000697457j 0.000117655-0.000533323j 
0.000711284-5.05313e-05j -0.00106238-0.000551903j -0.00854151-0.000882034j 0.023003+0.000370609j -0.0274418+0.000578781j -0.0144942+0.00158446j 6.55925e-05-0.000310782j 0.00174276+0.000326795j -0.000930026-0.00179139j -0.00073787-0.00067378j -0.000924783+0.000996793j -0.000186568+0.00166748j 0.000518535+0.00270719j 0.000903623+0.00168709j 8.96943e-06-0.000982941j 0.000125082-0.00103107j 0.00111+0.00102995j -0.00138994-0.00376742j -0.000129519+0.00011596j -0.000464886+2.03645e-05j 0.00125978+0.00194393j 0.00103951+0.0039091j -0.000177402-0.000113833j 0.000777769+0.00075309j 0.000558883+0.00136171j 0.000137997+0.00121872j -0.000377335-0.000162085j -0.000255449+9.7807e-05j 5.41078e-05-0.000100678j -2.22551e-05-0.000161529j 0.000109902+2.57792e-05j -5.10528e-05+0.000320908j -0.000485796-0.00168838j 0.000168522+0.000849879j -0.00026974+6.96372e-05j 9.5347e-05+0.00068422j -9.62789e-06+0.000269386j 0.000694451+0.00103689j 0.000593523-0.00147381j -0.000180149+0.00118156j 0.000124949-0.000119612j 9.10173e-05+1.05014e-06j 7.76465e-05-0.000163876j -0.000277108+7.00105e-06j -0.000154474+7.78493e-06j -4.18296e-05+4.32303e-06j -0.000147094-1.06437e-05j -4.98041e-05+3.67969e-05j -5.68744e-05-0.00014133j 0.000120903+0.000136506j 0.000157173-9.00515e-05j 7.42576e-06-5.21558e-05j 
0.00390766+0.0017233j -0.011715+0.0141648j -0.00656659-0.0242647j -0.00915864-0.0109885j -0.00174457-0.01078j -0.00418886+0.0157546j 0.00646869+0.00349245j 0.00523192-0.00396941j 7.25589e-05-0.00255872j -0.0028461+0.00247696j -0.00280021+0.000630568j -0.000796209+2.45091e-05j -0.000175002-0.00119246j -0.00485953+0.00284345j -0.000589385-0.000182168j -0.00229125+0.000261378j -0.00149069+0.00075748j -0.000414623-0.000538071j -0.000536255+0.000240194j -0.00440138+0.00170553j -0.001601-0.000767767j 0.0023558-0.00128653j 0.0026462+8.97485e-05j 2.65194e-05-0.00206471j -0.00194668-0.00134497j 0.00386817+0.000546106j -0.00218518+0.000957649j 0.000481677-0.00157831j -9.80498e-05-0.000947062j -0.00113841+0.000225161j -0.00119738+0.000652959j -0.000833024-0.00109448j -5.77717e-05+7.18704e-05j 0.000635809+0.000293566j -0.000111886-0.000499285j 0.000279894+3.27505e-05j 0.000460088-0.000281949j -0.000236084-0.000482882j -0.000348304-0.000719182j 0.000232536-0.00120006j -0.000208121-0.00134447j 0.000358422-0.000258146j 0.00182453+0.00162899j 0.00134336-0.00127594j 0.00056274-0.000209884j 0.000739755-9.2991e-05j -2.33832e-05-1.42939e-05j 0.000213827-0.00117804j 0.000410443+0.000730634j -0.00158675-4.34126e-05j -0.000462055+0.000770071j 8.33097e-05+0.000212341j 
-0.000146304-0.000107881j 0.00747996+0.00521468j 0.00313409+0.000713679j 0.0054418+0.000693557j 0.00127054-0.00105541j 0.00131037+0.00145068j 0.00191184+0.0172889j -0.00322345-0.010066j 0.00332263+0.00627681j 0.00362206+0.0101673j 0.00132798+0.00219176j -0.000602274-0.00394164j 0.00150051-0.00533238j -0.00117021+0.00682934j 0.000935618-0.00191073j 0.00113141+0.00587115j 4.3119e-05+0.0131008j -0.00188678-0.00919191j 0.000448925-0.000921144j -1.31657e-05-0.0109381j 0.00185722-0.0143633j 0.00063282-0.00114688j 0.00101363-0.00414317j 0.00132277-0.00491377j 0.00113186-0.0037415j -0.00650036+0.00356547j 0.00193838-0.000512357j -0.00647623+0.000876334j 0.00135359+0.000969531j -0.00195574+0.00151043j -0.000298495-0.00114471j 0.00897076-0.00869456j -0.00142707+7.42453e-05j -0.00393196+0.000612235j -0.000684877+0.000102384j 0.000851588+4.4547e-05j 0.000850004-0.00276863j -0.00302836+0.000763252j 0.00106963+0.000473507j 0.000590782+0.000711024j -0.000749349+0.000758962j 0.00139843-0.000427694j -0.00180748+0.00358643j 0.00594706+0.0012853j 0.00464536+0.000308795j 0.000128813-0.000319956j -0.000128304-0.000275678j 0.000811037+0.000338672j -0.000183584+0.00466974j -0.000208556-0.00422097j -0.00418119+0.00139996j -0.000870828+0.0016277j 
-0.00033082+0.000413145j -0.00222558-0.00207681j -0.000822013-0.000634809j -0.00164059+0.000157397j -0.000324728+0.000167328j -0.000296884+0.00153772j -0.00100971-0.00505053j 0.00117371+0.00156019j -0.000895164-0.00467602j 0.00400488+0.000938544j -0.000487329+0.00104038j 0.00159675+0.00958104j 0.00210149+0.00749532j -0.00216734-0.0228268j -0.000335854-0.00975136j 0.000372003+0.00627714j 0.000857348+0.0169926j 0.00011285-0.00182749j 0.000794585+0.00726787j -0.000961639-0.00151865j 0.00105937-0.0119504j -0.000369626-0.00476636j 0.0026172-0.0141191j -0.00193731+0.00363627j -0.00376365+0.0121583j -0.00214091+0.0020371j -0.00198458-0.000116275j 0.00208+8.03174e-05j -0.000493625-0.000497407j -0.00064542-0.000885997j 0.00158954-0.000352967j -0.00340157+0.00324371j 0.00179503+0.000220747j -0.00180996+0.00163981j 0.00145843-0.000333759j 0.00464536-0.00214344j 0.000154757+0.00137179j -0.0025107+0.00102058j 0.00293933-0.00115905j -0.00409801+0.000996929j 0.0027816+0.000121496j 0.00163829+0.00233904j -6.93017e-05+0.000671137j -0.00152072-0.000493661j -0.0014649-6.53272e-06j -0.000383286+0.000487352j -0.000634351-0.000926532j 0.000465272-0.000310379j -0.000325896-0.00142474j -0.000170211+0.00102335j 0.0012247-0.000409267j 0.000260808-0.000507326j 
-0.000210558+0.000331258j 0.000340514+0.000144263j 0.000207845+0.00164178j 0.000391348+0.000307793j -0.000187999-2.14918e-05j 6.83653e-05-0.000265656j 0.000381395+0.0030213j -0.00221148+0.000288542j -0.00364458-0.0102151j 0.000829246-0.00252861j 0.000372968+0.00317487j -0.00158959-0.0265588j -0.00120202+0.00461511j -0.000895357-0.0084188j 0.000252474+0.00223048j -0.000670283-0.00441645j -0.000588777+0.0173151j 0.000470872+0.00107441j 0.000406417-0.00290376j -0.000554824+0.0125493j -0.000261559+0.00652951j -0.000375645-0.00361851j -0.000806064+0.010933j 0.00431933-0.0121968j -0.00107119+0.0022951j 0.00190629-0.00076775j 0.000220158+0.00294596j -0.000284385+3.79686e-05j 0.000184688+0.000912976j -0.00157978-0.000738427j 0.00105279-0.000649945j 5.49504e-05-0.000397705j -0.00433447+0.00175375j 7.48212e-05-4.55089e-05j 0.000294624-0.000309703j 0.0059245-0.00205874j 0.00129471-0.00133797j 0.000883388+5.13144e-05j -0.00132335+4.29675e-05j -0.000490737+0.00119761j 0.001617-0.000517982j 0.0012447+0.00123024j 0.00044463+0.000734976j 0.000471581-0.000162857j 0.000328159-3.46447e-05j -0.000199543+0.000225441j -0.000539723-0.000715219j 0.000515517-0.000211722j -0.000189865+0.000350251j -0.000271362-0.000422269j -0.00032362+0.000184384j -5.21309e-05+0.000127681j 
-0.00182726+0.00162249j 0.00196864-0.00263363j 0.00553659-0.00167522j -0.00101567+0.00366443j -0.0058706+0.00201674j 0.00483335+0.00579112j 0.00440455-0.00148866j -0.00350223+0.00506455j -0.000201103-0.00258095j 0.00505291-0.00684538j 0.00672015-0.0044213j 0.00138712+0.000475809j -0.00102085-0.00362431j -0.00795458+0.00433556j -0.0098528-0.00188463j -0.00443524-0.00198114j -0.00925871+0.00129902j -0.00733499+0.00282486j 0.00674721-0.00285692j 0.00580005-0.0012151j -0.000352343-0.00305837j -0.00620176+0.00194713j 0.0077967-6.99412e-05j 0.000336523+0.00142299j -0.00449276-0.00066144j -0.00793971+0.000958167j -0.012313-0.00895272j 0.00160733-0.00106588j 0.000589207+0.000684938j 0.000350782-0.000111671j -0.00277587-0.00166401j -0.0017137-0.000276854j 0.000276651+0.000348489j 0.00102829+0.00155353j 0.000634716+0.000943708j -0.000110123+0.00021282j 0.000572322+0.00168822j 0.00150439+0.00202436j 0.000345784+0.00102022j -0.00209055-0.00336564j 0.000663967+0.000552286j 0.00151236+0.00188654j -0.000505887+0.00678905j 0.00388815-0.00105449j 0.000596951-0.000474587j 0.00081605+0.000334165j -6.97577e-05-0.000225881j 0.00125045-0.00116024j -5.30632e-05+0.000603454j -0.0032074-0.00127676j -0.000391388+0.00145753j 0.000295766+0.000319369j 
0.000821384+4.44186e-05j 0.00242631-0.00473458j -0.00153282-0.000888161j 0.0014968+0.0038952j 0.00250811+0.00442364j -0.000406445-0.00281306j 0.00410879-0.00290895j -0.000316291+0.00185896j -0.00325933+0.001032j -0.00850693+0.00281051j -0.00819741+0.00114188j 0.0024-0.00206487j 0.000213125+0.000891206j -0.00120848+0.00544969j -0.00851618+0.00634999j -0.00671812+0.00550201j -0.00202513+0.00620094j 0.00481858+0.00145604j -0.00660002+0.000295123j 0.00392239-0.00446921j 2.17146e-05-0.00340564j 0.00774+0.000635036j -0.00760145-0.00472839j -0.00375902-0.00119868j -0.00134455-0.00140394j 0.0177271+0.00838535j -0.00525942+0.00523705j -0.00281908-0.00338381j 0.00115294+0.00159352j -0.00187946-0.000157803j -0.00232021+0.000718963j -0.00244198-0.000728807j 0.00111809+0.000754236j 0.000873201-0.000276603j 0.00108643+0.000732418j 0.000158956-0.000231811j 0.000441892-0.00205825j 0.000930159+0.000647011j -0.00021121-0.00253682j -0.00127878+0.00030554j -0.00186534-0.00248556j 0.00132461-0.00186822j 0.00529162+0.00284174j 5.18558e-05-0.00380384j -0.000398868-0.0010832j 0.00117179-0.000883811j -0.000254025+0.000177586j -0.00122056-0.00160995j 0.000768925+0.000157664j -0.00272682+0.00143392j 0.00138463+0.00145966j 0.000486299+1.22075e-05j 
-0.000227729-8.23955e-05j 1.45689e-06-0.00184784j -0.00679603+0.000157085j 0.00263319-3.46016e-05j 0.00734945+0.000252789j -0.00866643+5.84983e-05j -0.000310515-0.00327842j -0.00366502-0.000625441j 0.00134647-7.53634e-05j 0.00277323+0.00511994j -0.00744214+0.00468639j 0.00177523+0.000530455j 0.0151165+0.00153919j -0.00153449+0.00150386j 0.00817984+0.00605883j 0.00630301+0.00584908j -0.00153956+0.00156406j 0.00605678+0.00105766j 0.0111539+0.00275739j 0.00453244+0.000644557j 7.9149e-05-0.0015316j -0.00122645-0.00033347j -0.0062373+0.00640965j -0.0109608-0.00148891j -0.0138332-0.00442756j 0.00344108-0.00844453j -0.0033873-0.000954746j -0.00239322-0.000194868j 0.000996862-0.000256572j -0.000135636+0.00212983j -0.000600649+0.00046187j -0.000433151+0.00145711j -0.000351568-0.00128789j 6.18354e-05-0.000615261j 0.00023062-0.000620767j -0.000495042+8.20261e-05j -0.00102937-0.000632856j 0.000526847+0.000350082j -0.000694243+0.00136825j -0.000158849-0.00171146j -0.00191596+0.00138539j -0.000128028+0.00123049j -6.79718e-05-0.000924795j 0.000208332+0.000139075j -0.000286269+0.000133077j -0.000139159-0.00074898j 0.000215659-3.62597e-05j -0.000327609+0.00034504j -0.000374263-0.000432524j -0.000517427+0.000636593j 0.000333146-0.000205094j 1.35393e-06-0.000145094j 
