-0.020778+0.0013427j -0.030134+0.00182576j 0.00497618+0.00555181j -0.00333961+0.00172437j 0.000334283+0.00170453j 0.00161848+0.00312409j 0.000209744+0.00180623j -0.000826399+0.00240828j -0.00240875-0.0059971j -0.0014004+0.00057897j -0.00158591-0.00381164j 4.81944e-05-0.00193172j -0.000583996+0.000687479j 0.000614518+0.000806377j 0.0001331+0.00423925j -0.00105041-0.0054304j 0.0020734+0.00220511j 0.000755188-0.000805786j 0.00171265+0.00180864j 0.000377419-0.000694541j 8.34316e-05-6.02198e-05j -2.89167e-05+0.000894358j -0.000617457-0.00077412j -0.000124286-0.00101372j 0.000271646-0.001409j 6.77022e-06-0.00108327j 0.000689757+0.00140706j 0.000309422-4.66209e-05j -0.000341144+0.00122365j -0.000496891-0.000918683j -0.000678166-0.0016376j -0.0008317+0.000431022j 0.000178717+0.000213278j 0.000491925+0.000171184j -7.14298e-06+0.000845514j -0.000271795-0.000780722j -6.41288e-05-0.00164611j -4.65077e-05+0.000586759j -2.6363e-05+0.00249738j 0.000250322+0.000643304j 4.29807e-05-0.00308568j 0.00239033-0.00183646j 0.000201101+0.000745298j 0.000604224-0.000310486j 0.00091477+0.000376813j -0.000957257+0.00106452j 0.000477836-0.00032322j -7.7579e-05-2.52946e-05j -0.000313108+0.000169219j 0.000510331-2.54671e-05j -3.57831e-05+2.58404e-05j 0.000316504+0.000148726j -0.000436293+0.00111855j 0.000121126-0.000568609j -0.00114787+0.000152717j 0.000389184-0.00033115j 0.000325197-0.00019864j 0.00105698+0.00104497j 0.000687137-0.0010213j 0.0025914+0.000690201j -0.000110407-0.00106201j -0.000250239-0.000535438j 0.000844988+9.88951e-06j -0.00014131+2.16999e-05j -8.8e-05-0.000152219j -0.000456964-0.000625322j 0.000555477+0.00132503j 0.00127091-0.000656409j 0.000342662+0.000635584j -0.00020592-3.51482e-05j 
0.0298601-0.00194709j -0.0226835+0.00025278j -0.000323358-0.00338208j 0.00648339+0.0068316j 0.000481265-0.00446612j 0.000310564+0.000654466j 0.000367654+0.000930245j -0.00134024-0.00401945j 0.000199118+0.000644876j -0.00132377-0.0015732j -0.000955221-0.0012977j 0.0002399-0.00186169j 0.000657269-0.00017412j 0.000608821+0.00149235j 0.000194887-0.00112825j -0.000791725-0.00348138j -0.00167084+0.000386929j 0.000618566+0.00024289j -0.0011643-0.000695459j 0.000354084-2.09259e-05j 8.33523e-05+0.000550632j -0.000141616-0.000524619j -0.000747635+5.45601e-05j 0.00034033-0.00107667j -0.000534662-0.000232798j -0.0008702+0.00125919j -0.000421699-0.000121583j -0.000245206+3.01671e-05j -0.000597671-0.00121414j 8.80574e-05+0.00129947j 0.000187335+0.00168779j -0.000168452+0.000527693j -1.36799e-05-0.00146093j -4.22796e-05-0.000833522j 0.000186092+0.00109151j -0.000242433+0.00125035j -0.000383211+0.000588502j 0.000403837+0.0007618j 9.68967e-05-0.00214854j -0.000425322+5.3396e-05j 0.00139886-0.000663481j 0.000895369+0.0019587j -0.000724136-0.000413685j 2.93017e-05+0.000402121j -0.000745895-0.000212139j 0.000582122-0.00060942j -0.000451475+0.000456003j 0.000187098+5.93509e-05j 0.000143907-0.000136192j -0.000222781+0.000190997j -6.07766e-05+1.98091e-05j -0.00031615+4.96154e-05j 0.000352965-0.000679486j -0.000150793+0.000676828j -0.00108053-0.000558973j 9.93746e-05-0.000138065j 0.000175382+3.84488e-06j -0.000821025-0.000859854j -0.000131764+0.000528041j -0.00139604+0.000671254j 0.000924314+0.000522516j 0.000569065+0.00017042j -0.000456945+7.05194e-05j 9.13103e-05-3.3663e-05j 5.10899e-05+7.72433e-05j 0.000400485+0.000493472j -0.000525612-0.000630058j -0.000528814+0.000708324j -0.000484107-0.000286408j 0.000154305-7.79848e-05j 
0.00691747+0.00250932j 0.00735923+0.00279087j 0.00375707+0.0139169j 0.00333503+0.00698293j -0.00424278+0.003642j -0.00161499+0.00221444j 0.00239934+0.00570049j 0.00142622+0.0137419j -0.00228492-0.0177651j 0.000164631+0.00455188j 0.000146857-0.00969624j 0.00124728-0.00199867j 0.000661282+0.00415701j -0.00200495-0.00713106j -0.00418203+0.0140016j -7.77946e-06-0.00494167j -0.00474399+0.0077425j -0.00224318-0.00387195j 0.00161642-0.00349686j 0.00329964-0.00356844j 0.00155706+0.00188637j 0.000755543+0.00109078j 0.00441207+0.000311528j 0.00230538-0.000635595j 0.00602547-0.00112269j 0.00250618-0.00291696j 0.00202897-0.00201915j -0.00201533-0.00036782j -0.00544904+0.00150076j -0.000883483+0.000843025j -0.00273579+0.00155518j -0.00279958+0.0015648j 0.00108794-0.00136079j 0.00232796+0.00013707j -0.000852186+0.000476403j 0.00233268-0.00136013j 0.00207898-0.00147864j -0.000682752+6.3867e-06j -0.00408085+0.000877122j -0.000347639+0.000312701j 0.00252776-0.00279315j 0.00945762-5.51171e-05j -0.000620036+0.00222985j 0.000639455-0.000164992j 0.000227241+0.000182937j -0.00191263+0.00121645j 0.00207543-0.00169253j 0.000258139+0.000330597j -0.000825352+0.000223447j 0.00131914-0.00026191j 3.91671e-05-1.52257e-05j 6.12526e-05+0.000390582j -0.00146288+0.000901865j 0.000542105-0.000766566j -0.00184824-0.00039965j 0.00185497+0.000591466j 0.00117214+0.00033539j 0.000186842+0.00205627j 0.000926472-0.000647116j 0.00292044+0.00421768j 0.00149146-0.00291801j 5.72032e-05-0.0015277j 0.00127332-0.000172554j -0.000222681+1.89972e-05j -3.69573e-05-0.000367739j 2.78166e-05-0.00186452j -0.00056066+0.00264648j 0.00344961-0.00107079j 0.000229395+0.0019936j -0.000568068-7.5586e-05j 
0.00477173+0.00243743j -0.00195073-0.000260052j 0.0112445+0.00366058j 0.00230007-0.00783674j -0.00391007+0.0120009j -0.00273603+0.00734047j 0.00202193-0.0103562j -0.00047558+0.00261519j 0.00361434-0.00629181j 0.00107062-0.00383607j 0.00366846+0.00260842j 0.000281728+0.0143381j -0.005338-0.0135686j 0.00205984+0.0157425j -0.00622775-0.00136989j -0.00502021+0.0142119j 0.00200184+0.00340577j -9.59498e-05-0.000971763j 0.00325222-0.00216769j 0.000644754+0.000933067j 0.00677915-6.30907e-06j 0.0015245+0.00143484j 2.78002e-05+0.00447611j 0.00124325+5.94128e-05j 0.00231476+0.00161454j -0.000502754-0.00324807j 0.00295975-0.00118799j 0.00181333-0.00370231j 0.0027355-0.00249324j 0.000266955-0.000339214j -0.000188283+0.000490254j -0.000667786-0.00019322j -0.00340244+0.00071878j -0.00135897+0.000894846j 0.00188537-0.000762261j -0.00365947+8.42796e-05j -0.00252432-0.000523392j 0.00130305-0.000538848j -0.00178238+0.0010098j -0.000399905-0.00151944j -0.00721058+0.00042128j -0.00272147-0.00420184j 0.00163559+0.00103969j -8.4674e-05+0.000405951j 0.00100786+0.000452317j 0.000125339+9.46487e-05j 0.00194366-0.00307509j -0.00039151+0.000341285j -0.000540684+0.000755724j 0.000898899-0.00110548j -1.49135e-05-8.20463e-05j 0.000424302+0.000454478j 0.000702096+0.000796837j 0.000315009-0.00141834j 0.000168146+0.00181894j 0.000296157-7.44796e-05j -0.000760947-0.000116277j 0.00049155+0.00200374j -0.00116494-0.000895772j 0.00199543-0.00410942j -0.00312923-0.000805237j -0.00274792-0.000445333j 0.000407633-0.000605829j -0.000117513+0.000204522j 1.33374e-05-3.14224e-05j -0.00088303-0.00160035j 0.00137051-0.000738477j -0.000231451-0.00315183j 0.00260381+5.76561e-05j -0.000582121+0.000997637j 
-0.00193246-0.000903035j 0.00114484+0.000247934j -0.0128662+0.000380735j 0.000567331+0.00477975j 0.00900987-0.00802717j 0.00196734+0.00555175j 0.00507561+0.00436957j 0.00534358-0.00745303j -0.0073305-0.00862084j 0.00292377-0.00437744j -0.000912846+0.00322188j -0.0059392+0.00609548j -0.00195231-0.0257042j 0.00439869-0.00131357j -0.000446545+0.0131486j -0.000129402+0.00149224j -0.00377052-0.00434543j 0.00248735-0.00148574j 0.0012399-0.00156267j 0.00112521-0.00119096j -0.00232488-0.00176123j -0.00208827-0.000787794j -0.00272537-0.00193882j -0.000683751-0.000767247j -9.37634e-05-0.00140283j 0.00065518+0.00273261j -0.000955607+0.000878229j 0.00179429+0.000580385j 0.000749208+0.00089776j -0.00125287+3.15522e-05j -0.00165626+0.000536983j -0.000920546+0.000639477j 0.00384781-0.000386059j 0.000519217-0.000727961j 0.000527618-0.000904219j -0.00402012+0.00278547j -0.00196112+0.00256835j -0.00221943-0.00152122j -0.00332804+0.000994219j 0.00202307-0.000454743j -0.0024404-0.00140183j 0.00147646+0.00125889j -0.00195495+0.000764435j 0.000249273-0.000335465j 0.00100488-0.00040789j 0.000206264+0.000988066j -0.000713487+0.00351359j -5.05768e-05+0.000496693j -0.000435633-0.000423021j -3.78119e-05-7.3406e-05j 3.40733e-05+8.82746e-06j -0.000240503-0.000139381j 0.000427098-0.00127234j 0.000220513-0.000232896j -0.000551767-0.00107325j -0.000223212+1.41422e-05j -0.000884955+0.000136109j 0.000578866-0.000801033j -0.000485365-0.00281985j 1.99913e-05+0.00129473j 0.00249812+0.000185553j 0.00228315-0.000162125j 0.000415385-0.000290065j -0.000184812+0.000253724j 0.000328096-0.000120336j 0.000574396+0.00132923j 0.000453073+0.000778382j 0.000793574+0.00189671j -0.00202443+0.000369479j 0.000256172-0.000865152j 
0.000333784-0.000225851j -0.00354853-0.000812985j -0.00602702-0.000320472j -0.00228804+0.00348698j 0.0016594+0.00654413j 0.000688768-0.019455j 0.00192279+0.00961362j 0.00150801+0.0148117j -0.00298587+0.0132978j 0.00690116-0.0011859j -0.00233495-0.00329526j 0.000812035+0.0213558j 0.000344176+0.00395824j 0.0028618+0.00738341j 0.000245349+0.00832254j -0.00184362+0.00404503j -0.00164362-0.0027642j 0.000991078+0.000201899j -0.0059437+0.00206308j -0.0010864+0.000564075j 0.00106487-0.000561078j 0.00201389-0.00233471j 0.000242521-0.00191161j -0.00195683+0.000609917j 3.03831e-05-0.00048591j 0.00373242-0.00145506j -0.00105659+0.000979283j -0.00122665+0.00134327j -0.000998539+0.00128016j -0.000349431-0.000112875j -0.00268503+0.000929875j 0.00308919-0.00131307j -0.00290749+0.00188006j -0.00339949+0.00186544j -0.00062132+0.000521755j 0.000655055-0.000287868j 0.00161287+0.000447241j 0.00308066-0.00230746j -0.0032298-0.000334564j -0.00344944+2.03434e-06j -0.00116551+0.000492901j -0.000946994-0.00128217j -9.12747e-05+0.000171724j -0.000225665+4.21088e-05j -0.000960937+0.000912959j -0.000966748-0.000267324j -0.000258244+0.00103886j 0.000847403+7.23038e-05j 0.00036538-0.00101384j -0.000383015+0.000333765j -0.000135188-4.16666e-05j -4.03071e-05+0.000195574j -0.000904593-0.000704628j 0.000477076-0.000447083j 0.000662642+0.000513492j -0.000340977+0.000271235j 0.000659111-0.000335546j -0.00103547+0.00012711j 0.000800115+0.00207856j 0.000488823+0.00142775j 0.000340104-0.000125157j 0.000550349+0.000161467j -0.000383363+0.000583565j 9.29698e-06-0.000358655j -7.29421e-05+0.000183632j 0.000671803+6.05377e-05j -0.000975814+0.000444843j 0.000504012+0.00107244j -0.00078378+7.61724e-05j 9.28439e-05-0.000293761j 
-0.000592009-6.959e-05j -0.00043356-4.58303e-05j 0.00648477-0.0019035j 0.00323478-0.000113823j 0.00207219-0.000182287j -0.00711892-0.000982257j 0.0123836+0.00218112j 0.00556974-0.00167772j 0.00776058+0.00228106j 0.0129216+0.00150978j -0.00180621-0.000699529j -0.0211668-0.00318413j -0.0143464+0.00487387j 0.0121174-0.00415634j -0.00658037-0.0017867j 0.00952645-0.00266215j 0.00250939+0.00193237j -0.00108653+0.00112538j -0.00180367+0.000973891j -0.00155119+0.000608658j -0.00196109+0.00105881j 0.00104969+0.000389028j 0.000442662-0.00135387j -0.000439541-0.000690538j 0.000444838+0.00231932j -0.00176524-0.00169166j -0.000455868+0.00103973j -0.00105186-0.00108034j -0.00125161-0.00051879j 2.02511e-06-0.000121474j 0.0010632+0.00228624j 0.000528969+0.0010815j 4.15024e-05-7.10916e-05j 0.000562144-0.000738806j -0.000703913-0.000399462j 0.00166208+0.000803117j 0.000757907+0.00100222j 0.000324382+0.000247781j 0.00129603+0.00210987j 0.000241887+0.000106869j 0.00167163+0.000940817j -0.000699523-0.000322827j 0.000865187-0.000647854j 0.000101678+0.000197191j 0.000678252+0.00215287j 0.000711945+0.000874425j 3.96974e-05-0.000837295j 0.000319783+0.00253566j 4.53407e-05+3.6577e-05j -0.000611541-0.00210745j -1.20596e-05-0.000262241j 0.000223004-0.000542912j -0.000574672-0.00444342j -0.000297545-0.00129301j -6.74457e-06-0.000141851j -4.38964e-05-0.00131554j -0.000122324+0.00299041j 0.000371273+0.000265416j -0.000790309-0.000307065j -0.00112718-0.00116025j -0.000772688+0.000289016j -0.000726817+0.000186328j -0.000389987+0.000147271j -0.000223491+0.000440687j 0.000737726-0.000308096j -0.000358094-0.000183938j 4.49517e-05-0.000611262j -0.000798418-0.000507485j 0.000669318-0.000323639j 6.29504e-06+0.00029811j 
-0.000309368-0.000674078j 0.000431132+0.000202005j -0.00283044-0.00159415j -0.00195184+0.0017028j -0.0096088-0.00996744j 0.0115545+0.00421789j 0.000336443-0.0106669j -0.000174591+0.00796198j 0.00197752-0.000948783j 0.0277727-0.00405993j -0.000976579+0.00207839j 0.00978894-0.00752033j 0.00161796+0.00102947j 0.00409161+0.00882573j 0.00143714+0.00169914j 0.000886269-0.00212852j 0.000311979+0.000531593j 0.00106318+0.00098033j 0.00312222-8.83916e-05j -0.000118915+0.000941392j -0.00079239-0.00017302j -0.00251749+0.00295004j -0.00154214-0.00144405j -0.000341644+0.00155601j 0.000864012-0.00136185j -0.00194983+0.000682678j 0.00131563+0.000349694j -0.00157442-0.000249777j 0.000971632-0.00173653j -0.000306304+1.46502e-05j 0.000601878+0.00209864j -0.00101094+0.00218436j 0.000579386+0.000800859j 0.00131902-0.00076806j 0.00114388-0.00041094j -0.00100647-0.00184045j 0.000391767+0.00159135j -0.000384003-0.000236282j 0.00191333+0.000340642j -0.000252763-0.000825815j -0.00062741+0.00012931j -0.000520038+0.00075226j -0.00031494+1.10292e-05j 0.000320723+5.306e-05j -0.000432591-0.0017427j 7.14321e-05-0.000699718j -0.000260494-0.000103456j -0.000753145-0.00224775j -0.000762098-0.0034127j -0.000126439-0.000173431j 5.63849e-05+0.00014142j 4.22632e-05-0.000708126j 0.000932095+0.00147666j -0.000267151-0.00238167j -5.49922e-05-0.000311533j 0.000292586-0.000506935j 0.000107269-0.00184302j -8.97075e-06-0.000453686j 0.000292741+0.000141386j 4.61989e-05+2.10354e-05j 0.000167599+0.000248238j 0.000169608-3.68309e-05j 0.000119953-0.000183382j 0.000112144-0.000271382j -0.000451583+0.00023309j -5.87721e-05+0.000228529j 0.000162692-9.01572e-05j -0.000152546+7.08183e-05j -8.92639e-05-7.5813e-05j 4.31018e-05-3.81687e-05j 
0.00104483+0.000659949j -0.000693925+0.000628026j -0.0121148+0.00699011j -0.000424471-0.00140449j 0.0128416+0.00177328j -0.00169067+0.00279181j 0.000174202-0.0189147j 0.00710946+0.00875275j -0.00556008-0.00360161j -0.00449142+0.000756919j -0.00421509-0.000451588j -0.00908358-0.0058238j -0.00327558+0.012704j -0.00112171+0.0137388j 0.0021415-0.00854204j -3.77104e-05+0.00323732j -0.00603426-0.00421989j 0.00260656-0.00206724j -0.000163091-0.00166281j 0.00186384-0.00200906j 0.00281391-0.00134368j -0.00344355-0.000580861j -0.000430404-0.00223576j -0.00122627+0.000459575j 0.00151574-0.0014264j 0.00296657+0.000812504j 0.00288243-0.00105802j 0.000644651+0.0013417j 0.00088472+0.00061036j 0.000687425-0.000319968j 0.0006825-0.00106705j -0.00186455-9.47936e-06j -0.00279908+0.00206782j 0.000146388-0.0003404j 0.00038811-0.000558957j 0.00290839+0.00101081j 0.00143848+0.000422234j -0.000862587-0.000376611j 0.00305753-0.000235745j -0.00312838-0.00172434j -0.00301786+0.00039712j 0.000430301+0.000690318j -0.00196333+0.00146957j 0.000273354-0.000200444j 0.00122054+0.000129527j -0.000720465+0.00102105j 0.000734503+0.00282077j -0.000452426+0.000974645j 0.000126906+0.000988945j 0.000259734+0.000423882j 4.35113e-05-9.22602e-05j -0.00038439+0.000610868j -0.000143847-0.000870082j 0.000467872-0.000532598j -1.59885e-05-0.00026986j 0.000314982+0.000227416j -1.12236e-05+0.00221329j 0.000245812+2.37765e-05j -0.00120119-0.0021281j 0.0012466+0.00112304j 0.00192248-0.000642903j 0.00166067-0.000531499j 0.000705889-0.000304126j -0.000231484+0.000386584j 0.000403953-0.000392781j 0.000670074+0.000410389j 0.000483841+0.00127212j 0.00187981+0.00109438j -0.00155301+0.000917296j -5.42515e-05-0.000709361j 
-0.00373804-0.00247553j 0.00281787-5.14891e-05j 0.00661452-0.00852613j 0.00132751+0.0132049j -0.00214407-0.017194j -0.00838285-0.00752513j -0.00318107-0.0106334j -0.000502616+0.00852761j 0.00176462+0.00150506j -0.012167-0.00493047j 0.00082578+0.00173025j -0.00309705-0.00232526j -0.0028344-0.00311357j -0.00460423+0.0134469j -0.00472182+0.0138562j 0.00119145-0.00296463j 0.00409499+0.00440031j -0.00590803+0.00383548j -0.00139664+0.00358687j -0.00104241-0.000507856j -0.00114923-0.000342039j -0.00431147+0.0018306j -0.000984727+0.00177881j -0.00108053-0.000895763j 0.00106997+0.000143005j -0.003999+0.000943357j 0.000293952-0.00179412j -0.0040576+0.00110405j 0.00121481-0.00059134j -0.00104376+0.0010979j -0.00325163+0.000855355j -0.00042639+0.000453546j 2.05773e-05-0.00137278j 0.00114436-0.000893509j 0.00156696-0.000854596j -0.00160917+4.25939e-05j -0.00144285-0.000918443j 0.00175716+0.000660797j 0.000949524+0.000298005j 0.000459898-3.02533e-05j 0.00197925-0.000990442j -0.000759511+0.00105552j -0.000293543-0.00115683j 0.000756816+0.00117643j -0.000465227+0.000900773j 0.0012176-0.000658057j -0.00096477-0.0004611j -6.92356e-05+0.000734443j 0.000835041+0.00166117j -0.000215816-0.000271014j 4.89385e-05-1.75978e-05j 0.000123371+0.000450284j 0.000281664-0.000513286j -0.000310056+0.00127659j -0.000509112-0.00103493j 0.000339316-0.00134512j 8.5099e-05+0.000946909j -0.000143893-0.000906065j -0.000105507+0.000485088j -0.0020489-0.000841715j -0.000461742+0.00118598j -0.000413161+0.000388211j -0.000752441+0.000292819j 0.000107434+5.93106e-05j 0.000176337+5.91603e-05j -0.000336324+0.000452537j -0.000185212-0.00133831j -0.00184583+6.01944e-05j 0.000484646-0.000892217j 0.000223408+0.000290568j 
-0.00288837-0.00147405j 0.00110523+0.000498446j -0.000743083+0.000221527j 0.0017758+0.0168389j -0.000816377+0.0096944j 0.00317796-0.0166924j 0.000100609-0.0114191j -0.000222644-0.0231766j 0.00141604-0.0108078j 0.00501577+0.0113514j 0.00168053-0.00402613j 0.00227525+0.00214267j 0.000747441+0.00279071j 0.000119908+0.00266831j 0.000249976-0.00178571j 1.72286e-05+0.00606848j 0.00146379+0.00206999j -0.00369814+0.00115075j -0.00319672+0.00266533j 0.00352227-0.00194652j -0.000453422-0.000969682j -7.6719e-05-0.00031791j -0.00165262+0.000952936j 0.00350554-0.00188245j -0.00341733+0.000691699j -0.00201436+0.00126088j 0.00122477-0.00112757j -0.00120308+0.000746527j -0.0021795+0.000682065j -0.000701196+2.62154e-05j 0.00069254+0.000269069j -0.00121969+0.000795864j -6.41029e-05+0.000441764j -8.20576e-05+0.000212768j -0.000850633-0.000748706j 5.40322e-05-0.000479991j -0.00234162+0.00180735j 0.00264098-0.000424167j -0.000340718+0.000606352j -0.00121345+0.000639695j -0.00119527-0.00147951j -0.000401097-0.000145321j -0.00104863-0.000390151j 0.000839915+0.000926129j -0.000830904+0.000641487j 4.46521e-05-0.000593181j -0.00063185+0.000521515j 0.000613698-0.000214102j 0.000314366-0.000601443j 5.34242e-05-0.000142215j -3.11858e-06+8.55796e-05j 0.000180437+0.000378832j -0.000178444+0.000147975j 0.000264395-0.000352112j -0.000527213-0.000640751j 0.000396366-0.000843597j 0.000280366-0.00117466j -0.000578615-0.000281766j 0.000702943+0.000933417j -0.000270188+0.000875779j 0.000400687+0.000361861j 0.00033385+2.2459e-05j -0.000444958+0.00042324j 5.92596e-05-0.000267669j -0.000104901+0.000220969j 0.000229269+0.000299905j -0.000581517-0.00020948j -0.000397329+0.000693395j -0.00032382-0.00025232j 0.000144766-8.66369e-05j 
