0.994921-0j -0.000846511-0j -0.00051838-0j -0.000105814-0j -6.23514e-06-0j -0.00456118-0j 0.144184-0j -0.000600989-0j -8.67452e-05-0j -7.51236e-05-0j -8.8534e-06-0j -4.041e-07-0j -0.00292579-0j -0.00295611-0j -0.000462608-0j -0.000467402-0j 0.0716404-0j -0.000243816-0j 0.0103404-0j 0.0723828-0j -0.000246342-0j 0.0104476-0j -6.09539e-05-0j -2.15505e-05-0j -5.0795e-06-0j -6.15856e-05-0j -2.17738e-05-0j -5.38762e-06-0j -5.13213e-06-0j -5.44345e-06-0j -4.48968e-07-0j -1.67321e-08-0j -4.53621e-07-0j -1.69055e-08-0j -0.00219784-0j -0.00271968-0j -0.00158648-0j -0.000342648-0j -0.000424005-0j -0.000247336-0j -0.000265414-0j -3.83092e-05-0j 0.0474611-0j -0.000328433-0j -4.74052e-05-0j -0.000191586-0j 0.00839002-0j 0.0587301-0j -2.7653e-05-0j -2.8554e-05-0j 0.000699168-0j 0.0342592-0j -2.47285e-05-0j 0.0103821-0j -3.53338e-05-0j -5.04768e-06-0j 0.00605623-0j 0.000865176-0j -2.52384e-06-0j -3.05999e-05-0j -2.06114e-05-0j -2.97437e-07-0j 0.000504686-0j -1.785e-05-0j -3.64285e-07-0j -6.24619e-06-0j -3.12309e-06-0j -2.35145e-08-0j -3.6806e-07-0j -3.64361e-06-0j -1.8218e-06-0j -4.5078e-07-0j -7.40637e-10-0j -2.14702e-07-0j -2.62955e-07-0j -2.90977e-08-0j -1.69737e-08-0j -9.16491e-10-0j -5.3462e-10-0j 
0.000846511-0j 0.972623-0j 8.63966e-05-0j -0.00168606-0j -0.000199743-0j 0.000760197-0j -0.0058029-0j -0.014598-0j 0.201444-0j -0.000592256-0j -0.000212345-0j -1.61985e-05-0j 0.000487632-0j 0.000492685-0j -0.00364709-0j -0.00368488-0j 6.09539e-05-0j -0.0118852-0j -0.000841128-0j 6.15856e-05-0j -0.0120084-0j -0.000849845-0j 0.0700348-0j 3.59175e-06-0j 0.0177555-0j 0.0707606-0j 3.62897e-06-0j -8.58473e-05-0j 0.0179395-0j -8.67369e-05-0j -1.43827e-05-0j -8.05412e-07-0j -1.45318e-05-0j -8.13759e-07-0j 0.000366306-0j 0.000453281-0j 0.000264414-0j -0.00270135-0j -0.00334275-0j -0.00194994-0j 4.42357e-05-0j -0.000610426-0j -0.00588519-0j 5.47388e-05-0j -0.000755363-0j 3.1931e-05-0j -0.000337669-0j -0.00728256-0j -0.000440629-0j 0.065841-0j -8.5607e-05-0j -0.00424816-0j -0.000600655-0j -0.000417844-0j 0.0814741-0j 0.011722-0j -0.000243742-0j -0.000105933-0j -1.98973e-05-0j -0.000743273-0j 0.0475266-0j 0.00138867-0j -6.17944e-05-0j -0.000433576-0j -8.73723e-06-0j 0.0145052-0j -2.46217e-05-0j -9.42589e-07-0j 0.00171839-0j 0.00846136-0j -1.43627e-05-0j -1.08118e-05-0j -4.16136e-08-0j 0.0010024-0j -6.30687e-06-0j -1.16639e-06-0j -6.80397e-07-0j -5.14943e-08-0j -3.00383e-08-0j 
0.00051838-0j 8.63966e-05-0j 0.97948-0j -0.00208894-0j 6.36371e-07-0j 0.000465524-0j 7.51236e-05-0j -0.0118645-0j 8.8534e-06-0j 0.141946-0j -0.000174781-0j 4.12433e-08-0j 0.000298612-0j 0.000301707-0j 4.72147e-05-0j 4.7704e-05-0j -0.00721999-0j 2.48843e-05-0j 5.38762e-06-0j -0.00729481-0j 2.51422e-05-0j 5.44345e-06-0j -0.00120333-0j 0.123438-0j 5.18424e-07-0j -0.0012158-0j 0.124717-0j 0.0101799-0j 5.23796e-07-0j 0.0102854-0j -8.86338e-06-0j 1.70771e-09-0j -8.95523e-06-0j 1.72541e-09-0j 0.000224316-0j 0.000277577-0j 0.00016192-0j 3.49714e-05-0j 4.32748e-05-0j 2.52437e-05-0j -0.00523971-0j 3.90992e-06-0j 2.47285e-05-0j -0.00648381-0j 4.83827e-06-0j -0.00378222-0j -0.000845555-0j 3.05999e-05-0j 2.82233e-06-0j 2.91428e-06-0j 3.64285e-07-0j 1.785e-05-0j 0.0467245-0j -0.00104632-0j 3.60624e-06-0j -9.96496e-05-0j -0.000610354-0j 4.5078e-07-0j 0.0144561-0j 0.0578186-0j 2.10364e-06-0j 3.03571e-08-0j 2.62955e-07-0j 0.0337275-0j 0.000688317-0j -0.00012331-0j 0.0178886-0j -4.64215e-07-0j 3.7565e-08-0j -7.19309e-05-0j 0.010435-0j 0.000851749-0j 7.55909e-11-0j 2.19129e-08-0j 0.000496854-0j -5.74437e-07-0j -3.35088e-07-0j 9.3539e-11-0j 5.45644e-11-0j 
-0.000105814-0j 0.00168606-0j 0.00208894-0j 0.948946-0j -0.00358679-0j -9.50246e-05-0j 0.00146606-0j 0.00120466-0j -0.00808549-0j -0.0289424-0j 0.243301-0j -0.000388784-0j -6.09539e-05-0j -6.15856e-05-0j 0.00092141-0j 0.000930958-0j 0.000733078-0j -5.0795e-06-0j -0.00492032-0j 0.000740675-0j -5.13213e-06-0j -0.00497131-0j -0.011681-0j 0.000130489-0j -0.00145083-0j -0.011802-0j 0.000131841-0j 0.0971352-0j -0.00146587-0j 0.0981418-0j 0.0248493-0j -2.41971e-05-0j 0.0251068-0j -2.44479e-05-0j -4.57882e-05-0j -5.66601e-05-0j -3.30517e-05-0j 0.000682477-0j 0.000844522-0j 0.000492638-0j 0.000532011-0j -0.00357079-0j -5.04768e-06-0j 0.00065833-0j -0.00441862-0j 0.000384026-0j -0.00820797-0j -6.24619e-06-0j -0.00257753-0j 5.68731e-05-0j -0.00101947-0j -3.64361e-06-0j 9.96496e-05-0j -0.0101569-0j 7.03768e-05-0j 0.0452679-0j -0.00592483-0j -0.00126153-0j -0.00146103-0j 0.00012331-0j 4.10531e-05-0j -0.000171102-0j -0.00073589-0j 7.19309e-05-0j 0.020126-0j 0.0560162-0j -0.00180794-0j 0.00217667-0j -0.000211728-0j 0.0326761-0j -0.00105463-0j 0.0249046-0j -1.50159e-06-0j -0.000123508-0j 0.0145277-0j 0.00269349-0j 0.0015712-0j -1.85812e-06-0j -1.0839e-06-0j 
6.23514e-06-0j -0.000199743-0j 6.36371e-07-0j 0.00358679-0j 0.918469-0j 5.59938e-06-0j -0.00017368-0j 7.37783e-07-0j 0.00294042-0j -1.77262e-05-0j -0.0284898-0j 0.310772-0j 3.59175e-06-0j 3.62897e-06-0j -0.000109157-0j -0.000110288-0j 4.48968e-07-0j 2.99312e-07-0j 0.00178935-0j 4.53621e-07-0j 3.02414e-07-0j 0.0018079-0j -1.43827e-05-0j 2.64557e-08-0j -0.0163456-0j -1.45318e-05-0j 2.67299e-08-0j 0.000182625-0j -0.0165149-0j 0.000184518-0j 0.0661353-0j 0.0391501-0j 0.0668207-0j 0.0395558-0j 2.6981e-06-0j 3.33873e-06-0j 1.94759e-06-0j -8.08513e-05-0j -0.000100048-0j -5.83615e-05-0j 3.25826e-07-0j 0.00129857-0j 2.97437e-07-0j 4.0319e-07-0j 0.0016069-0j 2.35194e-07-0j -1.01064e-05-0j 3.6806e-07-0j 0.00093736-0j -6.73761e-06-0j -0.0114857-0j 2.14702e-07-0j 3.03571e-08-0j -1.2506e-05-0j -8.33736e-06-0j 0.000171102-0j -7.29519e-06-0j -0.0142128-0j -5.95526e-07-0j 3.7565e-08-0j -4.86346e-06-0j 0.0438141-0j -0.00829079-0j 2.19129e-08-0j -0.00117225-0j 0.000211728-0j -7.36926e-07-0j 0.0180837-0j 0.0542171-0j 0.000123508-0j -4.29873e-07-0j -0.00145059-0j 0.00407191-0j 0.0316267-0j -0.000846175-0j 0.0223775-0j 0.0130535-0j 0.00503873-0j 0.00293926-0j 
0.00456118-0j 0.000760197-0j 0.000465524-0j 9.50246e-05-0j 5.59938e-06-0j -0.0143811-0j 9.40865e-06-0j 7.68213e-06-0j 1.10882e-06-0j 9.60266e-07-0j 1.13168e-07-0j 5.16541e-09-0j 0.00262746-0j -0.00257912-0j -0.102472-0j 0.100586-0j 0.000328433-0j 0.000218955-0j 4.74052e-05-0j -0.00032239-0j -0.000214927-0j -4.6533e-05-0j 5.47388e-05-0j 1.93531e-05-0j 4.56157e-06-0j -5.37316e-05-0j -1.8997e-05-0j 4.83827e-06-0j -4.47764e-06-0j -4.74925e-06-0j 4.0319e-07-0j 1.5026e-08-0j -3.95771e-07-0j -1.47495e-08-0j 0.00197374-0j 3.47643e-05-0j -0.0027886-0j 0.00030771-0j 5.41984e-06-0j -0.000434749-0j -0.0587916-0j -0.00848583-0j 0.000217584-0j -0.00103552-0j -0.000149465-0j 0.0830639-0j 3.84638e-05-0j 3.83241e-06-0j 0.0119892-0j 2.56425e-05-0j 3.20531e-06-0j -0.000307414-0j 2.22071e-05-0j 6.7748e-07-0j 4.51653e-07-0j 4.533e-06-0j -5.43436e-05-0j 5.64567e-08-0j 2.2665e-06-0j 3.91143e-07-0j -3.62291e-05-0j 2.67109e-07-0j -4.52864e-06-0j -3.13753e-05-0j 3.27141e-07-0j 7.98418e-08-0j 3.99209e-08-0j 2.11169e-08-0j 4.70472e-09-0j -6.40446e-06-0j -3.20223e-06-0j 5.76209e-09-0j 6.65118e-10-0j -3.77386e-07-0j -4.62202e-07-0j 3.71941e-10-0j -2.9835e-08-0j 1.1715e-11-0j -9.39714e-10-0j 
0.144184-0j 0.0058029-0j -7.51236e-05-0j 0.00146606-0j 0.00017368-0j -9.40865e-06-0j -0.0140686-0j -1.2397e-06-0j 1.71071e-05-0j 7.33011e-06-0j 2.62811e-06-0j 2.00483e-07-0j -0.000424005-0j 0.000416204-0j 0.00317121-0j -0.00311286-0j 0.0103821-0j -3.53338e-05-0j -0.143267-0j -0.0101911-0j 3.46836e-05-0j 0.140631-0j 0.000417844-0j -3.12309e-06-0j 0.000105933-0j -0.000410156-0j 3.06563e-06-0j 7.46459e-05-0j -0.000103984-0j -7.32724e-05-0j 1.2506e-05-0j 7.00322e-07-0j -1.22759e-05-0j -6.87436e-07-0j -0.00031851-0j -5.61007e-06-0j 0.000450008-0j 0.00234888-0j 4.13719e-05-0j -0.00331862-0j -3.84638e-05-0j 0.000530777-0j 0.00687806-0j -6.7748e-07-0j 9.34882e-06-0j 5.43436e-05-0j -0.0575142-0j 0.000121146-0j -0.00074991-0j 0.00019574-0j -0.0145812-0j -0.00971769-0j -3.58365e-06-0j -0.00101303-0j 3.44766e-06-0j 6.9936e-05-0j 0.0812592-0j -0.000256826-0j 1.73011e-05-0j -6.31205e-08-0j -0.000276552-0j 8.28514e-06-0j 0.0206011-0j 5.06317e-06-0j 7.59719e-06-0j 1.23182e-06-0j 3.04733e-07-0j 8.19599e-07-0j 1.4593e-07-0j -9.88093e-05-0j -2.44439e-05-0j 1.33813e-07-0j 3.61839e-08-0j -1.17057e-05-0j -1.07337e-05-0j 1.4436e-08-0j -1.15797e-06-0j 6.37323e-10-0j -5.11225e-08-0j 
-0.000600989-0j 0.014598-0j 0.0118645-0j 0.00120466-0j -7.37783e-07-0j -7.68213e-06-0j -1.2397e-06-0j -0.0141934-0j 2.12926e-05-0j 2.44737e-05-0j 1.43467e-06-0j -6.80602e-10-0j -0.000346199-0j 0.000339829-0j -5.47388e-05-0j 5.37316e-05-0j 0.00416364-0j 0.00843802-0j -6.24619e-06-0j -0.00408704-0j -0.00828276-0j 6.13126e-06-0j -0.101135-0j 0.000741135-0j 8.75955e-05-0j 0.0992741-0j -0.000727499-0j 0.00012331-0j -8.59838e-05-0j -0.000121041-0j 5.11136e-06-0j -1.97985e-09-0j -5.01731e-06-0j 1.94342e-09-0j -0.000260062-0j -4.5806e-06-0j 0.00036743-0j -4.05444e-05-0j -7.14127e-07-0j 5.72832e-05-0j 0.00302165-0j -4.533e-06-0j 0.00417825-0j 5.32217e-05-0j -7.98418e-08-0j -0.00426915-0j 0.000487617-0j 7.35935e-05-0j 6.40446e-06-0j 0.000988202-0j -4.22337e-07-0j -0.00590325-0j -0.0824856-0j 8.58862e-06-0j 1.74057e-05-0j -0.00837513-0j -0.000688931-0j -7.43882e-09-0j 8.67966e-05-0j -0.00145286-0j -0.00139618-0j 5.12929e-06-0j 5.967e-07-0j 0.11654-0j 8.33764e-06-0j -0.000147515-0j 1.52879e-06-0j 2.67705e-07-0j 9.03445e-08-0j 0.0118328-0j -0.000122631-0j 1.46855e-07-0j -8.7637e-11-0j -7.24693e-06-0j -1.17799e-05-0j 4.71521e-09-0j -3.78228e-07-0j -1.54359e-12-0j 1.23818e-10-0j 
8.67452e-05-0j 0.201444-0j 8.8534e-06-0j 0.00808549-0j 0.00294042-0j 1.10882e-06-0j -1.71071e-05-0j -2.12926e-05-0j -0.0137502-0j -1.74599e-06-0j 2.95074e-05-0j 4.53663e-06-0j 4.99695e-05-0j -4.90501e-05-0j -0.000755363-0j 0.000741465-0j 6.24619e-06-0j -0.00121792-0j 0.00403363-0j -6.13126e-06-0j 0.00119551-0j -0.00395941-0j 0.0145052-0j 3.6806e-07-0j -0.17334-0j -0.0142383-0j -3.61288e-07-0j 0.000411681-0j 0.170151-0j -0.000404106-0j 0.000211728-0j 1.98366e-05-0j -0.000207832-0j -1.94716e-05-0j 3.75368e-05-0j 6.61153e-07-0j -5.3034e-05-0j -0.000559488-0j -9.85452e-06-0j 0.000790474-0j 4.533e-06-0j 0.0029273-0j -0.000603079-0j 7.98418e-08-0j 5.15598e-05-0j -6.40446e-06-0j -6.9936e-05-0j -1.06223e-05-0j -0.00413584-0j 0.0136366-0j 0.000835749-0j 0.000852061-0j -6.15514e-05-0j -1.23182e-06-0j 0.000240188-0j -0.0562127-0j 9.88093e-05-0j 1.47204e-05-0j -4.12102e-06-0j -1.08413e-06-0j -0.0192665-0j -0.0204427-0j -0.00118079-0j 8.69631e-05-0j 8.52983e-05-0j -0.000990101-0j -7.25854e-08-0j 1.85463e-05-0j -0.000360066-0j 0.0794203-0j 5.82239e-06-0j 1.5024e-06-0j 1.23099e-06-0j 0.0288825-0j -0.000120514-0j 3.26665e-07-0j -2.62032e-05-0j 2.16819e-08-0j -1.7392e-06-0j 
7.51236e-05-0j -0.000592256-0j 0.141946-0j 0.0289424-0j -1.77262e-05-0j 9.60266e-07-0j -7.33011e-06-0j -2.44737e-05-0j -1.74599e-06-0j -0.0138503-0j 5.18833e-05-0j -2.04617e-08-0j 4.32748e-05-0j -4.24786e-05-0j -0.000323661-0j 0.000317705-0j -0.00104632-0j 3.60624e-06-0j -7.46459e-05-0j 0.00102707-0j -3.53988e-06-0j 7.32724e-05-0j 0.00824894-0j 0.0178886-0j -1.08118e-05-0j -0.00809716-0j -0.0175594-0j -0.141044-0j 1.06128e-05-0j 0.138448-0j 0.00024689-0j -7.14763e-08-0j -0.000242347-0j 7.01611e-08-0j 3.25078e-05-0j 5.72575e-07-0j -4.59287e-05-0j -0.000239731-0j -4.2225e-06-0j 0.000338705-0j -0.000759338-0j -5.41722e-05-0j 3.58365e-06-0j -1.33746e-05-0j -9.5416e-07-0j 0.00107283-0j 0.00579635-0j 6.31205e-08-0j 7.65373e-05-0j -1.99776e-05-0j -7.59719e-06-0j -5.06317e-06-0j 0.00677131-0j 0.000102094-0j -3.51875e-07-0j 0.00138065-0j -0.00818938-0j -1.33813e-07-0j -0.0990979-0j 0.000119266-0j 2.82254e-05-0j -8.45599e-07-0j 1.07337e-05-0j -0.00956687-0j -0.0143549-0j 2.43181e-05-0j -0.00174546-0j 1.61803e-05-0j -1.48939e-08-0j -0.00195066-0j 0.140011-0j -0.00025284-0j -3.693e-09-0j 1.19471e-06-0j 0.0202814-0j 2.8499e-07-0j -2.28603e-05-0j -6.50465e-11-0j 5.21767e-09-0j 
-8.8534e-06-0j 0.000212345-0j 0.000174781-0j 0.243301-0j 0.0284898-0j -1.13168e-07-0j 2.62811e-06-0j 1.43467e-06-0j -2.95074e-05-0j -5.18833e-05-0j -0.0134124-0j 6.63988e-05-0j -5.09999e-06-0j 5.00615e-06-0j 0.000116044-0j -0.000113909-0j 6.13363e-05-0j -4.24999e-07-0j -0.00126153-0j -6.02077e-05-0j 4.17179e-07-0j 0.00123831-0j -0.00147113-0j 1.0918e-05-0j 0.00561898-0j 0.00144406-0j -1.07171e-05-0j 0.0249046-0j -0.00551559-0j -0.0244464-0j -0.197377-0j 0.000388328-0j 0.193745-0j -0.000381183-0j -3.83108e-06-0j -6.74786e-08-0j 5.41275e-06-0j 8.59524e-05-0j 1.51392e-06-0j -0.000121438-0j 4.45131e-05-0j -0.000915517-0j -4.22337e-07-0j 7.8403e-07-0j -1.61254e-05-0j -6.28905e-05-0j -0.00103373-0j -7.43882e-09-0j 0.00129349-0j 7.1627e-06-0j 0.00394833-0j 5.967e-07-0j 8.33764e-06-0j -1.82075e-05-0j 1.2616e-07-0j 0.0116063-0j 0.00146051-0j 6.95438e-05-0j -0.000184005-0j 1.46855e-07-0j -1.01198e-05-0j 0.00135906-0j -0.00557841-0j -1.17799e-05-0j -0.0779466-0j 0.000204427-0j -3.24097e-06-0j -0.026117-0j 2.39377e-05-0j -0.016398-0j 0.000259972-0j -0.00137291-0j 3.01753e-05-0j -0.00192015-0j 0.110127-0j -0.000460011-0j 0.0368995-0j 5.31491e-07-0j -4.26332e-05-0j 
