-0.171903-0j -0.187601-0j 0.568671-0j 0.574564-0j -0.132654-0j -0.164151-0j -0.109434-0j -0.0957545-0j -0.0947724-0j -0.135417-0j -0.0677087-0j -0.0558568-0j -0.0684103-0j -0.0309111-0j -0.00681525-0j 
0.194185-0j 0.00419437-0j 0.164151-0j -0.159286-0j -0.43879-0j -0.0107468-0j 0.00244672-0j 0.614664-0j 0.107057-0j -0.146915-0j 0.00151383-0j -0.184296-0j -0.149967-0j -0.136216-0j -0.0451252-0j 
0.158552-0j 0.17303-0j -0.128888-0j 0.135417-0j -0.237889-0j -0.145595-0j -0.493431-0j 0.0883174-0j 0.496831-0j 0.233531-0j -0.305064-0j -0.100168-0j -0.184451-0j -0.0274168-0j 0.00628592-0j 
-0.160195-0j 0.167903-0j -0.135417-0j 0.136713-0j 0.240354-0j 0.146915-0j -0.478809-0j -0.0788455-0j 0.171717-0j -0.245169-0j 0.0605993-0j 0.474458-0j -0.05633-0j -0.299984-0j -0.175486-0j 
-0.138733-0j -0.0029966-0j 0.342829-0j 0.1138-0j -0.107057-0j 0.00766496-0j -0.00174802-0j 0.149967-0j -0.0649764-0j -0.306832-0j -0.0133228-0j 0.131667-0j 0.09102-0j -0.284486-0j 0.032239-0j 
0.114449-0j -0.242383-0j -0.0930363-0j 0.0863709-0j 0.0883174-0j 0.203951-0j -0.14139-0j 0.24365-0j -0.184451-0j -0.0766073-0j 0.427338-0j 0.045503-0j -0.508864-0j 0.24861-0j -0.436947-0j 
-0.0365669-0j 0.155675-0j -0.0309111-0j -0.325246-0j -0.0282178-0j 0.136216-0j 0.0908104-0j 0.255874-0j -0.0201598-0j -0.299984-0j 0.056186-0j 0.220513-0j 0.182805-0j -0.321446-0j 0.0153556-0j 
0.022636-0j -0.121039-0j 0.0191349-0j 0.0193332-0j 0.0174677-0j 0.0216152-0j 0.0144101-0j 0.0126088-0j 0.0124795-0j 0.0178316-0j 0.0089158-0j 0.00735516-0j 0.00900819-0j 0.00407033-0j 0.000897424-0j 
-0.0250534-0j -0.000541151-0j 0.0828791-0j -0.0804232-0j -0.0193332-0j -0.000473507-0j -0.000315671-0j 0.0270822-0j -0.0138123-0j 0.0189547-0j -0.000195312-0j 0.0237775-0j 0.0193485-0j 0.0175743-0j 0.00582198-0j 
-0.0198065-0j -0.0216152-0j 0.0161009-0j -0.0169165-0j 0.0447557-0j -0.0532583-0j -0.0126088-0j 0.0323064-0j 0.0319211-0j 0.0150042-0j 0.038109-0j -0.00643576-0j 0.0230419-0j 0.00342495-0j -0.000785246-0j 
-0.0132043-0j -0.0144101-0j -0.011162-0j -0.0112777-0j 0.0498127-0j -0.0126088-0j -0.0551491-0j -0.00735516-0j 0.0355879-0j 0.0508505-0j -0.00520088-0j 0.0209748-0j -0.00525478-0j -0.00237436-0j -0.000523497-0j 
0.0200117-0j -0.0209746-0j 0.0169165-0j -0.0170784-0j -0.0452195-0j 0.0537412-0j -0.0122352-0j -0.0288416-0j 0.0110327-0j -0.015752-0j -0.00757015-0j 0.0304836-0j 0.00703682-0j 0.0374745-0j 0.021922-0j 
0.0231076-0j 0.00049912-0j -0.0187844-0j -0.0189547-0j -0.0346703-0j -0.00041998-0j -0.00142334-0j -0.0249788-0j 0.0724091-0j -0.0326879-0j -0.000879983-0j 0.0426404-0j 0.0521682-0j 0.0155877-0j -0.0053698-0j 
0.00816976-0j 0.0089158-0j -0.0337361-0j 0.00697771-0j 0.00630442-0j -0.038109-0j 0.00520088-0j 0.00455077-0j 0.0554836-0j -0.0314383-0j 0.0235518-0j 0.00265462-0j 0.0400502-0j -0.00717628-0j 0.000323897-0j 
-0.0134794-0j 0.0285472-0j -0.0113946-0j -0.0101725-0j 0.0202244-0j 0.0249788-0j -0.0814081-0j -0.0286964-0j 0.014449-0j 0.0182424-0j 0.0103032-0j 0.01042-0j -0.0205017-0j 0.0304484-0j 0.0514623-0j 
-0.0142971-0j 0.014985-0j 0.0353302-0j 0.0122014-0j -0.0110327-0j -0.0383299-0j 0.00874126-0j -0.00703682-0j -0.00669614-0j -0.0328981-0j 0.066623-0j -0.0217786-0j -0.00427089-0j 0.0782655-0j -0.0156618-0j 
0.00833996-0j -0.0265841-0j -0.00677964-0j 0.0333932-0j 0.00643576-0j 0.0223689-0j -0.0155074-0j 0.0056843-0j -0.0134411-0j -0.0296183-0j 0.0468695-0j -0.0372925-0j -0.0118717-0j 0.0267648-0j 0.0661356-0j 
-0.00217568-0j 0.0115898-0j -0.00183917-0j -0.0335628-0j -0.00167893-0j 0.0101411-0j 0.00676074-0j 0.0523376-0j -0.00119948-0j -0.0309561-0j 0.00418299-0j -0.0216998-0j 0.0373918-0j -0.0547108-0j 0.0836805-0j 
