0.995962-0j -0.000651597-0j -0.000532027-0j -7.67915e-05-0j -6.65034e-05-0j -7.8375e-06-0j -3.57731e-07-0j -0.00370086-0j 0.144335-0j -0.000462608-0j -0.000308405-0j -6.67717e-05-0j -7.71013e-05-0j -2.72594e-05-0j -6.42511e-06-0j -6.81486e-06-0j -5.67905e-07-0j -2.11646e-08-0j -0.00240761-0j -0.00243256-0j -0.000375352-0j -0.000379242-0j 0.0717154-0j 0.0103512-0j 0.0724585-0j -0.000265414-0j 0.0104585-0j -0.000268164-0j -4.6919e-05-0j -3.12793e-05-0j -3.90992e-06-0j -4.74052e-05-0j -2.70887e-05-0j -3.16035e-05-0j -3.95043e-06-0j -2.73694e-05-0j -5.52946e-06-0j -2.76473e-06-0j -5.58676e-06-0j -3.25826e-07-0j -2.79338e-06-0j -3.99054e-07-0j -3.29203e-07-0j -2.57588e-08-0j -4.0319e-07-0j -2.60258e-08-0j -8.11327e-10-0j -8.19735e-10-0j 
0.000651597-0j 0.974323-0j 8.58555e-05-0j -0.00118475-0j -0.000507648-0j -0.00018201-0j -1.38845e-05-0j 0.000597224-0j -0.00446675-0j -0.0146235-0j 4.97687e-05-0j 0.201796-0j -0.000588546-0j 4.39897e-06-0j -0.00014921-0j -0.000105141-0j -1.76151e-05-0j -9.86424e-07-0j 0.000388526-0j 0.000392552-0j -0.00286522-0j -0.00289491-0j 4.6919e-05-0j -0.000647454-0j 4.74052e-05-0j -0.00839002-0j -0.000654164-0j -0.00847696-0j 0.0701572-0j -0.000238768-0j 0.0177865-0j 0.0708843-0j 4.37142e-06-0j -0.000241242-0j 0.0179708-0j 4.41672e-06-0j -8.53096e-05-0j -2.11043e-05-0j -8.61936e-05-0j -1.01064e-05-0j -2.1323e-05-0j -9.26723e-06-0j -1.02111e-05-0j -9.99767e-07-0j -9.36327e-06-0j -1.01013e-06-0j -4.41379e-08-0j -4.45953e-08-0j 
0.000532027-0j 8.58555e-05-0j 0.982969-0j -0.00147462-0j -0.00169493-0j -9.93584e-05-0j 4.71352e-08-0j 0.000487632-0j 7.71013e-05-0j -0.00586462-0j -0.0118852-0j 8.79794e-06-0j 0.142452-0j -0.00104391-0j -0.000123381-0j -0.000173686-0j -7.1995e-06-0j 2.78868e-09-0j 0.00031723-0j 0.000320518-0j 4.9457e-05-0j 4.99695e-05-0j -0.00368588-0j 5.52946e-06-0j -0.00372408-0j -0.00509673-0j 5.58676e-06-0j -0.00514954-0j -0.000594806-0j -0.00120543-0j 5.15177e-07-0j -0.00060097-0j 0.100618-0j -0.00121792-0j 5.20515e-07-0j 0.101661-0j 0.0102162-0j -0.000105876-0j 0.010322-0j -6.25682e-06-0j -0.000106974-0j -1.01704e-05-0j -6.32166e-06-0j -3.26553e-07-0j -1.02758e-05-0j -3.29937e-07-0j 1.06902e-10-0j 1.0801e-10-0j 
-7.67915e-05-0j 0.00118475-0j 0.00147462-0j 0.952275-0j 0.000120919-0j -0.00204354-0j -0.000314185-0j -7.03836e-05-0j 0.00106395-0j -8.79794e-06-0j 0.00171548-0j -0.00568149-0j -0.020431-0j -5.18424e-07-0j 0.244155-0j -0.000579865-0j -0.000298226-0j -2.79405e-05-0j -4.57882e-05-0j -4.62628e-05-0j 0.000682477-0j 0.000689549-0j -5.52946e-06-0j -0.00357079-0j -5.58676e-06-0j 0.000735649-0j -0.00360779-0j 0.000743273-0j 8.53096e-05-0j -0.0166342-0j -0.00101947-0j 8.61936e-05-0j 7.50819e-05-0j -0.0168066-0j -0.00103003-0j 7.586e-05-0j 0.0685696-0j 5.02692e-06-0j 0.0692802-0j 0.0249364-0j 5.07901e-06-0j -0.000104049-0j 0.0251949-0j -2.26232e-05-0j -0.000105127-0j -2.28577e-05-0j -1.50159e-06-0j -1.51715e-06-0j 
-6.65034e-05-0j 0.000507648-0j 0.00169493-0j 0.000120919-0j 0.959202-0j -0.00359318-0j 1.41708e-06-0j -6.09539e-05-0j 0.000455886-0j 0.00147377-0j -5.0795e-06-0j 0.000105141-0j -0.0116189-0j -0.0251966-0j 1.52287e-05-0j 0.198664-0j -0.000347752-0j 1.00677e-07-0j -3.96538e-05-0j -4.00647e-05-0j 0.00029243-0j 0.00029546-0j 0.000926259-0j 6.60805e-05-0j 0.000935858-0j -4.37142e-06-0j 6.67653e-05-0j -4.41672e-06-0j -0.00707052-0j 2.43692e-05-0j 9.26723e-06-0j -0.00714379-0j -0.0082598-0j 2.46217e-05-0j 9.36327e-06-0j -0.0083454-0j -0.00168415-0j 0.120882-0j -0.00170161-0j 1.03148e-06-0j 0.122135-0j 0.0175105-0j 1.04217e-06-0j -1.97371e-05-0j 0.0176919-0j -1.99416e-05-0j 4.50481e-09-0j 4.55149e-09-0j 
7.8375e-06-0j -0.00018201-0j -9.93584e-05-0j 0.00204354-0j 0.00359318-0j 0.928879-0j -0.00459846-0j 7.18349e-06-0j -0.000163452-0j -8.6394e-05-0j 5.98624e-07-0j 0.0017769-0j 0.00207213-0j -1.53783e-05-0j -0.00791451-0j -0.0350789-0j 0.278012-0j -0.000546972-0j 4.67324e-06-0j 4.72167e-06-0j -0.000104847-0j -0.000105933-0j -5.42981e-05-0j 0.00111677-0j -5.48608e-05-0j 5.15177e-07-0j 0.00112834-0j 5.20515e-07-0j 0.00126097-0j -8.73723e-06-0j -0.00481627-0j 0.00127403-0j -1.01704e-05-0j -8.82777e-06-0j -0.00486618-0j -1.02758e-05-0j -0.0141576-0j 0.000224454-0j -0.0143043-0j -0.00165781-0j 0.00022678-0j 0.0950811-0j -0.00167499-0j 0.0318581-0j 0.0960665-0j 0.0321883-0j -3.68085e-05-0j -3.71899e-05-0j 
-3.57731e-07-0j 1.38845e-05-0j -4.71352e-08-0j -0.000314185-0j 1.41708e-06-0j 0.00459846-0j 0.898614-0j -3.2788e-07-0j 1.24688e-05-0j -4.0985e-08-0j -2.73233e-08-0j -0.00027319-0j 1.6429e-06-0j -2.41506e-09-0j 0.00376978-0j -2.78823e-05-0j -0.0315193-0j 0.336859-0j -2.13303e-07-0j -2.15514e-07-0j 7.99813e-06-0j 8.08102e-06-0j -2.57588e-08-0j -0.000171698-0j -2.60258e-08-0j -2.35145e-08-0j -0.000173478-0j -2.37582e-08-0j 9.99767e-07-0j 6.66511e-07-0j 0.00229405-0j 1.01013e-06-0j -2.39994e-09-0j 6.73418e-07-0j 0.00231782-0j -2.42481e-09-0j -2.26232e-05-0j 5.89118e-08-0j -2.28577e-05-0j -0.0180837-0j 5.95223e-08-0j 0.000234135-0j -0.0182711-0j 0.0647057-0j 0.000236562-0j 0.0653762-0j 0.0460011-0j 0.0464778-0j 
0.00370086-0j 0.000597224-0j 0.000487632-0j 7.03836e-05-0j 6.09539e-05-0j 7.18349e-06-0j 3.2788e-07-0j -0.0143911-0j 7.63401e-06-0j 6.03522e-06-0j 4.02348e-06-0j 8.71108e-07-0j 1.00587e-06-0j 3.55629e-07-0j 8.38225e-08-0j 8.89071e-08-0j 7.40893e-09-0j 2.76114e-10-0j 0.0022067-0j -0.0021661-0j -0.102543-0j 0.100656-0j 0.000266485-0j 3.84638e-05-0j -0.000261581-0j 0.000243266-0j -3.7756e-05-0j -0.00023879-0j 4.30038e-05-0j 2.86692e-05-0j 3.58365e-06-0j -4.22125e-05-0j 2.48282e-05-0j -2.81417e-05-0j -3.51771e-06-0j -2.43714e-05-0j 5.06805e-06-0j 2.53402e-06-0j -4.97479e-06-0j 2.98637e-07-0j -2.4874e-06-0j 3.65755e-07-0j -2.93143e-07-0j 2.36094e-08-0j -3.59025e-07-0j -2.3175e-08-0j 7.43625e-10-0j -7.29943e-10-0j 
0.144335-0j 0.00446675-0j -7.71013e-05-0j 0.00106395-0j 0.000455886-0j 0.000163452-0j 1.24688e-05-0j -7.63401e-06-0j -0.0140833-0j -9.54252e-07-0j -6.36168e-07-0j 1.31681e-05-0j 7.52309e-06-0j -5.62298e-08-0j 1.90728e-06-0j 1.34396e-06-0j 2.25165e-07-0j 1.2609e-08-0j -0.00034891-0j 0.000342491-0j 0.00257307-0j -0.00252572-0j 0.010393-0j -0.143417-0j -0.0102018-0j -3.84638e-05-0j 0.140778-0j 3.7756e-05-0j 0.000321633-0j 0.000214422-0j 8.15416e-05-0j -0.000315715-0j -3.92569e-06-0j -0.000210477-0j -8.00413e-05-0j 3.85346e-06-0j 7.66111e-05-0j 1.89524e-05-0j -7.52014e-05-0j 9.07592e-06-0j -1.86037e-05-0j 8.32231e-06-0j -8.90892e-06-0j 8.97826e-07-0j -8.16918e-06-0j -8.81306e-07-0j 3.96374e-08-0j -3.89081e-08-0j 
-0.000462608-0j 0.0146235-0j 0.00586462-0j -8.79794e-06-0j 0.00147377-0j 8.6394e-05-0j -4.0985e-08-0j -6.03522e-06-0j -9.54252e-07-0j -0.0142182-0j -5.02935e-07-0j 2.13298e-05-0j 1.20973e-05-0j 1.29201e-05-0j -1.04778e-08-0j 2.14964e-06-0j 8.91053e-08-0j -3.45143e-11-0j -0.000275838-0j 0.000270763-0j -4.30038e-05-0j 4.22125e-05-0j 0.00320494-0j -4.80797e-06-0j -0.00314597-0j 0.00595657-0j 4.7195e-06-0j -0.00584697-0j -0.101312-0j -3.58365e-06-0j 8.77486e-05-0j 0.0994476-0j 0.00060031-0j 3.51771e-06-0j -8.61341e-05-0j -0.000589264-0j 6.09521e-05-0j 9.20617e-05-0j -5.98306e-05-0j -3.73297e-08-0j -9.03678e-05-0j 8.8434e-06-0j 3.66428e-08-0j 2.83944e-07-0j -8.68068e-06-0j -2.78719e-07-0j -9.29531e-11-0j 9.12428e-11-0j 
-0.000308405-0j -4.97687e-05-0j 0.0118852-0j 0.00171548-0j -5.0795e-06-0j -5.98624e-07-0j -2.73233e-08-0j -4.02348e-06-0j -6.36168e-07-0j -5.02935e-07-0j -0.0142429-0j -7.25924e-08-0j 2.45164e-05-0j -2.96357e-08-0j 2.04303e-06-0j -7.40893e-09-0j -6.17411e-10-0j -2.30095e-11-0j -0.000183892-0j 0.000180508-0j -2.86692e-05-0j 2.81417e-05-0j -2.22071e-05-0j -3.20531e-06-0j 2.17985e-05-0j 0.00592921-0j 3.14634e-06-0j -0.00582012-0j -3.58365e-06-0j -0.101487-0j -2.98637e-07-0j 3.51771e-06-0j 0.000605148-0j 0.09962-0j 2.93143e-07-0j -0.000594013-0j 0.000123525-0j -2.11169e-07-0j -0.000121252-0j 7.27879e-06-0j 2.07283e-07-0j -3.04796e-08-0j -7.14487e-06-0j -1.96745e-09-0j 2.99187e-08-0j 1.93125e-09-0j -6.19687e-11-0j 6.08285e-11-0j 
