0.0229027-0j 0.0758593-0j 0.0211239-0j -0.0213341-0j -0.0179572-0j 0.0139643-0j 0.0515293-0j -0.141851-0j 0.15253-0j 0.374604-0j -0.0827462-0j -0.378332-0j 0.140683-0j -0.0511966-0j -0.0773587-0j 0.0895577-0j -0.24954-0j -0.249816-0j 0.00195087-0j -0.0269209-0j -0.00206841-0j 0.0285429-0j 0.00164913-0j -0.0227571-0j -0.00166555-0j -0.00454358-0j 0.0229836-0j 0.0626987-0j 0.00546234-0j -0.00120657-0j -0.075377-0j -0.00300362-0j 0.00107554-0j 0.01665-0j 0.0414481-0j -0.0148418-0j -0.00153619-0j -0.00074653-0j 0.0211985-0j 0.00302668-0j 0.000711007-0j 0.0103017-0j -0.0417664-0j -0.00981148-0j 0.00371043-0j -0.0512017-0j 0.00216658-0j -0.0298975-0j 
0.0264458-0j 0.000425216-0j 0.0478736-0j 0.0477589-0j -0.000901622-0j 0.0339091-0j -0.0221016-0j -0.163795-0j -0.00258042-0j 0.141022-0j 0.476722-0j 0.140683-0j -0.00467122-0j 0.292739-0j -0.380808-0j -0.298303-0j -0.17476-0j 0.0773722-0j 0.00225268-0j -0.0310856-0j 3.49922e-05-0j -0.000482872-0j -0.00187371-0j 0.0258561-0j -0.00186922-0j -0.00346746-0j 0.0257941-0j 0.0478489-0j -3.0127e-05-0j -0.000101844-0j 0.000415735-0j -0.00245602-0j 0.00735234-0j 0.00140539-0j 0.0338916-0j -0.101458-0j -0.00338377-0j -6.2539e-05-0j 0.046694-0j 0.00429702-0j 0.0052077-0j 0.000863001-0j -0.0592964-0j -0.0718631-0j 0.00156592-0j -0.0216088-0j -0.000526958-0j 0.0072717-0j 
0.00934999-0j 0.0105619-0j -0.0427039-0j 0.00871315-0j 0.0959284-0j -0.0308253-0j 0.00198891-0j -0.0579102-0j -0.0640949-0j 0.250919-0j -0.033781-0j -0.0511966-0j 0.292739-0j -0.149228-0j -0.0344847-0j -0.464991-0j 0.105655-0j -0.00556611-0j 0.000796441-0j -0.0109904-0j 0.00086917-0j -0.011994-0j -0.00333388-0j 0.0460056-0j 0.000680233-0j 0.000614596-0j -0.00938681-0j -0.00848106-0j -0.00376602-0j 0.000507016-0j 0.0519688-0j 0.000443639-0j 0.00558205-0j -0.00699652-0j -0.00612195-0j -0.0770289-0j -0.00310681-0j 0.00223974-0j 0.0428721-0j 0.000258789-0j 0.00402933-0j -0.0309071-0j -0.00357114-0j -0.0556024-0j -0.000709176-0j 0.00978621-0j 3.15756e-05-0j -0.000435725-0j 
-0.0154267-0j 0.0341085-0j 0.0283816-0j 0.0262615-0j 0.0243683-0j -0.0397672-0j 0.0425175-0j 0.095547-0j -0.206987-0j 0.0836037-0j -0.278088-0j 0.0773587-0j 0.380808-0j 0.0344847-0j -0.439431-0j 0.0552677-0j 0.0409618-0j -0.406247-0j -0.00131406-0j 0.0181333-0j 0.00280688-0j -0.0387332-0j -0.00111082-0j 0.0153286-0j -0.00102784-0j 0.00202268-0j 0.0141836-0j -0.0279118-0j 0.00245602-0j -0.00816936-0j -0.0338916-0j -0.00283411-0j 0.00144508-0j 0.112732-0j 0.039109-0j -0.0199412-0j 0.00189099-0j 0.00101306-0j -0.0260946-0j 0.000991018-0j -0.00202479-0j -0.0139796-0j -0.0136755-0j 0.0279408-0j 0.00306152-0j -0.0422472-0j 0.00512752-0j -0.0707567-0j 
-0.0163625-0j 0.0179572-0j 0.0447907-0j 0.0152418-0j 0.0120127-0j 0.0296097-0j -0.0368143-0j 0.101343-0j -0.108973-0j -0.26318-0j 0.0591167-0j -0.0895577-0j 0.298303-0j 0.464991-0j 0.0552677-0j -0.0599106-0j -0.529121-0j 0.178477-0j -0.00139377-0j 0.0192332-0j 0.00147775-0j -0.020392-0j 0.00349679-0j -0.0482537-0j 0.00118993-0j -0.00107554-0j -0.0164203-0j 0.0148418-0j -0.0038376-0j 0.000862019-0j 0.0529566-0j -0.000711007-0j -0.000719496-0j -0.0118953-0j 0.00981148-0j 0.00992862-0j -0.0032573-0j 0.00678033-0j 0.0449489-0j -0.00216237-0j -0.000475636-0j -0.0935646-0j 0.0298394-0j 0.00656349-0j 0.00786753-0j -0.108567-0j -0.00154788-0j 0.0213598-0j 
0.00954478-0j -0.031732-0j -0.00866223-0j 0.0424693-0j 0.0672841-0j -0.00727556-0j -0.0379506-0j -0.0591167-0j 0.192565-0j 0.0508974-0j -0.0344847-0j -0.24954-0j -0.17476-0j 0.105655-0j -0.0409618-0j 0.529121-0j -0.302261-0j -0.184082-0j 0.000813034-0j -0.0112194-0j -0.00261131-0j 0.0360346-0j -0.000676257-0j 0.00933195-0j 0.00331557-0j 0.0006274-0j -0.0457528-0j -0.00865775-0j 0.00224825-0j -0.00152327-0j -0.0310245-0j 0.000526964-0j -0.00133033-0j 0.0210202-0j -0.00727179-0j 0.0183577-0j -0.00300899-0j 0.00466701-0j 0.0415223-0j -0.0037259-0j -0.00111737-0j -0.064402-0j 0.0514153-0j 0.015419-0j 0.00268884-0j -0.0371044-0j 0.00666661-0j -0.0919953-0j 
-0.00248999-0j 0.0138235-0j -0.00229659-0j -0.0425162-0j 0.00987598-0j 0.0733332-0j -0.0757161-0j 0.015422-0j -0.0838876-0j 0.0134943-0j 0.00899619-0j 0.249816-0j -0.0773722-0j 0.00556611-0j -0.406247-0j 0.178477-0j 0.184082-0j -0.233678-0j -0.0002121-0j 0.00292685-0j 0.00113757-0j -0.0156978-0j -0.000179294-0j 0.00247416-0j -0.00331923-0j -0.000163673-0j 0.0458034-0j 0.00225859-0j 0.000995376-0j 0.000663584-0j -0.0137356-0j 0.00522628-0j -0.000116933-0j -0.00915707-0j -0.0721195-0j 0.00161361-0j -0.00306143-0j 0.000410572-0j 0.0422459-0j -0.00223274-0j 0.00373383-0j -0.00566565-0j 0.0308105-0j -0.0515247-0j -0.00545202-0j 0.0752347-0j 0.00843531-0j -0.116402-0j 
0.0168533-0j 0.0190378-0j 0.0155443-0j 0.0157054-0j 0.0136012-0j 0.0112205-0j 0.00358499-0j 0.0022067-0j 0.00244237-0j 0.00193087-0j 0.00128724-0j 0.00195087-0j 0.00225268-0j 0.000796441-0j 0.00131406-0j 0.00139377-0j 0.000813034-0j 0.0002121-0j 0.851591-0j -0.00127753-0j -0.150736-0j 0.000226129-0j -0.116759-0j 0.000175159-0j -0.117969-0j -0.106586-0j 0.000176974-0j 0.000159898-0j -0.131894-0j -0.0879291-0j 0.000197863-0j -0.076938-0j -0.0761488-0j 0.000131909-0j 0.00011542-0j 0.000114236-0j -0.108807-0j -0.0544034-0j 0.000163229-0j -0.0448805-0j -0.0549671-0j 8.16144e-05-0j 6.73285e-05-0j 8.24602e-05-0j -0.0248368-0j 3.72595e-05-0j -0.005476-0j 8.21494e-06-0j 
-0.00243256-0j -0.00274787-0j -0.00224362-0j -0.00226687-0j -0.00196317-0j -0.00161953-0j -0.000517449-0j 0.0304512-0j 0.0337033-0j 0.0266448-0j 0.0177632-0j 0.0269209-0j 0.0310856-0j 0.0109904-0j 0.0181333-0j 0.0192332-0j 0.0112194-0j 0.00292685-0j 0.00127753-0j 0.824999-0j -0.000226129-0j -0.146029-0j -0.000175159-0j -0.113113-0j -0.000176974-0j -0.000159898-0j -0.114286-0j -0.103258-0j -0.000197863-0j -0.000131909-0j -0.127775-0j -0.00011542-0j -0.000114236-0j -0.0851834-0j -0.0745355-0j -0.073771-0j -0.000163229-0j -8.16144e-05-0j -0.105409-0j -6.73285e-05-0j -8.24602e-05-0j -0.0527046-0j -0.043479-0j -0.0532507-0j -3.72595e-05-0j -0.0240612-0j -8.21494e-06-0j -0.005305-0j 
-0.0183922-0j -0.000295726-0j -0.0169637-0j 0.0166516-0j -0.000211277-0j 0.0239673-0j 0.015371-0j 0.01229-0j -3.79389e-05-0j -0.00210719-0j -0.00140479-0j 0.00206841-0j -3.49922e-05-0j -0.00086917-0j 0.00280688-0j 0.00147775-0j 0.00261131-0j 0.00113757-0j 0.150736-0j -0.000226129-0j -0.0119494-0j 1.79261e-05-0j 0.127421-0j -0.000191154-0j -0.125077-0j 0.116319-0j 0.000187637-0j -0.000174499-0j 0.00204879-0j 0.00136586-0j -3.07353e-06-0j -0.164342-0j 0.0831025-0j -2.04902e-06-0j 0.000246541-0j -0.000124668-0j -0.115362-0j 0.000845081-0j 0.000173063-0j -0.144148-0j -0.117412-0j -1.26777e-06-0j 0.000216247-0j 0.000176138-0j -0.10649-0j 0.000159754-0j -0.0352609-0j 5.28974e-05-0j 
