3.04955e-12+0.264863j 7.16843e-13+0.525127j -1.73702e-14-0.0585449j -1.82487e-14-0.318633j -3.87195e-14-0.378592j -2.25292e-14+0.158822j 1.93122e-14+0.250472j 4.12549e-15+0.0260441j -7.96806e-15-0.0740605j -7.1135e-15-0.0486447j -7.07107e-15-0.125204j -7.78851e-15-0.0595055j -2.20491e-15+0.0128283j -9.96934e-16+0.0184634j -6.39696e-15-0.0731579j 5.56223e-15+0.0171727j 8.99257e-15-0.0312457j 1.19767e-14-0.0161801j 3.1937e-15-0.0129803j 2.20605e-15+0.0389858j -2.05863e-15-0.0224347j -4.63917e-16-0.00821555j -5.98609e-16-0.0264075j -2.0977e-14-0.0219269j 2.96061e-15+0.0200337j 6.35239e-15+0.0113251j 1.86935e-15-0.0118715j -4.69367e-15+0.0138345j -1.11147e-15-0.031275j -6.34628e-15-0.0105556j -6.10543e-15+0.00507344j 1.54795e-14+0.0448441j 2.35044e-14+0.00979018j -2.52919e-14-0.00875025j 5.29156e-15+0.0377589j -2.27021e-15+0.0289912j 8.90685e-15+0.0334128j 1.03908e-14+0.0355776j -1.05634e-14+0.00774407j -4.60051e-15-0.0099343j -8.61138e-15-0.0517367j 7.90229e-15+0.0114746j -1.88628e-15-0.0113701j -1.20394e-15-0.00495052j -4.08157e-15-0.0137142j 3.59063e-15-0.0178283j -1.03002e-15+0.00301454j -2.29416e-15-0.00102589j 2.11965e-15+0.00744744j -9.75743e-15-0.0371875j 4.47047e-15-0.00186667j -6.81821e-15+0.0136993j -2.41871e-15-0.0154544j -1.47966e-15+0.00129802j -2.00865e-16+0.0410202j -4.37557e-16+0.0525877j -2.4496e-15+0.0130818j 2.21323e-15+0.012393j 1.04635e-14+0.0313811j -2.26989e-14+0.0175294j -4.1193e-15-0.0102721j -1.92632e-15-0.0370688j 3.31106e-15+0.053622j 2.66266e-15+0.00469074j -3.52915e-15-0.0104722j 2.21403e-15+0.0533104j 7.78084e-15+0.0800893j 4.7958e-16-0.00311132j -4.0215e-15-0.0287052j 1.2101e-15-0.0158316j -5.22651e-15-0.066223j -1.5455e-14-0.0888804j -1.26227e-15+0.0180934j 7.6592e-15+0.0929285j 2.38934e-15-0.0174664j -1.77796e-13-0.0418233j 7.57106e-13-0.113201j 
-3.73287e-12-0.523889j -7.99371e-13+0.26333j -4.86347e-15-0.331572j -1.25921e-14+0.0418363j -1.61611e-14-0.149205j 4.28346e-14-0.448985j 1.56712e-14+0.0500264j 4.53732e-16+0.0556716j -1.90299e-15-0.0105913j -9.40982e-15-0.119405j -2.06201e-15+0.072587j -3.1741e-15-0.0631137j 1.36773e-15-0.0616977j -3.70733e-15+0.040178j -3.87039e-15-0.0159243j -4.82521e-15-0.0119233j -4.17376e-15+0.0409174j -3.96598e-14+0.0582622j 1.65469e-16-0.020374j 2.03427e-15+0.0351529j -4.54043e-16+0.0148248j 8.80625e-16+0.0128951j -4.3206e-15-0.0186759j 4.23545e-14+0.0404296j -5.62355e-16-0.00585875j 1.32429e-14+0.0250666j 1.70721e-15-0.0239739j -9.07629e-15-0.00142482j -2.8558e-16-0.0320215j -2.68994e-15-0.000505237j -1.85379e-15-0.0314002j -5.04508e-15+0.0071045j -2.02408e-14-0.0280939j 5.94484e-14+0.0322965j -4.08165e-15+0.00807808j 2.99016e-15-0.010208j 9.05046e-16+0.000825698j 4.25098e-15-0.0304986j -2.39811e-15-0.0292249j -2.159e-15-0.0111217j -4.94411e-15-0.00966459j 3.95452e-15+0.0279025j 2.83124e-15+0.0037509j -2.8868e-14-0.0262962j -1.79566e-15-0.0239397j -4.88899e-16+0.0191639j -4.82328e-16+0.0345914j -2.67853e-15+0.00411496j 7.70413e-16+0.00439662j 7.09119e-15-0.0039515j -8.20283e-15-0.0568317j 1.13799e-14-0.0128824j -1.44079e-15-0.0105387j 4.52337e-16-0.0271091j -2.69352e-15-0.0167931j -1.77399e-16+0.0269784j 6.97095e-15-0.0380957j 4.61563e-15-0.0420691j -8.93254e-17+0.00172647j -4.78747e-14+0.0307564j 3.77358e-15+0.0181957j -1.30845e-15-0.00481092j 2.03481e-15-0.00206787j 9.08457e-16+0.025309j -1.36782e-15-0.0724382j 1.65223e-15-0.0436154j 3.31456e-15+0.0176903j 4.00029e-15-0.0377676j -5.7295e-16-0.012607j 5.94742e-16+0.0668064j -2.10826e-15+0.0335581j -4.30023e-15-0.0393013j 1.16827e-15-0.0860531j 4.23612e-15+0.0168246j 1.84381e-15+0.0923538j 1.08224e-13-0.113717j -4.9868e-13+0.0419129j 
-2.6838e-13-0.0357017j -5.96582e-14+0.0100634j -6.89146e-15+0.355029j 7.78842e-15-0.651434j -1.11144e-15+0.0791733j -1.6298e-14+0.114104j -3.13932e-15+0.301303j -1.2571e-15-0.432853j -9.71728e-17-0.262135j -2.33598e-15+0.0240257j -5.18949e-15+0.206083j 2.95337e-15-0.0463465j 9.69417e-15-0.305897j 1.43968e-14-0.0561666j 5.24835e-15+0.213681j -1.64517e-14-0.0753226j 1.1309e-14-0.074807j 6.18998e-14-0.103027j -1.4985e-14+0.141435j -7.91384e-16+0.0304786j -2.13663e-14+0.100627j 1.27844e-14-0.0382864j 7.59719e-15-0.0327079j -4.68527e-14-0.0479307j 1.5574e-15+0.077025j -2.66112e-15+0.00453624j 4.78062e-16-0.0842085j 1.06056e-15+0.0419099j 1.725e-14+0.0107923j 6.11371e-15+0.0587862j 7.07989e-15-0.0268213j -1.65985e-14-0.0132474j -3.76369e-14-0.0358054j 4.28152e-14+0.0135994j -9.05558e-16-0.0505583j 8.86346e-15-0.0491816j -4.9885e-15-0.0291001j -5.27593e-15+0.0338743j 4.5209e-15-0.00869541j 2.33363e-15+0.0404668j 9.97477e-16+0.100546j 3.70559e-15+0.0120409j 2.45945e-15+0.0579322j -2.96525e-15+0.00989511j -1.65696e-15-0.0318305j -2.35593e-14+0.0665294j 9.51348e-15-0.0624883j -3.42515e-15-0.0532759j 1.22274e-15+0.0392199j -2.23251e-14-0.00163053j 1.24721e-14+0.0943977j -5.02051e-15+0.00298474j 3.05956e-15-0.0238717j 5.05359e-16-0.028073j -5.51824e-15+0.0444977j -2.33944e-15+0.0315391j 1.0338e-14-0.0435212j 2.00394e-15-0.0368823j -9.56376e-15-0.027637j -9.41251e-14+0.0603194j -7.8004e-15-0.021768j -3.66603e-16+0.0152728j 1.61563e-15-0.0966154j 5.49156e-16-0.0819286j 2.09959e-15+0.0403456j 2.67317e-15-0.0396706j -2.45739e-15+0.0244384j 7.99867e-15-0.050567j 3.96793e-15+0.103954j 8.99784e-16+0.00311271j -1.14313e-15+0.0919449j -1.01823e-15-0.0638434j 1.61072e-15-0.00719071j -3.24265e-16-0.0334784j -3.11114e-16-0.00999738j 9.16818e-14-0.110886j -4.09549e-13+0.0308253j 
1.56433e-13+0.0129863j 3.48583e-14+0.029712j -2.31136e-15+0.599933j 8.48784e-16+0.301707j -9.48567e-16-0.299958j -7.25242e-15+0.147229j -1.74945e-16-0.586935j -8.97046e-16-0.0913895j -1.02396e-15+0.0680524j 1.94318e-15+0.152027j -3.98768e-15-0.077529j 3.30033e-15-0.438696j 3.40453e-15-0.108798j -1.27458e-14+0.121826j -2.19657e-15-0.0529436j -2.23512e-14-0.0954723j -3.72269e-14+0.159938j -2.18015e-15+0.0196989j 7.02989e-15-0.0393349j 2.70012e-15-0.0865134j -1.11641e-14+0.0150845j 1.46405e-14-0.147116j -1.84966e-15-0.0854828j 2.20824e-14+0.0143797j -3.16854e-15-0.00286567j 4.57224e-14+0.0796858j 5.51466e-15+0.0586509j -4.15841e-15+0.0188648j -3.82129e-15+0.000312924j -1.79731e-15-0.0470673j 1.73231e-15+0.0060939j -1.63448e-14-0.00792222j -4.27281e-14-0.0448121j 2.95617e-14+0.0144516j 1.45481e-15-0.041705j 2.11247e-15+0.00838225j 4.64405e-15+0.0223952j 4.41251e-15-0.0194226j -1.99764e-15-0.0237945j -5.47307e-15-0.0313409j 1.43468e-15+0.00891086j 1.40303e-15+0.0214737j -3.42851e-15-0.0515884j 1.16579e-14+0.00695173j -3.36934e-16+0.0176544j -9.72343e-15+0.0383217j 1.82938e-15-0.0208292j 4.91051e-15+0.00423908j 2.2913e-15+0.0059106j -1.16389e-14-0.0592753j 8.12345e-15-0.00956094j 2.41983e-14-0.0332363j 1.00407e-15-0.0211729j 2.36899e-15-0.0138112j -2.38704e-15-0.0312212j 3.49988e-15+0.0147436j 8.68473e-15-0.06198j 1.21285e-15+0.0445214j 1.36798e-14+0.0559097j -2.66825e-14+0.0176729j -9.69968e-15-0.0421561j 1.16679e-15+0.0251469j 5.4771e-16-0.0319024j 2.00614e-16-0.0314826j -1.383e-15-0.0383717j -2.89657e-16+0.0198334j 1.86395e-15+0.0370274j -4.13422e-15+0.0554714j 3.59298e-15+0.0995965j 1.20547e-15+0.0979775j 1.6604e-16-0.020663j -4.43412e-15-0.0386866j -1.44702e-15+0.0708519j -5.05721e-17-0.033451j 5.2698e-16+0.0408024j -1.73485e-13-0.0414824j 7.75371e-13-0.114682j 
-3.30398e-13-0.036721j -7.37025e-14-0.0203227j 3.57229e-17+0.0438799j -9.0606e-16+0.052829j 2.82163e-15+0.347489j -5.66906e-14+0.527859j -8.67171e-15+0.115815j 5.41879e-15+0.53983j -4.60925e-15-0.0389355j -3.98974e-15-0.200956j 4.59429e-15+0.137096j -1.01896e-14+0.0473648j 9.57798e-16+0.157604j -3.23248e-14+0.216576j -4.78338e-15-0.121695j -1.00587e-14-0.0827033j -6.00523e-14+0.16499j 2.46679e-13-0.341211j -4.43065e-14+0.427075j 1.08446e-14-0.161076j -1.63042e-14+0.0796115j 1.62029e-14-0.0963655j 2.10084e-14-0.0409926j -2.2515e-13-0.228127j 1.65203e-14+0.218378j -2.02643e-14-0.0455136j -9.21473e-15-0.0445433j -5.36e-15-0.0499288j -9.74702e-15-0.0331258j -5.62924e-15-0.0812909j -3.26732e-15+0.0754094j -3.59561e-16+0.0585305j -7.75928e-15-0.0239565j 7.60938e-14+0.0454399j -7.276e-15+0.00278184j -4.79625e-15+0.0143216j -4.7445e-15+0.00673649j -5.8688e-15-0.127649j 1.23018e-14-0.0596303j -5.79549e-15-0.0491935j 1.07208e-14+0.086494j -1.07716e-14-0.0251318j -1.61669e-15-0.0564674j 4.94185e-14+0.0484265j 2.45312e-15+0.0339571j -2.01076e-14+0.0432352j 3.65175e-15-0.11551j 1.54059e-14-0.0108802j 1.42688e-15+0.0416401j -3.46981e-14-0.0327681j 2.47031e-14+0.130468j 6.73687e-15-0.0136066j 4.12703e-15-0.0306777j 2.05498e-15-0.0167509j -9.82062e-15+0.0121029j -3.82502e-15+0.0841322j 8.61269e-15-0.0435814j -7.95839e-16-0.0501646j 1.5295e-14+0.0481572j 2.01904e-13-0.133514j -4.38253e-15-0.0323057j -5.56945e-16+0.0463339j -5.08606e-15-0.0455493j -2.11741e-16-0.0934641j 1.41266e-15+0.0386783j 1.66865e-17+0.0464954j -1.63392e-15+0.0097193j -6.47291e-17+0.0191501j 3.07117e-15+0.103422j 8.93849e-16+0.0426467j 4.50743e-16-0.0399825j 2.70826e-15+0.073548j -4.23889e-15+0.127533j -7.14647e-16-0.102182j -6.89743e-16+0.0594375j -4.45218e-14+0.0460062j 1.9204e-13-0.0157379j 
-4.84295e-14+0.0083467j -1.06655e-14-0.0653488j -4.99301e-16+0.0186826j 1.06836e-15+0.0433697j -5.06275e-15-0.334647j -2.83723e-14+0.208871j -5.54652e-15+0.402578j -3.06141e-15-0.171991j -2.42461e-15-0.349697j 1.60517e-15+0.0773289j 1.6052e-15+0.272755j -2.8461e-17+0.371183j 1.19402e-15-0.333214j -1.29873e-14+0.180224j 2.90928e-14-0.158862j -5.63738e-14-0.560123j 1.41776e-13-0.435975j -2.68667e-14-0.0331564j -3.92525e-14+0.0957734j 2.92991e-15+0.119839j 1.49627e-14-0.288246j -2.28912e-14-0.117999j 1.30371e-14-0.14291j -2.04408e-14-0.0240684j 3.37176e-15+0.0162267j 1.02736e-13+0.189212j 3.0652e-14-0.0473726j -4.91977e-14+0.00242275j 1.45601e-15-0.199799j 6.94396e-15+0.162588j 9.78459e-15-0.0560949j 1.40945e-14-0.0366427j 2.64779e-14+0.0494434j -6.29606e-14-0.0268356j -2.9533e-15+0.0707404j -9.21858e-16+0.0106558j 1.49966e-14+0.132441j 3.89793e-15-0.0492029j -3.55878e-15-0.059357j -1.2497e-15+0.0910046j -1.25932e-14-0.0761006j 2.06424e-14+0.0705215j -1.09747e-15-0.00170574j -4.11156e-15+0.000939656j -5.11029e-15-0.023582j -1.13381e-14+0.00888008j 1.09675e-14-0.0525487j -2.3026e-14-0.110457j 1.2038e-15+0.0256025j -2.58022e-14-0.0751174j 1.30555e-14+0.0174114j -6.76353e-14+0.108249j 3.76983e-16+0.0411845j -2.49293e-15+0.028419j -7.95379e-15+0.0653034j -7.81165e-15+0.0908733j 3.1018e-15-0.0446501j -7.90836e-16+0.0595392j -1.61177e-14-0.0710427j -5.36157e-14+0.0384556j -1.41784e-14-0.0508148j 1.22335e-15-0.0899768j 1.9197e-15+0.0828881j 4.1336e-15-0.103852j 2.26202e-15+0.0185994j -1.06142e-15+0.0511472j 7.12242e-16+0.000208722j -1.69883e-15-0.00222293j -1.82603e-15-0.013918j 1.51593e-15-0.0277385j -1.61427e-15+0.000755041j -9.08118e-15-0.147251j 3.49752e-16+0.0677521j 1.10517e-16+0.0102754j -3.5169e-16-0.102041j -1.32774e-13+0.0554833j 5.90609e-13-0.0677792j 
4.69881e-13+0.0589986j 1.03848e-13-0.00183975j -1.02484e-15+0.112285j 2.19982e-15-0.0176391j 3.51058e-16+0.0540884j 2.33391e-14-0.22747j 3.19191e-15+0.298715j 2.23892e-15+0.638381j -1.27815e-15-0.035905j 3.67119e-15-0.192049j 7.78716e-15-0.136968j -4.82743e-15+0.475408j -2.00726e-14+0.450484j -5.57118e-14+0.30373j 6.83206e-15+0.231686j 1.98864e-14+0.0868561j 1.27724e-13-0.330362j -3.36757e-13+0.405689j 6.54563e-15-0.147225j -1.43672e-14+0.136867j -6.85946e-14+0.273468j 4.58884e-14-0.18317j 1.18972e-14-0.0548475j 8.32024e-14+0.0613527j -4.11578e-15+0.166446j -8.64127e-14-0.115284j 5.06197e-16-0.207062j -7.98435e-15+0.0880002j 3.64342e-14-0.102583j 8.82297e-15+0.11292j 1.03138e-14-0.122318j -2.8244e-14-0.112073j -7.04186e-14-0.0606185j 4.26203e-14+0.0169845j -8.15006e-15+0.0453612j 6.66958e-15-0.0814672j 9.50185e-16+0.0454832j -2.81451e-15-0.0459251j 2.65669e-15-0.011948j -8.69206e-15-0.0213334j -4.95052e-15+0.0509091j 1.07875e-14+0.0284564j 2.91214e-15+0.0312728j 3.10435e-15+0.0166424j -3.69651e-16+0.0131539j -2.35109e-14+0.0752165j -3.44747e-15+0.0369412j 9.63182e-15+0.0377903j 5.27632e-15+0.0432076j -9.40284e-15+0.0172832j 4.84308e-15+0.0499497j 2.05981e-14-0.0319702j -2.97302e-15-0.0849343j -2.82062e-15-0.064959j -1.25558e-15+0.0372845j -1.36787e-15+0.00473545j 4.51863e-15-0.0050607j 6.71314e-15-0.033468j -4.45402e-15-0.00236634j -1.67134e-13+0.107689j 1.86597e-14+0.0716605j -2.73144e-15+0.0812527j 2.03629e-15+0.000683302j -2.63455e-15+0.00863814j -5.32103e-16-0.0260925j -1.53564e-15-0.0775559j 3.10146e-15+0.0928693j -8.80428e-15+0.0884473j 1.3255e-16+0.00294266j 7.56944e-16+0.0242075j -9.03487e-16+0.0590075j -2.26452e-15-0.0480149j 3.13861e-15-0.0641709j 1.10163e-15+0.0251537j 7.74715e-16+0.0557662j -1.25383e-13-0.0790579j 5.6182e-13-0.094173j 
-3.92494e-14-0.0113642j -8.53199e-15+0.0295834j -1.4363e-15-0.0303658j 9.57436e-16-0.078338j 3.82453e-15-0.174489j 5.25008e-15+0.0013687j 2.10964e-15-0.326157j -1.16707e-15+0.203585j -1.31764e-14-0.636601j -1.56703e-15+0.225473j -1.82423e-15+0.385603j -1.58439e-15-0.54984j 1.12039e-15+0.442985j -3.72826e-14+0.292648j -2.06284e-15-0.114223j -3.15733e-15-0.0397745j 2.4456e-14-0.122448j 1.10922e-13-0.17099j 3.85431e-15+0.0188816j -3.65683e-15-0.0160237j 1.48955e-14+0.0776873j -1.26079e-14+0.288033j 1.20807e-14+0.0784005j -1.485e-13-0.142024j 6.71283e-15-0.0659093j 2.27349e-14+0.0538294j 6.87177e-17-0.22775j -9.52682e-15-0.0520374j 1.0975e-14+0.014334j -3.50739e-15+0.0801328j 1.55349e-14-0.0310277j -4.55532e-15-0.038622j 1.58419e-14+0.041155j 6.19022e-14+0.0198829j 4.53144e-15-0.0699789j 1.15285e-14-0.0400999j -1.72374e-14-0.126358j -1.00564e-14+0.149188j -8.0771e-16+0.0966531j 1.36189e-14+0.0596078j -2.89685e-15-0.0384424j -1.84315e-15-0.0425471j 3.50019e-15+0.00336938j -3.3675e-14-0.036532j -7.35624e-16-0.0270038j 1.73554e-14-0.0152349j -4.31911e-16+0.0213113j -1.2649e-14-0.0392842j -1.12171e-15-0.0205793j 1.19904e-14+0.0233677j -8.58816e-15-0.0314229j 3.53819e-14-0.0561145j -3.78806e-15+0.0212165j -9.61699e-16+0.0342468j 6.50096e-15-0.0111299j 1.15592e-14-0.132756j -6.36535e-15+0.0480687j -8.34757e-15+0.0655008j -2.68858e-16-0.00515164j -1.3737e-13+0.0899232j -2.28675e-14-0.0882356j 4.71661e-15-0.0614593j 4.61386e-15-0.0372392j 2.94172e-16+0.0934034j 1.2673e-15+0.0423517j 3.51246e-15-0.0772458j -2.36395e-15-0.0548879j 2.94575e-15-0.0268464j 1.14371e-15+0.0258941j -9.66825e-17+0.0190334j -8.88278e-16+0.0211024j -2.12326e-15-0.0484675j 2.55311e-15-0.0526856j -9.04845e-16-0.0257435j -2.88342e-16-0.0926402j 1.10294e-13-0.0577227j -4.86627e-13+0.0532133j 
3.16488e-13+0.0236782j 6.86878e-14+0.0708198j -5.21697e-17+0.011517j -1.90664e-16-0.0342623j 5.58951e-16-0.102021j -2.53219e-15+0.0564657j -1.39022e-15+0.112673j -2.29714e-15+0.1589j 1.92344e-15+0.128042j 8.89553e-15+0.61651j 1.01425e-15+0.123561j 4.32236e-15-0.0877374j 3.4679e-15-0.200605j -2.52044e-14+0.216407j -1.7904e-14-0.266771j 5.39569e-14+0.375614j -9.04593e-14+0.178624j 2.18292e-13-0.261001j 1.59751e-14+0.0242274j 4.09241e-15-0.0219109j 3.55971e-16-0.174323j 1.45662e-15-0.235987j 1.49708e-14+0.097825j -2.38471e-13-0.223452j -8.11455e-15-0.227148j 1.86998e-13+0.351639j 1.38582e-14-0.154687j -1.55958e-14-0.0377475j 5.27756e-15+0.161998j 1.32529e-14+0.0538062j 2.31261e-14+0.0413098j -2.72979e-14-0.0849558j -2.15468e-14+0.033669j 1.74124e-13+0.083961j 3.02814e-16-0.0469847j 2.23e-14-0.143447j -1.1941e-14-0.00560591j -1.33881e-14-0.0537624j 2.59559e-14+0.117288j 1.95182e-14+0.0991961j 4.28791e-15-0.0361878j -3.56366e-15+0.00182846j -1.43367e-14-0.0255882j 6.01417e-14+0.0645591j -7.62652e-15-0.0596222j -2.17662e-14+0.0903708j 4.92744e-15-0.0770813j 7.00259e-16-0.0559997j -5.90803e-15+0.087187j -1.32293e-14+0.0089062j 3.64828e-15+0.0614162j -1.33253e-14+0.013109j 4.05837e-15+0.0233043j -3.17061e-16+0.00333911j 1.07551e-15-0.0203313j 3.27615e-15-0.0383102j 1.0839e-15-0.0357867j -5.79239e-15+0.0976072j 8.35236e-15+0.0247949j -7.72747e-14+0.0530279j -3.2382e-14-0.122836j 1.15645e-15+0.00147009j 3.31763e-15-0.0276143j 1.87958e-15-0.0161481j 2.9648e-15+0.0269509j 1.24117e-16-0.0851052j 4.16013e-16-0.113732j -1.64205e-14+0.124357j 1.27428e-15+0.0134754j 2.51999e-15+0.123578j 2.56189e-17+0.0139628j -5.02907e-15-0.043912j 5.21482e-16-0.0114179j 1.57999e-15-0.0695565j -5.1281e-17+0.0584539j -2.44797e-14-0.0175113j 1.07546e-13-0.0186425j 
7.73999e-13+0.101779j 1.68928e-13-0.0235578j 2.98217e-16+0.043068j 8.56512e-16-0.0318648j -9.29042e-16+0.00868016j -2.0769e-14+0.19297j -5.62255e-15-0.0435314j 1.34004e-15-0.0788734j 6.42149e-17+0.183972j 1.6345e-15-0.196795j 1.93601e-14+0.447342j 1.59408e-15+0.027975j -9.6786e-15+0.0392288j -7.94969e-14+0.618433j -3.74779e-15-0.19539j 3.67787e-14+0.173132j 4.16696e-14-0.255728j 1.00494e-13-0.142636j 4.19253e-14-0.282194j -2.20134e-14-0.400824j -6.27795e-14+0.388343j 3.96396e-14-0.135686j 6.23967e-15+0.320949j -2.19257e-14-0.00812821j -2.29224e-14-0.294859j -2.24586e-14-0.030531j -2.5613e-15+0.0412015j 2.6115e-15+0.11217j 4.33275e-15-0.0981909j -1.91235e-14-0.143312j -6.66168e-15-0.0833163j 2.36839e-15-0.00780645j -1.24589e-14-0.0110214j 4.59881e-13+0.262182j -5.20371e-14+0.0370544j 7.73306e-15-0.0979071j -2.70584e-14-0.0755581j -1.96096e-14-0.239967j 2.64775e-14-0.0343839j 2.14972e-14+0.0169048j 4.56212e-16-0.169523j -6.74388e-15+0.00858031j 6.76341e-15-0.0402392j -9.43705e-14-0.0904895j 9.63567e-15+0.0999112j 1.23344e-14+0.0143582j -3.41157e-15+0.0416295j 1.48166e-14+0.0715008j 3.9697e-15-0.0441214j 1.99618e-14+0.0317474j -1.9812e-14-0.086466j -1.51338e-14+0.0266681j -4.88442e-16+0.00780809j 2.07041e-15+0.0104843j -6.4681e-15+0.0313895j -8.64067e-15+0.0662896j 1.01056e-14-0.0144103j 1.26055e-15-0.0754516j -3.96915e-15-0.0241444j 2.00565e-13-0.130092j -1.6182e-14-0.0437408j 2.98671e-16-0.0359531j -4.26906e-15+0.0944011j -5.16867e-16+0.0447073j -2.71236e-16-0.0204707j -3.46024e-15-0.022858j -4.03493e-15-0.0429072j 1.76512e-14-0.148784j -4.84883e-15-0.0896727j -9.53882e-16-0.0122279j -2.1175e-15-0.0760462j -2.25405e-15-0.0278035j 4.71245e-16-0.0131047j 2.45676e-16+0.0521624j -8.84207e-16-0.000843903j 3.64497e-14-0.0214277j -1.64878e-13+0.0176262j 
-7.45849e-13-0.0938879j -1.62481e-13+0.00258218j 6.84288e-16-0.0670143j -1.21394e-15+0.0213902j -2.02018e-15-0.0934675j 1.15435e-14-0.0803196j 4.5949e-15-0.0013457j -1.37673e-15-0.023626j -6.27771e-15-0.0686164j 6.65387e-15+0.08201j 1.01479e-14-0.317795j 4.48244e-15+0.176263j -1.61195e-14+0.302683j -1.14138e-13+0.635992j 1.06013e-14+0.225713j 1.54372e-14+0.0955478j 5.19194e-14-0.0915832j -1.10461e-13+0.0967932j -7.71835e-14+0.376011j 1.74423e-14-0.161794j -9.5651e-14+0.793641j 7.31038e-14-0.0321278j 1.13382e-14-0.16499j 7.96447e-14+0.050166j -5.88872e-15+0.000136033j 2.53736e-13+0.375231j 5.89779e-14+0.149932j -1.02257e-13-0.142742j -3.89422e-14-0.368871j -1.80723e-14+0.141335j 5.69974e-15-0.0441235j 4.04354e-14-0.0232451j 6.78107e-14+0.0733447j -3.72389e-13-0.199908j 3.01093e-14-0.0407381j 4.66704e-15+0.0261356j 3.08635e-14+0.280259j -2.60902e-14-0.110979j 1.21731e-14+0.00262864j 9.33932e-15+0.153528j 1.38896e-14-0.07161j -3.3495e-14-0.128157j -1.04607e-14+0.105159j 3.45656e-14+0.0558752j -2.76508e-16-0.0640183j -5.01393e-15-0.0705231j 7.36516e-15-0.0511743j -1.97296e-14-0.0944923j -1.51716e-15+0.0407355j -1.71327e-14-0.0922451j 1.76064e-14+0.0106607j -5.2832e-15+0.00404887j -3.87113e-15+0.0527494j -2.1067e-15+0.0627437j 3.25682e-15-0.0107956j 3.13632e-15+0.0692788j -1.34906e-14+0.0366404j -8.71514e-15+0.0829936j -1.8083e-15-0.00575663j 1.43203e-14-0.00519069j -1.45884e-14-0.0714818j 5.46212e-15-0.0803905j 1.27444e-15+0.0170408j -1.24678e-15+0.00983086j -1.60044e-15+0.0422358j 5.10693e-16+0.0239947j 1.52113e-16+0.0120882j -6.27697e-15+0.0445721j -7.6681e-16-0.00435441j -2.59159e-15-0.0231659j 5.2737e-16-0.0476319j -1.46925e-15-0.0207811j -1.35063e-15+0.0490816j 1.11004e-15-0.047842j 1.10916e-15-0.0835787j 3.10022e-14+0.0560073j -1.39383e-13+0.0315406j 
