-0.0120448-0.0415719j 0.0169794+0.0698945j -0.0138146-0.0114298j 0.000154762-0.0395165j 0.0209849-0.0204885j 0.0191989+0.023202j -0.0199387-0.00578493j -0.0246026+0.0566256j 0.00196673-0.0492155j -0.0234733+0.101767j 0.0269898-0.0669967j 0.0301621-0.017074j -0.0485459+0.0416836j 0.0295867-0.0783095j 0.0583709-0.0429697j -0.0630011+0.0640133j -0.0309462+0.0212361j -0.000332264-0.0523816j 0.061354-0.0640527j 0.0495564-0.0220516j -0.00730597+0.0178306j 0.00475145+0.0161825j 0.0607091-0.103727j 0.0864228-0.0441293j -0.0748084-0.071202j 0.146272-0.0375728j -0.135909+0.180072j 0.0158484+0.00290039j 0.0333913-0.0224725j 0.0203843-0.0243429j -0.0396009+0.0370158j -0.0301838+0.0365822j 0.0498005+0.0146585j -0.00627915-0.0189222j -0.0213075+0.0317154j -0.0287772+0.00438023j 0.0290215-0.0420801j 0.00350003+0.0232971j 0.0272015+0.0322418j 0.0329889+0.0157914j 0.0214197+0.0318911j 0.00954559-0.00546264j -0.00192261-0.0307593j 0.00450467-0.0331648j -0.0207834+0.00542511j -0.0044202-0.0181164j 0.0294706-0.0358914j -0.0185996-0.0308456j -0.0347455-0.0286032j 0.00183669+0.00912833j 0.0665701-0.0363775j 0.0170357+0.00138256j 0.0569265-0.0711721j -0.0654808+0.0315683j 0.0705328-0.0717501j 0.0439684-0.049026j -0.0157755+0.027686j -0.0086726-0.0108319j -0.040831+0.0165643j -0.0373537+0.0315586j -0.02315-0.0574531j 0.0195452+0.125469j 0.0530834-0.0846841j 0.0765878-0.125508j -0.104042-0.0387738j 0.0196829-0.038744j -0.134084+0.0621282j -0.072892+0.0180654j -0.0339542+0.0414859j -0.0382908+0.0134389j 0.00817256-0.023126j 0.00702155-0.0261317j 0.0322266-0.0618109j -0.0310303+0.0601253j 0.0176008+0.0102507j -0.0140314+0.0208238j -0.0130927+0.00912101j -0.021958+0.0209077j -0.0106701+0.0188167j -0.00929974+0.0020766j 0.0212578+0.0124126j 0.0252315-0.0221891j -0.00966483+0.000333714j -0.0204863+0.0164198j -0.0174897+0.0131609j -0.0521481-0.0323378j 0.0209894-0.0345589j 0.0204504+0.00690342j -0.0989671+0.140564j 0.0559052+0.033885j 0.0887685-0.0440897j -0.00830045+0.0559228j 
0.0230139+0.0561764j 0.00431029+0.0455219j 0.0549416-0.0992322j -0.0321196+0.0175488j -0.0265131+0.00787973j -0.0291027+0.00467647j -0.0109178+0.0535372j -6.60716e-06-0.0385794j -0.0224867-0.00562362j 0.0483577-0.0104746j 0.0351666-0.0396115j -0.0614961-0.0183709j -0.0168773+0.0190789j -0.0164265-0.000834486j 0.022919+0.00280974j -0.0409912-0.018604j -0.00684934-0.0320246j -0.00522837+0.0086679j 0.0661403-0.00391465j -0.0447666+0.0541139j 0.0232118+0.00768663j 0.00836733-0.0298306j 0.0881486-0.0164773j -0.00284084+0.0792844j 0.199842-0.193928j -0.044197+0.136656j -0.0632528-0.070049j -0.0219608+0.0180977j -0.0127948+0.0615017j -0.00283791+0.0133761j 0.00496888-0.0615676j -0.0430558+0.0225064j -0.0213284+0.0504098j 0.0567009-0.082696j -0.0370889+0.0178191j -0.00468702-0.0300172j 0.0394403+0.0204323j -0.000794487-0.00239122j -0.013433+0.0289377j -0.0489567+0.0427451j -0.058592+0.0607786j 0.0137931+0.00685141j 0.00710963+0.0268008j 0.0354585-0.0109454j 0.0133993+0.023637j 0.027782-0.0439805j 0.0348072+0.00169525j 0.00782717-0.0639943j -0.0228681-0.0588397j 0.00360339+0.0274642j -0.00896771+0.0192484j 0.021672-0.0313136j 0.0369359-0.0263623j 0.0791675-0.114401j 0.011368+0.0745783j 0.0214249+0.0460142j -0.0125285+0.0159946j 0.0638697-0.0295302j 0.0428266-0.11112j -0.04098-0.00103767j 0.0612003-0.0223905j -0.0976955+0.0255675j 0.11534+0.00968432j 0.0527737+0.0197284j 0.10934-0.140985j 0.00598343-0.0116223j -0.000667091-0.131548j 0.0308209-0.0836773j 0.000706681-0.0449576j 0.0143659-0.0531956j 0.0286291-0.019617j 0.00164484-0.0027407j 0.0496727+0.00414728j -0.0173584+0.00914502j -0.0290357+0.0186404j 0.00676825+0.0308484j 0.000306717-0.0207047j -0.0185708-0.0217178j -0.00653322+0.0208659j 0.00704991-0.00463781j -0.00649082+0.023474j 0.00434088-0.0152838j 0.0146658-0.00801j -0.00447359-0.00169066j 0.0103518-0.048825j 0.0726271-0.117378j 0.00844987+0.0216948j -0.0350269+0.0574857j -0.0721889-0.063156j -0.0826829+0.110038j -0.022804+0.0828272j -0.0684977+0.050756j 
0.0445328+0.012094j 0.0161634-0.0198851j -0.0525938+0.00998655j 0.00555151+0.0181183j -0.029747-0.00571624j -0.0246365-0.00612881j 0.0774427-0.025507j -0.0321542-0.0455838j -0.0309598-0.0160755j 0.00063911+0.0137756j 0.0188481-0.039572j 0.00249902-0.0133042j -0.0435919+0.0103448j -0.00681619-0.0390732j -0.0313709+0.0081611j -0.0193426-0.047978j -0.0135685+0.0288708j -0.0372885+0.0277962j 0.0751949-0.00436382j -0.0688504+0.0533444j 0.00724696+0.039412j 0.0368249+0.0136969j -0.0769469+0.0454868j -0.0309442+0.00281117j -0.0576817+0.0546032j 0.00711787-0.0164647j -0.0342241-0.0238421j -0.0198512-0.00621927j 0.0242917-0.00105385j -0.00875356-0.0322954j 0.0304285-0.0190927j -0.02247-0.0165342j 0.0116621+0.0184648j 0.00346839+0.0344776j 0.0501353+0.00376449j 0.00720924-0.0104374j -0.00211441+0.0400675j 0.00196041+0.00909005j 0.0129275+0.00923827j 0.0308691-0.0291707j -0.00731716-0.0159941j 0.00260989-0.000923802j -0.0228619-0.0289219j 0.00780574+0.00705123j 0.0241454+0.0372893j -0.0666202+0.00155996j 0.0572202+0.0247489j -0.0427289-0.0309874j 0.00225846-0.129586j -0.0231583-0.0590402j -0.0169346-0.0380029j -0.0289527+0.0152658j -0.136895+0.0410671j 0.0156923+0.027129j -0.0387384+0.0189543j -0.0255226+0.0222857j 0.00660941-0.00886991j 0.00728394+0.0487348j 0.0560512-0.0579803j -0.00349199-0.0557973j -0.0459091+0.0236282j 0.0226891-0.0126151j -0.0761629+0.0827305j -0.0487378+0.0500223j -0.0214914+0.00224767j -0.0193215-0.0430967j 0.0206761-0.0693586j -0.00335606-0.0223678j 0.0166906+0.0117632j -0.00244631-0.00757305j -0.00749311+0.0289173j -0.0115454-0.00843296j -0.00787521+0.0320939j 0.023865+0.00792645j 0.0118786-0.00583431j 0.0270535+0.0445544j 0.0199191+0.0106784j 0.0381387+0.0156222j 0.0218213+0.00824458j -0.0102319-0.000739056j -0.0303705-0.0169726j 0.0116321-0.0439937j -0.0169458+0.00127275j -0.0237507+0.00685059j -0.0132862+0.0150137j -0.0176179-0.00436768j -0.0107652+0.0219317j -0.0313277-0.050884j 0.0387275-0.0330046j 0.0130333-0.0517643j 0.0152607+0.0443068j 0.0361456-0.0191983j 
0.0265128+0.0134155j 0.0775079+0.00199234j -0.0645964+0.0116927j 0.0211596+0.0331377j 0.00163111-0.0374478j 0.020096+0.0310978j 0.0700877-0.0245681j 0.0360253+0.0197378j -0.0174179+0.00270105j 0.0261602+0.0106388j -0.0172846-0.0965028j -0.0635027+0.0388569j 0.128859+0.00526729j -0.0272061+0.0118992j 0.0799226-0.0414695j 0.248358-0.0442161j -0.0555661+0.0133552j 0.00232476-0.04222j 0.00138368-0.0930783j -0.0183085-0.00239167j -0.100152+0.051848j -0.0227306+0.0207998j -0.00211366+0.00681609j -0.00539477+0.045922j 0.102735-0.0276361j -0.0617767+0.0574798j 0.0553151-0.00303389j 0.0091494+0.0118141j -0.0411358+0.0260036j -0.0406364-0.01073j 0.000828362+0.0235323j -0.00986902+0.0346449j 0.00554578+0.0296999j 0.0460255+0.00740915j -0.00750005-0.00880873j 0.0413065-0.0111787j 0.0126064-0.0044256j 0.0162909+0.0331488j 0.00485157+0.0451081j -0.0572041+0.0102584j 0.0169971+0.0204473j -0.0282931+0.0330441j 0.0110064+0.0257896j 0.00713687-0.039388j -0.067745-0.00996249j 0.0339248-0.00479187j 0.00485322-0.0195255j 0.0147335+0.0316445j 0.0960052-0.0289316j -0.0703773+0.0788782j 0.0411623+0.0477024j -0.00552698-0.0208576j 0.0597122-0.0706157j -0.0635947+0.0205923j 0.0441457-0.0454064j -0.00742578+0.00149574j -0.0794242+0.0490072j -0.0727328+0.0494233j 0.0526931-0.0266767j -0.0433369+0.0327396j -0.0377433+0.0128041j -0.0629735+0.0760022j 0.0214548-0.0263484j 0.0348875-0.0789931j 0.0906416-0.0703489j 0.0239775-0.038896j -0.00552031-0.0301825j -0.00709762-0.0113492j 0.00229629+0.00731646j -0.00698029+0.00754087j -0.0022358+0.00360497j -0.00389437-0.0094809j 0.0112603-0.00763417j -0.0248546+0.0230508j -0.000335954-0.0132103j -0.0198797+0.0143699j 0.0180227+0.0022735j 0.00496406-0.000475807j -0.0164193+0.00877003j -0.0106225+0.0206444j -0.0279062+0.0468398j -0.00909831+0.00402403j -0.0173714+0.00233797j -0.0258574+0.0454181j -0.0107084-0.0058164j -0.00702707-0.0318687j -0.00305984-0.0142937j -0.0244627-0.00674788j -0.00698945-0.0239155j -0.0274819+0.024904j 0.00322295+0.0244806j 0.0103121+0.0380826j 
0.0114683+0.024502j -0.0277928+0.0163169j -0.00343263+0.0128619j 0.00379492-0.0294534j 0.0108548+0.0258199j 0.0067177-0.0275702j 0.0170439+0.0768908j -0.00358449-0.00675963j -0.00223519-0.138119j 0.00848393-0.0417953j 0.0117315-0.00679521j 0.025257+0.119051j 0.0427967-0.00302448j 0.101342+0.0285207j -0.0163343+0.0311636j 0.00266496+0.0462442j 0.0437253+0.0686777j -0.00455674-0.0509307j -0.0958844-0.00484237j 0.0917238+0.0137652j 0.0357576+0.0938624j 0.0858168+0.113004j 0.0544751-0.0313566j -0.0605696-0.0395306j 0.0444354-0.0154249j -0.0541919-0.0910902j 0.00313358+0.0350587j 0.0148038+0.0384495j -0.0407362-0.00825891j -0.028731-0.0604102j -0.000436851-0.014355j -0.0642358+0.00192388j 0.0077884+0.0201531j 0.0167096-0.0230919j 0.0131378-0.0758974j -0.00881506+0.00151799j 0.00883022-0.0517617j 0.00373657+0.0446042j 0.0146323+0.0761387j -0.00723337-0.0313874j -0.0744532+0.028573j 0.038089-0.116439j -0.02261+0.0076098j 0.0409918-0.00113502j -0.0634182+0.0266758j 0.0665812+0.0206705j 0.0338764-0.0296063j -0.0449884+0.00665899j -0.0128941-0.0124461j 0.101635-0.013211j 0.00428328-0.0464214j 0.0411093+0.0128744j -0.0326622-0.00448095j 0.133738-0.0563611j -0.064751-0.0237252j -0.0412832-0.0419528j -0.0177429-0.0226584j -0.00630369-0.000878265j -0.0255112+0.0766488j 0.0288003-0.0107807j -0.00436917+0.0142141j -0.0671436+0.0468506j 0.0694054-0.0342717j 0.0259605-0.0665985j 0.0262962+0.0812981j -0.0323098+0.0288979j 0.00842864+0.0740577j 0.0343746+0.0324367j 0.00371983+0.0010269j 0.00627636-0.0167813j 0.0192047-0.00790795j -0.0286862+0.0273129j 0.0307856-0.024753j 0.0463405-0.0273297j -0.0168883+0.0212438j 0.113128-0.0430433j 0.014188+0.00084193j -0.0406475-0.0049902j 0.0253611-0.0113071j -0.00294913+0.0189194j 0.0223408-0.0148586j -0.020085+0.0284592j 0.00544158+0.00801013j 0.0235222+0.00908306j 0.0145998+0.0221908j 0.0258187-0.00272776j 0.0203645-0.0160728j 0.00723897+0.0206602j 0.0030714+0.0228724j -0.0222947+0.00751709j -0.011526-0.0359584j -0.0280787+0.00117063j 
0.00762836+0.0395377j -0.00242179+0.0294575j -0.0559485+0.00632819j 0.0412326-0.00588497j 0.00528687-0.04312j 0.0833452+0.00575639j -0.00896164+0.0938417j -0.0346329+0.0978926j -0.0328534+0.0467887j -0.130982+0.0417315j -0.0238983-0.0504089j 0.0579726-0.0578261j -0.00732193+0.0571581j -0.0160679+0.0274704j -0.00944019+0.0918296j -0.0286817+0.124192j -0.0395906-0.00851505j -0.0372919+0.0257161j -0.0839232+0.0282315j -0.0320825-0.0339334j -0.0124903-0.0972293j 0.146213-0.0504283j -0.00129791-0.0375971j 0.00289936-0.000512281j -0.0289376-0.016542j 0.0178942-0.0241437j -0.0558413+0.0521361j 0.0228804-0.0431353j -0.0104359-0.0240946j -0.0158034-0.0258171j -0.000654307+0.0313626j 0.0188396-0.0412555j -0.00523744-0.0267114j 0.0114825+0.0072862j -0.00619684+0.0622352j -0.0123727+0.0254212j -0.0200545-0.0228061j -0.0170679-0.0158544j -0.00614669-0.0615008j 0.0210157+0.0897141j 0.00191229-0.0640786j -0.019594+0.0448391j -0.02978-0.0579349j 0.00991627+0.0206515j 0.0683765-0.00390701j -0.023205-0.042795j -0.0119608+0.073377j -0.0160427-0.0202461j -0.0299725-0.0745275j -0.0223921-0.106697j 0.000139811-0.0762511j 0.0300021-0.0116239j -0.004575-0.0107529j 0.0116839-0.000470159j -0.0568584+0.0362224j 0.00093751+0.0259964j -0.0340556-0.012413j -0.0132262+0.0306002j -0.00494644-0.107338j -0.0169568-0.0664211j 0.0552724-0.0420066j -0.0082484+0.048251j 0.0115614-0.056128j -0.000729549+0.00358794j 0.00870811-0.0279257j 0.0285969-0.00114272j 0.0253584+0.00709121j 0.00434146-0.00260921j -0.00520067+0.00383204j -0.0183404+0.00373724j -0.0118547+0.0173228j 0.00477892-0.00239858j 0.00667771+0.0234331j 0.0108512-0.0139905j 0.00489759-0.00939121j 0.00458765+0.0168865j 0.00895388-0.0073671j -0.0255195-0.0184149j 0.00710411+0.00363806j 7.36954e-05+0.0160149j 0.0139146+0.0345288j 0.00827164-0.00230815j 0.00605405+0.030714j -0.0143582+0.0185198j 0.0127388-0.041919j 0.00230289-0.00699806j -0.0180274-0.0118531j 0.0256812+0.00643799j -0.0278995-0.002437j -0.0116524+0.030287j -0.0133507-0.00980356j -0.0102296+0.0199756j 
0.0448576-0.0247046j 0.000192766-0.0289565j -0.0227719+0.0172107j -0.0581796+0.011417j -0.033698-0.0352152j -0.0153915+0.0808136j 0.0780754-0.040302j 0.022866+0.0227622j 0.0651696+0.0197934j -0.037232-0.0202806j 0.0480199+0.0458804j -0.0704022+0.0715729j -0.0201678+0.05893j 0.105337+0.0178154j -0.0156818-0.0269053j -0.010163-0.00445454j -0.00970068+0.0560898j -0.0158829-0.0906751j -0.0662759-0.1012j -0.0735381+0.00228106j -0.0313242+0.136721j 0.0346215+0.00557432j 0.00661576+0.112326j 0.0548678+0.0523569j -0.0290189+0.0991597j -0.0575896+0.0365675j -0.0217953-0.0174806j 0.0214594+0.017204j -0.0224868-0.0891831j 0.0317061-0.0538747j 0.0680554-0.0126258j 0.0157989-0.0688645j -0.0160644+0.00564137j 0.003359-0.0297686j -0.0422298-0.0325234j -0.0034699-0.0334647j -0.000411992-0.0617051j 0.0585385+0.0333085j 0.0796316+0.0352005j -0.0583322-0.0333516j -0.0145252-0.00644977j 0.063395+0.0711775j -0.0424405-0.0319595j -0.0578518+0.0167547j 0.0832557-0.0324173j -0.0665983+0.0324021j -0.0295404+0.0574465j -0.0209897-0.151534j -0.0806784-0.0989557j 0.0540197+0.0257544j -0.068013-0.0502235j -0.0486386+0.0453954j -0.0244228+0.0432712j 0.00590844-0.0615227j -0.0186652+0.0260395j -0.0133414+0.014687j 0.00224377-0.107497j 0.0999929-0.0174648j -0.013307-0.0528919j -0.00667421-0.0826465j 0.0172126+0.0239747j 0.0270426+0.0381569j 0.0666294+0.0354442j 0.00352717-0.0446305j -0.0106424+0.0139088j -0.0164731+0.0244741j -0.0172398-0.00139563j -0.0164736+0.0133659j 0.016422-0.0269392j -0.00899123-0.0226509j 0.00995066+0.00397737j 0.0176833+0.0183159j -0.00265701-0.0207676j -0.0517904-0.028938j 0.0595089+0.0165936j -0.081168-0.0611825j 0.0258576-0.0046959j -0.0150904+0.00563662j -0.0294935-0.0249553j 0.0210855+0.0087979j -0.00265133-0.00807493j -0.020791+0.0174449j 0.00597064-0.0021575j -0.00896861-0.0185546j 0.0136994-0.0113939j -0.0203703+0.00155718j -0.001222-0.017868j 0.00290835+0.00057022j -0.00759092-0.038553j -0.00720226+0.0125286j 0.0096216+0.00426391j -0.00615256+0.00996885j 
-0.00896785+0.00455136j -0.0297062-0.00953441j 0.0726452-0.0255924j 0.00282592+0.0565666j -0.0749169+0.0242068j 0.0255265-0.0446596j 0.0849691+0.0484785j -0.000278624-0.117123j 0.00870989+0.0278995j -0.0486554-0.118758j -0.0802065-0.0126773j 0.0300879+0.0153292j 0.111199+0.135305j -0.106404-0.0215821j 0.0220957-0.0278332j 0.13394+0.0705799j 0.0183726-0.00946946j -0.0486318+0.00104562j 0.00770267-0.148541j -0.091388+0.169017j -0.0151974+0.0251563j 0.0268378+0.059747j -0.0139221-0.0207521j -0.0623853-0.0660094j 0.023464-0.134976j -0.0621622-0.0276796j 0.0558315+0.0624221j -0.0151017+0.0407406j -0.0447633-0.000961324j -0.0292599+0.00217152j 0.0380526-0.00883712j 0.037553-0.00382164j -0.0309186-0.00343326j -0.0187777-0.0288602j 0.0417433+0.0851122j -0.0382283+0.0472581j 0.0127921+0.00366133j -0.0759059-0.0191932j -0.0499172-0.0387781j -0.0511823+0.0318921j 0.0299507+0.00186617j -0.0194493+0.0152514j -0.0709503-0.0407041j -0.0191946-0.0651196j 0.0911468-0.0473797j 0.021887+0.0447216j -0.000297402-0.0204512j -0.00205952-0.0201688j 0.0332236-0.0656547j 0.0287684-0.0620122j 0.00634267-0.0368694j 0.0327001-0.0368367j -0.0193102+0.0413703j 0.0602359-0.0298138j -0.00183069+0.0479301j 0.0338798+0.0292479j 0.0161944+0.0173698j 0.0248566+0.02063j -0.0547149-0.0148675j 0.0305511-0.0252773j -0.016244-0.0457328j 0.0178886+0.00486671j -0.0499746+0.0407263j -0.0337632+0.0810814j -0.0393967-0.00211815j -0.017533-0.0351721j 0.03783-0.0474966j 0.0323496-0.0504591j 0.0143643+0.0164586j 0.0389984-0.00866884j 0.00934389-0.00131662j 0.0102739-0.00296101j -0.00995109+0.0150135j 0.0104205+0.0220319j -0.00569996+0.0180747j -0.0187164+0.0327525j -0.0145818+0.0133735j 0.0105498-0.0136132j -0.0124346+0.000950003j 0.0140111-0.0257602j 0.00586932-0.00117975j 0.000218564-0.0310965j 0.00776196-0.0109684j 0.0113152-0.0295027j -0.0125264+0.00173218j 0.0217121-0.0212335j 0.00840796+0.0326634j 0.00197085+0.00574466j 0.0208212+0.0124222j 0.0124457+0.0036165j -0.0157025+0.0203592j 0.00948235-0.00753882j 
-0.00592341+0.00838967j -0.0140335+0.0344976j 0.123171+0.0350446j 0.0154109-0.0168994j -0.0391091+0.0377995j -0.0808734-0.0847959j -0.025364+0.00551648j 0.0165574-0.0168142j -0.0599785-0.00462655j 0.0254248+0.107834j -0.0363062+0.0970835j 0.000821041-0.053612j 0.000641777+0.0440497j -0.0303856+0.039635j -0.0597379-0.0514633j -0.0513561+0.0600008j -0.0239916-0.0204746j -0.0558608+0.039363j 0.0690525+0.0129922j 0.0238257+0.0985131j 0.00532217+0.0137371j 0.0190679-0.0555538j -0.00928062-0.0381934j -0.0624517-0.0590518j 0.0370499-0.00321327j -0.0351635+0.0053478j -0.0353016-0.0276079j 0.00398488+0.0313363j 0.0445363+0.0250551j -0.0145586+0.00684352j 0.0097416-0.0632674j 0.0433372+0.100646j -0.03449+0.00753626j 0.00530263-0.0506038j 0.019997+0.059914j 0.0130228+0.00319207j 0.0442897+0.0103342j -0.00784108+0.0139572j 0.0521145+0.0952718j 0.0282483-0.063777j -0.0686043+0.0814547j 0.110524-0.0600929j 0.0575307-0.0590186j -0.0119752-0.0494087j -0.00852373+0.0729787j 0.0585897-0.0311761j 0.0686633-0.0693212j 0.0202435+0.0504974j -0.0147453+0.0698202j 0.025863+0.00698898j -0.0344916+0.0650649j 0.0385913+0.0378511j -0.0257427-0.0460098j 0.0728436-0.0136664j 0.0331292-0.0422578j 0.0392981-0.0415568j 0.0138572+0.0251728j 0.0844556-0.107668j -0.0726776-0.00233259j -0.0192785+0.0598291j 0.064219+0.0418661j 0.00293267-0.00245509j -0.0362391-0.102648j -0.0252034-0.0144026j -0.0206643-0.0429239j 9.59302e-06+0.0148818j 0.00757837+0.0337781j 0.00628154+0.013796j 0.00361997+0.0199771j -0.013384-0.0137168j 0.0204527-0.0305401j 0.000242311-0.00275149j -0.000124463-0.0290637j -0.0125227+0.0460406j 0.0479411+0.00728682j -0.0127737+0.00875232j 0.0172584-0.0066093j 0.00707909-0.0224353j -0.00318828-0.00178658j 0.021414-0.00179972j 0.0152209+0.0260488j -0.00155158+0.0059897j -0.00285622+0.00232076j -0.0152171+0.0250069j -0.00794993-0.0110089j 0.00806975-0.0228569j -0.00881683+0.00341332j -0.00147795+0.0493896j -0.0155537+0.0566902j -0.00486527+0.0393513j -0.0188427-0.01834j 0.000930359+0.0302195j 
0.0114896-0.0293917j 0.00287597-0.011305j 0.0591249+0.031326j -0.00373512-0.0626918j -0.0130739+0.0106335j 0.0896797-0.00692102j 0.0311817+0.0217797j 0.0761164-0.0254325j 0.068244+0.00437676j 0.014325-0.10988j 0.0478144+0.118367j -0.0148018-0.0249254j 0.146475-0.0110536j 0.0568006-0.038825j -0.0393226+0.0181888j 0.0977519-0.0195013j 0.0713431+0.0441242j -0.0450853-0.0475946j 0.023218+0.078912j -0.0161937-0.112103j -0.0103428+0.0772768j 0.00923886-0.0136696j 0.115924-0.0844324j 0.10313-0.0765522j 0.0508552-0.00494201j 0.07685-0.0281432j -0.010337-0.00319021j -0.0242991-0.0193743j -0.0438194-0.0133966j -0.00503738+0.00828435j -0.0265301-0.00281508j -0.0194571-0.0767032j -0.00820327-0.0342406j 0.0071633-0.069393j -0.0176654+0.0285191j -0.0805114+0.005543j -0.0112962-0.0340671j -0.0660644-0.0554899j -0.095002-0.0736326j 0.0164717+0.119925j 0.0432436-0.046374j -0.0275177+0.0263514j 0.00488395+0.0302864j 0.00192652+0.0164903j 0.0595864-0.0928006j -0.010916+0.00233385j -0.0568617-0.0152674j 0.0323393-0.0226819j -0.0554448+0.0600383j 0.0519619+0.0533112j 0.057918+0.00223551j 0.0290782-0.0247895j 0.0162506-0.083333j -0.0684353-0.0368465j -0.0321112-0.039378j -0.0121427-0.0275645j 0.017278+0.00532517j -0.0203178-0.0568114j 0.00595424-0.0234786j -0.0225808+0.0553727j 0.0799237-0.0221538j 0.0343414-0.0280844j 0.0194685-0.0459156j -0.0315666-0.00294208j -0.00137808-0.0295187j -0.00225734-0.0150324j -0.00901044+0.0576633j -0.0307377+0.010602j -0.033011-0.0159789j -0.0161905+0.026328j -0.00903405-0.0110985j 0.000259688+0.00698022j -0.0214312-0.0323765j 0.0206158-0.0138012j -0.0365687+0.0254967j 0.0155609-0.0479642j -0.0105233-0.00214527j 0.0283395-0.0219715j 0.00227213-0.0158807j -0.0114146+0.000397187j -0.00240555+0.0130095j -0.0152665+0.0151416j -0.0105918-0.0135783j 0.0102377+0.0178385j -0.0143356-0.00604991j -0.0155667-0.00893928j -0.0166114+0.0142759j -0.0103968+0.027397j -0.0266489+0.0393912j 0.00291704+0.00968971j 0.00696237-0.0141085j 0.0124709+0.0177171j 
-0.0540076+0.0053752j 0.0254717+0.00851225j -0.0182143+0.0961636j -0.0289731-0.0495284j -0.00576312-0.0632049j 0.0391961-0.0599902j -0.0301042+0.0316404j 0.013599-0.0844425j 0.0120166-0.0669663j -0.00069257+0.0503041j 0.00187336+0.000698957j -0.00908944-0.0462639j -0.0680645-0.030546j -0.0841617-0.0495098j 0.00377969-0.0625388j -0.0266956-0.0529436j -0.00334953-0.0281709j -0.0160388+0.0264801j 0.011645+0.0486423j 0.00886864-0.0201455j 0.0376196+0.0454546j -0.110342+0.0226667j -0.0128635-8.97622e-05j 0.0778794-0.0986996j -0.105033-0.0226384j 0.0898991+0.0134234j 0.0479121-0.0455358j -0.0380093-0.013363j -0.0253056+0.0180623j 0.026004+0.034498j 0.00764405+0.00495317j 0.0217924-0.000856892j 0.00759282+0.0301052j -0.00446098-0.0162709j -0.0031924+0.054946j -0.000705534-0.0923589j -0.0149694+0.0654421j 0.0169021-0.0855313j -0.0870507+0.0193309j -0.028682+0.00764049j 0.0501307-0.0114691j -0.00389309+0.0564699j -0.0740885-0.00512341j 0.0116315-0.0441476j 0.0326148+0.0482954j -0.0523682+0.0430694j -0.0239454-0.0122461j -0.0121585-0.00772983j -0.130909-0.0264035j 0.101053-0.0374604j -0.0626225+0.0416745j -0.0448025+0.114729j -0.00571088+0.0748308j 0.0527348+0.078304j 0.0255693+0.021491j -0.0111793+0.0521733j 0.0450782+0.073176j 0.111815-0.0121226j -0.00482072-0.085744j 0.0120251+0.0571642j -0.0632815+0.0884309j 0.0818016-0.018097j -0.0148853-0.0530061j -0.0989879-0.00367645j 0.0384369-0.108312j -0.050333+0.00755468j 0.00104053-0.0038422j -0.00542215+0.0115099j 0.0181047-0.0265586j 0.0107976-0.0176247j 0.00381254+0.0123902j 0.0135266+0.000956283j -0.0231384+0.0170862j -0.0102855+0.033258j 0.00494714+0.00706924j -0.0121275+0.0364084j 0.00706765+0.0003558j 0.00411792+0.0285352j -0.0253889+0.0298803j 0.0191874-0.0111419j 0.00277502+0.0300422j -0.00961202-0.00343934j 0.00371235-0.0269006j 0.0157133+0.0167365j -0.0200382+0.0115453j -0.0537022+0.0275392j -0.0276207+0.00613182j -0.0170763+0.0434578j 0.0240145-0.0488337j 0.0181392+0.0658912j -0.0386107+0.00739771j 0.0626465+0.0421512j 
