0.000242968-0.00130902j 0.00126826-0.0058926j -0.000579448-0.000598628j -0.00466733+0.0099278j 0.000715295-0.00236553j 0.000108824-0.000229339j -0.00215847+0.00372905j -0.00477019+0.00766162j 0.00286009-0.00482793j -0.000596153+0.00137278j -0.00286365+0.00471756j -0.00101947+0.00169721j 0.00161851-0.00165278j -0.0041634+0.00556806j -0.00530826+0.0082671j -0.00432045+0.00673423j -0.00295445+0.00651695j 0.00376185+0.00217617j -0.0264167+0.0303128j -0.0153354+0.0372429j 0.0314842-0.0222127j 0.220555+0.0591674j 
-0.0115098-0.0904234j -0.00110125+0.0555973j -0.00410356-0.0660141j -0.0292879-0.048714j 0.00766206-0.000523881j -0.00182063+0.00973117j -0.00143937-0.0042192j -0.00884744-0.00856308j 0.0102773+0.00857622j 0.00647276+0.00338619j -0.00342303-0.00312981j 0.000621159-0.00155012j 0.000188898-0.00211151j -0.0110714-0.00615208j -0.0126279-0.00880281j -0.000347872-3.98695e-05j 0.00669188+0.0021942j 0.00657364+0.00177524j -0.0221403-0.00673987j 0.0141911+0.0056849j 0.0297741-0.00254512j 0.00287535-0.00114386j 
0.00372329+0.0175937j 0.0150536+0.0158975j 0.0129067-0.0014668j -0.0162238-0.0110228j 0.00835924+0.00444607j -0.00461359+0.00316746j 0.0028179-0.00267413j -0.0131159-0.00544876j 0.0136024+0.00341948j -0.00178595+0.000765974j -0.00103799-0.00282844j 0.00405715+0.00016158j -0.00234991-0.00662073j -0.0214262-0.00375487j -0.0178384-0.00945055j -0.0113729-0.0148832j -0.0069032-0.00546802j 0.0134096+0.00782027j -0.0280895-0.00612066j 0.0594969+0.0294206j 0.237154-0.0429887j 0.0224684-0.0185856j 
-0.0034508-0.00607084j -0.00899368-0.00363042j -0.0117461-0.00605228j -0.00689672-0.00843949j -0.0177781-0.01076j -0.00522593-0.00506695j -0.0272542-0.0114191j -0.0171681-0.00818486j -0.0094096-0.00433193j -0.0177507-0.00328077j -0.0291973-0.00731387j -0.0110727-0.00729202j 0.0355742+0.0150493j 0.014209+0.00691259j -0.00367642-0.00228877j -0.0665763-0.0182686j -0.0378786-0.00462804j 0.0288146+0.00754107j -0.00812232+0.00905447j -0.220655+0.0254371j -0.00858395+0.00582476j -0.00311772+0.00256754j 
0.00545312+0.0098996j 0.0158586+0.00718036j -0.00232007-0.00694758j -0.0228064-0.00774458j 0.0165697+0.00130469j 0.0111685+0.00420843j -0.0157886-0.00174297j -0.0183764-0.00334327j 0.0224464+0.000810311j 0.0172921+0.0047047j -0.0300422-0.00538889j -0.0261836-0.00856259j 0.00374859+0.000998974j -0.0107714-0.00142368j -0.0410869-0.00307395j 0.0385223+0.00996528j 0.0352141+0.00343685j -0.00286496+0.00380208j -0.196726+0.02367j -0.0136845+0.00931565j 0.0223035-0.0105886j 0.00452575-0.000915635j 
0.0030771+0.00512914j 0.0123884+0.00729481j 0.0119766+0.00183479j -0.0199286-0.0040688j 0.00128965+7.8837e-05j -0.0122313-0.00292894j 0.00145387-0.00392385j -0.0224161-0.00179227j 0.0222527+0.0033665j -0.0316746-0.00629635j -0.0163674-0.00462563j 0.0453716+0.00811458j 0.0273255+0.00337626j -0.0264978-0.00117159j 0.0238256+0.00447476j 0.0113199+0.00012391j 0.0445052+0.00746064j 0.199246-0.018122j -0.000712503+0.00490647j 0.0104779+0.00396402j 0.0192635-0.00702494j 0.00582125-0.00111786j 
0.00336535+0.00306544j 0.00441036-0.000209631j 0.00825893+0.00369991j 0.0133495+0.00459729j 0.0187238+0.00697633j -0.0268339-0.00343083j 0.0128473+0.00286471j 0.0546495+0.0080056j 0.0329419+0.00798607j 0.060564+0.0010011j 0.0184276-0.00247137j 0.00731525-0.000407962j 0.0712074+0.007061j 0.052946+0.00329575j -0.0236812-0.00473454j 0.0268441+0.000750758j 0.158779-0.00966396j -0.0046297-0.00359473j 0.00469079-0.000119501j 0.0196141-0.00454521j 0.00259615-0.000893288j 0.00205818-0.000817098j 
0.00123284+0.00189369j 0.00198756-0.000321338j -0.0155084-0.00642609j -0.00924767-0.00390555j 0.00127468-0.00133894j -0.00191543-0.00203503j -0.0278786-7.55569e-05j -0.0111542+0.00104155j -0.0229816-0.00161706j 0.0616007+0.00113819j -0.0307786+0.00209216j 0.0253771+0.00337759j -0.0516092-0.00244068j -0.030546+0.00160271j -0.019155-0.00101009j -0.126865+0.00864972j 0.0411634-0.00446438j -0.0264361+0.00531868j -0.0248175+0.00509434j -0.00854896+0.00216647j 0.0012256-0.000565822j -0.000744869+0.00025473j 
0.00595373+0.00735725j 0.017878+0.00612395j 0.00381447-0.00150809j -0.0210718-0.00186513j 0.020339+0.00156151j 0.0198393+0.00289865j 0.0111261+0.00133501j -0.0597474-0.00113812j 0.0782704-0.00115316j 0.0314736+0.00133296j 0.0794499+0.00204257j 0.0174249-0.000178892j 0.0254103+0.000237162j -0.0806632+0.00315021j -0.0576335+0.00529854j 0.0114859+0.00304768j -0.0127424+0.00568802j 0.0271627-0.00427934j -0.0285583+0.00856597j 0.00390588+0.00118442j 0.0150522-0.00504504j 0.00260609-9.35982e-06j 
-0.000470166+0.000327932j 0.00262916+0.00163744j -0.0089459-0.00397032j -0.0221322-0.00362473j -0.0256744-0.00589564j -0.0392397-0.00467288j -0.128874-0.00450847j -0.0221323+0.00451524j 0.0305717+0.00235949j -0.0494461+0.00186168j -0.0227363+0.00125506j 0.0354456+0.000857759j 0.0587338-0.00563136j 0.0191363-0.00324908j -0.0128216+0.00129149j -0.0286244+0.00457527j 0.00156354-0.000937347j 0.00110736+5.20896e-05j -0.0118374+0.002502j -0.0131489+0.00284451j 0.00203418-0.000848386j 6.16379e-06+0.000399321j 
-0.00182558-0.000481406j -0.00213217-0.000654037j -0.019531-0.00528494j -0.00357819+4.99131e-05j 0.00595391-0.00285059j 0.158773+0.00700384j -0.0266084+0.00330506j 0.0227898-0.0011579j 0.0522357+0.00015336j -0.0715724+0.00382443j -0.0180359-0.00178663j -0.00502267+0.0017313j -0.0608362+0.00192768j 0.0313112-0.00632045j -0.055865+0.00659022j -0.014399+0.00264347j -0.0255037+0.00138905j -0.0201249+0.00500697j -0.011975+0.00200849j -0.0073741+0.000528856j -0.00448304+0.00131142j -0.00205265+0.00024632j 
-0.00904962-0.00705733j -0.0145385-0.00126014j -0.0105546-0.00110499j -0.036703-0.00416473j -0.20083-0.00959568j 0.0366627-0.000736106j -0.00472634-0.000417854j -0.0285022+0.000975407j -0.0276853+0.002991j -0.0323935+0.00258816j 0.0106799-0.00313691j -0.0465522+0.00462729j 0.0353693-0.00578256j 0.022185-0.0038715j 0.0198167-0.00358065j -0.0040351-0.000660012j -0.0155279+0.00124327j -0.00114608+0.000134167j 0.0162381-0.00486314j -0.0095218+0.00133668j -0.0070882+0.00192965j -0.00120081+9.15524e-05j 
-0.012754-0.0104793j -0.022554-0.00360763j 0.0163215+0.00163482j 0.198587+0.00514197j -0.0378003+0.00101656j 0.0432347-0.00185453j -0.0369718-0.00216305j 0.0387502-0.00887612j -0.0204979+0.00272634j -0.00897158-0.00167743j 0.0289829-0.00735158j 0.015059-0.00390212j -0.0182464+0.00216285j 0.0313235-0.00403382j 0.0264033-0.00596552j 0.0148763-0.00541215j 0.00659404-0.00317526j -0.0188228+0.00367574j 0.0304002-0.00800681j 0.00142148-9.72123e-05j -0.0128652+0.00360092j -0.00179687-0.000972851j 
0.000522505-0.00127563j 0.00563175+0.00519966j 0.225859+0.00787768j 0.00788931+0.000203777j -0.0255116-0.00176742j -0.0397196+0.00251027j 0.064903-0.00826491j 0.00239476+0.00056916j 0.0148907-0.00381361j -0.0330597+0.00765765j 0.0316408-0.00318556j 0.0172676-0.00378036j 0.0142057-0.00132386j -0.0110423+0.00212356j 0.0170826-0.00263748j 0.0258063-0.00329683j -0.00631048+0.00223462j 0.0191386-0.00233111j 0.00472916+0.000893136j 0.00812154-0.000323035j 0.00677618-0.00140238j 0.00180942+9.76722e-05j 
0.019377+0.00945486j 0.268451+0.0076487j 0.0679726-0.00437477j -0.0398881+0.0122065j 0.0212447-0.00173399j 0.0015783-0.00323765j -0.00937001+0.00381748j -0.0244094+0.00383161j 0.0239964-0.00326064j -0.00457089+0.000271641j -0.00345259+0.00153946j 0.00467961+0.000158283j 0.00026919+0.00060755j -0.0176652+0.00299518j -0.0151758+0.00340719j -0.000309519+0.000113543j 0.00161258-0.000564071j 0.0102809-0.00117532j -0.0183322+0.00361612j 0.0053346-0.00236958j 0.00842528-0.00046953j 0.000780059+0.00127639j 
0.319116+0.0106959j 0.054246-0.00992761j -0.0202521+0.00220384j -0.0290253+0.00135228j 0.0161602-0.0027447j 0.00234843-0.000229164j -0.0024074-0.000364087j -0.00481176-6.89953e-05j 0.00685362-0.000997445j 0.0042197-0.00055082j -0.00208504-0.00049166j 0.000285189-0.000500033j -0.000416445+7.79525e-05j -0.00435388+0.000343713j -0.00601736+0.000228531j -0.000491194-0.000898327j 0.00257553-0.00084461j 0.00103556-2.01195e-05j -0.00538237-0.00052665j 0.00140677-0.00088503j 0.00105767+0.000879054j -0.000354977+0.000464669j 
