0.00972224+0.00147573j -0.000876508+0.010797j 0.00265851+0.0111611j -0.0109344-0.000139898j -0.00103457+0.00336798j 0.00103976+0.00536009j 0.00903911-0.00213412j 0.00267655+0.0011574j -0.00110609-0.00346674j -0.00200894+0.002852j 0.00100144-0.00224081j -0.00115227+0.00704336j 0.0096462-0.00348503j 0.00177814+0.00509253j -0.00138287-0.00551277j 0.00101321-0.000200693j -0.00275945-0.00126097j 0.000544646-0.000294416j -0.00103297+0.00210805j -0.00240666+0.00241921j -0.00695364+0.00346572j 0.00194843-0.00126522j 0.0012999-0.006194j 0.00133487-0.00272906j -0.00457311-0.00836086j -0.00615258-0.00136021j -0.00681982-0.00103563j -0.00445129+0.00542972j 0.00235957-0.00379506j -0.00270797+0.000461261j 0.00106901+0.000951593j -0.0038937+0.00665397j -0.00499841+0.00449184j -0.00156649+0.00725491j 0.0043348-0.000769638j 0.00632994-0.00173395j -0.00532185-0.0014798j 0.000896478-0.00511416j 0.000417979-0.00944808j -0.00207697-0.00132721j -0.00515034+0.00171647j 0.0020197+0.00750347j 0.000609114-0.00481149j -0.00308167-0.00365667j -0.00143827-0.00571739j 0.00311033-0.00919287j -0.00713218-0.00369024j -0.00828152-0.00333078j -0.00325866+0.00670315j 0.00104423+0.00212477j 0.00500331-0.000839749j -0.00952067+0.00546622j 0.00520673+0.00342055j 0.00489603+1.15835e-05j 0.00981638+0.00270405j -0.00123396-0.0061568j -0.00500992+0.000671379j -0.00389048+0.000769858j 0.0119592+0.0039698j 0.0138082-0.0137872j -0.00461376-0.00981647j -0.0129028-0.0051528j -0.00839202+0.0050477j 0.0124105+0.0057753j 0.00538027+0.00312028j -0.00563387-0.00427255j -0.00922357+0.00789244j 0.000953719-0.00794292j 0.00819205+0.0125232j -0.0158428+0.00548524j -0.0383795+0.00510103j 0.00275621+0.037709j 
0.00252849-0.00877312j 0.00842515+0.0031921j 0.00541186-0.00252987j 0.00354693+0.0061529j 0.00599895-0.00681994j 0.00928832-0.00156416j -0.00383035-0.00867797j -0.000765132-0.0100401j -0.0021431+0.00400814j 0.00531374-0.00163251j -0.00119696-0.00100151j 0.00618481+0.000267068j 0.00281861-0.00819515j 0.0091674+0.00298143j -0.00581145+0.00287689j -0.000463294+0.000861213j -0.000288322+0.00136517j -0.00419909-0.00250715j 0.00667905+0.00396541j 0.000860239+0.00100276j 0.000142458+0.00681819j -0.000608738-0.0017333j -0.00376678-0.000779405j -0.000789656+0.0029215j -0.00433682+0.00482671j -0.00149312+0.00561489j 4.07404e-05+0.00453592j 0.000340754+0.00189249j -0.00429889-0.001956j -0.000180101+0.00211081j 0.00204388-0.000172778j 0.00480554+0.0025002j -0.000177284+0.00278362j 0.00640166+0.0029649j 0.000571354-0.00450706j 0.00220128-0.00526444j 0.000943425+0.00532775j -0.00281047+0.00404471j -0.00729779+0.00129062j 0.0042469+0.00289993j 0.00490861+0.00482558j 0.00907735-0.00440037j -0.00536783+0.00108838j -0.00576212+0.00229146j -0.00454382+0.0041298j -0.00373564-0.00169767j -0.0070047+0.00227592j -0.00300665+0.0122291j 0.00926406+0.00175997j -0.00736263-0.00575675j 0.000614104-0.00524035j 0.00846215+0.0141068j -0.000837973+0.00229356j 0.000568822-0.00300567j 0.00247707-0.00485421j 0.000306572-0.000124152j 0.0048415+0.00578657j 0.00251751-0.00722902j 0.00688806-0.00993703j -0.00121009-0.00841678j -0.0185644+0.00663452j -0.000782564+0.00547362j 0.0163395+0.00819455j 0.00740143+0.00290501j -0.0148078+0.00175373j -0.00664317+0.00441249j 0.00257236+0.00215649j 0.0135329-0.00989573j 0.0074351-0.0149166j 0.0254547+0.00422205j -0.0011776+0.0367614j 0.0350977-0.00111237j 
0.000756165+0.00434072j -0.00455201-0.000587317j 0.00134748-6.78798e-05j -0.00179495+0.00298498j 0.00466458+0.00260868j -0.00287651+0.00712171j 0.00274169+0.00169712j 0.00413078-0.00416333j -0.00206171-6.94683e-06j 0.00251542-0.00260573j -0.0037526+0.00194659j -0.00720755+0.00149598j 0.00395203+0.00607667j -0.00116868+0.00688011j 0.00468899-0.0018125j -0.0056444+0.00664536j 0.00149365-0.000376918j -0.000210937+0.00371245j 7.40146e-05+0.00379596j 0.00233885+0.00362764j 0.00115751-0.00110146j 0.00020594+0.0037985j 0.000605336-0.00285859j -0.00105212+0.00522889j 0.00190183-0.00972716j 0.000537462-0.00567465j 0.00290967-0.000686441j -0.00517371+0.000887541j -0.000818924+0.0025436j 0.00121269-0.00345151j -0.00458492-0.00340644j -0.0030837+0.000757313j -0.000762303-0.00549259j -0.00583397+0.00149443j 0.00412609-0.0013787j 0.0004364+0.00214998j -0.000980535-0.00306627j -0.00406052-0.00165187j 0.00292375-0.00477599j -0.000806675-0.00971627j -0.00504181-0.000232644j 0.00733427+0.000959971j 0.000966571-0.00661617j -0.00123858-0.00422787j -0.00317908-0.00437241j 0.00321828-0.00445789j 0.00242077-0.00836741j -0.00219627-0.00368724j 0.00567566+0.00496044j 0.00447576+0.00773648j -0.00650459-0.00683901j 0.00599174+0.0109413j -0.000259802+0.00155268j -0.0030039+0.00482284j -0.0105932+0.0143547j -0.00621492+2.77458e-05j -0.00145334-0.00288809j 0.00796976+0.00295218j -0.0121462+0.00985159j 0.0188759+0.00452905j 0.0146071-0.000233609j 0.00594572-0.0116439j 0.00463811-0.00825789j 0.0152729+0.00924098j 0.00108575-0.00450565j 0.000249215-0.00479637j 3.71959e-05-0.00604765j 0.0213746-0.0100911j 0.0340995+0.00146649j 0.0151732+0.0257692j 0.00423506-0.0156349j -0.00550442+0.00469507j 
-0.00228881+0.000213457j -0.00241413-0.00044396j -0.00345698+0.00024888j -0.00128793-0.000155435j -0.00363632+0.0065002j -0.0063538-0.00143788j 0.00245886+0.0055312j -0.00272904+0.00784724j -0.000391657-0.000162384j -0.000507818+0.0053268j 0.00659352+0.000151288j 0.00161144-0.00919257j -0.0018004-0.000572315j -0.00629027-0.00513441j -0.00266978+0.00416391j 0.000738771-0.0071707j 0.00198555+0.00277464j 0.00564028-0.00059438j 0.00198456-0.00717432j -0.00193239-0.000325185j 0.00160022+8.70812e-05j -0.00167243+0.00197246j -9.73116e-05+0.00405936j -0.000378945-0.00234649j 0.00279334+0.00315771j 0.00456522+0.00224108j -0.0014311+0.00136523j 0.00492978-0.00476883j -0.00229547-0.00038623j -0.000988699+0.00228227j 0.00227163-0.00348019j 0.00290235-0.00634926j 0.00102792-0.00159557j -0.000136745-0.00534761j -0.00428145+0.00373085j -0.00383707-0.000565564j -0.000445873-0.00242759j -0.00529929-0.000771245j -0.00206367+0.0047038j 0.00115713+0.00273958j 0.000347593-0.00305381j 0.000544008-0.00303461j -0.0025248+0.00403048j 0.00628007-0.0034848j -0.00120383+0.00290655j -0.00147956+0.00350687j -0.0015267+0.00243588j 0.00126161-0.0053122j -0.00668981-0.00109742j 0.0015883+0.00632241j 0.00473707-0.000214066j -0.00458746-0.0164285j -0.0068459+0.00358745j 0.00147687-0.00378702j 0.00190344-0.00141047j -0.00163655+0.000891586j 0.00447682-0.00940932j -0.00555526+0.000818938j -0.0188266-0.000437624j -0.0168263+0.013606j 0.00287755+0.0195394j 0.00514112-0.00112577j 0.0160225-0.022225j 0.0110854-0.00857956j 0.00215477+0.007413j -0.00145206+0.00748088j -0.0285946-0.00333227j 0.0249142-0.0125351j 0.00288422+0.0108368j 0.00522192-0.022491j -0.00212626-0.00415017j 0.00355165-0.0140611j 
-0.00536008+0.00363787j -0.00283762-0.0083823j -0.00111356-0.00745819j 0.00708221+0.00434502j 0.00536807+0.00406165j -0.00441204-0.000626543j -0.00958366+0.00108529j 0.00327824-0.0019923j -0.00495029+0.00299716j 0.00279065-0.00195967j -0.00980281+0.00616207j -0.00271725-0.00354769j -0.00464289+0.0016675j -0.000104092-0.00242699j -0.000651756+0.0072858j -0.00305406-0.00121127j 0.00358234+0.00194202j -0.000118369+0.00217394j 0.00126892+0.00596113j 0.00205343+0.00166944j 0.0051124-0.00038014j -0.00210678+0.00110194j 0.00129843-0.00311245j -0.00322981+0.00450714j 0.00208624+0.00699628j 0.00010192+0.000616122j 0.00076156+0.0119575j 0.000680343-0.00366544j -0.00110641+0.00250991j 0.00122021-0.0023497j 0.000592772-0.00884044j -0.00140601+0.000162188j 0.00548931-0.000999193j -0.00260887-0.00135924j 0.00483387+0.000319919j -4.23938e-05-0.00291488j -0.0042181+0.00557085j -0.00111976-0.000356743j -0.00556046+0.00478311j 0.00940644+0.000144718j -0.00211798+0.000566011j 0.00457659-0.00010232j -0.00101687-0.00208146j -0.00585133-0.00140431j -0.00179609-0.00278872j -0.000723487+0.00164916j 0.00581536+0.00347501j -0.00647427+0.00652195j 0.00448809+0.0066546j -0.000527152+0.00358784j 0.00182623-0.0141649j 0.000601727+0.0163638j 0.00543382-0.00305425j -0.00408724-0.00354338j -0.00137941-0.00474977j -0.0102254-0.00197743j -0.000120091+0.00155955j 0.0154265+0.00517806j 0.00360159-0.0131579j -0.0068421-0.0117506j -0.0103159+0.0136537j -0.0107089+0.016713j -0.000984671+0.0069193j 0.0186473+0.000334346j 0.00715113-0.0112786j 0.0211699+0.000971417j -0.0143137+0.00903578j -0.00651456-0.0115544j 0.0169228+0.00582604j -0.0147052+0.0145245j -0.00140203+0.0129232j -0.00313449-0.00667192j 
0.00426609+0.00295321j -0.000495996+0.00443844j 0.000234534+0.0024369j 0.00080208+0.000219271j 0.00176298-0.00315657j 0.00131203+0.00267626j 0.00325031+0.0027578j -0.00239295-0.00412407j -0.00154456-0.00148236j -0.00661607-0.000932045j 0.00540884+0.0062742j -0.00358138+0.00502585j 0.00536363-0.00188339j -0.00422497-0.000186475j 0.000265018-0.00471357j 0.00931084-9.82403e-05j 0.000472017-0.00717665j 0.00774855-0.00420665j 0.00304546-0.00177014j 0.00339405-0.00399733j -0.00122647-0.00124421j -0.0010175-0.00462061j -0.00433474-0.00325672j 0.00388471-0.0017911j 0.00379919-0.00290995j -0.00653285-0.00132966j 0.00487583-0.00379189j 0.00178293-0.00187322j 0.0108445-0.00220467j -0.00258302+0.000615161j -0.0110154+0.0037416j -0.00318444+0.00161217j 0.000257313-0.00286156j -0.00257162+0.00641801j 0.00509182-0.00185148j 0.000473214+0.00334681j 0.00243779+0.00630175j -0.00352062+0.00378896j 0.00121491+0.00335669j -0.00588263-0.00216599j 0.00487334+0.00617501j -0.00452527-0.0050028j 0.000572299+0.00493579j -0.00161769+0.00346075j -0.00155525+0.0077875j -0.00582365+0.00571229j 0.00944185-0.00961205j -0.00611387+0.0062328j 0.00937516-0.0140287j 0.00904025-0.00472175j -0.012163+0.0151236j 0.0218068-0.00945241j -0.00394471-0.00344514j -0.00630569+0.00943435j -0.00452617+0.0106314j 0.00508698+0.00559607j 0.0107932+0.00736502j 0.001042-0.0187513j 0.00286979-0.0020188j -0.00121669-0.00194953j -0.00839041+0.00793895j -0.00969707+0.00904566j 0.00250696-0.00406858j 0.00965819-0.0178182j -0.00653577+0.011366j 0.00569107-0.00710762j -0.0155789+0.00956605j -0.020892-0.0192714j 0.0140134-0.0358964j 0.016292-0.00959763j 0.00062574-0.0050266j -0.00658478-0.000948938j 
0.00049418+0.000803299j -0.00487935+7.79954e-05j 0.000964382-3.25512e-05j -0.000506873+0.00794902j 0.00842302+0.00726925j -0.00676448+0.00830042j 0.00143955+0.00680859j 0.000136687+0.00425563j -0.00342936+0.00021918j 0.00412455+0.00207745j -0.0018771+0.00162451j -0.00573585-0.00797995j 0.00295604+0.000592197j -0.000281786-0.00491914j 0.00170126+0.00592986j -0.0035512-0.00235122j 0.00492606-0.00114717j 0.0044624+0.00316898j 0.00372473-0.00783708j 0.0054133+0.00539899j 0.00667607+0.00220643j -0.000807966-0.00082212j -0.000621561-0.00532927j -0.000698059-0.00258314j -0.00319111-0.000729371j 0.000256087-0.00215322j -0.00192746+0.00792702j -0.00185124-0.000350458j -0.00208887+0.00240517j 0.00321233-0.00206295j -0.0041959-0.00774907j -0.000807663-0.000302017j 0.00047793-0.00127877j -0.00647975+0.000508042j 0.00536261+0.00226709j 0.00142865+0.00470277j -0.00952255+0.00635775j -0.00799625-0.00236646j -0.00478669-0.000921128j 0.00379111-0.00645945j 0.000430585+0.00289667j 0.00137533-0.0028926j 0.00272216+0.000674764j -0.00216547-0.00320858j 0.00140049+0.00620937j 0.00243805-0.00816323j 0.00209661-0.000675932j -0.00898017-0.00171858j 0.00287419-0.0115111j 0.0105416+0.00562066j 0.000642124+0.00211153j -0.0123458+0.0140539j 0.0179091-0.00311316j -0.00680431+0.00190527j -0.00143158+0.008055j 0.00108156-0.000383089j -0.00149595+0.00374744j -0.00746158+0.00173801j 0.0148399+0.00492302j 0.00357849+0.0257396j 0.0197547+0.00213498j 0.0111082+0.00109415j -0.00237813+0.00261394j -0.00390389+0.00173304j -0.0282111+0.00793871j -0.012362-0.015372j 0.00784609-0.00654951j -0.0115562-0.0191434j 0.000179415+0.00350656j -0.00251372+0.00386632j -0.00748697-0.00250766j -0.000874963-0.00790316j 
0.000573172-0.00335937j 0.00195242+0.00396853j 0.000326642-0.00135806j 0.00365404+0.00155729j 0.00474493-0.00201117j -0.00226673+0.00120308j 0.0030102+0.00662953j 0.00199889-0.00935965j -0.0036126-0.000652552j 0.000860544+0.00161377j 0.00751712+0.00560888j -0.00158647-0.00428339j 0.000646261+6.83616e-05j -0.00568826+0.00237957j -0.00716016-0.000410751j 0.00125226+0.00146599j -0.000856387-0.00158009j 0.00351195-0.00965823j -0.000904375+0.000708045j 0.00275362+0.00130149j 0.000878159+0.00248884j 0.00335738-0.000600716j -0.00768776+0.00409544j -0.00148115+0.00232053j 0.00254811+0.00248975j -0.000783665+0.0103895j 0.00628678+0.00848137j -0.00595172-0.00401555j 0.000814284-0.00233223j 0.00438686+0.0025726j -0.00437304-0.000556047j -0.00641215+0.00117899j -0.00542363-0.00429357j -0.00855625+0.00597034j -0.00462104-0.00666749j -0.00543818+0.00672082j 0.00622831+0.000970736j -0.0105775-0.00393919j -0.00501309+0.00731803j 0.00558758-0.000652179j 0.0077839-0.00534953j -0.00391286+0.00820584j -0.00365826-0.000775883j -1.9592e-05+0.00263248j -0.00361556-0.00461958j -0.00802914-0.00240445j 0.000522037+0.00152183j -0.00093836+0.0159626j -0.00384436-0.00377341j -0.0179789-0.00144588j 0.00329592+0.00387318j -0.00329724-0.00452962j -0.0156759-0.00720535j 0.00289538-0.00221858j 0.000728335-0.0121613j 0.00750418-0.00838315j 0.00513206-0.00251973j -0.0175148+0.00626217j -0.0077073-0.00431869j 0.0150369+0.00287039j 0.00348228-0.00654706j 0.00418201+0.00309079j 0.00507127+0.00744211j 0.00735539+0.00136028j 0.000678838+0.00395138j 0.0106887-0.0140732j -0.0225443-0.0198658j -0.0141725+0.0274333j -0.00109552-0.00244009j -0.00479644+0.00983034j -0.00307968+0.00544782j -0.00491804+0.0014603j 
0.0010878+0.00810808j -0.00448526-0.00181626j -0.00454666-0.00120306j 0.00198682-0.00136551j -0.00317853-0.00377498j 0.000790661-0.000689992j -0.0012795+0.00238711j 0.00150652+0.00393512j -0.00134892+0.00239995j -0.00289921-0.00404872j -0.00226696+0.00810332j -0.000408539+0.00675832j -0.000979851-0.00531012j -0.0074824-0.00559439j 0.00799854-0.000909272j -0.00334965-9.30174e-05j -0.000882339-0.00419113j -0.000672469+0.00158016j -0.00409583-0.000373315j 0.000597328-0.00497255j -0.00181456-0.00284962j -0.00328597-0.00334619j 0.000405983-0.00476011j -0.00693131-0.000114377j 0.00674141-0.00333876j -0.00207029-0.00170157j -0.000232665+0.00013542j 0.00262391+0.00254673j -0.0038077+0.00495249j -0.00578904+0.000418392j 0.00389963+0.00111911j 0.00380359+0.00119951j 0.00400741-0.00307588j 0.00811243+0.00111262j 0.00255768-0.00236307j 0.00539387-0.00263798j 0.00603879+0.00595924j 0.00206506-0.00372837j 0.0055005+0.00333395j 0.00155126-0.00447738j 0.00279451+0.00710758j -0.0112605-0.00413654j 0.00689429-0.00545013j 0.00453071+0.00391675j 0.00648135+0.00168724j 0.00425432+0.00548724j -0.00302704+0.00379726j 0.0111604-0.00480778j -0.0202087+0.00709487j 0.0107533-0.00546211j -0.000864663-2.04877e-06j 0.000224001+0.00755649j -0.012912+0.00210444j 0.002701-0.00738797j 0.00873933-0.0103144j 0.0142849-0.00340525j 0.00148026+0.00886147j -0.0218096+0.00804857j -0.00293108-0.0204863j -0.0100696+0.000503408j 0.000586449+0.0133671j 0.0210145-1.09987e-05j 0.0158365+0.0094811j 0.00597069-0.00157056j 0.00750496+0.0149542j -0.0260734+0.0190861j 0.00398025-0.0039209j -0.00349092+0.00417176j -0.00269292+0.000643203j -0.00139464+0.0110225j 0.000587302+0.00612473j -0.00872495+0.00392419j 
0.000100345+0.00189361j 0.00271379-0.00284329j 0.000708042-0.003542j 0.000688741+0.00381085j -0.00057765+0.00314867j -0.00261149+0.00343488j -0.00444505+0.00265082j -0.0012695-0.00490241j 0.000697978-0.000589715j -0.00671454-0.00207529j 0.000712766+0.000114244j 0.000473954-0.00511948j -0.00275377+0.0021847j 0.00326962+0.00233299j -0.000897792-0.00295008j 0.00286882+0.00735411j 0.00110002+0.00126368j 0.00272648+0.00329951j 0.00407376+0.000684312j -0.00063665+0.00264534j 0.000591255+0.00272944j -0.00178927+0.00286168j -0.00565259-0.00271715j 0.00388742+0.00638964j -0.00426511+0.00221844j -0.00562479-0.00325237j 0.00284528+0.001878j 0.000394597+0.00100372j 0.00760963+0.00756432j -0.00111144+0.00305461j -0.00272904-0.00179334j 0.000856322-0.00552603j 0.000313746+0.00147575j -0.00314382+0.00252304j -0.00203396+0.000987852j -0.00464821-0.00573654j 0.00167777-0.00152338j 0.00269611-0.000568441j -0.00953435-0.00874588j -0.00270964+0.000956646j 0.00601793-0.00246408j -0.000849951-0.00295417j -0.0117819-0.00685858j 0.00485514-0.00768592j -0.00389405-0.00241428j -0.00780082-0.0161696j 0.00337966+0.00423516j -0.00425196-0.0113486j 0.00681139+0.00538749j 0.000623731+0.0018054j -0.00395414-0.00386006j 0.0241798+0.0186443j 0.0013584+0.0055082j -0.00331375-0.0116753j -0.00286169-0.00114125j -0.0057662-0.0183578j 0.00277629+0.00637995j 0.000160966+0.0188748j 0.00851415-0.00174264j -0.0116007-0.00536758j -0.0143852-0.0241075j -0.0196349-0.000809154j -0.000511146+0.00878164j 0.00508909+0.0163666j -0.00833463+0.00106728j 0.00023559+0.00980892j -0.00869623-0.0269313j -0.0104904-0.00460756j -0.00552767+0.0159344j 0.0106612+0.00474196j 0.00250905-0.00434352j 0.00241659+0.00626488j 
0.000231845-0.00173888j -5.06452e-05-0.00131497j -0.00109277-0.00276947j 0.00380342-0.000508658j 0.00154016-0.00366458j 0.00201396-0.000351823j 0.00181725+0.000456208j -0.00208835-0.0013614j 0.00123705+0.00194139j 7.14174e-05+0.000376267j 0.000120862-0.00296008j -0.00196551+0.0021206j 1.57504e-05+0.000545735j -0.00129524+0.00470505j 0.000519307+5.83504e-05j 0.000120297+0.00356741j 0.00113181-0.0030804j 0.00238257-0.00558877j -0.0101594-0.000142089j 0.00600724-0.00345767j 0.00427098+0.00473335j 0.00607634-0.00214868j -0.00638602+0.00719221j 0.00181467+0.00600838j -0.00665219-0.00367312j -0.00143314+0.00152243j 0.00267331-0.00460429j -0.00337286-0.000137385j -0.000797862+0.00149115j 0.00144324-0.00266872j -0.00296402+0.00720331j -0.000715883-0.000118967j -0.00169579-0.00225289j 0.00419044+0.00650108j -0.00563784-0.000813492j 0.000803848+0.0128906j -0.000514017-0.00332524j 0.0033918+0.000523082j 0.00132643+0.00287142j -0.000835605-0.00340368j -0.00444146-0.00471392j -0.00868866+0.00140959j -0.00975857+0.00633636j -0.00532786-0.00440474j -0.00399315+0.00214143j -0.0170317+0.00629461j -0.0130009+0.00303626j -0.0101856+0.00430042j -0.00523485+0.00581916j 0.00883473-0.00310081j -0.00687173-0.00367544j 0.00231109-0.00396847j 0.00921329+0.0140489j -0.0049007-0.00589539j 0.00740985-0.00377494j -0.00520684-0.0038801j 0.00228171-0.001015j 0.0075917+0.0187926j 0.0100666+0.0138859j 0.0064143+0.00677783j -0.00252014-0.00390528j 0.00834071-0.00928305j -0.0136453+0.00218743j -0.00279591+0.00835561j 0.0095524+0.0120994j -0.00274985+0.00687706j -0.0135605+0.00317021j -0.0150453+0.00252925j 0.0102473+0.00453695j 0.00263589-0.00778471j -0.00377383-0.00714673j -0.0016811+0.000379695j 
