0.124858+0.141195j -0.164905+0.120776j 0.0780471+0.230323j 0.234369-0.0281299j -0.06353-0.125958j 0.0637347-0.0952071j -0.148181+0.0441512j -0.00578966+0.209247j 0.0481936-0.0194897j -0.00702178-0.0304405j -0.072752+0.05123j 0.078483-0.0131611j -0.137952-0.1057j 0.0468455-0.049807j -0.0372287+0.035424j -0.0423103-0.0341385j -0.0150023+0.011913j -0.0508331+0.0203387j -0.0138611-0.0286334j 0.121478-0.175127j 0.0408399+0.0886729j 0.0330742+0.0276371j -0.0601919+0.071499j 0.0608499-0.0916994j -0.017034+0.0187893j 0.03852+0.0981881j 0.0948556+0.00872285j 0.065762-0.13917j -0.0427844+0.0147677j 0.0935963-0.0420247j -0.116565-0.0054635j -0.0158136+0.0711187j -0.0514823+0.0066321j -0.0170163+0.0161942j 0.00311579+0.0555644j -0.0477808+0.00583337j -0.0312797+0.013693j -0.024884-0.0299697j 0.00209868-0.104146j 0.05909+0.0414143j 0.0443452-0.068085j 0.0279541+0.00480424j -0.0626983+0.0202196j -0.0906427-0.022937j 0.0308879-0.0400351j 0.0886783-0.045997j -0.00466653+0.0953042j 0.021083-0.0260094j -0.113862-0.0597477j 0.0966159+0.0461837j 0.0425065+0.0657037j -0.0702033+0.0465499j 0.044013-0.108365j -0.0327045+0.000971513j -0.0475966+0.0118998j -0.0806599+0.0630249j -0.0226161+0.0400043j 0.0757308+0.00307442j 0.0873601+0.0457014j 0.0134615+0.0428637j 0.0921003-0.0500058j 0.0698394-0.0584495j -0.179554+0.0456123j 0.0818142+0.0317674j -0.0851727+0.106811j 0.0563347+0.131114j -0.135341+0.14963j -0.120942-0.173085j 0.100554-0.152045j -0.166209-0.125228j 
0.18992-0.0291038j 0.0169304+0.175613j 0.0059386+0.0486341j 0.0372485+0.027259j 0.0948297+0.135246j -0.09952+0.0544986j 0.097382-0.0455288j -0.140552+0.00229759j 0.0996939+0.132004j -0.116229+0.097082j 0.108639-0.0115353j 0.102508+0.255944j 0.0478261-0.120038j -0.033254+0.0628069j -0.0682567+0.0984034j -0.0731391-0.0317413j -0.0603831+0.142763j 0.0194051-0.0836607j -0.169885+0.039352j -0.099924-0.00258206j -0.0630715+0.0112965j -0.0635667-0.0501925j 0.0186464+0.057281j -0.0394644+0.178034j -0.0693896+0.0658536j 0.0425355-0.07567j -0.0568086+0.0574104j -0.00950203+0.0244348j 0.0705072-0.0439445j -0.0378941-0.0369161j -0.0284441+0.110236j 0.00192087+0.0455602j 0.00113832+0.0242828j -0.0401012+0.00296096j -0.0393003+0.0328225j 0.0386016+0.0469345j 0.0877438+0.0245257j -0.0909888-0.047434j 0.00693416-0.046831j 0.0871112+0.0638847j 0.0368817-0.0264214j 0.0666203+0.0059455j 0.0465387+0.0914763j 0.041985+0.0625364j -0.0935626+0.00869927j -0.226087-0.0895178j -0.0300217-0.0114527j -0.00453253-0.0314501j 0.0298523+0.0489174j -0.018904+0.0552641j 0.000946782-0.040586j -0.0338962+0.0615474j -0.0130468+0.0793956j -0.0855243+0.194953j 0.0612134+0.0388442j -0.0324299+0.0782051j -0.0996428-0.0351451j 0.0419334-0.0535456j -0.0104371+0.0784443j -0.0911063-0.00576614j -0.0289692+0.146207j 0.0105796-0.0273972j -0.0967405-0.184976j -0.0267404+0.0859713j -0.0177168-0.0920657j -0.176122+0.0132972j -0.0757407-0.0389186j 0.0757299-0.050312j -0.100348-0.174887j -0.186807+0.0875274j 
0.116515-0.0586839j 0.0468721+0.0814145j -0.0717397+0.153912j 0.114726+0.0712611j 0.101663+0.0390581j 0.0410466+0.0956621j 0.177819-0.063702j -0.0337832-0.0818884j 0.0428849-0.0402012j 0.0583894-0.0449175j -0.0295975+0.137605j -0.208644-0.110077j -0.230055+0.0737013j -0.0628087-0.0569173j -0.0123388-0.145259j 0.0974146+0.00686589j 0.0532493+0.0899679j 0.0455773+0.128579j 0.00520592-0.079469j 0.0484913+0.096695j -0.0256005+0.0727707j -0.0241716+0.102966j -0.00390342-0.0321111j 0.0525028-0.0316534j -0.0550637+0.0846927j 0.0141263-0.0188669j 0.0486172-0.0206975j -0.0166676+0.0155355j 0.000320411-0.0297012j -0.0846592-0.00794494j -0.0972845+0.00246144j -0.0473555+0.0922077j 0.143105-0.103356j 0.0520864-0.0112781j 0.0442924-0.0288929j 0.00759175-0.0221449j -0.05501-0.0310628j 0.0275194+0.00752776j -0.0709684-0.0570978j 0.0946811+0.000848245j -0.0516679+0.00582457j -0.129332-0.0725936j 0.0517909-0.0198824j -0.0374598+0.00635966j -0.0293882+0.0301778j 0.00197908-0.0310503j -0.0373296-0.016219j -0.0599592-0.0391352j 0.0215219-0.0675033j -0.0241932+0.0685582j -0.108437-0.101374j -0.0825869-0.0447292j -0.0147858-0.0371267j 0.145946+0.0474915j 0.0041938-0.112452j -0.00700176-0.136487j 0.074391+0.0361283j 0.200648-0.102405j -0.0486617+0.0175756j 0.092324-0.216023j -0.131663-0.125099j 0.112373+0.00924809j 0.0894222+0.0189977j 0.0782512-0.049501j 0.102778-0.0684248j -0.0103936-0.0861102j -0.173299-0.036707j 0.0504296-0.208004j -0.0904882-0.0511629j -0.0791516+0.0809082j 
0.0699849-0.076889j 0.0619259+0.0879678j -0.0742116-0.00566424j 0.00953533+0.0995169j -0.0688407+0.0940369j -0.116437-0.167601j -0.104605-0.0436896j -0.185249+0.0936261j -0.0506294+0.0342608j 0.169669-0.107847j -0.114893-0.21201j -0.049379+0.00641473j 0.0955393+0.0486465j -0.0607395-0.00578661j -0.0546058-0.144409j 0.00602695+0.0980877j 0.150695-0.0391187j 0.0123941+0.0264569j 0.033821-0.0801934j -0.0730383+0.0488769j -0.0534547-0.00162711j -0.0654987-0.0244226j 0.0413495+0.010709j -0.00567533+0.0267421j 0.0359361+0.00234202j -0.0265445-0.00546501j 0.0534032-0.0127669j -0.0523475-0.095279j -0.159029+0.0811209j -0.0285766-0.0614971j 0.00767092+0.0198866j 0.0639697+0.0318096j 0.0130261-0.0181251j -0.0470372+0.0444726j 0.0521826+0.0766966j 0.0101293+0.028704j 0.0482438+0.0253176j 0.153239+0.0882074j 0.0407047+0.00278542j -0.00602327+0.0157377j -0.109019-0.0464574j 0.0392056+0.0403245j 0.021261+0.0987887j -0.0432143+0.0148186j 0.00778471+0.0500177j 0.0827317+0.050222j 0.0162516+0.0283524j -0.0174283-0.0806466j -0.0127799+0.0601053j -0.0028371-0.00310061j 0.00610324-0.153931j -0.0448412-0.0377062j -0.0499168+0.0661512j 0.0403429-0.0785143j 0.0958-0.0177886j -0.0467929-0.126885j 0.072816-0.0127405j -0.119009-0.125451j -0.2043+0.12321j -0.00576637+0.132008j -0.0160752-0.0469994j 0.0137083-0.0575788j -0.0574431-0.170203j -0.213873-0.0682172j -0.0485252+0.192457j 0.15529-0.0408583j -0.0712997-0.0135599j 0.0536728-0.0489546j -0.0846976-0.0572698j -0.0318869+0.072108j 
0.0256902+0.0936445j -0.084521+0.0261533j 0.0964145-0.122372j -0.0775433-0.0955184j 0.197226-0.0235014j 0.0127117+0.152575j -0.0351355-0.0792517j 0.00655194+0.132325j -0.061656-0.0200632j -0.0309755-0.183296j -0.100758-0.00281761j -0.00628854+0.00455909j 0.0377247+0.0138717j -0.102255+0.0560163j 0.0302893-0.0940876j -0.048563+0.0595561j 0.098185+0.154181j -0.0183157-0.114023j 0.0439556-0.0429539j -0.00814635-0.00254419j 0.0574836-0.000868436j 0.0792741-0.0752268j 0.00589456-0.0192061j 0.0124936-0.0604624j -0.24121+0.0486026j 0.0823657+0.0074205j -0.101706+0.0557688j 0.0503339-0.0421286j -0.0631404+0.0134041j -0.044701+0.0248038j -0.0103864+0.0235897j 0.0144321-0.0350859j 0.0999878-0.0417004j -0.0887741+0.0141961j 0.052146-0.0247863j -0.050414+0.0333729j 0.02593-0.0127738j 0.0144651+0.0486097j 0.00856471+0.0367555j -0.0648379+0.0829219j 0.048943+0.0103501j -0.112873-0.0523071j -0.0255907-0.109922j 0.120356+0.0487025j -0.015498-0.104338j -0.0387824-0.0168468j 0.0764934+0.189311j 0.0379597-0.0129743j -0.0443262+0.0770184j 0.0507784-0.0581917j 0.138861+0.052416j -0.13245-0.0856694j 0.0265286+0.118197j 0.0877933+0.0887461j 0.0629955-0.029988j -0.0163497-0.130096j -0.0203175-0.0913296j -0.153172-0.0677652j -0.105476+0.233672j 0.155661+0.0252707j -0.140803-0.126532j 0.0508952-0.115057j -0.0522223+0.105918j 0.126966+0.0304429j -0.0948074-0.103902j -0.0944059+0.137607j 0.128883-0.0074308j 0.000918727+0.126311j 0.0717742-0.0283839j -0.0314641-0.0620102j 
-0.00305194-0.00197286j 0.00669338+0.00757312j 0.00759578-0.0100929j -0.000899467-0.022496j -0.00676274+0.00329502j -0.0172693+0.00564249j -0.0105411+0.0164604j 0.0345329-0.00417908j 0.00868417+0.000916104j 0.00206299+0.021315j 0.0139497-0.00988966j -0.0101283-0.0240685j 0.0176038+0.0341331j -0.0085223-0.00481352j 0.0152665+4.01527e-05j -0.000563675+0.0105396j 0.0146194-0.00786578j 0.00641194-0.00609465j 0.0169715+0.0164294j -0.0125373+0.024309j -0.00878609-0.00818643j 0.0140003+0.011773j 0.0150416-0.00613232j -0.0202782-0.00213043j 0.0178337+0.000531156j 0.00191462-0.0118369j -0.0013365-0.00936538j -0.0133807+0.00748458j 0.00747203+0.00590227j -0.00600793+0.0135462j 0.0297066+0.0109497j 0.00497216-0.0161188j 0.0151792-0.00291142j 0.0102215+0.00159741j 0.00293059-0.0120042j 0.00793278-0.00338218j -0.00424383-0.00235677j 0.0160977+0.000517884j -0.0105377+0.0206566j -0.0142258-0.0170326j -0.0173236+0.00469963j -0.00421725-0.00543104j 0.00249749-0.00843476j 0.00588812-0.00515351j 0.00588823+0.0143999j -0.0088384+0.0118165j -0.00627897-0.0138119j 0.00366839+0.0110813j 0.00690375+0.00618391j -0.00907917-0.0114755j -0.00853439-0.000377528j 0.00808323-0.0205844j 0.00950374+0.0123366j 0.00557713-0.0150052j -0.00230594-0.00422956j 0.00563162-0.0135745j 0.0018261-0.00755143j -0.000530317+0.0114869j -0.015235-0.0078684j 0.0118135-0.00873982j -0.00826905+0.0103136j -0.0152476+0.0295769j 0.0130631-0.0196323j -0.0243684+0.0118624j -0.0102215-0.0203767j -0.0128467+0.00357455j -0.00765815-0.0162436j 0.0147764+0.0103495j 0.0226605+0.00319103j 0.0152519-0.0150978j 
-0.00230785-0.00793355j 0.0123192+0.0034176j 0.0126513-0.00838021j -0.00138376-0.00892358j 0.0123651-0.0035904j -0.000583224+0.0202221j -0.00805341-0.00879104j 0.001135+0.00820047j -0.0121453-0.0184708j -0.00318111+0.00751575j 0.0115435-0.0109154j 0.0416478-0.0124378j -0.00751722-0.00705831j 0.0116236+0.0176679j -0.000745668+0.00575323j 0.0123204-0.0064124j 0.00595194-0.0155296j 0.0020776+0.00370169j 0.00594071+0.00678525j 0.021475-0.00290546j 0.00794596-0.00242939j 0.0131886+0.00777436j -0.00187225-0.00636502j 0.0107027-0.0450807j 0.0002259-0.00620457j -0.0124985+0.0210162j 0.00223756-0.011908j 0.00710884-0.0113778j -0.00371476+0.00850938j 0.0157649-0.00117545j 0.0151866-0.0149798j -0.00298077+0.00691423j -0.00379955-0.0132383j -0.00334945-0.0104691j 0.00127097+0.00960357j -0.00993297-0.00900219j -0.00898573-0.000786256j 5.92051e-05-0.0165543j 0.0123481-0.00365825j -0.0144891+0.00844552j -0.00213224+0.00348554j -0.0162537-0.00118692j -0.0225698-0.00743176j -0.0145642-0.0123877j 0.0113061-0.00581945j 0.0352926+0.0161228j -0.00222297+0.00505719j 0.0116099-0.00448651j 0.00348609-0.0107304j -0.00648294-0.00120248j 0.00191653+0.026142j 0.00192894-0.00198889j 0.00703874-0.00108442j -0.0100592-0.00950346j -0.00351624-0.00363501j 0.00336082-0.00774872j -0.00583787-0.00274956j -0.00415609+0.0260431j -0.00388982-0.0209631j 0.0118305+0.0157554j -0.00583986-0.0154524j -0.00997654-0.0150965j 0.0259753+0.00984661j -0.0137252-0.0139j -0.00332065-0.00514645j -0.00314942-0.012635j 0.00761148-0.0107884j -0.00686873+0.00909495j 0.00491488-0.0175171j -0.0146685-0.00369808j 
-0.00106473+0.007881j -0.0105648-0.00689814j -0.00668336-0.014486j -0.023254+0.00744145j -0.00733171+0.00852401j -0.00399405-0.00880378j 0.0181885+0.00447051j -0.0107424-0.018428j -0.0025611+0.0210998j -0.00247659+0.00438712j -0.00088106-0.00378756j -0.00157629+0.0010727j -0.0045726-0.0121309j 0.00307013-0.0028015j 0.0014477-0.00311916j -0.00359922+0.0156186j 0.0023244+0.00252344j -0.0163187+0.0116411j 0.00532531+0.00913575j 0.0238157+0.00128864j -0.0424338+0.0166841j 0.00954334+0.0165119j 0.00547655-0.00160182j -0.0127212-0.0315313j 0.00666826+0.0031092j 0.0117161+0.015871j 0.00982506+0.0082531j 0.00191954-0.025237j 0.00147616+0.0042457j -0.00873223+0.00226262j 0.0105881+0.00550416j 0.00276124+0.0150666j 0.0231861-0.00465125j 0.00404127+0.00854512j 0.00334375-0.00633941j -0.000703917-0.0164987j -0.000350456+0.0100032j 0.00957076-0.0146155j -0.00370743-0.00296902j 0.0147582+0.000387805j -0.0042281+0.00234802j -0.000768498-0.0242784j -0.00770181+0.00237954j -0.00726399-0.00411961j 0.00468007+0.0199817j 0.00541937+0.0234571j -0.0148439-0.00113046j -0.0035883+0.000176038j -0.0108529+0.00832049j 0.00659312+0.0051262j -0.0234074-0.00317641j -0.00721239+0.00859162j 0.0118616+0.00220895j 0.0261756+0.0113941j 0.0124475-0.00259427j 0.00402-0.00381242j -0.0170257+0.0151809j 0.0149155-0.0191307j -0.00748558+0.0165738j -0.00405082-0.00383797j -0.00124635+0.0218623j -0.0242313+0.00814875j -0.00284294+0.00168962j -0.00395999-0.00139938j 0.00620628+0.0042125j -0.00876833-0.0095686j 0.0201082+0.0252925j -0.0216548+0.0166135j 0.00110332+0.00754332j 0.00179198-0.00356609j 
-0.0012495-0.00317997j 0.00275876+0.00494552j -0.00320325-0.0147311j -0.00616966+0.00609291j -0.00484671+0.0216207j -0.0328264-0.0110951j -0.0147199+0.0138476j -0.00482566+0.0201292j -0.0110855+0.0193631j -0.00978502-0.0115579j -0.000951078+0.00415679j -0.00606328-0.0129432j -0.0222608+0.0128177j 0.00542436+0.00968599j -0.0323692+0.0107389j -0.0048079-0.0172894j -0.0102452-0.00943977j -0.0215736-0.0104216j 0.00691072-0.00827381j 0.0178417+0.0047638j 0.0134922+0.0163764j 0.00763553+0.0152265j -0.00338599+0.00151028j 0.00754705+0.00827155j -0.0123874-0.000780567j -0.00476409+0.00764767j -0.00520189+0.0137275j -0.0041103+0.0121819j 0.0233064-0.00824528j -0.00541647+0.0127768j 0.000743887-0.00525178j -0.00963836-0.00984356j -0.00140452+0.00192833j 0.0122186+0.00442657j -0.000569908+0.0160965j -0.00105433-0.00110583j -0.00415769-0.00467541j -0.0144708-0.00620852j -0.00746438+0.0088703j -0.00583922+0.00295225j 0.0145013+0.021822j -0.00450317-0.00299465j 0.00186581-0.00928371j 0.0162734-0.00371662j 0.00746855-0.00138237j -0.0146543-0.00681635j 0.00386386-0.00671756j -0.0147988+0.00388846j 0.00759758-0.0167521j -0.0119274+0.0044758j -0.0110896+0.00352967j 0.0111361+0.0179597j -0.00838658+0.010716j 0.0106849+0.00514789j 0.00975262-0.0134946j -0.0185916+0.0028451j -0.00453211+0.000752647j 0.0196649-0.00270422j -0.010295-0.0118691j 0.00855686+0.00849113j 0.00593575-0.0155525j 0.0119717-0.00128433j 0.00340728-0.017432j -0.00977953-0.0268087j -0.0364005+0.0133529j 0.016262+0.0240092j 0.00643571+0.00946866j -0.00786708+0.0141912j 0.00161395-0.00399775j 0.00297512+0.000654427j 
0.00109383-0.0114545j 0.0103134+0.00334247j 0.0123197+0.0145322j 0.0160894-0.0091724j 0.0112102+0.00878932j 0.000865328+0.00551405j 0.00113832-0.0256989j -0.0134746+0.000866052j -0.0126618+0.00462978j -0.0114946-0.0256307j -0.00640953+0.0198754j -0.0254844+0.00533581j 0.00499127+0.0160395j 0.0086285+0.00293795j -0.000844468+0.0105212j 0.00466984+0.0118915j 0.00599356-0.0145395j -0.00457299+0.00279429j -0.0026295+0.0303238j 0.000447123-0.00120335j -0.0253681+0.00703422j 0.000208964-0.00358285j 0.0199167-0.00287542j -0.00162244+0.00669906j -0.00198442+0.00156508j 0.0143382+0.0104948j 0.0123949+0.017976j -0.000877136-0.00699027j 0.00751393-0.0016149j 0.0106795-0.0134335j 0.00373078-0.00678145j -0.00710232-0.00404871j -0.0105007+0.0146064j 0.00944216+0.0125839j -0.00504695-0.0209467j -0.00375834+0.000137375j 0.00402227+0.000279376j -0.00869841-0.0036954j 0.000383237+0.0106418j -0.000894206+0.0143594j 0.00138808+0.00735477j 0.0206444-0.00157298j 0.000785097+0.0031195j 0.0047729-0.0194768j -0.00779691-0.00940026j 0.00272905-0.00187589j 0.0152901+0.000713516j -0.00248714+0.00549932j -0.00344628+0.0100664j 0.00787449-0.0165274j 0.0139844-0.00373472j 0.00290148-0.00424541j 0.027195+0.0056376j 0.00347993+0.0210275j 0.014974+0.0124517j 0.0325138+0.00869004j -0.0210944+0.0278113j -0.00907588-0.00550261j -0.000149183+0.00450735j 0.00582918-0.000426197j 0.0154762-0.0159536j 0.0240114+0.0307025j 0.0228093-0.00708608j -0.011027-0.0111681j 0.00457815+0.00149946j 0.00881574-0.0107281j -0.0197133-0.00578216j 0.000642479-0.0181732j -0.00464934-0.0057124j -0.00261901+0.00745718j 
0.0108569+0.0105925j -0.0132986+0.00415752j 0.0073082-0.000961268j -0.00723057-0.0138753j 0.00829765-0.0207943j 0.0220353+0.0093146j 0.00947834-0.00274522j 0.00369889-0.015022j -0.0070889+0.0317852j -0.0141513+0.00602803j -0.00435639-0.00670529j 0.00201055-0.0125499j 0.00601498+0.0114128j 0.0178915+0.0231753j -0.0126157+0.0047448j 0.0176891-0.00935355j 0.0186099-0.0128228j -0.0174394+0.0089147j -0.00581382-0.00759995j -0.00643984+0.00690757j 0.0210242+0.00710447j 0.00465731+0.00536049j 0.00298412+0.0140583j 0.00984939+0.00618196j 0.0166021-0.000232003j -0.00630108-0.0100502j 0.0116658+0.00709061j -0.00425278+0.00306787j 0.016373+0.0114018j 0.0037473-0.0114227j -0.00323478-0.00155064j 0.0152477+0.0180243j -0.00538004-0.000158436j -0.00263194-0.00758782j 0.00169682+0.0230772j 0.00214862+0.00623358j 0.016414-0.0209967j 0.00427639-0.0131205j 0.00558241-0.0149534j 0.00668357-0.00864183j -0.00219796-0.00716678j 0.0128722+0.00841878j 0.00602726-0.00647011j 0.00883817-0.0187611j 0.0213808-0.00892193j -0.00168669-0.000710148j -0.0146742-0.0116874j -0.0154891-0.00146999j -0.00731699+0.0047818j -0.0307428-0.0139423j 0.00819093-0.000313818j -0.00977755+0.0227746j 0.0118403-0.00860459j -0.00473205+0.00351955j -0.0173519-0.0129167j -0.000322926+0.0101053j 0.00471433-0.0155281j -0.000486027-0.0195069j -0.0359735+0.00378155j 0.00863897+0.0166688j 0.00790112-0.019478j 0.00415535+0.0152103j -0.00654078+0.0116688j 0.0166912+0.00832345j 0.0177966-0.0177926j -0.0110188-0.0100413j 0.00661793+0.0069023j -0.00373687+0.0031311j 0.00787576+0.00277634j -0.00204501-0.00630986j 
