-0.165485-0.251318j 0.260012-0.134347j -0.0683004+0.00211814j 0.017731-0.0292547j -0.116346+0.101343j 0.0467623-0.0996636j -0.083481-0.179744j -0.198299+0.122715j 0.0198727-0.0959627j 0.168722-0.0143412j -0.0646783+0.0732099j -0.153189+0.0835204j -0.025624+0.00796997j 0.0893002+0.00441335j -0.0338715-0.0769333j -0.0503603+0.0443896j -0.0253587+0.00101647j -0.200899-0.0564739j 0.0984041+0.0770509j 0.131922-0.0216949j 0.0536148-0.0271011j 0.18921+0.0982735j 0.0147895-0.167488j -0.0253769-0.129654j -0.132327-0.0885994j 0.0601601+0.0995154j 0.016805-0.122184j -0.210187-0.242273j -0.298472+0.211706j 0.174362+0.0745645j -0.0567613+0.154034j -0.0235775-0.0430894j 0.0304445-0.0190785j 0.0345138+0.00709406j 0.000752198-0.0541776j 0.0163106+0.0113185j -0.0479004+0.00458115j -0.00681528-0.0314483j -0.0114543-0.0202065j -0.00444568+0.010565j -0.0221314+0.0168815j -0.0100139-0.00384832j -0.00394219-0.00798599j -0.0120128-0.00692701j 0.0185591-0.0107287j 0.000499516+0.0269099j 0.00218619-0.00321395j 0.00937954-0.00709367j 0.00231312+0.00954929j 0.00378732+0.0340458j -0.00650041-0.00629242j 0.00636372+0.00123774j 0.0151715-0.000817782j -0.00439304-0.000654122j -0.00532578+0.00785526j -0.0076259-0.00885522j -0.00518464-0.0133423j -0.0143244+0.0223767j -0.0159121+0.0176549j 0.0148237+0.0103979j 0.000897076+0.0116896j -0.0202094+0.0352633j 0.0179656+0.00404116j 0.01243-0.00490404j -0.00276216+0.000165876j -0.00891178+0.00332454j -0.0115368+0.00588971j -0.00508672-0.0387192j -0.0481651+0.00652494j 
-0.116617-0.12168j 0.120145-0.0916452j 0.0630012+0.0576352j -0.0592768+0.0733361j 0.0184132+0.0375059j -0.0361457+0.0131163j 0.00129124+0.0314611j 0.00168189+0.00211567j -0.0339084+0.0222737j -0.0156533+0.0137789j 0.0150584+0.0186498j 0.0180837-0.0165417j 0.0368294+0.0082705j -0.000572715+0.00222834j 0.00967894-0.0126434j -0.00931315-0.00292893j 0.0041401-0.0193327j 0.0309834+0.0141562j -0.0193941-0.00704314j 0.0126617-0.0135748j -0.00690187+0.0251385j -0.0100523-0.00408622j 0.0207243+0.0231708j 0.00638848-0.00892077j 0.00652075-0.00895442j -0.0212209-0.0252569j 0.00158325+0.00735802j 0.0444283-0.00414066j 0.0151227-0.0638031j -0.222399-0.111041j 0.123528-0.181557j -0.0987288-0.15567j 0.102799-0.135707j 0.0186769+0.180203j 0.157101-0.0223922j -0.0891632-0.0252121j -0.0317714-0.151397j 0.102789-0.0426391j -0.0656893-0.000775262j 0.00194282+0.14286j -0.0746568+0.0420728j 0.00144514+0.0683148j 0.10932-0.0397754j -0.152045-0.000403836j 0.0891875+0.024397j 0.0813556-0.026785j 0.0455219+0.00509637j -0.0190073-0.058213j -0.0713221+0.0250797j 0.0550873+0.151225j -0.0611876+0.0598214j 0.0913288-0.00503256j -0.044574-0.00380951j 0.00164107-0.0507494j -0.211152-0.0575309j -0.0405794+0.00365285j -0.0581766-0.0329514j -0.0281356-0.00480347j -0.0162555+0.203646j 0.0761431+0.127492j -0.0525147+0.0034964j -0.0145355+0.00607497j -0.00412715-0.164027j -0.0793442+0.0191831j -0.0351638-0.070541j 0.194692-0.0315181j -0.0710281-0.235015j -0.153355-0.214907j -0.266755+0.1174j 
0.090372-0.0168466j -0.00457403+0.0746989j 0.0528704-0.076806j 0.0654996+0.0545772j 0.0185901+0.0291104j -0.0771754-0.0137459j -0.0244261+0.0529008j -0.00218508+0.0194458j -0.00557215-0.0300852j 0.00766537-0.0247178j -0.00727717-0.00744695j -0.0133345-0.0212828j -0.00189026+0.024989j 0.00351783-0.0204037j -0.00597421+0.00259093j -0.000165963+0.0123633j 0.0219394-0.0104403j 0.00581532-0.00705938j 0.0210856-0.00269969j 0.00598258-0.00763039j -0.0053485+0.00334741j 0.0167938-0.00464048j -0.0118278-0.0136241j -0.0150957-0.0164388j -0.0303867-0.00805063j 0.0217457+0.0309876j 0.0139868-0.0260522j -0.00125672+0.0174666j 0.0189063+0.00791679j 0.13923-0.0653253j 0.0295865+0.111772j -0.200626+0.128262j -0.103327-0.21181j 0.0858366+0.0693758j 0.226169+0.00357511j -0.0630375+0.168476j -0.0149382-0.149574j 0.0204886+0.132191j 0.0323984-0.065289j -0.0343385-0.127159j -0.0145095+0.0119656j -0.0761637+0.104693j 0.0524429-0.0442423j 0.130753-0.0657622j -0.00399046+0.116119j 0.00428094-0.00350778j -0.0845754+0.00222735j 0.0747428+0.0100233j -0.166079-0.00533126j 0.110809-0.0687792j -0.0366185-0.0430096j 0.0239676+0.00466956j 0.0669695+0.0190263j 0.0387917-0.0844216j 0.0437118-0.075413j 0.127884+0.0504522j -0.0447295-0.109812j 0.0719021+0.0576745j -0.0364596-0.0185917j -0.105125+0.0692013j 0.0132158-0.0159052j 0.0321622-0.211005j -0.0980266-0.132715j -0.293813-0.00315606j -0.0696673+0.160283j 0.0132774-0.272956j -0.207044+0.000867697j 0.159502+0.0387226j 0.0548808-0.177817j 
-0.0133031+0.00272743j -0.00358986-0.0205508j 0.0126519-0.0107886j 0.00983735+0.00625355j 0.00349581-0.0037497j 0.00762018+0.00290075j 0.00351827-0.00957666j -0.00100568-0.000555878j 0.00142884-0.00643716j -0.0022304-0.00409993j -0.00605537-0.00228096j 0.00267096+0.000528534j -0.00619907+0.00138613j 0.00107386+0.000407756j 0.00350547+0.00438584j -0.0019369-0.00121529j 0.00494662-0.00185574j -0.00403664+0.00421092j -4.60209e-05+0.000467658j -0.00139631+0.00483578j -0.00285856-0.00326504j 0.00268423+0.00190613j 0.00174251+0.000443271j 0.000166766-0.00132421j 0.00436877+0.000116869j 0.00419411-0.00171799j 0.000761966+0.00152551j 0.00491311-0.00512188j -0.00506734-0.000735669j -0.0252296+0.00193213j -0.00472794-0.0416467j -0.0561613+0.0127965j 0.00208405-0.0394389j 0.0136318-0.00928254j -0.0115068-0.015055j 0.0345485+0.0208822j 0.007311+0.0368235j -0.0174044-0.00246159j 0.0183415+0.0149586j 0.0235903-0.0272264j 0.0187768-0.00106294j 0.0174344-0.0179371j -0.00862676-0.00299512j 0.0360593+0.00232011j 0.00771177-0.019689j -0.0315438+0.00579564j 0.00298359-0.00928403j -0.0101773-0.00368639j 0.0107086-0.0135042j -0.00244203-0.0215102j 0.0025962-0.00478154j -0.0106123-0.00938744j 0.0196867+0.00726177j -0.00853059-0.0325528j 0.0439727+0.0262682j -0.0120035+0.000828627j 0.00834097+0.00355299j 0.00422532-0.0204285j -0.00856492-0.013082j 3.50914e-06-0.00523996j -0.0138022-0.00217639j -0.020054-0.0137403j 0.00338194+0.0216324j -0.0220599+0.00115555j 0.0182878+0.0280071j 0.0303406+0.0232976j 0.0467186-0.0212395j 0.0323005-0.0420617j -0.0242508-0.0311684j 
-0.00550098+0.0225285j -0.022058-0.00517865j -0.00402586-0.00681458j 0.00968697-0.00426174j -0.00746821-0.00521658j -0.000929465-0.0093641j -0.00911002-0.00238019j 6.21706e-05-0.00170202j -0.00190185-0.0108813j -0.00857253+0.0011784j -0.00262193+0.00633596j -0.00152057+0.00214911j -0.00336072+0.00792752j -0.000680438-0.00476551j 0.00969732+0.000569752j -0.00411136+0.00284404j -0.00104919-0.00629954j -0.000156209+0.00367676j -0.00132814-0.00154568j 0.00150282+0.00758444j -0.00716381+0.00230552j 0.00220128-0.00458716j -0.000435187+0.00398142j -0.00667414+0.00606328j 0.00448437+0.00328627j 0.00571686+0.0111903j 0.0125801-0.00223907j -0.00236219-0.00934902j -0.00742934+0.00169714j -0.0141176+0.0232893j -0.0222872-0.0176589j 0.000668774-0.0182448j 0.0212293+0.00335458j -0.011492-0.0245027j -0.0057817+0.0373904j -0.0478612+0.0291228j -0.0365107-0.00802074j -0.0285569-0.00519879j -0.0187243-0.0279402j -0.00842558+0.0103136j -0.0122293+0.0245449j -0.0268492+0.0123055j 0.0317108+0.00865621j 0.0148491-0.0272326j -0.00624548+0.000104442j -0.00388668+0.0153957j -0.0091222-0.0055324j 0.0066594-0.00347753j -0.0163873-0.00868665j 0.00370365+0.00536016j -0.0113008+0.0174452j 0.0135036+0.0303253j 0.0191885+0.0185157j -0.015481+0.0114426j -0.00406451-0.0202242j 0.000607953+0.00501519j -0.0107223-0.0215617j 0.00221799+0.00403003j -0.0148772-0.0150796j -0.0547432+0.018748j 0.00831508+0.0125099j -0.00100287-0.0435367j -0.0181993+0.0257879j 0.00751626-0.00493305j -0.0157007+0.000653849j -0.0276373+0.0153245j 0.0219711+0.0348569j -0.0222347-0.0305027j -0.0285315+0.0259674j 
-0.0025921-0.00849548j 0.00898759-0.00315424j 0.0179989+0.0186267j -0.0186707+0.0184567j -0.0107301+0.0165376j -0.0232255+0.00937147j 0.0234174+0.0184325j -0.0146295-0.0108376j 0.00281674+0.00665644j 0.00927218+0.0214106j 0.0202239-0.00835077j -0.0122083-0.00692517j 0.0191714-0.0139735j -0.00233203-0.00364872j -0.0100816-0.00479307j 0.00271642-0.00113392j -0.00661702+0.00395386j 0.000389368-0.0137842j -0.0026116-0.00331417j 0.00212315-0.0155599j 2.43077e-05+0.0231849j -0.0150835-0.00064902j -0.00287958-0.00193704j -0.00303333-0.0097806j -0.0155991-0.00304788j -0.0216732-0.00451288j -0.0135507+0.0180397j -0.0188558+0.0125013j 0.00796952+0.0228711j -0.0167592+0.0109649j -0.0134579-0.0211899j -0.0117041+0.00814912j -0.00230707-0.00782098j 0.00233045-0.0101675j -0.00686738+0.00678751j -0.00610994+0.00789948j -0.00597732+0.00377779j -0.0133796-0.00504947j 0.00282603-0.00735025j 0.00249573-0.00421768j -0.00114991+0.00315973j -0.00372082-0.00533713j 0.00583392+0.00396919j 0.0118069-0.00726779j 0.00059005-0.00474757j -0.00978621+0.00839471j 2.02637e-05-0.0058855j -0.00174562-0.00279342j -0.0019888-0.00643947j -0.00217146-0.00113703j -0.00435414+0.00387416j -0.000933905+0.00683018j 0.00842928+0.00660019j -0.00884287-0.00566573j 0.0104861-4.31425e-05j -0.0059571+0.0025831j 0.0012736-0.00571306j -0.000872217-0.00514426j -0.00537982-0.00250417j -0.0149815+0.00261875j -0.00348556+0.00631138j -0.00746917-0.0128571j -0.000935436+0.0107409j -0.00246324-0.00118072j -0.000936111+0.00387771j 0.00151137+0.0079874j 0.0148523+0.000360978j 0.000488513-0.0194907j -0.016011-0.000863456j 
0.0176147+0.0139636j -0.0124513+0.0196858j -0.00706861-0.0122145j 0.0164048-0.004471j -0.00548028+0.0183786j -0.0155116+0.00967657j 0.00475612-0.00727565j -0.0202487+0.00149528j -0.0110013-0.0201594j 0.00475044+0.0153452j 0.000679447-0.000861991j -0.0138281+0.00339418j 0.000708278+0.00398628j -0.0111021-0.0124113j 0.0194272-0.00464346j -0.00679998+0.00918668j -0.00802606-0.00633795j 0.00425208+0.000861288j -0.00741432-0.00665588j 0.0012797+0.00688726j -0.00951644+0.0253088j -0.0124647-0.0115993j -0.00399669+0.015393j -0.017618+0.00835537j -0.00475797+0.00808752j -0.00465568+0.0239039j 0.0268827+0.0103616j -0.00647154-0.0171514j -0.0124251+0.00936527j 0.00184444-0.0172855j 0.018794+0.00132746j -0.000257018-0.00879711j 0.00731106+6.6217e-05j 0.0118825+0.00669914j -0.00539041-0.0198759j 0.0143931-0.0199941j 0.0139219-0.00805825j 0.0265819+0.00369187j 0.00273084+0.0159012j 0.00288037-0.00319812j 0.00323092-0.00792176j 0.00904762-0.00066078j -0.013674-0.00311614j -0.00035038+0.00565836j -0.00066518-0.00489097j 0.00204071-0.0115253j 0.00134961+0.0115429j 0.0010152+0.00575988j 0.00353297+0.00394661j -0.00105115-0.00398661j 0.000891684-0.00957126j -0.00507784-0.0149376j -0.00769863-0.00880207j 0.0048444-0.00783153j 0.00145588+0.00330398j 0.00809926-0.00623706j -0.0011883+0.0054042j 0.00650229+0.0046132j 0.00169945-0.000830547j 0.0273085-0.00920727j 0.00420132-0.0164445j 0.0139048+0.0144526j -0.00934511-0.0172578j -0.00425389+0.0131637j 0.0113678-0.00387165j 0.00889145+0.000992589j -0.00238186-0.00963379j 0.00174946+0.0128126j 0.0130933-0.0019649j 
0.0103091-0.000343456j 0.000194065+0.009135j 0.0165146-0.00378696j 0.00505886+0.0182178j -0.00837212-0.0114357j 0.00624971-0.00800201j -0.00151662-0.000585395j 0.0206464+0.00108593j -0.00186965+0.0210683j 0.0042587+0.00321415j -0.000319643-0.00799522j 0.000948107+0.0161224j 0.00548205+0.00917779j 0.00108695+0.00371804j -0.00199274-0.000718991j 0.00195661-0.00881471j -0.0125441-0.0051153j -0.00474235+0.00869328j -0.0163897-0.00522254j 0.00792534-0.0176713j 0.0108135-0.0113527j 0.0153777-0.00708447j -0.0322233+0.000922355j 0.0106096+0.0171829j -0.00724042-0.0193698j 0.00266974+0.00887049j 0.00243421-0.00607848j -0.00441903+0.00994969j 0.0065823+0.00378293j -0.00380762+0.021486j -0.0186781-0.00888731j 0.000183102-0.0236565j 0.0267744+0.00414012j 0.0156753-0.00112166j -0.0104931-0.0160554j 0.00689056-0.0127488j 0.00654152-0.0104009j 0.0296593+0.0158429j -0.0144168+0.0115607j 0.00236061-0.000351783j 0.00194265+0.00276429j -0.00169945+0.00795833j -0.00136386-0.00468686j 0.0148062-0.0168382j -0.00567241-0.0178074j 0.000453175-0.0084421j -0.00965852+0.0197763j 0.00242198+0.0116403j -0.00741971-0.00155896j 9.00557e-05-0.0104427j -0.00459467-0.00527994j 0.00368467-0.00797269j 0.00724482-0.00876481j -0.00833701-0.00916921j 0.00569443-0.0100948j 0.0176566-0.00560777j -0.014423-0.00678709j 0.0111982+0.0135699j -0.0130318-0.0133941j 0.0173978+0.00291697j 0.0188929-0.0233089j 0.0228477-0.00344729j -0.0311508-0.0150179j -0.00368255+0.0300548j 0.0204093-0.0103924j -0.000503474+0.0197969j 0.0232105+0.00273301j -0.0116798-0.0057089j -0.00056344+0.0119034j 
0.00742221-0.0102563j 0.00836034+0.0126221j 0.004048-0.0226307j 0.0218479+0.00734167j -0.0133857+0.00203664j -0.00531342-0.00906121j -0.00365577-0.00245655j 0.0130102-0.00696624j 0.00462557+0.0119532j 0.00410481+0.00503024j -0.00296246-0.00547759j 0.00147203+0.011586j 0.00497761+0.00831519j -0.00143255-0.000886828j 0.00438679-0.000846591j -0.0028151-0.00495002j -0.013246-0.0021791j 0.00158701+0.00964591j -0.0150671-0.00583769j 0.00575172-0.0136326j 0.005803-0.00660963j 0.00905815-0.0118113j -0.0288773+0.00785895j 0.00410092+0.0172318j -0.00685679-0.0128365j 0.00115289+0.0140446j 0.0118037-0.00183758j -0.0034247-0.00303409j -0.00180765+0.0018404j -0.015348-0.0252752j 0.0227269-0.00919672j 0.00704027+0.0305744j -0.0331915+0.00416784j -0.0173114+0.00411038j 0.0170297+0.0161807j -0.00201285+0.0181682j -0.00259938+0.0159075j -0.0419769-0.0122335j 0.0164127-0.0167717j -0.00198-0.00223065j -0.00342975-0.00365328j 0.00253817-0.0112782j 0.00127035+0.00593634j -0.0143833+0.0265082j 0.0123157+0.0211252j -0.000644656+0.0106294j 0.00885285-0.0290524j -0.00537393-0.0150306j 0.0100853-0.000784564j -6.1309e-05+0.011438j 0.00651689+0.00460444j -0.00512579+0.0106965j -0.00841862+0.0122478j 0.0123191+0.00746608j -0.00335882+0.015356j -0.0237825+0.0101505j 0.0210089+0.00737065j -0.0162578-0.0184855j 0.0207016+0.0149764j -0.0227279-0.00202489j -0.0221699+0.033149j -0.029588+0.00665098j 0.0414121+0.0144968j -0.00135492-0.0393572j -0.0255676+0.0170053j 0.00289301-0.0256221j -0.0299226-0.00555161j 0.0187417+0.00766662j 0.00122448-0.0188395j 
0.00506638+0.0069724j -0.00647827+0.00519397j -0.00370675-0.004735j 0.00473932-0.00274465j -0.000488453-0.00151107j 0.000913512-0.00272867j -0.0033281-2.40282e-05j 0.00125393+0.00168969j 0.00239438-0.000245149j 0.000980083+0.00171206j 0.00283148+0.000811867j -0.00250927+0.00220313j 0.000678883-0.000476022j -0.00168891-0.000352635j 3.75273e-05-0.00171404j 0.000677661+0.000632821j -0.00202783+0.00299358j 0.000713171-0.00161258j -0.000227857+0.000382688j 0.000489175-0.00174382j 0.00175646+0.000679321j 0.000133184-0.00131669j 0.00182746-0.0016141j -0.000170974+0.000701482j -0.00103577-0.000150121j -0.00198146+7.2611e-05j -0.00035381-6.14442e-05j 0.000213317+0.000236677j 0.000232271-0.000347921j 0.00847512+0.00488743j -0.0048462+0.00880482j 0.0083766+0.0103679j -0.0125894+0.00782j 0.00268489-0.00549845j -0.00726741+0.00889845j -0.0124752-0.0118133j 0.0077722-0.00532894j -0.000660635+0.00573993j -0.00182494-0.00014876j -0.00999519+0.00340893j 0.00445077+0.00529119j -0.00520338+0.010337j -0.00314779-0.00401761j -0.00409288+0.00710695j -0.0125493+0.00459851j 0.00860953-0.00610772j -0.00481207+0.0019835j 0.00521691+0.00738211j -8.9294e-05+0.00769124j -0.00156151-0.00429194j 0.00695898+0.00181992j 0.0052515+0.00186866j -0.0045855+0.00065544j 0.00363372+0.0129945j -0.00514358-0.00534389j 0.00580562+0.00158119j -0.00342059+0.00716143j 0.00164058+0.00534945j 0.00426042-0.0055549j -0.000411162-0.00573154j -0.00107266-0.00040181j 0.00467902+0.00220311j 0.000831679+0.00113635j -0.00126573-0.00134827j 0.00399571+0.00674348j -0.00527727-8.79051e-05j -6.79308e-05+0.00866614j 0.0117255+0.00835997j 0.00925146-0.00876407j 
0.00602085+0.00194482j -0.00247957+0.00636493j -0.00457479-0.000864015j -0.000207066-0.00287076j 0.000893372-0.00125529j -0.00395057-0.00281099j 0.000107577+0.00827247j 0.00350758+0.00123444j 0.00379882-0.00122193j 0.00279757-0.00418738j 0.00453142-0.00559057j -0.000439372+0.00288538j 0.000697795-0.00233797j 0.00165562+0.00149889j -0.00529579+0.00154998j 0.000769881-0.00171312j 0.0032097+0.00308045j -0.00342353-0.00027998j 0.000398311-0.000206747j -0.00365906-0.000935636j 0.000485306+8.76341e-06j 0.000558353-0.000225733j -0.00198278-0.000637432j -0.00094479-0.000586876j 0.00270971+0.000628712j 0.00237649+0.00232918j 0.00377039-2.47946e-05j -0.000733034-0.00114525j -0.000708207+0.00219295j 0.00828868+0.00363223j -0.00365614+0.00996029j 0.00632276+0.0158344j -0.0170383+0.00395482j 0.000282392+0.00661581j 0.00949059+0.00690742j -0.00900296-0.00329743j 0.00702167-0.00655056j 0.00586804+0.00606463j 0.00389537+0.00848917j 0.00685041+0.00339123j 0.00189194-0.0110623j 0.0039496+0.000622614j -0.0118727-0.00143361j 0.00119861+0.00834986j -0.00118309+0.0125224j 0.00522014-0.00789037j -0.000498476+0.00135249j 0.00607754+3.92859e-06j 0.00590032+0.00231156j -0.00248783+0.00109607j 0.00259792-0.00926565j -0.000619158-0.00958084j -0.00228445+0.00705392j 0.0121843-0.00490708j 0.00254661+0.00636202j 0.00262955-0.00288281j 0.00861858+0.0026162j 0.0087561-0.00186976j 0.00400469-0.00582284j -0.00142083-0.00321881j -0.00403567+0.000756724j -0.00403047-0.00302571j -0.00836349+0.00106072j -0.0105741+0.00211616j 0.00212516+0.0122452j 0.0103691+0.00199445j 0.00118648-0.00684782j 0.0024092-0.00713089j -0.00592734-0.000774742j 
