-0.198207+0.0765763j 0.0478845-0.11245j 0.246541+0.0130098j -0.342719-0.0396538j -0.0110614-0.336056j 0.262842-0.040722j -0.133634+0.370451j -0.392888-0.04903j 0.0992099+0.350783j -0.0133012-0.205862j -0.0663526-0.156443j 0.0305548-0.0574057j -0.0967379+0.0260607j 0.0279481+0.0812206j 0.0248988+0.134328j 0.068302-0.0800795j 0.0190711+0.0537867j -0.0166208+0.0205902j -0.00592667+0.0614453j -0.0316523+0.0314488j 0.0139632-0.0712187j 0.0276827-0.0399717j 0.0225707-0.00793819j -0.0256161-0.00370318j 0.0259617+0.0679598j -0.00411845-0.0575943j 0.00916219-0.0311367j 0.0122116-0.0289087j 0.0186101+0.035167j 0.0280771+0.0206277j -0.0125189-0.0178964j 0.00809478-0.0686971j 0.00531947-0.0102963j 0.0208236+0.0552637j 
-0.0308945-0.0207912j -0.0158077-0.0173366j 0.00421739-0.0061295j 0.0045336+0.0217321j -0.0353914-0.0192212j 0.0031371-0.0174503j 0.0225329-0.0563077j -0.0252302-0.0159492j -0.0411571-0.0273074j -0.0285073-0.0144602j -0.00047744-0.0567232j 0.0368088-0.0545953j 0.0443308+0.0371843j -0.028535-0.072311j 0.0224022+0.0492873j 0.0505604-0.0309352j 0.0619478-0.0196917j -0.00330409-0.0408077j 0.00624658-0.0671281j 0.0546011-0.0409954j 0.0872933-0.0529259j -0.126851-0.0470942j 0.0278814+0.122996j 0.0226636-0.101931j -0.00030691+0.269378j 0.0322131+0.204295j 0.0035394+0.048508j 0.00692315-0.204505j 0.028176-0.116396j -0.0220158-0.0816235j 0.0154326+0.0473208j 0.0539845+0.016525j -0.0122118-0.069347j 0.0737418+0.0413068j 
0.0120066-0.0294105j 0.0160569+0.00263333j -0.00258141-0.013973j 0.0159658+0.00671101j -0.0100112-0.00436995j -0.0092521-0.0067111j -0.0170141-0.0200226j 0.0325133-0.0173808j 0.0113451-0.0332822j 0.0423476-0.0133768j 0.00349488-0.0317181j -0.0260666+0.0197276j -0.0570508-0.00816385j 0.00905169+0.0177002j 0.00949917-0.0200904j -0.023187-0.0079882j -0.0494154-0.0439713j 0.0355143-0.00490204j -0.0254866+0.00216046j -0.0179645-0.0120798j -0.0170783+0.00560717j 0.0389124-0.0127732j 0.0149917+0.0168664j -0.0231062+0.0189708j 0.0141246+0.00788642j -0.0106037+0.0519306j -0.0437778+0.00976385j 0.0437291+0.0241604j -0.0391947-0.000907333j -0.00114719-0.032224j -0.0227755+0.02688j -0.0138579+0.0101581j -0.00647733+0.0123422j -0.000132468-0.0223726j 
-0.00357073-0.00674649j 0.0163772-0.0233706j -0.0143276-0.0242841j -0.0228567+0.0219551j -0.0235788-0.0212402j -0.00442649+0.000305099j -0.0160788-0.00955516j -0.020308-0.0235029j 0.0225327+0.0217412j -0.00823089-0.00517099j -0.0243232-0.0568248j -0.0226058-0.00523822j -0.0564171-0.0231022j 0.052385-0.0122526j 0.0123548+0.0124804j -0.0422246+0.0162989j -0.0575109-0.0291773j 0.0515788-0.0289137j -0.0226609-0.0107887j 0.0149283-0.00785261j -0.00159936-0.0379268j 0.0757072+0.00109474j 0.0145257+0.00828299j -0.0301984+0.0557535j 0.0216488+0.0881821j -0.00386537+0.055614j -0.0190586+0.00658544j 0.0200542-0.0148139j -0.0263124+0.0420311j 0.0140131-0.0345106j -0.0379761+0.0196115j -0.0217739+0.0390645j -0.00826017-0.0170417j -0.015283-0.0423122j 
-0.00800457-0.019006j -0.000648992-0.024949j -0.0208042-0.0251157j 0.0265176+0.0186486j 0.0166859+0.0204381j -0.0139479-0.0106688j -0.0222591-0.016456j -0.00372612+0.00613223j -0.022557+0.00875792j -0.0264644+0.0120763j -0.0325025-0.0628982j -0.0159792-0.0292261j 0.0322567-0.0291475j 0.0372867-0.051884j 0.0076486+0.0282595j -0.0185164+0.00965613j -0.00974581+0.031145j 0.0254245-0.0696756j -0.00982935-0.0358596j -0.00782074+0.00856881j -0.0464633-0.0321559j 0.0266431+0.0438467j -0.0140017+0.0490245j -0.00685251+0.0784666j -0.0157659+0.0771423j 0.00544673+0.13424j 0.0218289-0.0580758j 0.0135307-0.0357409j 0.0272285+0.0102057j -0.0148744-0.0478605j -0.00200772+0.0134671j -0.0205074+0.0662664j -0.00166436-0.0384912j -0.019165-0.0754975j 
-0.00622072+0.00451894j 0.0194539-0.0106758j 0.00849972+0.0227584j 0.0170872-0.0181526j 0.00750258-0.0147475j 0.0225825+0.0063905j -0.0147254+0.00883414j 0.00394181+0.00546467j -0.0249593+0.00697161j -0.00975836-0.00721684j 0.0307289+0.0381416j -0.000805812-0.00557173j -0.0353764+0.00709844j -0.0396794+0.0143596j -0.00252062-0.00156613j -0.0186972-0.0321286j -0.0206806+0.00483954j 0.00515698-0.0292797j -0.0240752+0.0216089j 0.00824597+0.0211477j -0.0151+0.0166193j -0.0196082-0.042978j 0.00418992+0.00386715j 0.0351014-0.0190998j 0.00341954+0.00857765j 0.00133931+0.0153811j -0.0263511+0.0182457j 0.0179696+0.0151963j 0.00749557-0.0464758j 0.00185471-0.0237258j -0.00970657+0.026215j 0.00881472-0.0274758j 0.042137+0.0133624j 0.00883382-0.00921569j 
-0.0236431-0.0402777j -0.0484499+0.00858846j -0.00597321-0.0237604j -0.00563899+0.0172268j 0.0560162+0.000889099j -0.0213247-0.0220486j 0.00690271+0.0041464j -0.0282729-0.0032759j -0.0454133-0.00870777j -0.0177468+0.00782885j -0.0340363-0.0484212j 0.00703276-0.0423021j 0.0464715-0.000819356j 0.0597679-0.0168685j 0.0166218+0.0112834j 0.00737552+0.0497996j 0.0376893+0.049957j 0.00475284-0.0126877j 0.0270171-0.0480038j 0.0440604-0.0719698j -0.0276969-0.0191824j 0.0384254+0.044322j -0.0272997+0.0393276j -0.0420442+0.0217317j 0.00735767+0.00762856j -0.0229569-0.0211873j 0.0195436-0.0628266j 0.00167701-0.0429829j -0.0304615+0.0122602j -0.0335093+0.0114407j 0.0224898-0.0315408j -0.0163443+0.0594296j -0.0465278-0.0283742j -0.0196991-0.00177194j 
-0.0268667+0.080537j 0.0304426+0.0105032j 0.00160115+0.0477056j 0.00200652-0.0293024j -0.0471091-0.0622912j 0.0257743+0.0176763j 0.0220294+0.032409j -0.0142646+0.009637j -0.016851+0.00376585j -0.0481986+0.0139001j 0.0377613+0.108439j -0.00536829+0.0464523j -0.018422-0.00164775j -0.0624448+0.0621808j 0.000853771-0.0207661j -0.00665579+0.0240345j 0.0455139+0.0393513j -0.015401+0.0347513j -0.00794829+0.0515149j 0.0676603-0.00126814j 0.062744+0.0673852j -0.0198583-0.0351507j 0.0511724-0.0742688j 0.0518701-0.032249j 0.0213287-0.0727365j 0.0165282-0.0287182j -0.00981874+0.0426991j 0.0216129-0.0227208j 0.00403396-0.0664315j 0.0282595-0.0145561j 0.000766049-0.0247467j 0.0300672-0.064004j 0.0667919+0.0500178j 0.0272717+0.0246999j 
0.00255673+0.00833367j -0.00540522+0.0143923j -0.0113632+0.00890053j 0.0105199+0.00253821j 0.0502064+0.0300416j -0.0230093-0.00121876j -0.00464986+0.0134447j -0.00552829+0.000807534j 0.00578282-0.00536594j 0.015175-0.00972129j -0.0614639+0.000410188j -0.0358411-0.0192307j 0.0344181+0.0136866j 0.055513+0.0407971j 0.00398018+0.000618711j 0.0241174+0.0125747j 0.00915548+0.0067552j 0.0629495+0.0507749j 0.00804167+0.0447397j -0.0278997+0.0242281j -0.0723681+0.0426371j 0.0470819-0.0548425j -0.0486911-0.0152958j -0.0477051-0.0141827j -0.0119055-0.00033997j -0.0173009+0.0140852j 0.0596261+0.00717988j -0.0550136-0.00939153j -0.0853921-0.0125804j -0.0374726-0.00585716j 0.00280997-0.00400613j 0.00505465+0.0118185j -0.0290029-0.00847035j -0.011455-0.00469844j 
-0.00887585-0.00374115j 0.00771113+0.000352401j 0.00114665+0.00042281j -0.0299378-0.0141877j -0.00492473+0.0015847j 0.000106124+0.0203106j -0.017827+0.00128871j -0.0153987-0.0369192j 0.0121505+0.0170353j 0.000479957-0.00211449j -0.00812706-0.00311488j 0.00506019+0.00509411j 0.00407767-0.00606648j 0.00582155+0.00751556j 0.00547213+0.00689965j 0.016508+0.0107649j 0.00338695+0.00357252j 0.00135012+0.0120896j 0.00523434+0.0116901j -0.00038055+0.00485269j -0.00292895+0.00479679j 0.00895605+0.00367609j -0.0096326-0.0117114j -0.0103093+0.00158314j 0.00309225+0.000833409j -0.00438951+0.00264278j 0.010831-0.00483274j -0.0140213+0.00875559j 0.00262558+0.011537j -0.00162976-0.0103597j -0.00208872-0.00561719j -3.18654e-05-0.0031568j -0.00295829+0.00318111j 0.00290598+0.000901557j 
-0.00909827+7.10001e-05j 0.0136855+0.00211773j 0.0370075-0.0245316j -0.01516-0.0020925j 0.00490376+0.0119247j 0.00932322-0.0330069j -0.0210505-0.0184981j 0.0144967+0.0198942j 0.0124991-0.0268576j 0.00546713-0.00387122j -0.0060938+0.00338201j -0.00849697+0.00249881j 0.0107188+0.0137783j 0.015477-0.00249837j 0.00335447+0.00208785j 0.00497161-0.022065j 0.00203409-0.0159564j 0.0033419-0.0187247j -0.00920323-0.0059736j -0.0165266+0.0197441j -0.0300061+0.00953659j 0.000608913-0.0283666j -0.00821366+0.0340394j -0.00104851-0.0120164j -0.007835+0.016322j 0.00431269-0.00751019j -0.000825587+0.00116949j -0.00535682+0.00344697j 0.0123409-0.00393332j 0.00241792+0.0179437j 0.00516506+0.0128332j 0.00300404-0.0197495j -0.00197467-0.0128784j -0.0104819+0.00306848j 
-0.0102874+0.0125429j 0.0228243+0.00585206j 0.0193734+0.00168638j -0.0203454-0.02143j 0.00926195+0.010433j -0.00306274-0.00167778j -0.00483325-0.0270956j -0.00684211-0.014624j -0.0151463-0.00745177j -0.0248805+0.023919j 0.0117146+0.0283394j -0.0121973+0.0162302j 0.0426289+0.0155963j 0.0165283-0.00303029j 0.00166863+0.0157037j 0.00780595-0.0174704j 0.042558+0.00372175j -0.00600224-0.0301481j -0.0187213-0.0106944j 0.00689954-0.0100831j -0.0268282+0.0268216j 0.000863781-0.0597418j 0.00922777+0.059345j 0.00460857-0.0318077j -0.00726114+0.0190163j 0.00710909-0.0337829j 0.00507768+0.00609374j 0.00309626-0.0520167j 0.00945736-0.0352766j 0.00416697+0.0424916j 0.0183642-0.00296302j 0.0213742-0.0428363j 0.0102328-0.0216488j -0.0201876+0.0225234j 
-0.0173069-0.0634977j -0.0284206+0.0105851j -0.00562943-0.0492223j -0.00845229+0.0316132j -0.0222945+0.0269076j -0.00720403-0.0130299j -0.0334933-0.0213628j 0.0130212-0.00333059j 0.0220121+0.00671768j 0.0353495-0.00935323j -0.0198117-0.0751912j 0.0117554-0.0195176j -0.00316104-0.0210225j -0.0323665-0.0783296j 0.0117382-0.00152033j -0.014265-0.0126455j -0.00603087-0.0235305j -0.0468836-0.0458381j -0.046598+0.0581607j -0.0188966-0.0419803j -0.0372537-0.0476333j 0.0419167+0.0448513j -0.00379993+0.0551095j -0.00525581+0.0233237j -0.0386189+0.0656497j -0.0260265+0.0355848j 0.0328093-0.0261033j 0.00657795-0.0388272j -0.0288901-0.00182838j -0.0239838+0.0293548j 0.000802322+0.0236916j -0.0214941+0.0146337j -0.00626262+0.0120449j 0.0193489-0.0389187j 
0.0515718-0.000410226j -0.0039204-0.0623566j 0.0291267-0.00339318j -0.0147466-0.0157032j -0.0502293-0.0724391j 0.0118252+0.00912561j -0.00401425+0.00136476j -0.00799553+0.0116559j -0.0162167+0.021993j -0.00927688+0.0277643j 0.0607467+0.0117861j 0.0168833+0.0757893j -0.000542396-0.0278928j 0.0236194-0.0109652j -0.00552608+0.00540677j -0.00447173-0.00776718j 0.00836637-0.0217392j -0.0297307-0.0427867j -0.105116+0.0685194j -0.00302344+0.0158833j -0.0297166+0.0711517j 0.0425379-0.00618932j 0.00299147-0.0439398j 0.00378469-0.0094j 0.00997149-0.0492874j -0.0234946-0.00895054j -0.0148692+0.0375312j -0.0171263+0.0319026j 0.00474802-0.0155186j 0.0237872-0.0525394j -0.00887932+0.00230185j 0.0314053-0.0549987j -0.00694473+0.0147727j -0.0195104+0.0185439j 
