-0.0557752-0.0230887j -0.00995865+0.0326658j 0.0474577-0.0320331j 0.0480298-0.0144925j -0.00180646+0.0422078j -0.0131551-0.00207629j 0.0177118+0.0191842j 0.102869+0.0217989j 0.0914048-0.0229079j 0.0726246+0.0558901j 0.0201696+0.0787316j -0.121064+0.00873491j -0.130885+0.00874544j 0.0392448+0.129352j 0.066505-0.0592559j -0.0762423-0.0856353j -0.172226+0.18933j 0.0921152-0.0840215j 0.115297+0.223998j 0.106229-0.0230197j 0.13982+0.105541j -0.0709994+0.0456822j 
-0.0404573-0.0517528j -0.0111226-0.0428459j -0.1541+0.00699007j -0.00158992+0.0442123j -0.072973+0.174023j 0.158948-0.0715692j -0.120054+0.0741824j -0.0337512-0.0308941j -0.0483961+0.0576722j -0.0989417+0.0478075j -0.0859171-0.144826j -0.0632267-0.102918j -0.0798345+0.0912677j -0.0321424-0.032467j 0.0244544-0.0458307j -0.134247+0.0468553j 0.154983-0.094232j 0.00546738-0.0418773j 0.0239369-0.0507893j -0.137954-0.223493j 0.0566139-0.0775113j 0.180425+0.0960891j 
-0.0365738-0.0330221j 0.0541189+0.00851086j 0.0151424-0.0971487j 0.0725118-0.103389j 0.0157995+0.0624781j -0.22115+0.0970757j -0.212691+0.189914j 0.0140839-0.216893j 0.00044364+0.120744j 0.00302063+0.126397j 0.00958816+0.0956744j -0.0354453+0.0906591j 0.157524-0.0779505j 0.204907+0.0907818j -0.00196123+0.0637015j -0.233112-0.151647j -0.175065+0.207827j 0.194634+0.0453145j 0.142158-0.0615933j 0.00824789-0.118899j 0.0376732+0.0239543j -0.0341279+0.0912877j 
-0.0892176-0.0188729j -0.0376274+0.00338419j -0.116824+0.0363537j 0.0652238+0.0603423j 0.0119371+0.177119j 0.173987-0.0212063j 0.0135728-0.0458818j 0.179533+0.128764j 0.0612393-0.0321991j 0.0704408+0.157825j 0.00760989+0.0194439j -0.158849-0.244159j -0.332631+0.059557j -0.167607+0.168298j 0.141649-0.193589j -0.0520873+0.0360552j -0.128879+0.0831499j 0.103799-0.153586j 0.0594371+0.312857j -0.000132794-0.127164j 0.117203+0.047002j 0.00625176-0.00865888j 
0.0716371+0.0504291j 0.0285196-0.0391836j -0.131819+0.0772391j 0.275947+0.0976025j -0.0569202-0.0570088j 0.277814+0.134819j -0.316774-0.0737088j 0.0562917-0.150152j -0.0645693-0.204544j 0.093276+0.348589j -0.0466634+0.00479893j 0.0544069+0.0517179j 0.0545976+0.0264328j -0.217131+0.0898199j -0.132699-0.0438738j 0.140485-0.134273j 0.222822+0.0230528j -0.0735871+0.228366j -0.168715-0.272724j -0.0152432-0.0117124j -0.00134337+0.0119165j 0.00338165-0.0357567j 
-0.0432739-0.0351224j -0.00545333-0.0293383j -0.128916+0.0831228j -0.11091+0.0330896j 0.01261+0.20222j 0.136067-0.0912888j -0.0103754+0.0234796j -0.0618657+0.0758869j 0.00935104+0.114396j -0.174303-0.0569529j -0.00834516-0.124971j 0.0443024-0.198332j -0.119028+0.119174j -0.0486103-0.0502434j 0.0155842-0.0207541j -0.0817015+0.0752951j 0.171009-0.176499j -0.000617255-0.0841751j -0.00227014-0.038238j -0.129827-0.158948j 0.0114164-0.0292601j 0.080443+0.0218912j 
0.0150756-0.0444551j 0.0689202+0.0305363j 0.131962-0.0997585j 0.104887+0.012371j -0.175335-0.142689j 0.148577-0.169048j 0.23896-0.104305j -0.011276+0.153609j 0.16594-0.160696j 0.115271-0.0807462j 0.0468186+0.0515347j -0.0557328+0.0796097j 0.0590625+0.115974j 0.0215702-0.0217976j 0.0218729+0.239069j 0.111134+0.0115769j 0.203986-0.0663637j -0.201568-0.187102j -0.115338+0.127075j 0.190181+0.104365j 0.0425363-0.0382872j 0.0220722+0.000197533j 
0.109843+0.0596995j -0.0143402+0.0634413j 0.0549242+0.275726j -0.19236-0.105957j 0.24386-0.0265399j -0.160097+0.101149j -0.130923-0.138673j 0.0231763+0.129012j 0.17879+0.208626j -0.186562-0.13254j 0.0750714-0.0359146j 0.17957-0.185186j 0.032745-0.00189022j -0.0607309+0.0492761j -0.0804709+0.0930369j 0.116775-0.0174403j -0.0846814-0.0637143j 0.100109+0.0991645j 0.0474487-0.111163j -0.0525598+0.0181624j -0.0172893+0.0367604j -0.0729255+0.0643269j 
-0.0162536+0.00804228j 8.97874e-06+0.00469567j -0.075244+0.036317j 0.0974533+0.0118496j 0.029872+0.0664141j 0.057534+0.0568109j -0.103775-0.0315129j 0.0201526-0.0261827j 0.0152479+0.00487993j -0.0532902+0.102281j -0.0474636-0.0232029j 0.0610382-0.0296507j -0.00896029+0.0205868j -0.0154723+0.00486706j -0.00934752+0.0374777j -0.0296802-0.00623854j 0.0347374-0.00141973j 0.0464202-0.0250738j -0.0354911-0.0862555j -0.046881-0.0619882j 0.0240948+0.00411415j 0.00814266+0.00858874j 
0.0117872+0.0479058j -0.0869128-0.0303999j 0.0229639+0.000816635j -0.0811528+0.0639263j 0.0330007-0.0834034j -0.0118412+0.0747604j 0.0866689+0.0474627j 0.0512532-0.0076828j -0.203015-0.0690935j 0.0575916-0.0169927j -0.00479927-0.0300009j -0.00330951+0.0761748j -0.064317-0.136805j -0.084008-0.0162922j 0.0519854-0.207376j 0.0819862+0.093092j -0.0908912+0.0726553j -0.0460657+0.0664696j -0.0481421+0.0723045j -0.0319516+0.125302j -0.042123+0.0321408j -0.024493-0.0541605j 
-0.122994+0.0402811j 0.0527147+0.0168957j -0.246478-0.0929012j 0.312671-0.00566471j -0.0125959+0.180505j -0.138434+0.0283824j 0.152945-0.0895167j -0.143431+0.0940337j 0.242674+0.14751j 0.0122742+0.309197j -0.0874844+0.267013j 0.0467202+0.189896j 0.0916438-0.0490206j -0.102483-0.116228j -0.00752297+0.157876j -0.0562038+0.0823309j -0.116303+0.0407203j 0.0128396-0.0177967j -0.0283804+0.00204068j 0.0456215+0.0125371j -0.0158987+0.058263j 0.00986899-0.107649j 
