0.011571+0.0082976j 0.0232756-0.00979234j -0.0121787+0.00229311j -0.0420451-0.00180984j 0.00678376+0.00565206j 0.00612842-0.00352926j -0.00665019-0.00841915j -0.00263609-0.000980481j -0.00957517-0.0130978j -0.0264958+0.0374305j -0.00635987-0.0311029j -0.00264536+0.0479817j 0.0134693-0.0508206j -0.0277038-0.0182165j 0.00423719-0.0165199j 0.0048774+0.00803717j -0.0101312+0.0234054j 0.0206705+0.00793153j -0.0249021-0.00743684j -0.00879632+0.0452691j -0.0305924-0.00246871j 0.0159746+0.0135996j 0.0265868-0.0359036j 0.0222486+0.0572578j -0.00240298-0.0113125j 0.010605+0.0364506j 0.00827947-0.000398349j -0.0133817-0.0326471j 0.0058865+0.0437309j -0.0194645+0.0532471j 0.0244587-0.0430014j -0.0597636+0.00351286j -0.04824-0.0398377j 0.0793305+0.00318202j 
0.0107236-0.00316671j 0.00226359-0.0131889j -0.0156877-0.00975346j -0.0198514-0.0107154j 0.0225331-0.0036572j 0.0126298-0.000250416j 0.0157549-0.0288735j 0.0149927+0.000338143j -0.00775918+0.00554318j -0.0133329-0.0372263j 0.00790545+0.00906342j -0.00955185+0.0279209j 0.0108026-0.0156553j 0.00154014-0.0235359j 0.000488564+0.016147j -0.00476845+0.0253568j 0.00719976+0.0139061j 0.0152504+0.0146819j 0.0270125-0.0121182j -0.0123706-0.0212938j -0.00740973+0.016598j 0.0105427+0.00273338j 0.00688757+0.017562j -0.0186748+0.0202139j 0.00270892-0.0284447j -0.0139097+0.0417855j -0.0151799+0.0627733j 0.00274439-0.0823083j -0.0401969+0.0287729j -0.0185346+0.00669033j 0.00651187+0.0921759j -0.0417424+0.00101727j -0.122472-0.00300394j -0.0715589-0.0507118j 
0.00553631+0.00826075j 0.0214444-0.0273423j -0.000373188-0.00378011j -0.00337401-0.00875417j -0.00396769+0.0218317j -0.00243427+0.00523498j -0.0170142-0.0410883j 0.00538702+0.00638861j 0.0142477+0.00551928j -0.00675465-0.0317059j 0.00100842-0.00930011j 0.00209355-0.0343132j 0.00967888-0.0169405j -0.0291189+0.000418762j -0.0078336+0.0196487j 0.0103393+0.0374293j 0.0130068-0.00650579j -0.00183373-0.0129897j 0.041604-0.0116866j -0.00679199-0.0484442j 0.00625162+0.0119911j -0.0158843-0.0115682j 0.0380089-0.069943j 0.0465743+0.0505724j -0.00574022+0.0375696j 0.00315857-0.0104555j -0.00582748-0.0173559j -0.0410565+0.0786651j -0.0217488-0.00935908j -0.0245475+0.0505618j 0.000141427-0.0250594j 0.0622353+0.0321428j 0.0208535-0.0220352j 0.103255+0.0337158j 
-0.00115313-0.0192456j -0.0170247+0.0133986j 0.00570136+0.0048931j 0.0538704-0.00794186j -0.0280097-0.0168549j -0.0127876-0.00422222j 0.0120531+0.036311j 0.00568526-0.00598845j 0.00226162+0.0062498j 0.00717257+0.0144833j 0.0468667-8.90028e-05j 0.0261858-0.0391384j -0.0128497+0.0577527j 0.0174351+0.0104322j 0.00685368-0.00971525j 0.00236516-0.0131236j -0.00928897-0.0620849j -0.022142-0.0362145j -0.00565749+0.0215405j 0.0225042-0.00857758j 0.0389871-0.0316799j -0.0315513-0.0416321j -0.0381683+0.0209099j -0.0580756+0.0266638j 0.0080651-0.0172732j 0.029007+0.053912j 0.0159528-0.0152814j -0.0128298+0.0189681j -0.0101888+0.0491842j -0.0283262+0.07649j 0.0199658+0.0262209j 0.0369278+0.0217405j -0.0836899-0.0275046j 0.0674962+0.00836731j 
0.0176682-0.0150288j -0.00185782-0.0121043j -0.0251512-0.00036335j 0.0190478-0.00580511j -0.0182093-0.0258568j -0.00249823-0.00274322j -0.000740253+0.0153225j 0.0334766+0.0250199j 0.0278095-0.0353368j 0.0100013+0.0207529j 0.00819779-0.035905j -0.0131556+0.0245814j 0.0120599+0.00969648j -0.00216648-0.0298064j -0.00470992+0.0385372j 0.00047313+0.0214556j -0.00137939-0.0180585j -0.019872+0.0055717j -0.0260401-5.56863e-05j -0.0148569+0.0389628j -0.0267138+0.0248604j 0.0335616+0.0376696j 0.0204173-0.013465j 0.0260582+0.00816364j -0.0102556+0.0138786j -0.000183304-0.0295726j 0.0252399-0.0533188j 0.0117605+0.0274524j 0.0461565+0.012524j -0.0304272-0.0175784j -0.0139397+0.00800229j 0.0340141+0.0138058j 0.0283969-0.00424232j 0.00762746+0.0076222j 
0.0134248-0.0018937j 0.00434448-0.023049j -0.0257073+0.000498118j 0.0211282-0.0104412j 0.00516132+0.016482j -0.0427074-0.00647951j 0.00584357+0.0312566j -0.0208125-0.0460004j -0.0149966+0.0731486j -0.00364786-0.00176995j 0.001425-0.00861433j -0.0168605+0.0317824j 0.00311945-0.00390069j -0.0116589-0.0153836j -0.00470017-0.0576633j 0.00843487-0.0117273j 0.0129069-0.00398626j -0.00790843+0.0189693j 0.0121537-0.0227441j -0.0184071+0.00518893j -0.00254718+0.0207377j 0.0159775+0.022299j 0.019065-0.0249452j 0.031887+0.0182263j -0.00958866+0.0248337j -0.0106275-0.0276614j 0.0228489-0.0612423j 0.00208594+0.0101201j 0.0524761+0.0261708j -0.0427364-0.00178169j -0.0163367+0.0201462j 0.0381736+0.00951805j 0.00159923-0.0124342j 0.0100999+0.0109202j 
0.00798983+0.0213435j -0.00153569+0.0149876j -0.0369156+0.00876221j 0.00216698+0.00879553j 0.0309281+0.0216192j -0.0145247+0.0138755j 0.00714695-0.0320799j 0.0456627+0.019856j 0.00284616-0.0367635j -0.0197472+0.00277885j -0.00589078+0.013924j -0.00111332-0.0271966j 0.0115039-0.0413275j -0.0217389+0.0369107j -0.00803106-0.0307846j -0.014402+0.00533877j -0.0175964+0.0534975j 0.0575065-0.00741885j -0.0270438+0.00773832j 0.01738+0.0100181j -0.00690611-0.0522793j -0.0308775-0.039079j -0.00497678+0.00416144j -0.0128517-0.00722652j 0.0257756-0.0245024j 0.0407201+0.0201746j -0.0178928+0.00320671j 0.00792571+0.0245819j -0.0227525-0.0296279j 0.0117574-0.0209904j -0.0121207+0.0114582j 0.00891619-0.0126379j 0.0102653+0.016931j -0.0197432+0.00532163j 
0.0186443-0.0168773j 0.0102872+0.00282614j -0.0103149-0.0148497j 0.00719994+0.0051004j -0.00565103+0.0255782j 0.0360303+0.0066418j -0.00489651-0.0444253j -0.0253101+0.0339972j -0.00774126-0.0506138j 0.00210858+0.0175808j 0.0138483+0.0147553j -0.0133877-0.0145378j 0.0141401-0.0196811j -0.0140088-0.0007629j -0.00341195-0.0235023j -0.0061527+0.0251972j -0.00813451-0.0021469j 0.0011397-0.021851j -0.04797+0.0208014j 0.00643498+0.0333938j -0.0347616-0.0147492j 0.00265599+0.0137324j 0.00768183+0.000421374j 0.00569459+0.0235539j -0.0139396+0.0308405j -0.0102651-0.00276367j 0.00432121+0.00296824j -0.0227505+0.0562513j -0.0137864-0.00820613j -0.0132399+0.0277977j -0.0067186+0.0396667j 0.0680477+0.0280529j -0.0192289-0.00749095j 0.0249842+0.0130218j 
-0.00322942-0.0266244j -0.0216253+0.0198036j -0.0704198-0.0133017j 0.0281584+0.0111057j -0.0234415+0.0170455j -0.014244-0.00753292j 0.00636605-0.0466389j -0.0213833-0.00136196j 0.0165256-0.0034537j 0.0129347-0.00138805j -0.0124437+0.0353534j 0.000527136+0.00963301j -0.00570534+0.00809938j 0.0226077-0.0204246j 0.0120098+0.0252062j -0.0027269-0.0267253j 0.015929+0.0048888j -0.0257602+0.0159044j 0.0308174-0.00690082j -0.0321703-0.0180654j -0.0284651+0.0465025j 0.05165+0.0471189j 0.0195428-0.0284265j 0.0111537+0.00651118j 0.0446376-0.0807973j 0.0617369+0.0308907j -0.0142323-0.0116541j 0.0122832-0.00576891j -0.011507-0.0168945j -0.0187037-0.0349111j -0.0122283+0.0066656j -0.030908-0.0150015j 0.00725693+0.0102819j -0.0307715-0.0199336j 
-0.0128124-0.0496336j 0.0145287-0.00383553j 0.033043-0.0141714j -0.0172732-0.00107735j -0.0346015-0.00986861j -0.0243958-0.00478741j 0.00477158-0.0497268j 0.0151466+0.00867418j 0.0288617-0.0177261j 0.0111371-0.00575577j -0.00532015+0.0348515j -0.00188989+0.0103495j -0.0174885+0.0195736j 0.0333363-0.0434165j 0.00167805-0.0224079j 0.00902256-0.0330761j 0.0240079-0.0509389j -0.0775125-0.00457154j 0.00534847+0.00858661j -0.036496+0.00047545j -0.029084+0.0660481j 0.0591684+0.0824341j 0.00620951-0.00116769j 0.0137989+0.00728761j -0.0357446+0.0114866j -0.0328911-0.0150529j 0.000138181+0.0317349j -0.0219081+0.00119418j -0.0115083+0.00111325j 0.000440062+0.0342878j 0.010329+0.00327102j 0.00395203+0.00875511j -0.0122042-0.01017j 0.0151586-0.0024204j 
-0.0102929+0.0067774j -0.0229132-0.0327289j -0.00124194+0.0155593j 2.49783e-05-0.00677267j -0.0098797-0.0822954j 0.028895+0.00348048j -0.0209189+0.0239247j 0.0110066+0.0196068j 0.0249342-0.0237003j 0.0133884-0.0359279j 0.0186415-0.0393934j 0.00521694-0.00407564j 0.0105653+0.0396399j 0.0119985-0.0120045j 0.00730279-0.0164902j -0.00599532-0.0249869j -0.000687031+0.0324843j 0.0190135+0.016377j 0.0333797-0.00144657j 0.00661532-0.0149058j 0.0195222+0.00396977j -0.0146225-0.013452j 0.021441-0.0468023j 0.0360049+0.00414112j 0.0172731-0.001144j 0.00951116-0.000595345j 0.00122682-0.0188137j 0.0257047-0.0408033j 0.0211214+0.0164215j -0.01629-0.0411098j -0.0117784-0.00751217j -0.0420699-0.0168605j 0.00802715+0.00593848j -0.0237635-0.0142166j 
