0.43205-0.109163j -0.318608-0.217554j 0.0794229-0.0411391j 0.192245+0.222442j 0.364469-0.166226j -0.0370178-0.431125j 0.06439-0.296122j 0.0393715+0.26552j 0.0551512-0.025467j -0.0732972-0.0115892j -0.00576346-0.0412941j -0.0422794+0.0494117j -0.0353363-0.0430284j 0.0165579-0.0808833j 0.03454-0.0655026j -0.000579439-0.0201267j -0.0516735-0.00756578j 0.0285615-0.000382523j -0.11908-0.00345739j 0.0149709-0.0135548j -0.0267368+0.0310855j -0.00366856+0.0213712j -0.0217755+0.0325295j -0.02897-0.00704391j 0.0341984+0.00912309j -0.0206458-0.0469422j 0.0084248+0.0137779j -0.0297547+0.0414521j 0.00998027+0.0067587j -0.0799081-0.0117376j -0.00392649+0.0655881j -0.042953-0.0198353j 0.0265699-0.00196154j -0.00776166+0.0493674j 0.0381947+0.0180098j 0.0101958+0.0674016j 
0.0286933+0.0577708j 0.0267741-0.0187385j -0.0126017+0.0289136j 0.0528697-0.0609409j 0.261642-0.106804j -0.0422535-0.128781j -0.13835+0.00955643j -0.11036+0.146921j 0.0768621-0.069654j -0.0345282-0.0509131j 0.0530783+0.00787314j 0.0885627-0.0569674j -0.122705-0.0742702j 0.177998+0.33447j -0.220784+0.231111j -0.0369842+0.0409447j 0.167508+0.0957097j -0.0326239-0.0877972j 0.311855+0.0998386j -0.0243851+0.103938j 0.0654708+0.0129043j -0.0555503+0.0818595j -0.018347+0.081951j -0.0211705-0.0581125j -0.152857+0.14166j 0.0841684+0.145601j 0.00976803-0.156737j 0.0368789-0.188079j 0.000487246-0.0336398j 0.0794051+0.0837319j -0.0523222-0.109697j 0.0207045+0.0821273j -0.0600418-0.0217972j -0.00563343-0.249498j -0.067672-0.117537j 0.00496243-0.169662j 
0.12113-0.0976889j 0.0182539-0.0520367j -0.0140355+0.0521021j 0.00254775+0.125083j -0.100785+0.0227453j 0.046699+0.0598471j -0.238326+0.0364372j -0.123744-0.0731828j 0.134606-0.155802j 0.175686+0.101588j -0.181321-0.118497j -0.0159103+0.20433j 0.140309-0.129252j 0.14574+0.0119622j 0.0682163+0.0783564j -0.337539+0.163421j 0.185958+0.230518j 0.294335-0.0470864j -0.109698-0.15672j 0.0403243+0.409909j -0.0331028+0.0624972j -0.0587606-0.0478189j -0.00568995-0.150536j 0.0552207+0.100481j 0.0315547-0.0457846j 0.0246471-0.0582779j 0.018575+0.0656779j -0.00765093+0.0785241j 0.0344205+0.0408732j 0.0114574+0.0391814j -0.0594767+0.0180091j 0.00885509+0.0615095j 0.00719312-0.13327j 0.00862073-0.0418598j 0.0240917+0.0737761j -0.0231499+0.000708494j 
0.0706732-0.102741j -0.025796-0.0485882j 0.0280831-0.0366069j -0.0476822+0.130653j -0.0649076+0.011782j 0.0527517+0.0689112j 0.0718827+0.0204012j 0.0454229-0.0411902j -0.0962901-0.0123728j -0.0321911+0.118051j -0.0598434-0.203042j 0.0944826+0.0451612j -0.208684-0.0970567j -0.11478-0.123225j 0.296456-0.101153j -0.110036-0.098197j -0.192993-0.0575648j -0.00872366-0.0439884j -0.122704-0.121268j -0.0786552-0.142868j 0.0652046-0.0801643j -0.0306531+0.0735031j 0.0097518+0.0868953j 0.0620898-0.197816j -0.0799179-0.248414j 0.099336+0.147141j 0.01188+0.0638482j 0.0271602-0.00461143j 0.0177523+0.12982j 0.0353736+0.176326j -0.02265+0.0104138j 0.0174485+0.144334j -0.0241943-0.0331847j -0.00165023-0.294558j -0.0338054-0.0399951j -0.0258718-0.209242j 
0.0419853-0.0922501j -0.0648429+0.0164983j 0.00430016-0.0142038j 0.0174594+0.0465682j -0.0197797+0.0506314j 0.0171132+0.0264893j -0.0558777+0.158925j -0.0187779-0.00278076j -0.0897334+0.0549703j 0.132968+0.0124982j 0.221759-0.131706j -0.0926387-0.117876j 0.18396+0.13884j -0.092642+0.0843782j -0.024125-0.137908j 0.225188+0.0487154j 0.35425-0.10933j -0.126925+0.00674996j -0.0674767-0.0474775j -0.277818+0.167832j -0.024596-0.110124j -0.0573696+0.15709j -0.152074+0.154083j -0.0805792-0.104027j 0.0623011+0.0767622j -0.010106+0.00190112j 0.0664673-0.0205868j -0.135118-0.00765094j 0.0975508-0.03418j -0.32053+0.105079j -0.0830859+0.0851943j -0.107307+0.0886649j 0.0218186-0.0414826j 0.0545803-0.168207j 0.0532144+0.0749724j -0.0324421-0.0531365j 
-0.0228989-0.0162233j 0.0400816-8.39626e-05j -0.00377008-0.0187936j -0.0273676+0.02645j 0.0212053+0.0315862j 0.0196992-0.0196599j 0.00499318+0.0188909j -0.0121219-0.0428813j -0.0296687-0.0501456j -0.0804325+0.084554j -0.0906138-0.113428j 0.218389+0.0563896j -0.224105-0.0462844j -0.0205288-0.0437318j -0.120871+0.0967867j -0.0352318-0.0873584j -0.0640885-0.00765976j -0.0485117-0.0411663j 0.0990436+0.0280039j -0.0438203-0.115421j -0.128563-0.0736895j -0.00626308+0.0763921j -0.106794+0.0295596j 0.107962-0.0665234j 0.0302093+0.0641736j 0.0891003+0.14228j -0.0943882-0.0591025j -0.0692154-0.16815j 0.0585806-0.131852j 0.131228+0.139987j -0.0671011-0.126188j 0.0533387+0.104724j -0.0189066-0.257891j 0.0672373+0.053771j 0.0301818+0.228347j -0.0277731+0.0417371j 
0.0113912-0.0299587j 0.0629557+0.00306984j 0.00879885+0.0159662j -0.0405646-0.00710672j -0.0173613-0.00614353j -0.0162596+0.0129107j -0.00510114+0.0306014j -0.0310036+0.00742696j 0.00965071-0.0414223j 0.0157958+0.0317212j -0.00521027-0.067839j -0.0372513+0.0495707j -0.107223-0.0636192j 0.0162546+0.124939j 0.148268+0.0328078j -0.0899698-0.0170198j -0.01134+0.0370525j 0.0182507-0.0522219j 0.0422268-0.0324005j 0.022112+0.0367045j 0.181655+0.041506j -0.0127821-0.0134945j 0.00115379+0.091585j -0.157901-0.174974j -0.132975-0.14401j -0.109017+0.0798532j 0.0854076-0.098736j -0.0621572-0.0238982j -0.0788666+0.0697122j 0.0760181+0.00985782j 0.0231965+0.0986035j -0.0254988-0.110464j 0.0426435+0.199621j -0.0500471-0.0469329j -0.0999657-0.210388j 0.0413253-0.0843737j 
-0.0128592+0.103756j 0.0406145-0.028279j -0.0045066+0.0207737j -0.0261163-0.0611914j 0.0584224-0.158014j -0.0336048+0.065471j 0.00175277-0.000911417j 0.0440107+0.0715018j -0.0299497+0.0471633j -0.0330015-0.0974652j -0.112511+0.0459208j 0.0907199-0.0219308j 0.124651-0.0974964j -0.00971754+0.120215j 0.0273607-0.131468j -0.0247147+0.0339421j -0.0769246+0.0335685j 0.03412+0.0518441j -0.017107-0.0951749j 0.0839643-0.0969868j -0.137169+0.0508933j 0.0309115-0.009268j 0.0568786-0.140625j 0.0355062+0.118887j 0.0407086+0.0611419j 0.067756-0.0713003j -0.116296+0.0809878j 0.0287006+0.0628365j 0.339815-0.00422277j -0.101721-0.0175625j 0.0754464+0.025999j -0.0107951+0.0187702j -0.159498+0.272913j 0.168249-0.213013j -0.00260672-0.0444328j -0.049083-0.121425j 
-0.0308702+0.0505186j -0.048808+0.0709709j -0.0386152-0.0242916j 0.0255119-0.0477156j 0.000356484+0.0623484j -0.0160499-0.0497554j 0.0464715-0.0579062j 0.0225698+0.0135275j 0.0235379+0.0670384j 0.00267255-0.100117j 0.0311466+0.11107j -0.17892-0.0689243j 0.0305062+0.0817862j 0.0254967-0.061731j 0.00623387+0.0253351j 0.055376+0.00237101j -0.0137453-0.017815j -0.0119975+0.0319867j 0.0379906+0.0696429j 0.0309885-0.0853037j 0.113054+0.168163j -0.100468+0.155979j 0.171221-0.133984j 0.199136+0.172519j -0.0389326+0.0808572j 0.143624-0.0323936j 0.265347+0.149065j 0.0554152+0.152483j -0.142374+0.191817j 0.0740548-0.10457j -0.146493-0.00696617j 0.0455179+0.283766j 0.083672-0.358373j -0.114793-0.243889j -0.0528583-0.0251951j 0.0479773-0.0615089j 
-0.0593551+0.0440829j 0.063017+0.0514255j 0.00747133+0.0378317j 0.0227942-0.0244811j -0.026044+0.00771523j -0.00811525+0.0022548j 0.0127219-0.0344808j -0.00996466-0.0265667j 0.0202124+0.0188668j -0.0652225+0.0121748j -0.0483185+0.0313274j 0.0640481+0.0120633j -0.0970814-0.0335129j 0.0455955-0.0298427j 0.00608586+0.0310837j -0.0242609-0.0472758j -0.127323+0.0362174j 0.13298-0.0107028j 0.0885997-0.015494j 0.121584-0.0417274j -0.0468429+0.0692459j -0.169448+0.167779j -0.0566139-0.162725j -0.28903-0.173905j 0.0403359+0.00552918j -0.18481-0.21288j 0.328712-0.217867j -0.459392+0.0548813j 0.112417-0.0626607j 0.00357404+0.00340899j 0.0140019+0.153995j -0.329073+0.0666507j 0.0383756-0.0817239j -0.0115821-0.015193j 0.0363883+0.0299432j 0.0238794+0.0297786j 
0.0186087-0.0530474j -0.0132939+0.0166182j 0.0220352+0.000325116j 0.00793978+0.00998805j -0.00737895+0.0277351j 0.0369493-0.0136767j -0.0123325+0.0305874j 0.00944461+0.0121155j 0.00768068-0.0164551j 0.0529079-0.0118485j 0.057963-0.0329625j -0.149526+0.0232866j -0.0278886+0.00368632j -0.0130134+0.0995411j 0.13834-0.00299521j -0.0158299+0.0023464j 0.072671-0.0173696j -0.0294814-0.00638152j -0.0211778+0.0114878j -0.0545934+0.0450584j 0.225397+0.068859j -0.0168668-0.0576938j 0.0129016+0.14118j -0.0581248-0.0771016j -0.094536-0.111446j -0.0429809+0.0178812j 0.0238185-0.00131111j 0.0488686+0.042394j -0.134343+0.10305j 0.0306949-0.040277j 0.00851662+0.0402793j -0.00339285-0.0776383j 0.0404566+0.0732893j -0.110788+0.0055783j -0.102463-0.133119j 0.0802225-0.0169325j 
