0.0487183-0.015156j 0.0773936-0.0120601j -0.246923-0.0225589j 0.0482827+0.0688141j -0.000400225-0.00809585j -0.014641-0.0965073j -0.0103046+0.00104996j -0.0531879-0.143937j 0.0368093+0.0988906j -0.27977+0.272412j 0.00723543-0.0159743j 0.215518+0.0804157j -0.0958708+0.14712j 0.0559313+0.151422j -0.17141-0.203596j 0.0260689+0.41039j 0.00783615+0.000559832j -0.060138-0.0587813j 
-0.0278187+0.203575j 0.0658442-0.174129j -0.155597-0.0447044j -0.0574954+0.0821103j 0.297533-0.0485319j 0.00724058-0.0771256j 0.0472854-0.14285j -0.164016-0.203181j 0.029772-0.121233j 0.191719+0.307356j 0.00329215-0.117728j -0.234234+0.443212j 0.0236467-0.0650325j -0.0892575-0.0378467j 0.0413576+0.143658j -0.114108-0.0722031j -0.0568669+0.119166j -0.0197428-0.138066j 
-0.0845083+0.0559783j -0.0484869-0.0732163j 0.327919+0.211573j -0.384976-0.0787445j 0.449474-0.309993j -0.242877-0.104268j -0.231067-0.188513j 0.0668908+0.209549j 0.159474+0.0257017j -0.211062-0.0173615j 0.316834+0.00908554j -0.0198061-0.0901385j -0.0460489-0.0116222j 0.0192738+0.00415501j -0.00360785-0.00222396j -0.0199739+0.0874397j 0.00405166+0.00497416j -0.0225496+0.0176223j 
-0.116877-0.0202441j 0.0480209-0.0169464j -0.0324161-0.00683541j 0.0654778+0.158444j 0.230703-0.0992039j 0.114483-0.26686j 0.193032+0.0278959j -0.0878162-0.121642j 0.0260093-0.0627932j -0.150995+0.0833947j 0.0667834-0.167477j 0.185358+0.273522j -0.00364001+0.442293j 0.0662077-0.195713j -0.00278123-0.110954j 0.0777877-0.0863278j 0.0349535-0.120254j 0.00722921+0.167164j 
0.122591-0.107595j 0.0581864+0.035989j -0.194857-0.0413654j -0.0335775+0.0083916j -0.0971571-0.025787j -0.0949535-0.0533127j -0.131609+0.0221269j 0.0171374-0.0110055j 0.0398383+0.238347j -0.215344-0.0558183j 0.00801588+0.0188768j 0.127149-0.1054j -0.0670605+0.0234761j 0.0278246-0.115155j -0.125997-0.0870774j -0.0199724+0.282125j -0.079158+0.0331951j -0.0147142+0.0765044j 
0.0994395-0.120583j 0.0896013-0.0180757j -0.249598-0.0962387j -0.0569387+0.0712831j -0.00216207-0.0448593j -0.147454-0.0937976j -0.131201+0.0358737j -0.0556696+0.0217618j 0.0244436+0.179847j 0.0654891-0.22535j -0.0433397-0.0807178j -0.162201+0.00979566j -0.0214088-0.0264289j -0.0731359-0.639931j -0.071615+0.303561j -0.0794498+0.0505901j -0.0892769+0.120161j -0.0959913+0.132625j 
0.0642719+0.086241j 0.0608744-0.0467612j -0.148387-0.0324001j -0.0526509-0.0403883j -0.0193769+0.0623554j -0.0862969+0.0460884j -0.0760589-0.097384j -0.00737184-0.0869132j -0.000315223+0.0487014j 0.0175426+0.228205j -0.0308372+0.0396721j -0.0684149+0.0539426j -0.0241333-0.148254j -0.0424584+0.171128j -0.0538589+0.0558684j -0.0402795+0.241476j -0.0564315+0.0798399j -0.0565592-0.156255j 
-0.0729438-0.0738364j -0.0418732+0.0531843j 0.0774572+0.0278088j 0.0567785+0.0689023j 0.0084471+0.00269024j 0.121536-0.0630844j 0.103369+0.0722285j 0.00215301+0.0174303j -0.00565984-0.040529j -0.0431544-0.109126j -0.00993829-0.051513j 0.0918076+0.0300873j -0.0164871+0.196069j 0.0333761-0.0878466j 0.0341493-0.0570446j 0.0328326-0.158355j 0.0927156-0.05025j 0.0731096+0.0799206j 
0.0353008+0.0240623j 0.0373315-0.00830177j -0.0277896-0.0202712j 0.00331806+0.013622j -0.0135309-0.00523676j 0.0228981+0.0374066j -0.00229297-0.00463698j 0.0372909-0.0315639j -0.00524362+0.037244j -0.0415126+0.0498174j -0.0176546+0.0115546j 0.00772554-0.0428181j 0.0108268-0.00458048j -0.0112078+0.00196341j -0.0410033+0.0248081j 0.0042582+0.0699909j -0.00963995-0.0214409j -0.00805691-0.00564397j 
-0.0225777+0.0306533j 0.0046019+0.0197794j -0.019758-0.0014269j 0.00201809+0.0192529j -0.00408458+0.00562677j -0.0191252+0.0164807j -0.0443452-0.00213182j -0.00848602-0.009958j 0.0251015-0.0171557j 0.0354428+0.0126716j -0.0152281+0.023868j -0.0664116+0.0442531j 0.00384779-0.0463361j -0.0020532+0.0863096j 0.0229526-0.0379771j 0.00510472-0.01251j 0.00028053-0.00263332j -0.0139202-0.0487897j 
0.0173787-0.008317j 0.00850814-0.0261071j -0.0214469-0.0224033j -0.0320787+0.00640833j 0.0235252+0.00875153j 0.00939985-0.0122443j -0.000343713-0.0445462j 0.0109053-0.0215611j 0.001257-0.00471174j 0.012939-0.0382015j 0.000562581-0.0147091j -0.0161531+0.00149896j 0.0163549+0.00814486j 0.0064921-0.0864606j -0.019144-0.0118833j 0.00363455-0.0291741j -0.0633941+0.0107117j -0.00363742+0.0614255j 
