-0.350857-0j -0.00539418-0j -0.289442-0j 0.284117-0j -0.258885-0j -0.177247-0j -0.00455987-0j 0.365767-0j -0.00416257-0j -0.179083-0j -0.168841-0j 0.248602-0j 0.165735-0j 0.310634-0j -0.00297388-0j -0.0522327-0j 0.337358-0j 0.102543-0j 0.216359-0j 0.221928-0j 0.136725-0j 0.036579-0j -0.0474466-0j -0.000723736-0j -0.0384361-0j 0.0377289-0j -0.0338975-0j -0.032158-0j -0.000597052-0j 0.0478921-0j -0.000534019-0j -0.000365618-0j -0.0229748-0j 0.0318934-0j -0.0296603-0j 0.0398515-0j -0.0114162-0j 0.0291145-0j -0.000369407-0j -0.00034828-0j 0.0419056-0j -0.0122342-0j 0.0279371-0j 0.0268755-0j 0.0208004-0j -0.000107744-0j 0.0367563-0j 0.0172852-0j 0.0160122-0j 0.0192008-0j 0.00899118-0j 0.00201996-0j 
0.0355849-0j 0.0384361-0j -0.0288852-0j 0.0296603-0j 0.0262569-0j 0.0179768-0j -0.03197-0j 0.0189532-0j 0.0296603-0j -0.0539067-0j -0.0168497-0j -0.0255364-0j 0.0173018-0j 0.010705-0j -0.0628912-0j -0.0367432-0j -0.0172007-0j -0.0530097-0j 0.00558531-0j -0.0226986-0j -0.00277633-0j 0.000538757-0j -0.227628-0j -0.243938-0j 0.181441-0j -0.18631-0j -0.162625-0j -0.15428-0j 0.19801-0j -0.117389-0j -0.179993-0j -0.123233-0j 0.327132-0j 0.154967-0j 0.140014-0j -0.0649629-0j -0.0547701-0j -0.143772-0j 0.369535-0j 0.115506-0j 0.101068-0j 0.290648-0j -0.0684769-0j -0.032818-0j 0.304851-0j 0.251877-0j 0.0589561-0j 0.209801-0j -0.0156309-0j 0.0695868-0j 0.00719341-0j -0.00123107-0j 
-0.0359537-0j 0.0377289-0j -0.0296603-0j 0.0299555-0j -0.026529-0j -0.0181631-0j 0.0318934-0j -0.0175375-0j 0.0291145-0j -0.0183514-0j -0.0173018-0j 0.0262111-0j 0.017474-0j -0.0516426-0j 0.0208004-0j -0.00535248-0j -0.0161753-0j 0.0108115-0j -0.0596882-0j -0.0368952-0j -0.0522354-0j -0.0215803-0j 0.229987-0j -0.239449-0j 0.18631-0j -0.188165-0j 0.16431-0j 0.155878-0j -0.197535-0j 0.10862-0j -0.176681-0j -0.120965-0j 0.111365-0j -0.159061-0j 0.143772-0j 0.313392-0j 0.0553377-0j -0.145203-0j -0.122219-0j -0.115229-0j 0.0950428-0j 0.0593027-0j 0.0633619-0j 0.350715-0j -0.103738-0j -0.0356472-0j 0.289051-0j 0.0392032-0j 0.289371-0j 0.250563-0j 0.20691-0j 0.0661981-0j 
0.0204163-0j 0.0220521-0j 0.0168426-0j 0.0170171-0j -0.030049-0j 0.0103139-0j 0.0186413-0j 0.0108741-0j -0.033944-0j 0.0104208-0j -0.0490199-0j 0.01489-0j -0.0495279-0j 0.0061418-0j -0.0242507-0j 0.0030394-0j -0.0200058-0j 0.0061418-0j -0.00639196-0j 0.00438791-0j 0.00161884-0j 0.000309103-0j 0.0027609-0j 0.00295873-0j 0.00223659-0j 0.00225976-0j -0.00393451-0j 0.00187126-0j 0.00244082-0j 0.00142381-0j -0.0043547-0j 0.00149469-0j 0.00133689-0j 0.00191025-0j -0.00344269-0j 0.000787937-0j -0.00530389-0j -0.00347837-0j 0.00151018-0j -0.00710397-0j 0.00124584-0j -0.00142004-0j -0.00414398-0j 0.000398051-0j -0.00248507-0j 0.00044047-0j -0.00144962-0j 0.000513882-0j -0.00037817-0j 0.000284381-0j 8.86715e-05-0j 1.49317e-05-0j 
-0.00294684-0j -0.00318295-0j -0.00243102-0j -0.00245621-0j 0.0043372-0j -0.00148869-0j -0.00269064-0j -0.00156954-0j 0.00489939-0j -0.00150411-0j 0.00707542-0j -0.00214918-0j 0.00714874-0j -0.000886493-0j 0.00350029-0j -0.0004387-0j 0.00288759-0j -0.000886493-0j 0.0009226-0j -0.000633341-0j -0.00023366-0j -4.46152e-05-0j 0.0380988-0j 0.0408287-0j 0.0308636-0j 0.0311834-0j -0.0542938-0j 0.0258223-0j 0.0336819-0j 0.0196478-0j -0.0600923-0j 0.0206259-0j 0.0184484-0j 0.0263603-0j -0.0475071-0j 0.0108731-0j -0.0731906-0j -0.0479994-0j 0.0208396-0j -0.0980305-0j 0.0171918-0j -0.0195957-0j -0.0571845-0j 0.00549287-0j -0.0342924-0j 0.00607823-0j -0.0200039-0j 0.00709126-0j -0.00521852-0j 0.00392429-0j 0.00122361-0j 0.000206049-0j 
-0.0252639-0j -0.000388414-0j 0.0205073-0j 0.0204581-0j -0.0186413-0j -0.0127628-0j 0.000323071-0j 0.0263374-0j -0.00029973-0j 0.0382716-0j 0.0119626-0j -0.0176137-0j 0.0119339-0j 0.0223676-0j 0.000635543-0j 0.0260862-0j -0.0239022-0j -0.0365633-0j 0.0155792-0j -0.0474278-0j -0.00968708-0j 0.00263391-0j -0.00341644-0j -5.21134e-05-0j 0.00272324-0j 0.00271671-0j -0.00244082-0j -0.00231557-0j 4.23017e-05-0j 0.00344853-0j -3.84527e-05-0j -2.63267e-05-0j 0.00490989-0j -0.00225968-0j 0.00210146-0j 0.00286955-0j -0.00082204-0j 0.00209642-0j 7.89453e-05-0j 2.4676e-05-0j -0.00296906-0j 0.00436231-0j 0.00201164-0j 0.0019352-0j -0.00444522-0j 5.38096e-05-0j -0.00260422-0j -0.0061633-0j 0.00115298-0j -0.00410336-0j -0.000637034-0j 0.00014545-0j 
0.0147373-0j -0.0311564-0j 0.0121576-0j 0.0112495-0j 0.0108741-0j 0.00744499-0j -0.0263374-0j 0.030392-0j -0.0240427-0j 0.00752214-0j 0.00709194-0j 0.00984329-0j 0.0065622-0j 0.00515861-0j -0.0171769-0j 0.00219396-0j 0.0280314-0j 0.00406015-0j -0.0299701-0j 0.00368549-0j -0.0516918-0j -0.0404437-0j 0.00199292-0j -0.00418024-0j 0.00161445-0j 0.00149386-0j 0.00142381-0j 0.00135075-0j -0.00344853-0j 0.00397941-0j -0.00308446-0j -0.00211178-0j 0.000965022-0j 0.0012628-0j 0.00124584-0j 0.000661802-0j 0.000479523-0j 0.00115278-0j -0.00213367-0j -0.00201164-0j 0.00348198-0j 0.000513882-0j 0.00232132-0j -0.0037228-0j 0.000823584-0j -0.000622319-0j 0.0006104-0j 0.00143625-0j -0.00605377-0j -0.0026597-0j -0.00629966-0j -0.00321737-0j 
0.00364652-0j 5.60627e-05-0j -0.00295997-0j -0.00295288-0j 0.00269064-0j 0.00184216-0j -4.66313e-05-0j -0.00380148-0j 4.32624e-05-0j -0.00552403-0j -0.00172665-0j 0.00254232-0j -0.00172251-0j -0.00322848-0j -9.17327e-05-0j -0.00376521-0j 0.00344998-0j 0.00527746-0j -0.00224866-0j 0.00684561-0j 0.00139821-0j -0.000380173-0j -0.0471449-0j -0.000719134-0j 0.0375791-0j 0.037489-0j -0.0336819-0j -0.0319535-0j 0.000583739-0j 0.0475876-0j -0.000530624-0j -0.000363293-0j 0.0677536-0j -0.0311822-0j 0.0289989-0j 0.0395981-0j -0.0113437-0j 0.0289294-0j 0.0010894-0j 0.000340514-0j -0.0409712-0j 0.0601972-0j 0.0277594-0j 0.0267046-0j -0.0613414-0j 0.000742541-0j -0.0359367-0j -0.0850498-0j 0.0159104-0j -0.0566239-0j -0.00879069-0j 0.00200712-0j 
-0.00212714-0j 0.00449704-0j -0.0017548-0j -0.00162372-0j -0.00156954-0j -0.00107459-0j 0.00380148-0j -0.0043867-0j 0.00347026-0j -0.00108573-0j -0.00102363-0j -0.00142076-0j -0.000947171-0j -0.000744581-0j 0.00247927-0j -0.00031667-0j -0.00404599-0j -0.000586032-0j 0.00432581-0j -0.000531954-0j 0.00746106-0j 0.00583755-0j 0.0275012-0j -0.0576849-0j 0.0222785-0j 0.0206144-0j 0.0196478-0j 0.0186395-0j -0.0475876-0j 0.0549135-0j -0.0425636-0j -0.0291413-0j 0.0133167-0j 0.0174259-0j 0.0171918-0j 0.00913247-0j 0.00661713-0j 0.0159076-0j -0.0294433-0j -0.0277594-0j 0.0480493-0j 0.00709126-0j 0.0320329-0j -0.0513724-0j 0.011365-0j -0.00858764-0j 0.00842316-0j 0.0198193-0j -0.0835385-0j -0.0367022-0j -0.0869315-0j -0.0443977-0j 
0.0143461-0j 0.0154955-0j 0.0118349-0j 0.0119575-0j 0.0105855-0j -0.0509939-0j 0.0130988-0j 0.00764099-0j -0.036089-0j -0.0220999-0j 0.00690369-0j -0.0315779-0j 0.00697524-0j -0.0130252-0j 0.00854289-0j 0.00213572-0j 0.00704752-0j 0.00431571-0j 0.00225172-0j 0.00308329-0j 0.00113753-0j 0.0002172-0j 0.00194003-0j 0.00207903-0j 0.0015716-0j 0.00158789-0j 0.00138602-0j -0.00396848-0j 0.00171511-0j 0.00100048-0j 0.00153404-0j -0.00739003-0j 0.000939406-0j 0.00134229-0j -0.00366025-0j 0.000553666-0j 0.000466795-0j -0.00369818-0j -0.00320272-0j 0.00100048-0j -0.00264211-0j 0.000500241-0j 0.000583615-0j -0.000844166-0j 0.000875422-0j 0.000309509-0j 0.000510663-0j 0.000361093-0j 0.000133219-0j 0.000199829-0j 6.23075e-05-0j 1.04922e-05-0j 
-0.00253605-0j -0.00273925-0j -0.00209214-0j -0.00211382-0j -0.00187126-0j 0.00901453-0j -0.00231557-0j -0.00135075-0j 0.0063797-0j 0.00390675-0j -0.00122041-0j 0.00558223-0j -0.00123306-0j 0.00230255-0j -0.00151018-0j -0.000377546-0j -0.00124584-0j -0.000762917-0j -0.000398051-0j -0.000545054-0j -0.000201088-0j -3.83959e-05-0j 0.0162225-0j 0.0173848-0j 0.0131417-0j 0.0132779-0j 0.0115899-0j -0.0331844-0j 0.0143418-0j 0.00836602-0j 0.0128277-0j -0.0617953-0j 0.0078553-0j 0.0112242-0j -0.030607-0j 0.00462975-0j 0.00390333-0j -0.0309241-0j -0.0267811-0j 0.00836602-0j -0.0220933-0j 0.00418301-0j 0.00488018-0j -0.00705891-0j 0.00732027-0j 0.00258811-0j 0.00427016-0j 0.00301946-0j 0.00111398-0j 0.00167096-0j 0.000521014-0j 8.77356e-05-0j 
