-0.0594428-0j -0.0600588-0j -0.007001-0j -0.00866329-0j -0.00505359-0j -0.00428452-0j -0.000618418-0j -0.00499861-0j -0.00306101-0j -0.000721487-0j -0.000441819-0j -0.00437379-0j -0.000631302-0j -0.00180409-0j -0.000260399-0j 0.448012-0j -0.000552782-0j -4.60652e-05-0j 0.506083-0j 0.413215-0j -0.000624434-0j 0.417497-0j -5.20362e-05-0j -0.000509848-0j 0.361563-0j -0.000515132-0j -4.24874e-05-0j 0.298275-0j -0.000446117-0j 0.0953001-0j -4.29276e-05-0j -0.000368028-0j -3.71764e-05-0j -3.0669e-05-0j -0.000117587-0j -9.79889e-06-0j 
0.0105081-0j 0.010617-0j -0.0582052-0j -0.0720252-0j -0.0420147-0j -0.0720448-0j -0.0103922-0j -0.0840523-0j -0.0514713-0j -0.0121242-0j -0.00742453-0j -0.0735457-0j -0.0106087-0j -0.0303361-0j -0.00437586-0j 0.000552782-0j 0.43715-0j -0.00116522-0j 0.000624434-0j 0.000509848-0j 0.493814-0j 0.000515132-0j -0.00131626-0j 0.403197-0j 0.000446117-0j 0.407376-0j -0.00107472-0j 0.000368028-0j 0.352798-0j 0.000117587-0j -0.00108586-0j 0.291043-0j -0.00094038-0j -0.000775774-0j 0.0929897-0j -0.000247864-0j 
-0.000875675-0j -0.000884749-0j 0.0147576-0j 0.0182615-0j 0.0106526-0j -6.3117e-05-0j -0.123481-0j -7.36365e-05-0j -4.5093e-05-0j -0.144061-0j -0.088219-0j -6.44319e-05-0j -0.126053-0j -2.65768e-05-0j -0.0519944-0j -4.60652e-05-0j 0.00116522-0j 0.423253-0j -5.20362e-05-0j -4.24874e-05-0j 0.00131626-0j -4.29276e-05-0j 0.478115-0j 0.00107472-0j -3.71764e-05-0j 0.00108586-0j 0.390379-0j -3.0669e-05-0j 0.00094038-0j -9.79889e-06-0j 0.394425-0j 0.000775774-0j 0.341582-0j 0.281791-0j 0.000247864-0j 0.0900335-0j 
0.0519797-0j -0.0504395-0j 0.00612202-0j 0.00014994-0j -0.00857583-0j 0.0037466-0j 0.000540776-0j 8.65137e-05-0j 0.0026767-0j 1.24872e-05-0j 0.000386349-0j -0.00367326-0j -0.000530189-0j -0.00460788-0j -0.00066509-0j 0.00273441-0j 0.000483381-0j 4.02817e-05-0j 6.1136e-05-0j 0.00252203-0j 1.08074e-05-0j -0.0024473-0j 9.00618e-07-0j 0.000445837-0j 4.36776e-05-0j -0.000432626-0j 3.71531e-05-0j -0.00353291-0j 7.72119e-06-0j -0.00226907-0j -3.60522e-05-0j -0.000624535-0j 6.43433e-07-0j -5.20446e-05-0j -0.000401119-0j -3.34266e-05-0j 
-0.00866329-0j 0.00840658-0j 0.0479866-0j 0.00117529-0j -0.0672204-0j -0.000624434-0j 0.00856772-0j -1.44189e-05-0j -0.000446117-0j 0.000197839-0j 0.00612108-0j 0.00061221-0j -0.0084-0j 0.000767979-0j -0.0105373-0j 0.065294-0j 0.00378891-0j 0.000960655-0j 0.00145984-0j 0.0602227-0j 8.47124e-05-0j -0.0584382-0j 2.14783e-05-0j 0.00349463-0j 0.00104296-0j -0.00339108-0j 0.000886042-0j -0.0843609-0j 6.05215e-05-0j -0.0541823-0j -0.000859787-0j -0.00489533-0j 1.53448e-05-0j -0.00124118-0j -0.00314412-0j -0.000797172-0j 
-0.00530516-0j 0.00514796-0j -0.000624826-0j -1.53032e-05-0j 0.000875267-0j 0.0731281-0j -5.51927e-05-0j 0.00168862-0j 0.0522452-0j -1.27447e-06-0j -3.94316e-05-0j -0.0716965-0j 5.41122e-05-0j -0.0899388-0j 6.78804e-05-0j -0.00027908-0j 0.00943486-0j -4.11124e-06-0j -6.23966e-06-0j -0.000257404-0j 0.000210944-0j 0.000249777-0j -9.19189e-08-0j 0.00870207-0j -4.45783e-06-0j -0.00844421-0j -3.79192e-06-0j 0.000360576-0j 0.000150706-0j 0.000231586-0j 3.67956e-06-0j -0.01219-0j -6.56701e-08-0j 5.31178e-06-0j -0.00782924-0j 3.41159e-06-0j 
0.00108291-0j -0.00105082-0j -0.0121242-0j -0.000296945-0j 0.0169838-0j -0.00742458-0j 0.0498266-0j -0.000171443-0j -0.00530437-0j 0.00115056-0j 0.0355978-0j 0.00727923-0j -0.0488511-0j 0.00913134-0j -0.0612807-0j 5.6967e-05-0j 0.0910589-0j 0.0113747-0j 1.27367e-06-0j 5.25424e-05-0j 0.00203589-0j -5.09854e-05-0j 0.000254316-0j 0.0839865-0j 9.09951e-07-0j -0.0814978-0j 0.0104913-0j -7.36022e-05-0j 0.00145451-0j -4.72724e-05-0j -0.0101804-0j -0.11765-0j 0.000181692-0j -0.0146963-0j -0.0755626-0j -0.00943898-0j 
-6.38112e-05-0j 6.19203e-05-0j 0.00143637-0j 3.51794e-05-0j -0.00201208-0j -4.59939e-06-0j -0.0181232-0j -1.06206e-07-0j -3.28596e-06-0j -0.000418487-0j -0.0129478-0j 4.50935e-06-0j 0.0177684-0j 5.6567e-06-0j 0.0222894-0j -3.35681e-06-0j 0.000113412-0j 0.127421-0j -7.50515e-08-0j -3.09609e-06-0j 2.53567e-06-0j 3.00435e-06-0j 0.00284888-0j 0.000104604-0j -5.36194e-08-0j -0.000101504-0j 0.117525-0j 4.33705e-06-0j 1.81157e-06-0j 2.78555e-06-0j -0.114042-0j -0.00014653-0j 0.00203534-0j -0.16463-0j -9.41117e-05-0j -0.105737-0j 
-0.0315942-0j 0.0331947-0j 0.00386948-0j -0.00460459-0j 0.00279314-0j 0.00236807-0j 0.000341802-0j 0.00276275-0j -0.00494572-0j 0.000398769-0j -0.000713854-0j -0.00232469-0j -0.00033554-0j 0.000997129-0j 0.000143923-0j 0.00172831-0j 0.000305525-0j 2.54604e-05-0j 0.00195233-0j -0.00153294-0j 0.000345127-0j 0.00161059-0j 2.87606e-05-0j -0.000270987-0j -0.00407745-0j 0.000284715-0j -2.25823e-05-0j -0.00110653-0j -0.000720798-0j 0.000367642-0j 2.37263e-05-0j -0.000195609-0j -6.00665e-05-0j -1.63008e-05-0j 6.49906e-05-0j 5.41588e-06-0j 
-0.0331947-0j 0.0335124-0j -0.00390958-0j 0.00464635-0j -0.00249358-0j -0.00239261-0j -0.000345344-0j 0.00268088-0j -0.00170936-0j 0.000386952-0j -0.000246726-0j 0.00244054-0j 0.000352262-0j -0.00472301-0j -0.000681707-0j -0.00174622-0j -0.000308691-0j -2.57242e-05-0j 0.00189448-0j -0.00161059-0j 0.0003349-0j 0.00162601-0j 2.79083e-05-0j -0.000284715-0j 0.00135348-0j 0.00028744-0j -2.37263e-05-0j -0.00102726-0j 0.000239264-0j -0.00386833-0j 2.39534e-05-0j -0.000181595-0j 1.99387e-05-0j -1.51329e-05-0j -0.00068383-0j -5.69858e-05-0j 
0.00509849-0j -0.00535677-0j 0.0293672-0j -0.0349464-0j 0.0211984-0j -0.000382146-0j 0.00524334-0j -0.000445837-0j 0.000798113-0j 0.00611723-0j -0.0109507-0j 0.000375146-0j -0.00514729-0j -0.000160911-0j 0.00220783-0j -0.000278905-0j 0.00231877-0j 0.000587909-0j -0.000315056-0j 0.000247376-0j 0.00261933-0j -0.000259908-0j 0.000664114-0j -0.00205665-0j 0.000657996-0j 0.00216083-0j -0.00052145-0j 0.000178566-0j -0.00547047-0j -5.9328e-05-0j 0.000547866-0j -0.00148457-0j -0.001387-0j -0.000376403-0j 0.000493244-0j 0.000125059-0j 
