0.257969-0.112399j -0.103802-0.261712j -0.210946-0.0814948j 0.0519875-0.169108j -0.102085-0.0524763j 0.0857397-0.113068j -0.0738545-0.201007j -0.143182+0.0637957j -0.0149059+0.00752052j 0.0739367-0.181932j -0.0152003+0.0663092j -0.0608261+0.0182424j -0.0826604+0.0103563j 0.075734+0.00425267j -0.0747503+0.0416382j -0.11267-0.158454j -0.0836845+0.0443736j 0.0119721+0.00518153j 0.0394813-0.0825937j 0.113783+0.145375j 0.0377843-0.0136868j 0.121619-0.00561475j -0.110367-0.074389j 0.0848374-0.0701389j 0.0924728-0.0175801j -0.0430667-0.0712599j 0.00597816+0.00575728j 0.0483326+0.00216447j 0.0814167-0.00840517j 0.0324719-0.0273305j -0.0348347-0.00607633j 0.106016-0.0447128j -0.0720856-0.0354157j 0.0288821+0.0813475j 0.0191616-0.0071351j -0.161833+0.0102971j -0.00394764+0.0568303j -0.0814086+0.0890626j -0.0490827+0.0408011j -0.030637+0.00482268j -0.0297884+0.083176j -0.0264016-0.0120895j 0.0337049-0.088957j 0.0309088-0.121239j 0.0133868+0.0309169j -0.0287853-0.00578433j 0.0375732+0.0633355j -0.0822721+0.0194925j -0.0594749+0.129992j 0.0995519+0.056566j -0.00020301+0.0287101j 0.0673179+0.090443j 0.157295-0.0851137j -0.0712011-0.142412j 0.0361402-0.2784j 0.278933+0.0366429j 
0.10226+0.112848j 0.115642-0.106002j -0.133518+0.240288j -0.23637-0.109091j -0.0715274-0.0499228j -0.18486+0.0880357j 0.120705+0.23155j 0.0949811-0.0427281j 0.116533+0.06325j 0.145407-0.128435j 0.0290878-0.00916297j -0.178657+0.0201818j 0.093314+0.01234j -0.0120206-0.0622569j 0.0187147+0.115778j 0.0935165-0.0556776j 0.0598228-0.00629902j -0.0066669+0.124885j -0.0462659-0.0481j 0.0473333+0.058068j -0.0748923+0.133732j -0.0246818+0.0782773j 0.0166226-0.110695j -0.0829995+0.00681656j -0.00402104-0.0722859j -0.0297288-0.0365467j -0.00291611-0.0691065j -0.0318217+0.0143917j -0.0130109+0.0127846j -0.0436215-0.0289216j 0.0527228-0.0477142j 0.0595574+0.171664j -0.0294358+0.0334379j 0.0334863-0.0291706j 0.0137269-0.0464603j -0.0725602-0.00885459j 0.0642937+0.0642453j -0.0441545-0.092147j -0.0289538-0.0145925j -0.0183978+0.0379065j 0.0494138-0.0358043j 0.092396+0.117626j 0.111798-0.00520989j 0.113288+0.0540258j 0.0238183+0.0247544j -0.00857203-0.0135954j -0.117004+0.122584j 0.0330239+0.0290122j 0.230253+0.0416273j -0.0621346-0.219629j 0.0985114-0.115151j 0.114866-0.0864772j -0.187502-0.0848723j -0.0715462+0.17343j 0.138196-0.0980583j 0.0983152+0.137751j 
-0.0178041+0.0240536j 0.0217254+0.0198896j 0.0301591-0.0220394j 0.0286908+0.0132879j 0.0359054+0.0222473j 0.000305629+0.0269659j 0.016764+0.0358563j 0.02704-0.0231706j -0.00726469-0.00902982j -0.0205989+0.0597441j 0.00382895-0.0186918j 0.021985-0.00839174j 0.0210297-0.00665879j -0.0127924+0.00305285j 0.0157138-0.012663j 0.0334592+0.0325673j 0.0115511-0.00659664j 0.00973164-0.00467j -0.0173709+0.0192057j -0.0346691-0.0391696j -0.00771232-0.00533212j -0.0158254-0.000543629j 0.0261595+0.0167758j -0.0149613+0.00661581j -0.0187243+0.00761237j 0.00567719+0.0160799j -0.00744789+0.00453123j -0.0017652-0.00265457j -0.0252853+0.0146755j 0.00220089+0.00709869j 0.0132766-0.00647021j -0.0319505-0.00495928j 0.0122072-0.0044789j -0.00256631-0.0291501j -0.00640911-0.00127913j 0.0327492-0.00205369j 0.00720356-0.0154469j 0.0228711-0.00107627j 0.0149566-0.00410652j 0.0161571+0.00632103j -0.00104817-0.0179171j 0.000128268+0.00775217j -0.0152369+0.0123232j -0.00535783+0.0135431j -0.00704083-0.0107068j -0.0082975+0.00331309j 0.0143417-0.0129083j 0.0183575-0.0110934j 0.00532654-0.0327281j -0.00948446-0.00153171j -0.00822859+0.00855976j -0.0146591-0.0150283j -0.0234941-0.00961551j -0.0151918+0.0219544j -0.0336194+0.0211337j -0.0211632-0.0342253j 
-0.00668825+0.0201638j 0.0204026+0.00760343j 0.00775445-0.0082365j 0.000813036+0.00290186j 0.0362267-0.0305976j -0.0100866-0.0389965j -0.0204871-0.00755499j -0.0223923-0.00608265j -0.0145368-0.00339912j 0.00618786+0.0129725j 0.00798516-0.00750211j 0.0201921+0.017466j -0.0242442+0.00510242j 0.0120164+0.0170759j -0.00495019-0.00236338j -0.0263763+0.00747777j -0.00484028+0.0210793j 0.00589741-0.0135371j -0.00308533+0.00506756j -0.00824465-0.00983402j 0.00967747-0.0126832j 0.0158566-0.00342977j 0.00649242+0.00993176j 0.00267359-0.00193038j -0.00399107+0.0131078j -0.0074366-0.00166489j -0.0081105+0.0167581j 0.00280755-0.0161885j -0.00866413-0.0115566j 0.00266795-0.0107896j 0.00129549+0.0144417j 0.00346878-0.0166835j 0.00983116-0.0032391j -0.00726077+0.00467208j 0.0099656+0.00450455j 0.00160824+0.00805329j -0.00357833-0.0212676j 0.0163593+0.0132428j -0.00528517-0.00123357j 0.0023556+0.0021492j 0.0165942-0.0103119j -0.00624796-0.00899263j -0.0172143-0.00575131j -0.027868-0.0164939j -0.00805891-0.0153808j 0.0115222+0.00527032j 0.0163415-0.028414j 0.000898142-0.000165135j -0.024365-0.0138388j -0.0181057+0.00482545j 0.00357388-0.0143111j 0.00148466+0.00332044j -0.0174558+0.0103108j 0.0104154+0.0199182j 0.00925773-0.0227163j 0.0222728+0.0090221j 
0.0184585-0.00480535j -0.00498623-0.0188702j 0.0334965+0.0131164j -0.0106852+0.0337472j 0.0154893+0.016394j 0.0162808-0.0285357j -0.0229817-0.00423905j -0.00233251-0.00990488j 0.0157433+0.00955387j 0.0256484+0.0147161j 0.0400833-0.0285712j 0.0153574-0.00170554j 0.00534069+0.0467921j -0.00652849-0.00738774j -0.00130086+0.00240411j -0.00193003-0.027635j 0.00209671+0.00306882j -0.00550923-0.012329j -0.0125119-0.00526036j -0.00418672-0.0094624j -0.0159193-0.00753795j -0.00783701+0.0158715j -0.0199976-0.0188121j 0.00304968-0.00749163j 0.00856601-0.00268645j -0.0027622-0.00105224j 0.023759+0.00100314j -0.0100146-0.0209924j -0.00853611-0.00141692j 0.0212767-0.00528427j 0.00790305+0.00504929j 0.00763195+0.00651133j -0.0118326-9.43747e-05j 0.0073544+0.000621303j 0.00664805-0.000227365j -0.0192624-0.00459005j -0.00474417+0.0175051j 0.0221533-0.00160631j -0.00707746+0.00500025j 0.0202211+0.00964174j 0.0289293+0.00693501j -0.0150253+0.0286199j -0.00219906+0.014169j 0.0251-0.00948101j -0.00721088-0.0228773j -0.00516175-0.0264976j 0.00475377-0.0245692j 0.037988-0.0129711j -0.0043188-0.0244569j 0.00850706-0.0294246j 0.03874+0.0226367j -0.0250972+0.0225948j 0.0131712+0.0249041j 0.022529-0.0121388j -0.00936156-0.00133799j 0.00142352-0.00928514j 
0.0143496-0.0121455j -0.0131487-0.0145328j 0.000882934-0.0149621j 0.0212505-0.000308869j -0.0118558+0.0331254j 0.0232942+0.0250004j 0.0101931-0.00035457j 0.0121414-0.00404361j 0.00375764-0.000748857j -0.0112995+0.0158117j -0.00140821-0.00427224j -0.00436996-0.0223071j 0.0251593-0.00431995j -0.00932916-0.0133139j 0.00629963-0.00336355j 0.0310289-0.00453847j 0.00342404-0.0157161j 0.00260465+0.00190529j -0.00494626+0.00317255j -0.00616503-0.00509833j -0.0103221+0.00115979j -0.0101219-0.00104195j -0.00138406-0.00335277j -0.0025979-0.00432375j 0.00227699-0.00783297j 0.00590858+0.00578707j 0.0071249-0.00678757j -0.00163236+0.00747736j 0.00185295+0.0216167j 0.00692104+0.0110209j 0.0028219-0.0157167j -0.0152677+0.00198687j -0.00807637-0.00515058j 0.00263666-0.0161629j -0.00944515-0.00353465j 0.00393444-0.0057128j 0.0024809+0.00996459j 0.00125739-0.00263441j 0.0122618+0.00446863j 0.00932352+0.00440145j -0.0128467+0.00738013j 0.00153102+0.0110834j -0.000489878+0.00852771j 0.0214885+0.00624547j -0.00243952+0.00364116j -0.0138979-0.004251j 0.00818204+0.00997063j 0.00843733-0.00583228j 0.0104566-0.00571461j 0.0153561+0.00190224j -0.00657155+0.0212639j -0.00586885-0.00199799j 0.02205-0.0234339j -0.0226415-0.0211099j -0.0215292-0.00486375j 0.00474687-0.021591j 
0.03156+0.0154666j 0.0137197-0.0296534j -0.0235746-0.0185988j 0.0205146-0.0330004j 0.0287671-0.0056573j -0.00320207+0.000863801j 0.00668177+0.00918363j -0.00480419-0.0243547j -0.0103585-0.00683801j -0.000324366+0.0190453j 0.00579219-0.0111019j 0.00903654+0.00606903j 0.00510495-0.000873756j 0.0105235+0.00989915j 0.0019698+0.0036597j 0.00905215+0.00833467j -0.00210506+0.0121154j 0.0176711+0.000567538j -0.0182368+0.00125111j -0.012031-0.0135815j -0.00248889-0.00545664j 0.0145807+0.00074784j 0.0111782+0.00164182j -0.000794041-0.008113j -0.00222305+0.005937j -0.00746476+0.00103268j -0.0141864+0.00973287j 0.00670226-0.00800998j -0.0185713+0.0108446j 0.00127248-0.00389059j 0.0113013-0.00680984j -0.00472636-0.0116329j 0.00213905-0.0115919j 0.00627245-0.0140013j 0.00226455-0.00575618j -0.000838901+0.00190674j 0.00799427-0.0107641j 0.0119733+0.0163136j -0.00234113+0.00582987j 0.0053104+0.00801574j 0.000891276-0.0092499j 0.00311187+0.00729674j -0.0114083-0.0118558j -0.00580595-0.0102371j -0.00341673-0.00735919j -0.00480625+0.00627498j 0.0196705-0.00318878j -0.00185386-0.0013881j 0.00133983-0.00796544j -0.00632647-0.00387655j 0.00267996-0.0074604j 0.0102296-0.00377666j -0.0156007-0.0236321j -0.0220843+0.0134533j -0.00414798-0.0369968j 0.0369555-0.00442779j 
-0.00624919+0.000385495j 0.00203546+0.00623793j 0.00969639+0.000479297j -0.00639154+0.0117784j -0.00809662+0.00124518j 0.0121548-0.0049409j -0.00431877-0.00638568j -0.000961089+0.00974162j 0.0010465+0.00886292j 0.011592-0.00616598j -0.00775782+0.00266953j 0.0012137-0.0118081j -0.000141952+0.00070039j 0.00400743-0.00121607j -0.0020914-0.00573384j -0.00187338-0.00973078j 0.00570758+0.000926368j -0.00249555-0.00826033j 0.00417642+0.00577551j 0.00582552+0.007174j -0.00162576+8.52544e-05j 0.00465368-0.00155851j -0.00220441-0.00706104j -0.00670848-0.0013101j 0.00295724-0.000851019j -0.00238513-0.00182235j 0.00771169+0.00271308j -0.00256583-0.00249639j 0.00199059+0.00842773j 0.00512776+0.000882208j -0.00170506+0.00125917j -0.00445508-0.00080224j -0.00318563-0.00201083j -0.00536678-0.00118183j -0.00133014+0.000223744j -0.00481799+0.007242j -0.00277988-0.00788689j 0.00366813-0.00257053j 0.00382888+0.00222651j 0.00504635+0.00688103j -0.00360383-0.00249682j -0.00269529+0.00500892j -0.00683993+0.0015972j -0.000116625+0.00293903j -0.00950565-0.00366664j -0.00140924+0.00213147j 0.00598721-0.00348246j 0.00446704-0.00494751j -0.000525424-0.0104964j -0.00702174+0.000174861j -0.00304012+0.00566287j -0.00597722-0.00351754j 0.00228287-0.0186192j -0.019696+0.00032177j 0.00768502-0.0160985j 0.0156727+0.00784996j 
0.00878698-0.0113415j -0.0121645-0.0103573j -0.0280806-0.00187023j 0.00672692-0.0214862j 0.000421748+0.010889j 0.0118466-0.0011137j 0.00627928-0.0143674j -0.00079151-0.0334292j 0.00811703-0.0032945j -0.022843-0.0199701j 0.0203798+0.00409905j -0.00114615-0.00702614j 0.0208384+0.0170379j 0.0150598-0.0105126j -0.00440271+0.0103312j 0.00557573+0.0106685j -0.00134074+0.00377251j 0.00493717+0.0112598j -0.00648502-0.00941055j 0.00712776-0.012411j -0.000880778-0.00798744j 0.0163229+0.00336495j -0.00983157+0.00252637j 0.0125532-0.00764739j 0.00636152+0.0028796j -0.011375+0.00421299j 0.00110708-0.00405048j -0.00747832+0.00570146j -0.0141334+0.0107814j -0.00198544+0.00457656j 0.0125011-0.00856496j 0.0022261-0.00524626j 0.00337515-0.00864769j 0.0108583+0.000832094j 0.00320017-0.00213268j -0.00340017-0.00677215j -0.00981116-0.000312031j -0.000851122+0.00784926j -0.0061402+0.018899j -0.0138723-0.00192713j -0.00354395+0.000603745j 0.00585174+0.00491155j -0.000983877-0.00490729j 0.0130802-0.00468047j 0.00214876+0.00657702j 0.00475596-0.00451637j 0.000893597+0.00254907j -0.0128878+0.00786657j -0.0185834+0.00809099j 0.00396536+0.00466186j 0.0152291-0.00724762j 0.00369801+0.0248555j -0.0147354+0.0123947j 0.0146736+0.0168886j 0.00953355+0.00926432j -0.00884981+0.00934296j 
0.00505485+0.000718043j -0.000557409-0.0052189j -0.00682908-0.00268747j 0.00902352-0.00961494j 0.00116367+0.00918357j -0.0153128+0.0128981j 0.00529792+0.0179151j 0.00637244+0.00674069j 0.00763555-0.00910558j 0.0128692+0.0131299j 0.0122291-0.0217853j 0.0113436+0.0326404j -0.0139508+0.00522843j -0.0270603+0.00479351j 0.0243018-0.00435138j -0.00682601-0.0076511j -0.011326+0.00601616j 0.0118104+0.00864764j -0.00612521+0.00949529j -0.0127002+0.00872252j -0.000619139-0.0108035j -0.0069696+0.0146749j 0.0140805-0.00153882j 0.00738431+0.0131179j -0.00725372+0.00915696j 0.00904746+0.00427199j -0.00594074-5.54124e-05j -0.00044087-0.00830489j -0.00396017-0.0243495j 0.0060984-0.00457622j -0.012994-0.000760812j 0.0122086+0.00434288j 0.0014445+0.00156743j 0.00168064+0.00818462j -0.00275794-0.00388325j -0.00590764-0.0159758j 0.000150219+0.00507486j 0.000389402-0.00698725j -0.0269387-0.00465866j -0.00375895+0.00328828j 0.00701274+0.00555753j -0.00221942-0.00424356j 0.00910247-0.0137887j -0.00679003-0.00249446j 0.00882503+0.000152481j -0.00765389-0.0159887j -0.0143286-0.00430574j 0.0141743-0.0017612j 0.00447256+0.0233499j 0.00758792+0.00160873j -0.0125826-0.0124823j 0.0223282-0.0119185j 0.000472052+0.00402175j 0.00590585-0.00433555j -0.0140652+0.0155217j -0.0152858-0.014161j 
0.013993+0.00791611j 0.00655542-0.0136677j 0.00394008+0.00101265j 0.00250246-0.00242114j 0.0288276-0.00546402j -0.00998143-0.0181549j -0.00986446+0.0031425j -0.00396436-0.000615775j -0.0100151-0.0186755j -0.0133002+0.0122404j -0.0121185+0.00280279j 0.00211867-0.0065134j -0.00301591-0.00952354j 0.000278344+0.0171556j -0.0211672-0.00226843j -0.00202876+0.0177089j 0.0040284-0.0112666j -0.0108398-0.00924026j 0.00845322-0.0138737j 0.0036889-0.00528309j -0.00526419+0.0149391j -0.0103467-0.0147433j -0.00626805+6.32094e-05j 0.00934641-0.00808313j 0.00464679-0.0090723j 0.00909254-0.00462756j -0.00996762-0.00277034j 0.0103901+0.00665626j 0.00970031-0.00207605j -0.0124731-0.00827713j 0.00442758+0.0141378j -0.00137481+0.00105772j -0.00649232+0.00501288j 0.0066187-1.29312e-05j -0.000707192+0.0040663j 0.00453485+0.00302543j 0.0105803+0.0267931j -0.0127025+0.00628881j 0.0225537-0.00133216j 0.0151915-0.00974743j 0.00858415+0.00638854j -0.00359587-0.00745321j 0.00272932+0.0158918j 0.00801175-0.00241448j 0.0156653-0.0027463j -0.00906539+0.0165203j -0.0117627+0.0186804j -0.0106761-0.00982605j 0.0164345+7.88065e-05j 0.00934446-0.0071086j -0.00323862+0.0122944j -0.0133515-0.00968897j 3.4431e-05+0.0270972j 0.0240525-0.00282258j -0.0138019-0.00077571j 0.00104025-0.014113j 
