-0.00423792-0j -0.000749165-0j -6.24304e-05-0j -0.00370585-0j -0.000617641-0j -0.000378226-0j -7.72051e-05-0j -4.54936e-06-0j -0.00234231-0j -0.00236658-0j -0.000377989-0j -0.000381906-0j -0.000308627-0j -0.000311825-0j -4.45464e-05-0j -3.85783e-05-0j -4.5008e-05-0j -3.89781e-05-0j -4.5465e-06-0j -4.59361e-06-0j -2.07518e-07-0j -2.09669e-07-0j 
0.000653925-0j -0.00543662-0j -0.00137842-0j 0.000571825-0j -0.00448217-0j 5.83616e-05-0j -0.00113246-0j -0.000134163-0j 0.000361426-0j 0.000365172-0j -0.00274303-0j -0.00277146-0j 4.76221e-05-0j 4.81156e-05-0j -0.000653413-0j -0.00027996-0j -0.000660184-0j -0.000282861-0j -0.000100384-0j -0.000101424-0j -7.6578e-06-0j -7.73715e-06-0j 
0.000499443-0j -0.0083982-0j 7.35749e-06-0j 0.000436738-0j 7.27897e-05-0j -0.00852447-0j -0.000865476-0j 5.36147e-07-0j 0.000276044-0j 0.000278905-0j 4.45464e-05-0j 4.5008e-05-0j -0.00345973-0j -0.00349558-0j 5.24985e-06-0j -0.000869479-0j 5.30425e-06-0j -0.000878489-0j -5.09666e-05-0j -5.14948e-05-0j 2.44563e-08-0j 2.47097e-08-0j 
-7.20884e-05-0j 0.00121141-0j -0.0143941-0j -6.30377e-05-0j 0.000998731-0j -6.43376e-06-0j -0.00580824-0j -0.0021126-0j -3.98435e-05-0j -4.02564e-05-0j 0.000611211-0j 0.000617545-0j -5.24985e-06-0j -5.30425e-06-0j -0.00335128-0j 6.23815e-05-0j -0.00338601-0j 6.3028e-05-0j -0.00104825-0j -0.00105911-0j -0.000161173-0j -0.000162843-0j 
-0.0640017-0j 7.89689e-05-0j 6.58074e-06-0j 0.000390631-0j -0.00932772-0j 3.98686e-05-0j 8.13814e-06-0j 4.79544e-07-0j -0.0591959-0j -0.0598093-0j 3.98435e-05-0j 4.02564e-05-0j -0.00466093-0j -0.00470923-0j -0.000672747-0j 4.06651e-06-0j -0.000679719-0j 4.10865e-06-0j 4.79243e-07-0j 4.8421e-07-0j 2.18744e-08-0j 2.2101e-08-0j 
0.000305845-0j 5.40663e-05-0j 4.50553e-06-0j -0.10269-0j 4.45744e-05-0j 2.72961e-05-0j 5.5718e-06-0j 3.28322e-07-0j 0.000169042-0j 0.000170794-0j -0.0104742-0j -0.0105828-0j 2.22732e-05-0j 2.2504e-05-0j 3.21486e-06-0j 2.78415e-06-0j 3.24818e-06-0j 2.813e-06-0j 3.28115e-07-0j 3.31516e-07-0j 1.49763e-08-0j 1.51315e-08-0j 
-7.89689e-05-0j -0.06245-0j 0.00016646-0j -6.90544e-05-0j 0.000541273-0j 0.00134784-0j -0.0130084-0j 1.62017e-05-0j 0.0104644-0j 0.0105729-0j 0.000331253-0j 0.000334685-0j 0.000547031-0j 0.0005527-0j 7.89071e-05-0j -0.00646555-0j 7.97248e-05-0j -0.00653256-0j -0.0011531-0j -0.00116505-0j 9.24767e-07-0j 9.3435e-07-0j 
6.58074e-06-0j -0.00016646-0j -0.0604647-0j 5.75453e-06-0j -0.000137236-0j 5.87319e-07-0j 0.00162496-0j -0.018203-0j -0.000872037-0j -0.000881074-0j -8.39871e-05-0j -8.48574e-05-0j 4.79243e-07-0j 4.8421e-07-0j 0.000937582-0j -8.57189e-06-0j 0.000947298-0j -8.66072e-06-0j -0.00440335-0j -0.00444898-0j -0.00209789-0j -0.00211963-0j 
0.0103282-0j 0.000599331-0j 0.000151957-0j 0.0120707-0j -0.0707923-0j -6.43376e-06-0j 0.000124841-0j 1.47901e-05-0j -3.98435e-05-0j -4.02564e-05-0j -0.0579028-0j -0.0585028-0j 0.000752154-0j 0.000759949-0j -0.0103201-0j 3.08626e-05-0j -0.0104271-0j 3.11825e-05-0j 1.10663e-05-0j 1.11809e-05-0j 8.44193e-07-0j 8.52941e-07-0j 
-4.4145e-05-0j 0.00149241-0j -6.50317e-07-0j 0.00739174-0j -6.43376e-06-0j -0.0712914-0j 0.0001538-0j -4.73891e-08-0j -2.43991e-05-0j -2.46519e-05-0j 0.000753943-0j 0.000761756-0j 0.000614815-0j 0.000621186-0j -4.64025e-07-0j -0.00727157-0j -4.68834e-07-0j -0.00734693-0j 9.05707e-06-0j 9.15093e-06-0j -2.16165e-09-0j -2.18405e-09-0j 
0.0119676-0j 0.00069985-0j -6.13124e-07-0j -3.63949e-05-0j 0.00174418-0j 0.000710373-0j 7.2123e-05-0j -4.46789e-08-0j -2.30037e-05-0j -2.32421e-05-0j -3.7122e-06-0j -3.75067e-06-0j -0.0829019-0j -0.083761-0j 0.000125797-0j 7.24566e-05-0j 0.0001271-0j 7.32075e-05-0j 4.24722e-06-0j 4.29123e-06-0j -2.03802e-09-0j -2.05914e-09-0j 
