-0.0451135-0j -0.0509611-0j -0.0416095-0j -0.0420407-0j -0.0364084-0j -0.0300354-0j -0.00959644-0j -0.00590699-0j -0.00653784-0j -0.00516862-0j -0.00344574-0j -0.00522218-0j -0.00603005-0j -0.00213195-0j -0.00351753-0j -0.0037309-0j -0.00217636-0j -0.000567757-0j 0.369732-0j -0.000554662-0j 0.403495-0j -0.000605312-0j 0.312546-0j 0.315785-0j -0.000468873-0j 0.285314-0j -0.000473732-0j -0.00042802-0j 0.353058-0j 0.235372-0j 0.205951-0j -0.000529648-0j 0.203838-0j -0.000353099-0j -0.000308961-0j -0.000305792-0j 0.291258-0j 0.145629-0j -0.000436937-0j 0.120138-0j -0.000218469-0j 0.147138-0j -0.000180227-0j 0.0664841-0j -0.000220733-0j -9.97376e-05-0j 0.0146584-0j -2.19901e-05-0j 
0.00651157-0j 0.0073556-0j 0.00600582-0j 0.00606806-0j 0.00525509-0j 0.00433523-0j 0.00138513-0j -0.0815129-0j -0.0902183-0j -0.0713238-0j -0.0475492-0j -0.0720629-0j -0.0832111-0j -0.0294196-0j -0.0485398-0j -0.0514843-0j -0.0300325-0j -0.00783471-0j 0.000554662-0j 0.358187-0j 0.000605312-0j 0.390895-0j 0.000468873-0j 0.000473732-0j 0.302786-0j 0.00042802-0j 0.305924-0j 0.276405-0j 0.000529648-0j 0.000353099-0j 0.000308961-0j 0.342033-0j 0.000305792-0j 0.228022-0j 0.19952-0j 0.197473-0j 0.000436937-0j 0.000218469-0j 0.282163-0j 0.000180227-0j 0.141082-0j 0.000220733-0j 0.116386-0j 9.97376e-05-0j 0.142544-0j 0.0644081-0j 2.19901e-05-0j 0.0142006-0j 
0.0369836-0j 0.000594653-0j 0.0341111-0j -0.0334835-0j 0.00042484-0j -0.048194-0j -0.0309084-0j 0.0048425-0j 7.62885e-05-0j 0.00423718-0j 0.00282479-0j -0.00415922-0j 7.03632e-05-0j 0.00174775-0j -0.00564414-0j -0.00297149-0j -0.0052509-0j -0.00228746-0j 0.0031503-0j 0.000454707-0j 4.89356e-05-0j 7.06324e-06-0j 0.00266305-0j -0.00261405-0j 0.000384377-0j 0.00243102-0j -0.000377305-0j 0.000350887-0j 4.28186e-05-0j 2.85457e-05-0j -0.00343467-0j 6.18034e-06-0j 0.0017368-0j 4.12022e-06-0j -0.000495752-0j 0.000250686-0j -0.00241102-0j 1.76618e-05-0j -0.000348-0j -0.00301262-0j 2.54926e-06-0j -0.00245385-0j -0.000434834-0j -0.00222559-0j -0.000354182-0j -0.000321237-0j -0.000736935-0j -0.000106367-0j 
-0.00653784-0j -0.000105121-0j -0.00603005-0j 0.0059191-0j -7.51019e-05-0j 0.00851957-0j 0.00546389-0j 0.0404929-0j 0.000637923-0j 0.0354313-0j 0.0236208-0j -0.0347793-0j 0.000588376-0j 0.0146147-0j -0.0471962-0j -0.0248476-0j -0.043908-0j -0.0191277-0j 0.0535816-0j 0.00768489-0j 0.000832315-0j 0.000119374-0j 0.0452941-0j -0.0444607-0j 0.00649627-0j 0.0413477-0j -0.00637674-0j 0.00593025-0j 0.000728276-0j 0.000485517-0j -0.0584182-0j 0.000104452-0j 0.0295402-0j 6.96349e-05-0j -0.00837858-0j 0.00423678-0j -0.0410075-0j 0.000300398-0j -0.00588146-0j -0.0512398-0j 4.30844e-05-0j -0.041736-0j -0.00734902-0j -0.0378538-0j -0.00598594-0j -0.00542914-0j -0.0125341-0j -0.00179769-0j 
0.00054482-0j 8.76006e-06-0j 0.000502504-0j -0.000493258-0j 6.25849e-06-0j -0.000709965-0j -0.000455324-0j -0.0102659-0j -0.000161729-0j -0.00898266-0j -0.00598844-0j 0.00881738-0j -0.000149167-0j -0.00370516-0j 0.0119654-0j 0.00629944-0j 0.0111317-0j 0.00484932-0j 4.64083e-05-0j 0.0918359-0j 7.20889e-07-0j 0.00142654-0j 3.92304e-05-0j -3.85085e-05-0j 0.0776317-0j 3.58123e-05-0j -0.0762033-0j 0.0708677-0j 6.30778e-07-0j 4.20519e-07-0j -5.05974e-05-0j 0.00124823-0j 2.55855e-05-0j 0.000832151-0j -0.100126-0j 0.0506303-0j -3.55176e-05-0j 2.60183e-07-0j -0.0702847-0j -4.43801e-05-0j 0.000514867-0j -3.61486e-05-0j -0.0878223-0j -3.27861e-05-0j -0.0715332-0j -0.0648793-0j -1.08561e-05-0j -0.0214827-0j 
0.0225059-0j 0.0254231-0j -0.0204249-0j 0.020973-0j -0.0539067-0j -0.0147435-0j 0.0047874-0j 0.00294684-0j 0.00326155-0j -0.00253712-0j 0.00171899-0j 0.0026052-0j -0.00295997-0j -0.00526667-0j 0.0017548-0j -0.00552403-0j -0.00106831-0j 0.000283239-0j 0.00191707-0j 0.000276706-0j 0.00209214-0j 0.000301974-0j -0.00159457-0j 0.00163735-0j -0.000230156-0j 0.00147936-0j 0.000236332-0j 0.000213528-0j -0.00180125-0j 0.00122041-0j 0.00106786-0j -0.000259988-0j -0.00313682-0j 0.000176151-0j 0.000154132-0j -0.00045276-0j -0.00148596-0j -0.00373912-0j -0.00021448-0j 0.000622919-0j -0.000539696-0j -0.00226427-0j 8.99106e-05-0j -0.000339193-0j -0.00032682-0j -4.89582e-05-0j 7.60041e-05-0j 1.09703e-05-0j 
-0.0227391-0j 0.0249553-0j -0.020973-0j 0.0211817-0j 0.0178289-0j -0.0138646-0j -0.0511613-0j -0.00297737-0j 0.00320154-0j -0.0026052-0j -0.0017368-0j 0.00263113-0j 0.00295288-0j -0.00107459-0j -0.00162372-0j 0.00187977-0j -0.00523773-0j -0.00524352-0j -0.00193694-0j -0.000279573-0j 0.00205364-0j 0.000296417-0j -0.00163735-0j 0.00165365-0j -0.000236332-0j -0.00149469-0j 0.000238684-0j -0.00021574-0j 0.00179694-0j 0.00119796-0j -0.000988095-0j 0.000259365-0j -0.00106786-0j 0.00017291-0j -0.000142619-0j -0.000154132-0j 0.00152521-0j 0.000741198-0j 0.000220146-0j -0.00300507-0j 0.000106983-0j -0.000705929-0j -0.000433744-0j -0.00368393-0j -0.000101892-0j -0.000531729-0j -0.0021511-0j -0.000310485-0j 
-0.00375098-0j -0.00423718-0j 0.00340415-0j -0.0034955-0j 0.00898445-0j 0.00245724-0j -0.000797901-0j 0.0232321-0j 0.0257133-0j -0.020002-0j 0.0135521-0j 0.0205388-0j -0.0233357-0j -0.0415211-0j 0.0138344-0j -0.0435501-0j -0.0084223-0j 0.00223299-0j -0.000319512-0j 0.00440908-0j -0.000348689-0j 0.0048117-0j 0.000265761-0j -0.000272892-0j -0.00366734-0j -0.000246561-0j 0.00376575-0j 0.00340239-0j 0.000300209-0j -0.000203402-0j -0.000177977-0j -0.0041427-0j 0.000522803-0j 0.00280683-0j 0.00245597-0j -0.00721437-0j 0.00024766-0j 0.000623187-0j -0.00341756-0j -0.00010382-0j -0.00859961-0j 0.000377379-0j 0.00143265-0j 5.65321e-05-0j -0.0052076-0j -0.000780109-0j -1.26674e-05-0j 0.000174802-0j 
-0.002297-0j -0.00259473-0j 0.00208461-0j -0.00214055-0j 0.00550183-0j 0.00150475-0j -0.000488612-0j -0.00030076-0j -0.000332881-0j 0.000258944-0j -0.000175443-0j -0.000265892-0j 0.000302101-0j 0.000537527-0j -0.000179099-0j 0.000563794-0j 0.000109034-0j -2.89079e-05-0j 0.0378462-0j -2.82412e-05-0j 0.0413022-0j -3.08201e-05-0j -0.0314794-0j 0.0323241-0j 2.34902e-05-0j 0.0292051-0j -2.41205e-05-0j -2.17931e-05-0j -0.0355597-0j 0.024093-0j 0.0210813-0j 2.6535e-05-0j -0.061926-0j -1.79784e-05-0j -1.57311e-05-0j 4.62097e-05-0j -0.0293353-0j -0.0738164-0j 2.18902e-05-0j 0.0122974-0j 5.50824e-05-0j -0.0447005-0j -9.17646e-06-0j -0.00669622-0j 3.33559e-05-0j 4.99678e-06-0j 0.00150045-0j -1.11965e-06-0j 
0.00378985-0j -0.00415922-0j 0.0034955-0j -0.00353029-0j -0.00297149-0j 0.00231076-0j 0.00852688-0j -0.0234729-0j 0.0252402-0j -0.0205388-0j -0.0136925-0j 0.0207432-0j 0.0232798-0j -0.00847182-0j -0.012801-0j 0.0148197-0j -0.041293-0j -0.0413387-0j 0.000322823-0j -0.00445477-0j -0.000342273-0j 0.00472317-0j 0.000272892-0j -0.000275609-0j -0.00376575-0j 0.000249116-0j 0.00380324-0j -0.00343765-0j -0.000299489-0j -0.00019966-0j 0.000164682-0j 0.00413277-0j 0.000177977-0j 0.00275518-0j -0.00227252-0j -0.00245597-0j -0.000254202-0j -0.000123533-0j 0.00350784-0j 0.000500844-0j 0.00170468-0j 0.000117655-0j -0.00691135-0j 0.000613988-0j -0.00162357-0j -0.00847266-0j 0.000358517-0j -0.00494732-0j 
0.000468873-0j 0.000529648-0j -0.000425519-0j 0.000436937-0j -0.00112306-0j -0.000307156-0j 9.97376e-05-0j -0.00586943-0j -0.00649627-0j 0.00505337-0j -0.00342383-0j -0.00518897-0j 0.00589559-0j 0.01049-0j -0.00349516-0j 0.0110026-0j 0.00212783-0j -0.000564147-0j -0.00384269-0j 0.0257916-0j -0.0041936-0j 0.0281469-0j 0.00319624-0j -0.00328201-0j -0.0214527-0j -0.00296532-0j 0.0220284-0j 0.0199028-0j 0.00361054-0j -0.00244627-0j -0.00214048-0j -0.0242334-0j 0.00628762-0j 0.016419-0j 0.0143666-0j -0.0422016-0j 0.00297854-0j 0.00749491-0j -0.0199916-0j -0.00124861-0j -0.0503048-0j 0.00453864-0j 0.00838053-0j 0.000679897-0j -0.0304627-0j -0.00456338-0j -0.000152347-0j 0.00102253-0j 
