-0.00336536-0.00663374j -0.00793298+0.0105791j -0.0109893+0.0131743j -0.00543908-0.00428465j -0.00504915+0.0160989j 0.00205921+0.00145771j -0.0026659+0.00216939j 0.000463297+0.0119864j -0.00972832+0.00895199j -0.00292575-0.000136763j -0.00069012+0.0100097j 0.0139692-0.00357435j 0.00521649+0.00346922j 0.00326241+0.00621457j 0.0117529+0.00455634j -0.0036192-0.000438016j -0.00565613+0.000655626j -0.00709004-0.00763387j -0.00100688+0.0126019j -0.00953854+0.0113256j 0.00238948+0.0089548j 0.00312123-0.00937362j 0.0174339+0.000747736j -0.0137852+0.00702892j 0.0146674+0.0239971j -0.00608008+0.00415752j -0.000527335+0.00775866j 0.000999343-0.00435609j -0.00990111+0.00904728j -0.000992633+0.00443088j 0.0121881-0.00109047j -0.00713884-0.0017192j 0.00235128+0.0136305j -0.00272837-0.00128214j -0.0101556+0.00272239j -0.00356748-0.0015553j -0.00230204+0.00140139j 0.00314208-0.00125297j -0.00876616-0.00995052j 4.98361e-05-0.00230605j -0.0023018-0.00160426j -0.00400595-0.00414305j -0.000161634-0.00289484j -0.00296549-0.00231062j -0.00566646-0.003534j -0.00274485+0.00535559j 0.00260932-0.00134255j -0.000289962-0.00381221j -0.00342235+0.00231933j 0.00397184-0.00486568j 0.00910075-0.00123644j -0.000777672+0.00679335j -0.00358106-0.00310824j -0.0120613-0.00962352j -0.00449588-0.00525485j 0.00971592-0.0111019j -0.0102043+0.00327721j -0.00376639-0.00544056j 0.00288926+0.00088792j -0.00625608+0.00322332j 0.00160818+0.0110545j -0.00312077+0.00682795j 0.0214052+0.00138294j -0.00299831+0.00982548j -0.00727051-0.0043915j -0.00294821+0.00333908j 4.01574e-05+0.00976835j -0.000825683-0.00360048j 0.00084765-0.00723755j -0.00202172+0.0150232j 0.000882898-0.00847555j -0.00565308-0.0023202j -0.00745447+0.00103538j -0.0030165-0.00376458j -0.00884216+0.000606453j 0.0041073+0.00818173j 0.00563871+0.00576983j -0.00219205-0.000488753j -0.00448372+0.00416653j 0.00749794+0.00231935j 0.00146014-0.00304571j -0.0117768-0.000961038j 0.0117906+0.00157267j 0.00495046-0.00460764j 0.00851837+0.00556795j -0.0103221+0.00148055j 0.00279056-0.00788812j -0.000709774+0.0109707j -0.00259519+0.0174247j -0.0146511-0.010057j 0.00259983+0.0220021j -0.0221058+0.00480127j 
-0.00632753+0.00599429j 0.00342097+0.00434596j 0.00649966+0.0118289j -0.00667916+0.00333513j -0.00320649+0.0164843j 0.01029-0.014471j 0.00605342-0.00516004j 0.00833856+0.00289234j -0.00050693+0.00416432j 0.0101377-0.00453174j 0.00810056-0.0127292j 0.00930258+0.000558235j -0.011736-0.00171309j 0.00121359-0.00600564j -0.00228647-0.000695375j 0.00169801-0.0038376j 0.0104739+0.00187549j 0.0107614-0.00500325j 0.000554091-0.00572989j 0.00397299+0.00730693j 0.00769281+0.00985394j -0.000621177-0.0134541j -0.00558335-0.0060486j 0.0143837+0.0106188j 0.0192583-0.0180634j 0.00231635+0.00795163j 0.00187622+0.00501077j 1.19536e-05+0.00744291j -0.00146331-0.00531579j 0.00512577+0.00444653j 0.0027253-0.00659076j -0.00538135+0.00231061j -2.40353e-05-0.00299553j -0.00279849-0.00397812j -0.00131193+0.00914156j -0.00452941-0.00237247j 0.00548512+0.0108694j -0.00179939+0.00161578j -0.000958632-0.00112723j -0.0050475+0.00484951j -0.00472016+0.0100015j -0.000870078-0.00348923j -0.00380944+0.00470255j -0.00671157-0.00487252j -0.00520988+0.00598476j 0.00553622+0.000673601j -0.00198834-0.00283061j -0.00588455+0.0121383j -0.000978127+0.0124159j -0.00248408-0.00517819j -0.00450483+0.000672028j -0.00186018+0.00459657j 0.00588633+0.00228579j 0.00248504+0.0015122j 0.00476464-0.0013039j -0.0126027-0.00193023j 0.00598929+0.00620863j 0.00559891+0.00707776j 0.0109838+0.00697623j 0.00678515+0.00430289j -0.00266363+0.00122412j 0.000943564+0.00209857j 0.00299237-0.0200151j -0.0122157-0.0079307j -0.0198607-0.00118145j -0.00835903-0.00612995j 0.00883935+0.00622705j 0.00342789-0.000923364j 0.00100038+0.00266375j 0.00276887-0.00833309j -0.00355295-0.00283731j -0.0025906+0.0047535j -0.000483255+0.0061566j -0.00103977-0.000298881j -0.00571589+0.00404584j 0.00559969-0.00380245j -0.000675715+0.00231078j -0.00699019-0.00265745j -0.00348936-0.00529589j 0.0109447+0.00599431j 0.00473794-0.00848041j 0.0109872-0.00433468j 0.00345458+0.00209615j 0.00237529-0.00527259j -0.00576298+0.000415491j 0.00312913+0.00327123j 0.0187536-0.00910327j -0.000217971-0.00634566j 0.0202159+0.00300292j 0.00125788+0.0155155j 0.0213226-0.00368616j 0.00323772+0.0210328j 
-0.000679834+0.00522595j -0.00099865+0.00466667j -0.00469684-0.00705999j 0.000667212+0.00624837j 0.00374663-0.0257285j 0.0072764+0.00401399j -0.0110099+0.0104519j 0.00865194-0.0045478j -0.0178707+0.0105777j -0.00860309+0.00962371j 0.00184989-0.00816791j -0.000466987+0.000112119j -0.00202586+0.00924083j 0.00232828-0.00385802j 0.00319914+0.00188561j 0.0213439-0.00088723j -0.001666-0.00157156j -0.0102572-0.00565408j 0.00554214-0.00134666j 0.030387+0.00121693j 0.00672614+0.00467114j 0.0197801+0.00985671j 0.000619125-0.00959759j -0.00594154-0.00892499j 0.00107377+0.0116571j -0.00235573+0.00652765j 0.00767861+0.00614362j 0.00547171+0.00610913j 0.00278107+0.0021841j -0.00289544-0.0119655j 0.00460685+0.00117273j -0.000418354+0.000897544j -0.00264248-0.00167292j -0.00349592-0.0162902j -0.00417868+0.00325916j -0.00112507-0.00343211j -0.00149612+0.00631396j 0.001064+0.000240025j -0.00120764-0.00667095j 0.00176185-0.00721452j 0.00323975+0.0101986j 0.00018283-0.00279868j 0.000395207-0.000532153j 0.0021691-0.0103089j 0.00454855-0.00147994j 0.00255904+0.00233299j -0.00133616-0.00406816j -0.00298979-0.0074076j -0.0054773-0.00307534j 0.00172434+0.00135221j 0.0025542-0.00179685j -0.00286055+0.0145362j 0.00200143+0.000917354j 0.00138869+0.00193228j -0.00805303-0.00876803j 0.00156042+0.00490433j 0.00282555+0.00852305j 0.00636447-0.00426519j -0.0017334-0.00491556j 0.00114138+0.0177888j 0.00320875-0.00333756j 0.000247579+0.00138441j 0.00771718-0.0114075j -0.0033656+0.00862123j -0.00447052-0.00235943j -0.000242095+0.00376665j 0.00248488+0.00435455j -0.00283314-0.00108145j -0.00472985+0.0033255j 0.00336363+0.00251498j -0.00285749+0.00269922j 0.0015921-0.00605063j 0.000761087-0.00552491j -7.93791e-05+0.00212646j -0.00188514-0.00128321j 0.00226071-0.00148868j -0.00162322+0.0016059j -0.00160021-0.00390172j -0.00186916+0.000375432j 0.00250722-0.00182947j 0.000219651-0.00368477j -0.000709611+0.0018455j 0.00200832-0.00243508j -0.00213564+0.00252612j -0.00236395+0.00085666j 0.00149484+0.00879355j -6.58354e-05+0.00241019j -0.00207475+0.00824968j 0.00214335-0.00364426j 0.00116455-0.00228945j 0.00465725+0.00498023j -0.0020483+0.00414122j 
-0.00206498-0.00370962j 0.00213079-7.42532e-05j 0.00358402+0.0130534j 0.00141642-0.00521706j 0.00481381+0.00735036j 0.00304008-0.00246254j -0.00480689+0.00668903j 0.00106041+0.00270685j 0.00543159-0.00116186j -0.00247602-0.00309389j -0.00847032+0.0027377j -0.0134825+0.0063719j 0.0069605-0.00731434j 0.0031652-0.00283418j -0.00764606-0.000110717j 0.031331-0.00209696j -0.00328211-0.00208527j -0.000655596+0.00247875j -0.0370036-0.00310589j -0.00187535+0.000181808j -0.0071528+0.00215105j -0.004303-0.000627091j 0.0114769-0.00403769j -0.0160416-0.00388332j 0.0136458+0.00322817j -0.00762696-0.00312168j -0.0072245-0.00840461j 0.00351741+0.00841129j 0.00814235+0.0176526j -0.00300763-0.002725j 9.92151e-05-0.00552905j 0.00328551+0.00453695j -0.000445422+0.00387562j -0.00144991-0.00641812j -0.00053157+0.000730221j -0.00187932-0.000688662j -0.00137443-0.00388928j 0.00103378-0.00311451j -0.00245975+0.0047538j -0.00384155-0.0154247j -0.00731022+0.00537008j 0.00186634+0.0210551j 0.00132358+0.00319798j 0.00131648-0.00590461j -0.00127399-0.00184416j 0.00028588-0.00956742j 0.00182451+0.0097703j 0.000958159-0.00836592j 0.00317384-0.0119151j -0.00053577+0.0117582j 0.000220585+0.00428734j -0.00126081-0.00250837j 0.000831428-0.00198086j 0.00356098+0.00385842j -0.00161869+0.000906136j 0.00411536+0.00148191j 0.00126234-0.00739052j -0.00259843-0.00630337j -0.00151037+0.00219262j 0.00105907+0.00376214j 0.000395753+0.000940702j 0.0030748-0.0087332j 0.000938075-0.00296887j 0.000969209-0.00716115j -0.000618974-0.00695783j -0.00276415+0.00901568j -0.000351053-0.00114913j -0.00244895+0.00313354j 0.00161644+4.20947e-05j -0.000562411-0.00343082j -0.00368998+0.00660106j 0.00131319-0.00343289j -0.00304321-0.00307141j 0.00267203+0.00404507j -0.00168899-0.00299044j 0.00491828-0.0027279j 0.000460563-0.00500999j -0.000670106-0.00386677j -0.00385762-0.00214809j 0.000440042-0.00210419j -0.000429938+0.00191598j 0.00381271-0.00467703j 0.00611569-0.0019463j -0.00143692+0.00568088j -0.00178023+0.00630649j -0.00121364+0.00163593j 0.0079292-0.00412487j -0.00034852-0.000692866j 0.00683599-0.00708868j -0.000750243+0.00281423j 0.00639157-0.00376131j 0.000156042+0.00472343j 
-0.000217491-0.000629869j 0.000514011+0.000294639j -0.00249725+0.00524162j 0.000989297+0.00308868j 0.000979515+0.000375522j 0.00952558-0.00712165j -0.00761908+0.00972295j 0.00998668-0.00366878j 0.00264805-0.00661668j -0.0093077-0.00214406j 0.0059778-0.00110098j 0.00434926-0.00430993j 0.00873177+0.00366205j -0.00677973+0.00119435j -0.0259929+0.0041467j -0.029637+0.00196065j 0.0293483+0.00147334j -0.0113433-0.00185225j -0.0129708+0.00264507j 0.00577859-0.00257395j -0.00574667+0.00365227j 0.0184928+0.00995587j 0.000373705-0.0110697j -0.0128669-0.00896261j 0.00267805+0.00435401j -0.0033982+0.0028081j -0.00326489-0.00836255j -0.0001985+0.00861898j 0.0014421+0.000905509j 0.00909665+0.0150012j -0.00180584-0.00139807j -0.00370876-0.0162563j 0.000758661+0.012061j 0.00154985+0.00514212j 0.00280825+0.0128529j 0.00134084-0.0103376j 0.00265045-0.00569024j -0.00214546-0.0043011j 0.0023276-0.00612974j 0.00244735-0.00128604j -0.00418894-0.00659633j 0.000184396-0.00517798j -0.000482902-0.00240982j 0.00225858+0.0160169j -0.00457572-0.00148537j 2.82234e-05+0.00507259j -0.00189936-0.00904191j 0.00125209+0.00317773j -0.00444744+0.00282589j 0.00061369-0.00327689j 0.00208074+0.00463841j -0.00131867-0.00566223j 0.00110679-0.0133244j -0.00127813+0.00918335j -0.00345833-0.00256093j 0.00262387-0.0121482j 0.00142741-0.0136088j 0.000694905+0.00858808j -0.000308447+0.00543355j -0.000956381+0.00546251j 0.000143147-0.0105043j 0.00385072-0.00748155j 0.000805374-0.00448157j -0.00035147-0.000651223j -0.000172049-0.00114954j 0.00385802-0.00870584j 0.000921721-0.00432398j -0.000489605-0.00264447j 0.00372046-0.00352442j 0.000469349-0.00387667j -0.00216723+0.00260466j -0.000971077-0.0041286j 0.0013627-0.00469944j -0.00317963+0.00216566j -0.000656832-0.00664657j 0.00108921+0.000588744j 0.00031028-0.00315842j -0.0044535-0.0012186j 0.000272791+0.00057416j -0.00168872+0.00287103j 0.000974202-0.00460605j -0.00246486+0.00357364j -0.00192537+0.00597464j 0.000367178+0.00146183j -0.000164758-0.00182879j -0.000535129+0.00290006j 0.000635603+0.00445932j -0.00046865+0.00407117j 0.000791133-0.00223282j -0.00038-8.01403e-05j 0.00102678-0.000529763j -0.000386693+0.000982069j 
-2.08529e-05-0.0112402j 0.000221086-0.00909582j 0.000408977+0.0103371j 0.00391293-0.0117729j -0.00246124+0.0250637j 0.0072475-0.0167093j -9.63121e-05+0.00700653j 0.00338606+0.00467431j 0.00996965-0.00810102j 0.0016728-0.0132683j 0.00513099-0.000989061j 0.00689231+0.00122087j -0.0185576-0.000562074j -0.00585144+0.00504036j 0.0136118+0.000486121j 0.0223971-0.00101569j 0.0133296-0.000442239j -0.00236462-0.000769263j 0.0124735-0.00103835j 0.00426681-0.00595352j -0.0170043+0.00125521j 0.0242323+0.0125785j -0.00300612-0.00408793j -0.00135091-0.00715511j -0.0138943-0.0043124j 0.00789862+0.0028581j -0.00764758-0.00161036j 0.00101077-0.00049995j -0.0097184-0.00816286j -0.00867163-0.00734591j -0.00567286+0.00934669j 0.00584641-0.0063301j -0.000359528-0.00972398j 0.00140443-0.00474156j 0.000760652-0.0070052j 0.00223-0.00799954j 0.00109753-0.000772025j -0.000329131+0.00705105j 0.00350149+0.00291939j 2.32485e-05+0.00292806j -0.00402905-0.000122825j -0.00329949-0.0101957j 0.00209338-0.00311966j 0.000430825-0.0083441j -0.00121918+0.00113938j 0.000447554+0.00339615j 0.0025511-0.00238174j 0.00360366-0.0069886j 0.000589977-0.000691009j -0.00231751+0.00100775j 0.001463-0.00147169j -0.00014021+0.00974745j -0.00302072+0.0149509j -0.000105993+0.00448013j -0.00190014-0.00899828j 0.00329866+0.00326298j 0.0033683-0.00437907j -0.000272491-0.00205492j -0.00350902+0.00307257j -0.00521522+0.00228053j 9.00012e-06-0.0116886j 0.000488447+0.00798952j -0.00757509+0.00509491j 0.0031578+0.00893049j 0.0111363+0.00697818j 0.0039565-0.00180106j -0.00682169-0.00712699j -0.00142333+0.00265108j -0.000652923+0.000932862j -0.00514058+0.00257744j 0.00334837-0.00358011j 0.00114034-0.00520493j -0.000423403-0.000763169j 0.000275183+0.000129281j 0.000755998+0.00295884j -0.00344293-0.000326972j -0.00441339-0.0019833j 0.00194219-0.000558221j 0.000641772+0.00243103j -0.00147295-0.00368996j 0.00309746-0.00257666j -0.00819611+0.00709118j -0.000510413-0.00200681j 0.00250728+0.00226929j 0.00853043-0.00858296j -0.00803705+0.00446564j -0.00539767+0.0056611j 7.11396e-05-0.00331695j -0.00950232+0.000532043j -0.00599252+0.00336464j -0.0111797-0.00121159j -0.00463052-0.00463739j 
0.00157146-0.00164736j 0.00442873+0.0050683j -0.00149491+0.0163434j 0.00559033+0.00368659j -0.00195521+0.00761289j -0.00781767-0.000465903j -0.00153541-0.00874376j -0.00198937-0.00431518j 0.00324677-0.00529415j -0.0318585+0.00139482j 0.0124437-0.00334994j -0.00268522+0.0100824j -0.0123789-0.00458662j -0.0129927-0.00783939j 0.0214207-0.00620913j -0.00951422-0.00195794j -0.00945518-0.00831298j -0.0226248+0.00237353j 0.00231614-0.00396952j 0.00239773-0.00408902j -0.0100776-0.00823419j -0.00868654+0.00673957j -0.00273737-0.0118648j -0.00448119+0.011309j 0.0236076+0.0102699j -0.0104341-0.0105443j 0.00422218+0.00198854j 0.00148635-0.00587022j -0.00660219-0.00101857j -0.0056878-0.00987282j -0.00364461-0.00325191j 0.000288367-0.00053244j 0.00267193-0.000180553j -0.000484293+0.0119953j -0.000680247-0.00893817j 0.0019971-0.000446952j 0.00456958-0.00643056j -0.00110677-0.00253715j -0.00229381-0.00144061j -0.00155304+0.0072763j -0.00353605+0.0024313j 0.00255618-0.02003j -0.000784843-0.000662915j 0.000816892-0.00353672j -0.00470943+0.00144089j -0.00241973-0.00262499j 0.00303635-0.00379617j 0.00097142-0.00618643j 0.000682801+0.00102546j -0.00132553-0.00473767j 0.00413742+0.00466038j 0.00161841+0.00475715j -0.000121563-0.00935665j 0.00385127-0.000101532j 0.0065956-0.00372464j 0.000994327-0.00985002j -0.000250183-0.00335249j -0.000315126-0.0137687j -0.000733526-0.00374792j 0.00335424-0.00441509j -0.00389827+0.000609797j 4.9106e-06+0.0109068j 0.0010095-0.0071508j -0.00302642+0.00696542j -0.00227804+0.000539968j -0.00239996+0.0016447j 0.00201477-0.000155094j -0.00146774-0.00256212j -0.000898473-0.00242183j -0.00166518+0.000803652j -0.00156607-0.00129184j -0.00496719+0.000756436j 0.00133353-0.00149781j -0.00276029+0.000958995j 0.00214684-0.00512765j 0.000461567+0.00104037j -0.0023777-0.00170406j -0.00212662-0.00263622j 0.00177125+0.00407152j 0.00446515-0.00206316j -0.0026314-0.000915851j 0.00536566-0.00462056j -0.00086071+0.00501403j -0.00163009+0.000438956j -0.00639414+0.00806868j 0.00345873-0.00544762j 0.00629854+0.0032435j 0.00126996-0.00204765j 0.00808199-0.00763242j 0.00426767-0.00063981j 0.00562938-0.00692073j 0.00709757-0.000344441j 
0.00883446+0.0117309j -0.00130262+0.00327634j -1.27583e-05+0.00374257j -0.00521888+0.00510759j 0.00174401+0.0329369j 0.001332-0.00714822j -0.00481129+0.00539978j -0.0050473-0.00215985j -0.0169647+0.000274308j 0.0068736+0.000828519j -0.0112445+0.00147041j 0.0151921+0.00389978j 0.0106216-0.00398704j -0.0111597+0.00275787j -0.00813052+0.00472507j 0.00065411-0.00494412j -0.00816227+0.00173751j -0.00623322+0.00383951j 0.00375419-0.00287621j 0.0287651-0.00041013j 0.0133872+0.00518604j -0.00970983+0.00722817j 0.00438438+0.00108236j 0.00235281+0.00540718j 0.00847624-0.00197767j 0.00477957-0.000202872j 0.00822352+0.00934138j 0.00484407+0.00476583j 0.00243745+0.00226876j 0.00468355-0.00894112j -0.0043035+0.00375401j -0.000534257-0.000261718j 0.00465813-0.00118897j 0.000951231+0.00314405j 0.000190992+0.0145839j -0.000289634+0.00953399j -0.00440717-0.0065086j -0.00231795-0.00233325j 0.000850353+0.000565408j -0.00142996-0.00106425j 0.0015293-0.00524696j 0.000272038+0.00571945j 0.0010801+0.00172186j -0.00108169+0.0103404j -0.000182168-0.00213976j 0.00160409+0.00250939j -0.00174404+0.00049119j -0.00313606+0.00415702j -0.00355986-0.00329105j 0.00146218+0.0001654j 0.00659235-0.00430438j -0.00174733+0.00426844j -0.00174347-0.00441623j 0.00213931-6.9605e-05j 0.00330749+0.0011485j -0.00179481-0.000384842j 0.00139393+0.012407j -0.00124768+0.00266983j 0.00512014-0.00988215j 0.00497429+0.0042197j -0.00125307-0.00366392j -0.00394231-0.004438j -0.00747638+0.00366253j 0.00190877+0.0019939j 0.00686878+0.000813846j 0.00241825+0.00326711j -0.00293759-0.00294977j 0.00266601+0.0029041j 0.000526956+0.00318886j 0.00318401-0.00400883j 0.00148073-0.000883993j 0.00235053-0.000346128j 0.00739718+0.000650413j -0.00120202-0.00159721j 0.00713238+0.00261567j -0.00140966+0.00389651j -0.00174179+0.00381482j 0.000963048+0.00184465j 0.00406995+0.00413361j -0.00298741+0.00528974j -0.00304228+0.00160546j 0.000549472+0.00521345j -0.00373086-0.00427962j -0.00241789-0.00256368j -0.00369522-0.00819055j 0.00469603+0.00310263j -0.00348912+0.00759709j 0.00403474+0.0030472j 0.0010803-7.46943e-05j 0.00924115-0.00380493j -0.0072281-0.00709172j 0.0164764-0.0155781j 
0.00184126-0.00677565j 0.00196523+0.00852482j 0.00203013-0.0096505j 7.68218e-05+0.00961324j -0.00207528-0.00550142j 0.00249862+0.0210658j 0.00435729+0.00116974j 0.00339373-0.000546149j 0.00505824-0.00879398j -0.0061513+0.00120546j 0.00415772-0.0171416j 0.00622282+0.00565101j -0.0068689-0.0167623j -0.00514326+0.0137794j -0.00330515+0.00100645j 0.00424432-0.0106984j 0.00636008-0.00963665j 0.00167618-0.0104643j -0.00981891-0.00305397j 0.00490778-0.0018568j 0.000240188-0.00749962j 0.0109503-0.00514276j 0.00197618+0.0134083j -0.00727361+0.0172196j 0.011416-0.00502716j 0.01264-0.008517j 0.00119184+0.00325368j -0.0118966+0.00651547j 0.000556032+0.00250503j -0.00260123+0.00025082j -0.00742051+0.000459978j -0.0017909-0.00163813j 0.0102589+0.00224966j -0.00184445-0.00248306j -0.00193239+0.00516197j -0.00337746+0.00275263j 0.00194044-0.00417297j -0.000852365-0.00213994j -0.00621135+0.00780817j -0.00448446-0.00344312j -0.00121416-0.00270165j -0.00142405+0.00299242j -0.00387677+0.00266144j -0.00577794+7.33446e-05j -0.00232048+0.00109807j 0.00378669+0.00423962j 0.000530547-0.00556198j -0.00335404+0.00640027j 0.00333052+0.00644608j -0.0052469-4.28971e-05j -0.00696172-0.00656431j 0.00155344+0.00198425j -0.00444685+0.00313752j -0.00570833+0.00128064j 0.0043129-0.0048839j -0.00397931-0.00529355j -0.00271128-0.000712612j -0.00639716-0.00835794j 0.00842594+0.000290193j -0.00829194+0.00083533j -0.0058862+0.00330432j -0.00930129+0.00108026j -0.000248158+0.00843653j -0.000506098-0.00394663j 0.00690424-0.00344152j 0.000191661-0.000759299j -0.0105722-0.0136148j 0.00725273+0.00672016j 0.00662101+0.0014317j -0.0107957+0.000596223j -0.00104631-0.000150835j 0.00092095-0.00454491j 0.000371107+0.00335136j 2.80122e-05+0.00192592j 0.000487443+0.00320048j 0.00620496+0.00238746j 0.00065591-0.0041106j 0.00153281-0.00314361j -0.00104307+0.00157086j 0.00389927+0.00131613j -0.00210036+0.00116223j -0.00401396+0.00701425j 0.000717448-0.000461496j -0.00101454+0.0021934j 0.00252869-1.49905e-05j -0.00850292+0.00300319j 0.00518232-0.00154245j -6.05697e-05-0.0107804j 0.00996526+0.008621j -0.00725283+0.0047644j 0.000480679-0.0080881j -0.0022392-0.00600583j 
-0.00387104+0.00280374j -0.0016214-0.000391476j 0.00110655+0.00984122j 0.000690387+0.00657538j 0.00851168+0.0133091j -0.00148981+0.00418341j -0.00376168+0.00172174j 0.00786666+0.00862906j -0.0037797+0.00300512j -0.000407577+0.00197117j 0.000984069-0.0187181j 0.00160997-0.00417779j -0.00172621+0.0114515j 0.00438506+0.0122103j 0.0029178-0.0157708j -0.00571011-0.00185599j 0.00109407-0.000996319j -0.00113137-0.00496243j 0.00141006-0.00914967j 0.00518857-0.00604614j 0.0128782-0.0114435j 0.0127611-0.00592041j -0.00431058+0.00732321j 0.00119555+0.00214823j -0.00490014-0.0118889j -0.00101818+0.00400706j -0.0010998+0.00419742j 0.00480809-0.0134968j -0.00444201+0.00999218j 0.00105708+0.0127629j 0.0111192+0.00875932j -0.00547916+0.00876102j -0.00362462+0.00545804j -0.00348891-0.0030536j 0.00579422-0.00878814j 0.0034366+0.00682151j -0.00432665-0.00497438j 0.00249627-0.00275249j 0.00387914+0.00289585j 0.000511549-0.015575j 0.00684501-0.0086738j -2.9503e-05-0.000737991j 0.00246276+0.00345732j 0.000323716+0.0171278j 0.00477092-0.00291062j -0.00453835-0.0137245j 0.000259946-0.0210624j -0.00316916-0.00914786j 0.00239187-0.00502074j -0.00223688+0.000952364j -0.0042574-0.00975659j 0.00752-0.0201152j -0.00381869+0.00308045j -0.00427601+0.0127871j 0.00152945+0.0193465j -0.00173209+0.0087431j -0.00776551+0.00197986j 0.00874392-0.00375767j 0.00176352-0.00576884j -0.00250811+0.00612939j 0.00367096+0.00161692j -0.000638545-0.00467507j 0.00263198-0.000225477j -0.000108594-0.00668334j -0.00408655-0.00641152j 0.00112289-0.00285807j 0.0110363+0.0100297j -0.00541182-0.00385943j -0.0029941+0.00171562j 0.00803677-0.00297844j -0.0029209+0.00706588j 0.00305085+0.00204226j -0.000990303-0.00157696j 0.00308056+0.00221395j -0.000930953-0.0029551j 0.00127425-0.00509738j 0.00227468-0.00357565j 0.00172115+0.00423074j 0.00233567-0.00731929j -0.00192914-0.00284066j -0.00250016+0.00258122j 0.000867215-0.00279942j 2.19755e-05-0.00304559j -0.00350948+0.000573273j -0.00553518+0.00514089j -0.000143183+0.00278455j -0.0127746+0.00212901j 0.000959172-0.000321162j 0.00042085-0.00979543j 0.0028855-0.0010083j -0.000111647+0.00937665j -0.00217934+0.00534891j 
0.00146105-0.00455891j 0.00125059+0.00311459j 0.00357773-0.00123075j -0.000217478-0.00312j 0.0096359+0.00365029j -0.00561188-0.00593325j 0.00110013-0.00226511j 0.000799901+0.000546421j 0.00193654-0.000362079j -0.00819719-0.00264659j -0.0010631+0.00280826j -0.00290885-0.000132946j 0.00198379-0.00185125j -0.000944247-0.00467047j -0.000316477+0.0140387j -0.00425062+0.00170868j -0.00113259-0.00180921j 0.000150729-0.00543147j 0.00070377+0.0161457j -0.00508477+0.00315659j -0.00517296+0.00532414j -0.00269893+0.00575444j 0.00220951-0.00911411j -2.37657e-05+0.00515592j -0.00236962+0.00391052j -0.00128846-0.000380574j 0.00161536+0.00501194j -0.00301339+0.000968715j 0.00240358-0.0145822j 0.00213034+0.00756862j -0.00610819-0.00559834j 0.00242722+0.00304529j 0.00345358-0.0128481j 0.00110335-0.00717634j -0.00460073-0.017556j 0.0026874+0.0211653j 0.00337256+0.00884264j -0.000653458-0.00897611j -0.00352353+0.00169713j -0.000972771-0.0380299j -0.00117497+0.0177832j 0.00119855-0.0123532j 0.00307151+0.00498149j 0.00143034-0.00139986j 0.00527954-0.00358733j 0.000654841-0.00795138j -0.000724625-0.0420566j 0.00343732+0.00740487j -0.00185412+0.0123212j 0.00710794-0.0117823j -0.000615364-0.0115029j 0.00154066-0.0238972j 0.00367082-0.00885488j -0.00167674-0.0131567j -0.000915593-0.0005781j -0.0102654+0.0235448j -0.00151167+0.000609831j 0.00123339-0.0058906j -0.00376285-0.00366583j -0.00242161+0.00729933j -0.00451283+0.00305986j 0.00230005-0.00547341j 0.00268693+0.00132227j 0.00346701-0.00630551j 0.00396391-0.0021653j 0.0018629-0.000765902j -0.00598904-0.00554849j 0.0015167+0.0063105j 0.00151504+0.00096465j -0.00395774+0.00237877j -0.00628889+0.00757633j 0.00231799-0.00316705j -0.00133942-0.000163998j 0.00723665+0.00274258j 0.00288947+0.000397045j 0.00263667+5.35913e-05j 0.00108687-0.00422945j 0.00364837-0.000422988j -0.00139035+0.00105595j -0.000841622+0.0042405j -0.00190987+0.000913013j 0.00129524+0.000389093j -0.00233839-0.00147723j -0.0067328+0.00429573j -0.00161017+0.00104203j 0.00275169+0.00246971j 0.000942694-0.00376825j -0.00240416-1.79879e-05j -0.000212819+8.57903e-06j -0.000377464+0.000261642j -0.00114805-0.00509569j -0.00022255-0.00327941j 
