0.438457-0.0387824j 0.183287+0.170417j -0.0169897-0.0463724j 0.10278-0.0172274j -0.0610854+0.0278174j 0.0192986-0.0170061j 0.0312702+0.0300909j -0.0122193-0.0133369j 
-0.0633304-0.0210938j -0.186517+0.0694704j 0.159089-0.0460316j 0.00841608-0.0657739j -0.00516249-0.012713j 0.00170255+0.0110734j -0.0207136-0.0416517j 0.0353047+0.0239087j 
-0.00841787+0.214168j -0.202127-0.395802j -0.15438+0.134507j -0.0287412+0.010111j -0.0309222+0.101695j 0.0172289+0.00828328j 0.0126304+0.019056j -0.00332734+0.0256449j 
-0.254284+0.149936j 0.412957+0.229081j -0.11608+0.211566j -0.115587+0.050095j -0.0711939-0.124123j 0.0802431-0.0679229j -0.0196847+0.0371214j -0.0245945-0.00805237j 
0.235402+0.220277j -0.0237661+0.105379j 0.0942972+0.251129j 0.0378628+0.0821523j -0.0276973-0.00108604j 0.0274605+0.00876151j 0.0381149+0.0143241j -0.0481203-0.0117302j 
-0.541037+0.0292673j 0.0593686-0.00665701j 0.609435+0.0338998j -0.212165+0.0252767j 0.0466593+0.0205027j 0.00898365+0.000694121j -0.028172-0.0132385j 0.0497709-0.00809307j 
-0.0562994+0.185557j 0.0774983-0.221325j -0.218086+0.174214j -0.0784077+0.0927087j -0.0139583+0.0751657j 0.0230643-0.00200675j -0.0513077+0.00983333j -0.0731444+0.0418327j 
-0.197164-0.109029j -0.263625+0.327454j -0.376455-0.063672j -0.104308-0.0327095j 0.0379107-0.0683376j -0.0877365-0.0713872j -0.0641006-0.0873538j 0.0177269-0.045355j 
-0.098863-0.217291j 0.212462-0.275952j 0.048903-0.29595j -0.0299364-0.115131j -0.0659078+0.0568098j -0.0195594+0.00188124j 0.0638805-0.0360185j 0.000715283-0.0584619j 
-0.185733-0.0431297j -0.133617-0.0199839j 0.0134035-0.0675477j -0.0676648-0.0514072j 0.0150324+0.0382876j -0.000330322-0.0128143j -0.0774551-0.0142369j 0.0505053+0.0548558j 
0.0682474-0.072371j 0.274973-0.126471j -0.364869-0.077844j 0.0423281-0.0340001j -0.101783-0.00982902j 0.0142536+0.0153329j -0.00767249-0.078983j -0.126931+0.0110126j 
