-0.00202184-0.0134919j -0.0117423+0.004589j 0.00856001+0.000567006j -0.00702087+0.0101887j -0.00191961-0.000588422j -0.00410845-0.00541983j -0.00316816+0.00140478j -0.00351963+0.00608949j 0.000723527+0.000167375j 0.00242998-0.000637634j -0.00373353+0.000510937j -0.00574998-0.00381548j -0.00279052-0.000363769j -0.00293625+0.00265886j -0.00382636+0.00246124j -0.000844062-0.000965106j 0.000499266-0.00150434j 0.00291726+0.00151265j -0.00336357+0.00384019j 0.00221146-0.00223972j -0.00390429+0.00419746j 0.00213651+7.4437e-05j -0.00475145+0.000163715j 0.000206701+0.00209931j 0.00696238-0.0058132j 0.00209342-0.0148716j 0.0195012-0.0131785j 0.014085-0.00783233j -0.0116164-0.00182037j -0.0144908-0.0144467j 0.00268229+0.00756941j -0.00369123-0.00461415j -0.00847099-0.00728948j 0.00322596+0.00444473j 0.00037581+0.00585306j -0.00411531-0.000764728j -0.00611748-0.00109829j -0.00498915+0.00118426j 0.00306534+0.000933045j -0.00544003-0.000811002j 0.0037796-0.00167269j 0.00519027-0.00268149j 0.0047263+0.00132671j 0.00973435+0.000202628j -0.00102655-0.0107974j -0.0056302-0.0124457j -0.00763298-0.00873669j 0.0191605+0.00728495j 0.00137468-0.0319299j 0.026398+0.00839012j -0.000650414+0.0386471j 0.0364912-0.00354979j 
0.00902453-0.00171543j -0.00218461-0.0103051j -0.00492471+0.0070399j -0.00905317-0.00909572j -0.00320708+0.00104529j -0.000844748-0.00502834j 0.00551919-0.00667495j -0.00329679+0.00178762j 0.00937133+0.00168857j -0.00215154-0.0027948j -0.00357223+0.00723106j 0.00283788-0.00376j -0.00356377-0.00170442j -0.00364784+0.00291842j 0.000719149-0.00383403j -0.00137901-0.00472024j -0.00191608+0.00251596j -0.00256787-0.00403237j -0.000962835-0.00596556j 0.000987309+0.00295675j -0.00127053-0.00470636j -0.00167559+0.000342682j -0.0101269+0.00464893j 0.00254723+0.00208996j 0.00597478+0.0114238j -0.010799-0.00718288j -0.000346565+0.000629495j 0.00706439+0.0101267j -0.00361173-0.0149321j 0.0168464-0.00177389j -0.00680332+0.000109115j 0.00248372-0.00162853j 0.00964697-0.00485255j -0.00501877+0.00170262j -0.00583+0.000446758j 0.00514518-0.00248014j 0.00071164-0.00183953j 0.00130799-0.00527168j -0.00236507+0.0031273j 0.0105786-0.0113153j 0.00388653+0.00268234j 0.00978791-0.0112156j -0.0039018+0.00957922j -0.0015375+0.00538506j -0.00610202+0.0121954j -0.00689509-0.000599997j 0.00354819-0.00168683j 0.00503583+0.0194007j 0.0343038+0.00338305j 0.000596236+0.0234376j -0.04228+5.31109e-05j 0.000163049+0.0389319j 
-0.0107379+0.00493051j 0.0109898+0.00135578j -0.0329415+0.0103539j -0.0326919-0.00776889j 0.00196805+0.00761309j -0.0228498-0.00226393j -0.00249857-0.00226351j 0.00501769-0.00440358j 0.00431982-0.000713698j -0.000557748-0.00121089j -0.00572709-0.00298703j 0.00240492+0.0099577j -0.00477439+0.00395487j 0.00515479+0.00549679j -0.00302374-0.00645833j -0.00101959-0.00208712j 0.0015349-0.0046615j 0.00272273+0.00185657j 0.00135576-0.000961829j -0.00775512+0.00230885j -0.00269212-0.00646136j 0.000460818+0.0039789j 0.00339237-0.00298604j -0.00122892+0.000522605j -0.00311718-0.0105995j -0.00800566-0.00188801j 0.00436389-0.00354263j 0.00133966+0.015656j 0.00384092-0.0030915j 0.000180482-0.00348463j -0.00324328-0.000101645j -0.000239927-0.00303836j 0.00368201+0.00188277j -0.00147186-0.0023192j 0.00201867-0.00349629j 0.00582547+0.00274326j -0.00109544+0.00138571j -0.0029233+0.00113776j -0.00588513+0.00141934j -0.00262636-0.000189893j 0.00388966+0.00475916j -0.00316111-5.80303e-05j 6.59191e-05+0.00479729j -0.00131505+0.000368189j -0.000678519-0.00537219j -0.00610537+0.000403158j 0.00517919-0.0031962j -0.00409876+0.0012739j 0.00748895+0.00460197j 0.000948934+0.00478532j 0.00417916+0.00523426j 0.0061068-0.00461716j 
-0.00307896+0.00681387j -0.00688548+0.00687136j 0.0140236+0.0142251j 0.0132851-0.0163772j -0.01509+0.00984055j 0.00921322-0.00198691j 0.00774121-0.000309051j -0.00413612-0.0201384j 0.00457308+0.00128498j -0.00472807-0.0061864j 0.00564956-0.00164521j -0.00305824+0.0101576j -0.00821223+0.00995035j 0.00195736+0.00161139j 0.00479788-0.0112258j 0.010602-0.0035697j 0.00307997+0.00154722j -0.00396003-0.00834654j 0.00456499+0.0127941j -0.0051947+0.0196073j 0.0047026+0.0125084j 0.00726451+0.00823723j 0.0164587+0.00593394j -0.00238447+0.0124193j 0.00234687-0.0199074j -0.0140295+0.00233911j 0.0106808+0.00201166j -0.0201973+0.0168282j 0.0082745-0.00203382j 0.00824707-0.00451094j -0.000733847-0.00221254j 0.00149982-0.00420539j 0.00534644+0.00568996j 0.00075673-0.00728056j 0.00117398-0.00414677j 0.00377797+0.00317319j 0.00431701+0.000283412j -0.000532006+0.00642762j -0.00754989+0.000273811j 0.00396705-0.00191093j -0.00307635+0.00135945j -0.0108049-0.00246504j -0.010218+0.00520242j -0.00555014+0.000646286j 0.00241081-0.0077519j -0.0195247-0.00385489j 0.0108698+0.00246485j -0.00553262+0.00429612j 0.00777272+0.0166448j 0.000226071+0.0110778j 0.0103956+0.0123608j 0.0105365-0.00950165j 
-0.00831585-0.00776939j -0.00447925+0.00205647j -0.00412808-0.00575814j 0.00449105+0.00519373j 0.0130927-0.0208032j 0.00313992+0.00316613j -0.00526653-0.00044611j 0.00465938-0.00458281j 0.00141272+0.0114696j 0.0091006+0.0011326j 0.00508116-0.0015447j 0.0039853+0.00336056j 0.00321754+0.00264627j -0.00327743+0.00296704j 0.00250408-0.013116j -0.000973222+0.00936112j 0.00279837+0.00684653j 0.00667231+0.00482746j 0.00139748+0.0160558j 0.022955+0.0113705j -0.00761144+0.000620966j -0.00341559+0.00139196j 0.0051716+0.00427108j 0.00123299+0.00138838j 0.0077409-0.0192834j 0.00307045+0.00954846j 0.00671223+0.0161391j -0.019226-0.00320078j 0.000415686+0.0109343j 0.00991276+0.00717154j 0.000382083-0.00431395j 0.00088542+0.00509513j 0.000977057+0.00729152j 0.00434044-0.00499805j -0.000331768-0.0034254j 0.00141403+0.00129103j -0.00210627+0.00371908j -0.00288888+0.00558502j -0.0121481+0.00144708j 0.0040894-0.00323543j 0.000951331-0.00148794j 0.00270831+0.000435719j -0.00866907-0.00500195j -0.00571918-0.000458169j -0.002148-0.00339055j -0.0103468-0.0156668j -0.00845818+0.0131701j 0.00153544-0.0079928j -0.0206599+0.00907851j -0.00413773-0.00752173j -0.0147421+0.00126585j -0.00221475+0.0106466j 
-0.00836716+0.00390645j 0.00964954-0.00378113j 0.0111231-0.00269706j 0.00188564-0.00229516j -3.76916e-05+0.0103663j -0.00656132-0.00348063j -0.0166096+0.0064667j 0.00117418+0.00260928j -0.0105062-0.00261324j 0.00293852-0.0042968j 0.0101404-0.00422128j 0.00185062+0.000477673j 0.00750157-0.00260378j 0.00952426+0.000127706j -0.00226683+0.00935222j -0.0177379-0.00198837j -0.00740008-0.00542978j 0.0013528-0.00479j -0.005832-0.00521869j 0.0133937-0.012979j -0.0113916+0.00194565j 0.00942638+0.00716861j 0.00120551-0.00147048j 0.00591346-0.005558j 0.00778534+0.013018j 0.00621339+0.00477197j -0.00317319-0.00545405j -0.00360082+0.00386003j -0.000919257+0.000724915j 0.0068359+0.00509762j -0.00208688+0.000812948j 0.000396637-0.00287858j 0.00334885+0.00535046j 0.000629102-0.000979336j -0.000231376-0.00168072j 0.0126468-0.00109794j -0.0047693+0.000201335j -0.00557599-0.00480458j -0.0134268-0.00228447j -0.00804719-0.000748705j 0.0119777+0.00180316j 0.00594673-0.0037252j 0.00602573+0.00473905j 0.00343346+0.00216598j 0.00523455+0.00715102j 0.00214689-0.0095745j 0.00251458-0.00656204j -0.0115403+0.0116845j 0.00960101+0.00616385j -0.0113496+0.00593139j -0.00501292-0.00633596j -0.00543962-0.00268j 
-0.00165528-0.00188536j 0.00775108-0.000575072j 0.00140999-0.0022076j 0.0131129-0.00271547j 0.00291749-0.00368029j 0.00451498+0.00311916j 0.00636082-0.00744664j 0.00267715-0.00364842j 0.0150769-0.00339664j 0.00275736+0.00141131j 0.00332627+0.00180492j 0.0123351+0.00161417j 0.00576512+0.00316747j -0.000667846+0.00468284j 0.0124897-0.00718316j -0.0138519+0.00321314j 0.000440216+0.0028797j -0.0134754-7.5442e-05j -0.000314349+0.00578187j -0.0124361+0.00641263j 0.00450084+0.00374878j -0.00437487-0.00268251j -0.00927371-0.00450604j -0.00863922-0.00203142j -0.00168641-0.00786674j 0.0066091+0.00558645j 0.0200348+0.0172884j 0.0022893+0.00361562j 0.00178258-0.00472257j -0.0109695+0.00218458j 0.00218756-0.00090805j -0.00476028+0.00337379j -0.000254371+0.00180159j 0.00203352-0.00264646j 0.0063175+0.00209586j 0.0184744+0.00102721j -0.0061383+0.00236111j -0.00593615+0.00902858j -0.0182735+0.000858531j -0.0120584-0.0114938j 0.00966345+0.00293543j 0.00205516-0.0114112j 0.00304849+0.00283059j 0.000817865-0.00302757j 0.00201108-0.00187558j -0.000743556+0.00807087j -0.00777104-0.0111387j -0.00908805-0.0136748j -0.000238091-0.00457248j -0.000902145+0.00217216j -0.00780892-0.000757288j 0.00466174+0.00630198j 
0.00148957-0.00582787j -0.00116364-0.00105585j 0.000401926-0.00688418j 0.00317349+0.00969211j -0.0109417-0.00381405j -0.00377873+0.00371853j -0.00484242+0.00534612j 0.00266447-0.0025633j -0.010885+0.008301j -0.00186513-0.00131111j -0.0025576-0.00381542j 0.00487954-0.00481595j -0.0275822+0.0039374j 0.00464991+0.00295356j 0.0107621-0.00681196j -0.0214615+0.00464507j 0.0157981+0.00474023j 0.00150326-0.00336866j 0.0338041+0.00531596j -0.0069305+0.00963807j -0.0065688-0.00395785j 0.00278476+0.00354299j -0.00797082+0.00648895j 0.0042288+0.00666257j -0.000749539-0.00653909j 0.00933727+0.0105779j -0.00117386-0.00136206j 0.00527004+0.00668562j -0.0050365-0.00353302j 0.00361993+0.00138845j 0.00645955-0.00272925j -4.01302e-05+0.000514825j -0.00268787+0.00063264j -0.000639376-0.00142967j 0.000261079-0.00128387j -0.0117509-0.000128446j 0.00100786+0.00183173j 0.00238989-0.00176056j 0.00574701+0.00221552j -0.000961327-0.00578571j -0.00254262-0.00482775j 0.000796664+0.00214765j -0.000464372+0.00485938j 0.000898275-0.00162126j 0.000739139-0.000764776j 0.00403133-0.00282398j 0.00415685+0.00243714j 0.00436662+0.00134106j 0.00184061-0.000193989j 0.000953967-0.00140831j -0.00397087-0.00132094j -5.80993e-05+0.00374638j 
0.00209281+0.0059846j -0.0104973+0.00284744j 0.00478186+0.00699902j -0.00340535-0.0110145j 0.0134628+0.00682269j 0.00431409-0.00801912j 0.00509075-0.00360323j 0.00120635+0.00995072j -0.00380767-0.010044j -0.00318282-0.00101217j 0.00416656+0.00846653j 0.00961738-0.00359194j -0.0153666-0.0027172j -0.00683062-0.0104999j 0.0131206+0.0265182j 0.0104557-0.00785753j 0.0176635-0.0141162j 0.00517046+0.000246075j 0.00944999-0.00534465j 0.0109943-0.0207468j -0.0088907-0.00934058j 0.00337578-0.00270484j 0.00498705-0.00818753j 0.0028484-0.0092428j -0.0165616+0.00779055j -0.000223014-0.0170875j -0.00138673-0.00594424j -0.000611865-0.00842511j 0.00618726-0.00155547j -0.00253664-0.00155744j -0.00349155+0.00228753j 0.00117358+0.00102373j -0.00196828+0.000922238j -0.00069781+0.00136091j 0.00627978+0.00311337j 0.0203362-0.00209428j 9.94402e-05+0.00127064j -0.00378631+0.000243027j -0.0272032-0.00295507j -0.0110818+0.00115024j 0.0113389+0.00243872j -0.00110664+0.00170947j 0.00864038-0.00140115j -0.00342247-0.00213662j 0.000465681-0.00145929j -0.00714772+0.00303068j 0.00259355+0.000874705j -0.00124177-0.000989146j 0.000147354-0.000145688j 0.000117077-0.000620066j 0.00859535+0.0018103j -0.00184589-0.00537866j 
-0.000476838+0.00826052j 0.0120776-0.00286482j 0.00258343+0.00841256j 0.000319505-0.0087734j 0.0157198+0.00475628j 0.00153193+0.002569j 0.00532813-0.00578246j 0.017343-0.00463686j 0.0143071-0.011946j -0.000978795-0.00132514j 0.00443742+0.00209384j -0.00147121-0.00133927j -0.00694588+0.00208984j -0.00143091-0.00216385j -0.00281021-0.000741j -0.0126243-0.00204512j 0.0133849+0.00418905j -0.00594084-0.00182662j -0.00333379-0.0032086j 0.0155078-0.00407353j -0.0142118-0.00650127j -0.00141669-0.00285672j -0.00509444-0.00706971j 3.1704e-05-0.000234719j -0.0038912+0.00645378j -0.0061034-0.00776915j 0.0174829+0.00226044j 0.00275918-0.00243575j 0.00599859+0.00475872j 0.00389805-0.00524286j 0.00481174+0.000700261j -0.000348327+0.000700896j 0.00792544-0.00124823j -0.00442123+0.0010824j -0.00686396+0.00246428j -0.0265767+0.00108342j 0.00639055-0.00304486j 0.00771988-0.00286798j 0.0285503+0.00180707j 0.0154458+0.00370992j -0.0130655-3.2665e-05j 0.00284673+0.00305293j -0.0061135-0.00236879j -0.00073401+0.00216039j -0.00797762-0.00259808j 0.00208131+0.00283864j -0.006334-0.00269079j -0.0110217+0.000655963j 0.00160846+0.00148871j -0.00291315+0.00427538j 0.00123034-0.00178805j 0.000309329-0.00432331j 
-0.0104416+0.00497036j -0.00558282+0.0022912j -0.00519738+0.00659521j -0.00273231-0.00130106j 0.00304822+0.00427318j -0.00546663-0.00181937j -0.00654923+0.00288949j -0.0142484+0.00589256j -0.00484701-0.00209458j 0.00216018-0.0013898j 0.0128425-0.0025052j 0.0297735-0.00395954j 0.0102405-0.0034268j 0.00762701-0.0056045j 0.0264001+0.00637875j 0.00208907+0.000411074j -0.00742281-0.0108063j -0.00309025+0.00356308j -0.00240131+0.00111155j -0.0088545-0.000661926j 0.00349573+0.000487597j 0.00634523+0.00198751j 0.00630071-0.00036411j -0.00675851-0.00247477j -0.00765036+0.00118535j 0.00915377-0.00439746j 0.00842562-0.00300914j 0.00281861-0.00530534j -0.00251113-0.00316453j 0.0117627+0.00657899j 0.00133676-0.00151769j 0.00130748-0.000145432j 0.0101733+0.00311467j -0.00595763-0.00133055j -0.00819898+0.000648117j -0.0199677+0.00418707j 0.0065657+0.00195216j 0.0108548+0.00339824j 0.0254208+0.00198359j 0.00949771-0.000725317j -0.00983711-0.00142085j -0.00685825-0.0076706j -0.00263771+0.000308966j 0.000804129-0.00142944j -0.00363197+0.0016267j -0.00468433+0.00225708j -0.0008406-0.00238824j -5.7985e-05-0.000509397j -0.0031255+0.00341123j -0.000861073+0.00134836j 0.00636779+0.00122413j -0.000781866-0.00402563j 
