-0.0120714-0.0073143j 0.0087904-0.0123673j -0.00204876+0.00884461j -0.0130987+0.00967712j -0.000401836-0.000875527j 0.00948883+0.0080439j -0.000893461-0.00351024j 0.00666076-0.00621963j -0.00126143+0.00820748j -0.00908057-0.010821j 0.00676388-0.0106805j 0.0275253-0.00849345j 0.00347435-0.00938641j 0.0112158-0.000660693j 0.00744349+0.0189638j -0.0132839+0.015365j -0.00482208-0.00106884j 0.000640722-0.00651907j 0.00890539+0.0113593j -0.00369838+0.00586117j 0.000937134-1.7174e-05j -0.00877721+0.00435207j -0.00174791+0.000310446j 5.75417e-05+0.00502486j -0.00814842-0.00305817j 0.000569795+0.00909774j -0.000170842-0.00295653j 0.00555455-0.00448592j -5.3166e-05+7.94019e-05j 0.00590874-0.00225473j 0.0127035-0.00909099j 0.000733616-0.00430722j 0.00805707+0.00433157j -0.00505981-0.00057653j -0.000480477+0.00546273j -0.00551547+0.00129902j 0.0108565+0.00820908j 0.00451437+0.00213356j 0.00683708+0.00879462j -0.00830125-0.00183694j 0.0206972-0.000259187j -0.00568045-0.0454958j 0.0437191+0.0047872j 0.0184221-0.0230033j -0.0123482-0.00590363j -0.0101429-0.0309807j -0.0083755+0.00544142j 0.00330468+0.00806207j 0.00359047+0.000657061j 0.0013734-0.000733725j 0.00124669-0.00127268j -0.00116857+0.000486041j -0.00147444+0.00340207j 0.00111725-0.00517017j -0.00751687+0.00174335j -0.015168+0.00727849j 0.00922943+0.00500495j 0.00974206-0.00397955j -0.00141689-0.00710994j 0.000120726-0.0143291j 0.00682495+0.011513j -0.000226133-0.0203437j -0.00269657-0.0138812j 0.000826311+0.0129396j -0.00293876+0.00649288j 0.00297013-0.0186996j -0.0224789-0.0154922j 0.00292412-0.0547248j -0.0520433+0.00189476j 
-0.00601849+0.0121113j -0.00954337-0.00704647j 0.01034+0.00144196j 0.00931875+0.0124074j -0.00433889+0.00553113j 0.00862559-0.00238015j 0.00884333-0.00781888j 0.00316508+0.00406525j -0.00105512-0.00523682j -0.000363155+0.00991101j 0.000615355-0.0116572j -0.00606187-0.016887j 0.00354158-0.00263383j 0.0033673-0.00840308j 0.0156179-0.00655292j 0.0168273+0.0100047j -0.00288295+7.72007e-05j -0.00940648+0.00024106j -0.00345571-0.000897877j 0.00755783+0.000501315j 0.00210695-0.00720026j 0.00346069+0.00401985j -0.0069176-8.65783e-06j 0.00132261+0.00542331j 0.00327197+0.0109614j 0.00304559+0.00194788j -0.000994869-0.00383209j -0.0039445+0.00135523j 0.000484051+0.0007421j -0.00485449-0.00163102j -0.0133478-0.00389965j -0.00383798+0.00945499j -3.26204e-05-0.0081074j -0.000267238+0.00390961j -0.000274664+0.00472542j 0.00320387-0.000884185j 0.00301846-0.00697279j 0.0021284+0.000435773j 0.0178667-0.00405951j 0.0225441+0.0108164j -0.0112716-0.0391045j -0.0420035+0.00454377j 0.0214003-0.0364815j -0.0216019-0.0216613j -0.00688295+0.00904573j -0.0248549+0.00462314j 0.00183089+0.0087266j 0.00368253-0.00728613j 0.00534621-0.0131343j -0.00166744-0.00498145j -0.00149559-0.000612157j 0.000703174+0.00222055j 0.00138803-0.00162249j -0.00564484+0.0061326j 0.00895587+0.020106j 0.00386263+0.000273101j -0.00814906+0.00227291j 0.00803781-0.0214276j -0.0124402+0.00165243j -0.00168762-0.00836312j -0.00365734-0.00954673j 0.00636005-0.00821171j -9.76627e-05+0.0089702j 0.0157996+0.000459617j 0.00728464+0.00337401j -0.0206778-0.00207107j 0.00310183+0.0223957j -0.0552375-0.00577906j -0.00618991+0.0540068j 
-0.00669118-0.00774459j -0.00128779+0.00886304j 0.00168482+0.000141862j 0.00897301-0.00876728j -0.0223369+0.0150144j 0.0147015+0.000707517j -0.00154934+0.000399037j -0.018967+0.000764102j 0.00417934+0.00166932j 0.00960343-0.00293197j 0.031774-0.00156969j -0.0151097-0.00166898j 0.0183366+0.00849942j -3.99064e-05+0.00327177j -0.0239345-0.0078461j -0.0149242-0.0243857j 0.00938327-0.0072358j 0.009934+0.00852001j 0.000399806+0.00602553j 0.00045517+0.00888813j 0.000718471-0.0181876j -0.000511582-0.0101648j 0.00016892-0.00655946j 0.000679126+0.00967581j -0.000110171+0.000524433j 0.00205922+0.00219276j -7.55886e-05-0.0152278j -0.000421779+0.00709959j -0.000388222-0.00266187j -0.0052716-0.00188812j -0.00357447-0.00146066j -0.00235118+0.00186017j -0.00204318+0.00233948j -0.00229114-0.00282863j -0.00425834-0.0148411j -0.00259879-0.00611222j 0.00642587+0.000176151j 0.00193172+0.00568289j -0.00607876+0.0208127j 0.00149356+0.0122696j -0.00342388+0.00523153j 0.00850615-0.00546715j 0.000903594+0.00209959j 0.00347726+0.00688843j -0.00114312+0.00285479j 0.00270906+0.00507813j -0.00291787+0.00543407j 0.00184277-0.00698283j -0.00055325+0.00315187j -0.00157448-0.00120076j 0.00138108-0.00253091j 0.00321231-0.0019819j -0.000565674+0.00205175j -0.00337771+0.00201827j -0.00186625-0.00107142j -0.00159541+0.00589957j 0.00236623-0.00390834j 0.0026019-0.0024314j 0.00328816-0.00356357j -0.00551106+0.00290376j -0.000133868+0.00763346j -0.00277159+0.00175304j -0.000442795+0.0045566j -0.000882197+0.00243857j -0.00138901+0.000313579j 0.0028426-0.00157269j -0.00542637+0.00232019j 0.0094203-0.00876343j -0.00987215-0.0024065j 
0.00506003+0.0126888j 0.00689061-0.00570819j 0.00916256-0.0143787j -0.0143685-0.00030747j -0.00876925-0.000927243j 0.0305503-0.00248427j 0.00483445-0.00373379j 0.0230235-0.00846616j -0.0122872+0.00033622j 0.000662015-0.00074804j 0.00643213+0.000579543j -0.0276954-0.00566574j -0.0262766-0.00805616j -0.00385643-0.0141871j 0.010992+0.0126327j -0.00250727-0.0084986j 0.0102431+0.00794722j -0.00279041+0.00404242j 0.00807453+0.0111848j 0.00224057-0.0175845j -0.0020677-0.00944799j -0.00635133-0.00517725j -0.000105673+0.00081755j -0.00303652+0.00614451j -0.0032321+0.0151384j -0.00317448+0.0112114j 0.00135452-0.00688815j -0.00202684+0.000620808j 0.000832195-0.00254115j 0.00307843-0.00273602j 0.00780145-0.00589986j -6.9763e-05-0.00651396j 0.00178394+0.00474613j 0.00374997-0.00384097j 0.00192369+0.00314444j -0.00644524+0.00682556j -0.00196018-0.00325028j 0.000155075+0.0154466j -0.00290249-0.00917131j 0.00472833+0.0160066j -0.000307507+0.0087858j -0.00343541+0.00641751j -0.000490559-0.00165904j -0.00334778-0.00795074j 0.00369837+0.00316771j 0.00186353-0.00398343j 0.000838687-0.00839431j 0.00333381-0.00712249j 0.000503902+0.00566798j -0.0016815+0.00534555j -0.000565985+0.00111642j 0.00236945+0.00108407j 0.00298317+0.000815399j 0.00161524+0.0050563j 0.00314332-0.00355503j -0.000851011+0.000953879j -0.000421939-0.00314589j 0.000643035+0.00507753j 0.00490272-0.000213124j -0.00102744+0.0106014j 0.000378732+0.00226613j 0.000881057+0.006777j -0.000650836-0.00649646j -0.0012322+0.00184741j 0.000110145+0.000854258j -8.17518e-05-0.0025032j 0.00324367-0.00164278j 0.00258213+0.00566386j 0.00969012-0.00734352j 
0.00171703-0.00942222j 0.00073767-0.00624976j 0.00300403-0.00494829j 0.00431527+0.0064921j -0.00311596-0.0156166j -0.00285114+0.00288888j 0.00203702-0.0036644j -0.00471079+0.00836616j -0.00463216-0.0263408j 0.0125486-0.0118727j -0.000814777-0.0249223j 0.00447539+0.00303637j 0.00470947+0.00700927j 0.0142268-0.0182472j 0.0242504-0.000463822j 0.00738924+0.00146372j 0.00181277+0.00784314j 0.000855251-0.00610098j 0.0132764-0.000731866j -0.00802095+0.00638242j 0.00505064-0.00519909j 0.000604595+0.0115148j -0.00571292+0.00581522j -0.00106788+0.00269338j -0.0165558+0.00169671j 0.00401041+0.00523014j 0.00776395+0.00675744j 0.00207208+0.00355974j -0.00580335+0.0024164j -0.00367138-0.00397656j 0.00970347-0.00690496j 0.00240504+0.0149647j 0.00453299+0.017189j 0.0134149-0.00788385j 0.00874518-0.00441215j -0.0067493-0.00643524j -0.00187267+0.0202592j -0.0106513+0.00321087j -0.00241261-0.00875994j 0.00806769+0.00597479j 0.00457783+0.0119162j 0.0232385+0.00659651j -0.00686556+0.0144885j 0.00191532-0.00712578j -0.000909762-0.00292034j 0.0112135+0.0135299j -0.0100022-0.00329334j -0.00418497+0.000249582j 0.0066998+0.0171567j -0.00193977-0.0023403j 0.0018094+0.000567478j -0.000818505-0.00119418j -0.00124833-0.00470217j 0.00459701-0.00545818j 0.00134095-0.0110328j -0.00898219-0.00214393j 0.00186307+0.00113893j 0.00629059+0.00578745j -0.00674572+0.00713327j -0.00384356+0.00448462j -0.0127881+0.00373464j -0.00285612+0.00271936j -0.00911624+0.0164721j 0.00554494+0.0102639j -0.00108+0.00794932j -0.0118186-0.0120334j -0.00772741+0.0131582j 0.0122674+0.0118709j 0.00505726-0.0123324j 
-0.000573632+0.000886866j 0.00495095+0.0078998j -0.0058286-0.00125998j -0.00294214+0.00304774j 0.000796452+0.0166093j -0.00659997-0.00470265j 0.00591174-0.0156885j -0.00706209-0.00549857j 0.00633079-0.00535264j -0.00601424+0.0089751j -0.00378576+0.0129598j 0.00439257-0.00847507j -0.000138645-0.00548208j 6.46256e-05-0.00746526j 0.0010419+0.00499008j 0.0060826-0.00818716j 0.00405239-0.0103534j -0.00920446-0.00259247j -0.0117037-0.0100113j -0.0021927+0.00680071j -0.00145307-0.0170852j -0.00269139+0.0197228j -0.00673265+0.00769851j -0.00273282+0.0132387j 0.00379552-0.00627853j -0.00958714+0.0120685j -0.00207591+0.00607525j -0.00372455+0.0151999j -0.00513605+0.00174572j -0.00013993+0.00402534j 0.00520984+0.0151541j 0.00580633+0.0261029j -0.0108936+0.0157414j 0.0111272-0.0114326j -0.000979841+0.00933579j -0.00646377-0.0155197j -0.00993145+0.0220774j 0.00223975+0.0179895j -0.016686-0.0163487j 0.00620389+0.00397515j -0.00487439+0.00172858j -0.00627275+0.00764284j -0.00880648-0.00781102j -0.00277497+0.000505348j 0.000773753+0.00311226j -0.0083019-0.00532871j 0.00599224+0.00724096j -0.000367713-0.0034188j -0.00211732-0.00525265j -0.0024525-0.00444597j -0.000707797+0.00682744j -7.31144e-05+0.00547991j 0.00151725-0.00334437j -0.000361618+0.00148321j -0.00133404-0.0123385j 0.000917865-0.00286512j -0.000724211+0.0066859j -0.00107341+0.00582834j -0.000214618+0.0110049j 0.00132982+0.00976481j 0.00430714+0.0108997j 0.00149288+0.00480587j -0.00190485-0.00871592j -0.00231346-0.00492039j -0.000839341-0.00455841j 0.00287515+0.00681418j 0.00160227+0.000172588j 0.0141772-0.00426547j 0.00675716-0.0107886j 
-0.00409997+0.00723199j 0.00322253+0.0120517j -0.00291335-0.0101558j 0.0020913+0.0059759j 0.000163328-0.0225505j 0.00376512+0.0101745j 0.000635691+0.00877095j 0.0013864-0.000197649j 1.04673e-05+0.00339404j -0.00486088-0.00763823j 0.00833389-0.0259345j -0.0021076+0.00247037j -0.00211167+0.00486448j -0.0066027+0.000881125j 0.00948366-0.017013j -0.00823363+0.00344182j 0.00225949+0.00887877j -0.00429287+0.00105533j -0.0109983+0.00742424j -0.00414167+0.000329412j -0.00767712+0.00929723j -0.0120456-0.00481595j -0.00883734+0.00590864j 0.00605008-0.00278036j 0.0105691-0.00271916j -0.0159561+0.00232568j -0.00590562+0.00156461j -0.0118793+0.00106403j -0.00300969+0.000110547j -0.00276832+0.00126782j -0.00757178+0.00807349j 0.0139254+0.000898938j -0.00971125-0.0139109j 0.0139869+0.00554779j 0.00993365-0.000908187j 0.00196445+0.00530696j 0.0120075-0.00790195j 0.00339385-0.00128176j 0.00247117-0.00929468j -0.00756853+0.00606425j -0.00533877-0.00900062j -0.0117477+0.0060685j -0.0112421-0.00566398j -0.0112577+0.000992134j -0.000833145-0.00519063j -0.0140379-0.00596561j 0.0115437+0.0122012j -0.00128443-0.00914961j -0.00681013-0.0126567j -0.00410156-0.010762j 0.00182891+0.00657716j 0.00198668+0.00400022j -0.000106888-0.00987092j 0.000135007+0.00342331j -0.00368367-0.00502137j 0.00205934-0.00204981j -0.00240146-0.00152704j 0.00160744-0.00525179j -0.00190784+0.0153115j -0.00349356+0.00889014j 0.0101177-0.00313952j -0.00714006+0.0029513j 0.002462-0.00363458j -0.00278271-0.00303478j -0.00216727-0.00177762j 0.00104458+0.00640319j 0.00310936+0.00220267j 0.00362045-0.0113805j 0.00534059+0.000356278j 
0.00119273+0.000790316j -0.000865722+0.000206931j 0.00345919+0.0123381j -0.00263766-0.00291681j 0.00168295+0.00967359j -0.000584857-0.0107227j -0.00600207-0.00169972j -0.0009499-0.0184322j -0.000234084-0.0288908j 0.00730048-0.0152844j -0.00311171+0.0139975j 0.00293465-0.00179032j 0.0010515-0.00400946j 0.00373062+0.00254746j -0.00269427+0.00463512j -0.000213136+0.00346088j -0.0010938-0.00255315j -0.0043341+0.00706081j -0.000972515+0.00708464j -0.00720918+0.00688476j 0.0102036+0.00509335j 0.00264408-0.00867403j -0.00776134+0.000380152j 0.0192123-0.0147047j -0.00391923+0.00617773j -0.0109088-0.00564419j 0.000175936-0.00382283j -0.0127447-0.00822093j -0.0199663+0.000657557j -0.00906615+0.00136963j 0.0059669+8.05554e-05j 0.00843375-0.0092245j 0.00231642-0.0107714j 0.00601721+0.00950768j -0.0178539-0.00831992j 0.0103593+0.00564243j 0.0098099-0.00447053j 0.00701914-0.00158634j -0.00572985+0.00531625j -0.000933943-0.00154439j -0.000124688+0.00144547j -0.00360106+0.000900578j 0.00356004-0.00402806j -0.00355449-0.000909397j -0.00145376-0.0137004j 0.0026259-0.00163377j 0.00277303+4.45013e-05j -0.00263887-0.00594894j 0.00157777+0.00524453j -0.00473842-0.0184388j 0.00162331+0.0101922j -8.58551e-07+0.0077401j -0.000867697-0.00619602j 0.000863854+0.000929255j 0.00221285+0.00038595j -0.00120111+0.00731517j -7.47677e-05-0.000269407j 0.000822308+0.000736556j -0.00333092+0.00886449j -0.00449405+0.0114335j -0.000846891-0.00711487j 0.00535563-0.0131053j -0.000884533+0.00319402j -0.00348259+0.00740065j -0.00230724+0.00407852j 0.00378891-0.0097719j -0.000217884-0.00108553j -0.00487043+0.000246547j -0.00107835+0.00433401j 
-0.000876215+0.000692471j 0.00117227+0.00798983j 0.000663091+0.010174j -0.000134897+0.00585557j -0.00529442-0.00118803j 0.00139705-0.00975734j -0.00524357+0.00506447j -0.00352985-0.0209135j -0.00145869-0.0307987j 0.00538258-0.0180614j -0.00133053+0.000321373j 0.0042273-0.00354579j 0.00219706-0.0028132j 0.00145512+0.00260289j 0.000429243+0.00395141j -0.000773409+0.00115497j 0.00210615+0.00127657j -0.00627838+0.00767091j -0.00927588+0.00338622j 0.00154016+0.00361914j -0.00747423+0.00574386j -0.00104138-0.00708232j 0.00301588-0.00228314j -0.00264438-0.0028416j 0.00538485-0.000146602j -0.0064973-0.000196319j -9.98094e-05+0.00149087j 0.0231276-0.00381513j 0.017282-0.00155578j 0.0132397-0.00272767j -0.0118821+0.00615848j -0.00746964-0.00160633j -0.00719171-0.00243253j -0.00991742+0.00685497j 0.0130479+0.00596463j -0.00680389-0.000981342j -0.0152966-0.00625526j -0.00322554-0.00100761j 0.0045783-0.00515262j -0.00119701+0.00728056j -0.00517794+0.000325488j -0.00770351+0.0038949j -0.00851605-0.00418146j 0.00131832-0.00177744j -0.00306733+0.00498312j -0.00518058+0.00272641j 0.00160274+0.0019711j 0.00415866+0.00633248j -0.00693216-0.0137997j 0.00255796+0.019412j -0.00100828-0.0123917j -0.00309221-0.00943648j -0.001135+0.00627176j -0.00224994+0.00501642j 0.00348032+0.0011864j 0.00149291-0.0141371j 0.00570655-0.0048601j 0.00320397+0.000669836j -0.000836717-0.00212625j 0.00157425-0.00564585j 0.000138724+0.00211213j -0.0013219+0.00882195j -0.00187392-0.00465262j -0.000513625-0.0047754j -0.00114015-0.00332321j 0.00193091+0.00520554j 0.000656377+0.00286311j 0.000668222-0.00140543j 0.00499319+0.00151486j 
-0.000775297+0.00155471j 0.00147047-0.000434659j 0.00215301-0.00552179j -0.000531144-0.00587363j 0.00267514+0.00247707j -0.000172307+0.0042693j 0.00328821-0.00423411j 0.000646308+0.00925186j -0.00241056+0.0143922j -0.0038729+0.0102543j 0.0013188+0.00306961j -0.00437963+0.00260599j -0.00260275+0.00232825j -0.00236791-0.00261711j 0.00245892-0.00283893j -0.000360117-0.00296092j 0.00147111-0.00270017j -0.00122143-0.00394298j 4.52241e-05+0.00175617j -0.0119211+0.00691543j 0.00265271-0.00190578j 0.00196245+0.000998969j -0.00875187+0.00368133j 0.0268171+0.000666227j -0.0151066+0.00341473j -0.00690896+0.00295936j 0.00719398-0.00543328j 0.0239251-0.000174382j 0.0235117+0.00218103j 0.0162472+0.00337407j -0.00886896-0.00422033j -0.0112645-6.46647e-06j -0.00995818-0.000192812j 0.0167647-0.00170589j -0.0151437-0.00805537j 0.0133297+0.00790301j 0.0114735+0.000617803j 0.000210333+0.00243875j -0.00467244-0.000696007j 0.00237458-0.00117531j 0.00180297+0.00481159j 0.00527074-0.00258045j 0.00380926-0.00370002j -0.00901246-0.00409253j -0.0065575-0.0289728j 0.00590776+0.00450156j 0.00490326+0.00227283j 0.000709531+0.00403659j 0.000823036-0.00528307j 0.00201576+0.00350262j 0.00145657-0.0130301j 0.00209721-0.0112567j 0.000155806-0.00677775j 0.000456876+0.00488686j -0.00331944+0.00125759j 0.00172144-0.022583j 0.00121762-0.0273381j -0.0025685+0.00220221j -0.00149748+0.0101404j 0.000212648-0.00403838j 0.00209261+0.00496987j 0.000996395-0.013847j 0.000939677+0.00538204j 0.000540673+0.00405798j -0.00100146+0.00200422j -9.7456e-05-0.00319054j 0.000239534-0.00163294j 0.00224501-0.00207341j -0.00287219-0.00211189j 
0.00255311-0.00335877j -0.0044566+0.00360495j 0.00498519+0.0113045j 0.00108042-0.00655709j -0.00570934-0.011975j 0.000937043-0.00336503j 0.00112237+0.026132j -0.00807934-0.0204462j 0.00824614+0.022169j -0.00333763-0.0138649j 0.00171225-0.000562534j -0.00256385-0.00550845j -0.00186421-0.00544435j 0.00532857+0.0142807j -0.00852651+0.011422j -0.00205537+0.0232396j 0.000945219+0.00964124j 0.00137236-0.00295716j -0.00132121-0.00770578j -0.00238379-0.00322604j 0.000703826-0.0147166j 0.000226515+0.00955739j 0.00280113+0.0054859j 0.00480721+0.00260036j -0.00189844-0.0107259j -0.00450865+0.01025j 0.00105402+0.00967353j 0.0023408+0.0133441j 0.00154686+0.00120054j -3.4222e-05-0.000900754j -0.00134174+0.00878933j 0.00303466+0.0264933j 0.0030539+0.023061j -0.00236823-0.00400434j -0.00753531+0.00774886j 0.0134801-0.010917j -0.000432614+0.00947187j 0.00144734+0.00615853j 0.0089425-0.0156473j -0.01146+0.00781414j 0.00266815-0.00217153j -0.00454795+0.00136141j -0.000863152-0.00757134j 0.00241064-0.00587454j -0.00219233+0.00178614j 0.00380743+0.00572711j -0.00520323+0.00144162j -0.00141611-0.00128131j -0.00231299+0.00734644j 0.000961008-0.00385616j 0.000701894-8.0168e-05j 0.000380284+0.000682621j -0.000114899+0.00269862j 6.90131e-05+0.00403545j 0.00546308+0.0065601j 0.00279672+0.00120571j -0.00263252+0.00327414j 9.8458e-05-0.00430014j -0.00220243+0.00295694j -0.00065394+0.00269921j -0.00835667-0.0103706j 0.00383232+0.0028704j -0.00164071+0.00786685j -0.00104156+0.0049351j -0.00127972+0.00482613j 0.00219479-0.00798343j -0.000695785+0.0114118j -0.0125724+0.0107819j 0.00623485+0.0139831j 
