-0.465563+0.155339j -0.087554-0.0565411j -0.164605+0.10282j -0.0360848+0.051485j 0.00591871-0.00103366j 0.0361966+0.0303041j -0.086834-0.0056414j -0.0374964-0.021064j 0.00902185+0.0225026j -0.0121202-0.0233296j 0.0154853-0.000556328j 0.00894961+0.0173366j -0.0176147-0.0104799j 0.0419896-0.00920158j -0.0308121-0.002397j 
0.0963442+0.139997j 0.127478-0.203619j 0.0160949+0.0908016j -0.0356155-0.0527957j -0.018972-0.0118705j -0.0257579+0.0132119j 0.0700881+0.0142005j 0.0138174+0.00656187j -0.013491-0.0130042j -0.0114076-0.0177763j 0.0176203+0.029625j -0.0199995-0.0316457j 0.0104783-0.00557223j 0.00434131+0.0186851j 0.0131258-0.0053437j 
-0.0767829+0.00614117j -0.408845-0.616875j -0.0570893-0.096098j -0.0418394-0.0618681j -0.014734-0.0269635j -0.00602736-0.0535198j 0.0192555-0.0125745j 0.0424324+0.0689615j 0.0174445+0.00105019j 0.031332+0.0496773j -0.000188045-0.0327272j 0.010535-0.00619744j 0.00756113-0.0363725j 0.000436706+0.00502944j -0.00489633-0.0342264j 
0.297391+0.112667j 0.164686-0.185361j 0.121604+0.00705345j 0.0537438-0.00565808j -0.0861697+0.0337298j -0.0219083-0.0308838j 0.0944033-0.0178949j 0.0101827+0.013255j -0.00454971-0.0134515j -0.0450817+0.0079461j 0.025508-0.000306839j -0.0199628-0.0230137j -0.0107141-0.0278495j 0.00328789+0.0025726j 0.013303-0.0158427j 
-0.337692+0.490968j 0.154717-0.315491j -0.182809+0.22856j 0.0380322-0.0514936j -0.0235998+0.0921637j -0.0143503+0.0105074j -0.0520332+0.0226346j -0.0325695+0.0302394j -0.00312084-0.00976716j -0.0129846-0.00703813j -0.0112227+0.0242465j 0.00579253-0.0365286j -0.0450631+0.0243543j 0.0397071-0.00841887j -0.0254466-0.00028918j 
0.152638+0.0719483j 0.0200335-0.245997j 0.0375684+0.0292502j -0.0349923-0.0578632j -0.0143142-0.0259037j -0.0243345+0.00919435j 0.0633836-0.0186721j -0.0313669+0.0161755j 0.00440541-0.0229081j -0.0167335+0.047169j 0.0042695-0.0341653j 0.000838085-0.010723j -0.0393433-0.00276912j -0.0195192+0.00662789j 0.0113766+0.00901596j 
-0.305192-0.0414288j -0.360496-0.166332j -0.167102-0.0588624j -0.0160447-0.0653295j 0.0861904+0.00665986j -0.0169126-0.0177449j -0.0593122+0.0105443j 0.0260635-0.030336j 0.0283585+0.0212856j 0.00346597+0.0129272j 0.0246657-0.0252834j 0.00853175+0.0292527j -0.00152801-0.0444396j 0.00734926-0.0296406j -0.0439108-0.00466323j 
