0.0409396-0.00449661j -0.0311502+0.0412391j -0.000155531-0.052643j 0.0126886+0.00556767j 0.0133934+0.0718005j -0.0119663-0.00187144j -0.0401702-0.0261475j -0.0311598-0.00020068j 0.0055654-0.0151375j 0.0386337-0.00218447j 0.0513386-0.00277947j -0.014255+0.00244991j 
-0.103599-0.102415j 0.00673158-0.0147312j 0.0612454-0.0162357j -0.047733+0.0135492j 0.00528361+0.030519j 0.0591434+0.0224586j 0.0086059+0.0141014j -0.0176845-0.00531355j -0.00608969+0.000994287j -0.0105303-0.0045634j 0.0145173-0.00634428j 0.00692411+0.00560102j 
-0.0214422-0.0196627j -0.0683961-0.0331561j -0.119949+0.0103242j 0.0504714+0.00489308j -0.0525974+0.00539113j 0.03722-0.000737974j 0.0318597+0.00860941j -0.012633+0.00661657j -0.00281572+0.00317495j -0.0065473-0.000744226j -0.00544296-0.0056863j 0.0100647+0.00837661j 
-0.035077-0.155361j -0.0337982-0.0461582j -0.0234803-0.00249336j 0.0288186+0.0102657j -0.00126157+0.0195563j -0.0333433+0.0294018j 0.0420165+0.0281041j -0.0410417-0.0180333j -0.0416152+0.00380776j -0.00402789-0.0135231j 0.0203704-0.0182348j 0.00444383-0.00672134j 
0.093512-0.0024286j 0.0695121+0.0416459j -0.0214619-0.0554175j -0.0309544-0.0193492j -0.0673907+0.0252064j -0.08711+0.0503225j -0.0226063-0.0266035j -0.0549112+0.0261396j -0.0137832+0.041728j 0.0232659+0.0183803j 0.00225371-0.0134983j -0.0135574+0.00027271j 
0.0446113-0.0333167j -0.0714179-0.10318j 0.0845794+0.0313499j 0.0435957+0.0450302j -0.00522479+0.0135104j -0.0656877+0.024985j 0.030637-0.00910661j 0.0335356+0.0634j -0.0163153+0.0315563j -0.0120632-0.0274932j 0.0105704-0.0227183j 0.013973+0.00413002j 
0.0302851-0.011478j 0.0419578-0.0741132j -0.0231246+0.0373728j 0.0289707+0.0503891j 0.0847157+0.0425027j -0.0945779+0.00107989j -0.0357794+0.034405j 0.0168576+0.00171194j -0.0147633+0.036805j 6.86035e-05+0.0554885j 0.0179892-0.0726704j 0.0172784+0.000310209j 
0.0197534-0.0126698j 0.0809907-0.0446444j -0.0343005+0.0481596j -0.0625838-0.00988496j -0.0996581-0.0470834j 0.00592385+0.0516693j -0.0821192+0.0365153j -0.00655414-0.0176554j 0.00248807-0.0144988j -0.0448534-0.0229564j 0.0423933-0.019794j -0.00925128-0.0351643j 
-0.000662475-0.00186108j -0.0348418+0.0555138j 0.0172641-0.020531j 0.0419333-0.0743267j 0.0529825-0.110953j -0.0133425+0.0528718j 0.0595653-0.05015j -0.00238709-0.0155024j -0.0557342+0.0260851j -0.0415769+0.0251357j 0.0197241+0.0110745j -0.0592711+0.101683j 
