-0.139949+0.328373j 0.0408064+0.0187221j -0.0363924+0.0208998j 0.0155284-0.011154j 0.00719745-0.0204327j 0.0228903+0.00873235j -0.0197342+0.0066198j -0.00590051+0.01312j -0.00618993+0.00635045j 0.019362-0.0173899j 0.00126957-0.0121885j 0.00674476+0.00675668j 0.00870797-0.00731789j 0.0102333+0.00524951j 0.0161126-0.00876582j 0.000695532-0.004087j -0.00573748+0.000441917j 0.00549677+0.00015624j 0.0079839-0.00217411j -0.00205475+0.00303223j -0.0058732-0.00048494j -0.00135442-0.00369125j 0.00512821-0.00730328j 0.000703918-0.00235529j -0.00130438+0.00181543j -0.00718811+0.00204644j -0.00246513+0.00421191j -0.00109664+0.00129693j -0.000828163-0.00405244j 0.000172345+0.00204047j -0.00118034-9.22586e-08j 0.00963232-0.00570097j -0.0015201-0.00086703j 0.00182064-0.00206788j 0.00563159-0.00280863j 0.00720257-0.00610648j 0.011057-0.00603059j 0.00880227-0.000337817j -0.00543966+0.00593823j -0.0102402+0.00273087j 
0.336238+0.143993j 0.0202561-0.0417336j 0.0185766+0.0368013j -0.00984841-0.0155018j -0.0203212-0.0059155j 0.0104452-0.0228894j 0.00656806+0.0158489j 0.0111355+0.00408419j 0.00527846+0.00269584j -0.015855-0.0181318j -0.0113347-0.00331046j 0.00702042-0.00727312j -0.0086108-0.00480655j 0.00795696-0.0119216j -0.00950278-0.0126656j -0.00577481+0.000885926j -0.00115271+0.00629197j 0.000119827-0.00692864j -0.00329655-0.00646769j 0.0022727+0.00271167j -0.00229592+0.00563758j -0.00376053+0.00281634j -0.00700742-0.00471716j -0.00124553-0.00259566j 0.00264234+0.000262479j 0.0026424+0.00751134j 0.00374763+0.00259271j 0.00134536+0.000484037j -0.00630283+0.00188926j 0.00293075-0.0021262j 0.000300183+0.00177647j -0.00545556-0.0104765j -0.00121276+0.00380128j -0.000337719-0.0025699j -0.0020172-0.00570132j -0.00524596-0.00530973j -0.00758498-0.0103675j 0.00319433-0.00808169j 0.00809847+0.00513499j 0.00214318+0.00994431j 
0.0997308+0.184966j 0.0108779+0.0267522j -0.000420877-0.00757256j -0.00359934+0.00736966j -0.0175657+0.0196157j 0.0236694+0.00442818j 0.0081258-0.0175231j -0.00602584-0.0114458j 0.000881631-0.015548j 0.00275819+0.000837526j -0.00359521-0.00831459j 0.0129218-0.00714896j -0.00356346+0.0164719j 0.0121446-0.0159152j 0.00819386+0.0175863j 0.00533077+0.0133116j 0.00279271+0.0067621j -0.00466457-0.00762285j -0.000603298+0.0111972j -0.00621108+0.00846942j 0.00148796+0.00478143j 0.00972354+0.00224446j 0.00434053+0.00391341j -0.00616417-0.00236787j -0.00454278-0.00670837j -0.0104472+0.00671596j -0.0103562+0.00699592j -0.00112142-0.00448731j 0.00320211+0.0124785j -0.00585002-0.0144984j -0.00408211+0.00488947j 0.0102791-0.00390651j 0.0120513-0.000542438j -0.00024907-0.00542481j 0.00905835-0.00439025j 0.00897845+0.00660236j 0.00699834+0.014464j 0.00492539-0.0179197j -0.000343709-0.0171648j 0.00182961-0.00192612j 
-0.270369+0.0907103j -0.042298+0.010386j 0.0171927+0.00626162j -0.013059-0.00564258j -0.0203854-0.0260982j -0.00800911+0.0304653j 0.0129425+0.0152477j 0.0135733-0.000303732j 0.0149502+0.008063j -0.00106993-0.00261132j 0.000654188-0.00490614j 0.00552388+0.0163692j -0.0139757-0.001945j 0.0115952+0.00772052j -0.00813218+0.00696308j -0.00209376+0.00872144j -0.00106361+0.00928918j 0.00167533+0.000130988j -0.000724568-0.00113326j -0.00946773-0.00274013j -0.00178775+0.00825877j 0.000599365-0.0011284j 0.00220781-0.00638239j -0.0105354-0.00808147j 0.000951207-0.00914988j -0.00476726-0.000116712j 0.00161779+0.00244849j 0.00060916+0.00139997j -0.0017189+0.00471092j -0.00362132+0.000368567j -0.000210617-0.00893289j 0.00641729-0.00185431j 0.00950777+0.00532728j -0.00385702-0.00744145j 0.0029829+0.000643051j 0.00241001-0.00920802j 0.00173657+0.00474369j 0.0113601-0.0128769j 0.00586707-0.0035831j 0.00102361+0.00446244j 
0.120194-0.163077j 0.026679-0.0345268j -0.013871+0.0167024j 0.00923077+0.000502135j 0.0164243-0.0078821j -0.0145647+0.0115536j -0.0054469-0.00262192j -0.000504+0.00190037j -0.000235377+0.00900374j 0.0011232+0.0171874j 0.0158657-0.000343141j 0.00400357-0.015473j -0.00357139+0.00306523j 0.00670829+0.0039361j 0.00415549+0.0124523j 0.00122748+0.0093123j -0.00105335+0.00188806j -0.00248449-0.00834788j -0.00383446+0.0121705j -0.00130598-0.0115338j 0.00324118-0.00235968j 0.0049043-0.00569115j 0.0126343-0.00205092j -0.00805929-0.0154434j 0.011093-0.018888j 0.00551865+0.0141289j -0.00161382+0.00517203j -0.00188662-0.00190333j 0.0102751-0.00690452j -0.00631082-0.0125347j 0.0165456-0.00740852j 0.0112718-0.0086343j 0.00929564+0.0124486j -0.00309734-0.00177911j -0.00652672-0.00243365j 0.010863-0.00166135j 0.00406153+0.00954299j 0.00472742-0.0108813j -0.00154724-0.00830803j -9.20993e-05-0.000275626j 
-0.0285575-0.139371j 0.00919998-0.000901081j -0.0140127-0.0154733j -0.00208023+0.00651721j -0.00755695+0.0128927j 0.00294626-0.00246154j 0.0151008+0.00191143j 0.00419714-0.00896783j 0.0183238-0.00434919j 0.0206529+0.0054318j 0.0199056-0.0195483j -0.0173648-0.015623j -0.016223-0.00665309j 0.0187057+0.00828829j -0.00713799+0.00120226j -0.0102262-0.000506315j -0.0137671-0.00257501j -0.00370255+0.000742502j 0.00225858+0.00203651j -0.0155+0.000191861j -0.0131219-0.00579597j 0.00304146+0.00186472j 0.0110486+0.0043289j 0.0106419-0.00218687j -0.00265952+0.00193823j 0.00499054+0.0125359j -0.00665662+0.00958027j -0.00177998-0.00233305j -0.0146916+0.00416875j -0.00714768-0.00695052j -0.00306262+0.00725632j 0.00539904-0.00482441j -0.00467237-0.00080669j 0.0114591-0.00612607j 0.00939005-0.00142798j 0.00875603+0.00456958j 0.00446483+0.00212032j 0.0149283+0.0112263j 0.0032148+0.00506287j -0.00520988-0.00375555j 
0.0259613-0.0428823j -0.0171715-0.00938914j 0.0123345+0.00253829j 0.00395861-0.00427018j -0.0152217-0.0117433j 0.026535+0.0200616j -0.015387-0.00484024j -0.00612223-7.86041e-05j -0.00673369+0.00103826j 0.0101162+0.0181245j 0.00258026+0.013477j -0.00854243-0.0170109j 0.00552633+0.00678704j -0.0132218-0.0105352j -0.00255308-0.00310132j 0.000704435-0.00137448j -0.00107769-0.00289281j -0.00525907-0.00479571j 0.0035554+0.00532989j -0.00608741-0.00654469j -0.00630838-0.00695683j -0.0113658+0.00658139j -0.00852309-0.00241488j -0.00901186+0.00342244j -0.0125358-0.0138696j -0.00604875+0.000190036j -0.00613504-0.00233745j 0.000164101-0.000100143j -0.0177603-0.0109063j 0.000625957+0.000196812j -0.0101536-0.0156081j -0.0033492-0.00618783j 0.00900783+0.00113368j 0.00765285+0.00288314j 0.00503478+0.0120226j 0.00288574-0.00120399j -0.00115026+0.000401709j 0.00170737+0.00734562j -0.000960363+0.00398859j -0.00147885-0.0027415j 
-0.0162137-0.137816j 0.0132572-0.0377487j -0.0114575+0.0187094j 0.0073448+0.00034109j 0.0097078+0.00384107j -0.00161846-0.0035616j 0.00360888+0.000837306j 4.05124e-05-0.00127411j 0.00666646-0.00244703j 0.00911574-0.00933654j -0.00259638-0.00701302j -0.0271227+0.00791577j -0.00627637-0.000862359j -0.00788347-0.00689375j -0.00534662-0.00225168j 0.0017079+0.00478068j 0.00236643+0.00711873j 0.00146333+0.00132815j -0.00400043-0.0044563j 0.00022252+0.00163478j 0.00230987+0.00840498j -0.00188932+0.00140523j -0.00476582-0.00535887j -0.00814222-0.000393083j -0.00130923-0.00161193j -0.0189527-0.0176622j -0.0231718+0.00288871j 0.00167811+0.00290991j 0.00294464+0.0026246j 0.00606596+0.0102997j -0.00637486-0.0112709j 0.0108033+0.0193793j 0.00763105-0.000997131j -0.00345467-0.00263728j 0.00720505+0.0126451j 0.00420516-0.0041042j 0.0042317+0.00895641j 0.00337211-0.00413583j -0.00148885-0.005264j -0.000165212+0.000601724j 
-0.0271632+0.16097j 0.00609811+0.0403681j -0.00566837-0.019152j -0.00608846+0.0072963j -0.00076805+0.00234834j -0.0131495+0.00378025j 0.0104425-0.00125846j 0.00381098-0.00216771j 0.00391519+0.00112193j -0.00805661+0.00745202j -0.00142787+0.0120834j 0.00843428-0.0191425j -0.0091858-0.00331515j 0.00327555-0.00343742j -0.00757632-0.00819859j -0.00511764-0.00283247j -0.00188619-0.00329562j 0.00462466-0.0101502j -0.012337+0.00046559j 0.00015123+0.0123964j 0.00179368-0.00605268j -0.00590173-0.00164659j 0.00313767-0.0173966j 0.00244468-0.00540114j 0.0102942-0.00167947j -0.00203531+0.00369632j 0.00116715+0.0197124j 0.00119325+0.0011646j 0.00153312-0.0111197j 0.00422201+0.00489762j 0.00585083-0.000912337j 0.0137622-0.012329j -0.00650813+0.00562011j -0.00065463+9.21556e-05j 0.000904159-0.00576206j 0.00132874-0.00625905j 0.00390044-0.00986176j 0.00491989+0.00409976j -1.96807e-05+0.00818879j -0.00240345+0.000149216j 
0.04204+0.050718j -0.0014227+0.00172064j 0.0130136+0.00445958j -0.00596122-0.00785691j -0.0117685-0.010778j 0.00262541+0.00655289j 0.00356352+0.0149639j 0.00982012+0.00477487j 0.0130187+0.0132218j 0.00761045-0.000795366j 0.0137824+0.00103215j -0.0136335-0.0159799j 0.00603464-0.0159512j -0.00496336+0.00739403j 0.00577817-0.00658893j 0.00442517-0.00176223j 0.00350844-0.0053422j -0.0125886-0.00823555j -0.00141894+0.0134575j 0.0124064+0.00467095j 0.00729817-0.00595997j 0.015562+0.0018963j -0.0122111+0.000781779j 0.00275304+0.00844252j -0.00107877+0.00239833j -0.0145119-0.00553427j 0.006054+0.0135228j 0.00204042-0.00360535j 0.00711934-0.0013175j 0.0050137-0.0153789j -0.0071209+0.00764355j 0.00737071-0.00237536j 0.00370632-0.0066339j -0.00123684+0.00680259j 0.00338108-0.00338793j -0.00531908+0.00795994j 0.00253638+0.0053853j -0.0105023-0.00669508j -0.004022-0.00733202j 0.00457203+0.000627487j 
0.0960727-0.0535804j -0.0149725+0.000485019j 0.0174794-0.00154013j -0.0117404-0.00829862j 0.00289196-0.0110214j -0.0134619-0.0119796j -0.0115497+0.00965879j 0.00359415+0.00767571j -0.00770878+0.0112243j -0.0121874+0.0100171j 0.00386637+0.0071522j 0.0111258-0.00233442j -0.00526703+0.000526539j -0.000204354+0.00257568j -0.00106112+0.00319818j 0.00317969+0.00204335j -0.00237861+0.0041888j -0.0137064+0.00810123j 0.0179891-0.00330256j 0.0120975-0.00599377j -0.00714267+0.00533793j 0.00564228-0.0101658j 0.00126397+0.00181733j 0.000982093-0.00701509j 0.00149798+0.00194432j -0.0311187+0.00243803j -0.00288676+0.002975j -0.00563172+0.00159715j -0.000694327+0.00672468j -0.0213937+0.00163993j 0.0060543-0.000233295j 0.00577111+0.00659522j 0.00318221-0.00428443j 0.00753707-0.0115485j 0.0052856+0.000739317j 0.0249464-0.00436299j 0.0103192+0.00845716j 0.00287986+0.00275397j -0.0108299-0.00131119j -0.00137118-0.00351673j 
