-0.0840912-0j -0.0148654-0j -0.00123878-0j -0.00145541-0j -0.000242569-0j -0.000148542-0j -3.03211e-05-0j -1.78669e-06-0j -0.0464775-0j 0.0451003-0j -0.00750027-0j 0.00727802-0j -0.00612395-0j 0.00594248-0j -0.000883916-0j -0.000765493-0j 0.000857723-0j 0.00074281-0j -9.02143e-05-0j 8.7541e-05-0j -4.1177e-06-0j 3.99568e-06-0j -0.0346205-0j -0.000847924-0j 0.048497-0j -0.00547398-0j -0.000134068-0j -0.00432757-0j 0.00766804-0j -0.00288504-0j -0.00062463-0j -0.00010599-0j -7.06603e-05-0j -0.000721261-0j 0.00606212-0j -1.52984e-05-0j -0.000255004-0j 0.00404141-0j -6.01051e-05-0j 0.000874992-0j -1.76651e-05-0j -6.37511e-05-0j -6.24555e-06-0j 0.00101035-0j -1.47209e-06-0j -5.31259e-06-0j 0.000357214-0j -1.56139e-06-0j 8.41961e-05-0j -1.97988e-07-0j -1.30116e-07-0j 8.93035e-05-0j 7.44196e-06-0j -4.84912e-09-0j 2.77345e-07-0j -0.0277407-0j -0.000640567-0j -0.0198189-0j 0.0271977-0j -0.00432485-0j 0.0341178-0j -9.9866e-05-0j -0.00335001-0j -0.00308982-0j -0.000483533-0j 0.00424018-0j -0.00305813-0j 0.00531905-0j -7.73559e-05-0j -0.000540606-0j -0.00239336-0j -1.11654e-05-0j -7.06159e-05-0j -0.000360404-0j -4.50505e-05-0j -0.000345452-0j 0.00328443-0j -0.00218483-0j -0.000312119-0j 0.000474067-0j 0.00412011-0j 0.00299826-0j -1.24832e-05-0j -6.3711e-05-0j 0.000594687-0j -8.32217e-06-0j -0.000386227-0j -3.18555e-05-0j 0.00376113-0j -1.04027e-06-0j -3.75421e-06-0j -0.000257485-0j -7.20721e-06-0j -3.21856e-05-0j 0.000530023-0j -4.59795e-06-0j -0.000222989-0j -1.47116e-06-0j 0.000353349-0j 0.000664881-0j 4.41686e-05-0j -2.96796e-07-0j -7.35582e-07-0j 0.000306009-0j -4.55173e-05-0j -8.66892e-08-0j 0.000443254-0j 5.54067e-05-0j -9.3482e-09-0j -2.27587e-05-0j -1.06172e-07-0j 6.24638e-05-0j -2.68214e-06-0j 0.000383869-0j 3.12319e-05-0j -3.28493e-06-0j 7.83569e-05-0j -6.85339e-09-0j 3.68071e-06-0j -2.12041e-07-0j 4.50794e-06-0j 3.91785e-05-0j -2.15861e-10-0j 4.61723e-06-0j 2.90986e-07-0j -6.67868e-09-0j 5.65492e-06-0j 3.65024e-07-0j 9.1652e-09-0j 1.14972e-08-0j 
0.00857713-0j -0.0713089-0j -0.0180799-0j 0.00750027-0j -0.0587899-0j 0.000765493-0j -0.0148537-0j -0.00175974-0j -0.00455879-0j 0.00478974-0j 0.0345988-0j -0.0363515-0j -0.000600674-0j 0.000631103-0j 0.00824171-0j 0.00353122-0j -0.00865923-0j -0.00371011-0j 0.00126617-0j -0.00133032-0j 9.65904e-05-0j -0.000101484-0j 0.00353122-0j -0.00420208-0j 0.00254897-0j -0.0262586-0j 0.0312472-0j 0.000441403-0j -0.0189545-0j 0.000294269-0j -0.00605639-0j -0.00052526-0j -0.000350173-0j -0.00345987-0j 0.000318621-0j 0.00720697-0j 2.60099e-05-0j 0.000212414-0j -0.00087723-0j -0.00437173-0j 0.00411717-0j -0.000618128-0j -3.09512e-05-0j -0.00249747-0j 0.00104388-0j -0.000103563-0j 1.87749e-05-0j 0.000735558-0j -0.000633218-0j -5.79945e-06-0j 0.000123238-0j -0.000446188-0j -7.47558e-05-0j 6.90122e-06-0j -4.18627e-06-0j 0.0028295-0j 0.00330108-0j -0.00590941-0j -0.00277767-0j -0.0207462-0j 0.00119142-0j -0.0242039-0j 0.000341694-0j 0.0433285-0j -0.00468831-0j 0.0203662-0j 0.000311923-0j -0.00873565-0j 0.000398643-0j -0.00259328-0j -0.00071363-0j -0.0054697-0j 0.00036391-0j -0.00172885-0j -0.000657509-0j 0.00979155-0j -0.000335435-0j -0.000651452-0j 3.18355e-05-0j 0.00460243-0j 0.000143878-0j -0.000306209-0j -0.00302549-0j -0.000617739-0j -0.00197412-0j -0.00201699-0j 0.00541606-0j -0.00015281-0j 0.000131342-0j -0.000767094-0j -7.31842e-05-0j 0.00361071-0j 3.71414e-05-0j 0.00137321-0j 0.00254577-0j -6.71068e-05-0j -6.64885e-05-0j -0.000720696-0j 0.00169718-0j -0.00109196-0j 0.000645465-0j -7.23972e-06-0j -0.000178279-0j -3.12523e-05-0j 0.00129015-0j -8.53816e-05-0j -0.000727971-0j -0.000276859-0j -3.19623e-07-0j 0.000319145-0j -7.82912e-05-0j 0.000606423-0j 0.000152845-0j 1.3405e-05-0j 0.000150011-0j 0.000140153-0j -0.000260113-0j -8.44634e-06-0j 7.18436e-05-0j 1.51202e-05-0j 6.58775e-05-0j -6.43442e-05-0j -3.72893e-07-0j -3.08158e-05-0j 7.1071e-06-0j 6.67533e-07-0j -2.82568e-05-0j -3.04844e-06-0j 3.13768e-07-0j -1.34584e-07-0j 
-0.00866601-0j 0.0720478-0j 0.0182673-0j 0.00727802-0j -0.0570478-0j 0.00074281-0j -0.0144136-0j -0.00170759-0j -0.00478974-0j 0.00483558-0j 0.0363515-0j -0.0366995-0j -0.000631103-0j 0.000637144-0j 0.00865923-0j 0.00371011-0j -0.00874211-0j -0.00374562-0j 0.00133032-0j -0.00134305-0j 0.000101484-0j -0.000102455-0j -0.00356782-0j 0.00424018-0j -0.0022756-0j 0.0265307-0j -0.0315305-0j -0.000445977-0j 0.0169216-0j -0.000297318-0j 0.00611915-0j 0.000530023-0j 0.000353349-0j 0.00349573-0j -0.00028445-0j -0.00727233-0j -2.62795e-05-0j -0.000189633-0j 0.000886321-0j 0.00390288-0j -0.00415451-0j 0.000624533-0j 3.12319e-05-0j 0.00222962-0j -0.00105335-0j 0.000104636-0j -1.67614e-05-0j -0.000742229-0j 0.000565307-0j 5.85955e-06-0j -0.000124355-0j 0.000398336-0j 6.67385e-05-0j -6.9638e-06-0j 3.7373e-06-0j -0.00285882-0j 0.00320326-0j -0.00204244-0j 0.00291609-0j 0.0209612-0j -0.0056433-0j -0.0234867-0j -0.000345235-0j 0.0149754-0j 0.0047369-0j -0.0213811-0j -0.000315155-0j 0.0413773-0j 0.000386831-0j 0.00262015-0j -0.000246648-0j -0.00530762-0j 0.000353127-0j 0.00174677-0j 0.000664323-0j 0.0033842-0j 0.000352152-0j -0.000225158-0j -3.21654e-05-0j -0.00483179-0j -0.000681493-0j 0.000321469-0j -0.00293584-0j 0.000624141-0j 0.00935062-0j -0.00195722-0j 0.00187193-0j 0.000154394-0j -0.000622115-0j -0.000744363-0j 7.39426e-05-0j 0.00124795-0j 3.60408e-05-0j 0.000474615-0j -0.00267264-0j 6.78022e-05-0j -2.29801e-05-0j -0.00069934-0j -0.00178176-0j 0.00517217-0j -0.000677632-0j 7.31474e-06-0j -0.000172996-0j 3.28098e-05-0j 0.000445908-0j -8.28515e-05-0j 0.00344811-0j 0.00131137-0j 3.22935e-07-0j 0.000110304-0j -7.59713e-05-0j -0.000636645-0j 5.28272e-05-0j -6.34944e-05-0j -0.000157487-0j 4.84402e-05-0j 0.00123205-0j -8.19605e-06-0j -7.5424e-05-0j 5.22591e-06-0j -6.91605e-05-0j 0.000304773-0j -3.61844e-07-0j 0.000145962-0j -7.46128e-06-0j 2.30716e-07-0j 0.000133841-0j 1.44393e-05-0j -3.29405e-07-0j 6.37473e-07-0j 
0.0049489-0j -0.0832163-0j 7.29041e-05-0j 0.00432757-0j 0.000721261-0j -0.0844676-0j -0.00857586-0j 5.31259e-06-0j 0.00273527-0j 0.00276362-0j 0.000441403-0j 0.000445977-0j -0.0342819-0j -0.0346371-0j 5.20198e-05-0j -0.00861552-0j 5.25589e-05-0j -0.0087048-0j -0.00050502-0j -0.000510253-0j 2.42333e-07-0j 2.44844e-07-0j -0.0039615-0j 0.00252124-0j 0.00147072-0j -0.000626368-0j 0.000398643-0j 0.0471026-0j 0.000232542-0j -0.000330125-0j -7.14741e-05-0j -0.0299778-0j 0.000210104-0j 0.00785043-0j -0.0174871-0j 4.54888e-05-0j 0.00838499-0j 0.00012256-0j -6.8776e-06-0j 2.65351e-05-0j -0.0049963-0j 0.00139507-0j -0.00533652-0j -0.00291451-0j 4.37716e-06-0j 5.78239e-05-0j -0.00311297-0j -0.000887872-0j 2.55334e-06-0j -2.26551e-08-0j -3.68012e-05-0j -0.000517925-0j -2.14674e-05-0j 1.44185e-08-0j 8.41081e-09-0j 0.00163259-0j -0.00370331-0j 0.00116638-0j 0.0016666-0j 0.000254524-0j 0.000687437-0j -0.000577356-0j -0.0187534-0j 0.000181841-0j 2.84566e-05-0j 0.000259827-0j 0.000179976-0j 0.000107173-0j 0.0425397-0j -0.00302631-0j -0.0133981-0j -6.45503e-05-0j -0.000408252-0j 2.12103e-05-0j 2.65129e-06-0j 2.03304e-05-0j -0.0191441-0j 0.000128581-0j -0.00351285-0j 2.90495e-05-0j -0.00789653-0j 0.000183725-0j 0.00686481-0j -0.000356654-0j 1.19823e-05-0j -4.8113e-05-0j -0.0021621-0j -0.000538731-0j 7.57828e-05-0j -6.01412e-06-0j 2.20941e-07-0j 1.51534e-05-0j 0.00796847-0j 1.89417e-06-0j -0.00308936-0j -5.17492e-05-0j -0.0025097-0j 0.000809025-0j 2.16522e-05-0j -0.0012743-0j 2.70653e-06-0j -1.66147e-06-0j 0.00122204-0j -0.00358604-0j -0.000254806-0j -5.01177e-07-0j 8.93108e-06-0j 1.11639e-06-0j 5.50156e-10-0j -0.000384888-0j 0.000117387-0j -0.000364085-0j 1.57848e-07-0j -0.00147917-0j -0.000549955-0j -3.69714e-05-0j -0.000150177-0j 3.76882e-06-0j 2.25544e-07-0j -1.18701e-06-0j -5.28273e-05-0j -0.000226845-0j -1.24796e-09-0j 9.30321e-08-0j -1.69608e-06-0j 3.93051e-10-0j -2.17902e-05-0j -6.99597e-07-0j 5.61618e-10-0j 2.31656e-10-0j 
-0.000714312-0j 0.0120036-0j -0.142628-0j -0.00062463-0j 0.00989626-0j -6.37511e-05-0j -0.0575528-0j -0.0209334-0j -0.000394803-0j -0.000398894-0j 0.00605639-0j 0.00611915-0j -5.20198e-05-0j -5.25589e-05-0j -0.0332073-0j 0.000618128-0j -0.0335514-0j 0.000624533-0j -0.0103869-0j -0.0104946-0j -0.00159704-0j -0.00161359-0j 0.000571793-0j -0.00036391-0j -0.000212281-0j -0.00859425-0j 0.0054697-0j 7.14741e-05-0j 0.00319066-0j 4.76494e-05-0j 0.0456261-0j -4.54888e-05-0j -3.03258e-05-0j -0.00113239-0j -2.65351e-05-0j -0.0290381-0j 4.21165e-06-0j -1.76901e-05-0j 0.0134552-0j -0.0169389-0j 0.000720696-0j 0.00465669-0j -2.68045e-06-0j 0.000420406-0j -0.00856339-0j 0.00239534-0j -1.5636e-06-0j -0.00296369-0j -0.00499531-0j 0.000224424-0j -0.00152448-0j -0.00172882-0j -0.00088928-0j -0.000142832-0j -8.33184e-05-0j -0.000235643-0j 0.000534527-0j -0.000168352-0j -0.000240553-0j 0.00349227-0j -9.92229e-05-0j -0.00792177-0j -2.84566e-05-0j 0.002495-0j -0.0181655-0j 0.00356502-0j -2.59772e-05-0j 0.0014705-0j 6.45503e-05-0j 0.000436533-0j -2.03304e-05-0j 0.0412062-0j 5.89261e-05-0j 0.000291022-0j -0.00518694-0j -0.0129781-0j -2.90495e-05-0j -1.8559e-05-0j -2.65129e-06-0j -0.018544-0j -1.19823e-05-0j -2.65184e-05-0j -0.000990221-0j -0.00239352-0j -0.007649-0j -0.000660147-0j 0.000311875-0j 2.5723e-05-0j -1.09383e-05-0j 0.0117659-0j -0.000870584-0j 0.000207916-0j 6.01412e-06-0j -0.00370573-0j 0.000445628-0j -0.000529389-0j -1.89417e-06-0j 0.00542939-0j 0.000297085-0j 0.000183812-0j -0.005295-0j -0.000115111-0j -5.83493e-05-0j -2.70653e-06-0j -0.00171001-0j 0.00197481-0j 0.000122541-0j -0.00218407-0j -7.64052e-06-0j 1.83774e-05-0j 0.00120085-0j -0.00244338-0j -0.000621975-0j -1.11639e-06-0j 2.62589e-05-0j -0.000378214-0j -0.00100784-0j 0.000261116-0j -0.000888721-0j -8.22396e-05-0j -0.000540418-0j 1.08312e-05-0j 1.73316e-05-0j -0.000366579-0j -0.00011751-0j -5.45865e-06-0j -0.000222911-0j -4.84703e-05-0j -7.7997e-06-0j -3.21721e-06-0j 
-0.00612395-0j 0.102975-0j -9.02143e-05-0j -0.00010599-0j -1.76651e-05-0j 0.00206877-0j 0.000210039-0j -1.30116e-07-0j 0.00325491-0j 0.00328443-0j 0.00052526-0j 0.000530023-0j -0.0407947-0j -0.0411646-0j 6.19024e-05-0j -0.0102523-0j 6.24638e-05-0j -0.0103452-0j -0.000600962-0j -0.000606412-0j 2.88371e-07-0j 2.90986e-07-0j -0.00252124-0j 5.93818e-05-0j 0.0035318-0j -0.000398643-0j 9.38909e-06-0j 0.0299778-0j 0.000558426-0j -0.000210104-0j -4.54888e-05-0j -0.000706055-0j 4.94849e-06-0j 0.0049963-0j -0.0419934-0j 1.07138e-06-0j 0.00533652-0j 0.000294316-0j -4.37716e-06-0j 6.37214e-05-0j -0.000117676-0j 0.000887872-0j -0.000125689-0j -0.00699889-0j 1.03093e-07-0j 3.68012e-05-0j -0.00747548-0j -2.09117e-05-0j 6.13159e-06-0j -1.44185e-08-0j -8.66765e-07-0j -0.00124374-0j -5.15517e-05-0j 3.39594e-10-0j 2.01977e-08-0j -0.00202022-0j -4.66494e-05-0j 0.00421924-0j -0.00190471-0j -0.000314957-0j 0.00248463-0j -7.27275e-06-0j 0.0232061-0j 0.000657789-0j -3.52133e-05-0j -0.000296949-0j -0.000222708-0j 0.00038736-0j 0.000535858-0j 0.00374487-0j -0.048466-0j -8.13118e-07-0j -5.14261e-06-0j -2.62464e-05-0j -3.28081e-06-0j 7.35431e-05-0j 0.0218792-0j 0.000465127-0j 0.00434694-0j -3.31999e-05-0j -0.0285408-0j -0.000209974-0j 8.64736e-05-0j 0.000441337-0j 4.33082e-05-0j -6.06063e-07-0j -0.00782117-0j 0.000666646-0j 0.000273905-0j -7.57578e-08-0j -2.73401e-07-0j 5.48158e-05-0j 0.000100376-0j 6.85197e-06-0j 0.00353075-0j 6.40364e-05-0j -0.00907858-0j 1.0191e-05-0j -2.47457e-05-0j -0.00460574-0j -3.09322e-06-0j 2.05596e-06-0j 1.53937e-05-0j 0.00409838-0j -0.000921734-0j -6.31315e-09-0j 3.228e-05-0j 4.035e-06-0j -6.80784e-10-0j -0.00139229-0j 1.47868e-06-0j 0.000416102-0j 5.70998e-07-0j -0.00534621-0j 0.000628528-0j -0.00013374-0j -0.000542792-0j 4.74746e-08-0j -2.57768e-07-0j -4.29387e-06-0j 6.03749e-05-0j -0.000819895-0j -1.57201e-11-0j 3.3625e-07-0j 1.9384e-06-0j 1.42182e-09-0j -7.87571e-05-0j -2.52858e-06-0j -6.41858e-10-0j 8.37282e-10-0j 
0.0035723-0j -0.0600687-0j 5.2625e-05-0j -0.00606212-0j -0.00101035-0j 0.118323-0j 0.0120132-0j -7.44196e-06-0j 0.00197442-0j 0.00176267-0j 0.000318621-0j 0.00028445-0j -0.024746-0j -0.022092-0j 3.75499e-05-0j -0.00621901-0j 3.35228e-05-0j -0.00555204-0j -0.000364543-0j -0.000325446-0j 1.74925e-07-0j 1.56165e-07-0j 0.00147072-0j -0.0035318-0j 0.00405744-0j 0.000232542-0j -0.000558426-0j -0.0174871-0j 0.000641538-0j 0.00012256-0j 2.65351e-05-0j 0.0419934-0j -0.000294316-0j -0.00291451-0j -0.0482433-0j -6.37214e-05-0j -0.00311297-0j 0.00033812-0j 2.55334e-06-0j 7.32051e-05-0j 0.00699889-0j -0.000517925-0j 0.00747548-0j -0.00804056-0j -6.13159e-06-0j -2.14674e-05-0j -0.00858807-0j 0.00124374-0j 7.04417e-06-0j 8.41081e-09-0j 5.15517e-05-0j -0.00142885-0j -5.92243e-05-0j -2.01977e-08-0j 2.32038e-08-0j 0.00117846-0j -0.00266811-0j 0.000841934-0j 0.00106298-0j 0.000183725-0j 0.000607169-0j -0.000415965-0j -0.0135369-0j 0.00013126-0j 2.05411e-05-0j 0.000165721-0j 0.000129913-0j 9.46591e-05-0j 0.0306484-0j -0.00218451-0j -0.00967123-0j -4.65063e-05-0j -0.000294131-0j 1.53104e-05-0j 1.9138e-06-0j 1.46753e-05-0j -0.0122103-0j 9.28145e-05-0j -0.00253571-0j 1.85281e-05-0j -0.0069745-0j 0.000117182-0j 0.00494586-0j -0.000257447-0j 1.05832e-05-0j -3.46637e-05-0j -0.00156069-0j -0.000388877-0j 6.69341e-05-0j -4.33297e-06-0j 1.59484e-07-0j 1.09383e-05-0j 0.005741-0j 1.36729e-06-0j -0.00197043-0j -3.73546e-05-0j -0.0018116-0j 0.000582875-0j 1.38101e-05-0j -0.0011255-0j 1.72626e-06-0j -1.19931e-06-0j 0.00088044-0j -0.00228722-0j -0.000183929-0j -3.6108e-07-0j 7.88826e-06-0j 9.86032e-07-0j 3.97124e-10-0j -0.000277827-0j 8.4573e-05-0j -0.000232218-0j 1.13941e-07-0j -0.00130645-0j -0.000350768-0j -2.66874e-05-0j -0.000132642-0j 2.71531e-06-0j 1.43855e-07-0j -8.56828e-07-0j -3.3694e-05-0j -0.000200357-0j -8.99112e-10-0j 8.21693e-08-0j -1.08178e-06-0j 2.83719e-10-0j -1.92459e-05-0j -6.17909e-07-0j 3.58207e-10-0j 2.04607e-10-0j 
0.000883916-0j -0.0148537-0j 0.176493-0j 1.52984e-05-0j -0.000242379-0j 1.56139e-06-0j 0.00140958-0j 0.0005127-0j -0.000469806-0j -0.000474067-0j 0.00720697-0j 0.00727233-0j -6.19024e-05-0j -6.24638e-05-0j -0.0395159-0j 0.000735558-0j -0.0398743-0j 0.000742229-0j -0.0123602-0j -0.0124723-0j -0.00190044-0j -0.00191767-0j 0.00036391-0j -8.57103e-06-0j -0.000509771-0j -0.0054697-0j 0.000128826-0j 4.54888e-05-0j 0.00766204-0j 3.03258e-05-0j 0.0290381-0j -1.07138e-06-0j -7.14252e-07-0j -0.000720696-0j -6.37214e-05-0j -0.000683923-0j 2.68045e-06-0j -4.24809e-05-0j 0.00856339-0j -0.040677-0j 1.69743e-05-0j 0.00296369-0j -6.31316e-08-0j 0.00100956-0j -0.00020169-0j 0.00152448-0j -3.75482e-06-0j -6.98026e-05-0j -0.0119957-0j 0.000142832-0j -3.59055e-05-0j -0.00415158-0j -0.00213551-0j -3.36405e-06-0j -0.000200081-0j 0.000291594-0j 6.73326e-06-0j -0.000608995-0j 0.000274921-0j -0.00432146-0j -0.000358626-0j -9.97878e-05-0j 3.52133e-05-0j 0.00902538-0j 0.0224787-0j -0.00407437-0j 3.21452e-05-0j 0.00531488-0j 8.13118e-07-0j -0.000540183-0j -7.35431e-05-0j 0.00051906-0j 7.42272e-07-0j -0.000360122-0j 0.0064185-0j -0.0469468-0j 3.31999e-05-0j -6.71353e-05-0j 3.28081e-06-0j 0.0211934-0j -4.33082e-05-0j 3.03072e-05-0j -1.24735e-05-0j 0.00296183-0j -0.0276461-0j -8.31565e-06-0j 0.00112817-0j -3.18306e-05-0j -3.95348e-05-0j 0.000148211-0j 0.00107729-0j 0.000752115-0j 7.57578e-08-0j -0.0134051-0j -0.000509296-0j 0.000655086-0j -6.85197e-06-0j 6.83922e-05-0j -0.000339531-0j 0.00066436-0j 0.00605151-0j 0.000142443-0j -7.35006e-07-0j 3.09322e-06-0j -0.00618578-0j 2.4876e-05-0j 0.000442907-0j -0.00789399-0j 9.45466e-06-0j 6.64782e-05-0j 1.51267e-05-0j 0.00279248-0j -0.00224993-0j -4.035e-06-0j -3.00105e-05-0j -0.00136815-0j -0.00364269-0j 3.28919e-06-0j 0.0010157-0j -0.000297493-0j 0.000617629-0j 3.91478e-05-0j 2.1832e-07-0j -0.00132494-0j 0.000134299-0j -1.97461e-05-0j -0.000805677-0j -0.000175188-0j 8.91406e-06-0j -1.16281e-05-0j 
-0.000515618-0j 0.00866467-0j -0.102955-0j 0.000874992-0j -0.0138628-0j 8.93035e-05-0j 0.0806209-0j 0.0293239-0j -0.000284984-0j -0.00025442-0j 0.00437173-0j 0.00390288-0j -3.75499e-05-0j -3.35228e-05-0j -0.0239703-0j 0.000446188-0j -0.0213995-0j 0.000398336-0j -0.00749767-0j -0.00669356-0j -0.0011528-0j -0.00102917-0j -0.000212281-0j 0.000509771-0j -0.000585641-0j 0.00319066-0j -0.00766204-0j -2.65351e-05-0j 0.0088024-0j -1.76901e-05-0j -0.0169389-0j 6.37214e-05-0j 4.24809e-05-0j 0.000420406-0j -7.32051e-05-0j 0.040677-0j -1.5636e-06-0j -4.88034e-05-0j -0.00499531-0j -0.0467311-0j -0.00100956-0j -0.00172882-0j 3.75482e-06-0j 0.00115982-0j 0.0119957-0j -0.00088928-0j -4.31365e-06-0j 0.00415158-0j -0.0137811-0j -8.33184e-05-0j 0.00213551-0j -0.00476947-0j -0.00245335-0j 0.000200081-0j -0.000229859-0j -0.000170096-0j 0.000385108-0j -0.000121523-0j -0.000153428-0j 0.00252085-0j -8.76373e-05-0j -0.00570736-0j -2.05411e-05-0j 0.00180098-0j -0.0131126-0j 0.00227382-0j -1.87514e-05-0j 0.0012988-0j 4.65063e-05-0j 0.000315106-0j -1.46753e-05-0j 0.0296876-0j 4.24542e-05-0j 0.000210071-0j -0.00374413-0j -0.00936807-0j -1.85281e-05-0j -1.33966e-05-0j -1.9138e-06-0j -0.0118276-0j -1.05832e-05-0j -1.69138e-05-0j -0.00071342-0j -0.00172773-0j -0.00675587-0j -0.000475613-0j 0.000225123-0j 1.85678e-05-0j -9.6611e-06-0j 0.00847693-0j -0.000628421-0j 0.000150082-0j 4.33297e-06-0j -0.00267493-0j 0.000284227-0j -0.000382133-0j -1.36729e-06-0j 0.00391169-0j 0.000189485-0j 0.00016235-0j -0.00337722-0j -8.30919e-05-0j -4.20387e-05-0j -1.72626e-06-0j -0.00123435-0j 0.00142278-0j 0.000108233-0j -0.00192905-0j -5.51522e-06-0j 1.32655e-05-0j 0.000865173-0j -0.00155842-0j -0.000448966-0j -9.86032e-07-0j 1.67483e-05-0j -0.000273009-0j -0.000890164-0j 0.000188125-0j -0.000566838-0j -5.93637e-05-0j -0.000344686-0j 9.56654e-06-0j 1.24868e-05-0j -0.000323776-0j -7.49492e-05-0j -3.94026e-06-0j -0.000196883-0j -4.28107e-05-0j -4.97475e-06-0j -2.84156e-06-0j 
-0.50105-0j 0.000618224-0j 5.15186e-05-0j 0.00305813-0j -0.0730239-0j 0.000312119-0j 6.3711e-05-0j 3.75421e-06-0j 0.00193292-0j 0.00195295-0j 0.000311923-0j 0.000315155-0j -0.036489-0j -0.0368671-0j -0.00526673-0j 3.18355e-05-0j -0.00532131-0j 3.21654e-05-0j 3.75185e-06-0j 3.79073e-06-0j 1.71248e-07-0j 1.73022e-07-0j 0.00143981-0j 0.00178167-0j 0.00103931-0j 0.000227653-0j 0.000281706-0j 0.000179976-0j 0.000164329-0j -0.0345005-0j 2.59772e-05-0j 0.000222708-0j -0.0426922-0j -0.00429757-0j 0.000129913-0j 3.21452e-05-0j 1.06052e-05-0j -0.0249038-0j -0.000358131-0j 1.87514e-05-0j -0.00531797-0j 2.65129e-06-0j 1.31232e-05-0j -0.00310215-0j -0.000443164-0j 2.20941e-07-0j 7.65521e-06-0j 3.28081e-06-0j -0.000258512-0j 8.23398e-09-0j 2.73401e-07-0j 1.9138e-06-0j 1.59484e-07-0j 1.0189e-08-0j 5.9436e-09-0j -0.00337826-0j 0.00134597-0j 0.000824234-0j 0.00117772-0j -0.000526679-0j 0.000485786-0j 0.00020984-0j -0.000407964-0j 0.0001285-0j -5.88845e-05-0j 0.00018361-0j 0.053357-0j 7.57352e-05-0j 0.000162541-0j -6.58348e-05-0j 9.95357e-05-0j 2.34608e-05-0j -0.0212585-0j 0.0126202-0j -5.48624e-06-0j 1.43667e-05-0j 0.000142223-0j -0.0130181-0j 0.00544572-0j 2.05282e-05-0j 5.86642e-05-0j -0.0186012-0j 2.623e-05-0j 0.0011116-0j 8.46745e-06-0j -0.00502817-0j 1.60625e-05-0j -3.87935e-06-0j -0.00767261-0j 2.18583e-06-0j 6.55019e-05-0j -0.00307911-0j -0.00216969-0j 1.33854e-06-0j 2.29512e-05-0j -5.59937e-07-0j -0.00132866-0j -0.000442886-0j -0.00439965-0j 9.46689e-06-0j 1.9126e-06-0j -3.61438e-08-0j 1.54562e-06-0j -0.00189848-0j -0.000271211-0j -2.60973e-05-0j -0.00181476-0j 7.88908e-07-0j -1.13842e-09-0j 9.46492e-07-0j 2.2309e-07-0j -0.000387525-0j -1.59813e-05-0j -0.000783082-0j 1.35241e-06-0j 1.36614e-07-0j -0.000159846-0j 1.44004e-08-0j -2.28351e-05-0j 8.81842e-09-0j 1.95204e-07-0j 5.57842e-07-0j 4.53571e-10-0j -9.41901e-06-0j 1.26004e-08-0j 2.77754e-10-0j 8.05176e-08-0j 5.19739e-09-0j 3.96874e-10-0j 1.63702e-10-0j 
-0.000618224-0j -0.488902-0j 0.00130317-0j -0.000540606-0j 0.00423746-0j 0.0105518-0j -0.101839-0j 0.000126838-0j -0.000341694-0j -0.000345235-0j 0.00259328-0j 0.00262015-0j 0.00428254-0j 0.00432692-0j 0.000617739-0j -0.0506169-0j 0.000624141-0j -0.0511414-0j -0.00902727-0j -0.00912082-0j 7.23972e-06-0j 7.31474e-06-0j -0.000254524-0j -0.000314957-0j -0.000183725-0j 0.00189267-0j 0.00234206-0j 0.00302631-0j 0.0013662-0j -2.12103e-05-0j 0.000436533-0j 0.00374487-0j -2.62464e-05-0j -0.0237213-0j 0.00218451-0j 0.000540183-0j 0.000538731-0j -1.53104e-05-0j 6.32291e-05-0j 0.000315106-0j -0.0293537-0j -0.00852048-0j 0.000666646-0j -0.017123-0j 7.8242e-05-0j -0.000710042-0j 0.000388877-0j -0.0105436-0j 4.56412e-05-0j 4.18014e-07-0j -0.000878632-0j -0.0061504-0j -0.000512535-0j 5.17266e-07-0j 3.01738e-07-0j 0.000597197-0j -0.000237936-0j -0.000145705-0j -0.000208194-0j -0.00437872-0j -8.58756e-05-0j 0.00174457-0j -0.00685996-0j 0.00106833-0j -0.000989521-0j 0.0015265-0j 6.58348e-05-0j 0.00062965-0j 0.00273315-0j 0.0520634-0j 0.00167371-0j 0.000394246-0j -2.623e-05-0j -0.000364893-0j -0.000138775-0j 0.000241425-0j 0.00239151-0j -1.60625e-05-0j -0.001285-0j 0.000344965-0j 0.000986446-0j -2.29512e-05-0j -0.0207431-0j 0.0124019-0j 0.000142291-0j 0.000145381-0j -0.0127025-0j 0.0092681-0j -9.46689e-06-0j 5.52907e-05-0j -1.54464e-05-0j 8.90274e-05-0j 0.000511969-0j 3.38585e-05-0j -0.0181502-0j 0.00270867-0j 0.000313516-0j -0.00494118-0j 0.000127208-0j -0.00748659-0j 4.83794e-05-0j 0.000145347-0j -0.0036926-0j 0.000447973-0j -0.00302584-0j 6.15415e-06-0j 5.24708e-05-0j 1.99555e-05-0j -6.746e-08-0j -0.00226125-0j -0.00107919-0j -0.00432353-0j 3.76863e-06-0j 0.00018478-0j -0.00323103-0j -0.000660867-0j -0.00178337-0j -5.79092e-05-0j 5.38488e-06-0j -3.5462e-05-0j -0.000944293-0j -0.00133273-0j 2.68775e-08-0j 2.22115e-06-0j -5.06705e-05-0j 1.6459e-08-0j -0.000389501-0j -2.09005e-05-0j 2.35178e-08-0j 9.70059e-09-0j 
