0.0015041+0.0099587j -0.0103337+0.00248203j -0.0063754+0.00144858j -0.00112919-0.00603835j 0.00167601-0.00128917j 0.00318534-0.00288591j -0.00340327-0.00412526j -0.00212894+0.00123942j 0.00029204-0.000653436j 0.00052391-0.00129428j -0.00149056-0.00118154j -0.00569692-0.000205377j 0.00173399+0.00765907j -0.00727634+0.00249315j -0.00174839-0.00160473j -0.000498324+0.00165157j 0.000785941-0.00332352j 0.000241651+0.00127216j 0.00611824-0.00105655j -0.00150787+0.00199514j -0.00451696+0.000894719j 0.00307402+0.000277182j 0.00108247+0.00256642j -0.0045879+0.00321135j 0.00494679-0.00205154j 0.00155769+0.00134062j 0.00232805+0.00113096j -0.00358867+0.00166978j -0.00162132+0.00596821j -0.000482706-0.00210188j 7.15101e-05-7.00866e-05j 0.00546386+0.00181735j -0.00374599+0.00207368j 0.00214245+0.00226396j -0.00142393+0.00225113j 0.00431686-0.000794447j 0.000832284-0.000792901j 0.00237837+0.00702337j -0.00143181+0.00629667j -0.00185514+0.000518093j 0.00470922-0.00447083j -5.3424e-05-0.000590551j 0.0022772+0.0037001j -0.00077333-0.0027552j 0.00131029-7.73761e-05j 0.00310848+0.00117784j 0.00190815+0.000429131j 0.000706917+0.00056598j 0.00443371+0.00068404j 0.000230476+0.00330515j -0.00332764-0.00200806j -0.000122518-0.000271757j -0.000589488+0.000713801j -0.00168888-7.63799e-06j 0.00469996-0.00625374j 0.00441132+0.0125866j 0.014843-0.00703341j -0.002283-0.00627333j 0.00723308+0.0028774j 0.00567323-0.000457315j 0.00325415-0.00477322j 0.00296977+0.000426872j 0.00361918-0.00410672j -0.00384521+0.00153231j -0.00817118-0.00486816j -0.00586659+0.00992163j -0.00464725-0.00487824j 0.0173569+0.0150657j 0.0168474-0.0155881j 
-0.00788742+0.00247842j -0.00273695-0.00653511j -0.00549389-0.0043907j 0.00386062-0.006443j 0.00338683+0.00623127j -0.00175981+0.00404913j 0.00216376-0.00271404j -0.00571156-0.00119469j -0.00188001-0.00238588j 0.00119037-0.00116496j 0.00396397-0.003537j -0.00220923-0.00401699j -0.00669932-0.000152357j -0.00127267-0.00626423j 0.00126333-0.00520809j -0.000986079-0.00161772j 0.000131923+0.00180979j -0.00273811+0.000222705j -0.00214483+0.0048628j -0.000850457-0.00281185j -0.00292543+0.000151552j 0.000978469+0.00497745j -0.00202665+0.000175411j -0.00291645-0.00422554j 0.00247974+0.00440702j -0.000108838+0.00210531j -0.000723636+0.00424245j -0.00143252-0.00105137j -0.00584099+0.000144024j 0.00233083-0.00159907j 0.000417906-0.0010214j 0.000233357+0.00516885j -0.000482686-0.00380659j 0.00058795+0.00209501j -0.00165669-0.00131567j 0.000470007+0.00416948j 0.00319367-0.000811974j -0.0050527+0.00153671j -0.00600187+0.000134751j 0.00213806-0.000509067j 0.00256048+0.0047929j 0.00173561-0.00100989j -0.0043904+0.00426659j 0.00475219-1.16757e-05j -0.000196395+0.00113652j -0.000719492+0.00352726j 0.00157691+0.00274823j 0.00080019+0.00585663j 0.000968156+0.0016507j -0.00420897-0.000608465j 0.0034769-0.00655276j 0.00100086-0.00359191j 0.000320278+0.00314541j 0.00359174-0.00227612j 0.00605395+0.000933799j -0.0125065+0.00631321j 0.00680272+0.0151351j 0.0049909+0.00110785j -0.00881689+0.00505262j 0.00179457+0.00174474j 0.00198398+0.00474188j -0.00412502-0.0011787j 0.00600984+0.00663353j 0.0014354-0.00782349j 0.0101535-0.00543605j -0.00904679+0.00231502j -0.00412484-0.00539025j -0.0177698+0.0113743j 0.0121779+0.0184961j 
-0.00161081+0.00483345j -0.00506685+0.000302623j 0.00101628-0.000604481j -0.00124733+0.00197412j -0.00028188-0.00422842j 0.00327487-0.00324902j -0.00464908+0.00336937j 0.00284083+0.00155392j 0.00216212+0.0018456j 0.00269064+0.0031568j 0.00315846-0.00509838j -0.00351011-0.00743514j 0.0003399+0.00652061j -0.00720951+0.00255198j 0.000972551-0.00550932j -0.00339706-0.00152749j 0.00352083+0.000693791j 0.00148783-0.0042824j 0.00285576+0.00238543j -0.00173344+0.00273143j -0.000493914-0.00631289j 0.0012962+0.00232837j -3.38853e-05+0.00147937j -0.00112305-0.00342976j 0.00502882+0.00478888j 0.000197817-0.000545341j -0.0010885+0.00467004j -0.00138331-0.00369819j -0.00189653-0.000296474j -0.000877459-0.00293345j -0.00173715+0.00123034j 0.00338684+0.00543145j -0.00221185+0.00136617j -0.00179687+0.00136189j 0.000291776-0.00153392j 0.00124734-0.00268614j -0.0014487-0.00199262j 0.000562477+0.00336668j 6.29664e-06+0.00128323j -0.00257515+0.00100594j 0.00575419-0.00541763j -0.00157547+0.00198777j 0.00396497+0.00298978j -0.00179848+0.00204267j 0.000793542+0.00680308j -0.00127241+0.00227792j 0.00295258-0.00236658j 0.00101935-0.000817809j 0.000830458+0.00788877j 0.00490794+0.00143292j -0.00209465-0.0062839j 0.000823951-0.000806651j -0.000730026-0.00726962j -0.00452956+0.00103508j -0.00439169-0.000277053j -0.00128336+0.00199404j 0.00333992+0.00827918j 0.00115697+0.00138666j -0.000996317+0.0109537j 0.000749144+0.00341084j 0.00760152-0.00287816j 0.00246131+0.0115035j 0.00119109-0.00151036j -0.00368693+0.00055415j -0.0118379-0.00245748j 0.0117469-0.00576187j -5.95666e-05+0.0146863j -0.00185781+0.00546344j 0.0076347+0.00792823j 
0.00332674+0.000454121j -0.00254441+0.00186106j 0.00183171-0.000940526j -0.000176561+0.00438673j -0.00265609-0.00269127j 0.000792149-0.00209228j 0.000200113+0.00273853j 0.00039012+0.00106407j -0.00234935-0.00229238j 0.00415561-0.000802227j -0.00571911-0.00406069j -0.00371133+0.00344512j 0.00494741-0.000195193j 0.00231034+0.00299802j -0.00667692-0.00151032j -0.00150316+0.00284202j 0.00284584-0.00261281j 0.00046184+0.000914804j 0.00121466+0.0051164j 0.00295808+0.00231521j -0.00351535-0.00137183j -0.00196845-0.00402755j -0.00127286+0.0023129j -0.00211241+0.00286321j 0.00306399-0.00366719j -0.000139046-0.00185626j 0.00521453+0.000638338j 0.000297566+0.00126224j -0.000285156+0.00267091j -3.32073e-05+0.00328834j -0.00189581-0.000637547j 0.0040041-0.000641507j 0.00076749+0.0028771j -0.000406207+0.00170804j 0.00132132-0.00111327j -0.00308181+0.000540695j -0.00356986+0.000800562j 0.00460807+0.0022881j 0.00510948+0.0021241j 0.000826016+0.00147926j -0.000935226-0.00562582j -0.00335793+0.000713304j -0.00175877+0.000699597j 0.00191752-0.000204688j 0.00369995-0.00294752j 0.000315288-0.00356434j -0.00127417-0.00189361j -0.000756815+0.00159303j -0.0011302+0.000314264j 0.00128128-0.00423698j -0.00456754-0.00538464j -0.00726723-0.00206725j -0.00282411-0.00299701j 0.000195391-0.000816128j -0.00125421-0.000411724j 0.00297805+0.0099039j -0.000593741-0.00110845j 0.00871688-0.0129677j 0.00500674+0.00672509j 0.0104461-0.00920325j -0.00713679+0.00285699j 0.000563001+0.000677752j -0.00988747+0.00349621j 0.0013334+0.0027451j 0.00606981-0.00454859j 0.00186153-0.00660623j 0.0071295+0.00681029j 0.00780579+0.00419058j 0.0019012-0.00164652j 
-0.00349373-0.00149969j 0.00197594-0.00391367j 0.00261304+0.00298619j -0.00447047+0.00170616j 0.00246885-0.00220044j -0.000246224+0.0016377j -0.00461082+0.00175974j 0.00266213+0.00400341j -0.00191428+0.00244798j 6.78942e-05+0.0041956j 0.00611387-0.00310533j 0.00272335-0.00369385j -0.00408062+0.00244335j -0.000155409-0.00226794j 0.0043864+0.000786195j -0.00036422+0.000668221j 1.55094e-05+0.000209359j 0.00205184+0.00177443j -0.00340476+0.000598214j -0.00390284+0.00338104j 0.00351201+0.0018953j -0.000389426-0.00089127j 0.000843584+0.00354675j 0.00351497-0.000426593j 0.00149485+0.00131655j 0.00418643+0.000545658j 0.00123781-0.00421916j 0.00444134+0.000750031j 0.00298729+0.00164209j 0.00130237+0.00195779j 0.000196854-0.00412411j -0.00116855+0.00359022j -0.00274144-0.00187105j 0.000667454-0.00178649j 0.00253237+0.00406767j 0.00523925-0.00576538j 0.00171051+0.00118905j 0.0027036+0.00401046j 0.0015765+0.00400858j 5.07725e-05-0.00502884j 0.00808391+0.000214216j -0.00400989-0.00336494j 0.00193924+0.000499235j -0.00374124-0.00389673j -0.00533871+0.000645362j -0.0012965-0.00446307j 0.00439123+0.00387076j 0.00563221-0.00134943j -0.00449648-0.00248249j -0.00124126+0.00983303j 0.00751468-0.00020831j 0.00521692-0.000464369j 0.00671242-0.000862797j -0.00541584+0.00103897j -0.00843205-0.0151865j 0.00413546+0.00995563j 0.0018064-0.00650308j 0.00205258-0.00472488j -0.00174481-8.86062e-05j -0.000316171-0.00478136j -0.00460008-0.00244621j -0.00985+0.0021743j 0.00130639+0.00167358j 0.0038132+0.00240838j 0.000743357-0.00560058j 0.013066+0.0206893j -0.0205153+0.00503075j -0.00329388+0.00206125j -0.00208102-0.00126846j 
-0.000336402+0.00248861j -0.00184188-0.00153049j 0.00235758-0.000824933j 0.000237929+0.00218581j -0.00184245-0.000641174j 0.00110254+0.00302003j 0.00508883+0.00153995j 0.00344792-0.00344044j -0.00124996+0.000979998j 0.00246074-0.0040428j -0.00592225-0.00523665j -0.0037155-0.00126285j 0.000876352+0.00288293j 0.00322423+0.00158391j 0.000501645-0.00167358j 0.00345511+0.00226456j 0.00118637-0.000177238j 0.000990852+0.00131933j -0.00313864-5.57349e-07j -0.000170538+0.00342977j -0.00177896-0.00474361j 0.000235891-0.00272755j 0.00157794+9.97516e-05j -0.000724421+0.000415899j 0.00246046-0.00177234j 0.000455946-0.00538332j 0.000455978-0.000308775j 0.000273866-0.003888j 0.00129265-0.005167j 0.00194377-0.00039809j 0.000347967-0.00181183j -0.000607386+0.0013528j 0.000494699+0.00574755j -0.00110601-0.000179251j 0.00604773-0.000185294j -0.00508194-0.00428081j -0.00139341-0.00372277j 0.00019734-0.000444243j 0.000955956+7.94856e-05j -0.00710672+0.0005428j 0.000227965-0.00420202j -0.000914124+0.00263312j 0.00263851-0.00215747j -0.000508858+0.0100509j 0.00233633+0.00648865j -0.000663466+0.00174351j -0.000357872+0.00040493j -0.00748607-0.00321023j -0.00699008-0.00196473j 0.00668711-0.00524263j 0.00749992-0.00793456j 0.00203927-0.00527875j -0.00199039-0.00627594j 0.00276706+0.00844013j -0.00734153+0.00694291j 0.00286827-0.00153689j 0.00149756-0.0176006j 0.000681513+0.00146737j 0.0057047-0.0109922j -0.00571749+0.00608646j -0.00995018-0.00114257j 0.00468114+0.0013386j -0.000483199-0.00509161j 0.00412082-0.000287925j 0.00157423+0.0145865j 0.0114689-0.00735773j 0.00449693+0.0106835j -0.00130926+0.00193866j -0.000391872+0.00183627j 
-0.000573703+0.00565103j -0.00255932+0.00391249j 0.00447793+0.00199653j -0.00414487-0.00185976j 0.000255218-0.00299058j 0.00569851-0.00166595j -0.00635494-0.004987j 0.000194781-0.0011992j 0.00489782-0.00177731j 0.00232235-0.00300478j 0.00621048+0.00298486j -0.00171859-0.0035887j 0.000977626+0.00541761j -0.00281482-0.00420113j 0.00818265-0.00323986j 0.00190636+0.00117973j 0.00462673+0.00220074j 0.00496716+0.0041608j -0.00297379-0.00090458j -0.002559+0.00199594j 0.0012257-0.00262299j -0.00276952+0.00117156j -0.000476522+0.00160415j -0.000133768+0.000340546j 0.00143189-0.00309096j 0.00338871-0.0067215j -5.68341e-05-0.000128208j -0.000489337-0.001781j -0.00107294+0.00123651j 0.000590616-0.00106366j -0.000645333+0.000676851j -0.00116899-0.00051695j -0.00293456+0.00192337j -0.00495195-0.00189684j 0.000504521-0.000432645j 0.000257395-0.00240192j -0.00634564-0.000201769j -0.00362718-0.000599211j -0.00287875+9.56083e-05j -0.00443854-0.00199233j 0.00864453-0.00267583j -0.00278568-0.00114795j -0.00154984-0.00125363j 0.00482814-0.00201659j 0.00776089-0.000286013j -0.00258624-0.00684082j 0.00560068+0.000198691j 0.00184719-0.00233887j 0.000552661+0.00144332j -0.00155701+0.0015269j 0.00472484-0.00389769j -0.00720759-0.0038458j -0.00177845-0.00871733j -0.00316752-0.000643094j -0.00221241+0.00422525j -0.00665127-0.00435646j -0.0090699-0.001383j 0.0106218-0.000111628j -0.0114998+0.00345288j 0.00432217+0.00908119j -0.00410976+0.00760567j 0.0077326+0.00113161j 8.66656e-05-0.0138359j -0.00360707+0.00105651j 0.0141542+0.00726933j 0.00490412+0.000359073j -0.00341096-3.05337e-05j -0.00954041-0.00214317j 0.000831822-0.0054063j 
-0.00147588-0.00344378j 0.0020504+2.49603e-05j -0.000592934+0.00543286j -0.0021106+0.000193128j 0.00152732-0.0021002j -0.00423221-0.000683863j -0.00153624+0.000591426j -0.00193994+0.00469788j 9.22966e-05+6.61015e-05j 0.00417873+0.00452488j 0.00292315-0.00016256j -0.00407824+0.000312528j -0.00291753-0.000541444j 0.00486196+0.00289991j -0.000268913+0.00404757j -0.00433476+0.00108395j 0.001496+0.00218311j -0.00680346+0.00215675j -0.00199936-0.000380762j -0.00166226-0.000765102j -0.00520464+0.00420512j 0.00233855-0.00439284j -0.00577618+0.00402458j -0.00273554+0.000933567j 0.00807223+0.0015204j 0.00471592+0.00516454j 0.00957155+0.00107844j -0.00130649+0.00409432j -0.00227268+0.00430356j -0.00292637+0.00226195j 0.00125659-0.000616505j 0.00425229-0.00283125j -0.00280003-0.00378307j 0.00277688-3.88373e-05j -0.00299371+0.00470869j 0.000543081-0.00110171j -0.00165247-0.00295514j 0.00364511-0.00139342j 0.00252755-0.001958j 0.00314727-0.00272508j 0.00427685+0.00229038j -0.000842887-0.00169646j 0.00353322-0.0050982j 0.00290266+0.00364608j 0.00506246+0.00714148j 0.00661746-0.003891j -0.00399136+0.00712399j 0.000932649+0.00383923j 0.00247282+0.000125044j -0.00293397-0.00445352j 0.00186059+0.00570417j 0.000639951-0.00547818j 0.00229114-0.00213201j -0.00575524+0.00307594j 0.00197397-0.00228892j -0.0066448-0.00156611j 0.0152678-0.00467973j 0.0119043+0.00983617j 0.00300561+0.00140275j 0.00268922+0.00476034j -0.00504426-0.0125279j 0.00271461+0.00044082j -8.42207e-05-0.000162004j -0.00252957+0.00755031j -0.00735615+0.0223507j -0.00418925+0.00171541j -0.00479266-0.00227202j -0.00183236-0.00757447j 0.00869918+0.00143121j 
-0.00384553+0.00416317j -0.00186276-0.00205548j -0.00228131-0.000868753j 0.00220105-0.00557646j -0.000283848+0.00415344j -0.00329186-0.00305145j -0.00102282-0.00164164j -0.00383125-0.00368542j 0.00292858-0.00446834j 0.00184637+0.00261523j 0.00202695-0.00281891j -0.00548998-0.000285985j -0.000162834+0.00145358j -0.00157139+0.000196225j 0.00419255-0.0030739j 0.00035336+0.00155124j -0.000899024+0.00119547j -0.00205377+0.00235272j 0.000859372+0.00419157j -0.000132755+0.00117231j -0.000920189+3.81432e-05j 0.00275804+0.000675383j -0.00234661+0.0010721j -0.00151012-0.00139358j -0.0029998+0.00463764j 0.000362799-0.000992478j -0.00140067+0.00163669j -0.00320021+0.00455565j 0.000562213+0.00483562j -0.00269444-4.00479e-05j -0.00153113-0.00149617j 0.00291353-0.00313785j -0.0029344-0.00324213j -0.00136455+0.00265315j 0.00373476+0.006531j -0.00452738-0.0088256j 0.00736208-0.00279686j 0.000496975+0.00116935j 0.00298407-0.000491163j -0.00567153-0.00353348j -0.000948808-0.00442545j -0.000449695+0.000622541j 0.000639146-0.0019517j -0.0031053+1.75544e-05j -0.00906424+0.00161878j -0.00610942-0.00295881j -0.00881889+0.00575274j -0.00180346-0.00471908j -0.00252947-0.00259055j 0.000805705+0.00118428j 0.00170612+0.00535391j -0.000369778-0.00103081j -0.000592591-0.00146638j -0.00696395+0.00645628j -0.0106969+0.00222495j 0.0171829-0.0020158j 0.00170624-0.000354473j -0.0100442-0.00106787j 0.00165079+0.00128939j -0.00921243-0.00554479j 0.00255267+0.00528168j 0.0083025-0.00072436j -0.0124165+0.002994j 0.00187414+0.00698346j -0.0144726+0.000272453j 0.00353883+0.00381349j 0.000380893-0.00387496j 0.0034143+0.00125658j 0.00252507-0.00187007j 
0.00112057-0.00194384j 0.00227474+0.00316424j 0.00219319+0.000677387j -0.00110815+0.000475523j 0.00124822+0.000125886j 0.00314239+0.00220833j 0.00688817-1.03704e-05j 0.000991042-0.00219004j -0.00193546-0.00222953j 0.00591534-0.00338254j -0.00601098+0.00214491j 0.00102815-0.00012796j 0.000614681-0.00425233j 0.00500582+0.00115959j -0.00384138+0.00105883j 0.00409583+0.00510994j 0.00279555+0.00115307j 0.000600851+0.000981381j -0.00341674-0.00405192j 0.000251658+0.00144857j -0.000488709+0.00017265j 0.00121977-0.000121962j 0.000367859+0.000510408j -0.00409313-0.0021735j 0.00636878-0.00227694j 0.00146383-0.00106575j 0.00578787+0.00275348j 0.00437593-0.0019572j 0.00201347-0.00196519j 0.00276953+0.00772523j 0.00184301+0.000616428j -0.00474037+0.00226611j -0.00341655+0.000566211j -1.70069e-05-0.00258732j -0.000813088-0.00391858j -0.00458451+0.00123825j -0.00381299-0.0033048j 0.0033485-0.00239758j 0.00232975-0.00373812j -0.00169746-0.00253758j 0.000621929+0.00588785j -0.00609391-0.00542935j 0.00123459-0.000508355j -0.00574228-0.00575054j 0.00145908+0.00534081j -0.00144117+0.00192015j 0.00972262+0.00450551j -0.00354272-0.00167549j -0.00291943-0.00102079j 0.00385578+0.00700812j 0.00297025+0.00204276j 0.00411176-0.00171099j 0.00156023-0.000520828j 0.001193+6.37197e-05j -0.013217+0.00441421j 0.00610534-0.00678513j 0.00902577+0.014566j 0.000828349-0.00371144j 0.00792329+0.0088127j -0.00356199-0.00655091j -0.00191563+0.00241319j 0.0050306-0.00144633j 0.0115914+0.0111697j 0.00622636-0.0105197j -0.00258592-0.00248539j 0.00563183+0.00158923j 0.00158645-0.00485258j -0.000169982+0.00120024j 0.00366083+0.00710479j 
-0.000865282-0.00149881j 0.00186356-0.0012664j 0.00011262+0.00252587j 0.000104851+0.0008334j -0.000394084-0.00350928j 0.00158076-0.00343334j -0.00154738-0.00344535j 0.00234562-0.00188995j 0.00280462+0.00207575j 0.00142673+0.00229939j 0.00437607+0.00408594j -4.61556e-05-0.00618818j -0.00256773-0.000854109j 0.000247955+0.000707282j 0.00250072+0.0043579j -0.000919214-0.000148536j -0.000719785-0.00106555j -0.00284945-0.00293524j -0.00292085-0.00305613j 0.00255728+0.00105103j -0.00100763-0.0024137j 0.00103651+0.00209417j -0.000921878-0.00159053j 0.000430184-0.000739894j 0.0063305-0.0044603j 0.00262531-0.000593112j 0.0032336-0.00044513j -0.000529349-0.00513711j 0.000440075-0.00153486j 0.0022164+0.000860912j 0.000876724-0.00135406j 0.00519429+0.00595523j 0.00111927+0.00132628j -0.00109579+0.00121482j -0.00319993+0.00139241j 0.00727627-0.0053763j -0.00132636+0.00557889j 0.00170106-0.000769959j 0.00402248-5.20536e-05j 0.00198625-0.00687142j 0.00388705+0.000447224j -0.00259846-0.000657155j 0.00599514-0.000833909j -0.00669729+0.00224896j -0.000375125-0.00115588j 0.000343947-0.0034784j -0.00143162-0.00705338j -0.00240518+0.0021205j 0.00235188-0.00548874j 0.00810283-0.00456773j -0.000299052+0.00191538j 0.00552505-0.00308213j 0.00227186+0.00247313j -0.00870244-0.00374918j -0.00511908+0.000970985j 0.00495639-0.00265638j 0.0111625+0.0048439j -0.00267057-0.00435227j 0.0104773-0.000278029j -0.00273655-0.00657392j 0.000127158-0.007133j 0.00420209+0.0023869j 0.00915284-0.00570626j -0.00753909-0.00717723j -0.0136294-0.000752412j 0.00468511-0.000589676j -0.00148012-0.0002442j 0.00295699-0.00804199j 0.00115373-0.000801169j 
