-0.0481551-0j -0.0085127-0j -0.000709392-0j -0.0420036-0j -0.00700059-0j -0.00428697-0j -0.000875074-0j -5.15642e-05-0j -0.0264821-0j -0.0267565-0j -0.00427352-0j -0.00431781-0j -0.00348932-0j -0.00352548-0j -0.00050364-0j -0.000436165-0j -0.000508859-0j -0.000440685-0j -5.14025e-05-0j -5.19352e-05-0j -2.34619e-06-0j -2.37051e-06-0j 0.0386962-0j -0.0243486-0j -0.0142034-0j 0.0061184-0j -0.00384985-0j 0.00483702-0j -0.00224575-0j 0.00322468-0j 0.000698164-0j -0.00304358-0j -0.00202905-0j 0.00080617-0j -0.00177542-0j -0.000439302-0j 0.000285024-0j -0.00118361-0j 6.71808e-05-0j -0.00025626-0j 7.1256e-05-0j -0.000507263-0j -0.000179344-0j -0.000295903-0j -4.22719e-05-0j 5.938e-06-0j -0.000104618-0j -4.48361e-05-0j -2.46586e-05-0j 2.21296e-07-0j -3.73634e-06-0j -2.61544e-05-0j -1.39245e-07-0j -2.17953e-06-0j -8.12264e-08-0j 
0.0595889-0j 0.0105339-0j 0.000877828-0j 0.000900541-0j 0.00015009-0j 9.19111e-05-0j 1.87613e-05-0j 1.10552e-06-0j -0.031837-0j -0.0319622-0j -0.00513767-0j -0.00515787-0j -0.00419489-0j -0.00421139-0j -0.000605481-0j -0.000524362-0j -0.000607861-0j -0.000526423-0j -6.17966e-05-0j -6.20396e-05-0j -2.82062e-06-0j -2.83171e-06-0j 0.0243486-0j -0.000507165-0j -0.034238-0j 0.00384985-0j -8.01898e-05-0j 0.00304358-0j -0.0054135-0j 0.00202905-0j 0.000439302-0j -6.33956e-05-0j -4.22637e-05-0j 0.000507263-0j -0.00427975-0j -9.15036e-06-0j 0.000179344-0j -0.00285316-0j 4.22719e-05-0j -0.000617728-0j 4.48361e-05-0j -1.05659e-05-0j -3.73562e-06-0j -0.000713291-0j -8.80494e-07-0j 3.73634e-06-0j -0.000252186-0j -9.33905e-07-0j -5.94409e-05-0j 1.39245e-07-0j -7.78254e-08-0j -6.30466e-05-0j -2.90038e-09-0j -5.25388e-06-0j -1.95801e-07-0j 
-0.0347602-0j -0.00614479-0j -0.000512066-0j 0.0590636-0j 0.00984393-0j 0.00602815-0j 0.00123049-0j 7.25074e-05-0j -0.0191158-0j -0.0173409-0j -0.00308479-0j -0.00279837-0j -0.00251872-0j -0.00228486-0j -0.000363546-0j -0.00031484-0j -0.000329791-0j -0.000285608-0j -3.71043e-05-0j -3.36592e-05-0j -1.69357e-06-0j -1.53632e-06-0j -0.0142034-0j 0.034238-0j -0.0394117-0j -0.00224575-0j 0.0054135-0j -0.00177542-0j -0.00623154-0j -0.00118361-0j -0.00025626-0j 0.00427975-0j 0.00285316-0j -0.000295903-0j -0.00492646-0j 0.000617728-0j -0.000104618-0j -0.00328431-0j -2.46586e-05-0j -0.000711074-0j -2.61544e-05-0j 0.000713291-0j 0.000252186-0j -0.000821077-0j 5.94409e-05-0j -2.17953e-06-0j -0.000290295-0j 6.30466e-05-0j -6.84231e-05-0j -8.12264e-08-0j 5.25388e-06-0j -7.25737e-05-0j 1.95801e-07-0j -6.04781e-06-0j -2.25388e-07-0j 
0.00600051-0j -0.0500155-0j -0.0126807-0j 0.00523398-0j -0.0411312-0j 0.00053419-0j -0.0103918-0j -0.00123112-0j 0.00329987-0j 0.00333407-0j -0.0251086-0j -0.0253688-0j 0.000434797-0j 0.000439302-0j -0.00598092-0j -0.00256264-0j -0.0060429-0j -0.0025892-0j -0.00091884-0j -0.000928362-0j -7.00934e-05-0j -7.08198e-05-0j 0.00245187-0j 0.00303403-0j 0.00176985-0j -0.0182792-0j -0.0226194-0j 0.000306483-0j -0.0131946-0j 0.000204322-0j -0.00421588-0j 0.000379254-0j 0.000252836-0j -0.0024085-0j 0.000221231-0j -0.00521689-0j 1.80597e-05-0j 0.000147488-0j -0.000610638-0j -0.00304318-0j -0.000430282-0j -0.00298037-0j 2.23477e-05-0j -0.00173855-0j -0.000755627-0j -7.20899e-05-0j 1.30362e-05-0j -0.000532446-0j -0.000440782-0j -4.03696e-06-0j -8.92066e-05-0j -0.000310594-0j -4.99548e-06-0j -5.20372e-05-0j -2.91403e-06-0j 
-0.00700059-0j 0.0583514-0j 0.0147941-0j -0.000105797-0j 0.000831406-0j -1.07979e-05-0j 0.000210055-0j 2.48852e-05-0j -0.00384985-0j 0.00375496-0j 0.0292934-0j -0.0285714-0j -0.000507263-0j 0.00049476-0j 0.00697774-0j 0.00298974-0j -0.00680575-0j -0.00291605-0j 0.00107198-0j -0.00104556-0j 8.17757e-05-0j -7.97601e-05-0j 0.00562549-0j -6.13283e-05-0j 0.00402233-0j -0.0419393-0j 0.000457217-0j 0.000703186-0j -0.0299874-0j 0.000468791-0j -0.0096728-0j -7.66604e-06-0j -5.11069e-06-0j -0.00552599-0j 0.000502791-0j 0.000105451-0j 4.14356e-05-0j 0.000335194-0j -0.00140103-0j -0.00691622-0j -0.000987226-0j 6.02436e-05-0j -4.51726e-07-0j -0.00395118-0j 1.52738e-05-0j -0.000165401-0j 2.96272e-05-0j 1.07626e-05-0j -0.00100176-0j -9.26228e-06-0j 1.80318e-06-0j -0.000705884-0j 1.00976e-07-0j -0.000118265-0j -6.62269e-06-0j 
-0.00428697-0j 0.0357328-0j 0.0090595-0j -0.00373933-0j 0.0293856-0j -0.000381644-0j 0.0074243-0j 0.000879552-0j 0.0069384-0j -0.00238197-0j -0.0527941-0j 0.0181244-0j 0.000914215-0j -0.000313853-0j -0.0125756-0j -0.00538827-0j 0.00431725-0j 0.00184981-0j -0.00193198-0j 0.000663254-0j -0.00014738-0j 5.05961e-05-0j -0.0017517-0j 0.00637943-0j -0.00126444-0j 0.0130593-0j -0.0475602-0j -0.000218962-0j 0.00942671-0j -0.000145975-0j 0.00301197-0j 0.000797429-0j 0.000531619-0j 0.00172072-0j -0.000158055-0j -0.0109692-0j -1.29025e-05-0j -0.00010537-0j 0.000436261-0j 0.00217416-0j 0.000307408-0j -0.0062666-0j 4.6989e-05-0j 0.00124208-0j -0.0015888-0j 5.15035e-05-0j -9.3135e-06-0j -0.00111954-0j 0.00031491-0j 2.88414e-06-0j -0.000187568-0j 0.000221899-0j -1.05036e-05-0j 3.71772e-05-0j 2.08188e-06-0j 
0.00612552-0j -0.0510575-0j -0.0129448-0j -0.00515787-0j 0.0405332-0j -0.000526423-0j 0.0102407-0j 0.00121322-0j -0.00327272-0j -0.00340149-0j 0.024902-0j 0.0258818-0j -0.000431219-0j -0.000448185-0j 0.00593171-0j 0.00254155-0j 0.00616509-0j 0.00264155-0j 0.00091128-0j 0.000947134-0j 6.95167e-05-0j 7.22518e-05-0j 0.00250295-0j 0.0029048-0j 0.00162216-0j -0.01866-0j -0.0216559-0j 0.000312868-0j -0.0120936-0j 0.000208579-0j -0.00430371-0j 0.0003631-0j 0.000242066-0j -0.00245868-0j 0.00020277-0j -0.00499468-0j 1.84359e-05-0j 0.00013518-0j -0.00062336-0j -0.00278923-0j -0.000439246-0j -0.00285342-0j 2.13959e-05-0j -0.00159347-0j -0.000723441-0j -7.35917e-05-0j 1.19483e-05-0j -0.000509767-0j -0.000403999-0j -4.12106e-06-0j -8.5407e-05-0j -0.000284675-0j -4.7827e-06-0j -4.76948e-05-0j -2.67086e-06-0j 
-0.00252665-0j 0.0210601-0j 0.00533947-0j 0.00645891-0j -0.0507574-0j 0.00065921-0j -0.0128239-0j -0.00151924-0j -0.00138949-0j -0.0066353-0j 0.0105725-0j 0.0504878-0j -0.000183081-0j -0.000874278-0j 0.0025184-0j 0.00107906-0j 0.0120263-0j 0.00515289-0j 0.000386898-0j 0.00184758-0j 2.95144e-05-0j 0.000140942-0j -0.00103241-0j 0.0037441-0j -0.000892216-0j 0.00769688-0j -0.0279131-0j -0.000129052-0j 0.00665168-0j -8.60344e-05-0j 0.00177519-0j 0.000468012-0j 0.000312008-0j 0.00101415-0j -0.000111527-0j -0.00643782-0j -7.60444e-06-0j -7.43514e-05-0j 0.000257123-0j 0.00153413-0j 0.00018118-0j -0.00367788-0j 2.75779e-05-0j 0.000876436-0j -0.00093247-0j 3.0355e-05-0j -6.57179e-06-0j -0.000657057-0j 0.000222207-0j 1.69985e-06-0j -0.000110084-0j 0.000156576-0j -6.1646e-06-0j 2.6233e-05-0j 1.46902e-06-0j 
0.00378315-0j -0.0639381-0j 5.57311e-05-0j 0.00329987-0j 0.000549979-0j -0.0647348-0j -0.0065726-0j 4.05098e-06-0j 0.00208048-0j 0.00210204-0j 0.000335736-0j 0.000339215-0j -0.0262079-0j -0.0264795-0j 3.95668e-05-0j -0.00658625-0j 3.99768e-05-0j -0.0066545-0j -0.000386079-0j -0.00039008-0j 1.84321e-07-0j 1.86231e-07-0j 0.00154583-0j 0.00191287-0j 0.00111584-0j 0.000244418-0j 0.000302451-0j -0.0184737-0j 0.00017643-0j 0.000128819-0j 2.78902e-05-0j -0.02286-0j 0.000159406-0j -0.00307895-0j -0.013335-0j 3.45124e-05-0j -0.00328849-0j 9.29867e-05-0j 2.68374e-06-0j 2.01322e-05-0j -0.000547132-0j -0.00381-0j -0.0040693-0j -0.0022225-0j 3.32095e-06-0j -2.26786e-05-0j -0.00237376-0j -0.000677042-0j 1.93722e-06-0j 8.84033e-09-0j -2.80633e-05-0j -0.000394941-0j 1.09394e-08-0j -1.63703e-05-0j 6.38129e-09-0j 
-0.000546051-0j 0.00919942-0j -0.109586-0j -0.000476296-0j 0.00756533-0j -4.86117e-05-0j -0.0441113-0j -0.0160433-0j -0.000300291-0j -0.000303403-0j 0.00461827-0j 0.00466613-0j -3.95668e-05-0j -3.99768e-05-0j -0.0253878-0j 0.00047135-0j -0.0256509-0j 0.000476235-0j -0.00794063-0j -0.00802292-0j -0.00122088-0j -0.00123353-0j -0.000223122-0j -0.000276099-0j -0.000161058-0j 0.00336213-0j 0.00416042-0j -2.78902e-05-0j 0.00242691-0j -1.85935e-05-0j -0.0178956-0j -3.45124e-05-0j -2.30082e-05-0j 0.000442999-0j -2.01322e-05-0j -0.0221447-0j -1.64345e-06-0j -1.34215e-05-0j -0.00527715-0j -0.0129177-0j -0.00182646-0j 0.000548183-0j -2.03366e-06-0j 0.000319774-0j -0.00653014-0j -0.000939437-0j -1.1863e-06-0j -0.00226013-0j -0.00380925-0j -8.80165e-05-0j -0.00116249-0j -0.00131841-0j -0.000108915-0j -0.000678121-0j -6.35336e-05-0j 
-0.00427352-0j 0.0722258-0j -6.29549e-05-0j -6.45839e-05-0j -1.0764e-05-0j 0.00126697-0j 0.000128636-0j -7.92842e-08-0j -0.00235015-0j 0.00229222-0j -0.000379254-0j 0.000369906-0j 0.029605-0j -0.0288753-0j -4.46955e-05-0j 0.00743996-0j 4.35938e-05-0j -0.00725658-0j 0.000436123-0j -0.000425373-0j -2.08213e-07-0j 2.03081e-07-0j -0.0017462-0j -3.7438e-05-0j 0.00245544-0j -0.000276099-0j -5.91946e-06-0j 0.0208682-0j 0.000388238-0j -0.000145517-0j -3.15053e-05-0j 0.000447408-0j -3.11983e-06-0j 0.00347804-0j -0.029344-0j -6.75463e-07-0j 0.00371474-0j 0.00020462-0j -3.0316e-06-0j 4.43015e-05-0j 0.000618052-0j 7.45679e-05-0j 7.96427e-05-0j -0.00489067-0j -6.49965e-08-0j 2.56182e-05-0j -0.00522351-0j 1.32508e-05-0j 4.26291e-06-0j -9.98622e-09-0j 5.49245e-07-0j -0.000869078-0j -2.14101e-10-0j -3.60232e-05-0j 1.40422e-08-0j 
