-0.0037647+0.00683737j -0.00662743-0.00295044j -0.000753204+0.00618129j 0.00574352-0.000324571j 0.00245292+0.00115302j -0.00224679-0.000976961j -0.00214074+0.00472671j 0.00230667+0.00255447j -0.00145046-0.00156204j -0.0032733+0.000544518j -0.00277781+2.3034e-06j 0.000739177+0.00583347j -0.00440574-0.00115346j 0.00258629-0.000769736j -0.00209709-0.000751723j 0.000973065+0.00125829j -0.000850047+0.00105811j 0.000144005+3.01561e-05j 0.00135871+0.000398591j 0.00314676-0.000251111j -0.00265041+0.00278956j -0.00176343-0.00245964j -0.00102488-0.000494707j 0.00140346+0.00306499j -0.000266187+0.00203286j -0.000599721-0.00201087j -0.00083196+0.000577112j -0.0021748-0.000125826j 0.00124767-0.000342491j 0.00094076+0.000433414j -0.00104053+0.0016118j -0.000879537+0.000603536j 0.000669546-1.12576e-05j -6.12425e-05-0.00181485j 0.000731485-0.000721079j 0.00234274+0.000552509j 0.000388185-0.000664255j -0.00137378-0.00063842j 0.00139485+0.000247577j -0.00294445+0.00163572j 3.13902e-05+0.000631425j -0.00117656+7.77653e-05j -0.00102423-0.00198643j -0.000112542+0.00171129j 0.00200092+0.0020341j -1.70829e-06+0.00042559j 0.00260784+0.000318822j 0.0002896-0.00138479j -0.000558064+0.000778119j -0.000615416+0.00119435j -0.000129554+0.00180428j -0.000556532-0.000575743j 0.000719389-0.00065517j -1.52844e-05-0.00209099j -0.00164483+0.00118308j -0.00104567+7.84553e-05j -0.000793838+0.00305585j 0.00113624+0.00391322j 0.0102845-0.00150686j -0.0042071-0.00503512j 0.00154521-0.0119014j 0.00729624-0.00105848j -0.00236084+0.000118337j -0.00495517+0.00754771j 0.00279384+0.00079184j -0.00661318-0.00266977j 0.00624637+0.00598718j -0.0045244+0.00712532j -0.00873467-0.0119108j -0.0125828+0.00868804j 
0.00513775+0.00360545j -0.00331859+0.00530279j 0.00404099-0.00173735j -0.00239922-0.00393256j 0.000647859-0.00532921j -0.00421782+0.00195742j 0.00517197+0.00185522j -0.000233288-0.00372405j 0.000413123-2.19186e-05j -0.000515739+0.00327939j -0.00374932+0.00232795j 0.00490299+0.00229266j -0.000906762+0.00249554j -0.000123548-0.00315589j -0.00218537+0.000347914j 0.00175563-0.00318738j 0.000871589-0.00033921j -0.00256072+0.000597296j -0.00017724-0.000875065j -0.000374754-0.000312545j 0.00103031+0.00159032j -4.55159e-05+0.000964715j 3.58392e-05+0.00142924j 0.00127676-0.000671053j 0.000875079+0.000641573j -0.00083359-0.000497155j 0.00239919+0.000589962j -0.000332699-0.000405181j -0.00131859-0.00190497j 0.00126015+0.000260958j 0.000355895+0.00188772j -7.69513e-05+0.00338389j 0.00103296-0.000479103j 0.000165646+0.00157158j -0.0019311+0.000563035j -0.00046282-6.49245e-05j -0.00144911-0.000712381j -0.00144823+0.00255379j -0.00169345+0.00178623j 0.00156025-4.16154e-05j 0.000215654-0.000677981j 0.000858627+0.000892113j -0.00286613-0.000203487j -0.000598991-0.000169108j -0.000874673-0.000360618j 0.000392294-0.00116051j 0.00302447-0.00064932j -5.39496e-05+0.000977394j 0.000359625-0.00155454j 0.00217599+0.000138158j -0.000311055+0.00242594j 0.00115641+0.00181518j 0.000480456+0.00273851j -0.00222083+0.00121721j 0.000308538-0.000783423j 0.000502847-0.00230593j -0.00208551+0.000129352j 0.00405544-0.000212785j -0.002871-0.00970356j -0.00544524+0.00719922j -0.0104652-0.0018792j 0.00278856-0.00490973j -0.00341454-0.00105748j 0.00642988+0.00602675j -0.00167856-0.00564342j -0.00797688+0.00696229j 0.000775031-0.00572825j 0.00644776+0.00111507j -0.0135776+0.00723161j 0.00672794+0.0132531j 
0.00439967+0.00427568j -0.00367215+0.00496903j -0.000901703+0.00131391j 0.00018129-0.000329471j -0.00128684-0.000940943j -0.0026126+0.00404297j 0.0017955+0.00388471j 0.00251516+0.00377336j -0.00528193+0.00307902j 0.00405766+0.00323778j -0.00110229+0.00405925j 0.0023302-0.000312915j -0.00137729-0.001731j 0.00036889+0.00414313j -0.00100532-0.00273933j 0.000375828-8.13977e-05j -0.000807116+0.00208209j -0.00143192-0.00226637j 0.00257938-0.00164535j 0.000476817-0.00125698j 0.00208131+0.00090419j -0.000233343-0.000314671j 0.000503123-0.000464042j -0.00241416-0.0049824j 0.00174755-0.000625864j -0.000337013+0.00137653j 0.000492914-0.00134815j -0.00140659-0.000623399j -0.00115056+0.00238858j 8.6552e-05+0.000321073j -0.00212053+0.00100226j 0.000378264-0.000454452j 0.000578656+0.00175679j 0.00216569+0.000938176j -0.000677778-0.00012087j -0.000747878+0.00159664j 0.000204007+0.00108088j 0.00061892-0.000874566j 0.000752046-0.000516537j 0.00152126+0.00240757j 0.000104781+0.000607343j 0.00118653+0.000356983j 0.00147258-0.00239873j 0.00104424+0.000748702j -0.000665998-0.00163458j -0.000799354+0.00240814j -0.00202665-0.0036756j -0.000463337+0.000479911j -0.00244796-0.000541045j 0.00332896-0.0027695j 0.00228579-0.00132381j 0.000781582+0.00267512j -0.00517044+0.000835724j 0.00267349+0.00405855j 0.00345492+0.00272771j 0.00351311-0.00339911j 0.00409113-0.00147279j 0.00244716-0.00450314j -0.00808644-0.00536106j 0.00091721+0.00318052j -0.000706919-0.00020312j 0.00136375+0.00226289j -0.00176297+0.0100763j 0.00728858+0.000502895j 0.000761319+0.00134943j 0.0037446+0.0030315j -0.00791853+0.00851954j -0.00449258-0.00775327j -0.00947571+0.00428327j 0.00483184+0.010373j 
0.00435713-0.00588314j 0.00665069+0.00410976j -1.89871e-05-0.00209796j -0.00299295+6.33069e-05j -0.00319195+0.00111614j 0.00352807+0.00262925j 0.00176277-0.00311456j -0.000280511-2.64601e-05j 0.000956062+0.0030481j 0.00380292-0.000919694j 0.00333557+0.00192368j 8.71349e-06-0.00626151j 0.00265063+0.000865867j -0.00169331+0.000317091j 0.00171772+0.00166787j -0.00178426-0.00130945j 0.000478616-0.000998959j -0.000474692+0.000847561j -0.00149076+0.000710539j -0.00142183+0.000105177j -0.00134773-0.00163992j -0.000336642+0.000268564j -0.000264409+0.000162367j -0.000382294-0.0011201j 0.000284262-0.00074275j 0.00046909+0.00103994j -0.00115639-0.000624832j 0.000478067+0.00293234j -0.000217753+0.000879652j -0.00128575+1.07259e-05j 0.000792751-0.00166682j 0.000840703-0.000804652j 0.000958795-0.00200898j 0.00188513-0.00052413j 0.00336407+0.0006441j -2.66057e-05-0.000764249j 0.00350694-0.00016328j 0.000311755+0.000895827j 0.000994733-0.000866541j 0.000721267-0.00149664j -0.00136277+0.000739025j -0.00038266-0.000897959j 0.00221077+0.0051524j -0.00158277-0.000390992j -0.000647254-0.00140722j -0.000357187-0.00178864j -0.00339821-0.00102582j 0.000283231+0.000466988j 0.000199405-0.00098736j 0.00199472-0.00220967j 0.00287511-0.0053385j -0.000882976-0.00500416j 0.00170454+0.00276507j 0.00436874-0.000917409j -0.00259138-0.000217472j -0.00575223-0.00860508j 0.000201573+0.00129823j -0.00375236-0.00759903j -0.00762384+0.00286247j 0.0060984+0.00190077j 0.00838653+0.00555136j -4.334e-05-0.00780797j 0.00401606+0.0015613j -0.00153117-0.00393346j -0.000319209+0.000857286j 0.0020664+0.00287669j -0.00492841+0.00545331j -0.00535064-0.00514411j 0.00791241+0.00911381j 0.00934126-0.005219j 
0.00343592-0.000233406j 0.000970497+0.00167858j 0.0065202-0.00297514j -0.00326686-0.00449316j 0.00256221-0.00304358j -0.000503197-0.00149596j 0.00381292+1.08945e-06j 0.00010205-0.00516709j 0.00324205-0.000545291j -0.000916217+0.00099452j 8.96465e-05+0.000108259j 0.00139634-0.00011773j 0.00088138+0.00267518j -0.00167664-0.00401224j 0.000324005+0.00105764j 0.000129196-0.00169273j 0.00116024-0.00102825j 0.0005843+0.00161192j -0.00152641-0.000265265j -0.00101934-0.00105106j 0.00246524+0.00317153j -0.00105541+0.00309061j 0.000130396+0.00213233j 0.00230247-0.00150944j 0.00103455-0.00123163j -0.000938735-0.00029394j 0.00249709+0.000818482j 0.00256895+0.000444552j -0.00123278-0.00288347j 0.00144411-0.00105921j 0.00203137+0.000752903j 0.00155684+0.00199245j -0.00105756-0.00152586j -0.0017851-0.000136427j -0.0005168-0.0013602j -0.000389774-0.00220318j -0.00299781-0.00427526j 0.000405868+0.00395975j -0.00187869-0.00130811j 0.0013004-0.000533825j 0.00132999+6.65186e-05j 2.39617e-05+0.0029029j -0.00037738+0.0017299j 0.00127804+0.00116465j 0.000666626-0.000922101j -0.00144969+0.000577879j 0.00286185-0.000361635j 0.00077607+0.00121972j 0.000324505+0.000481335j -0.00121256-0.00314248j -0.00194463-0.000231871j -0.00279825+0.000517753j 0.00446653-0.000887179j -0.00374611+3.95488e-05j 0.00257141+0.00466291j -0.00717142+0.00627906j 0.00282794+0.00442667j -0.00223815+0.00033396j -0.00508349-0.00555257j -0.00135663+0.00404446j -0.0107663-0.00693894j -0.010227-0.0100204j 0.000503342-0.00152152j 0.0070891+0.00597428j -0.00144774-0.00274348j 0.00148447+0.0102641j 0.00752632-0.00787543j 0.00829874+0.00523946j -0.00521415+0.00699989j 0.0102855+0.00564501j 
-0.00168808+0.00151766j -0.00166907-0.000970508j -0.000811085-0.00273848j -0.00160792+0.000583036j -0.00128817-0.00102702j -0.00190422-0.00215787j -0.00324522-0.00151392j -0.0059254+0.00261475j -0.00116374-0.005363j -0.000800038+0.00218197j -0.00150322+0.000233343j 0.000414208-0.00201728j 0.00380426-0.00226653j -0.00412035+0.00168j 0.00276982+0.000613077j -0.00187718-0.00139384j -0.000682-0.00244577j 0.00218663+0.000679684j 0.00133531+0.000175588j 0.000602332+0.00173067j 0.00176752+0.000771671j 0.00245554-0.000721648j 0.00267389-0.000777903j 0.00224956-0.00560571j 0.00122617-5.03418e-05j -0.00165011+0.00228423j 0.00188628+0.00162425j 0.00240406-0.00186064j -0.00328626-0.00120978j 0.000541591+0.000740367j -0.00075834+0.000107476j 0.00303872+0.000329112j -0.00231817+0.000955381j 0.000101561+0.00419877j -0.00211935+0.00306443j -0.00201283+0.00147756j -0.0029238+0.00112921j 0.00261455+0.000454758j 0.00140447+0.000110859j 0.00012903-0.00175365j -0.00123049+0.00200043j 0.000129295+0.000671804j 0.00217187-0.000910816j -0.000559694+0.00274185j -0.0010626+0.000512672j -0.00536247+0.00110037j 0.00534574+0.00116118j 0.00188866+0.00274581j -0.00490744-0.00194502j 0.0046285+0.00392748j 0.000315202+0.0028666j -0.000601925+0.0013479j 0.000789086-0.00486293j -0.00449489+0.00647065j -0.00271579+0.00309044j 0.0023366+0.00339639j -0.00225327+0.00416227j 0.00219702-0.000570077j -0.000727939-0.00445309j 0.0035166+0.0052924j 0.00481292+0.00979393j -0.00411144+0.00445867j -0.0130031+0.00107665j 0.00175276+0.000549045j -0.00562967+0.00510247j 0.00444928+0.00762494j -0.0118318-0.00944659j 0.00957862-0.00850855j 0.00746555+0.000256528j -0.00141837-0.00607061j 
-0.00113718+0.00588376j -0.00746945+0.000966649j -0.0051148-0.00175316j 0.000668005+0.00196633j -0.00110263-0.00338725j -0.00605414+0.00153149j -0.00143016+0.00201675j -0.00251181+0.00134252j -0.00517621-0.00231967j 0.00128536+0.00470987j -0.00516731+0.0004737j 0.00190646+0.00261914j 0.00104021-0.00059069j -0.0029142-0.000352557j -0.000465596-0.00254141j 0.00056666-0.00298978j -0.00145567-0.00222434j -0.00223187-0.00156404j 0.000663868+0.00100942j 0.000633475+0.000940001j 0.000335352+1.21082e-05j 0.000292667+0.000328552j 0.000533202+0.000970312j 0.00148577-0.000362856j 0.00135113+0.00063226j -0.00144604-0.000337558j 0.00219755+0.000757336j -0.00145871-0.000168896j -0.00221454-0.000640513j 0.00179277+0.00151553j -0.00101147+0.00159598j 0.00149474+0.00275933j 0.00187721-0.00124758j 0.00317406+0.00106968j 4.38961e-05-0.000458706j 0.000870075+0.00165743j 0.00197876-9.9377e-05j -0.00241846+0.00129097j -0.000163858+0.00159667j 0.00147928+0.00312905j 0.000896229-0.000161616j 0.000642414+0.000186294j -0.00134195-0.00211788j 0.00299236+0.00198853j 0.0032375-0.000917j -0.000617671+0.00131089j 0.00433848-0.00325166j -0.00298666-0.00297959j 0.00032083+0.000748581j 0.00395616-0.00424129j 0.00441961-0.000523916j -0.00290069-0.00646909j -0.00529593+0.00245472j 0.00287273+0.0046693j 0.0025939+0.00102049j 0.00578145+0.00263858j 0.00562628-0.000821592j 0.00475354+0.000857745j -0.000934917-0.00202442j 0.00132178+0.00178313j 0.00314758+0.00343041j 0.00738912-0.000339236j 0.000712461-0.00175146j -0.0017265-0.00138175j -0.000241797-0.00203197j -0.00559022-0.000989097j -0.0125453-0.00674918j 0.00319355-0.00743821j -0.00672785+0.000472843j -0.00567462+0.002311j 
0.0043301-0.000813146j -0.00085713+0.00372814j 0.0032056-0.00475179j -0.00324288-0.00146854j 0.0029336-0.0028363j -0.00187071-0.00491903j 0.000191806-7.57484e-05j -0.00115123-0.000980983j 0.00231434+0.00215325j 0.00424323+0.00087875j -0.00117241+0.00077785j 0.000550549+8.3212e-05j 0.000800226-0.00309298j 0.00145825-0.000991895j -0.00111548+0.00258263j 0.00380325-0.000888434j 0.00496808-0.000805821j 0.00192961-0.00263473j -0.0022851-0.00160446j -1.59106e-05+0.00544367j 0.00123259-0.0014611j 1.83596e-05-0.00465525j -0.00050891-0.000318672j -0.00363331-0.00212592j -0.000447697-0.000354769j -0.000140626-0.00152852j -0.00253938+0.0020758j 0.00432032+0.000529131j 0.00248069-0.00188791j -8.12786e-05+0.000568002j -0.0021347-0.00410235j -0.000582946+0.000288973j 0.0043668+3.81455e-06j 0.00167993+0.00128852j 0.00183383+0.00541107j -0.000242332+0.00274949j 0.000555677+0.00229582j -0.00121978-0.00289767j -0.00363403+0.00116336j 0.00359701-0.00433362j 0.000181356+0.000502282j 0.00154664+0.00113483j 0.00539528-0.000205754j 0.00361015+0.00401739j -0.000436112-0.000793939j 0.00302325+0.00150924j -0.00120639+6.63715e-05j 0.00170941+0.00104363j 0.00105536+0.000541339j 0.000983636+0.000239963j 0.00362045-0.00431163j 0.00912189-0.00357546j 0.000882169-0.00264537j 0.00181806+0.00372096j 0.00136173-0.00589702j 0.00312264+0.000795578j 0.00449622-0.00251698j -0.0029052-0.00561446j -0.00573806+0.00633429j 0.00285837+0.000735668j -0.00331137+0.00345096j 0.00390191+0.0093296j 0.0033059+0.00102939j -0.0068608-0.00264228j 0.00638022+0.010416j 0.0106654-0.0137353j 0.00237987-0.000236997j -3.64173e-05-0.00134521j -0.00194493-3.99399e-05j 0.00468685-0.0017881j 
-0.000490439-0.000929743j 0.00125651+0.000467948j -0.000792288+0.00190173j -0.000799149-0.000742204j 0.000310064+0.000193556j 0.000388357-0.00387431j -0.00227226+0.000465061j -0.00310582+0.000759787j 0.00148069+0.000813488j 0.00115707-0.00239459j -0.00111925+0.000206114j -0.000613719+0.00184211j 0.000514967-0.00301252j -0.00261732+0.00108461j -0.000208239+0.00336696j -0.000946243+0.00143476j -0.000568811-8.75968e-05j 0.00379451-0.000218361j 0.000177511+0.00183735j 0.0020635+0.00346226j -0.00169557+0.000192049j 0.00102795-0.0035021j 0.00110331-0.000649284j 0.00258933-0.00174105j -0.00164416+0.00185611j -0.000724775-0.000529476j -0.000809366+0.00217776j 0.00524237+0.000231243j -0.000513003-0.00187737j -0.00103137-0.000135577j -0.000595126-0.00330452j -0.000368811-0.00151606j -0.00274685-0.000880976j -0.00121785-0.0019955j 0.00117103-0.000137887j -0.00169967-0.00215093j -0.00183439-0.00191304j 0.00213503+0.00184018j -0.00298311+0.00101756j -0.000991736-0.00384372j 6.75202e-05+0.000157921j -0.000948455+0.00151637j 0.00733649+0.00024785j -8.08196e-05-0.00186583j -0.00148172-0.00415028j -0.000580054+0.000477785j 0.00101661-0.00243432j -0.000389884+0.00138002j 0.00340909-0.000358473j -0.00680409-0.00239604j -0.00380217-0.00557416j -0.00743163+0.00442413j 0.00566193-0.00303519j 0.000581326-0.00313883j -0.000204252-0.00267275j 0.00514019+0.00800813j 0.00389597-0.00653539j -0.00405713+0.00312664j 0.00139954-0.00195407j 0.00383969-0.00461029j 0.00645921-0.0117984j -0.00795327-0.00304341j -0.00788135-0.0107683j -0.0114169+0.0126009j 0.0041235+0.00569109j 0.00284963+0.000233549j -0.00250774-0.00131539j 0.00107143+0.00232841j 0.00822507-0.00530041j -0.00719392-0.000469935j 
-0.00118712-0.00160793j 0.00187979-0.00356257j 0.000884012-0.00401893j -0.00234461+0.00230181j -0.00108974+8.34804e-05j -0.000294398+0.00066521j 0.000397724-0.001164j 0.00135011+0.000540035j -0.00172765-0.00246446j -0.00242166+0.000784447j 0.00539932-0.002411j -0.000778877-0.00273685j -0.000525023+0.00450239j 0.00127058+0.00168598j 0.00503008+0.000293536j 0.00162872+0.00234533j 0.0016721-0.00066153j -0.000177764-0.00516793j 0.00219844-0.00045908j -0.000896385-0.00306118j 0.00361345-4.28869e-05j -3.52351e-06+0.0038054j 0.000191551+0.000763281j -0.00471917+0.000430513j 0.00120046-0.00073298j -0.000711352+0.00238063j -0.00159672+0.00247158j 0.000136179-0.00357777j -0.000447092+0.00155836j -0.00202378+0.0026904j -0.00337051+0.000722374j -0.00373179+0.000125774j 0.000266582+0.000807464j 0.000556359+0.000985577j -0.00215479-0.00162437j -0.00110917+0.00125314j 0.00111876+0.00383201j 0.000905381-0.00480806j 0.00366006-0.000295331j -0.00331682+0.00246865j 0.000805175+0.000775066j 0.00159659-0.00118154j 0.00213987-0.0104795j 0.00233882-0.000286002j -0.00132443-0.00155974j -0.00120513-0.00143707j 0.00226175-0.00125289j -0.000681711-0.00337087j -0.00296701-0.00194652j 0.00272485-0.000570223j -0.00399957-0.00187985j 0.00309887-0.00253245j -0.00606569-0.00308467j 0.00116204+0.0018711j 0.00388736+0.00444645j 0.00139577-0.000427394j 0.00479494-0.000458247j -0.00345964+0.0110497j -0.00354294-0.00194628j 0.00873882-0.0027057j 0.00111845-0.00594719j 0.00102449+0.000802423j 0.00567222+0.00966435j 0.00548544+0.00102578j 0.00812658-0.00105536j 0.0072944-0.00271852j 0.00670734-0.00378705j 0.000811779+0.000302288j 0.00539898-0.00396564j 0.00112297-0.00466574j 
-0.00246807+0.00150165j 0.000444482-0.00228725j 0.00579197+0.000900774j 6.68819e-05-0.00375141j 0.00406875+0.00152245j 0.00390587-0.00418789j -0.00245766-0.00166112j -4.76118e-05-0.00223228j 0.00179023-0.00211533j -0.00304899-1.57129e-05j 0.000779373+0.000110797j -0.0017787+0.000622463j -8.74531e-05+0.000941726j 0.00434557-0.00174701j -0.00198143+0.00253522j 0.000732298+0.00202294j 0.00218735+0.00187856j 0.0035434+0.00350796j 0.00242173-0.00359853j -0.00157572+0.000679128j 0.00182678+0.00302166j 0.000859754-0.000679659j -0.000439926-0.000258175j 0.000684153+0.000550202j -6.7425e-05-0.00105807j 0.00183015-0.00155026j -0.00123727-0.000138746j 0.00191035+0.00119357j 0.0029963-0.00168078j -0.00106502-0.00295434j 0.000754084-0.00197399j -0.00368195-0.00121224j -0.00095867+0.00184773j -0.000560979+0.00164296j -0.00259301+0.00270434j -0.000660131+0.000733866j -0.000476386+0.00074439j 0.000634303-0.00254317j -0.00224458-0.00290016j 0.000714646+0.00137806j 0.0027583-0.00205823j -0.00341505+0.00104439j 0.00553613+0.00372705j 0.000125765+0.000421412j 0.00178742-0.003337j -0.000879554-0.00154427j 0.00796587+0.000923636j -0.00485417-0.000765096j -0.00402721-0.00112107j 0.00682829-0.00165992j 0.00431374+0.000825908j 0.00824149+0.00153571j 0.000694593+0.00396615j -0.00568225+0.000747557j 0.000143535+0.00222112j -0.00526192+0.0068223j 0.000993865+0.00357464j -2.87808e-05-0.00220445j 0.00486398-0.008761j 0.0014948+0.00799628j 0.00955969+0.00213068j 0.00943269+0.000761082j 0.00224317+0.00590356j -0.00390749-0.00539672j -0.00581344+0.00577759j 0.000587403+0.00704428j 0.0131115-0.00174186j 0.00291869+0.00596021j -0.000547812-0.00323431j -0.00605528+0.00225418j 
