5.04719e-13+0.0275736j 1.11051e-13+0.160709j 6.92323e-16-0.0876491j -7.36595e-16+0.00597353j 1.94087e-16-0.0155932j 3.84133e-15-0.0353028j 4.45448e-16-0.0325082j -7.32901e-16-0.037382j -1.86419e-16-0.0024562j 9.16746e-16+0.0799208j -2.41984e-15+0.00543519j 2.59702e-16-0.0797053j 2.35733e-15-0.0240249j 1.41371e-15-0.00637218j 1.26656e-15+0.0501786j 6.52308e-15+0.0424504j 1.06765e-14-0.0414547j 3.58719e-15-0.0203392j -1.14754e-14+0.109181j -1.272e-15+0.0409449j -2.16465e-14+0.0562113j 1.28808e-14-0.0929821j 1.00742e-14-0.0588473j -7.11791e-14-0.0764676j -5.67075e-16+0.0605514j -4.4193e-14-0.0647056j -4.9946e-15-0.0226562j 1.55132e-14+0.0865129j 1.07342e-14+0.0217377j -1.20638e-14-0.0988592j -1.03724e-14-0.00860356j 1.30613e-14+0.0211727j 1.89034e-14+0.013484j -2.29555e-14-0.0135674j 4.09889e-15-0.0237025j -6.91908e-15+0.0628636j 7.7774e-15+0.0456469j 1.52565e-14+0.0246729j -1.04641e-14-0.0163144j -1.04118e-14-0.0469373j -6.25262e-15+0.00229431j 2.39481e-14+0.0995717j 3.08502e-15-0.0207711j 2.0152e-14+0.0160004j 9.5284e-15+0.105464j -1.47988e-14+0.0565026j -6.40148e-15-0.0159331j 3.10725e-14+0.0983279j 1.9146e-15+0.0204577j -1.76552e-15-0.00963147j 1.7744e-15+0.000384315j 9.25918e-17-0.00373587j 2.78242e-15-0.0125569j 1.1701e-15-0.000695997j 2.05972e-17+0.01695j -6.03968e-16-0.0264951j 8.82872e-15-0.0609416j 3.00288e-15-0.00218027j -1.10777e-14-0.04738j 3.23129e-14-0.0210463j 9.32762e-15+0.0283304j -1.27022e-15+0.047229j 5.27647e-16+0.0310724j 2.42648e-16-0.00270719j -3.99436e-16-0.0376149j -1.47235e-16+0.0110176j 2.73338e-16+0.0167306j 2.86216e-15-0.030151j -4.7895e-16-0.00322453j 1.39145e-16-0.0382523j 8.51001e-16+0.0460918j 2.82485e-15+0.0307356j -9.49035e-16+0.0461768j -8.63067e-16-0.11866j -8.79445e-16+0.010756j 1.86523e-13+0.0456792j -8.33231e-13+0.123515j 
1.1881e-12+0.147212j 2.61789e-13+0.00500447j -6.24993e-16+0.0676413j 6.07897e-16+0.00593844j 8.1084e-16+0.0831143j 4.06867e-15-0.0468479j -2.61672e-16+0.0125595j -5.97019e-16-0.0822062j -8.03487e-16-0.031274j 6.06573e-16+0.00844443j -1.37112e-16+0.0123007j 2.45261e-17+0.0316582j 1.86396e-16-0.0706207j -1.03855e-14+0.0872132j -2.6528e-16-0.0282964j -1.04689e-14-0.0636653j 5.00095e-15-0.0190386j 2.88947e-14-0.0384298j 2.0053e-15-0.0177627j -2.12607e-15-0.096583j -2.23209e-14+0.056168j 1.22635e-14-0.12124j 1.72883e-15+0.0175985j -7.26026e-16-0.00130795j -6.31489e-16+0.017872j -5.7499e-14-0.118231j -7.72158e-15+0.0538511j 1.40117e-14-0.0449087j -3.13181e-15+0.0153598j 1.67969e-14+0.072977j 8.98501e-15+0.0698155j -2.22518e-16-0.0607845j 1.00943e-14+0.0364491j -1.35886e-13-0.0697463j 4.04953e-15+0.0495731j -8.89321e-15+0.0367408j 4.19491e-15+0.0160576j 4.38035e-15+0.0267749j -9.18553e-15-0.0282749j -7.76602e-15-0.00997665j -3.78384e-15+0.0105417j -5.19841e-15-0.026393j -5.22338e-15-0.0128527j 1.54982e-14+0.0122328j -4.50663e-15-0.0369693j 6.23242e-15-0.0348467j 1.99012e-15-0.018345j -8.82827e-15-0.0360107j -9.98617e-16+0.0247056j 2.89257e-15-0.0203406j -3.8015e-16-0.0261018j -9.58187e-15+0.0187878j -3.12727e-15+0.0632648j -2.85976e-15+0.0581814j 4.83663e-15-0.0107963j 7.07605e-15-0.111159j 4.1935e-15-0.0370443j 1.93028e-15+0.00320879j 7.1611e-15+0.0408491j 3.77141e-14-0.0254604j 5.79474e-15+0.0145708j 6.42733e-16+0.00866089j 1.8863e-15+0.0513201j 8.88061e-16+0.0555464j -1.11263e-15-0.0703792j 1.00909e-15-0.048611j 2.16193e-15+0.0152304j 3.37547e-15-0.0179915j -4.12629e-15-0.0833284j -5.73844e-16-0.00605337j -1.5751e-15-0.0225658j -5.60966e-15-0.0764026j 1.73663e-15-0.0436197j 1.91053e-16+0.00588977j 2.24905e-16+0.0223728j 1.69728e-13-0.109286j -7.55923e-13+0.078278j 
-7.01882e-13-0.0807904j -1.57035e-13-0.0315523j -1.43171e-15+0.0719627j 3.12911e-15-0.28975j 2.41802e-15+0.096532j -9.22845e-15+0.0785304j -9.52201e-16+0.0654745j -4.13511e-16-0.105736j 2.14517e-15+0.139928j 3.92583e-15+0.0741925j -7.35154e-16-0.152555j 3.42074e-15-0.0394819j -1.47455e-15-0.14403j -1.4496e-14+0.0864428j 4.612e-15+0.0507084j 1.12e-14+0.0810916j 1.44366e-14-0.100218j 1.02379e-13-0.143318j 4.50856e-15-0.0115407j -7.33529e-15-0.03939j -1.02223e-14+0.0285611j 1.68537e-15+0.00928596j 6.39693e-15-0.312684j -9.35143e-14-0.117564j -1.04458e-14-0.157631j -9.67031e-14-0.196841j 1.16457e-14+0.0793584j -1.54845e-14+0.0155983j -8.18247e-15-0.250053j -2.08443e-14-0.0620942j -2.25863e-14+0.02051j 3.67978e-14+0.153404j 4.80369e-14-0.0118119j -1.19569e-13-0.0535546j -8.54995e-15+0.0566916j -4.92639e-14+0.314422j -3.48516e-15-0.0278745j 2.41285e-14-0.000227592j -2.85179e-14-0.186915j -5.66221e-15+0.0663062j -2.46916e-14-0.0741778j 1.42783e-14+0.0455088j 5.41098e-15-0.0535192j -5.72253e-14-0.0771121j 4.1961e-15+0.0632118j 5.14179e-15-0.015869j -1.41836e-15+0.0713923j -8.8579e-15+0.0286596j -2.17831e-15-0.231008j 9.33915e-15+0.00243288j -1.97808e-17+0.00670558j 9.67201e-14-0.149704j 3.85214e-16-0.0110998j 1.14805e-14-0.0456749j 2.656e-15-0.0901679j -8.42073e-16+0.000771795j -9.58886e-15+0.0644724j -7.73969e-15+0.00423554j -2.72859e-14-0.125482j 7.45693e-14-0.0457728j -2.39682e-15-0.00896375j -3.41522e-15-0.013229j 6.25397e-16+0.0700149j -7.15567e-16+0.128624j 3.55345e-16-0.0538604j -2.87216e-15-0.0276852j 2.21688e-15-0.0870163j -8.77437e-15+0.055076j -3.13024e-15-0.0981618j 9.72091e-16+0.128768j 3.31612e-16-0.00102399j 5.6866e-15+0.0900147j -5.61354e-16-0.138062j 2.57961e-15+0.0938436j 9.77337e-16+0.152245j -1.87143e-13+0.0978989j 8.24541e-13-0.0902898j 
-4.26231e-14-0.0043988j -9.33264e-15-0.00419383j -2.08095e-15+0.165807j 2.16674e-15-0.165278j -1.5043e-15-0.0933047j 4.013e-16+0.00783537j 6.36341e-16-0.0724057j -1.4541e-15-0.0931952j -2.45668e-15-0.111864j -1.15559e-15-0.0215615j 4.02173e-15+0.125337j 4.31386e-16+0.0696604j -3.73299e-15+0.100096j -1.0708e-14+0.0974792j -4.98806e-15-0.213455j -9.09652e-15-0.0974391j -3.52998e-15+0.0383307j 4.06729e-16+0.0157562j 5.92983e-15-0.0664323j 1.026e-15-0.315235j -3.91358e-14+0.0794071j 2.68151e-14-0.365281j -1.91121e-14+0.182282j 2.5688e-13+0.264465j 1.12257e-14+0.0967673j -2.19167e-14-0.0802301j -2.7856e-14+0.00687775j 1.70602e-15-0.439152j -6.99003e-14+0.203758j -5.794e-15-0.0270821j -4.86515e-14-0.0872337j 8.63219e-14+0.071771j 2.13994e-13+0.222697j -2.01053e-13-0.118396j 2.90232e-14-0.144273j -3.78506e-14+0.285342j 4.49231e-15+0.042763j 9.4699e-15+0.230609j -1.71013e-14+0.261242j 1.75932e-15-0.0943151j -6.00508e-15-0.085766j 3.00447e-14+0.126508j -3.28786e-15+0.128773j -7.42004e-14-0.0726858j -2.38634e-14-0.268172j -2.50225e-14+0.0909527j 2.39527e-14-0.00707833j -8.97037e-15-0.0649946j 5.35841e-15+0.0559589j -1.73139e-14+0.0493532j 9.64339e-15+0.105177j 8.63258e-15-0.00793694j 1.37316e-15-0.111176j -4.94601e-16-0.0942982j -2.82869e-15+0.0343853j -5.90963e-15+0.0446512j 5.24123e-15+0.000615769j 1.85813e-15-0.0444652j -1.89946e-14-0.0758157j 2.74752e-14-0.0175882j 8.11943e-15+0.0325793j -2.80694e-15-0.0301742j 1.15033e-15+0.0126589j 5.49196e-16+0.0284856j -8.75102e-16-0.0167303j 2.44965e-16+0.0527866j 1.54467e-15+0.0496086j 6.90506e-15-0.0581723j -3.52926e-15-0.0802487j -1.30726e-15-0.0514718j 4.86762e-16+0.00715779j 5.95662e-15+0.0557494j 4.24985e-16-0.0862971j 2.56508e-15+0.120778j 2.47487e-15+0.157364j -1.34338e-14+0.0613196j 6.00049e-14+0.00561643j 
2.60144e-13+0.0234988j 5.85176e-14+0.0403462j -1.95176e-15-0.01073j 1.05576e-15+0.0120933j 1.43738e-14+0.169877j 1.19772e-14-0.216913j -4.12485e-15-0.131929j 4.16425e-15+0.096059j -3.42734e-15-0.0368633j 1.37562e-14+0.22846j -6.55573e-15-0.0932511j -3.87369e-15+0.010481j 4.822e-15+0.102928j -1.33273e-14+0.13509j -8.35948e-15-0.117942j -7.62526e-15-0.0527433j 4.33735e-15-0.104128j 1.54469e-13-0.215191j 1.89053e-14-0.125736j -1.45877e-14-0.0384489j -5.87685e-15-0.000524397j 4.08143e-15+0.0539296j 2.72842e-16-0.0897192j 3.756e-14+0.0307534j 2.01635e-14+0.196239j -1.22024e-13-0.165667j -2.4457e-14-0.127401j 2.59997e-14+0.0924716j 1.90647e-14+0.0120569j -2.17535e-14-0.114355j -3.86916e-15+0.0601265j 5.73829e-14-0.0503899j 1.54538e-13+0.201187j -1.57294e-13-0.0632799j 2.45209e-14+0.15197j 1.84877e-14-0.166243j 4.96666e-14+0.122129j 5.33334e-14+0.148052j -5.06488e-14-0.0451018j -5.35266e-14-0.299335j -1.00151e-14-0.042821j 3.02761e-14+0.0851557j -1.30904e-14-0.0866626j 7.57111e-14+0.0435606j -1.06114e-14-0.09329j 4.36314e-14-0.141929j 5.45676e-15+0.0233954j -3.33341e-14-0.0529264j -5.43753e-15-0.00217125j -1.47173e-14-0.138357j 4.0646e-15-0.108125j -1.13337e-14+0.0316534j -1.22492e-15+0.0497289j -1.18034e-14+0.00913484j 2.16535e-16-0.111725j 3.71725e-15+0.0713029j -1.49316e-14+0.0548741j -9.8855e-15+0.0656194j -4.21877e-14-0.181543j 2.38252e-13-0.157064j 2.42379e-14+0.0456847j 5.59833e-15+0.0276406j -2.70172e-15-0.00679759j -8.26097e-15-0.154217j -1.26681e-15-0.115114j 2.02482e-15-0.0523814j -1.76885e-14-0.1425j 1.75138e-14-0.23696j 2.0799e-16+0.0138118j 6.22999e-15+0.0912633j -2.60879e-15+0.0533758j -2.38011e-14-0.187577j 4.6985e-15+0.0607929j -4.50725e-15-0.0399338j -2.84901e-15-0.0198754j 1.76145e-14+0.0254082j -7.40579e-14+0.0157664j 
2.29274e-13+0.031651j 5.25642e-14-0.01193j -1.26007e-15+0.0267301j 3.61836e-16-0.0202003j -4.33306e-15+0.0684441j 2.8064e-14-0.159815j -4.06582e-15+0.0528427j -8.33721e-16+0.01841j 4.60547e-15-0.0384464j -1.35978e-15+0.00280285j 7.8642e-15-0.109346j -2.52203e-14+0.24359j 8.75501e-15-0.11131j 2.09352e-14-0.0642819j -7.20835e-15-0.0208108j -1.49771e-14-0.153465j -7.07288e-14+0.230898j 9.31521e-15+0.0200614j -1.06621e-14+0.0638635j -7.92381e-15+0.14077j 3.1799e-14-0.216895j 1.06191e-14-0.213684j 2.49155e-15-0.023088j 6.84609e-16+0.00623156j 4.58526e-15-0.0634456j -3.51769e-14-0.089318j -5.40827e-15-0.00457479j 1.30667e-14-0.128756j -1.78596e-14+0.0570546j 1.67528e-15-0.00987461j -3.22726e-15+0.0419363j 3.71307e-14-0.0830129j 3.35847e-14+0.0585332j -4.37709e-13-0.227739j -1.21672e-14+0.324383j -3.32025e-14+0.0625054j -4.64652e-15-0.124678j -9.37038e-15+0.072543j 6.19232e-15+0.109713j 3.89471e-16+0.159574j -7.38561e-15+0.102856j 3.85224e-15+0.0496157j -8.62064e-15+0.169613j 8.38636e-14+0.11238j 1.31881e-14+0.118662j 1.4462e-14-0.0558443j -3.17354e-14+0.162322j -4.64792e-15+0.0265359j -1.73085e-14+0.0718146j 3.23775e-14+0.0922617j -2.16088e-14-0.0831563j 7.49867e-14-0.11551j 3.27521e-14-0.258126j 1.05263e-15+0.152075j -1.30511e-14+0.17119j -1.22939e-14+0.102976j 2.83364e-14-0.092795j -3.39677e-15+0.0777145j 2.40617e-14+0.169142j 2.37537e-13-0.141819j -2.81371e-14-0.165225j -3.44373e-15+0.0260443j 2.75017e-15-0.0192055j -1.07771e-14+0.117075j -5.89319e-15+0.0459232j 1.41218e-14-0.0862504j 3.50389e-15-0.0976135j 2.25659e-14-0.111315j 1.19472e-15-0.033748j -7.98201e-15+0.100735j 3.89423e-15-0.0589252j -1.92004e-15-0.108197j -2.14392e-15+0.0419778j 1.34989e-15-0.00493175j -2.44765e-16+0.0277601j 1.92496e-14-0.00373797j -7.67359e-14+0.00952995j 
2.36085e-13+0.0487105j 5.42261e-14-0.0857529j -1.78197e-15+0.0957242j -5.55219e-17-0.0317392j -3.92298e-15+0.118838j 2.03428e-14-0.135749j 9.9224e-16+0.0197066j -2.09682e-15+0.0637204j -3.15441e-15+0.0168244j 7.17535e-15-0.149972j 2.76509e-16-0.00112083j 3.43096e-15+0.020537j 1.55883e-15-0.10033j -2.33139e-14+0.135031j -5.69609e-16-0.113118j -3.48199e-15-0.00870343j -8.40555e-15+0.0799195j -1.33376e-13+0.16509j -1.01783e-14-0.0729241j 2.50813e-14-0.247487j 3.00645e-14-0.0732586j -3.87046e-14+0.232878j 3.8794e-16+0.118368j -1.43617e-13-0.141553j 5.49538e-16+0.0576511j -2.98002e-14-0.0862459j -1.09621e-14+0.160247j 1.97289e-14-0.00367783j -2.90226e-15-0.0142445j 4.33194e-14+0.256325j 2.76395e-14+0.264249j -6.11235e-15-0.0783801j 1.95824e-14+0.0870755j -4.43408e-14-0.0217532j -1.3789e-15-0.00975936j -2.86943e-14+0.0989094j -2.82454e-15+0.0254534j -1.33062e-14+0.000999981j 2.18145e-15+0.0197594j 7.5429e-16+0.00769497j 6.11634e-15+0.0156369j -1.05774e-14-0.0520177j -9.67542e-15+0.0758184j -1.25249e-14-0.00573369j 5.73227e-15-0.0341393j -1.89258e-14-0.0144119j 1.89169e-14-0.294482j 5.77122e-14+0.109712j 6.28766e-15+0.0117057j 1.24744e-14+0.129675j -3.97126e-15+0.0680763j -2.98906e-14+0.0291049j -2.61378e-14+0.248261j -4.99383e-15+0.171912j 9.34567e-16+0.0338444j -1.67939e-14+0.125426j -5.91983e-14+0.232204j -8.4103e-15+0.112261j 8.90728e-15+0.016008j -3.03995e-13+0.194815j -2.57741e-14-0.0753824j 4.22227e-15-0.0483361j 4.52995e-15-0.00653442j -1.6357e-15+0.121019j 2.66497e-15-0.10445j -3.94521e-15+0.0484069j 1.35903e-15-0.00614542j 2.21416e-15-0.028031j -6.04197e-16-0.0491019j -6.5115e-15+0.128163j -1.93893e-15-0.0325565j -5.46868e-15-0.180126j -1.87216e-16+0.0151997j 3.12699e-15+0.050087j 5.00409e-16+0.0470363j -1.5379e-14-0.0325188j 7.50144e-14-0.0176122j 
5.19727e-13+0.0466617j 9.6487e-14+0.00514986j 2.70616e-13+0.0897987j -8.53721e-14-0.0281215j -1.8777e-13-0.0629329j 3.60712e-13+0.125314j -7.77248e-14-0.0245371j -1.34377e-13-0.0467617j -2.18594e-13-0.0729729j 7.73575e-13+0.261896j 3.70998e-13+0.127259j 3.0034e-13+0.102458j -2.0698e-13-0.0708418j 4.74167e-13+0.162161j 1.51974e-13+0.0521152j 5.33928e-14+0.018037j 3.74502e-14+0.00341464j 3.26073e-13+0.152052j 5.18752e-14+0.0148017j 5.35482e-13+0.183509j -2.53609e-13-0.0905963j -1.11324e-13-0.0385677j -1.18778e-13-0.0458951j -1.23329e-14-0.00171574j 3.15313e-13+0.117499j 8.56085e-14+0.0173965j 4.73356e-13+0.157508j 3.23306e-13+0.112085j -4.54912e-13-0.156427j 6.25716e-14+0.0118735j 6.46893e-13+0.211372j -2.60072e-13-0.0626444j -5.36935e-13-0.13104j 8.26251e-13+0.179558j 3.17614e-13+0.11576j -1.252e-13-0.0425782j -1.3547e-13-0.0460785j -1.0646e-13-0.0337893j -2.58876e-13-0.0831788j -4.16629e-13-0.128679j -1.9682e-13-0.0592807j -1.28693e-12-0.400456j -8.16403e-13-0.274721j 3.62253e-14-0.00327424j -3.15582e-13-0.0976715j 1.18699e-13+0.0364519j 1.43335e-13+0.0545438j 3.80806e-13+0.119866j -9.12993e-14-0.0285443j -3.77159e-13-0.115256j 4.56791e-13+0.142623j -2.91362e-14-0.0105982j -2.95345e-13-0.0979668j 4.18433e-13+0.141633j 1.26937e-13+0.0406116j -3.93268e-13-0.130833j -4.79664e-13-0.171785j 7.4414e-13+0.255074j 3.00486e-13+0.0937736j 1.05127e-13+0.063109j 2.88722e-13+0.0922375j -2.15667e-13-0.076744j 1.08675e-13+0.0332727j 7.80235e-14+0.0269166j -2.64332e-13-0.0841239j -3.88683e-13-0.140033j 3.11832e-13+0.108572j -6.2169e-13-0.220345j 1.43161e-13+0.0488475j -4.1118e-13-0.137698j 2.22573e-13+0.0723376j 4.15242e-13+0.137082j -2.74092e-13-0.0924964j 3.12393e-13+0.102939j 1.56072e-13+0.0510915j -1.46638e-14-0.0200594j -1.29902e-13+0.0217663j 
1.26686e-13+0.00476072j 2.89908e-14+0.0520626j -4.67666e-15-0.0923042j 1.19395e-15+0.0342126j 3.23568e-15+0.00898414j -5.90109e-15-0.0313425j -4.39334e-16+0.0551332j 3.82246e-15-0.0544532j 6.13443e-15+0.0506922j -2.12139e-14+0.0116946j -1.07999e-14+0.0477239j -1.00973e-14+0.0410912j 9.15198e-15-0.0554687j 1.77348e-14-0.172756j 1.40216e-15+0.00806895j 5.22459e-15-0.0037068j 5.3933e-14-0.163493j -1.23592e-13+0.128002j 1.63087e-14-0.154536j -2.39234e-14-0.000104166j 4.0484e-15-0.133134j 6.39224e-15-0.115953j 1.2319e-14-0.152103j 3.03416e-14+0.0191237j -7.94876e-15+0.324991j -6.0387e-14-0.11783j -3.64764e-14-0.00368021j 1.33578e-14-0.129691j -1.15651e-14+0.112145j 1.24275e-14-0.0554805j -3.99804e-14+0.158416j 1.65186e-14+0.0396817j 6.47039e-14+0.0625047j 1.89517e-13+0.0937904j -1.01425e-14-0.211037j -2.5035e-14+0.129032j -1.8033e-14-0.0594367j -1.77417e-14+0.102539j 3.15394e-14+0.138375j 3.13441e-14+0.176335j -4.78117e-15+0.192412j 5.9505e-14+0.245583j 4.81305e-14-0.18799j -1.78712e-13-0.210984j 2.09255e-15-0.0587236j -1.92028e-14+0.0801003j -1.58515e-14-0.00862705j 1.90908e-14+0.0574651j -3.02182e-15+0.098171j 5.44195e-14+0.153373j -4.06143e-14-0.104252j 2.82991e-14-0.0412444j 1.38739e-15+0.172341j -6.77237e-15+0.0406717j -2.13651e-14+0.0516372j -1.82359e-14+0.322989j 1.29153e-14-0.12411j -1.77491e-14+0.124209j -1.98216e-14-0.0868618j 1.66659e-13-0.115361j 5.01616e-14+0.204644j 9.15083e-15-0.0847276j -7.73251e-15-0.021797j -6.72246e-15+0.096883j 2.86898e-15+0.124328j 1.71593e-14-0.184998j -9.70396e-15+0.0661763j 1.57353e-14+0.0526969j -3.94256e-15+0.0237408j 7.98799e-15+0.0547258j -2.11342e-15-0.0719627j -1.01198e-14+0.0379351j 6.24636e-15+0.0353404j -7.78755e-15-0.110384j -4.48258e-15-0.0480327j 4.27575e-14-0.000367692j -1.83843e-13+0.024844j 
-1.42534e-12-0.146325j -3.06295e-13-0.141227j -5.04979e-15+0.121772j -8.90797e-17-0.0986263j -2.92189e-15-0.0915319j 9.34718e-16-0.0406577j -1.88278e-15+0.000944102j 5.33421e-15+0.157498j -8.96013e-16-0.0664304j -1.5762e-15-0.10008j -2.95654e-16-0.0751964j -8.23748e-15+0.0592079j -1.82734e-15+0.00965948j 1.01754e-14-0.0628626j -1.14968e-15+0.00400269j 4.30988e-15+0.00571926j 6.8918e-16-0.0320763j 4.8743e-14-0.0396518j 4.08551e-14-0.216706j -1.03221e-14+0.0819976j 4.74531e-14-0.182336j -2.76357e-14+0.208306j -1.06542e-14-0.0555152j 8.8486e-14+0.098102j 6.92259e-15-0.00408334j 5.607e-14+0.119972j 5.16313e-15-0.0334778j -1.25648e-14+0.00356858j -7.44015e-15-5.353e-05j -2.47551e-14-0.100815j -1.49995e-14+0.0127365j 1.65058e-14+0.228019j 3.12826e-14-0.0529953j 2.54006e-13+0.154099j -1.65744e-14+0.0431377j 3.95813e-14-0.228729j -2.06735e-14-0.122951j -3.75756e-14-0.194296j 5.6791e-14-0.088818j 2.61902e-14+0.158366j 1.49511e-14+0.0807847j -5.0973e-14-0.234256j 5.78057e-15-0.0819584j 5.08925e-14+0.0523306j -6.79166e-16-0.0101275j 8.12517e-14-0.26161j -2.97213e-14+0.061357j -3.40563e-14-0.0458413j -1.40171e-15-0.094137j -4.32639e-14-0.213005j 4.45513e-14+0.0883909j -1.03741e-13+0.181254j -4.20048e-15+0.0298558j -2.96802e-15-0.165755j 2.08013e-15-0.0199593j 2.02145e-14-0.0683787j -1.26316e-15-0.0473788j -1.78534e-14+0.277194j -2.6002e-14-0.143479j 1.31356e-13-0.080505j 5.72749e-18-0.0304669j -1.04794e-15+0.0248111j 4.89276e-15-0.250394j -1.87285e-15+0.0786761j -5.46147e-15+0.15753j 6.27642e-15+0.0592621j -4.14632e-15-0.0381826j -2.60887e-15+0.0113429j 2.04694e-15+0.0127589j 1.40635e-16+0.00831657j 3.45656e-15-0.0864915j -7.7858e-15-0.0702258j 5.57679e-15+0.0601917j -9.79095e-16+0.209228j 3.98511e-15+0.109143j -2.41858e-13+0.088578j 1.11304e-12-0.130987j 
1.54594e-12+0.213053j 3.3903e-13-0.0898097j -3.75346e-15+0.0442082j 1.69043e-15+0.08686j 4.47136e-15+0.156712j 2.16808e-16+0.0275384j -1.47078e-15+0.0812052j -7.60701e-16-0.188943j 7.40024e-15+0.0359946j 4.47593e-15-0.088069j -4.0664e-16+0.0458964j -2.18894e-15+0.0714966j 3.71618e-15-0.0263411j 6.9319e-15-0.0282033j 1.80663e-15+0.0109949j -9.5998e-15-0.0710367j 2.47743e-14-0.117163j 8.87709e-14-0.11491j 2.25068e-14-0.0966717j -1.62353e-14-0.015781j -1.8148e-14+0.126484j 1.24446e-14-0.0461413j -1.02422e-14+0.0203497j 1.05044e-13+0.10619j -9.50625e-15-0.100402j -6.18274e-14-0.123416j -8.45734e-15+0.0986956j 2.28776e-14+0.00618861j -4.40853e-16+0.0474554j 2.7268e-14+0.0959928j 6.59109e-15+0.0426665j -4.86634e-14-0.0035895j -7.99629e-14-0.108506j -4.82835e-14-0.0169649j -8.03108e-15+0.0636432j 2.27962e-14-0.11267j 4.12741e-15-0.0148399j 1.91463e-14-0.0870144j 3.34898e-15-0.270572j -1.05873e-14+0.136296j -1.66599e-14+0.0851656j 3.02901e-15-0.0189304j 1.07798e-14-0.156932j -2.92356e-14-0.0385612j -1.77561e-14-0.0304204j 6.33815e-14-0.164615j -1.12124e-14+0.097005j -7.64212e-14-0.173215j -1.67143e-15+0.032705j -5.93543e-15-0.27952j 2.69617e-14-0.103671j 2.72993e-14-0.0202499j -2.67788e-14+0.210828j 6.39943e-15-0.0892777j -8.07771e-15+0.0711337j 3.25998e-14-0.28942j 2.84925e-14-0.0971245j -1.34315e-14-0.0250918j 1.64415e-14+0.0852988j -1.95052e-15-0.00393912j 1.06952e-14+0.0275745j -4.13502e-15+0.0324461j 1.5525e-14-0.0127927j -5.92259e-15-0.0184465j -8.5486e-15+0.0908199j -3.31982e-15-0.0889535j 4.32112e-16+0.111809j -2.59125e-15+0.0831262j -2.4504e-15-0.176999j 3.52368e-15+0.0258402j 2.26562e-15-0.126123j -2.24375e-15-0.0920278j 1.75096e-15-0.171838j -2.94503e-15-0.0438786j -7.71017e-15-0.0607759j 1.31831e-13-0.241161j -5.94703e-13+0.0260833j 
