-1.62365e-13+0.113836j -8.28957e-14+0.239221j 3.01005e-16+0.156503j -5.12645e-16+0.0893291j -6.22368e-16-0.170261j 4.06035e-15-0.22631j -4.86672e-16-0.125439j -4.00322e-14-0.190571j 1.25598e-14+0.0710057j -9.10215e-15+0.278497j 4.65678e-15+0.12581j -3.59576e-15+0.188299j -7.52584e-15+0.0222166j 3.24146e-14+0.283211j 7.52309e-15-0.0700675j 6.4812e-15+0.144378j -1.72447e-14-0.152079j 8.04644e-15-0.260819j -1.28848e-15+0.15919j -1.05171e-14-0.240946j -1.67422e-15-0.0204969j 8.12926e-15-0.0178441j 2.05112e-15-0.19716j 1.29926e-14+0.0352964j -4.49631e-15+0.132265j -7.14021e-15+0.261292j 1.22046e-14-0.14571j 1.02657e-14-0.300664j 3.01921e-15-0.114659j -3.41106e-14-0.0134464j 1.45068e-12-0.235053j 6.84721e-14-0.106097j 5.81345e-15+0.0175028j 4.89185e-16-0.0923996j -9.61581e-17+0.0265787j 6.82487e-16+0.0154159j 2.11778e-17-0.0150135j -6.61501e-16-0.0054815j 5.13943e-16-0.0113214j -8.4338e-19-0.00854013j 3.35246e-17-0.0244697j 5.27513e-16-0.00977368j -1.6991e-14+0.00453347j -4.97682e-16-0.00276989j 4.88373e-16+0.00143245j -4.33847e-16+0.012892j -6.50991e-17-0.01153j -2.47879e-16+0.0140946j -6.54209e-16+4.45432e-05j -6.39948e-16+3.39163e-05j 4.23467e-15-0.0145017j -2.62705e-15+0.0179628j -1.2321e-15+0.0164905j 9.36905e-16-0.0036158j 5.75367e-16+0.00737585j -1.18362e-15-0.0110116j -1.55034e-15-0.00641223j -3.54268e-16-0.00455754j -4.05557e-16-0.0169413j -3.26319e-16-0.0199733j 1.59781e-15-0.0286772j 2.81234e-16+0.00747009j -2.82213e-16+0.000341471j 3.55649e-16-0.00403072j 5.69944e-16-0.0337741j 2.58308e-16+0.0180088j -7.05858e-17+0.0106398j 4.56964e-17-0.00493206j -8.64276e-17+0.0335525j 1.66301e-17-0.0317439j 4.6154e-14+0.0254209j -1.37469e-13-0.0783276j 
-1.53326e-13+0.183053j -7.83654e-14+0.0775816j -4.81856e-16-0.198861j 4.96487e-16-0.0691555j -4.42791e-16+0.040878j 5.73588e-15-0.200776j -2.28306e-15+0.248848j 7.27149e-15+0.0341062j 3.93474e-15-0.097026j -5.16291e-15-0.0919416j 5.56855e-15+0.0886481j 1.06305e-15-0.159483j -1.56079e-14-0.460424j 2.21311e-14+0.14008j 3.78688e-16+0.16974j 5.9442e-15-0.0845994j -2.41238e-15-0.254576j 4.00112e-15-0.219209j 2.69268e-14-0.22254j -8.76094e-15+0.159052j 1.15091e-14+0.0438305j -2.96915e-15-0.0246122j -1.56528e-15+0.0461294j -2.28123e-14+0.0143644j -4.18428e-15-0.397552j 5.37283e-15-0.0418596j 4.79928e-16-0.0113222j 2.28489e-17-0.0300989j 6.08449e-14-0.199502j -8.63887e-13-0.153462j 7.45345e-13-0.113181j 3.21788e-14-0.211427j -1.57081e-14-0.0251506j -1.07793e-15-0.00461976j -1.29459e-16-0.0137609j 1.59393e-15+0.0322618j 1.58188e-16-0.035602j -9.9813e-16-0.01959j -1.18411e-17+0.000564808j -5.24238e-17+0.0140195j 4.41633e-16-0.00513981j -2.22585e-16-0.0117642j -5.50815e-14+0.0139665j -4.99152e-16-0.00502056j 7.08595e-17-0.00468193j -2.76943e-17-0.00134384j -1.83354e-16-0.00237502j 6.44893e-16-0.00437937j -2.5753e-15+0.0135612j -3.55812e-16+0.00890223j 2.84383e-15-0.00287622j -1.62195e-15+0.0176748j -7.04202e-16+0.00730559j -6.95361e-16-0.00776816j 7.43358e-17+0.00926087j -8.59164e-16+0.00504788j -9.19972e-16-0.00698764j -4.70025e-16-0.0221165j 3.28783e-16-0.00303694j 3.99587e-16-0.0096144j 3.02412e-16-0.00156525j 6.43539e-17+0.00670607j -7.50464e-17+0.00493642j 1.03235e-16-0.00115361j -3.93804e-17+0.0027259j 5.95216e-17+0.0132972j 1.40597e-16+0.0414621j -8.09852e-17-0.00987149j 2.44211e-16-0.0274943j 3.73483e-16+0.00233924j 3.20587e-14+0.0573395j -9.52913e-14-0.0409582j 
-6.50189e-14+0.0994706j -3.31534e-14-0.00985987j 1.20013e-17-0.0924779j 1.6881e-16-0.189068j 4.512e-16-0.0446089j -1.30198e-15+0.148195j 7.58212e-16+0.0300585j -7.6733e-14-0.322635j -1.05159e-14+0.0832896j 2.39835e-15-0.0837719j -3.05109e-15+0.193247j 9.55772e-17+0.397084j -6.18863e-15-0.0759982j -2.32734e-14-0.241898j -3.00142e-15+0.0667101j 8.75255e-15-0.165251j -9.64834e-15+0.0247013j -4.43968e-15+0.137049j -8.75527e-15+0.0274263j 3.68475e-15-0.155612j -2.43034e-15+0.464866j 1.45361e-15-0.011879j 7.52439e-15-0.217504j 1.05153e-14+0.0529101j 1.32894e-15+0.0510692j -4.42252e-15+0.0462226j -1.54343e-14+0.290044j -1.12015e-14+0.096446j 1.05679e-13-0.078445j -1.50287e-12-0.248405j -9.81328e-14+0.0240933j -8.09219e-15-0.15845j 3.191e-15+0.00393816j 4.5883e-16+0.0172418j 6.87798e-17+0.00670132j -1.89802e-16-0.0180573j -8.5734e-17-0.00807114j 1.49644e-16-0.0331417j -1.35017e-16+0.00352817j 3.49616e-16-0.00359844j 6.76472e-16+0.00142928j -2.48167e-16-0.026489j -4.55639e-14+0.0113911j -4.90843e-16-0.00183725j -8.17312e-16+0.00634913j 8.02619e-16-0.00434069j 9.2733e-17+0.00251877j 1.14345e-16-0.00289719j -4.89702e-16+0.00195485j 2.39512e-16+0.0042328j 3.51811e-16-0.00052636j 1.17852e-16-0.00260704j 3.82708e-16+0.00154297j -1.17891e-15-0.0114773j 1.21967e-16+0.00801634j -9.35643e-17+0.00457313j -5.80719e-16-0.00826539j -2.63108e-16-0.00332972j 9.47942e-17+0.00294696j 3.32559e-16+0.00028926j 2.89401e-16-0.00775579j -5.94378e-16+0.0124354j -3.58885e-16+0.0189709j -1.87519e-16-0.00877537j 1.28281e-16-0.00761828j 4.40379e-17-0.0139214j 1.34191e-17+0.00556736j 2.8331e-17-0.0201065j -2.4565e-16-0.0199289j -2.25534e-16+0.0331578j 9.22031e-15+0.0399287j -2.74899e-14-0.00395562j 
-1.35667e-13+0.0868264j -6.92202e-14+0.216647j 3.13986e-16+0.0646929j -4.35888e-16-0.0630451j 1.32819e-16+0.00927421j 2.83489e-16-0.00847648j -1.12075e-16-0.0274919j 6.40055e-15+0.0277701j -1.4105e-15+0.0166677j 1.29733e-15+0.00250019j -2.38863e-15-0.0438963j 1.41528e-15-0.00480548j 1.47681e-15+0.00239934j -2.68654e-15-0.034469j 1.06533e-15+0.00917325j -8.29962e-16+0.00745139j -8.90276e-16+0.0214828j -3.97495e-16+0.0631863j -6.38748e-16-0.00179208j 1.46546e-16-0.000944538j 8.14962e-17-0.0305988j 3.5079e-15-0.012704j 9.62892e-18+0.0450376j -1.34659e-14-0.0832931j -3.19217e-15-0.0336874j 1.27903e-15-0.0735484j -7.3551e-15+0.116162j -6.62664e-15+0.142416j -2.57897e-14+0.178035j 3.73625e-13+0.0728155j 2.02372e-13-0.0317039j 9.82318e-15-0.0394926j -7.87044e-14-0.138128j -7.41782e-15+0.12709j -1.36212e-15-0.0300318j -3.52419e-15-0.133472j 1.05993e-15-0.0147242j -6.95603e-16+0.0538427j 3.65848e-15-0.11553j -1.74019e-15+0.263383j 5.84574e-16-0.0308506j -1.59213e-16-0.0226169j 2.23789e-13-0.0598082j -4.29679e-15+0.049786j -2.15437e-15+0.272846j 4.03971e-15+0.0421642j 6.55943e-16-0.118472j -3.63214e-15+0.0307021j -3.18228e-14+0.17163j -4.8636e-15-0.106496j 3.54077e-14-0.129007j -1.81398e-14+0.127843j -1.38474e-14+0.11507j 4.51403e-15-0.0882957j 4.31156e-15+0.140345j -8.40614e-15-0.0866607j -1.31993e-14-0.0289463j 1.70496e-15-0.0872672j -1.39821e-15-0.280171j -1.25513e-14-0.19106j 8.92259e-15-0.0845721j 1.6926e-15+0.0125082j -4.64249e-16+0.044446j 4.06852e-15-0.0513065j 1.64401e-15-0.0217041j 9.70482e-16+0.0240435j 9.28818e-16-0.00518267j 8.34972e-16-0.114251j -3.6191e-15+0.275044j -2.46272e-15-0.05755j 1.76684e-13+0.0807114j -5.25299e-13-0.304953j 
-1.12829e-13+0.162456j -5.69813e-14+0.00126435j 2.73825e-16-0.0860099j 1.94562e-16-0.0383871j 2.29673e-16-0.0427531j -4.88686e-16+0.0197918j 9.32465e-17+0.00314023j 1.03009e-14+0.0442318j 9.65559e-16-0.0102318j 1.9206e-16+0.00280612j 2.92661e-16-0.0127091j 1.2933e-16-0.0102518j 1.04392e-15+0.0179297j 6.02138e-16+0.00965907j -6.73352e-16-0.029823j -1.58325e-15+0.0108545j 2.64961e-15+0.0263395j -5.97459e-16+0.00767627j 5.62052e-16-0.0399576j 5.88089e-16-0.0224564j -4.2117e-16-0.0211396j 2.20567e-15-0.0146754j 4.77205e-16+0.0185393j 4.96107e-15-0.00337911j 9.2137e-16+0.0884356j -1.46979e-15+0.02445j -1.53451e-15+0.0659048j -8.27903e-16-0.0137191j -7.49732e-14+0.0364845j 1.08123e-12+0.177296j -3.7272e-13+0.0611357j -1.79839e-14+0.0121473j 3.0257e-14+0.0678397j 3.32544e-15-0.216475j -1.60314e-16-0.00566997j -4.38562e-15-0.174029j 1.57037e-15+0.131593j -4.5643e-16-0.126796j 3.7628e-15-0.0157627j 1.60093e-15-0.105906j 4.97318e-16+0.0947655j 2.44984e-16+0.0606173j -3.45487e-13+0.08655j -1.73271e-14-0.29572j -4.52928e-16+0.0338249j 4.74133e-15-0.0924849j 2.03388e-16-0.0563247j -1.62225e-15-0.23365j -4.42548e-14+0.306158j 4.80698e-15+0.108989j -3.97855e-14+0.234079j 2.51219e-14-0.0916156j 5.98422e-15-0.0415216j -1.24394e-14-0.123933j -1.62776e-15+0.127945j 9.41771e-16+0.0523961j -6.54644e-15+0.0299748j -5.46443e-15-0.265472j 1.91185e-15+0.0768318j 9.21432e-16-0.0427154j 3.0169e-15-0.0322515j 7.67785e-15-0.189207j -4.50939e-17+0.0584476j 3.59929e-16+0.199727j 6.68803e-16+0.00886097j 8.25987e-16+0.0294349j -4.05031e-16+0.242002j -1.34134e-15+0.0536588j 1.15801e-15-0.108355j 4.2706e-16+0.0478039j 8.62592e-14+0.234433j -2.59282e-13-0.0851105j 
6.14743e-14-0.0883742j 3.15774e-14-0.00472054j -2.10655e-16-0.00394663j 1.34261e-15+0.113711j 1.97992e-16+0.0304347j 4.62282e-17-0.00505611j 1.69463e-16+0.0132615j 4.0465e-15+0.0150795j 2.1199e-15-0.0188006j -1.12696e-15+0.0046464j -1.52234e-17+0.0031834j 3.7554e-16+0.0309802j -2.82505e-16+0.00267678j -4.86333e-16+0.00537496j 1.62934e-16+0.0011315j 9.67276e-16+0.00350216j 2.43271e-16-0.000578962j -7.66132e-16+0.0101786j 2.10613e-15-0.0174729j -4.22784e-16-0.00512424j 1.29487e-16+0.0128739j -2.01451e-15+0.01023j -3.11594e-16-0.018745j -2.14079e-15+0.00301877j -1.45515e-15-0.0427766j -1.55211e-16+0.0206975j -2.26036e-16-0.013102j 3.90848e-16-0.00856625j 5.04443e-14+0.00368275j -7.32035e-13-0.117859j -4.43589e-14+0.00959808j -4.04186e-15-0.0455788j 1.15785e-13+0.179559j 9.90152e-15+0.101572j 2.65447e-15+0.1666j -4.04366e-16-0.0589648j 2.30427e-15+0.111316j -4.09072e-15-0.211322j 7.75556e-16-0.137015j 7.72316e-16+0.171182j 8.94581e-16+0.090878j 5.5635e-16+0.0502748j -1.20817e-12+0.306792j -2.62897e-15+0.0379543j -1.10603e-14-0.0129956j 7.91465e-15-0.0401908j 5.71016e-15-0.00209086j 1.25297e-15+0.124969j -4.02732e-14+0.220447j -1.43514e-14+0.313171j 3.41155e-14-0.000208487j -1.04981e-14+0.203741j 4.09909e-15-0.205985j 4.6773e-14+0.273009j 3.01998e-14+0.21129j -3.58084e-15+0.16174j -1.95808e-15-0.0808798j 3.35085e-15+0.0959986j -8.0758e-15-0.139198j -6.26692e-15-0.115672j 2.75698e-15-0.13841j 7.79467e-15-0.208954j 1.26055e-15-0.122317j 1.87119e-15+0.13589j -9.83658e-16+0.0677261j -1.82264e-15+0.0135509j -3.41415e-15-0.151795j 1.45842e-15+0.13195j 3.0902e-15-0.0216331j 1.23519e-15-0.188141j -5.90997e-14-0.180078j 1.71199e-13+0.0472302j 
2.85965e-14-0.0429399j 1.45084e-14+0.0027088j -1.41744e-17+0.0100164j -7.2545e-17+0.0283581j -2.75588e-16-0.0171029j 7.71537e-16-0.0681286j -4.08746e-16+0.0225431j -2.48422e-15-0.00941054j -1.02587e-15-0.00966394j 8.27019e-17-0.0316069j -5.40003e-16-0.0139091j -1.34932e-16-0.0152969j -2.87297e-17+0.0189789j -3.14829e-17+0.00078162j -1.98898e-16-0.00433059j 4.38488e-16-0.0102994j -2.06065e-15-0.00762572j 5.69938e-16-0.0118137j -1.14247e-15+0.0102446j -1.60362e-15-0.0260242j 5.84193e-16+0.0291862j 2.81889e-15-0.0149536j 1.86556e-15+0.00814973j 2.16042e-15+0.00430654j 1.22953e-15+0.0131317j 8.08604e-16-0.0362696j 5.43737e-17-0.0108753j 3.98982e-17+0.0173927j 2.38271e-14+0.00138614j -3.45141e-13-0.0556768j -4.81706e-14+0.00919247j -2.51814e-15-0.0253593j 1.59647e-14+0.0236462j 8.51851e-16+0.043646j -9.16108e-16-0.0220722j -1.07396e-14-0.279216j 1.19139e-15-0.02814j 5.8428e-15+0.137992j -5.20725e-15+0.127134j -2.59133e-15-0.312594j 4.31419e-15+0.184754j -2.95078e-15-0.139159j -7.57071e-13+0.191076j 1.30837e-14+0.232393j -1.41207e-15+0.029344j -5.14212e-15+0.19132j 2.0157e-15+0.0750729j 1.89371e-16-0.0451693j -3.99112e-14+0.23058j 4.92665e-15-0.174618j 6.17572e-15-0.00458123j -7.96446e-15+0.12422j -2.33814e-14+0.197941j -3.71351e-15-0.0221373j -1.17312e-16+0.169772j 1.30695e-14+0.0921216j 1.24151e-14+0.118811j 3.1375e-15+0.00672958j 5.53263e-15+0.151741j 1.74218e-15+0.00955147j -1.01653e-14+0.192254j 2.69609e-16+0.0317383j 2.01322e-15-0.485301j 5.33344e-16-0.0255367j 1.39957e-15-0.16817j 1.28757e-15+0.0354013j 1.1253e-15+0.183894j -8.42717e-16-0.0617847j 6.64713e-16+0.0582485j 4.36735e-16-0.073098j -2.28505e-14-0.0960055j 6.78315e-14+0.0106062j 
1.18481e-14-0.0303988j 6.17122e-15+0.0257288j -3.57096e-16-0.0217341j 4.46533e-16+0.0668609j 2.44185e-16+0.0414773j 2.19711e-16-0.033627j -1.95666e-16+0.0052598j 2.46282e-16+0.00224405j 1.23977e-15-0.0156525j -1.20189e-15-0.0212166j -2.33492e-15-0.0383911j 6.91352e-16+0.0232232j -1.16545e-15-0.00964551j 7.19847e-16+0.0119602j -7.2255e-16-0.0189777j -1.98498e-16-0.00189099j 9.27148e-16+0.00843683j -7.17273e-16-0.00727372j -2.00951e-16-0.00956221j 3.86173e-16-0.00652908j -7.4142e-17+0.00517251j 9.30577e-16+0.00661244j -3.55604e-16-0.0299464j -2.18097e-15-0.0132896j 2.17981e-17-0.000236251j -6.91178e-16-0.00741826j -1.09626e-15+0.0325144j -6.74541e-16-0.0092963j 2.8189e-14+0.0504317j -4.05103e-13-0.0619468j -2.62929e-13+0.0444985j -1.32089e-14-0.0188979j 6.84837e-14+0.109324j 4.93283e-15+0.019056j 7.26719e-16+0.141327j -3.16124e-15-0.0874679j -9.87027e-16-0.0392156j 4.7124e-15+0.0677912j 1.55274e-15-0.220309j -1.65879e-15-0.208349j -2.28574e-15-0.261769j 6.07501e-15+0.0260561j 2.30239e-13-0.0589492j 6.83606e-15+0.0436079j 5.32412e-16+0.0797819j 7.12411e-15-0.0891431j 6.87285e-15+0.148239j 9.55654e-16-0.243863j 1.67517e-14-0.0882224j -1.14552e-14+0.0889894j 3.89183e-14-0.244521j -1.93055e-14-0.064088j 1.97365e-14-0.263085j -3.29714e-14-0.368491j -6.04176e-15+0.127531j 6.49939e-15-0.0161734j -1.11734e-15-0.0434558j 1.09581e-15+0.0011243j 1.19789e-14-0.188594j 7.60712e-15+0.301251j -7.48708e-15+0.0398645j -2.5829e-16+0.15983j 1.5359e-15-0.0953743j -1.63215e-16+0.0616272j -3.15417e-15+0.264396j 2.19795e-16+0.195713j 2.18587e-15+0.108889j -7.24028e-16+0.015894j 3.7505e-15-0.0759372j 2.66158e-15-0.230332j 1.67994e-14-0.0868314j -5.10972e-14-0.061097j 
-3.15225e-14+0.00324608j -1.53897e-14+0.0830464j 5.75084e-16+0.0429066j -1.51202e-16-0.0013664j 6.53533e-17+0.00302054j 2.72841e-16-0.0208286j -2.69621e-16-0.0158061j -8.08072e-16-0.00389825j 3.58451e-16+0.00872033j -6.20756e-17+0.0148686j -7.17841e-16-0.00928409j 4.04106e-16+0.00765363j 6.75301e-17+0.00132756j 8.37976e-16+0.00467816j 8.83972e-16+0.00212845j 2.9281e-16+0.0100387j -1.47852e-15-0.00437151j 4.8709e-16+0.0049573j -7.13995e-17+0.0132517j -6.99158e-16-0.00906424j -2.27809e-17-0.0115014j 1.22967e-15-0.00234807j -3.78866e-17+0.00227515j -4.80999e-15-0.0254795j -1.62826e-15-0.0182242j 1.04393e-16-0.0145077j -1.31028e-15+0.0176072j -1.0502e-15+0.0315387j 5.34814e-15+0.049311j -7.08716e-14-0.00795538j 1.85466e-13-0.0297936j 8.73105e-15-0.020635j -2.38578e-14-0.043996j -1.44354e-15+0.0739306j -3.62362e-16+0.00226735j -6.8469e-16-0.0258279j -2.57578e-16-0.0229063j 4.88305e-16+0.0335837j 3.29395e-16-0.0449964j -3.2464e-18+0.0953917j -2.74229e-16-0.0268798j -1.62987e-16-0.0165636j 7.41863e-14-0.0197625j 2.55328e-15+0.0674177j -3.21622e-16+0.0858994j 1.36049e-15+0.0276177j 5.1288e-16-0.0248816j -2.24155e-16+0.042367j -5.74531e-15+0.0188066j -3.75648e-15-0.0402489j 1.91062e-14-0.0853107j -1.03262e-14+0.0638015j -4.71997e-15+0.0326602j 3.98236e-15-0.0116288j 2.62836e-15+0.0409142j -3.03598e-15-0.0297093j -3.39874e-15-0.0162478j 2.07196e-15+0.0151738j -1.59688e-15-0.111361j -4.49543e-15-0.0515406j 2.1283e-15-0.02436j 3.41573e-16+0.0306854j -1.56576e-16-0.0103908j 6.4746e-16-0.0406238j 3.0304e-16-0.00268992j 2.14548e-16+0.0113671j -2.97529e-16-0.0367374j 4.00161e-18-0.0410768j -5.34626e-17+0.105589j -1.08417e-15-0.0428016j 4.4058e-14-0.0191581j -1.3277e-13-0.0899781j 
-7.832e-14+0.0829463j -4.01426e-14+0.0605125j -1.10627e-16-0.0135221j -4.76182e-17-0.0331137j 1.60216e-17-0.0161966j 3.78717e-16-0.0105844j -1.23424e-17+0.000385243j 1.65064e-15+0.00647856j 3.43185e-16+0.00172713j -2.36202e-16+0.00765076j 1.75392e-17-0.00080247j 2.24929e-16+0.00115407j -5.29747e-16-0.0167808j 1.59838e-15+0.00918529j 3.0677e-16-8.53013e-05j -4.27735e-17+0.00412719j -3.69118e-16-0.00547541j 2.01321e-16-0.00311243j 8.69039e-16-0.0139271j -5.07899e-16-0.00996226j 3.67625e-16-0.00576888j 1.59433e-15-0.00883608j 2.06072e-16+0.00636627j -1.80202e-15-0.0163758j -6.79075e-16+0.00629709j -1.50884e-16-0.000122609j -1.71304e-15+0.0418664j -1.55684e-15+0.0149241j -2.47808e-14+0.0332643j 3.57078e-13+0.0600196j 3.7841e-14-0.00536606j 1.65757e-15-0.0184722j -1.54563e-14-0.0220691j -1.64013e-15-0.0412404j -3.37638e-16-0.0154588j -1.7033e-15-0.063001j 8.20107e-16+0.0245016j -7.24801e-16-0.0163154j 1.9956e-15-0.0264815j -1.80175e-16+0.027531j 4.76689e-16+0.00656593j 2.50457e-16+0.0114225j 4.01125e-14-0.0109798j -6.31056e-15-0.0778009j -2.1376e-16+0.0681529j 1.70405e-15-0.0189586j -1.51047e-16-0.0428444j -1.48086e-15-0.0623036j -1.50308e-14+0.101331j 1.33061e-15-0.00498444j -4.08797e-15+0.0337664j 3.33827e-15-0.0103998j -1.22579e-15+0.0194223j -4.67448e-15-0.0686076j -9.28225e-16+0.0497075j -1.46781e-15-0.0162548j -4.95012e-15+0.00199284j -1.63377e-15-0.0970311j 9.10794e-16-0.0380036j -2.18514e-15-0.0470088j 2.8695e-15-0.026111j 1.47026e-15-0.0364482j -3.47057e-16+0.0460432j 1.33674e-15+0.035886j 5.66868e-16-0.00167548j 4.81876e-16+0.0131615j 4.83452e-16+0.0698736j 7.33136e-17-0.0165683j -1.10882e-15+0.029323j -4.38184e-16+0.0113218j 6.89465e-14+0.0970982j -2.0486e-13-0.0970161j 
-7.95019e-15+0.0124112j -4.28641e-15-0.000939326j -8.99828e-17-0.00338489j -3.05301e-16-0.0147836j -6.51158e-17-0.00312717j 8.11659e-17+0.00435182j 2.94971e-17+0.000905347j -7.10142e-16-0.002643j -3.19614e-16+0.00188301j 1.31889e-16-0.00223657j 1.05156e-16+0.0026317j -2.12813e-17-0.000647451j -8.47959e-17-0.00357753j -3.52561e-16-0.00406833j -4.30453e-17+0.00216434j -6.03548e-17-0.00296816j 1.75695e-17+8.62182e-06j 2.36175e-17+0.00148258j -1.11391e-16-0.00097191j 1.27952e-16+0.00124096j 9.02124e-17+0.00341692j 6.68938e-17-0.00114846j 9.41717e-17+0.00150933j 1.87129e-16+0.00030687j 1.73294e-16+0.00189691j 3.21089e-17-0.00183893j -1.55944e-16+0.00536387j -2.06589e-16+0.00325838j -4.83271e-15-0.00216905j 6.9182e-14+0.010984j 1.52629e-15-0.00035876j 2.38866e-16+0.00225918j -1.11298e-14-0.0169115j -1.16472e-15-0.0113687j -4.33835e-16-0.0168337j 3.58238e-16+0.00856881j -1.08956e-16-0.0056161j 5.20547e-17+0.0104726j 2.84786e-16+0.0143416j 1.94209e-17-0.00387681j 6.88581e-17-0.00162934j -1.29677e-16-0.00193045j 9.53936e-14-0.0242627j -7.89225e-16-0.0119853j 7.25584e-16-0.000562783j -6.95015e-16+0.00116068j -7.83593e-16-0.00593935j -2.16258e-16-0.00598832j 2.59358e-15-0.013832j 1.29038e-15-0.0228017j -3.95865e-15+0.00980574j 1.54505e-15-0.017366j -2.09135e-16+0.019713j -2.91143e-15-0.0133202j -2.50486e-15-0.020536j -1.76813e-16-0.0130137j -5.4119e-17+0.00593015j -6.35333e-16-0.0117715j 5.92468e-16+0.0142971j 1.69813e-16-3.20931e-05j 2.20554e-16+0.00623137j -5.95375e-16+0.00910162j 1.78681e-16+0.020989j -1.36529e-16-0.00926005j -1.39395e-17-0.00955103j -2.64169e-17-0.0065826j 3.19141e-16+0.00979557j -1.19132e-16-0.00951835j -4.6988e-16+0.00121707j 2.19052e-16+0.0232513j 6.49923e-15+0.0221183j -1.78427e-14-0.00385986j 
