0.0175792-0j 0.019257-0j 0.0032095-0j 0.00814054-0j 0.00212588-0j -0.000763771-0j 0.0891427-0j -0.00432054-0j 0.0364056-0j 0.00542702-0j -0.00483051-0j 0.000858088-0j 0.00901935-0j -0.00072009-0j 0.00174557-0j 0.000318697-0j 0.000291909-0j 4.53235e-05-0j -0.00295807-0j -5.69281e-05-0j -0.0229131-0j 2.95698e-06-0j 
0.000905145-0j -0.0291307-0j -0.0098755-0j -0.00594628-0j -0.00102355-0j -0.0331234-0j 0.00458992-0j 0.00313551-0j 0.000905145-0j 0.000134931-0j -0.102993-0j -0.00192305-0j 0.00014781-0j -0.0153532-0j 2.13345e-05-0j -0.000232768-0j 2.8446e-06-0j -1.07892e-05-0j 0.00214674-0j -0.00497906-0j 0.0166286-0j 1.79193e-08-0j 
0.00682171-0j 0.0074728-0j 0.00124547-0j -0.0207107-0j -0.0114917-0j -0.000143116-0j 0.0345924-0j -0.000809586-0j -0.0926211-0j -0.0138071-0j -0.000905145-0j -0.0021831-0j -0.048755-0j -0.000134931-0j -0.0144014-0j -0.00262933-0j -0.00323679-0j -0.000631047-0j -0.000554286-0j -1.06672e-05-0j -0.00429348-0j -5.79213e-05-0j 
-0.00239053-0j 0.0769356-0j 0.0260816-0j 0.032523-0j 0.00849331-0j -0.00620669-0j -0.0121222-0j 0.000587535-0j -0.00495067-0j -0.000738002-0j -0.0192988-0j 0.0105181-0j -0.00122651-0j -0.0028769-0j -0.000237374-0j 0.00258985-0j -3.96956e-05-0j 0.000181076-0j 0.000402258-0j -0.00093298-0j 0.00311587-0j -4.02109e-07-0j 
0.00231462-0j -0.0744926-0j -0.0252534-0j -0.0314903-0j -0.00822361-0j 0.0060096-0j 0.0117373-0j -0.000568878-0j 0.00479346-0j 0.000714567-0j 0.018686-0j -0.0101841-0j 0.00118756-0j 0.00278555-0j 0.000229837-0j -0.00250761-0j 3.84351e-05-0j -0.000175326-0j -0.000389484-0j 0.000903354-0j -0.00301693-0j 3.8934e-07-0j 
0.00111964-0j 0.00122651-0j 0.000204418-0j -0.00722244-0j 0.0162216-0j -1.54829e-05-0j 0.00567763-0j -8.75845e-05-0j -0.0322998-0j -0.00481496-0j -9.79225e-05-0j -0.000761312-0j 0.0688224-0j -1.45974e-05-0j 0.0444086-0j 0.00810787-0j 0.0153281-0j 0.00402598-0j -5.9965e-05-0j -1.15403e-06-0j -0.000464487-0j 0.000559435-0j 
-0.0232944-0j 0.000568878-0j -0.00425296-0j 0.000116122-0j -0.000896603-0j 0.000318013-0j 0.00263339-0j -0.0806942-0j 0.000519312-0j -0.00702247-0j 0.00201129-0j 1.22403e-05-0j 8.48034e-05-0j -0.0271979-0j 1.22403e-05-0j 2.23476e-06-0j -7.32073e-05-0j 2.10696e-07-0j 0.00123166-0j 2.37033e-05-0j 0.00954038-0j 1.02809e-08-0j 
0.0240584-0j -0.000587535-0j 0.00439244-0j -0.00011993-0j 0.000926007-0j -0.000328442-0j -0.00271976-0j 0.0833407-0j -0.000536344-0j 0.00725277-0j -0.00207725-0j -1.26417e-05-0j -8.75845e-05-0j 0.0280899-0j -1.26417e-05-0j -2.30806e-06-0j 7.56082e-05-0j -2.17606e-07-0j -0.00127205-0j -2.44806e-05-0j -0.00985326-0j -1.06181e-08-0j 
-0.00108409-0j -0.00118756-0j -0.000197927-0j 0.0069931-0j -0.0157065-0j 1.49913e-05-0j -0.00549734-0j 8.48034e-05-0j 0.0312741-0j 0.00466207-0j 9.4813e-05-0j 0.000737138-0j -0.066637-0j 1.41339e-05-0j -0.0429985-0j -0.00785041-0j -0.0148414-0j -0.00389814-0j 5.80609e-05-0j 1.11738e-06-0j 0.000449738-0j -0.00054167-0j 
0.0870047-0j -0.00212476-0j 0.0158848-0j -0.000898202-0j 0.0105216-0j 8.42722e-05-0j -0.00983574-0j -0.0213837-0j -0.00401688-0j 0.0543188-0j 0.000532984-0j -9.46788e-05-0j -0.000995168-0j -0.00720735-0j -0.000192601-0j -3.5164e-05-0j 0.00144475-0j -5.00086e-06-0j 0.000326385-0j 6.28128e-06-0j 0.00252817-0j -3.26264e-07-0j 
0.000898202-0j -0.0289073-0j -0.00979975-0j 0.0801159-0j 0.0444536-0j 0.00112608-0j 0.00455472-0j -0.000106597-0j -0.0121953-0j -0.00181796-0j 0.0035014-0j 0.0259098-0j -0.00641949-0j 0.000521958-0j -0.00189621-0j 0.0206885-0j -0.000426182-0j 0.0024411-0j -7.29819e-05-0j 0.000169271-0j -0.000565315-0j -7.6264e-06-0j 
