-0.153674-0j 0.833699-0j -0.128573-0j -0.128573-0j -0.117371-0j -0.143749-0j -0.0958329-0j -0.0829937-0j -0.0829937-0j -0.117371-0j -0.0586854-0j -0.0479164-0j -0.0586854-0j -0.0262449-0j -0.00572711-0j 
0.168342-0j -0.000114283-0j -0.565596-0j 0.566307-0j 0.128573-0j -9.89721e-05-0j -6.59814e-05-0j -0.182001-0j 0.090915-0j -0.128735-0j -4.04052e-05-0j -0.157601-0j -0.128694-0j -0.11509-0j -0.03767-0j 
0.133086-0j 0.143749-0j -0.111628-0j 0.111348-0j -0.305961-0j 0.375667-0j 0.0829937-0j -0.216347-0j -0.215985-0j -0.101902-0j -0.254499-0j 0.0414968-0j -0.152725-0j -0.0227859-0j 0.00495982-0j 
0.088724-0j 0.0958329-0j 0.0742318-0j 0.0742318-0j -0.339587-0j 0.0829937-0j 0.389813-0j 0.0479164-0j -0.240125-0j -0.339587-0j 0.033882-0j -0.138636-0j 0.033882-0j 0.0151525-0j 0.00330655-0j 
-0.133086-0j 0.14393-0j -0.111348-0j 0.111348-0j 0.305961-0j -0.375196-0j 0.083098-0j 0.217164-0j -0.0718746-0j 0.101646-0j 0.0508869-0j -0.207902-0j -0.0510148-0j -0.250445-0j -0.144053-0j 
-0.153674-0j 0.000104326-0j 0.128897-0j 0.128735-0j 0.235406-0j -9.05759e-05-0j -0.000301844-0j 0.166144-0j -0.500209-0j 0.236295-0j -0.000184702-0j -0.288554-0j -0.353035-0j -0.105326-0j 0.0343878-0j 
-0.0543321-0j -0.0586854-0j 0.227631-0j -0.0454575-0j -0.0414968-0j 0.254499-0j -0.033882-0j -0.0293427-0j -0.382784-0j 0.207797-0j -0.144767-0j -0.016941-0j -0.27067-0j 0.0464649-0j -0.00202484-0j 
0.088724-0j -0.191846-0j 0.0742318-0j 0.0745119-0j -0.135912-0j -0.166144-0j 0.555067-0j 0.191937-0j -0.0961041-0j -0.136425-0j -0.0678279-0j -0.0550664-0j 0.13572-0j -0.21285-0j -0.344711-0j 
0.094106-0j -0.101774-0j -0.2366-0j -0.0787347-0j 0.0718746-0j 0.26486-0j -0.0587592-0j 0.0510148-0j 0.0513349-0j 0.215985-0j -0.469403-0j 0.147009-0j 0.0364363-0j -0.532165-0j 0.101861-0j 
-0.0543321-0j 0.176204-0j 0.0455718-0j -0.227745-0j -0.0414968-0j -0.152981-0j 0.101731-0j -0.029121-0j 0.0881757-0j 0.208425-0j -0.311957-0j 0.254797-0j 0.0618785-0j -0.17686-0j -0.457266-0j 
0.0140285-0j -0.0758197-0j 0.0117371-0j 0.223359-0j 0.0107144-0j -0.0656618-0j -0.0437745-0j -0.357028-0j 0.00757625-0j 0.203898-0j -0.0268063-0j 0.162769-0j -0.252457-0j 0.362628-0j -0.572473-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
