0.160205+0.0956069j -0.0236443+0.0496627j -0.000369169+0.172614j -0.0213032-0.053379j 0.160786-0.0947646j -0.057749+0.150306j -0.0770453+0.0128971j -0.130651+0.0400125j -0.000627843+0.0409564j -0.130062-0.0402805j 0.0787153+0.013978j 0.056665+0.149552j -0.0916162-0.0367781j 0.0221771+0.0496902j -0.0390548+0.099622j -0.0324879+0.0188117j 0.0550752+0.0272681j -0.0356457-0.0122431j -0.0433234-0.0355201j -0.0383749+0.0423898j -0.0476049+0.0383823j 0.0106488+0.0312142j 0.0512464-0.0594566j 0.0500589+0.0598708j -0.0109263+0.0312294j -0.0488907-0.0395601j -0.037941-0.0424596j 0.0420139-0.0362671j 0.0329935-0.0116803j -0.0574417+0.0240652j 0.0320388+0.0186006j -0.0374789-0.0995527j -0.0231429+0.0508443j 0.090506-0.0364227j 
0.0229126+0.0384072j 0.189301-0.145705j -0.288071-0.0113103j -0.0303869+0.170791j -0.166894-0.219242j -0.00640172+0.00113469j 0.0242733+0.0170359j -0.0172574-0.0446999j -0.0208816-0.0031431j 0.00507693-0.000375014j -0.0101759-0.0126075j 0.0381373-0.0148664j -0.00428073+0.0217765j 0.00616283+0.0498949j -0.0119312+0.00198526j 0.0924983-0.0497957j -0.0235108-0.0831826j -0.104812-0.08056j -0.00756367+0.0088936j -0.0092278-0.0644898j -0.0671979-0.00242735j -0.0102213+0.0323027j -0.0084469+0.0200722j 0.00311703-0.0208086j 0.0492858-0.0908891j 0.0201072-0.0137252j -0.0495707-0.0502749j 0.00801679-4.34648e-05j -0.0227622-0.0402301j -0.0146198+0.0276707j -0.0275593-0.0295052j -0.110599+0.0172647j -0.0617883-0.00880189j -0.00416539+0.0921278j 
0.164332-0.216238j 0.0242481+0.173015j -0.287474+0.0127937j -0.190905-0.148366j -0.0195476+0.0418265j 0.0383482+0.0146914j -0.0111603+0.0135645j -0.00550364+0.000442574j -0.0207332+0.00270451j 0.0173679-0.0439968j 0.0239727-0.0174901j -0.00709526-0.00114959j -0.00261257-0.0924469j -0.0616867+0.00646942j 0.110986+0.0178616j -0.0291151+0.0309456j -0.0122782-0.0255834j -0.0222249+0.0403009j 0.00917618-0.000167423j 0.0498033-0.0510655j -0.0204135-0.0155838j 0.0490964+0.0902987j -0.00349032-0.0203237j 0.00930343+0.0225615j -0.0101337-0.0323747j 0.0660764-0.00249899j 0.0108418-0.065312j -0.00941771-0.00775212j -0.105653+0.0792431j -0.0246319+0.0810349j 0.0909298+0.0530389j 0.0134161+0.000410298j 0.00783789-0.048616j -0.00422136-0.0230868j 
0.0138628+0.0127322j 0.0809384-0.0236842j -0.0543056+0.0281537j -0.174289-0.263614j 0.0359461+0.343496j 0.013998+0.000374307j 0.0239809-0.0259004j 0.0255631+0.0203496j -0.16755-0.01296j 0.0590057+0.12311j 0.0802414-0.0954424j -0.016209+0.156305j 0.00694011+0.00991094j -0.0213491-0.0141497j -0.0178252+0.00636814j -0.00511471+0.00758255j 0.000826569-0.0180836j 0.00874754+0.0538182j -0.0884922-0.0526864j -0.00214575-0.0190063j 0.0388847-0.123476j 0.0457345-0.0400627j 0.0518759+0.0699158j 0.132186-0.0562279j 0.0279842+0.0745041j 0.0198728+0.0104792j 0.0615267-0.0554398j -0.0424702-0.0340831j 0.00425128+0.0341989j 0.0520113+0.00382519j -0.0161211+0.0451271j -0.0203176+0.0774711j 0.00889852+0.085878j 0.117944+0.0413175j 
0.0129585-0.0087876j -0.011492-0.00523731j -0.0423975-0.132581j 0.211274-0.100667j -0.290909+0.0819813j -0.00821327-0.0178247j -0.0666142+0.00846031j 0.0220978-0.0130776j 0.0454793+0.167816j 0.134249-0.12996j -0.112713-0.0268957j 0.186902-0.0348858j 0.0138506-0.00458303j 0.0120532+0.0285008j 0.00650079+0.0154389j 0.000152041-0.0277389j -0.0243963-0.000676288j 0.0291011-0.00842961j -0.0720584+0.0741125j -0.00942547+0.0118311j -0.0740291-0.0454304j -0.0371907-0.00789344j 0.105947-0.00721686j -0.0183934-0.107644j 0.0871592+0.0371176j 0.0421211-0.0197665j -0.0243556-0.0717535j -0.03372+0.0331718j 0.046203+0.0109228j 0.030449-0.0403893j 0.0277325-0.0141428j 0.0550887+0.0572524j 0.0423979+0.000267666j 0.0376724-0.10676j 
-0.0302577+0.0852399j 0.262747+0.162713j 0.204358+0.190086j -0.0612963-0.275204j -0.162274-0.0123013j -0.0106096+0.0293108j 0.151719+0.00859194j 0.0654365-0.0968188j -0.048015+0.103736j -0.0863645-0.0242038j 0.0168534-0.152425j 0.011995-0.0409797j -0.0119087-0.0164597j -0.0565408-0.067778j -0.0224377-0.0131946j -0.0627005+0.0995325j 0.0174823+0.00179339j 0.0750579+0.0441886j -0.01801+0.0142518j 0.00843902-0.0748207j -0.0586478-0.0195904j 0.0781982-0.0586078j 0.00807029-0.0444638j -0.0605466-0.0146807j 0.0343623-0.0885905j -0.0219088-0.0273826j -0.108925+0.00747485j 0.0108661+0.0401314j -0.0691684-0.0536138j -0.0344325-0.0394575j -0.0770658+0.0727731j -0.00319006-0.0210025j 0.0956405+0.0519789j 0.00290684-0.0167325j 
0.165533-0.0196974j 0.048424-0.271043j 0.201919-0.189347j -0.265222+0.173033j 0.0385897+0.0816854j 0.0150226+0.0437369j 0.0137947+0.147785j 0.0846542-0.0256542j -0.0457865-0.109962j -0.0646207-0.096041j 0.152184-0.00623013j -0.0151188-0.0281148j 0.00055437+0.0198817j 0.0966896-0.0509212j 0.00370907-0.0227674j -0.0735512-0.0755582j -0.0361352+0.0372787j -0.0690891+0.0511029j 0.0141769-0.0439551j 0.111007+0.00697917j 0.0244762-0.0262106j 0.0353715+0.0908408j 0.0597462-0.0142288j -0.00681525-0.0446619j 0.0753651+0.0575438j 0.0604355-0.0165994j -0.00853046-0.0734889j -0.0153877-0.0159772j 0.0771073-0.0423952j 0.0195946+0.00133513j -0.0605242-0.0995539j 0.0207025-0.0141468j -0.0571091+0.0655149j -0.0132441+0.0188813j 
-0.285138-0.0781063j 0.219189+0.101716j 0.04689-0.132239j -0.0165407+0.00427718j 0.0114566+0.00815366j -0.184783-0.0341428j 0.11657-0.0242424j 0.137247+0.125947j -0.0443417+0.170082j 0.0214487+0.0100549j 0.0692869+0.00604006j 0.00715223-0.0190569j -0.0380754-0.10674j -0.0434329-0.00192616j 0.0547696-0.0566818j -0.0293497-0.0124911j -0.0305663-0.0413351j -0.0461577+0.0115522j 0.0345603+0.0343819j -0.0229306+0.0701756j 0.0414878+0.0209577j -0.0870877+0.0374304j -0.0179976+0.107152j 0.103413+0.00746427j 0.038048-0.00993527j -0.075312+0.045099j -0.0117581-0.0129817j 0.0713745+0.0735173j -0.0301236-0.0105554j 0.0234897-0.00149284j -0.00138169-0.0282122j 0.00613078-0.016098j -0.0107882+0.0295497j -0.014757-0.00393527j 
-0.0301715+0.338255j 0.174034-0.273649j -0.0516941-0.0320536j -0.0848363-0.0188032j -0.0132402+0.0147863j -0.0151577-0.151414j 0.0795123+0.0957623j -0.0565967+0.123843j -0.169578+0.0131125j -0.0238828+0.0188188j 0.0263399+0.0260867j 0.0137419-0.000631969j 0.117278-0.0399955j 0.0114116-0.0884548j 0.0189301+0.0770735j -0.0176965-0.0486323j 0.0507204-0.00315564j 0.0033369-0.0345022j -0.0442688+0.0340899j -0.0603243-0.0554451j -0.0208636+0.0101536j 0.0288545-0.074174j -0.13185-0.0553074j -0.0523451+0.066341j 0.0479727+0.0411155j -0.037245-0.124054j 0.00266647-0.0203783j -0.0875435+0.05185j 0.011962-0.0544085j 0.00288679+0.018157j -0.00556985-0.00924409j 0.0181632+0.00612847j -0.0221514+0.0149716j 0.00655185-0.0096975j 
-0.00374839-0.00445349j 0.00238888+0.00842585j 0.0015373-0.0254544j 0.0223043+0.0631833j 0.341945+0.151128j -0.0123417+0.00325472j -0.00196918+0.026034j -0.0345112-0.0394773j 0.0985387+0.0677577j -0.0703876-0.000958619j 0.0188789-0.331033j -0.162857+0.294511j -0.00391042-0.000426928j -0.000700006-0.00777145j 0.00367744+0.000410155j 0.00743222+0.00663j 0.00502934+0.014598j -0.00535277+0.00163965j 0.0189736+0.0194588j -0.00336343+0.00335758j -0.00401542-0.0132467j -0.00141537-0.00249894j -0.00188713+0.016625j -0.00569043-0.0276299j -0.0184296+0.0151559j 0.00651247-0.100486j 0.0356445+0.0071435j -0.00867718+0.0197569j -0.0744916-0.00634043j 0.0533034+0.0173747j -0.0317681-0.0487075j -0.0770845-0.00735884j 0.0249209-0.00361399j 0.0452068-0.0111313j 
-0.0058497-0.00664919j -0.0401966-0.0324868j -0.0258137-0.0171844j -0.13038-0.0801114j 0.0853275-0.408922j -0.00274139-0.0247486j -0.072348-0.000558454j 0.0180778-0.0999722j 0.0187622+0.121464j -0.026314+0.25609j 0.13458-0.12926j -0.0346252-0.150883j -0.00461052-0.0149146j 0.0216837+6.92712e-05j 0.000902146+0.0171917j 0.0101642+0.0424315j -0.00661584+0.0260707j -0.0192077-0.0114184j -0.0092379+0.0567163j -0.0199389-0.00331092j 0.0258768-0.0217409j 0.0149972-0.00734085j 0.037376+0.0423801j 0.000966662-0.00440287j -0.0494337-0.00213003j 0.0599104+0.0231852j 0.020315+0.0487706j 0.0201006+0.0363573j -0.00430879-0.140691j 0.0483111+0.0349626j 0.100604-0.0501596j 0.0242525-0.0720114j 0.10135+0.0164894j 0.0469541+0.0300376j 
