0.178964+0.151003j -0.516728+0.204751j -0.0344671-0.0525225j -0.148628+0.14275j 0.0707465+0.175879j -0.000292857+0.00745152j 0.028971+0.00291631j -0.0616054-0.0172641j -0.0240269-0.0685214j 0.0224753-0.0721778j 0.0411719+0.0583407j -0.0104677+0.0841707j -0.00552143+0.0566836j 0.105831-0.00511203j 0.0136337+0.0445786j -6.47759e-05+0.00100305j -0.00254092+0.0113062j -0.00459461-0.00497755j 0.00669796-0.00638671j -0.0457292+0.00947932j -0.0168961-0.00128555j 0.0341176+0.00672505j -0.00189305-0.0169176j -0.0411872-0.0408553j -0.00263741+0.0709551j 0.0252644+0.0310148j -0.033321+0.0340595j -0.0554772+0.0210819j 0.048533-0.0356826j 0.0310753+0.00512102j 0.0758468-0.175486j 0.0511573+0.0848338j 0.019958-0.0184907j -0.127416+0.0341952j 0.0675719-0.0366323j 0.033263+0.0359023j 
0.0833091-0.272977j -0.264846-0.123279j 0.0227622+0.146937j 0.0925429+0.155609j 0.114776-0.0443501j 0.0324285-0.0244079j 0.0116123-0.00583206j 0.0806589+0.0851529j -0.0214219+0.103389j -0.0105277-0.0418992j 0.0607843-0.0197444j 0.00630288+0.0882368j 0.0940555+0.119844j 0.188103+0.00439173j 0.0206926+0.120215j 0.00271362+0.00964882j 9.77826e-05-0.0153274j -0.0322031+0.0436022j -0.0448582+0.0224804j 0.0178582-0.0100552j 0.0749393+0.00816733j 0.0196157+0.0300162j -0.019669+0.0236322j 0.0577608+0.0273478j 0.0726138+0.0367475j 0.00267553+0.0603746j 0.0372638+0.0342005j -0.0166929-0.0345625j 0.000329013-0.090342j -0.0400368+0.0105719j -0.0362638+0.0502561j 0.0119003-0.0163781j 0.0119141-0.0558858j 0.0530035-0.00300366j 0.00228716-0.0199512j -0.00148491-0.0118092j 
0.505654+0.616416j -0.0679386+0.0851785j -0.117768-0.115674j 0.0464442+0.0366913j 0.0461442-0.243578j -0.0202209+0.0594219j -0.119851+0.0119976j -0.0123496+0.029954j 0.0520186+0.0728248j -0.032592+0.0236076j -0.0530102-0.0868136j -0.0425706-0.0342061j -0.0449972-0.0949416j -0.0939647-0.0221683j 0.00919148-0.064874j -0.0128939-0.00393183j -0.0026234-0.024361j -0.00537157-0.0384905j 0.00145844+0.000880622j 0.0623659-0.042768j -0.0123796+0.0319462j -0.00366959+0.00912667j 0.0599468-0.00168979j 0.061776+0.00311352j 0.117346+0.00960616j 0.0475415+0.0473599j -0.00520767+0.0036446j 0.0087082-0.034671j -0.0840353-0.11495j -0.0537742+0.000525761j 0.0590059-0.0622346j -0.0374814-0.0146912j -0.00326508-0.09769j -0.0623566-0.0399517j 0.0521492-0.0334374j 0.0121801+0.0257801j 
0.288822-0.382026j -0.295793-0.3728j 0.205322-0.00130642j -0.0586546+0.00135105j 0.205007+0.0054811j -0.0631467+0.0390475j -0.14784-0.0347804j 0.0474472-0.0235307j 0.124807+0.14319j 0.0528679-0.00998434j -0.0556614-0.00384341j -0.120065+0.142858j -0.0429669-0.0220557j 0.152046-0.0370085j 0.0644591+0.0412749j -0.0126405-0.00379184j -0.0199807-0.0347982j 0.016881-0.016896j 0.00774513+0.0668269j -0.00491657-0.00197622j -0.0453098-0.0022725j 0.0467051-0.0254643j -0.00974879+0.0510397j 0.00602976-0.0400652j -0.0481718-0.0514291j 0.0174624+0.00047471j 0.0496133-0.0509001j 0.00478138+0.0422497j 0.00641185+0.0473348j 0.0466731+0.0283711j 0.0446384+0.00082899j 0.00561982-0.00462733j -0.00771988+0.0653601j -0.013995-0.0183117j -0.020278+0.0351652j -0.013243+0.00421335j 
-0.060788-0.0992558j 0.50414-0.621295j -0.0416743-0.243016j -0.0486307+0.0308146j 0.116818-0.113314j 0.00931872+0.0683032j -0.0959046+0.02206j -0.0481571+0.0965136j -0.0424571+0.0380774j -0.0509192+0.0855779j -0.0320403-0.0254616j 0.0519916-0.0692589j -0.0140481-0.0278553j -0.11837-0.0115729j -0.0218542-0.0592491j -0.0111644+0.0265249j -0.0542524-0.0317704j -0.0618544+0.0407287j -0.00190521+0.0968948j -0.0412752+0.0160457j 0.057319+0.0610178j 0.0477447+0.00900556j -0.0879063+0.114622j -0.0127749-0.0347356j -0.00909155-0.00254224j -0.048543+0.0445843j 0.114214-0.0095409j -0.061834+0.00526461j 0.0618093+0.00369499j 0.0112754+0.00821712j -0.0144909-0.0337182j 0.0627763+0.042036j 0.00304687+0.00213112j -0.00443097+0.0405454j 0.00185945-0.0231639j 0.0125966-0.00483151j 
0.258689-0.130269j -0.091473-0.271566j 0.115216+0.0522293j 0.0961159-0.151659j 0.0252551-0.148844j -0.0223473+0.118887j -0.187057+0.00584099j -0.0942494+0.11488j -0.00331608+0.0855511j -0.0571293-0.0262583j 0.0100436-0.035282j 0.0164456+0.110789j -0.0837044+0.0847812j -0.0100119-0.00700961j -0.0309046-0.0242611j -0.00236841+0.0135139j -0.000411445+0.0183997j -0.0558948-0.00532254j -0.0103891-0.0553403j -0.00947113-0.0210059j 0.0358776+0.055503j -0.0409566-0.0177531j 0.00642136-0.0898232j -0.0141881+0.0333182j -0.0388991+0.0312108j 0.0040157-0.0597399j -0.0732288+0.0328055j 0.0618123-0.0289842j 0.0164574+0.0266291j 0.018745-0.026983j -0.0726578+0.00794279j -0.0227074-0.0105908j 0.0442619+0.0224155j 0.0308279+0.0415981j 0.00108062+0.0174979j 0.00217077-0.00904481j 
-0.519631-0.203628j 0.18644-0.14528j -0.0722481+0.172335j 0.145714+0.148029j 0.0359275-0.0486594j 0.0142495-0.0487165j 0.109798+0.00379463j -0.00116858-0.0600006j -0.00880354-0.0884409j 0.0428311-0.0545338j 0.0210117+0.0749599j -0.0263029+0.0620708j -0.0600207+0.0133828j 0.029528-0.00440293j 0.00132377-0.00724925j -0.0331982+0.0352757j -0.0690564-0.0372551j -0.126274-0.0339609j 0.0205618+0.0221522j 0.0496558-0.0862613j 0.0767346+0.172538j -0.0246036+0.0092147j 0.0500149+0.0397985j 0.0564251+0.0175675j -0.0310835-0.0356933j -0.0245798+0.0348244j 0.00087865-0.0724496j 0.038915-0.0387255j -0.000861225+0.0154545j -0.0345179+0.00892139j -0.0120873+0.000244715j -0.0452943-0.00927771j 0.00507743+0.00558822j -0.00651532+0.00336224j 0.00247002+0.0107957j 0.000110164+0.00161728j 
-0.0427203+0.0361778j -0.0196868-0.241595j -0.0582627+0.0131841j 0.0563461+0.215995j 0.319865+0.0351842j 0.0134933-0.019144j -0.0226874-0.0739124j 0.0257602+0.0812109j 0.0712888-0.081817j -0.0448939-0.00259914j 0.0680231-0.0131968j 0.0705923-0.122246j -0.135266+0.0562304j 0.158514+0.0172316j 0.0396877-0.158604j 0.0175641-0.00689886j 0.0117474-0.0139793j 0.0109862+0.0227126j 0.0314666+0.00426646j 0.0571828+0.0402917j 0.0134798+0.0137476j -0.0351118-0.0228218j -0.0469402+0.00693554j 0.00704583-0.0391592j 0.0387452-0.0299306j 0.0397626-0.0143947j -0.0341571+0.00714789j 0.0359627+0.0433532j 0.0551978-0.0309819j -0.0178223+0.0440385j -0.0751548+0.0294448j 0.02262+0.096874j -0.0401594+0.0364165j -0.041026-0.0325039j 0.0870152+0.00297201j -0.0211643+0.0980597j 
-0.0721249-0.0658019j -0.156382+0.0505506j -0.139603-0.0399967j -0.175205+0.0435821j -0.13024-0.0751855j 0.056352+0.0572376j 0.0395593-0.128356j -0.0344209+0.103134j 0.0533484-0.023179j 0.0594511-0.0722793j -0.0497251+0.0613057j 0.0623583+0.0933049j 0.0575903-0.0986155j -0.0634908+0.189906j 0.159422-0.0969777j -0.00717869+0.0174732j 0.0648522-0.0263095j -0.0570305+0.0107126j 0.0049018-0.0149242j 0.00565222+0.0837985j -0.00361057-0.00231512j -0.0265138-0.038037j -0.0339764-0.0051151j 0.00827345-0.0528781j -0.0166925+0.0811699j 0.0207564+0.0114374j -0.00499326-0.0427496j 0.0114074-0.0344529j 0.00742329+0.0185143j 0.00673128+0.0165644j 0.0927343-0.0364618j -0.113157-0.0369694j -0.0325162-0.00747487j 0.0451693+0.057289j -0.135041-0.0150634j 0.0356474-0.165446j 
-0.330136+0.0844683j 0.0827839-0.0495986j -0.203065+0.0533009j 0.143893+0.294389j 0.139151-0.15022j 0.140919+0.0598761j -0.041505-0.0494457j 0.0043145-0.0365897j -0.0349492-0.011052j 0.0323228+0.00623971j -0.0326528-0.0161587j -0.0267723+0.0328039j 0.0287272-0.0332775j -0.0572246-0.0876374j -0.102712+0.190403j -0.011122+0.0459426j 0.0258904-0.01601j -0.0780849-0.000845014j -0.0535646-0.0515491j -0.0457728-0.042027j -0.0412199-0.0318862j 0.00703529+0.00742959j 0.0377996-0.0355947j -0.00913859-0.0119097j -0.028627-0.0688026j -0.0163937+0.0205686j 0.0227261-0.036113j -0.0726861+0.0207073j -0.0362844+0.00242808j -0.0629524-0.0555259j 0.0612841-0.0156603j 0.0206551-0.102804j 0.0994489-0.077537j 0.0594256+0.0545325j 0.0056795+0.0550875j 0.0312722-0.0360195j 
-0.13683-0.215585j -0.0417374-0.0201811j -0.128061+0.229296j -0.089452+0.0152797j -0.148354-0.300352j -0.0916668-0.147873j -0.09076-0.0413457j 0.0906566+0.147345j -0.0934808-0.138784j 0.100615-0.0762506j -0.124602-0.0112432j -0.0406223-0.019078j 0.0458036+0.0929757j -0.160036+0.00895279j 0.24546+0.0211901j 0.00728705-0.0618501j -0.0061372-0.0533206j 0.0566207+0.0384961j -0.0355766+0.0354114j -0.0144753+0.0168697j 0.0201494+0.0266294j -0.0808866+0.000200872j -0.0438385-0.0193479j -0.0530254+0.00221823j -0.0136692+0.00571395j 0.0335233-0.0269726j -0.0451052-0.045244j 0.0605126-0.101985j 0.0111135-0.0839585j -0.00578657+0.0380239j 0.0444426-0.0493821j 0.0322314+0.00957683j -0.0297283+0.0691793j -0.00127836-0.0318444j -0.126359-0.0391004j -0.0508286-0.0923758j 
