0.0915626-0.111156j -0.03658-0.0223051j -0.0528559+0.20067j 0.0144004+0.0586958j -0.153103+0.246393j -0.165743+0.00867487j 0.0903708+0.148754j -0.0447956+0.00869041j -0.0669658-0.0887844j -0.0197471-0.0336888j -0.0413187+0.0556217j -0.000659956-0.0540454j 0.040582-0.0140145j 0.062989+0.110318j -0.0817596+0.0792799j 0.0135636-0.0777856j 0.0483267+0.00819912j 0.0576288+0.0681575j -0.0113164+0.0286155j 0.00171973+0.0470619j 0.0189819+0.00479709j 0.0407233+0.0336782j 0.0317723+0.0341383j -0.00788361+0.0888743j 0.0225257+0.0706724j 0.0788115+0.00157381j 0.102786-0.0175973j 0.0552381-0.00538213j 0.0332867-0.0144707j 0.0422127-0.098751j 0.0234816+0.0740032j 0.00518075-0.0839232j -0.00169404-0.0598962j -0.0233088-0.0636301j -0.128742-0.0691429j 0.127951+0.0722503j -0.101507+0.0710864j 0.0234344-0.0925458j -0.00384846-0.051975j 0.025661-0.0244968j 
-0.0877815+0.128139j -0.182867+0.146703j 0.0393916-0.0369716j -0.278661-0.342357j -0.296168+0.139023j -0.0520571+0.0479341j 0.0302484-0.0420616j 0.114459+0.0770819j -0.0425484-0.054096j 0.0256437+0.00786687j -0.0485686-0.0941833j -0.06077-0.0374567j 0.00798126+0.0965677j -0.00584608+0.126555j -0.078288+0.199406j 0.0122009-0.0250284j -0.0216705-0.0534793j -0.0211566+0.0155286j 0.096408-0.0157345j -0.0763897-0.00895283j -0.046449+0.00337601j -0.0299533+0.0256826j -0.00408941+0.0168591j 0.0526295+8.03106e-05j 0.00296529+0.00928184j -0.0833329-0.0423244j -0.0062448-0.000310407j 0.00354724+0.0560314j 0.0764833-0.00192287j -0.0485993+0.0184738j -0.0633168-0.0350109j -0.0159626+0.107555j 0.0562019+0.00550264j 0.105153+0.0783935j 0.0984174+0.116656j -0.0537689+0.0320395j -0.0136547+0.0605153j 0.0104986+0.046217j 0.0608046-0.0411145j 0.00508577-0.0720294j 
-0.0796504+0.0101898j -0.00456443+0.161941j 0.273193+0.414985j 0.100735+0.324628j 0.164708-0.0207205j -0.0625264-0.0792061j 0.105052+0.0879036j 0.0119989+0.0497974j 0.0957561-0.0388511j 0.0189589-0.00439731j 0.0246055-0.0861016j 0.202985+0.00248567j -0.0407902+0.159803j -0.076238+0.128278j -0.0916477-0.031047j 0.0466818-0.087154j -0.0421612-0.0354003j -0.0137602+0.00857421j 0.0584477+0.00450142j -0.00114972-0.00198281j 0.0551459-0.0565021j 0.0117675-0.0327595j 0.0550288+0.0174628j 0.00196086-0.00889745j 0.0150528-0.0215955j 0.0625731-0.0139362j 0.0398868+0.0313567j 0.0458671+0.00332872j 0.0552105-0.12437j 0.0683853+0.0204241j -0.0103726+0.12086j 0.0150085-0.0180126j -0.0150473-0.0335877j -0.00841292-0.0162923j -0.0661922-0.0541651j 0.0808922+0.0436176j -0.0365959+0.0478664j 0.0307807-0.0420709j -0.0243618-0.0101112j 0.0552256+0.0203089j 
-0.0456938+0.120705j 0.12027-0.0685026j -0.160537-0.171115j -0.110213+0.185092j 0.0760141+0.21747j -0.254326-0.182466j -0.0918321-0.0151521j -0.167237-0.0211331j 0.112455+0.0411084j -0.0239385+0.014512j 0.0837306+0.077793j 0.0546961-0.0701031j -0.0236101-0.0333681j -0.0870524-0.054591j -0.149876-0.0527327j 0.023158+0.00165262j 0.0531865-0.0123063j -0.0257888+0.0387814j 0.0944705-0.00634484j -0.0900513-0.0299451j -0.0497902-0.000688337j -0.0376358+0.0174763j -0.0980252+0.0132391j 0.0783815+0.149113j 0.107762+0.033848j -0.0340904-0.00312497j -0.0117138+0.000907103j 0.00802426-0.0192881j 0.0884612-0.112396j -0.0194531-0.0707671j -0.109812+0.0183422j 0.0526872-0.00266564j -0.0834813-0.0254565j -0.0130414+0.116976j -0.0201177+0.0668443j 0.039302+0.0490904j 0.0651832+0.0879465j 0.0232288-0.00761551j -0.0798956+0.0690054j 0.123611+0.091359j 
-0.0504549-0.120021j 0.12132+0.0665558j 0.254261-0.183069j -0.113763-0.178753j 0.161257-0.164664j 0.158898-0.175714j -0.148228+0.0501745j -0.0835562+0.0630484j 0.0251624-0.031367j -0.0244593-0.0139151j 0.084442-0.0770079j -0.0469581+0.0733827j -0.113278+0.0413622j -0.165553+0.0370452j -0.0929216+0.0145405j 0.124779-0.0902256j -0.0786911-0.0694937j -0.0251613-0.0051847j 0.0680972-0.0891652j 0.0351527-0.0504184j 0.0159081+0.0667145j 0.0106683+0.116496j 0.0805193-0.024164j -0.0530663-0.0112503j -0.11105-0.0182741j -0.0385783+0.00443528j 0.0109111+0.00540117j 0.00996762+0.0188655j -0.0911403-0.111013j -0.0177494+0.0705876j 0.104404-0.0330311j -0.0973411+0.135694j 0.0965194+0.0130894j 0.0400737+0.0173846j 0.0553917-0.000145726j -0.0911676+0.0355348j 0.0946845+0.0071521j 0.0266007+0.0400018j 0.0505079+0.0146961j 0.0238111-0.000794733j 
-0.0796347-0.00722255j -0.0039217-0.161279j 0.0621927-0.0842798j 0.100728-0.330112j 0.13824+0.0902611j -0.273383+0.414425j -0.0910968+0.0313348j -0.0891132-0.118942j 0.0397647+0.158837j 0.0179634+0.00743369j 0.0236919+0.0861939j 0.0678914+0.191173j -0.0967346-0.041312j 0.00686827-0.049699j 0.102588-0.0867669j 0.0560109-0.019801j -0.0237156+0.0111034j -0.0310807-0.043656j -0.0355429-0.0482305j 0.0787113-0.0466289j 0.0656799-0.0566104j 0.00812409-0.0186954j 0.0150054-0.0354209j -0.0128368-0.0208896j -0.0101874-0.120929j 0.0628307+0.0123661j -0.0481408+0.0197909j 0.0461315-0.00162611j -0.0574869-0.123007j 0.0684674-0.0196844j 0.0149117+0.0205864j 0.000395059-0.00716199j -0.0546426+0.0195915j -0.011892-0.0300276j -0.054461-0.0551706j -0.00199327+0.00213199j 0.0567399-0.00425699j 0.0129123+0.00821823j -0.0419737+0.0348206j 0.0479456+0.087616j 
-0.0936293-0.127732j -0.181185-0.145913j 0.0474091+0.0539314j -0.275517+0.345638j -0.209808-0.245096j -0.0441525-0.037532j -0.0736195-0.196474j -0.0185119-0.121526j -0.00702231+0.100095j 0.02688-0.00629706j -0.0484774+0.0958599j -0.0522595-0.0438806j 0.0402476-0.0529227j 0.107822-0.0876604j 0.0284192+0.0448961j 0.00491874+0.0752523j 0.0611301+0.0435953j -0.0102655+0.0478176j -0.0109727-0.0601566j -0.0569526-0.0271723j -0.101661+0.116008j -0.107144+0.0802869j -0.0601009+0.0112484j -0.000186955+0.109659j -0.0607789+0.0339543j -0.0847298+0.0436531j 0.00768125+0.00312033j 0.0039337-0.0558493j -0.0732793-0.00279725j -0.0478143-0.0214518j -0.000754338-0.00533477j -0.0477945-0.0125476j 0.00156207+0.0174578j 0.0330386+0.0247935j 0.0490499+0.0028819j -0.0755385+0.0124699j 0.0945661+0.0175183j 0.0226627+0.013845j -0.0233765+0.0537401j 0.0135393+0.0244628j 
0.0916503+0.104552j -0.036476+0.0199849j 0.166471+0.00937174j 0.00309182-0.0533376j -0.0407624-0.292785j 0.0533843+0.200286j -0.0823393-0.0848952j 0.052333-0.115884j -0.0397874-0.0129251j -0.0193861+0.0326192j -0.0413184-0.0567727j -0.0530105+0.0156633j 0.0681297-0.087892j -0.0451026-0.0072639j 0.0926373-0.148062j 0.0272505+0.0271401j -0.00428342+0.0538939j -0.022277-0.0911703j -0.101926-0.0720365j 0.123868-0.0786224j 0.125203-0.0645546j 0.0204869-0.0618171j 0.00357166-0.0620118j 0.00484737-0.0785117j 0.0184024-0.0688917j 0.077458-0.000360926j -0.0937775-0.0436222j 0.0544916+0.00456868j -0.0370415-0.00895825j 0.0400713+0.0989366j 0.025229-0.0741585j -0.0102106+0.0920252j -0.028797+0.0335957j -0.0408208+0.0327005j -0.0188292+0.00447774j -0.00307788-0.0458717j -0.0102568-0.0304111j -0.0579251+0.0677026j 0.0487224-0.0054652j 0.0133043+0.0771532j 
0.162112-0.0883931j 0.0264645-0.0465095j -0.132157-0.109266j -0.206694-0.203819j -0.046357+0.280491j -0.147513+0.0764361j -0.0493294-0.0710957j 0.0203666+0.0196764j 0.0849243-0.0636222j 0.00538607-0.0941517j 0.0456292-0.0406717j 0.0385848-0.0504972j 0.0121812+0.133946j -0.0464544-0.0591561j 0.028299+0.021358j 0.00921023-0.0443034j -0.00881507-0.0631408j 0.00986078+0.00649456j 0.0654044+0.0222354j -0.0628592-0.0239447j -0.00263057+0.0492758j 0.0279315+0.0546898j 0.00341064-0.00688796j 0.0474584+0.0588749j -0.0106254+0.0760579j -0.0227567-0.0278814j 0.0422458-0.0192128j -0.0481003+0.00853457j -0.000983776+0.0565632j -0.0626255+0.00632427j 0.0228003-0.0692834j -0.0751193+0.0842059j 0.0179253-0.0455159j -0.0304412+0.0110906j -0.0433942+0.0481479j -0.00338526+0.0391811j 0.020727-0.0158491j -0.0177816-0.0296904j 0.0102327+0.00987127j -0.0135394-0.0090428j 
0.0585025-0.0177375j -0.257227-0.0838938j 0.24977-0.00888061j 0.0429344-0.0210692j 0.158485-0.113856j 0.03544-0.0825167j -0.134615+0.0388647j -0.0887282-0.193514j 0.0170475-0.0334113j 0.0879297-0.115879j -0.103797+0.0718666j 0.0391466+0.0460792j -0.0464255+0.0550429j 0.0542069+0.142827j -0.0793621+0.0755907j 0.0518007-0.140315j -0.106219-0.142652j -0.00700513-0.0399476j 0.0429714+0.0554702j -0.0235181-0.0137045j 0.100597-0.0182953j 0.115299-0.00119902j 0.0949213+0.0128269j 0.0330808-0.0491888j -0.0347064-0.0566457j 0.0134093-0.0475195j -0.013428+0.00652084j -0.0426412-0.0180824j -0.0249545-0.0563256j 0.0259265+0.0386349j -0.0150123+0.0189736j -0.00298279+0.0623285j 0.00195686-0.0275189j -0.002968-0.0408969j -0.0509927+0.0217847j 0.0100937-0.0291804j 0.0783704-0.0140451j 0.0311009-0.0215162j -0.070244-0.0163307j 0.0149117-0.0360063j 
-0.0210081-0.0716239j -0.150323+0.299538j -0.2924-0.126802j 0.121387-0.0375821j 0.0767138-0.0131525j 0.0687359-0.0446663j -0.022251-0.197877j 0.170494-0.10643j 0.0199059+0.0986391j 0.112986+0.137176j -0.117161-0.103422j 0.00355788+0.0258488j -0.00943312-0.0265394j -0.0207161+0.114584j -0.0397752-0.01198j -0.0477515+0.0762806j 0.0597754+0.0499627j 0.00498979-0.0223664j -0.0930288-0.0268104j 0.00811178-0.0391638j -0.0262598+0.0264801j -0.0259209+0.00817694j -0.0663286-0.036656j 0.00988437+0.0389037j 0.0126582-0.0114254j 0.0100285+0.0172366j -0.0213495-0.0276795j 0.0112968-0.076595j -0.0748873+0.0141777j -0.0124474-0.0211719j 0.0126477-0.0546079j 0.00786743-0.0129905j -0.0114955+0.00548046j 0.011484-0.0128055j -0.0128139-0.0257008j 0.0178039-0.0288692j 0.065862+0.0132157j 0.00533382+0.0190803j -0.0144314-0.0242461j 0.0247605+0.00550622j 
