-0.00236472+0.00458183j -0.00472073-0.0091063j -0.00116748+0.00730113j 0.00285317+0.00219184j -0.00161526-0.00140495j -0.00293674-0.00437061j -0.00186161+0.00629124j 0.00286982+0.00454282j 0.00276689+0.00266287j -0.00225259-0.00360735j 0.00154696+0.00290026j -0.00164854+0.00621518j 0.00273257+0.00394557j -0.00331932-0.00428532j 0.000612619-0.00101318j 0.000158582+0.00281914j 0.00263754+0.00285979j -0.000644141+0.00236665j 0.00194047+0.00427478j 0.00120577+0.00160437j -0.00183099+0.000430985j 0.00108927+0.00535337j -0.00193587-0.00347177j -0.00196298+0.00221403j 0.000194772-0.00266123j 0.00218429-0.000356674j -0.000131625-0.00209678j -0.000669362+0.000127845j -0.00113138-0.000747735j -0.000385618-0.00211971j -0.000874284-0.000494282j 0.00178235+0.00265579j -0.00125785-0.00127676j -0.000420931+0.00284687j -0.000465379+0.0013526j -0.00222959-0.00071295j -0.000294303+0.00101939j -0.000813658+0.00215574j 0.000100205+0.000944923j 0.00192556+5.92252e-05j 0.000897241+0.0032956j -0.000545298+0.000744968j 0.00238302-0.00243392j 0.000461193+0.00396974j -0.00221365+0.00258286j 0.00180951+0.00294297j -0.00348929-0.00152048j -0.000181351-0.00489188j 0.00125805+0.00481289j -0.000617358+0.0037969j -0.00176351-0.00260202j 0.00217923+0.00226449j 0.00247053+0.00119954j -0.00072826-0.00807777j -0.00243025-0.000108653j -0.00424316+0.00309506j 0.0020767-0.00448998j 0.0011494+0.00027923j -0.0173135-0.011874j 0.00468105+0.0158131j 0.0151817-0.00641086j 0.00855154+0.0237386j -0.00527573-0.00369745j 0.0244609-0.00663001j -0.010834+0.0275768j -0.0200734-0.0252528j -0.0181808+0.00274616j -0.0412475+0.00816325j 0.0575672-0.0147542j -0.00377766-0.0474931j 
-0.00352632-0.00990518j 0.0015119-0.00644844j -0.00219506-0.00299829j -0.00146684+0.00773021j 0.000669333-0.00388242j 0.00146949-0.00454035j -0.00255005-0.00302141j -0.00382781+0.00443847j -0.00242624-0.000440978j -0.000904807-0.00510542j -0.00147797+0.00185233j -0.00341936-0.00433386j -0.0024098+0.00543137j 0.00255701-0.00452443j 0.00176209+0.000803807j -0.00227594+0.00072461j -0.00093713+0.0008962j -0.000171659+0.00113861j -0.00255094-5.44438e-05j -0.00134983+0.00154711j -0.000903348-0.00584678j -0.00281906+0.00226091j 0.0017953-0.00300149j -0.00175314-0.00319492j 0.00291788+0.00180703j 0.000468968+0.00306265j 0.00057487+0.000800817j -0.000902943-0.000472402j 0.000945552-0.00190822j 0.00121468+0.00100569j 0.000163712-0.00218186j -0.00122258+0.00579426j 0.00105751+0.00205296j -0.00193869-0.00165949j -0.00128174+0.000154902j 0.00289499-0.00159169j 0.000292783-0.00210426j -0.00102141+0.00204253j -0.00172984-0.00263725j -0.00122956+0.00247512j -0.00157932+0.000833488j -0.00237137+0.000624134j 0.000927671+0.00306283j -0.00127314-0.00130183j -0.00291238-0.0025787j -0.000132185+0.00331569j -0.00074325-0.00287433j 0.0033859+0.00130163j -0.00187971-0.000918509j -0.0032861-0.00312507j 0.0019935-0.00170907j 0.000859807+0.00401421j 0.000308514-0.00227444j 0.00350284-5.74094e-06j 0.00427096-0.00293799j -0.000330099-0.00481902j 0.0058342-0.00161632j 0.00553637+0.00606202j 0.00400709-0.00705685j -0.016409-0.0032568j 0.0147098+0.0247043j -0.0120246+0.00133159j -0.004658+0.00140164j -0.00316497-0.023357j 0.0331957+0.0217429j -0.024191+0.0304844j -0.0407617+0.0114926j 0.017506-0.00229425j 0.00343657+0.0476443j 0.0531171-0.0151931j 
0.00212235+0.00784218j -0.000535884+0.000735378j -0.000951707+0.000731071j 0.00271142+0.00564424j -0.000649314-0.00162278j -0.000539566+0.00655565j -0.00107795+0.00192469j 0.00377125+0.0137409j 0.00382689+0.00449858j 0.0027705+0.00802844j 0.00179053-0.00640461j -0.00185275-0.000762929j 0.00269233+0.00741694j -0.00327215-0.0125007j -0.00121254-0.0046294j 9.91602e-05+0.00365367j 0.00284282-0.000353316j -0.00291661-0.00132192j 0.00405786+0.00609134j 0.00240322-0.00016571j 0.00115817+0.00607275j 5.51418e-05+0.00429007j -0.000909413-0.00530919j -0.00290887-0.0105141j -0.00251343-0.00498022j 0.00193636+0.00177987j -0.000946914+0.00459265j 0.00127809+0.00349103j -0.000461943-0.00392362j -0.00144113-0.000167657j -0.00256118+0.000951664j -0.000938812+0.00324729j -0.00478584-0.000209813j 0.00135183+0.00259637j -0.00188802+0.00504083j -0.00424602+0.00310778j 0.00391776+0.00484045j -0.00638606-0.0035999j 0.00472653+0.00103286j 0.00561931+0.00283189j 0.000736097+0.00649352j 5.2688e-05-0.00244773j 0.00541639+0.001277j -0.00200425+0.0116552j -0.00185871+0.00690644j -0.00159145+0.00684436j -0.0042591-0.00426483j -0.00151686-0.00548552j 0.00185972+0.0037051j 0.0104325+0.0171251j -0.00387201-0.00847919j 0.00427582+0.00197937j 0.0158392+0.00439728j 0.00126298-0.0169532j 0.000675756+0.00438306j -0.0207929-0.00149491j 0.00199622+0.0111267j -0.0101796+0.00235265j -0.0138768-0.0135067j 0.0109593-0.0196846j 0.00270461-0.00344761j -0.00828-0.0317861j -0.016353+0.00160947j -0.0147866+0.0124261j -0.00561717-0.0063672j -0.0124554+0.0134132j 0.00314026-0.0403333j 0.0377208-0.016065j 0.0113862-0.0089512j -0.00189183-0.00551498j 
-0.000549174-0.000977083j -0.00219873-0.00696868j -0.00237085-0.00470413j -0.00243599-0.00177391j 0.000910004+0.00409849j -0.00228341-0.0078192j -0.000323811-0.00249418j -0.00294646-0.00142189j 7.45968e-05+0.00741488j -0.00388729-0.00123311j 0.00219042+0.00530368j -0.00132404+0.00048531j -0.00226113+0.00201834j 0.000582211-0.00389086j 0.00172891+0.00112298j 0.00145888+0.00342581j 0.000698791+0.00416948j 0.00121975+0.00122674j -0.0040452+0.00218465j -0.00108482+0.00179591j 0.000217633+0.00297857j -0.00233229+0.00102533j 0.000396741-0.00280422j -0.00234191-0.0102689j 0.00303307-0.000823406j 0.0023335+0.00565839j -0.00141838-0.00499883j -0.000584638+0.00460913j -0.000720993-0.000973488j -0.000400526-0.00232132j -0.000479612-0.00695343j -0.00145639+0.00189799j -0.000597924+0.0016477j -0.000138551-0.0021959j -0.00300587-0.0047896j 0.000465936-0.0011595j -0.00103367+0.00226065j 0.000837093+0.00063093j -0.0010521+0.00171914j -0.00388036+0.00134842j -0.00109685-0.00141587j -0.00281762-0.0062654j -0.00250711+0.000335077j -0.00114974-0.0057951j -0.00547245-0.00724007j 0.003479+0.00701331j -0.00914007-0.0152144j 0.00208217+0.00491127j 0.00342974-0.00481531j -0.00383046+0.00418386j 0.00310985+0.00119599j 0.00451173+0.0355465j -0.00389113-0.00568567j 0.00840065+0.00664298j 0.0126859+0.0186809j 0.000367012-0.0122146j 0.00961821+0.016272j 0.0100618+0.00142523j -0.0183341+0.025837j -0.0104053-0.0193388j -0.000939105-0.016475j -0.0116062+0.0269835j 0.01546-0.0190472j -0.0314328+0.029934j -0.0151061+0.00388765j -0.0276458+0.0140788j 0.023678-0.0052391j -0.00236137+0.0341367j 0.00148646+0.00407969j 0.00877887-0.00632542j 
0.000262693+0.000649259j -0.000953381-0.00137131j -0.00250017-0.00701847j -0.00230713-0.00554765j 0.000645774+0.0053999j -0.00297301-0.0103621j 0.00186791+0.00247819j -0.00171971-0.00472145j -0.000673284+0.00017415j -0.00392645-0.00478194j 0.00359533+0.00744713j -0.000217615+0.00392888j -7.08773e-05+0.000372894j -0.00079432+0.00271779j 7.31606e-06-0.00118592j 0.00488535+0.005586j -0.000885918+0.00212653j 0.00220035+0.0113329j -0.00705321-0.00831423j 5.58137e-05+0.00215988j 0.000494439-0.00124878j -0.000461381-0.000193807j -0.000769571+0.00055708j -0.00229659-0.000782894j 0.00274344+0.000552636j 0.00205083+0.00337906j -0.00141087-0.0128698j 0.000696295+0.00563547j -0.00278766+0.00516193j -0.000350944-0.00518945j -0.00185841-0.00937835j 0.00150965+0.000734117j 0.000769906+0.00529046j 0.00372062-0.0010034j -0.00138054-0.00609041j 0.00032078-0.000363289j -0.00252278-0.00343571j 0.00668606+0.0106526j -0.00359884-0.000978796j -0.00505529-0.00894954j 0.000267815-0.00527757j 0.00387581+0.00323598j -0.00484309-0.0097339j -0.00262337-0.0198209j -0.0017666-0.0083045j 0.00542166-0.00270286j -0.0139372+0.00900282j 0.00292777-0.00811704j 0.00464392+0.00740977j 0.0011305-0.000323131j -0.00969284-0.0164214j -0.0099909-0.00887724j -0.022016+0.0173447j 0.00707011-0.0311043j -0.00596823-0.0190905j 0.00859306+0.0102419j -0.00208534+0.0508259j 0.000347538-0.00546676j -0.00253322-0.00527173j -0.0119345+0.0172997j 0.00570677-0.00902492j 0.00351535-0.0118167j -0.0219743+0.0224928j 0.00909935-0.00723928j -0.025607+0.0287994j 0.00756402+0.0230893j 0.00613373+0.00186117j -0.0094591+0.015471j 0.00198804-0.00105642j -0.00130515-0.00161217j 
0.00139181+0.00577154j -0.000289536-0.00134274j 0.000435302+0.00518749j 0.000578252-0.00340076j -0.00258033-0.00544232j -0.000654475-0.00485687j -0.00231284-0.00343106j 0.0016241-0.00155732j 0.00104053-0.00195627j -0.000451761+0.00267544j 0.00112706+0.00452246j -0.00156652+0.00315457j 0.00305297+0.00694502j -0.00317685-0.00292655j -0.00208306-0.00483013j 0.00136482+0.00535053j -0.000337803-0.00426974j -0.00540089-0.0106727j -0.00084163-0.00509964j 0.00262767+0.0110181j -0.0041177-0.00024346j -0.000998473+0.0115833j -0.00164042-0.00515611j -0.00282319-0.00250531j 0.00172125-0.00273929j 0.00269891-0.00505746j 0.00541256+0.00444691j 0.000620723+0.00144767j -0.00677191-0.00760663j -7.01597e-05+0.00119698j -3.88327e-05-0.00387589j -0.00197255-0.00243351j -0.00302953+0.00571694j -0.00418529-0.00548355j -0.0015084-0.000261463j 0.0131916-0.00404557j -0.00461865+1.45424e-06j -0.00382096+0.00500004j 0.00712004+0.00673862j 0.00922139+0.0195668j -0.00242736-0.00161797j -0.0066059+0.00791176j -0.000319002-0.00343731j 0.00671598-0.000628048j -0.00918368+0.00144117j 0.00318657+0.000568312j -0.00580089-0.00436064j 0.00540181+0.0207893j 0.00233219-0.00642124j -0.00744718-0.0301311j -0.00529111-0.00674646j 0.00253118-0.00502744j 0.00329956+0.0475534j 0.000992387-0.000393672j -0.0177378+0.0244396j 0.0116631+0.0145382j 0.0190185-0.00704915j 0.00241693-0.00662956j 0.0116871-0.0180492j 0.00632749-0.0123564j 0.00399125-0.00738678j 0.0094366-0.00585462j 0.0135113+0.000764039j 0.0227877-0.018279j -0.00236744-0.0263421j -0.0165218+0.0229875j -0.0015373-0.00110481j -0.00276543+0.00178615j 0.00733907-0.00406921j 0.00096199-0.0028912j 
0.000625919+0.00182102j 0.00214676+0.00670223j 0.00279979+0.00285037j 0.00105945+0.000593049j -0.00132376-0.00161471j -0.00137258-0.000920232j 0.000143863+0.00104013j 0.00315268+0.00526664j 0.00059575-0.00122493j 0.00420562+0.00461503j -0.00148845-0.0109318j 0.000975569+0.00234931j 0.00272178+0.00461044j -0.000163649+0.000860957j -0.000935061+0.00353313j 0.000518313-0.00174595j -0.00137542-0.00355507j -0.00298965-0.000927431j 0.00594402+0.0068171j 0.00262494+0.0014449j 0.00203518+0.00817575j 0.00101407+0.0022597j 0.00174603+0.0041939j 0.00227774-0.00225868j -0.00369621-0.00376444j -0.00125395-0.00410031j -0.00114279-0.00147218j 0.00300996+0.000150418j 0.000240178+0.00557161j 9.49244e-05+0.00388049j -0.00235904+2.61661e-05j 0.00123194+0.000905832j -0.00246039-0.00365708j 0.00431933+0.0124654j 0.000903804+0.00221697j -0.0103904+0.00529745j 0.00494917+0.0128605j -0.00107507-0.00516689j 0.0032489+0.00194953j 0.0108033+0.000480586j -0.000496593+0.00118499j 0.00854283+0.00406822j -0.00443308-0.0304772j -0.00827215-0.00747504j -0.00216755-0.00565341j -0.00691871-0.00538807j 0.000111739-0.00736067j -0.00434896-0.016576j -0.00182397+0.022424j 0.00643911-0.0148499j -0.00808342-0.00307442j -0.00132793+0.0164352j -0.00912606+0.00883506j 0.00061235+0.0355616j -0.00615908-0.0251045j -0.0120447+0.0117926j -0.00634477+0.0174906j 0.0153928-0.0309774j -0.0127736+0.0205963j -0.0132552+0.00742912j -0.01266+0.0199267j 0.00574845+0.00202153j 0.0160747-0.0245593j -0.00626338-0.0227572j -0.012301+0.00867568j 0.00603673-1.20378e-05j 0.0006419-0.00265824j 0.0050626-0.00914552j 0.000920987-0.00450916j -0.00577662+0.00395204j 
-0.000880975-0.00388092j -0.000582009-0.00161902j 0.000349862-0.000543534j -0.00171361-0.00258471j 0.00114733+0.00128855j 0.00209726+0.00316717j -0.00251588-0.0089094j -0.00253962-0.00471162j 0.000197522+0.00649889j 0.000868692+0.00598487j -0.00305627-0.00482637j 0.00505387+0.00471572j -0.0058193-0.0118887j 0.00302566+0.00454624j 0.00256043+0.0113441j -0.00185641+0.00246023j -0.00104285-0.00155247j 0.00131684-0.00906047j -0.000344479+0.00253603j -0.000655978-0.00499994j -0.00221911-0.0018317j 0.00230379-0.00345769j 0.000293649-0.000562709j 0.00618553+0.0103351j 0.000261694+0.00246873j -0.00392935-0.00426275j -0.000439871+0.00539799j -0.00048602-0.00252289j 0.00265942+0.000740977j 0.000709744+0.00723454j 0.0070174+0.017194j -0.000373416+0.00212457j 0.00671321+0.0110618j -0.00554347-0.00160111j 0.00457502+0.00162123j 0.0084164-0.00213139j -0.0029146-0.00671429j 0.00357843-0.0148313j -0.00535224+0.000590615j 0.0021303+0.00698494j -0.00309026-0.00776887j 0.00236578+0.0302009j -0.00974559-0.015215j 0.00406033-0.00364598j -0.0019675+0.0275739j -0.00734301+0.0357713j 0.00885696-0.013633j -0.004031+0.0110094j 0.00358344-0.0227691j 0.000202999-0.00486212j -0.00506071-0.0313168j 0.00796499+0.00544482j 0.0042494-0.00255149j 0.00154263-0.0366828j -0.00252976+0.023322j -0.00344536+0.00635693j 0.00769247-0.00222415j 0.0014968-0.0126444j -0.00183365-0.00457585j -0.0106334-0.00213749j -0.0129465+0.00251837j 0.0188949-0.0323011j -0.00308915-0.00779898j -0.00449674+0.0103829j 0.00481239-0.0090887j -0.00107696-0.00500252j -0.000980522+0.00586116j -0.00415335+0.00296036j -0.00419793+0.00278693j 0.000421027+0.000919678j 
-6.03457e-05+0.000724885j 0.00143391+0.00337557j 0.00253696+0.00506621j 0.00112255+0.00313098j -0.00173822-0.00528788j -0.00219103-0.00434699j -0.000504986+0.00287414j 0.00430904+0.00900988j -0.000367-0.00784843j 0.00440092+0.00137052j -0.00282321-0.0111043j -0.00189672-0.00266529j 0.0028917+0.00668846j -0.00179774-0.00283482j -0.00170139+0.00101231j 0.00045137+0.00143929j -0.00210619-0.00446668j -0.00417648+0.00233614j 0.0038085-0.00209929j 0.00228625+0.00644727j 0.00104694+0.000271316j -0.00123771+0.00329578j 0.00131239+0.00112841j -0.00372626-0.0150555j -0.0019035+0.00272693j 0.00247885+0.00222612j -0.00156368-0.00276081j 0.00825616+0.0153116j -0.00112141+0.00189151j -0.000328174-0.00227077j 0.000473175+0.000496177j -0.00365953-0.0128853j 0.00228035+0.0166198j -0.00250447-0.007912j -0.00064296-0.00107596j 0.0253857+0.00180978j 0.00590818+0.011293j -0.0119983-0.0281876j 0.00406146+0.0177087j -0.00276851-0.0139998j -0.0044778-0.00107801j 0.00169994+0.00655473j 0.00268868+0.0126373j -0.00218433-0.0382605j -0.00116897-0.00463024j -0.00658078+0.000176491j -0.00286041+0.0150544j -0.0106281+0.00818755j -0.00352439+0.0262579j 0.00123977-0.015808j -1.96892e-05-0.010587j 0.0112518-0.0245899j -0.00474363-0.0172924j 0.000957664-0.0188482j 0.00610026-0.00809871j -0.00404227-0.00705533j 0.00764709+0.00305816j -0.0145081+0.0216927j 0.00913966-0.00281072j -0.00667369+0.013586j -0.00126418+0.0144517j -0.00427968+0.00227747j 0.00639401-0.0098043j 0.00253622-0.0114063j -0.00410743+0.00141839j -0.00198384+0.00373846j -0.00134742-0.00188166j 0.00689589-0.00744983j 0.00095123-0.00105056j -0.000233496+0.00133691j 
0.000310084+0.00148881j 0.000948621+0.00290584j 0.00293059+0.0060737j -0.00013486-0.00350687j -0.000866591-0.00165732j 6.69921e-05+0.00162957j -0.00180607-0.0045002j 0.00294099+0.000962636j 0.0024362+0.00642844j 0.00149437+0.00439778j -0.00139874-0.00301836j 0.00333098+0.00545681j 0.000468786-0.00279704j -0.000910635-0.0010449j -5.08368e-05+0.004693j -0.0028312-0.00241404j -0.00137784-0.00849459j -0.00227772-0.0118649j 0.00467773+0.0038466j 0.00355966+0.00142865j -0.00340111+0.00460582j 0.00204797+0.00416289j 0.00275292+0.00822006j 0.00672913+0.016665j -0.00277164-0.0114752j -0.00203579-0.00654191j 0.00176379+0.00539494j 0.00444258+0.00348744j -0.000339013-0.00292297j -0.00081187+0.00909938j -0.00131048+0.0134424j -0.00272403-0.00803648j -0.00784822-0.0249072j -0.00330201+0.0142275j 0.00598133+0.0125538j 0.00225175-0.00323815j -0.00968078-0.0325672j 0.00538343+0.0264971j 0.00217923-0.00108567j 0.00787692-0.00105331j -0.00242318+3.66291e-05j -0.00730981-0.0238406j 0.00349604+0.0131044j -0.00329455+0.00112443j -0.00265251-0.0167493j -0.00372258+0.0207243j -0.00218767+0.0270074j 0.00184405+0.0223325j -0.00166844+0.0255208j -0.0104014+0.0232478j -0.00607743+0.000435753j -0.0128184+0.0340421j 0.00218454-0.00758423j -0.0130615+0.0205256j -0.000343202+0.0102486j 0.0157306-0.0216304j -0.00671835+0.0136807j -0.00833793+0.00857436j -0.00754962+0.0133432j 0.0029977+0.0101154j 0.00702988-0.0140426j 0.0115012-0.00690818j 0.00407456-0.0117823j 0.000197544-0.00327423j 0.0031078-0.0100038j -0.00202828+0.0003587j -0.00142605+0.00256682j -0.000702847-0.00374753j 0.00122622-0.00262026j -0.0029381+0.00171244j 
9.22436e-05+1.08307e-05j 0.00129208+0.00431291j -0.000128264-0.00430317j -0.000317988-0.00139339j -0.000525518+0.00072331j -0.00176189-0.00510767j 0.00285814+0.00169249j -0.000389286-0.00373508j -0.00171604-0.00627639j 0.00251313+0.00846393j 0.00443908+0.00940281j 0.00138415+0.00476962j 0.00199479+0.00126336j -0.00183842-0.000385491j -0.00376884-0.00775078j 0.00527158-0.00127022j -0.00361649-0.00986862j -0.00222179-0.00406458j -0.00593772-0.0168191j -0.00247416-0.00276324j 0.00262797+0.00443617j -0.000933101+0.00975744j -0.00056959-0.00213247j 0.00263853+0.00464706j -0.00109018-0.00617829j 0.00314269+0.00141802j -0.00265089-0.0178159j 0.0107476+0.0199479j -0.00769757-0.00283206j -0.00236624-0.00197863j -0.000151057+0.009969j 0.00366249-0.0157751j -0.00198548+0.00218251j 0.0115489+3.71564e-05j -0.00266685-0.0187942j -0.017973+0.0107414j -0.0153261-0.00898061j -8.35052e-05-0.0255723j -0.00144157+0.0126914j 0.00146337+0.0158448j 0.00381637-0.00792101j 0.00503873+0.0180404j -0.00706891+0.010036j -0.0106002+0.0308089j -0.00195988-0.0135094j 0.0020311+0.0185887j -0.00513577-0.00321765j 0.00384444+0.011268j 0.00328732-0.0129817j -0.00548679+0.00424275j 0.00364342-0.0269121j -0.00265852-0.00869889j -0.00203927-0.00243143j 0.00303294-0.00241458j 0.00495472-0.00943875j 0.00531486-0.00469978j -0.00418527+0.00631343j -0.0079496+0.016792j 0.00312455+0.0142975j 0.0149901-0.0223943j -0.00712199+0.00256747j 0.000240327-0.00093861j -0.000310896+0.00568437j 0.00449301-0.00871621j -0.0056026+0.00781565j 0.000398553+0.0052063j 0.00316478-0.00112047j 0.000109635+0.000140628j -0.00075506-0.00151156j -0.00308437+0.00262129j 
