0.0276207+0.0118678j 0.122615+0.071658j 0.053274-0.0818021j -0.0688546+0.244652j -0.221628-0.194224j -0.00717238-0.0317739j 0.0196973+0.0129469j -0.0594625+0.0802532j -0.0524497+0.0989471j 0.0222094+0.0899009j 0.177174-0.0462712j -0.0626626+0.106781j -0.0129204+0.00979414j 0.00595441-0.00321889j -0.0304928-0.0186756j -0.0226187-0.00600767j -0.0180494+0.00934866j 0.00423702+0.0252216j 0.0222706+0.033984j 0.000908238+0.0437298j 0.00148997+0.0199386j 0.0223271-0.0261757j 0.0121777-0.0799366j -0.0675981-0.00870223j 0.0241509-0.00947751j -0.012428-0.041745j 0.0503072+0.0347441j -0.0204128-0.0797962j -0.053173-0.0738125j 0.00912918+0.10897j -0.0521423+0.0287678j 0.108544+0.0943967j 0.0467684-0.0118739j -0.0277559+0.0633455j 
0.0811973+0.00159469j -0.125378-0.155312j -0.0107459-0.0836235j 0.161189+0.152288j -0.0868058-0.0458732j -0.0183387-0.0122362j -0.0142167-0.112351j 0.0548431-0.000253891j 0.0453511-0.0375725j 0.111622-0.00947343j 0.106629-0.161163j 0.162885-0.12989j 0.005388-0.00189649j 0.0296579-0.0145621j -0.00116432+0.012038j 0.00218242-0.017665j 0.067081+0.0573168j 0.00573559-0.0604858j -0.026342-0.0317643j 0.0207945-0.0121461j -0.0222392-0.0420768j 0.010342-0.00736151j -0.0460421-0.00385074j 0.0121648+0.0622831j -0.0538035-0.030049j 0.0278226-0.00792548j 0.0318562-0.044594j -0.0303675+0.0315572j -0.083157+3.82028e-05j -0.000806524+0.0585596j 0.0814393+0.0346273j 0.127063+0.102917j 0.0599284+0.0406086j -0.0420363+0.0870425j 
0.149658-0.120871j -0.156117-0.00832702j 0.0178018+0.00409846j -0.0802352-0.337025j 0.29436-0.160347j -0.0515343-0.020066j -0.0566538-0.094634j -0.0441568+0.0466628j -0.016444+0.00789461j -0.0587316+0.0469757j 0.0323301-0.049025j -0.0663464+0.140157j -0.00730328+0.0143124j 0.0185513-0.0306321j -0.0431657+0.00671368j -0.0491486-0.00871132j 0.0442464+0.0281181j 0.0267215-0.00299393j -0.0127084+0.0151778j 0.0130367+0.0308265j -0.0163491-0.021589j 0.0261657-0.0159479j -0.0140985-0.0401059j -0.0264149+0.0376147j 0.0599714-0.0392463j -0.0470467+0.0251448j 0.00500295+0.0392261j -0.0384636-0.0684804j 0.0744505-0.0852367j 0.0392522+0.0402072j -0.134951-0.00512432j 0.0314371+0.0244906j -0.00813083-0.0649814j 0.00644703+0.00321839j 
0.181445-0.110497j 0.269419-0.182113j -0.136825-0.24388j 0.188199-0.0915276j 0.187851+0.361356j -0.102023-0.0278514j 0.0485553-0.0574745j 0.0352256+0.0716623j 0.0143823+0.0437715j 0.00422966+0.00496706j -0.160992+0.060372j -0.128309+0.0708392j -0.00075331+0.0338355j 0.00203263-0.0119753j -0.0765826+0.0278642j -0.0450301+0.0050222j -0.0132836+0.0285299j 0.0874527+0.0483035j 0.0120195-0.0100149j 0.0105054-0.023402j 0.0138057-0.0138517j -0.025378+0.0482278j 0.0621979+0.0120983j -0.0554772-0.0703403j 0.0129104+0.0923341j 0.0173588-0.00356507j -0.00201743+0.0485325j 0.00479623-0.0227443j -0.0703663+0.0384222j 0.0744936+0.0446791j -0.0454609+0.00370006j -0.0113131+0.0550352j 0.00133335-0.0326714j -0.0193039-0.00138164j 
0.107095+0.120104j 0.133406+0.118079j -0.120396+0.649192j -0.064545+0.0629156j -0.0690779+0.124103j -0.00700116-0.0368294j 0.0448087-0.0371511j -0.0799172-0.134537j 0.0690274+0.186483j -0.0396594+0.00958788j 0.0198749-0.205369j -0.199696-0.106015j -0.00511472+0.00184811j 0.0182615-0.00372509j -0.0146915-0.011874j 0.00247483-0.0305138j 0.0244563+0.0164193j -0.0230769+0.00193855j -0.00108195-0.0317159j -0.0461706-0.0277622j 0.0322347+0.014142j -0.0266378+0.0677006j -0.0252794-0.066499j -0.0450585+0.032329j 0.0535878-0.00651359j -0.00922856-0.0696424j 0.0495441-0.0177127j 0.00933994-0.0138081j -0.00406458+0.0661896j 0.0647481-0.117463j -0.0256924+0.0990507j -0.139689-0.0128424j -0.115711+0.00854354j -0.0219161-0.0876329j 
0.133514-0.253501j -0.329682-0.190142j -0.127687+0.180156j 0.0623797+0.174936j -0.540532-0.0375312j -0.134097+0.0297789j -0.0260754+0.0630404j 0.0124852-0.107096j 0.0209715+0.00923251j 0.0894395+0.0148477j 0.0417199+0.118592j -0.0882681-0.116228j 0.0172499+0.0248784j -0.0104739+0.00838776j -0.0459392+0.0430712j -0.018595-0.0323719j -0.0138196-0.0453614j -0.0365841+0.0632968j 0.0186497+0.0066698j -0.0437561-0.00129515j 0.0516502+0.0489767j -0.0170769+0.0309844j 0.037414+0.0141519j -0.0303193-0.100339j 0.000855725+0.0333543j -0.0136721-0.0700897j 0.0571863-0.00284209j -0.000524233-0.0320279j -0.135241+0.0658362j 0.0157208+0.0467506j 0.0693731+0.0441303j 0.000342114+0.0941417j 0.0248892+0.0473571j -0.0549986+0.0233718j 
-0.0840544+0.17373j -0.345165-0.128804j 0.181094-0.167253j 0.294856-0.219935j -0.101928-0.391608j -0.0413685-0.107769j -0.152789+0.0865213j 0.201393-0.0428302j -0.0096074+0.204909j -0.101027+0.110022j 0.0294735+0.0181039j 0.0100572-0.102864j -0.00198179+0.0159012j -0.0217083-0.00534693j -0.0205688+0.00908235j 0.0167361+0.0206211j 0.0100605-0.0239512j -0.0597113-0.0179529j 0.0485247-0.0805362j 0.0106696+0.0193062j 0.134505-0.0275961j -0.0694872-0.0605431j 0.0684204-0.063846j -0.135971+0.00920458j -0.076143+0.0246113j 0.00456584+0.0579114j -0.0520597-0.0652003j 0.0061743+0.0574627j 0.0392203+0.0669382j -0.00700067-0.0420973j 0.0376597-0.0319913j -0.044575+0.0352264j -0.000178053+0.0203881j -0.0218988-0.0116615j 
0.0842864-0.185472j -0.0631142+0.0183819j -0.197034-0.00332218j 0.0724758+0.0218318j 0.0791284+0.185227j 0.0768962+0.0457221j -0.192166-0.106495j -0.0407055-0.106615j -0.0912166+0.00611037j -0.0451384+0.108385j 0.185845-0.105595j -0.0865949+0.0477357j -0.0222732-0.0248895j -0.0261438-0.0667975j 0.0484536-0.0169375j -0.0718863+0.0977572j 0.0353276-0.0540968j 0.0876278+0.00822155j -0.0383748-0.00922884j -0.0011955-0.0433073j -0.051722-0.0560022j -0.00068355+0.0976726j -0.00479644-0.0161841j -0.00937917+0.0132554j -0.000481507+0.0993305j 0.0537969-0.0553184j -0.000899159+0.0416487j 0.0379893-0.00603985j -0.0881177+0.0123706j -0.0333013-0.0571433j 0.0698533+0.0966255j 0.051523+0.0220213j -0.0242517+0.0655879j -0.0233966+0.0265295j 
0.0974802-0.394324j 0.29203+0.21461j -0.176194-0.164407j -0.349312+0.123388j 0.0908552+0.16911j 0.00790411+0.104934j 0.034002-0.0131239j 0.102591+0.116778j 0.00731008+0.204115j -0.198456-0.0477199j -0.155226-0.0799887j -0.0350062+0.111701j 0.0223977-0.0131093j 0.0030376+0.0213564j 0.0462455+0.0347603j 0.0392027+0.0275919j -0.00454429+0.0482857j 0.0383958-0.0695348j 0.00411891-0.0564038j 0.051083-0.0627414j -3.80959e-05-0.0564297j -0.0731508-0.0271721j 0.138351+0.0087479j -0.0626708-0.0625236j -0.0688947+0.0580331j 0.135489+0.02905j -0.0100715+0.017546j 0.0459834+0.0801217j -0.0584505+0.0160291j 0.0108274+0.0277577j 0.0143849-0.0219728j 0.0229206+0.0085245j 0.0219901-0.00865631j 0.00373558+0.0160622j 
-0.535878+0.0303413j -0.0733224+0.167705j -0.131796-0.183716j 0.33217-0.185806j 0.122484+0.255093j 0.0898795-0.112527j -0.0455092+0.121063j 0.0906523-0.0194754j 0.0190373-0.011909j 0.0125403+0.107348j 0.0297337+0.0662771j 0.13344+0.0254773j -0.0560231-0.0215443j 0.0222551-0.0448703j 2.05458e-06-0.0955992j -0.0663033+0.0457936j -0.0207207+0.0462327j 0.13689+0.0645135j 0.000949042-0.0353494j 0.0561656+0.0018374j 0.0165687-0.0717048j -0.00197192+0.0337896j -0.0298454+0.0985003j 0.0348594-0.0139042j 0.0165161+0.03355j -0.051574+0.047468j -0.0433621+0.000206616j -0.0179884+0.00737182j 0.0335141+0.0652571j 0.0115346-0.042585j 0.0213467-0.0332621j -0.0476585-0.0403985j -0.00928821-0.00586176j 0.0151305-0.0255769j 
-0.0629635-0.133135j 0.0591505+0.0648101j -0.123767-0.645639j -0.141169+0.113378j 0.112998-0.126007j 0.201099-0.107439j -0.0207521-0.204669j -0.0351165-0.00916735j 0.0687607-0.178179j -0.083545+0.135695j -0.045276-0.0441237j 0.00902873-0.0371567j -0.021095+0.0878954j -0.117525-0.00677373j -0.136176+0.0156815j 0.0307587+0.102968j -0.0683824-0.11504j 0.00474891+0.0639751j -0.00836586-0.016379j 0.0497313+0.0155203j 0.00993716-0.0702152j -0.0549959-0.00530121j -0.0425005-0.0342107j -0.0265165+0.065944j 0.024798+0.0698004j -0.0283569+0.0126545j -0.0470385+0.02806j 0.0030442-0.0299302j 0.0208772+0.00263408j -0.0265037+0.0171319j -0.00176051-0.0300465j -0.0151844+0.010106j 0.0181362+0.00368658j -0.00442375-0.00167497j 
