-0.725723-0j -0.192314-0j 0.0221731-0j -0.0254812-0j 0.085876-0j -0.0986884-0j 0.0227568-0j 0.00339239-0j -0.0200185-0j -0.0150989-0j 0.0719634-0j -0.00298418-0j -0.00225081-0j -0.00375108-0j 0.00301524-0j -0.0633041-0j -0.0477469-0j -0.0167754-0j 0.0134846-0j -0.00141462-0j -0.0102728-0j 0.00825757-0j 0.000317834-0j -0.000395399-0j -0.0140666-0j 0.0287373-0j -0.00314538-0j 0.00642585-0j -0.00632638-0j -0.0562663-0j 0.0452286-0j -0.000331552-0j -0.0038741-0j -0.000149114-0j -0.00861398-0j -0.0471807-0j 0.0963877-0j 0.0175979-0j 0.000677344-0j -0.0212193-0j 
0.749523-0j -0.176141-0j 0.0254812-0j -0.0261484-0j 0.0986884-0j -0.101272-0j -0.0231921-0j -0.00345728-0j 0.020675-0j 0.0105988-0j -0.07334-0j 0.00308205-0j 0.00157998-0j -0.00343562-0j -0.00344291-0j 0.0653802-0j 0.0335164-0j -0.0153646-0j -0.0153972-0j 0.00603834-0j -0.00940885-0j -0.00942879-0j -0.000362914-0j -0.000362147-0j 0.0145279-0j 0.0106097-0j 0.00324853-0j 0.00237239-0j 0.0270043-0j -0.0515344-0j -0.0516436-0j 0.000342426-0j 0.0165367-0j 0.000636497-0j 0.00889648-0j 0.048728-0j 0.0355859-0j 0.00649707-0j 0.000250072-0j 0.0905751-0j 
-0.192314-0j 0.0406489-0j -0.171509-0j -0.17479-0j 0.0227568-0j 0.0231921-0j -0.00481005-0j -0.00225287-0j 0.0747692-0j -0.103215-0j 0.00107919-0j 0.0350194-0j -0.0483423-0j 0.00164197-0j 0.0206832-0j -0.0167754-0j 0.0231574-0j 0.00354577-0j 0.0446645-0j -0.0303494-0j -0.000154055-0j -0.00194056-0j 0.00443508-0j 0.000352087-0j 0.0525387-0j -0.107334-0j 0.0243295-0j -0.0497039-0j -0.0655384-0j -0.000843792-0j -0.0106289-0j 0.00521697-0j 0.00284748-0j -0.00650782-0j -0.00228267-0j -0.0125027-0j 0.0255424-0j 0.00466338-0j -0.010658-0j 0.0155963-0j 
0.152037-0j -0.56786-0j -0.150871-0j -0.155819-0j 0.0200185-0j 0.020675-0j -0.0747692-0j -0.0350194-0j 0.110301-0j -0.0445837-0j 0.0167754-0j 0.0516612-0j -0.0208815-0j 0.0428029-0j -0.0205165-0j -0.0247473-0j 0.0100029-0j 0.0924312-0j -0.0443045-0j -0.0086505-0j -0.0040159-0j 0.00192492-0j -0.00439934-0j 0.00917821-0j -0.0415355-0j -0.0303332-0j -0.0192342-0j -0.0140467-0j -0.0186804-0j -0.021996-0j 0.0105432-0j -0.00412438-0j 0.000811617-0j -0.00185492-0j 0.00180461-0j 0.00988426-0j 0.00721845-0j 0.0013179-0j -0.00301202-0j 0.00444541-0j 
0.114674-0j 0.783899-0j -0.113794-0j -0.079879-0j 0.0150989-0j 0.0105988-0j 0.103215-0j 0.0483423-0j -0.0445837-0j -0.117418-0j -0.0231574-0j -0.0208815-0j -0.0549948-0j 0.0316647-0j -0.0105175-0j 0.0100029-0j 0.0263442-0j 0.0683788-0j -0.0227122-0j -0.0102316-0j -0.00297089-0j 0.000986788-0j -0.00225527-0j 0.00678986-0j -0.031328-0j -0.0228787-0j -0.0145073-0j -0.0105947-0j -0.0220947-0j -0.0162722-0j 0.00540486-0j -0.0031108-0j 0.000959959-0j -0.00219395-0j 0.00136112-0j 0.00745518-0j 0.00544449-0j 0.000994024-0j -0.00227181-0j 0.00525791-0j 
0.0284889-0j -0.0124705-0j 0.383839-0j -0.351559-0j 0.00375108-0j -0.00343562-0j -0.00164197-0j 0.0107127-0j 0.0428029-0j 0.0316647-0j 0.000177887-0j -0.27926-0j -0.206591-0j -0.00616257-0j -0.0462891-0j -0.00463716-0j -0.00343048-0j 0.00202983-0j 0.0152467-0j -0.0610425-0j -4.25849e-05-0j -0.000319869-0j -0.0321877-0j -0.00428522-0j -0.0161181-0j -0.011771-0j 0.0489346-0j 0.0357367-0j 0.0201062-0j -0.000233247-0j -0.00175199-0j 0.0340272-0j -0.000421819-0j -0.0424467-0j 0.000338149-0j 0.00185212-0j 0.0013526-0j 0.000246949-0j 0.02485-0j -0.0023104-0j 
-0.0254812-0j -0.17479-0j 0.308542-0j 0.352304-0j 0.00301524-0j 0.00344291-0j 0.0206832-0j -0.134944-0j 0.0205165-0j 0.0105175-0j -0.00224076-0j -0.133856-0j -0.0686198-0j 0.0462891-0j -0.0416887-0j -0.0022227-0j -0.00113944-0j -0.0152467-0j 0.0137315-0j -0.0813562-0j 0.000319869-0j -0.000288079-0j -0.0289888-0j 0.0321877-0j 0.0144165-0j -0.0294521-0j -0.0437684-0j 0.0894165-0j 0.0267972-0j 0.00175199-0j -0.00157787-0j -0.0304349-0j -0.000562191-0j -0.056572-0j -0.00030245-0j -0.00165659-0j 0.00338432-0j 0.00061789-0j 0.0621769-0j -0.00307925-0j 
-0.110337-0j -0.00165466-0j -0.00375108-0j 0.00343562-0j 0.42682-0j -0.390925-0j 0.00640077-0j -3.24776e-05-0j -0.166856-0j -0.123437-0j -0.000688953-0j 0.000846626-0j 0.000626318-0j -0.00176935-0j -0.0132901-0j 0.0179597-0j 0.0132862-0j 0.00026933-0j 0.00202303-0j -0.017526-0j -0.00985604-0j -0.0740319-0j 4.76832e-05-0j 6.34818e-06-0j -0.00213864-0j -0.00156185-0j 0.0140497-0j 0.0102604-0j 0.00266781-0j 0.000903361-0j 0.00678544-0j -5.04083e-05-0j -0.0976276-0j 6.2881e-05-0j 0.0782629-0j -0.00717323-0j -0.00523859-0j 0.0571551-0j -3.6813e-05-0j 0.00894812-0j 
0.0986884-0j -0.0231921-0j -0.00301524-0j -0.00344291-0j 0.343091-0j 0.391754-0j -0.0806277-0j 0.000409106-0j -0.0799779-0j -0.0409998-0j 0.00867844-0j 0.000405809-0j 0.000208033-0j 0.0132901-0j -0.0119693-0j 0.0086085-0j 0.00441305-0j -0.00202303-0j 0.00182197-0j -0.0233583-0j 0.0740319-0j -0.0666743-0j 4.29443e-05-0j -4.76832e-05-0j 0.00191286-0j -0.00390788-0j -0.0125664-0j 0.0256725-0j 0.00355561-0j -0.00678544-0j 0.00611108-0j 4.50866e-05-0j -0.130116-0j 8.38065e-05-0j -0.0700004-0j 0.00641593-0j -0.0131074-0j 0.143007-0j -9.21095e-05-0j 0.0119259-0j 
0.0107438-0j 0.230499-0j 0.144755-0j 0.617888-0j 0.00141462-0j 0.00603834-0j 0.0303494-0j -0.19801-0j -0.0086505-0j -0.0102316-0j -0.00328799-0j 0.0564387-0j 0.0667541-0j -0.0610425-0j 0.0813562-0j 0.000937175-0j 0.00110846-0j 0.0201062-0j -0.0267972-0j -0.0963482-0j -0.000421819-0j 0.000562191-0j 0.056572-0j -0.0424467-0j -0.00607851-0j -0.00443912-0j 0.0184544-0j 0.0134772-0j 0.0317352-0j -0.0023104-0j 0.00307925-0j 0.0128325-0j -0.000665789-0j -0.0669969-0j 0.000127524-0j 0.000698478-0j 0.000510097-0j 9.31305e-05-0j 0.00937151-0j -0.00364668-0j 
0.0925204-0j 0.0245176-0j 0.00314538-0j 0.00324853-0j -0.3579-0j -0.369637-0j -0.0948421-0j 0.00048123-0j -0.0749793-0j -0.0565529-0j 0.0102084-0j 0.000380445-0j 0.00028695-0j -0.0140497-0j -0.0125664-0j 0.00807047-0j 0.00608713-0j 0.00213864-0j 0.00191286-0j -0.00529846-0j -0.0782629-0j -0.0700004-0j 4.50866e-05-0j 5.04083e-05-0j -0.00510275-0j 0.00130965-0j 0.0335222-0j -0.00860363-0j 0.000806533-0j 0.00717323-0j 0.00641593-0j -0.000120273-0j -0.0295148-0j 1.90102e-05-0j 0.186733-0j -0.0171152-0j 0.00439269-0j -0.047926-0j 3.08687e-05-0j 0.0027052-0j 
