-0.264996-0j -0.00281004-0j -0.0108832-0j -0.0348916-0j 0.0319573-0j -0.00520134-0j 0.00476391-0j -0.000369993-0j -0.110337-0j 0.101058-0j -0.00165466-0j -3.90007e-05-0j 0.00713518-0j -0.00101327-0j -0.0231154-0j -0.00516876-0j 0.0319095-0j -0.00554989-0j -0.0141552-0j 0.0195405-0j 0.000752114-0j -0.0775314-0j -0.000544835-0j 0.107028-0j 
-0.677644-0j -0.262964-0j 0.0348916-0j 0.0801868-0j -0.0921504-0j 0.0375568-0j -0.0431602-0j 0.031117-0j -0.0179909-0j 0.020675-0j 0.0671959-0j 0.0066724-0j -0.0206458-0j -0.00291949-0j -0.0591103-0j -0.0273727-0j -0.0445837-0j -0.0159907-0j 0.00256819-0j 0.00193705-0j -0.00442707-0j 0.0140666-0j -0.00586952-0j 0.0106097-0j 
0.699868-0j -0.240849-0j 0.0319573-0j 0.0921504-0j -0.0945629-0j 0.0431602-0j -0.0442901-0j -0.0317122-0j -0.020675-0j 0.0212163-0j -0.0684813-0j -0.00680004-0j 0.0144925-0j 0.00297534-0j 0.0610488-0j 0.0282704-0j 0.031296-0j 0.0162966-0j -0.00265242-0j -0.00135973-0j 0.00310762-0j -0.0145279-0j 0.00606201-0j -0.00744756-0j 
-0.262964-0j 0.0378604-0j 0.000369993-0j 0.031117-0j 0.0317122-0j -0.203017-0j -0.206901-0j -0.00448009-0j -0.00337114-0j -0.00343562-0j 0.00147565-0j -0.00311528-0j -0.0961342-0j -3.09585e-05-0j -0.0229381-0j 0.0696401-0j 0.0316647-0j -0.000169567-0j 0.00048123-0j -0.000664311-0j -0.0668481-0j 0.0026358-0j 0.0484251-0j -0.00363858-0j 
-0.0348916-0j -0.000369993-0j 0.0420999-0j -0.121301-0j -0.123621-0j 0.000615483-0j 0.000627256-0j -0.00128628-0j 0.0130564-0j 0.0133061-0j 0.000195799-0j 4.61502e-06-0j -0.0276012-0j -0.00716517-0j -0.00304356-0j 0.0199945-0j 0.00420147-0j 0.000656728-0j 0.111378-0j -0.153751-0j 9.90296e-05-0j -0.0102084-0j -7.17375e-05-0j 0.0140922-0j 
0.156801-0j 0.730124-0j 0.00713518-0j 0.0206458-0j 0.0144925-0j -0.1347-0j -0.0945538-0j 0.0961342-0j -0.00223671-0j -0.00157008-0j -0.0316647-0j 0.0668481-0j -0.109363-0j 0.000664311-0j 0.0136776-0j -0.0415253-0j 0.0360222-0j 0.00363858-0j -0.00028695-0j -0.000755728-0j -0.0760472-0j -0.00157169-0j -0.0288751-0j -0.00413929-0j 
0.0275843-0j 0.00516876-0j -0.588131-0j -0.106705-0j -0.110204-0j 0.000541422-0j 0.000559179-0j -0.0199945-0j 0.0114853-0j 0.011862-0j 0.00304356-0j 7.17375e-05-0j -0.0119224-0j -0.111378-0j -0.00448991-0j 0.0294962-0j 0.00181483-0j 0.0102084-0j 0.164307-0j -0.066413-0j 4.2776e-05-0j -0.0150596-0j -0.000105828-0j 0.00608713-0j 
0.207891-0j -0.528906-0j -0.00516876-0j 0.0273727-0j 0.0282704-0j -0.178588-0j -0.184445-0j -0.0696401-0j -0.00296549-0j -0.00306275-0j 0.0229381-0j -0.0484251-0j -0.0415253-0j -0.00048123-0j -0.0338386-0j 0.102734-0j 0.0136776-0j -0.0026358-0j 0.000709918-0j -0.00028695-0j -0.0288751-0j 0.00388838-0j 0.0714375-0j -0.00157169-0j 
0.0208053-0j -0.00713518-0j 0.811882-0j -0.080482-0j -0.0564951-0j 0.000408366-0j 0.000286657-0j 0.0276012-0j 0.00866276-0j 0.00608091-0j -0.00420147-0j -9.90296e-05-0j -0.0313995-0j 0.153751-0j 0.00181483-0j -0.0119224-0j 0.00477964-0j -0.0140922-0j -0.066413-0j -0.174909-0j 0.000112657-0j 0.00608713-0j 4.2776e-05-0j 0.0160314-0j 
-0.103027-0j -0.00226253-0j -0.00881985-0j 0.398544-0j -0.365027-0j -0.00635359-0j 0.00581927-0j 0.00875221-0j 0.00304356-0j -0.00278761-0j -0.00064331-0j -6.38793e-05-0j -0.168783-0j -0.00167027-0j 0.0167698-0j -0.228153-0j 0.012406-0j 0.00015309-0j 0.0435407-0j 0.0322106-0j 0.00123189-0j -0.00399075-0j 0.00166521-0j -0.00295228-0j 
0.0921504-0j -0.0317122-0j -0.123621-0j 0.320362-0j 0.365801-0j -0.00510722-0j -0.00583161-0j -0.110248-0j 0.00244651-0j 0.00279352-0j 0.0081035-0j 0.00080466-0j -0.0560618-0j 0.0210397-0j 0.00803819-0j -0.109359-0j 0.00412069-0j -0.0019284-0j 0.0208701-0j 0.0106988-0j 0.000409175-0j -0.00191286-0j 0.000798175-0j -0.000980607-0j 
