-0.0092994-0j 0.0705775-0j -0.0012253-0j 0.0168121-0j 0.00720328-0j 0.00258285-0j 0.000197033-0j -0.00857174-0j 0.0637405-0j -0.00107147-0j -0.000714312-0j 0.0147014-0j 0.00839855-0j -6.31368e-05-0j 0.0021294-0j 0.00150045-0j 0.000251391-0j 1.40777e-05-0j -0.005608-0j -0.00566611-0j 0.0411185-0j 0.0415446-0j -0.00067723-0j 0.00929212-0j -0.000684248-0j -0.000618224-0j 0.00938842-0j -0.00062463-0j 0.00513981-0j 0.00342654-0j 0.00130317-0j 0.00519307-0j -6.30972e-05-0j 0.00346205-0j 0.00131667-0j -6.37511e-05-0j 0.00122434-0j 0.000302866-0j 0.000145049-0j 0.00123703-0j 0.000133004-0j 0.000306005-0j 0.000146552-0j 0.000134382-0j 1.43489e-05-0j 1.44976e-05-0j 6.33485e-07-0j 6.4005e-07-0j -0.00428049-0j -0.00529683-0j -0.00308982-0j 0.0310631-0j 0.0384387-0j 0.0224226-0j -0.00050446-0j 0.00692159-0j -0.000624238-0j -0.000451203-0j 0.00856503-0j -0.000364139-0j -0.000308918-0j 0.00499627-0j -0.000558335-0j 0.00375123-0j -0.000382266-0j 0.000951101-0j -0.000325696-0j 0.00342439-0j -0.000222989-0j 0.00464191-0j -4.45884e-05-0j 0.00117693-0j 0.00270778-0j -4.20384e-05-0j 0.00423746-0j 0.000865199-0j 0.000686541-0j 0.000576799-0j -5.51754e-05-0j 0.00247185-0j 0.000102501-0j 0.0003495-0j -5.20198e-05-0j 0.00107063-0j -3.21856e-05-0j -1.85785e-06-0j -3.03449e-05-0j 0.000125319-0j 0.000713752-0j 0.000126838-0j 0.000624533-0j 0.000432484-0j 5.09823e-05-0j 9.55996e-06-0j 0.000416356-0j 7.39891e-05-0j -2.29897e-06-0j 0.000252283-0j 1.04615e-05-0j 0.000155074-0j 6.30874e-05-0j -1.34107e-06-0j 8.28493e-07-0j 1.18298e-05-0j 9.04597e-05-0j 1.29454e-05-0j 3.6801e-05-0j 6.90074e-06-0j 3.01582e-08-0j 7.55148e-06-0j 1.02521e-06-0j 3.73189e-08-0j 5.98038e-07-0j 2.17694e-08-0j 
0.00663964-0j 0.00107147-0j -0.0832163-0j 0.000126274-0j -0.0209134-0j -0.00122589-0j 5.88243e-07-0j 0.000121132-0j 1.91526e-05-0j -0.00144027-0j 1.00943e-05-0j 2.18549e-06-0j -0.000240045-0j -0.000256391-0j 2.10299e-07-0j -4.26574e-05-0j -1.7681e-06-0j 6.92732e-10-0j 0.00400403-0j -0.00388538-0j 0.000624238-0j -0.00060574-0j -0.045994-0j 6.97919e-05-0j 0.0446311-0j 0.000441403-0j -6.77238e-05-0j -0.000428323-0j -0.00742224-0j 5.20198e-05-0j 6.50248e-06-0j 0.00720231-0j -0.00861552-0j -5.04784e-05-0j -6.3098e-06-0j 0.00836022-0j -0.00087472-0j -0.00132128-0j 5.41873e-07-0j 0.0008488-0j -0.000126919-0j 0.00128212-0j -5.25816e-07-0j 0.000123158-0j -4.07486e-06-0j 3.95411e-06-0j 1.3493e-09-0j -1.30931e-09-0j 0.00305621-0j 7.48524e-05-0j -0.00428118-0j 0.000471583-0j 1.155e-05-0j -0.000660601-0j -0.0342603-0j 5.19871e-05-0j -0.000839102-0j 0.000322153-0j 1.27327e-06-0j 0.0479924-0j 0.000220563-0j -7.28244e-05-0j 7.89014e-06-0j -0.00541704-0j 5.40201e-06-0j 4.74576e-06-0j -0.000451276-0j 5.19871e-05-0j -0.000308968-0j -0.000132674-0j -0.00608827-0j 1.16233e-07-0j 0.00758827-0j -0.00285503-0j 1.27327e-06-0j -0.000618132-0j -6.64793e-06-0j 4.33226e-06-0j -0.000149113-0j -7.28244e-05-0j 3.82922e-07-0j -0.00101471-0j -6.99252e-05-0j -1.51392e-05-0j 0.00852854-0j -0.000508682-0j 0.00399937-0j -5.94798e-05-0j 1.06105e-07-0j 9.37849e-09-0j 0.000865889-0j -2.48522e-05-0j -0.000110037-0j 2.85413e-08-0j -6.0687e-06-0j -5.36402e-07-0j -1.24586e-05-0j 0.00142142-0j -7.47405e-06-0j -1.45677e-06-0j -2.69502e-06-0j 0.00071257-0j -1.95929e-07-0j 6.99031e-10-0j 8.33202e-05-0j -1.83054e-07-0j 0.000154142-0j -3.99811e-08-0j 5.61854e-11-0j 1.04698e-05-0j -4.79867e-09-0j 1.37609e-12-0j 2.7446e-07-0j -7.87053e-11-0j 
-0.00095835-0j 0.0147014-0j -0.000126274-0j -0.0806078-0j 0.00150045-0j -0.0252133-0j -0.00387667-0j -1.74839e-05-0j 0.000262789-0j -2.18549e-06-0j -1.45699e-06-0j -0.00139512-0j 3.46255e-05-0j -1.28781e-07-0j -0.000411424-0j -0.000142389-0j -7.32429e-05-0j -6.86228e-06-0j -0.000577932-0j 0.000560807-0j 0.00856503-0j -0.00831123-0j -6.97919e-05-0j -0.0445522-0j 6.77238e-05-0j -6.3711e-05-0j 0.043232-0j 6.18231e-05-0j 0.00107063-0j 0.000713752-0j -0.0127213-0j -0.0010389-0j -6.50248e-06-0j -0.000692602-0j 0.0123444-0j 6.3098e-06-0j -0.00587027-0j 6.30874e-05-0j -0.00213517-0j 0.00569632-0j -0.00129836-0j -6.1218e-05-0j 0.0020719-0j 0.00125989-0j -0.000282319-0j 0.000273953-0j -1.87389e-05-0j 1.81836e-05-0j -0.000441126-0j -1.0804e-05-0j 0.000617936-0j 0.00647049-0j 0.000158475-0j -0.00906396-0j -5.19871e-05-0j -0.0331864-0j -1.27327e-06-0j -4.64987e-05-0j -0.000812799-0j 7.28244e-05-0j -3.18355e-05-0j 0.046488-0j -1.13884e-06-0j 0.000781386-0j -7.79713e-07-0j -0.0092845-0j 6.51361e-05-0j 0.000713304-0j 4.45957e-05-0j 1.91376e-05-0j -4.59506e-06-0j -0.000227395-0j -0.00109458-0j -4.33226e-06-0j 1.74702e-05-0j -0.0041483-0j 0.0130059-0j -0.00276553-0j -1.12542e-07-0j -0.000999207-0j -0.00150884-0j 7.28013e-05-0j -1.06105e-07-0j -0.0001016-0j 6.43683e-06-0j -1.91461e-07-0j 6.0687e-06-0j -0.00122334-0j -6.77333e-05-0j -3.69545e-05-0j 0.005811-0j 1.78304e-06-0j -0.000244441-0j -0.000188094-0j 0.003874-0j 0.00211361-0j -4.68924e-09-0j -0.000101981-0j -0.000153996-0j -2.9962e-05-0j -5.98683e-06-0j 2.68201e-07-0j -2.04045e-05-0j -4.6068e-06-0j 0.00171367-0j -3.77165e-06-0j 0.000342417-0j 0.000263486-0j -1.04143e-06-0j 0.00021572-0j -4.99746e-07-0j -2.55067e-08-0j 2.85829e-05-0j 1.45885e-06-0j 
0.00383099-0j 0.000618224-0j -0.0723203-0j -0.0104385-0j 6.30972e-05-0j 7.43607e-06-0j 3.39409e-07-0j 0.00353122-0j 0.000558335-0j 0.000441403-0j -0.084615-0j 6.3711e-05-0j -0.0105401-0j 2.60099e-05-0j -0.000878341-0j 6.50248e-06-0j 5.41873e-07-0j 2.01944e-08-0j -0.00222167-0j 0.00233422-0j -0.000346364-0j 0.00036391-0j -0.000268292-0j -3.87246e-05-0j 0.000281884-0j 0.0350895-0j 4.06864e-05-0j -0.0368671-0j -4.32955e-05-0j 0.00829955-0j -3.60796e-06-0j 4.54888e-05-0j 0.00358131-0j -0.00871999-0j 3.79073e-06-0j -0.00376274-0j 0.000731032-0j -2.55121e-06-0j 4.30765e-05-0j -0.000768065-0j -3.68235e-07-0j 2.68045e-06-0j -4.52587e-05-0j 3.8689e-07-0j -2.37695e-08-0j 2.49736e-08-0j -7.48669e-10-0j 7.86595e-10-0j 0.00176339-0j -0.0020984-0j 0.00127289-0j 0.000272098-0j -0.00032379-0j 0.00019641-0j 0.000207818-0j 2.99959e-05-0j -0.000247299-0j -0.0266311-0j -3.56945e-05-0j 0.000150011-0j 0.000127262-0j 2.16522e-05-0j 0.0316904-0j 3.28589e-05-0j -0.000151439-0j 2.73824e-06-0j -0.0192233-0j -0.00429757-0j 9.18626e-05-0j -3.91014e-05-0j 1.83687e-05-0j -3.25845e-06-0j 2.37188e-05-0j -0.00497972-0j 0.00511401-0j 3.74949e-06-0j 1.97657e-06-0j -0.000718761-0j -2.18583e-05-0j -0.00310215-0j 2.20941e-07-0j -0.000438619-0j 0.00592576-0j -4.46181e-06-0j 1.32592e-05-0j 7.65362e-07-0j -0.00359455-0j -5.16917e-05-0j 0.00085531-0j -2.62915e-07-0j 2.70653e-06-0j 0.000521947-0j 2.20941e-07-0j -2.35939e-06-0j -0.000518829-0j 1.59484e-07-0j -9.10764e-07-0j -0.000316612-0j 2.25497e-08-0j 6.1512e-05-0j -2.62915e-07-0j 5.52467e-07-0j 1.18847e-09-0j 2.80763e-06-0j -3.73131e-05-0j -2.68336e-08-0j 1.59484e-07-0j -1.7031e-06-0j 3.24183e-11-0j 1.62772e-08-0j -1.41426e-09-0j -3.8577e-11-0j 8.57885e-10-0j 2.34007e-11-0j 
-0.00387069-0j -0.00062463-0j 0.0730698-0j 0.0105467-0j -6.37511e-05-0j -7.51313e-06-0j -3.42926e-07-0j 0.00342658-0j 0.000541791-0j 0.000428323-0j -0.0821076-0j 6.18231e-05-0j -0.0102278-0j 2.52392e-05-0j -0.000852314-0j 6.3098e-06-0j 5.25816e-07-0j 1.9596e-08-0j -0.00233422-0j 0.00235656-0j -0.00036391-0j 0.000367393-0j -0.000281884-0j -4.06864e-05-0j 0.000284582-0j 0.0368671-0j 4.10758e-05-0j -0.03722-0j -4.54888e-05-0j 0.00871999-0j -3.79073e-06-0j 4.59241e-05-0j 0.00376274-0j -0.00880346-0j 3.82701e-06-0j -0.00379875-0j 0.000768065-0j -2.68045e-06-0j 4.52587e-05-0j -0.000775417-0j -3.8689e-07-0j 2.70611e-06-0j -4.56919e-05-0j 3.90593e-07-0j -2.49736e-08-0j 2.52127e-08-0j -7.86595e-10-0j 7.94124e-10-0j -0.00178167-0j 0.00211743-0j -0.00113637-0j -0.000274917-0j 0.000326726-0j -0.000175346-0j -0.000209972-0j -3.03068e-05-0j 0.000249541-0j 0.026907-0j 3.60182e-05-0j -0.000133923-0j -0.000128581-0j -1.93301e-05-0j -0.0319778-0j -3.31994e-05-0j 0.000152812-0j -2.76662e-06-0j 0.0171617-0j 0.0043421-0j -8.20105e-05-0j 3.9456e-05-0j -1.8559e-05-0j 3.288e-06-0j -2.1175e-05-0j 0.00503133-0j -0.00516039-0j -3.78835e-06-0j -1.76459e-06-0j 0.00072621-0j 2.20565e-05-0j 0.00276945-0j -2.23231e-07-0j 0.000443164-0j -0.0059795-0j 4.50227e-06-0j -1.18372e-05-0j -7.73293e-07-0j 0.00320905-0j 5.22274e-05-0j -0.000863066-0j 2.65299e-07-0j -2.41626e-06-0j -0.00052668-0j -2.23231e-07-0j 2.38384e-06-0j 0.000463186-0j -1.42379e-07-0j 9.19023e-07-0j 0.000282656-0j -2.27834e-08-0j -6.20698e-05-0j 2.65299e-07-0j -4.93217e-07-0j -1.20079e-09-0j -2.83309e-06-0j 3.33113e-05-0j 2.7077e-08-0j -1.42379e-07-0j 1.52045e-06-0j -3.27542e-11-0j -1.45315e-08-0j 1.42708e-09-0j 3.89268e-11-0j -7.65879e-10-0j -2.08911e-11-0j 
-0.00067723-0j 0.00513981-0j 0.0084879-0j 0.00122434-0j -0.100321-0j -0.0178918-0j 1.43489e-05-0j -0.000624238-0j 0.00464191-0j 0.00742224-0j -5.20198e-05-0j 0.00107063-0j -0.0581782-0j 0.00132128-0j 0.000155074-0j -0.0208971-0j -0.00174143-0j 1.02521e-06-0j 0.00039274-0j -0.000412635-0j -0.00287961-0j 0.00302549-0j -0.00451137-0j -0.000650746-0j 0.00473991-0j 4.32955e-05-0j 0.000683712-0j -4.54888e-05-0j 0.0342388-0j -0.000239968-0j -9.12635e-05-0j -0.0359733-0j -0.000845062-0j 0.000252124-0j 9.58868e-05-0j 0.000887872-0j 0.00815597-0j 0.00609505-0j -1.01581e-05-0j -0.00856914-0j 0.00178133-0j -0.00640382-0j 1.06727e-05-0j -0.00187157-0j 9.55855e-05-0j -0.000100428-0j -4.43643e-08-0j 4.66117e-08-0j -0.000311727-0j 0.000370948-0j -0.000225016-0j 0.00226218-0j -0.00269194-0j 0.00163292-0j 0.00349449-0j 0.000504065-0j -0.00415836-0j -3.28589e-05-0j -0.000599827-0j 0.00252245-0j -2.2497e-05-0j 0.000363854-0j 3.91014e-05-0j -0.0259854-0j 2.67709e-05-0j 6.9264e-05-0j -2.37188e-05-0j 0.000249381-0j -1.62392e-05-0j 0.0309221-0j 0.000620991-0j -8.24226e-05-0j -0.0187573-0j 0.000291207-0j -0.000296758-0j -0.00599338-0j 4.99974e-05-0j 4.20054e-05-0j -0.000738965-0j 0.000180013-0j 7.46464e-06-0j -0.00486755-0j -0.00034653-0j 0.00713199-0j 0.000448255-0j 5.18845e-05-0j 0.000210204-0j -0.000868104-0j -4.99855e-05-0j -8.88276e-06-0j -0.00432625-0j 0.00579228-0j -0.00106692-0j 6.96205e-07-0j 3.03211e-05-0j 5.38826e-06-0j -6.17414e-05-0j -0.00351358-0j -0.000145699-0j 0.00103302-0j 0.00126961-0j 3.74522e-05-0j -5.73912e-06-0j -8.28468e-07-0j -0.00062663-0j 0.000173378-0j -0.000770141-0j 5.02547e-07-0j 2.19628e-09-0j -0.000105171-0j 6.82942e-06-0j -2.61352e-09-0j -4.14272e-06-0j 1.58536e-09-0j 
5.64358e-05-0j -0.00130317-0j 7.43607e-06-0j 0.0145478-0j -0.000133004-0j -0.0683236-0j -0.0325515-0j 5.20198e-05-0j -0.00117693-0j 6.50248e-06-0j 4.33499e-06-0j 0.0127213-0j -0.000155074-0j 3.83162e-07-0j -0.0563287-0j 0.00129836-0j -0.020569-0j -0.00389397-0j -3.27283e-05-0j 3.43863e-05-0j 0.000730108-0j -0.000767094-0j -3.95232e-06-0j -0.00773224-0j 4.15254e-06-0j -3.60796e-06-0j 0.00812394-0j 3.79073e-06-0j 9.12635e-05-0j 6.08423e-05-0j 0.0331504-0j -9.58868e-05-0j -3.68235e-07-0j -6.39245e-05-0j -0.0348297-0j 3.8689e-07-0j -0.00101881-0j 5.37775e-06-0j 0.0114129-0j 0.00107042-0j 0.0033834-0j -5.65018e-06-0j -0.011991-0j -0.00355479-0j 0.00227965-0j -0.00239513-0j 0.000253428-0j -0.000266266-0j 2.59772e-05-0j -3.09123e-05-0j 1.87514e-05-0j -0.000573561-0j 0.000682524-0j -0.000414018-0j 3.06145e-06-0j 0.00598936-0j -3.64305e-06-0j 2.73824e-06-0j -0.0071272-0j 2.20987e-06-0j 1.87475e-06-0j 0.00432335-0j -3.25845e-06-0j -6.9264e-05-0j -2.23091e-06-0j -0.0251593-0j 1.97657e-06-0j -6.32291e-05-0j 1.35326e-06-0j 8.24226e-05-0j 2.70596e-07-0j 0.029939-0j -4.99974e-05-0j 2.55121e-07-0j 7.52412e-05-0j 0.00074867-0j -0.018161-0j 0.000499113-0j -3.22004e-07-0j -4.56412e-05-0j -0.0083867-0j -6.45329e-06-0j -3.03588e-07-0j -0.0008909-0j 1.95327e-07-0j 1.12748e-08-0j 1.84156e-07-0j -0.00331503-0j -0.000593933-0j 0.00997999-0j 0.000540418-0j 7.67928e-06-0j 4.41158e-05-0j -0.00157938-0j 0.000360279-0j -0.00605384-0j -1.34168e-08-0j -4.65823e-06-0j -0.000855964-0j 0.00394482-0j -5.24968e-05-0j 8.13861e-09-0j -0.000229166-0j 0.00187943-0j -0.00239292-0j 0.00101858-0j 3.18445e-05-0j -0.00114006-0j -1.75948e-05-0j -0.000617867-0j 0.000272703-0j 2.09374e-05-0j -0.000165421-0j -1.27006e-05-0j 
0.000684248-0j -0.00519307-0j -0.00857586-0j -0.00123703-0j 0.101361-0j 0.0180772-0j -1.44976e-05-0j -0.00060574-0j 0.00450436-0j 0.00720231-0j -5.04784e-05-0j 0.0010389-0j -0.0564543-0j 0.00128212-0j 0.000150479-0j -0.0202778-0j -0.00168983-0j 9.94829e-07-0j 0.000412635-0j -0.000416585-0j -0.00302549-0j 0.00305445-0j -0.00473991-0j -0.000683712-0j 0.00478527-0j 4.54888e-05-0j 0.000690256-0j -4.59241e-05-0j 0.0359733-0j -0.000252124-0j -9.58868e-05-0j -0.0363176-0j -0.000887872-0j 0.000254537-0j 9.68045e-05-0j 0.00089637-0j 0.00856914-0j 0.00640382-0j -1.06727e-05-0j -0.00865116-0j 0.00187157-0j -0.00646511-0j 1.07749e-05-0j -0.00188948-0j 0.000100428-0j -0.000101389-0j -4.66117e-08-0j 4.70578e-08-0j 0.000314957-0j -0.000374312-0j 0.000200884-0j -0.00228562-0j 0.00271635-0j -0.0014578-0j -0.0035307-0j -0.000509289-0j 0.00419607-0j 3.31994e-05-0j 0.000605266-0j -0.00225193-0j 2.27301e-05-0j -0.000324831-0j -3.9456e-05-0j 0.0262547-0j -2.70136e-05-0j -6.99818e-05-0j 2.1175e-05-0j -0.000251966-0j 1.44975e-05-0j -0.0312025-0j -0.000627426-0j 8.31701e-05-0j 0.0167456-0j -0.000294225-0j 0.000299449-0j 0.00605549-0j -4.46353e-05-0j -4.24407e-05-0j 0.000745666-0j -0.000160707-0j -7.542e-06-0j 0.00491799-0j 0.000349672-0j -0.00719667-0j -0.00040018-0j -5.24222e-05-0j -0.00018766-0j 0.0008771-0j 5.04388e-05-0j 8.96331e-06-0j 0.00386227-0j -0.0058448-0j 0.00107797-0j -7.03419e-07-0j -2.70693e-05-0j -4.81038e-06-0j 6.23013e-05-0j 0.00313676-0j 0.000147208-0j -0.00104239-0j -0.00128112-0j -3.34356e-05-0j 5.79859e-06-0j 8.35981e-07-0j 0.000559426-0j -0.00017495-0j 0.000687545-0j -4.4865e-07-0j -2.21904e-09-0j 9.38915e-05-0j -6.89136e-06-0j 2.63722e-09-0j 3.69842e-06-0j -1.41533e-09-0j 
-5.70207e-05-0j 0.00131667-0j -7.51313e-06-0j -0.0146985-0j 0.000134382-0j 0.0690317-0j 0.0328888-0j 5.04784e-05-0j -0.00114205-0j 6.3098e-06-0j 4.20653e-06-0j 0.0123444-0j -0.000150479-0j 3.71808e-07-0j -0.0546596-0j 0.00125989-0j -0.0199595-0j -0.00377858-0j -3.43863e-05-0j 3.47154e-05-0j 0.000767094-0j -0.000774436-0j -4.15254e-06-0j -0.00812394-0j 4.19228e-06-0j -3.79073e-06-0j 0.0082017-0j 3.82701e-06-0j 9.58868e-05-0j 6.39245e-05-0j 0.0348297-0j -9.68045e-05-0j -3.8689e-07-0j -6.45363e-05-0j -0.0351631-0j 3.90593e-07-0j -0.00107042-0j 5.65018e-06-0j 0.011991-0j 0.00108067-0j 0.00355479-0j -5.70426e-06-0j -0.0121058-0j -0.00358882-0j 0.00239513-0j -0.00241806-0j 0.000266266-0j -0.000268815-0j -2.62464e-05-0j 3.11927e-05-0j -1.67403e-05-0j 0.000579504-0j -0.000688714-0j 0.000369615-0j -3.09317e-06-0j -0.00605142-0j 3.67609e-06-0j -2.76662e-06-0j 0.00719183-0j -1.97287e-06-0j -1.89417e-06-0j -0.00385968-0j 3.288e-06-0j 6.99818e-05-0j 2.25114e-06-0j 0.0254201-0j -1.76459e-06-0j 6.38844e-05-0j -1.20813e-06-0j -8.31701e-05-0j -2.73401e-07-0j -0.0302105-0j 4.46353e-05-0j -2.57764e-07-0j -7.59235e-05-0j -0.000756428-0j 0.0162132-0j -0.000504285-0j 3.24924e-07-0j 4.07463e-05-0j 0.00847361-0j 6.52017e-06-0j 3.06341e-07-0j 0.000898979-0j -1.74378e-07-0j -1.13917e-08-0j -1.64406e-07-0j 0.00334939-0j 0.000599319-0j -0.0100705-0j -0.00048246-0j -7.74891e-06-0j -4.4573e-05-0j 0.00159575-0j -0.00032164-0j 0.00540458-0j 1.35385e-08-0j 4.15865e-06-0j 0.000864834-0j -0.00398059-0j 5.29729e-05-0j -7.26577e-09-0j 0.000231541-0j -0.00189648-0j 0.00213628-0j -0.00102781-0j -2.84292e-05-0j 0.00101779-0j 1.77771e-05-0j 0.000551603-0j -0.000275175-0j -2.11273e-05-0j 0.00014768-0j 1.13385e-05-0j 
0.00270722-0j -0.0836543-0j 0.000356707-0j 5.14863e-05-0j 4.45884e-05-0j 5.2548e-06-0j 2.39848e-07-0j 0.00249538-0j 0.000394555-0j -0.059728-0j 0.000207949-0j -0.00862099-0j 5.19871e-05-0j 1.83802e-05-0j 4.33226e-06-0j 4.59506e-06-0j 3.82922e-07-0j 1.42706e-08-0j 0.00163259-0j 0.0016495-0j 0.000254524-0j 0.000257162-0j 0.000197153-0j 2.84566e-05-0j 0.000199197-0j -0.0344623-0j 2.87515e-05-0j -0.0348194-0j -0.00609213-0j 2.12103e-05-0j -0.000507678-0j -0.00615526-0j 1.83687e-05-0j 2.14301e-05-0j -0.000512939-0j 1.8559e-05-0j 3.74949e-06-0j 1.87475e-06-0j 2.20941e-07-0j 3.78835e-06-0j 2.70596e-07-0j 1.89417e-06-0j 2.23231e-07-0j 2.73401e-07-0j 1.74669e-08-0j 1.76479e-08-0j 5.50156e-10-0j 5.55857e-10-0j -0.00242287-0j 0.001542-0j 0.0008995-0j -0.000373856-0j 0.000237936-0j 0.000138796-0j -0.000285537-0j -4.12138e-05-0j 0.000181727-0j -0.000255392-0j 2.623e-05-0j 0.000106007-0j 0.0671385-0j 1.53008e-05-0j 0.000162541-0j -4.51474e-05-0j -0.0427294-0j -3.76229e-06-0j 9.48157e-05-0j 0.00789174-0j -0.0249255-0j 2.87335e-05-0j 0.00483269-0j 2.39446e-06-0j 1.67612e-05-0j -2.37948e-05-0j -0.0050226-0j 0.000986468-0j 1.39677e-06-0j -3.43448e-06-0j -0.0030757-0j -0.00292985-0j 5.81282e-05-0j -4.20636e-06-0j 1.51439e-05-0j -0.000627824-0j -0.00179416-0j -1.05159e-06-0j 8.83393e-06-0j -4.95725e-07-0j 2.18583e-06-0j -3.69949e-05-0j -0.000366231-0j 2.67708e-06-0j -3.03568e-07-0j -2.26266e-08-0j 1.27507e-06-0j -2.15804e-05-0j 6.69271e-07-0j 1.56163e-06-0j -3.09828e-08-0j 3.15497e-07-0j 1.93202e-07-0j 3.90408e-07-0j -1.63294e-09-0j 1.44004e-08-0j 1.8404e-07-0j 1.97186e-08-0j 1.12701e-07-0j 8.40025e-09-0j -4.4542e-11-0j 1.15025e-08-0j 1.03926e-09-0j 2.83482e-11-0j 6.06235e-10-0j 1.65364e-11-0j 
-0.00335001-0j 0.103517-0j -0.000441403-0j -6.3711e-05-0j -5.51754e-05-0j -6.50248e-06-0j -2.96796e-07-0j -6.11168e-05-0j -9.66341e-06-0j 0.00146285-0j -5.09306e-06-0j 0.000211145-0j -1.27327e-06-0j -4.50167e-07-0j -1.06105e-07-0j -1.12542e-07-0j -9.37849e-09-0j -3.49516e-10-0j 0.00194274-0j 0.00196036-0j 0.000302878-0j 0.000305625-0j 0.000234608-0j 3.38628e-05-0j 0.000236736-0j -0.0410094-0j 3.41699e-05-0j -0.0413813-0j -0.0072495-0j 2.52398e-05-0j -0.000604125-0j -0.00731524-0j 2.18583e-05-0j 2.54687e-05-0j -0.000609604-0j 2.20565e-05-0j 4.46181e-06-0j 2.23091e-06-0j 2.62915e-07-0j 4.50227e-06-0j 3.22004e-07-0j 2.25114e-06-0j 2.65299e-07-0j 3.24924e-07-0j 2.07852e-08-0j 2.09737e-08-0j 6.54674e-10-0j 6.6061e-10-0j -0.001542-0j 3.63181e-05-0j 0.00216006-0j -0.000237936-0j 5.60401e-06-0j 0.000333304-0j -0.000181727-0j -2.623e-05-0j 4.28013e-06-0j -0.000162541-0j 6.17784e-07-0j 0.000254565-0j 0.0427294-0j 3.67433e-05-0j 3.82827e-06-0j -2.87335e-05-0j -0.00100639-0j -2.39446e-06-0j 0.00022769-0j 0.0050226-0j -0.059856-0j 6.76748e-07-0j 0.0030757-0j 5.63957e-08-0j 4.02503e-05-0j -1.51439e-05-0j -0.000118295-0j 0.000627824-0j 3.35419e-06-0j -2.18583e-06-0j -7.24407e-05-0j -0.00703573-0j 3.69949e-05-0j -2.67708e-06-0j 3.56678e-07-0j -1.47869e-05-0j -0.00430849-0j -6.69271e-07-0j 2.12138e-05-0j -3.15497e-07-0j 5.1482e-08-0j -8.71327e-07-0j -0.000879466-0j 6.30523e-08-0j -1.93202e-07-0j -1.44004e-08-0j 3.06194e-06-0j -5.1823e-05-0j 1.57631e-08-0j 3.7501e-06-0j -1.97186e-08-0j 7.43079e-09-0j 4.55041e-09-0j 9.37525e-07-0j -1.03926e-09-0j 3.39167e-10-0j 4.41954e-07-0j 4.64424e-10-0j 2.7064e-07-0j 2.01723e-08-0j -2.83482e-11-0j 2.76221e-08-0j 2.44773e-11-0j 6.67673e-13-0j 1.45581e-09-0j 3.97105e-11-0j 
