0.922472+3.46945e-18j 0.295596-0.025166j -0.104128-0.0153335j 0.0620859+0.0317762j -0.000742324-0.00524824j -0.103172+0.00396315j 0.00929802+0.0172267j -0.0200936+0.00832241j 0.0269547+0.0758205j 0.00150729-0.0444957j 0.00524563+0.0114018j -0.0254401+0.0271944j -0.0209432-0.0197357j 0.0443858-0.000139974j 0.0471669+0.0177115j 0.00820867-0.0191613j 0.0363444-0.00108041j -0.0134077-0.00650904j -0.0132371-0.00925375j 0.0167513-0.0307104j 0.0322908-0.0247835j 0.0141926-0.060942j 0.0223168+0.00415412j -0.0178263+0.0859685j 
0.295596+0.025166j 0.0212201+1.38778e-17j 0.0391689-0.0011495j 0.0328447-0.0048789j 0.101158-0.0625259j -0.0729731+0.011694j -0.0316955-0.135956j -0.111204+0.112023j -0.131881-0.14114j 0.0242465-0.0182165j -0.106461+0.0259401j 0.073124-0.0544118j 0.0823144+0.049979j -0.0407114-0.0225273j 0.0381588+0.00728222j 0.0725553+0.0139565j -0.0164789-0.000403529j -0.0180952-0.0531322j 0.0680956-0.0760509j -0.0478205+0.0417931j -0.128528+0.106172j -0.0519564+0.0392907j 0.0265811-0.0547753j -0.111716-0.288872j 
-0.104128+0.0153335j 0.0391689+0.0011495j -0.00845804-0j -0.0575849+0.0225014j -0.0444657+0.0445447j 0.0403196+0.053885j 0.0340097+0.101549j -0.0434869+0.0951392j -0.0632159+0.00600803j 0.07251+0.0175479j 0.0523352-0.0407069j -0.0316482-0.0130262j -0.037193+0.00637154j 0.0215619+0.049673j 0.00331477-0.0514564j -0.0304163+0.0458133j -0.00241712-0.0534788j -0.00588847+0.00983181j 0.034194-0.0429086j 0.0343658-0.12432j 0.0922606+0.0523687j -0.0233558+0.0896447j 0.0753799+0.122507j -0.019141+0.0277997j 
0.0620859-0.0317762j 0.0328447+0.0048789j -0.0575849-0.0225014j 0.0166719-2.22045e-16j -0.0390857+0.0105357j 0.0178424-0.0238246j -0.000323786+0.0291838j 0.1475-0.184955j 0.199604+0.160363j -0.053571-0.0139649j 0.0449268+0.00255102j -0.0444064+0.0211307j -0.00195012+0.0347696j 0.0111453+0.0336307j -0.00676394-0.013195j -0.0705169-0.0410751j 0.013723-0.00474291j 0.0204993-0.00636936j -0.0787043-0.0921524j 0.0440773-0.00663023j 0.114216-0.113578j 0.17251-0.172541j -0.214212+0.104289j 0.292628+0.328661j 
-0.000742324+0.00524824j 0.101158+0.0625259j -0.0444657-0.0445447j -0.0390857-0.0105357j -0.123837-2.22045e-16j 0.0774351+0.0474985j 0.0273047+0.236485j -0.049725+0.204786j -0.186596+0.041652j 0.0290952-0.0249176j 0.116749+0.0398566j -0.110295-0.0389191j 0.0215102-0.0857873j 0.0520117+0.0610303j -0.00475911-0.0120527j -0.0587088-0.0471321j 0.0971648-0.0291127j -0.0251279+0.0412337j 0.0548016+0.0599777j 0.0766284-0.0319476j 0.275341-0.0852195j -0.0606015+0.25377j 0.194003+0.259615j -0.0578755+0.118691j 
-0.103172-0.00396315j -0.0729731-0.011694j 0.0403196-0.053885j 0.0178424+0.0238246j 0.0774351-0.0474985j -0.0243194-3.08781e-16j -0.0289798-0.176j 0.340193+0.232978j -0.263667+0.324098j 0.00919676-0.0813334j -0.0802416+0.0709775j -0.0191765-0.0895477j 0.0751056-0.0149769j 0.0111366-0.0563846j 0.0119045+0.01621j -0.0978261+0.030371j 0.0017976+0.0122487j 0.040422-0.0357922j -0.107635+0.0594633j -0.00190813-0.0267953j -0.0815172-0.0633481j -0.0149091-0.10459j 0.00326935-0.125088j -0.126764+0.0648561j 
0.00929802-0.0172267j -0.0316955+0.135956j 0.0340097-0.101549j -0.000323786-0.0291838j 0.0273047-0.236485j -0.0289798+0.176j -0.378443-1.41276e-14j -0.0686986-0.122263j 0.0237773-0.0421145j 0.0149023+0.0226942j 0.0777977+0.179988j -0.158737-0.103071j 0.192493-0.192237j -0.0235597-0.0243746j 0.0328309-0.0341461j -0.0527762+0.097222j 0.0443023-0.0681814j -0.0126958+0.00324881j -0.00654693-0.0646751j -0.0024247+0.0466384j -0.110782+0.0357779j -0.015798-0.0279672j -0.148262+0.0945437j -0.0566203+0.0439712j 
-0.0200936-0.00832241j -0.111204-0.112023j -0.0434869-0.0951392j 0.1475+0.184955j -0.049725-0.204786j 0.340193-0.232978j -0.0686986+0.122263j -0.0833501-4.16334e-16j -0.0571231-0.101857j -0.16207-0.257936j -0.174068+0.0536185j -0.0853827+0.0290732j -0.0807555-0.00325692j 0.0627808-0.0158794j -0.0610405-0.0242018j 0.00594878+0.000298324j -0.00827388-0.0118199j -0.00770619+0.116557j -0.0295718+0.0483232j 0.00718152-0.0117157j -0.0283628+0.00741354j 0.0261104-0.0792942j -0.00313269-0.0767699j -0.00755129+0.0163519j 
0.0269547-0.0758205j -0.131881+0.14114j -0.0632159-0.00600803j 0.199604-0.160363j -0.186596-0.041652j -0.263667-0.324098j 0.0237773+0.0421145j -0.0571231+0.101857j -0.142793-4.44089e-16j -0.229008+0.218293j 0.0976945+0.135858j -0.0111998+0.0885525j -0.0332053-0.0101967j 0.00518385+0.0168134j -0.0252236-0.0292906j 0.0139329-0.00959252j 0.0203397+0.0125397j -0.00236723+0.0473028j -0.00718572-0.00213796j -0.0155598+0.0329405j -0.0316032-0.0126232j 0.011406-0.061773j -0.0744067-0.0171085j 0.0351194+0.00039858j 
0.00150729+0.0444957j 0.0242465+0.0182165j 0.07251-0.0175479j -0.053571+0.0139649j 0.0290952+0.0249176j 0.00919676+0.0813334j 0.0149023-0.0226942j -0.16207+0.257936j -0.229008-0.218293j 0.121463-2.77556e-16j -0.0428177-0.0317638j 0.0604867-0.0807603j 0.0502239+0.0206677j -0.00274896+0.0116562j 0.0215211+0.00863278j 0.0366644-0.0551639j -0.0149155-0.00372227j 0.0381077-0.0180647j -0.0410469-0.144789j -0.00599553+0.0540472j 0.000563376-0.0348694j 0.250671-0.242623j -0.288541-0.019287j 0.27363+0.244253j 
0.00524563-0.0114018j -0.106461-0.0259401j 0.0523352+0.0407069j 0.0449268-0.00255102j 0.116749-0.0398566j -0.0802416-0.0709775j 0.0777977-0.179988j -0.174068-0.0536185j 0.0976945-0.135858j -0.0428177+0.0317638j -0.121371+4.27436e-15j 0.0866878-0.0102906j 0.116791+0.0945224j -0.00748529-0.0561425j 0.0156424+0.0187141j -0.0706364+0.0581959j 0.0613076+0.0296878j 0.0286389-0.0500805j -0.122113+0.158457j 0.103365-0.0203008j 0.148057-0.0389998j -0.00328033+0.11984j 0.0433358+0.0665201j -0.189208+0.372168j 
