0.972493-1.73472e-18j 0.232172-0.013659j -0.0653013-0.0137243j -0.0188209-0.0303963j -0.0448807+0.0583187j 0.0876688+0.0402258j -0.0138456+0.0290947j 0.0169405-0.0334374j 0.0159136-0.0232298j -0.0212015+0.0294468j -0.0397701+0.00732727j 0.0562771-0.0116436j 0.0144368-0.00968198j 0.0271741+0.0298031j -0.0174183+0.0530345j 0.0143586-0.00035391j -0.00132495-0.0138872j 0.0106321-0.0069195j 0.0164541-0.000169737j 0.0308003-0.00849406j -0.00320277-0.0098126j 0.00312439-0.0133757j -0.0260871+0.019053j -0.00982123+0.00428848j 0.0170983-0.00728087j -0.0218104-0.00671104j 0.0308633+0.022359j 0.0113684-0.00649095j 0.00478053-0.00052657j 0.0341499+0.00344511j 0.0024861-0.00127784j -0.0155541+0.0385692j 0.00269843-0.013972j -0.0126391-0.00470624j -0.0173816+0.0353719j 0.00119095-0.0106606j -0.039156+0.0427801j 0.00694392+0.0198218j -0.0173381+0.00803265j 0.000877022-0.038435j 
0.232172+0.013659j -0.0805136-1.38778e-17j -0.107861+0.0312072j 0.0125414-0.11042j -0.134357-0.122341j -0.0307404-0.138179j -0.108032+0.0507609j -0.17613+0.027637j 0.00937588+0.0386944j -0.00844614+0.00987382j -0.0273777-0.0511613j 0.0159397+0.0102639j 0.0557477+0.00899049j 0.0427684+0.0233621j -0.00649574-0.145149j -0.0112013-0.0328839j 0.00297481+0.0748913j -0.0395263-0.0248642j 0.0185402-0.0397j -0.0191483-0.0432532j 0.079153+0.0469262j -0.0152414+0.0181925j -0.0298337-0.00423913j -0.0132809-0.0408607j -0.00431116+0.0165136j -0.0153629-0.0131193j -0.0299175+0.0479764j -0.0411701+0.00475589j 0.0313521-0.00259307j -0.047288-0.0767118j -0.03956-0.025666j 0.045232-0.00989631j 0.00697546+0.0221961j 0.070955-0.0211117j 0.0213236-0.0497253j 0.0844623-0.113239j 0.102227-0.132805j -0.0771797+0.0184826j -0.0083657+0.00864267j 0.0814754+0.266195j 
-0.0653013+0.0137243j -0.107861-0.0312072j -0.0716451+5.55112e-17j 0.000357847-0.0892348j -0.108032-0.0794665j -0.040263-0.11832j -0.0811414-0.0477775j -0.094828-0.00617322j -0.0653829+0.031324j 0.0310331+0.0266652j 0.0507601-0.00825087j 0.00321659+0.019169j 0.0981236-0.0580862j 0.0589894+0.0392129j -0.0353938-0.108883j -0.0420964+0.0773432j -0.0170125+0.0464823j -0.0137024-0.0246268j 0.0212647-0.0510849j -0.00515588-0.011894j 0.129497+0.0548974j 0.0280708+0.0354147j -0.0573385+0.0139829j -0.0278013-0.00308494j -0.0457613+0.0235982j 0.00064044-0.0171892j -0.0268663-0.024229j -0.0131706-0.0253887j 0.0507995-0.00643823j -0.0785504-0.0946323j -0.0307595-0.0386534j 0.0333478+0.0579345j -0.0201316-0.0306155j 0.0897555-0.0462452j -0.0263344-0.0691429j 0.027178-0.0982523j 0.131625-0.0721847j -0.041603+0.0795063j -0.126162+0.0708517j 0.160512+0.358857j 
-0.0190144+0.0302756j 0.0118368+0.110497j -0.000211417+0.0892353j 0.0885378+0.000564822j -0.224068+0.210873j -0.155306-0.16463j 0.0353161+0.0211799j 0.138939+0.138943j 0.104982-0.0711684j 0.00908494+0.0628966j 0.0565252-0.00180267j 0.024388+0.0690035j 0.0949646+0.104971j 0.136928-0.145664j -0.117277+0.00491554j -0.127431+0.0140869j -0.000822742-0.00658551j 0.0242787-0.0117594j 0.017009+0.0058736j -0.054275+0.0823779j 0.0126643-0.0619846j -0.0435815+0.0253638j -0.0991132+0.051786j 0.0200434+0.0158921j 0.0647573+0.0457524j 0.0358531-0.0265607j -0.00330063-0.061236j 0.0320083+0.0378446j -0.0317989+0.0318255j 0.0731478+0.0179859j -0.0494228+0.0668183j 0.0549971-0.0128307j 0.121618+0.0510403j -0.0137652-0.110523j 0.00391102-0.0843761j -0.0442274+0.0971904j -0.0544546-0.0909596j 0.200959-0.0294242j -0.106825-0.270028j 0.102416-0.0811868j 
-0.0448807-0.0583187j -0.134357+0.122341j -0.108032+0.0794665j -0.222718-0.212298j 0.0408335-1.38778e-17j -0.212997+0.247295j 0.0881065+0.247189j -0.0870805+0.0844819j -0.0690045-0.0990745j -0.110445+0.147463j -2.82279e-05+0.0242288j -0.0560493-0.0168253j -0.0412844+0.00305369j -0.0466241+0.0675625j -0.00461852+0.120117j -0.0995023+0.0104732j -0.0765842-0.00264615j 0.0253675+0.0599345j -0.0812697-0.0998304j 0.0372136-0.0150569j 0.0730788-0.0479807j 0.0231608+0.037069j -0.0268387+0.00102237j -0.0234957-0.0232845j 0.0659877-0.0686509j 0.0122682-0.0076957j 0.0132929-0.0198072j 0.0327113-0.0158059j -0.0230078+0.00335762j -0.00635687-0.0388412j -0.0249959+0.0215027j -0.0767673-0.0310905j -0.0466585+0.12858j 0.0291311-0.0106512j -0.0445785+0.0945318j -0.0133942-0.108502j -0.00552404+0.202809j -0.0999671-0.0327097j 0.107246+0.0411354j 0.0812357-0.0878274j 
0.0876688-0.0402258j -0.0307404+0.138179j -0.040263+0.11832j -0.156353+0.163636j -0.212997-0.247295j 0.32112+2.498e-16j 0.232583-0.0796485j -0.0180367+0.21512j 0.0284184+0.0592296j 0.0974428+0.0773322j -0.0736678-0.0570906j 0.0285791-0.0219676j -0.0664717+0.0430486j -0.0372439-0.0116051j 0.0147724+0.00671518j -0.0588293+0.0265983j -0.0642639-0.0155285j -0.0229977+0.0766624j -0.0820072-0.011011j -0.086851-0.0135946j 0.00810109-0.0276941j 0.02712+0.00254297j -0.0157895+0.0132458j 0.00753385-0.0152795j -0.0397056-0.0235772j -0.0392877+0.00195139j -0.00811401+0.0319179j -0.108243+0.0206941j -0.0514998+0.0411542j 0.0511935+0.0342934j -0.0143079+0.0276692j -0.00361485-0.022777j -0.0220309+0.0307575j -0.00845064-0.0436035j 0.0416204-0.0557556j 0.00476641+0.0102661j 0.00929072+0.00144221j -0.0382836-0.0337747j 0.098418-0.0580879j -0.000327638-0.0614157j 
0.0207773-0.0246273j 0.00160312-0.119353j -0.0770279-0.0541601j 0.0337265+0.0236293j 0.261509-0.0218675j 0.0235368+0.244713j 0.00717441+0.0158176j -0.0428916-0.217481j -0.243969+0.050839j -0.0102451+0.0176306j 0.0325125+0.0296331j -0.0415205+0.0423881j 0.0251416+0.0917287j 0.179093-0.0202462j -0.0885959-0.0656132j -0.0432785-0.0351243j -0.00372824+0.0724002j -0.00446849-0.0622807j 0.0162944-0.0106154j 0.0326065-0.00360342j 0.0687212-0.109273j -0.0471755+0.0253163j -0.0153993+0.0206282j 0.0454521+0.000406571j 0.0211995-0.0243309j 0.0403735+0.0157485j 0.0566077-0.00142426j -0.0274724+0.0329335j -0.0219877+0.0188152j -0.0187681+0.0663213j -0.0375169+0.0489103j 0.0285868+0.093639j 0.0386723+0.11803j 0.127504-0.0126019j -0.0981784+0.00759837j -0.0761223+0.00451107j 0.0852077-0.0936827j 0.311703+0.0108703j -0.0117448-0.277845j 0.0691209+0.0413523j 
0.0169405+0.0334374j -0.17613-0.027637j -0.094828+0.00617322j 0.139823-0.138054j -0.0870805-0.0844819j -0.0180367-0.21512j -0.215777+0.0507733j -0.180547+1.91791e-14j 0.0901478+0.141611j -0.112229-0.0770059j -0.0197792+0.0166853j -0.0295049-0.0187231j -0.0738394+0.0372601j -0.0434212-0.00447079j 0.0436802+0.0922124j 0.0360329-0.0333526j 0.0149577+0.0048028j -0.0562758+0.0177612j 0.0441719-0.0387301j -0.0376547-0.017781j -0.000419017-0.0535512j -0.0165685+0.00549601j 0.0246212-0.0125481j 0.0743197-0.0493272j 0.0175006+0.0351042j -0.0439989+0.00368242j -0.0452171+0.0300135j 0.00288513+0.0607372j -0.0861269-0.0448176j 0.0294413+0.0264779j -0.0082663+0.0514646j -0.0552096-0.0876435j -0.0431439+0.0904865j -0.0880493-0.0873436j 0.0613634+0.0193599j 0.0581552-0.104347j -0.113834+0.0351005j -0.0663238-0.120155j 0.218403-0.116733j -0.102756-0.28074j 
0.0159136+0.0232298j 0.00937588-0.0386944j -0.0653829-0.031324j 0.104526+0.0718367j -0.0690045+0.0990745j 0.0284184-0.0592296j -0.054477-0.243183j 0.0901478-0.141611j -0.239357-4.20219e-14j 0.102448-0.048378j -0.0591756+0.0293078j -0.0797222-0.0189963j -0.111953-0.104071j -0.0293089+0.0848021j -0.117342+0.227768j -0.0764399+0.0476436j -0.14129+0.0738275j 0.0778312+0.0225105j -0.042741-0.0615743j 0.0275427+0.0366726j 0.102631-0.0968811j -0.0800815+0.0571812j -0.0745227+0.0137484j -0.0179488-0.0603212j 6.33291e-05-0.00614678j 0.0026348+0.0213544j -0.00374559+0.0282025j -0.0523413-0.0333685j -0.0348226+0.076437j 0.032562-0.0825207j -0.127177-0.0126451j -0.0923077-0.00981692j -0.0583141+0.183329j 0.0115648-0.160339j -0.0955674+0.00237501j -0.0479142-0.022209j 0.0921349+0.250307j -0.102225-0.0760439j 0.0912221+0.0551649j 0.151272-0.025065j 
-0.0212015-0.0294468j -0.00844614-0.00987382j 0.0310331-0.0266652j 0.00948599-0.0628374j -0.110445-0.147463j 0.0974428-0.0773322j 0.0118243-0.0166129j -0.112229+0.0770059j 0.102448+0.048378j -0.0313737-1.08247e-15j 0.105711+0.188564j -0.0849762+0.0827417j 0.232441-0.168293j -0.0530203+0.0439531j -0.140999+0.19507j -0.0208341+0.133929j 0.105523-0.10903j -0.0285639+0.0110205j 0.0583407-0.0967792j -0.00296584-0.00181199j 0.0496413+0.0427378j 0.0200298+0.0474529j -0.0636603-0.0336087j -0.0216518+0.0286312j -0.0593386+0.0278672j 0.0689261+0.020074j 0.0866764-0.00889245j 0.0302281-0.0356524j 0.0362321-0.0930317j 0.0325748-0.0108456j 0.0405374-0.00405763j -0.0522077+0.057628j -0.0532447-0.131136j -0.00236492+0.0829784j -0.126574+0.115509j -0.132668+0.17193j -0.0389502+0.205563j 0.0782552+0.0429867j -0.126171+0.130887j 0.0359381-0.0492124j 
0.0243153+0.0323127j 0.0547824-0.0191289j -0.03178-0.0404314j -0.0401349-0.039844j -0.0163789+0.017854j 0.09287+0.00783883j -0.0179947-0.040142j 0.00326576+0.02567j 0.0237218+0.0616277j -0.205448+0.0672501j 0.214142+0.19691j -0.35166-0.201178j 0.163203+0.130165j 0.0428713+0.145483j -0.210244+0.150405j 0.0367511+0.0672937j -0.0638829-0.100935j 0.175464-0.0540901j -0.0412687+0.0595062j -0.037908-0.0303699j -0.0560706-0.0757022j 0.112141+0.0692874j -0.100104-0.0209126j -0.0316048+0.0375793j 0.0328314-0.00396298j -0.0225521-0.000132385j -0.0472915-0.00625599j 0.00147956-0.0130438j 0.0465069-0.0847387j -0.0303757-0.0880619j -0.00396287+0.031963j -0.0694736-0.0694529j 0.0698621-0.08911j 0.0509276-0.0195463j -0.0312357-0.000180988j 0.00755989+0.0101505j 0.000592502+0.0917315j 0.0830587+0.0894727j -0.00957896-0.0199954j 0.0167439-0.0274452j 
