0.383669+1.38778e-17j 0.477047-0.00860839j -0.313191+0.0249207j -0.321185+0.00244458j -0.0779166-0.0109551j -0.0165521-0.00384346j 0.137394+0.00849953j -0.0371125+0.018588j -0.0483291-0.0124356j -0.0231666+0.015097j -0.0748789-0.0144489j -0.0426201-0.0840021j -0.00726175-0.0445879j 0.00914058-0.0160739j -0.0339003-0.042634j -0.0152158-0.0927466j 0.00635069+0.0509478j 0.0164296-0.0569698j -0.0333694+0.0033981j 0.0572714-0.0314683j 0.00133505+0.00780462j 0.026482+0.0332014j 0.069066+0.035705j -0.0030492+0.0298283j 0.00254214-0.0114642j 0.0695781+0.0506207j 0.0053864-0.0137119j 0.047028-0.0115043j -0.0487423-0.00459435j 0.0245777-0.0470817j 0.0297007-0.0374002j -0.0734899+0.0915503j -0.121547+0.101879j -0.0771199+0.0834353j 0.0884057+0.0302237j -0.0887862-0.240735j 
0.026482-0.0332014j 0.0274307+0.0195706j 0.017888-0.0263357j 0.0182524-0.00442753j -0.0236302-0.0345866j 0.00797884-0.0115258j -0.0232477+0.0085679j -0.122354-0.0431565j -0.0443938+0.0703394j -0.125576-0.0282558j -0.031297+0.122353j 0.105045+0.081035j -0.0112142+0.00309892j 0.0411456+0.0430643j 0.061561+0.0537513j 0.00193902-0.0549314j 0.00510027-0.0276428j -0.0568763+0.0862303j 0.00714017-0.050728j -0.0849704+0.083168j 0.0174636-0.0399094j 0.0482069-7.56339e-16j -0.073277+0.0348563j -0.0809012-0.00636099j 0.0897439-0.0951708j 0.117406+0.0391322j 0.176449+0.00976394j -0.168982-0.314124j 0.0375323-0.0849215j -0.0566549-0.247639j 0.172259-0.134043j -0.0923363-0.041157j 0.111132-0.155447j 0.195212-0.0833952j 0.096794-0.0594256j -0.126556-0.076524j 
0.069066-0.035705j -0.0162478-0.00831993j 0.0177011+0.0142419j 0.0185008-0.000814303j 0.0275177+0.0341759j 0.0138055+0.0319832j 0.00599177-0.0402848j 0.0706963-0.0189813j 0.0124866-0.0540689j 0.0738238-0.00817589j 0.0605771-0.0462201j -0.0547082-0.0727799j -0.0374579-0.00235951j -0.0341065+0.0308856j -0.0327319-0.0487383j 0.0190347+0.0228535j 0.00178426+0.060883j -0.0687461-0.0462559j 0.000555756-0.0560106j 0.042125-0.0103011j -0.0495228+0.000214671j -0.073277-0.0348563j 0.227857+3.17888e-15j 0.0389697+0.044164j 0.073467-0.0208475j -0.155407-0.0287363j 0.0245077+0.111064j -0.348981-0.214831j -0.0483786+0.349477j -0.108423+0.225036j -0.0581361-0.0863694j 0.194922-0.0512815j 0.0950099-0.186105j -0.0100488+0.000468914j -0.0136972-0.0610559j -0.0864864-0.034135j 
-0.0030492-0.0298283j 0.0202615-0.00713901j 0.114851+0.0243773j 0.0192489-0.0543508j 0.0126398-0.0280986j 0.0186143+0.00963591j -0.0281539+0.0104285j -0.0389648-0.111828j 0.000152004-0.0483111j 0.0186431-0.00243383j 0.0513708+0.0497658j 0.0684296+0.0234639j -0.0606613-0.0293201j -0.0517047-0.0227258j -0.0260976-0.00589958j 0.0977988+0.0167421j -0.031755-0.00737224j -0.102177+0.007953j 0.0290065-0.173321j -0.0709454+0.0232143j 0.049207-0.0224246j -0.0809012+0.00636099j 0.0389697-0.044164j 0.0138963-5.71591e-16j 0.260533-0.0884279j -0.014226-0.0257739j -0.102082-0.0552843j 0.119128+0.143065j -0.172299+0.122854j -0.158225+0.193291j 0.153303+0.0539353j -0.289619+0.033558j -0.0229167+0.0781367j 0.0959911+0.0450052j 0.0643591+0.033171j -0.00312059+0.0589018j 
0.00254214+0.0114642j -0.0254243-0.0190054j -0.0259412+0.0387704j -0.036531+0.0337321j -0.0120131-0.0307017j 0.00440266+0.0610412j -0.0498077+0.0406333j -0.092623-0.0650726j -0.00627138-0.0646014j -0.0621902-0.116816j 0.0711524+0.0493204j 0.00796804+0.0806574j -0.0155379-0.0302091j 0.0195116-0.00136013j -0.0386332+0.0328949j 0.00654167+0.0161522j 0.000558385-0.00686723j -0.0411035-0.0422274j 0.074932+0.000260506j -0.127287-0.00718527j 0.0160121+0.00587947j 0.0897439+0.0951708j 0.073467+0.0208475j 0.260533+0.0884279j -0.171562-3.85803e-14j -0.217457+0.275015j 0.243915-0.433507j 0.0210001-0.148567j -0.0140989+0.0394957j -0.0322205+0.0525314j -0.00184741+0.147492j -0.0151061-0.0322484j 0.0113593-0.00159643j 0.0125698+0.0283022j 0.0031662+0.030817j 0.00983467-0.0183271j 
0.0695781-0.0506207j -0.0106839-0.0204159j 0.0782236-0.0057979j -0.0274403-0.0466711j -0.0525053-0.0512047j -0.0368597+0.0148881j 0.00577958-0.00522407j -0.0539612-0.0419678j -0.0359575-0.0517222j 0.0199591-0.0726363j -0.123594-0.0311914j 0.0788462-0.0399943j -0.0783488+0.00550906j 0.00426903+0.0294498j -0.097745+0.00576168j 0.0222863-0.0255402j -0.0432429+0.0217064j -0.160838+0.0478796j -0.101839-0.121492j 0.0491118-0.0280484j 0.024716-0.0237083j 0.117406-0.0391322j -0.155407+0.0287363j -0.014226+0.0257739j -0.217457-0.275015j -0.145243+7.63278e-16j -0.0529816-0.0634033j -0.0225599-0.0232776j 0.185467+0.148001j 0.268183+0.114696j 0.219119-0.0953006j 0.0342884-0.0169048j -0.00886493+0.0185244j 0.0423979+0.0326265j 0.0330984-0.0112992j 0.0334761+0.054426j 
0.0053864+0.0137119j 0.00741533-0.034364j 0.0226001+0.0202061j -0.0234014+0.024062j -0.00773733+0.0619201j -0.0369537+0.0510608j 0.0099917+0.011717j -0.0231142-0.0380994j -0.0429598-0.0733171j -0.021395-0.0641452j -0.102524-0.0749962j 0.0202857+0.0154178j -0.0465004-0.012415j -0.00909374-0.0351644j -0.0530117+0.0479803j 0.0287227+0.0384611j -0.0215053-0.00615395j -0.104857-0.0314948j -0.031133+0.0353567j 0.122131+0.0320523j -0.0518742-0.0185472j 0.176449-0.00976394j 0.0245077-0.111064j -0.102082+0.0552843j 0.243915+0.433507j -0.0529816+0.0634033j -0.305361-3.44169e-15j -0.0613675-0.0367806j 0.145841+0.0326189j 0.0660686+0.0558608j -0.0892321+0.195315j 0.0299564-0.079231j 0.0429477-0.0647188j 0.097122+0.0171128j 0.034346+0.0202072j -0.0310648-0.0449869j 
0.047028+0.0115043j 0.015011+0.00348292j 0.0940236-0.0380985j 0.015062+0.0799241j -0.00698295+0.0234986j 0.0455473-0.032711j 0.0186668-0.116502j 0.0442187+0.103158j 0.0768573+0.0634114j 0.119341+0.0306669j -0.00202313+0.00227258j -0.011194+0.0819778j 0.005113+0.036598j 0.0492806+0.040028j -0.0284361+0.00695889j -0.000764678+0.0535349j -0.0292689+0.0267754j 0.0959646-0.07964j -0.142033-0.13758j -0.137985-0.138057j 0.228827-0.0459003j -0.168982+0.314124j -0.348981+0.214831j 0.119128-0.143065j 0.0210001+0.148567j -0.0225599+0.0232776j -0.0613675+0.0367806j -0.0145714+5.82867e-16j -0.00330106+0.0321433j -0.000949389+0.0111498j -0.0574514+0.0419185j 0.0326065-0.0452041j 0.0312482-0.0354704j 0.0534901-0.0201481j 0.0445083-0.00162437j -0.0387364-0.0367452j 
-0.0487423+0.00459435j 0.00741097+0.00494073j -0.070083+0.0184122j 0.0650007-0.0211195j -0.00168439-0.0836513j -0.0426419+0.0101302j 0.0607364+0.0381222j -0.0653667-0.00254603j -0.0919777-0.0840573j 0.0515783+0.119011j 0.0342856-0.14726j -0.0326267+0.0697548j 0.0449591-0.0370242j 0.0199569+0.101889j -0.0535443+0.0155545j -0.0257787-0.0736032j -0.137571-0.220526j 0.128919-0.0507958j 0.0746666-0.0552517j 0.102148-0.029251j 0.374116-0.140643j 0.0375323+0.0849215j -0.0483786-0.349477j -0.172299-0.122854j -0.0140989-0.0394957j 0.185467-0.148001j 0.145841-0.0326189j -0.00330106-0.0321433j 0.0116389-5.55112e-17j 0.0361485-0.00978977j -0.118613+0.0164696j 0.0251161+0.0210765j 0.0176806-0.0172129j 0.034368-0.0280918j 0.0112304-0.00163485j -0.0190066-0.0140947j 
0.0245777+0.0470817j -0.0264602-0.0292002j 0.010357+0.0934913j -0.0708206+0.00157194j 0.00209048-0.0291656j 0.0285291-0.184869j -0.0548074+0.0417778j 0.04507-0.0228095j 0.105465+0.0623567j -0.00388234-0.0473754j 0.023163-0.148137j 0.00641673+0.122249j 0.0579577-0.00870404j 0.00771915-0.00334099j 0.0425038-0.150548j 0.0052552+0.0205195j 0.110917+0.126517j -0.0140814-0.0470125j 0.0106809-0.0368845j -0.0937663+0.264928j -0.319024+0.131006j -0.0566549+0.247639j -0.108423-0.225036j -0.158225-0.193291j -0.0322205-0.0525314j 0.268183-0.114696j 0.0660686-0.0558608j -0.000949389-0.0111498j 0.0361485+0.00978977j 0.0738155-2.498e-16j -0.0338459+0.0195096j 0.0246896+0.0183212j 0.00438926-0.00384143j 0.0294929-0.0178935j 0.00817304+0.00303416j 0.00207125-0.00916487j 
0.0297007+0.0374002j 0.0567293+0.0232684j 0.0262275+0.0218161j 0.145123+0.0911681j 0.0916972-0.0209088j 0.0508986+0.0268115j 0.0678343+0.0202073j 0.220446+0.141841j -0.0457172-0.00619197j -0.211954+0.0336762j 0.0556845+0.0199863j 0.0558111+0.1019j -0.0178909+0.0109884j -0.0234715+0.0296256j 0.12637+0.0500445j 0.0475762+0.000457566j -0.025195-0.0818498j -0.0949552-0.0910086j -0.0816601-0.0543425j 0.168817-0.0450202j 0.0674884-0.0834961j 0.172259+0.134043j -0.0581361+0.0863694j 0.153303-0.0539353j -0.00184741-0.147492j 0.219119+0.0953006j -0.0892321-0.195315j -0.0574514-0.0419185j -0.118613-0.0164696j -0.0338459-0.0195096j 0.145225+4.16334e-16j 0.0443277+0.0613849j -0.0343553+0.0134597j -0.149662-0.0130761j -0.0476208-0.00331977j 0.00212902-0.0135377j 
-0.0734899-0.0915503j -0.0499368-0.0785033j -0.0649753-0.117924j -0.0641975-0.069828j -0.0283535+0.0802814j -0.0197709+0.0105367j -0.0639224-0.0759375j -0.0527937+0.23555j -0.00324971-0.0381749j 0.0711244-0.204893j -0.0298736-0.0428508j -0.0909833-0.0402954j -0.0104313-0.0348749j -0.0164887-0.0728965j 0.0223057+0.153441j -0.0327159+0.0647926j -0.0143683-0.00281249j -0.0297665-0.223711j 0.00659438-0.121808j 0.0421871+0.252229j 0.00486589-0.326114j -0.0923363+0.041157j 0.194922+0.0512815j -0.289619-0.033558j -0.0151061+0.0322484j 0.0342884+0.0169048j 0.0299564+0.079231j 0.0326065+0.0452041j 0.0251161-0.0210765j 0.0246896-0.0183212j 0.0443277-0.0613849j -0.0317841-5.55112e-17j -0.0321878+0.0162463j -0.0414511-0.00628628j -0.0301808-0.0313104j 0.0257402+0.0247233j 
-0.121547-0.101879j 0.019498+0.0726566j -0.194527-0.155368j 0.013953+0.261165j 0.0585004+0.0358904j -0.134965-0.196073j -0.171001+0.0434329j 0.0780541-0.0400791j 0.0148663-0.102142j -0.0374677+0.0108569j 0.0140063+0.0487947j 0.0193878+0.0085752j 0.00274783+0.0386798j -0.0341271+0.0141091j -0.0957938-0.137062j 0.106196+0.0258386j 0.0127229-0.107609j -0.161727+0.0695405j -0.0895954-0.0679375j 0.0157545-0.040035j 0.227857+0.153795j 0.111132+0.155447j 0.0950099+0.186105j -0.0229167-0.0781367j 0.0113593+0.00159643j -0.00886493-0.0185244j 0.0429477+0.0647188j 0.0312482+0.0354704j 0.0176806+0.0172129j 0.00438926+0.00384143j -0.0343553-0.0134597j -0.0321878-0.0162463j -0.00839038+4.85723e-17j -0.00246485-0.00721843j -0.0164236-0.00402929j 0.00668362-0.00725736j 
-0.0771199-0.0834353j -0.014074-0.025381j -0.0761021-0.163581j -0.14401-0.183036j 0.0111738-0.0914509j 0.137605+0.0468951j -0.155893-0.217333j 0.102004-0.0883698j 0.00283404+0.0400147j -0.0714487+0.151641j 0.0426739-0.00749253j 0.0905025+0.105068j 0.0102435+0.0219406j 0.0335473+0.0960173j 0.219057+0.0508313j 0.0224288-0.0289306j 0.0116743-0.0863373j -0.146936-0.0923908j 0.0075121+0.0758404j -0.0352578-0.303866j -0.0217602-0.139913j 0.195212+0.0833952j -0.0100488-0.000468914j 0.0959911-0.0450052j 0.0125698-0.0283022j 0.0423979-0.0326265j 0.097122-0.0171128j 0.0534901+0.0201481j 0.034368+0.0280918j 0.0294929+0.0178935j -0.149662+0.0130761j -0.0414511+0.00628628j -0.00246485+0.00721843j 0.0761239-1.8735e-16j 0.0126332-5.06621e-05j 0.00289762-0.00607095j 
0.0884057-0.0302237j 0.0559592-0.0828346j -0.0287801-0.0172003j 0.332678-0.240236j 0.0554879-0.0339501j -0.292359-0.0427907j 0.167503-0.182666j -0.148528-0.14546j 0.0538032+0.198436j -0.115094-0.073322j 0.0437355+0.0126085j 0.0503201+0.0916739j 0.0545421+0.0323346j -0.0636887-0.0374654j -0.218334+0.0218064j 0.0365691+0.0326519j 0.0611715+0.33972j 0.0501453-0.0862519j 0.110099+0.127961j -0.0032765+0.055687j -0.161855+0.0840705j 0.096794+0.0594256j -0.0136972+0.0610559j 0.0643591-0.033171j 0.0031662-0.030817j 0.0330984+0.0112992j 0.034346-0.0202072j 0.0445083+0.00162437j 0.0112304+0.00163485j 0.00817304-0.00303416j -0.0476208+0.00331977j -0.0301808+0.0313104j -0.0164236+0.00402929j 0.0126332+5.06621e-05j 0.0110843+2.77556e-17j 0.000969651-0.00280752j 
-0.0887862+0.240735j 0.0283543+0.0163825j -0.282873+0.310292j 0.058647-0.01383j 0.0720297-0.0128871j -0.207859+0.20385j -0.193796+0.0613697j 0.123853+0.200303j 0.123232+0.126731j 0.0304686+0.105277j 0.00844905-0.0045183j 0.0128996+0.0176341j 0.0376849+0.0229488j -0.0105627+0.0812882j -0.0884375+0.125316j 0.0977119-0.0296895j 0.170919+0.181596j -0.0693198+0.163368j -0.195532-0.181509j -0.117859-0.0949012j -0.00918977-0.0326158j -0.126556+0.076524j -0.0864864+0.034135j -0.00312059-0.0589018j 0.00983467+0.0183271j 0.0334761-0.054426j -0.0310648+0.0449869j -0.0387364+0.0367452j -0.0190066+0.0140947j 0.00207125+0.00916487j 0.00212902+0.0135377j 0.0257402-0.0247233j 0.00668362+0.00725736j 0.00289762+0.00607095j 0.000969651+0.00280752j -0.01069+1.11022e-16j 
