0.383669+1.38778e-17j 0.477047-0.00860839j -0.313191+0.0249207j -0.321185+0.00244458j -0.0779166-0.0109551j -0.0165521-0.00384346j 0.137394+0.00849953j -0.0371125+0.018588j -0.0483291-0.0124356j -0.0231666+0.015097j -0.0748789-0.0144489j -0.0426201-0.0840021j -0.00726175-0.0445879j 0.00914058-0.0160739j -0.0339003-0.042634j -0.0152158-0.0927466j 0.00635069+0.0509478j 0.0164296-0.0569698j -0.0333694+0.0033981j 0.0572714-0.0314683j 0.00133505+0.00780462j 0.026482+0.0332014j 0.069066+0.035705j -0.0030492+0.0298283j 0.00254214-0.0114642j 0.0695781+0.0506207j 0.0053864-0.0137119j 0.047028-0.0115043j -0.0487423-0.00459435j 0.0245777-0.0470817j 0.0297007-0.0374002j -0.0734899+0.0915503j -0.121547+0.101879j -0.0771199+0.0834353j 0.0884057+0.0302237j -0.0887862-0.240735j 
-0.0426201+0.0840021j 0.0333298-0.0390983j 0.0324041+0.0970755j -0.0258557+0.0633472j 0.0260581-0.0495323j -0.00701922-0.0159294j -0.0117777+0.0438908j 0.0357358-0.0382061j 0.0291868-0.0767943j 0.282725-0.0271743j 0.0110532-0.284765j -0.00715509-2.36616e-15j 0.249712+0.0667824j -0.13238-0.0718186j -0.0201857+0.0625129j -0.0231216+0.172064j -0.00519228+0.0203989j -0.0958795-0.144305j 0.167397-0.0115545j 0.0366872-0.0858036j -0.0118436+0.0433124j 0.105045-0.081035j -0.0547082+0.0727799j 0.0684296-0.0234639j 0.00796804-0.0806574j 0.0788462+0.0399943j 0.0202857-0.0154178j -0.011194-0.0819778j -0.0326267-0.0697548j 0.00641673-0.122249j 0.0558111-0.1019j -0.0909833+0.0402954j 0.0193878-0.0085752j 0.0905025-0.105068j 0.0503201-0.0916739j 0.0128996-0.0176341j 
-0.00726175+0.0445879j -0.0465857+0.0704903j -0.076137+0.0673665j -0.00644515+0.0320553j -0.0053013+0.0537038j 0.00700369+0.00110308j -0.050001+0.0398674j 0.142903-0.0436566j 0.019442-0.011573j 0.0670079+0.27245j 0.131877+0.224688j 0.249712-0.0667824j -0.231489-1.249e-15j -0.0420873-0.162847j -0.113688+0.0453391j -0.183818+0.114284j 0.00790993+0.0266264j 0.0546635-0.204671j 0.125705-0.00477297j 0.045424+0.0904727j -0.0154791-0.0111692j -0.0112142-0.00309892j -0.0374579+0.00235951j -0.0606613+0.0293201j -0.0155379+0.0302091j -0.0783488-0.00550906j -0.0465004+0.012415j 0.005113-0.036598j 0.0449591+0.0370242j 0.0579577+0.00870404j -0.0178909-0.0109884j -0.0104313+0.0348749j 0.00274783-0.0386798j 0.0102435-0.0219406j 0.0545421-0.0323346j 0.0376849-0.0229488j 
0.00914058+0.0160739j -0.0158753-0.0202421j 0.0511104+0.103101j -0.0647051-0.157584j 0.0278392+0.048129j -0.00942407+0.091629j -0.0388847-0.0502633j 0.0248829+0.107813j 0.314645-0.155833j -0.129347-0.0498576j 0.02497+0.104189j -0.13238+0.0718186j -0.0420873+0.162847j -0.0309204+1.11022e-16j -0.0819057-0.301353j 0.0110188+0.0921762j -0.260986-0.0281897j -0.0116635+0.0025638j 0.0758204+0.00825937j 0.0108815-0.0179619j 0.00585505-0.0522595j 0.0411456-0.0430643j -0.0341065-0.0308856j -0.0517047+0.0227258j 0.0195116+0.00136013j 0.00426903-0.0294498j -0.00909374+0.0351644j 0.0492806-0.040028j 0.0199569-0.101889j 0.00771915+0.00334099j -0.0234715-0.0296256j -0.0164887+0.0728965j -0.0341271-0.0141091j 0.0335473-0.0960173j -0.0636887+0.0374654j -0.0105627-0.0812882j 
-0.0339003+0.042634j -0.0160074+0.0419426j -0.0725273+0.00208342j 0.037458+0.0391604j 0.0247258-0.00211144j -0.0171454-0.0267804j -0.0156872+0.0201191j 0.0198267+0.0431256j -0.0179919+0.0982618j 0.0728044+0.0040742j -0.0470868+0.0255014j -0.0201857-0.0625129j -0.113688-0.0453391j -0.0819057+0.301353j 0.121764-7.41421e-15j 0.219853+0.146352j 0.0300952-0.0180724j 0.162519-0.0785281j 0.105578+0.104652j -0.0302707+0.0815423j -0.014017+0.00960251j 0.061561-0.0537513j -0.0327319+0.0487383j -0.0260976+0.00589958j -0.0386332-0.0328949j -0.097745-0.00576168j -0.0530117-0.0479803j -0.0284361-0.00695889j -0.0535443-0.0155545j 0.0425038+0.150548j 0.12637-0.0500445j 0.0223057-0.153441j -0.0957938+0.137062j 0.219057-0.0508313j -0.218334-0.0218064j -0.0884375-0.125316j 
-0.0152158+0.0927466j 0.0408178-0.0415909j -0.0938941+0.0936561j 0.123865-0.0188888j -0.0661718+0.0158013j -0.116017-0.000540091j 0.0439754-0.0251059j -0.0543875+0.0151486j 0.187096+0.262362j 0.109353-0.134909j -0.156746+0.0273673j -0.0231216-0.172064j -0.183818-0.114284j 0.0110188-0.0921762j 0.219853-0.146352j -0.0855452-6.80012e-15j 0.00469745-0.189447j -0.0986894-0.0520284j 0.00878982-0.0250577j 0.0369748-0.0970283j 0.029085+0.0632937j 0.00193902+0.0549314j 0.0190347-0.0228535j 0.0977988-0.0167421j 0.00654167-0.0161522j 0.0222863+0.0255402j 0.0287227-0.0384611j -0.000764678-0.0535349j -0.0257787+0.0736032j 0.0052552-0.0205195j 0.0475762-0.000457566j -0.0327159-0.0647926j 0.106196-0.0258386j 0.0224288+0.0289306j 0.0365691-0.0326519j 0.0977119+0.0296895j 
0.00635069-0.0509478j 0.00573423-0.0114124j 0.0135619-0.0378898j -0.0420839-0.0274746j 0.00169114+0.0324335j 0.00812415+0.0163581j 0.00537639-0.0133813j -0.0468861+0.0364731j -0.00400976-0.0303069j -0.0696792+0.0126913j 0.0162548+0.00761674j -0.00519228-0.0203989j 0.00790993-0.0266264j -0.260986+0.0281897j 0.0300952+0.0180724j 0.00469745+0.189447j -0.0494672+4.30211e-16j 0.0780602+0.175277j -0.0740824+0.0676837j -0.0495339+0.0174884j 0.00159695-0.0273174j 0.00510027+0.0276428j 0.00178426-0.060883j -0.031755+0.00737224j 0.000558385+0.00686723j -0.0432429-0.0217064j -0.0215053+0.00615395j -0.0292689-0.0267754j -0.137571+0.220526j 0.110917-0.126517j -0.025195+0.0818498j -0.0143683+0.00281249j 0.0127229+0.107609j 0.0116743+0.0863373j 0.0611715-0.33972j 0.170919-0.181596j 
0.0164296+0.0569698j 0.033335-0.0183965j -0.00877442-0.0101282j 0.152399+0.0270917j 0.070792+0.022613j 0.0211504+0.00855134j -0.00934053+0.0226684j 0.00893296-0.092339j -0.0139899+0.176924j -0.0564922-0.0531522j 0.123891+0.00513067j -0.0958795+0.144305j 0.0546635+0.204671j -0.0116635-0.0025638j 0.162519+0.0785281j -0.0986894+0.0520284j 0.0780602-0.175277j -0.129501-6.53644e-15j 0.0829396-0.0701044j -0.0723293+0.0563605j 0.0572871+0.032966j -0.0568763-0.0862303j -0.0687461+0.0462559j -0.102177-0.007953j -0.0411035+0.0422274j -0.160838-0.0478796j -0.104857+0.0314948j 0.0959646+0.07964j 0.128919+0.0507958j -0.0140814+0.0470125j -0.0949552+0.0910086j -0.0297665+0.223711j -0.161727-0.0695405j -0.146936+0.0923908j 0.0501453+0.0862519j -0.0693198-0.163368j 
-0.0333694-0.0033981j -0.00848529-0.0298473j -0.0759754-0.0413476j 0.0152702-0.0670323j -0.00316804-0.0182358j -0.0205997-0.0254313j -0.00545958+0.030293j -0.120225+0.0607596j 0.12853+0.0995669j -0.00889358+0.130494j 0.0926886-0.106167j 0.167397+0.0115545j 0.125705+0.00477297j 0.0758204-0.00825937j 0.105578-0.104652j 0.00878982+0.0250577j -0.0740824-0.0676837j 0.0829396+0.0701044j -0.0655813+4.84335e-15j 0.11722+0.11298j -0.0162113-0.0146849j 0.00714017+0.050728j 0.000555756+0.0560106j 0.0290065+0.173321j 0.074932-0.000260506j -0.101839+0.121492j -0.031133-0.0353567j -0.142033+0.13758j 0.0746666+0.0552517j 0.0106809+0.0368845j -0.0816601+0.0543425j 0.00659438+0.121808j -0.0895954+0.0679375j 0.0075121-0.0758404j 0.110099-0.127961j -0.195532+0.181509j 
0.0572714+0.0314683j 0.0339317-0.0131623j 0.0374987+0.0480131j 0.0501089-0.0662511j 0.027917-0.0526171j 0.0088263-0.0137828j -0.0119823-0.0179099j 0.133012-0.070446j 0.03945-0.0524264j -0.00380988+0.0185417j -0.0875215+0.00499116j 0.0366872+0.0858036j 0.045424-0.0904727j 0.0108815+0.0179619j -0.0302707-0.0815423j 0.0369748+0.0970283j -0.0495339-0.0174884j -0.0723293-0.0563605j 0.11722-0.11298j 0.00690887+9.99201e-16j 0.0272248+0.00140355j -0.0849704-0.083168j 0.042125+0.0103011j -0.0709454-0.0232143j -0.127287+0.00718527j 0.0491118+0.0280484j 0.122131-0.0320523j -0.137985+0.138057j 0.102148+0.029251j -0.0937663-0.264928j 0.168817+0.0450202j 0.0421871-0.252229j 0.0157545+0.040035j -0.0352578+0.303866j -0.0032765-0.055687j -0.117859+0.0949012j 
0.00133505-0.00780462j 0.0738531-0.00201178j -0.0443185-0.00913635j -0.0598856+0.0100683j 0.00821456+0.0230572j 0.00398234+0.00971565j 0.00481162+0.00863968j -0.0205055+0.0124556j -0.0113648-0.00110457j 0.0144415+0.0316144j 0.0367659-0.028104j -0.0118436-0.0433124j -0.0154791+0.0111692j 0.00585505+0.0522595j -0.014017-0.00960251j 0.029085-0.0632937j 0.00159695+0.0273174j 0.0572871-0.032966j -0.0162113+0.0146849j 0.0272248-0.00140355j -0.0209183-2.35922e-16j 0.0174636+0.0399094j -0.0495228-0.000214671j 0.049207+0.0224246j 0.0160121-0.00587947j 0.024716+0.0237083j -0.0518742+0.0185472j 0.228827+0.0459003j 0.374116+0.140643j -0.319024-0.131006j 0.0674884+0.0834961j 0.00486589+0.326114j 0.227857-0.153795j -0.0217602+0.139913j -0.161855-0.0840705j -0.00918977+0.0326158j 
