0.00708942+9.15067e-17j 0.02326-4.1262e-05j -0.0263434-0.000367834j 0.0007084+0.000462442j -0.0130281+0.000291866j -0.0346023-0.000788726j 0.0309048+0.00120167j 0.0351382+0.00246512j 0.0122142-0.000353068j -0.0622152-0.00125997j -0.0635444-0.000748599j -0.0293955+0.0041287j -0.148759-0.0018368j -0.894508+0.0067857j -0.0414336+7.57562e-05j 
0.02326+4.1262e-05j -0.00676346+1.62197e-16j -0.0118498+5.6573e-05j 0.054562+0.00111601j -0.00874594-7.32531e-05j 0.0494119+0.0005554j 0.0175528+0.000375341j -0.0426982-5.68802e-05j -0.0243877-0.000386621j -0.0449241+0.000535013j 0.0319933-0.000720463j 0.0969951-0.000583926j 0.103408+0.00694548j 0.0193667-0.00132307j -0.889714+0.00857074j 
-0.0263434+0.000367834j -0.0118498-5.6573e-05j 0.0302525-1.82146e-17j -0.046723-0.00068403j 0.0291893-0.000288277j -0.0323316+0.000925574j -0.0532169-0.00127293j 0.0636868-0.00309177j 0.0195773+0.00113911j 0.120363-0.000765474j -0.0433709+0.000642765j -0.341276-0.00227944j -0.826949+0.00989092j 0.0685706-0.00274687j -0.0997594+0.00843123j 
0.0007084-0.000462442j 0.054562-0.00111601j -0.046723+0.00068403j 0.0360086-4.38343e-16j -0.0961166-2.78069e-05j 0.0134352+0.00237394j 0.00960253-0.00219479j -0.225856-5.45073e-05j 0.072572+0.000373703j -0.1156-0.00186297j 0.110792-0.000341271j 0.803593-0.00062883j -0.308052+0.0039855j -0.000562473-0.00467306j 0.0208767+0.0031972j 
-0.0130281-0.000291866j -0.00874594+7.32531e-05j 0.0291893+0.000288277j -0.0961166+2.78069e-05j -0.00969559-1.85854e-15j -0.0370809-0.000581234j 0.124737+0.000620137j 0.0952149+0.000710645j 0.17341-0.000513579j 0.135696+0.00152831j -0.888758+0.00301325j 0.154181+8.10132e-05j 0.041721+0.00128503j 0.0339993-0.00219485j -0.0177046-0.000372184j 
-0.0346023+0.000788726j 0.0494119-0.0005554j -0.0323316-0.000925574j 0.0134352-0.00237394j -0.0370809+0.000581234j -0.203394+1.82211e-15j 0.00353819+0.000514736j -0.0970607-0.00317905j 0.0399188+0.00149306j -0.874876+0.0014574j -0.12311+0.00243722j -0.130736-0.00010732j -0.00132107-0.00118283j 0.0374578-0.00124986j 0.0103506+0.00044481j 
0.0309048-0.00120167j 0.0175528-0.000375341j -0.0532169+0.00127293j 0.00960253+0.00219479j 0.124737-0.000620137j 0.00353819-0.000514736j -0.0692921-1.03671e-15j -0.109595+0.00192486j -0.902645+0.000911332j -0.0132177+0.00123909j -0.161244+0.000855517j 0.0282285+0.000621541j -0.025891+0.00121447j -0.0030011-0.000715277j 0.0087918-0.000265341j 
0.0351382-0.00246512j -0.0426982+5.68802e-05j 0.0636868+0.00309177j -0.225856+5.45073e-05j 0.0952149-0.000710645j -0.0970607+0.00317905j -0.109595-0.00192486j 0.848739-1.15424e-15j -0.0717651-0.00130598j -0.133547+0.00156717j 0.105428-0.00100129j 0.165495+0.00149693j 0.0189234+0.0027223j 0.013171-0.00395898j -0.021815+0.00115926j 
0.0122142+0.000353068j -0.0243877+0.000386621j 0.0195773-0.00113911j 0.072572-0.000373703j 0.17341+0.000513579j 0.0399188-0.00149306j -0.902645-0.000911332j -0.0717651+0.00130598j 0.114547-1.02078e-15j -0.0234681+0.000162534j -0.113892+0.00154754j 0.031915+0.00205426j 0.0201229-0.00243445j -0.0141074+0.00165978j -0.00360346-0.000105179j 
-0.0622152+0.00125997j -0.0449241-0.000535013j 0.120363+0.000765474j -0.1156+0.00186297j 0.135696-0.00152831j -0.874876-0.0014574j -0.0132177-0.00123909j -0.133547-0.00156717j -0.0234681-0.000162534j 0.108648+1.33845e-15j 0.0519775-0.00191191j 0.0451053-0.00246121j 0.0217377+0.00130223j 0.00826247-0.000259974j -0.0184946+0.000683592j 
-0.0635444+0.000748599j 0.0319933+0.000720463j -0.0433709-0.000642765j 0.110792+0.000341271j -0.888758-0.00301325j -0.12311-0.00243722j -0.161244-0.000855517j 0.105428+0.00100129j -0.113892-0.00154754j 0.0519775+0.00191191j -0.0188892-1.8735e-15j -0.0362664+0.000305221j 0.00605501+0.000280724j 0.00643949+0.000194096j 0.00189441-0.00027866j 
-0.0293955-0.0041287j 0.0969951+0.000583926j -0.341276+0.00227944j 0.803593+0.00062883j 0.154181-8.10132e-05j -0.130736+0.00010732j 0.0282285-0.000621541j 0.165495-0.00149693j 0.031915-0.00205426j 0.0451053+0.00246121j -0.0362664-0.000305221j -0.018603-2.14943e-16j -0.00163355+0.00189138j 0.00421193-0.00184165j 0.011118-0.000880739j 
-0.148759+0.0018368j 0.103408-0.00694548j -0.826949-0.00989092j -0.308052-0.0039855j 0.041721-0.00128503j -0.00132107+0.00118283j -0.025891-0.00121447j 0.0189234-0.0027223j 0.0201229+0.00243445j 0.0217377-0.00130223j 0.00605501-0.000280724j -0.00163355-0.00189138j 0.00193053-5.20417e-18j 0.00922837-4.3115e-06j 0.00222656+0.000507693j 
-0.894508-0.0067857j 0.0193667+0.00132307j 0.0685706+0.00274687j -0.000562473+0.00467306j 0.0339993+0.00219485j 0.0374578+0.00124986j -0.0030011+0.000715277j 0.013171+0.00395898j -0.0141074-0.00165978j 0.00826247+0.000259974j 0.00643949-0.000194096j 0.00421193+0.00184165j 0.00922837+4.3115e-06j 0.00590248-1.73039e-16j -0.00810285+6.91348e-05j 
-0.0414336-7.57562e-05j -0.889714-0.00857074j -0.0997594-0.00843123j 0.0208767-0.0031972j -0.0177046+0.000372184j 0.0103506-0.00044481j 0.0087918+0.000265341j -0.021815-0.00115926j -0.00360346+0.000105179j -0.0184946-0.000683592j 0.00189441+0.00027866j 0.011118+0.000880739j 0.00222656-0.000507693j -0.00810285-6.91348e-05j -0.00573696+4.59702e-17j 
