0.802005-0j -0.00872582-0j 8.0965e-06-0j -1.90182e-09-0j 1.50823e-13-0j -4.08294e-18-0j 7.96912e-21-0j -0.00100704-0j 7.01036e-07-0j -1.24318e-10-0j 7.21847e-15-0j -1.3163e-19-0j 2.36066e-08-0j -3.74422e-12-0j 1.64819e-16-0j -6.51395e-21-0j -5.17308e-14-0j 1.86982e-18-0j -6.90693e-20-0j -8.70348e-05-0j 3.541e-08-0j -3.97135e-12-0j 1.42741e-16-0j 1.02225e-20-0j 1.33637e-09-0j -1.34401e-13-0j 3.42014e-18-0j -1.77178e-15-0j 3.06594e-20-0j 3.01869e-11-0j -1.87926e-15-0j 2.29945e-20-0j -2.59971e-17-0j 2.88647e-19-0j -5.83729e-06-0j 1.46392e-09-0j -1.04106e-13-0j 2.17253e-18-0j 4.40908e-11-0j -2.74484e-15-0j 3.35857e-20-0j -2.68497e-17-0j 1.11911e-12-0j -4.02745e-17-0j -3.61035e-19-0j 1.61612e-14-0j -2.79657e-19-0j -3.10796e-07-0j 4.9295e-11-0j -2.16998e-15-0j -4.38486e-20-0j 1.17965e-12-0j -4.2453e-17-0j -2.691e-19-0j 2.33266e-14-0j -4.0365e-19-0j 3.53492e-16-0j 2.50518e-18-0j -1.32999e-08-0j 1.33759e-12-0j -3.40382e-17-0j 2.49372e-14-0j -4.3152e-19-0j 3.65899e-16-0j 3.59312e-18-0j -4.58911e-10-0j 2.85692e-14-0j -3.49571e-19-0j 3.95216e-16-0j 3.75777e-18-0j 
-1.3163e-19-0j -3.08197e-15-0j -3.06934e-11-0j -1.22564e-07-0j -0.000135766-0j 0.00286391-0j 0.000234096-0j 2.03368e-14-0j 3.32537e-10-0j 2.01883e-06-0j 0.00384801-0j 0.943422-0j 1.43867e-11-0j 1.3004e-07-0j 0.000294401-0j -0.00258771-0j 2.27202e-09-0j 4.54541e-06-0j -7.18516e-10-0j 2.07104e-15-0j 2.87942e-11-0j 1.37828e-07-0j 0.000169233-0j -0.000634701-0j -1.3622e-10-0j -9.04016e-07-0j -0.000957754-0j -1.98647e-08-0j 6.07933e-07-0j -6.57606e-12-0j -2.81132e-08-0j 4.5562e-07-0j 4.56964e-08-0j -1.77494e-11-0j -3.48362e-14-0j -3.99368e-10-0j -1.40354e-06-0j -0.000806469-0j 1.65525e-09-0j 7.07635e-06-0j -0.000114684-0j 9.46639e-08-0j 9.47039e-11-0j 1.89465e-07-0j 7.73827e-09-0j -5.24186e-10-0j 1.60421e-08-0j 5.47954e-13-0j 4.95291e-09-0j 1.1213e-05-0j -9.85597e-05-0j -1.72035e-08-0j -3.44173e-05-0j 1.1569e-08-0j -7.56598e-10-0j 2.31547e-08-0j 3.60552e-09-0j 3.11576e-10-0j -7.86673e-12-0j -5.2207e-08-0j -5.53104e-05-0j 1.3939e-07-0j -4.26584e-06-0j 3.73207e-09-0j 4.46886e-10-0j 9.99715e-11-0j 4.27387e-07-0j -6.92648e-06-0j -6.94692e-07-0j 4.67364e-10-0j 
2.36066e-08-0j -3.29337e-07-0j 1.56124e-06-0j -1.20449e-06-0j 2.8881e-09-0j -6.10156e-13-0j 1.90377e-17-0j -0.000889033-0j 0.00329062-0j 0.000202173-0j -1.44444e-07-0j 1.43867e-11-0j 0.888032-0j -0.00425861-0j 1.42255e-06-0j -6.27706e-11-0j -0.000536726-0j 1.06916e-07-0j 1.92335e-09-0j -1.67828e-05-0j 2.24264e-05-0j -7.60472e-08-0j 2.07413e-11-0j -7.92604e-16-0j -0.0021733-0j 2.68941e-06-0j -3.78819e-10-0j -1.52919e-05-0j 1.16873e-09-0j 5.78048e-07-0j -2.73072e-10-0j 1.47575e-14-0j 2.87947e-09-0j -9.15898e-14-0j 7.92667e-05-0j 6.88736e-06-0j -6.02664e-09-0j 6.93113e-13-0j -0.000291844-0j 1.37868e-07-0j -7.45074e-12-0j -5.11011e-07-0j 6.47844e-08-0j -1.29051e-11-0j 8.0093e-11-0j 2.34835e-09-0j -1.79479e-13-0j -0.000196838-0j 9.43948e-07-0j -3.15316e-10-0j 1.39135e-14-0j -2.36052e-05-0j 4.70215e-09-0j -1.0258e-08-0j 3.38955e-09-0j -2.59055e-13-0j 1.13269e-10-0j 1.60778e-12-0j -6.25726e-05-0j 7.74322e-08-0j -1.09068e-11-0j -1.25255e-06-0j 9.57295e-11-0j 1.17244e-10-0j 2.306e-12-0j -8.78768e-06-0j 4.15133e-09-0j -2.24348e-13-0j -4.37746e-08-0j 2.41167e-12-0j 
3.74422e-12-0j 1.12121e-08-0j -2.69608e-07-0j 1.99664e-06-0j -2.49281e-06-0j 4.12495e-09-0j -3.88022e-13-0j -3.97736e-07-0j -0.000573877-0j 0.00398561-0j 0.000290143-0j -1.3004e-07-0j 0.00425861-0j 0.91296-0j -0.00383684-0j 6.38763e-07-0j -0.00311893-0j -0.000240029-0j 5.66218e-08-0j -1.25948e-08-0j -1.23201e-05-0j 3.27483e-05-0j -8.40356e-08-0j 1.0762e-11-0j 0.000186188-0j -0.0017903-0j 1.70834e-06-0j -0.000179239-0j -3.94144e-06-0j 1.08176e-06-0j 3.6666e-07-0j -9.99715e-11-0j 5.6431e-08-0j -2.69633e-12-0j 1.20675e-07-0j 6.75931e-05-0j 8.05872e-06-0j -4.69535e-09-0j -0.000546158-0j -0.000185118-0j 5.04735e-08-0j -1.00147e-05-0j 3.76465e-07-0j 2.89723e-08-0j 2.35788e-09-0j 2.75253e-08-0j 6.05278e-10-0j -9.43948e-07-0j -0.000202363-0j 8.5046e-07-0j -1.41586e-10-0j -0.00013717-0j -1.05565e-05-0j -3.01987e-07-0j 3.97294e-08-0j 8.73644e-10-0j 2.21981e-09-0j 4.73318e-11-0j 5.36065e-06-0j -5.15455e-05-0j 4.91858e-08-0j -1.46813e-05-0j -3.2284e-07-0j 2.29772e-09-0j 6.78868e-11-0j -1.64453e-05-0j -5.57408e-06-0j 1.5198e-09-0j -8.57884e-07-0j 7.09977e-11-0j 
1.64819e-16-0j 1.59577e-12-0j 4.07865e-09-0j -1.53251e-07-0j 1.8015e-06-0j -4.07593e-06-0j 2.94565e-09-0j -3.76188e-11-0j -2.29966e-07-0j -0.000306739-0j 0.0038312-0j 0.000294401-0j 1.42255e-06-0j 0.00383684-0j 0.937927-0j -0.00193236-0j 0.000179235-0j -0.00316013-0j 7.4546e-07-0j -1.67058e-12-0j -8.26674e-09-0j -7.81443e-06-0j 4.13863e-05-0j -4.89414e-08-0j 1.25637e-07-0j 0.000206664-0j -0.00127704-0j -0.000384166-0j -0.000104236-0j 2.26325e-09-0j 1.5786e-06-0j 1.50115e-07-0j 3.6986e-07-0j -3.54989e-11-0j 2.40735e-11-0j 9.16197e-08-0j 5.28192e-05-0j 7.0712e-06-0j -1.14266e-06-0j -0.000796999-0j -7.57901e-05-0j -6.56381e-05-0j -2.16342e-08-0j 3.81437e-07-0j 3.10429e-08-0j 5.89955e-08-0j 1.60073e-08-0j -3.15316e-10-0j -8.5046e-07-0j -0.000207897-0j 4.28319e-07-0j 7.88274e-06-0j -0.000138982-0j -3.97584e-06-0j 8.51527e-08-0j 2.31045e-08-0j 1.45491e-08-0j 6.23152e-10-0j 3.61728e-09-0j 5.95017e-06-0j -3.67678e-05-0j -3.14667e-05-0j -8.53789e-06-0j 1.50597e-08-0j 8.93771e-10-0j -3.44066e-08-0j -2.39984e-05-0j -2.28211e-06-0j -5.62274e-06-0j 9.34728e-10-0j 
6.51395e-21-0j 3.51494e-17-0j 2.91203e-13-0j 7.67857e-10-0j -4.58092e-08-0j 9.57756e-07-0j -5.95707e-06-0j -6.89846e-16-0j -1.08753e-11-0j -6.15492e-08-0j -9.69904e-05-0j 0.00258771-0j 6.27706e-11-0j 6.38763e-07-0j 0.00193236-0j 0.962927-0j 3.99605e-08-0j 0.000181857-0j 3.27148e-06-0j -3.94119e-17-0j -5.47954e-13-0j -2.62096e-09-0j -3.19921e-06-0j 4.92798e-05-0j 8.33018e-12-0j 6.92137e-08-0j 0.000148056-0j -2.61528e-07-0j -0.000687158-0j 2.50829e-13-0j 1.61433e-09-0j 1.99372e-06-0j -1.41691e-08-0j -1.55788e-10-0j 7.57875e-16-0j 9.12525e-12-0j 3.56383e-08-0j 3.07598e-05-0j -1.26638e-10-0j -8.15039e-07-0j -0.00100658-0j 2.51454e-06-0j -4.82335e-12-0j -2.19506e-08-0j 1.36233e-07-0j 4.01624e-11-0j 1.05525e-07-0j -1.39135e-14-0j -1.41586e-10-0j -4.28319e-07-0j -0.000213439-0j 1.75746e-09-0j 7.99803e-06-0j -1.74481e-05-0j 5.79694e-11-0j 1.52313e-07-0j -5.57364e-10-0j 2.73473e-09-0j 2.39838e-13-0j 1.99277e-09-0j 4.26274e-06-0j -2.14216e-08-0j -5.62847e-05-0j -5.76927e-10-0j 3.92235e-09-0j -3.81319e-12-0j -2.45415e-08-0j -3.03091e-05-0j 2.15403e-07-0j 4.10209e-09-0j 
-5.17308e-14-0j 1.74019e-12-0j -2.92167e-11-0j 2.41259e-10-0j -7.00981e-10-0j -2.54773e-11-0j 4.01648e-15-0j 1.23963e-08-0j -2.34865e-07-0j 1.64133e-06-0j -2.19844e-06-0j 2.27202e-09-0j -0.000536726-0j 0.00311893-0j 0.000179235-0j -3.99605e-08-0j 0.932156-0j -0.00192671-0j -0.000139992-0j 3.1407e-10-0j -4.49199e-09-0j 1.84577e-08-0j 8.66062e-10-0j -1.67219e-13-0j -1.76438e-05-0j 4.09327e-05-0j -5.98251e-08-0j -0.00192672-0j 7.44023e-07-0j -1.403e-07-0j -1.14022e-08-0j 3.11346e-12-0j 4.54741e-07-0j -1.93231e-11-0j -3.7681e-09-0j 3.72405e-08-0j -6.10912e-08-0j 7.29031e-11-0j 0.000106354-0j 8.64344e-06-0j -2.36015e-09-0j -0.000162187-0j 6.56711e-07-0j -1.35738e-09-0j 2.53708e-08-0j 9.80562e-08-0j -3.78654e-11-0j 3.94265e-08-0j -2.29109e-07-0j -1.31662e-08-0j 2.93539e-12-0j -0.00035927-0j 7.42588e-07-0j -6.53035e-06-0j 1.41532e-07-0j -5.46541e-11-0j 1.19138e-08-0j 3.39201e-10-0j -3.38335e-07-0j 7.8492e-07-0j -1.1472e-09-0j -7.85268e-05-0j 3.0324e-08-0j 1.2332e-08-0j 4.86507e-10-0j 2.13289e-06-0j 1.73341e-07-0j -4.73318e-11-0j -6.91312e-06-0j 5.08802e-10-0j 
-1.86982e-18-0j -1.09716e-14-0j 6.35424e-13-0j -1.66123e-11-0j 2.17199e-10-0j -1.12592e-09-0j -3.66102e-11-0j 8.77837e-13-0j 3.56515e-09-0j -1.25868e-07-0j 1.57072e-06-0j -4.54541e-06-0j -1.06916e-07-0j -0.000240029-0j 0.00316013-0j 0.000181857-0j 0.00192671-0j 0.957376-0j -0.00184309-0j 2.96839e-14-0j 1.02505e-10-0j -2.85336e-09-0j 2.29378e-08-0j 1.0154e-09-0j -5.87995e-09-0j -9.69202e-06-0j 5.97133e-05-0j 0.000147626-0j -0.00112213-0j -9.4254e-11-0j -1.00081e-07-0j -9.43238e-09-0j 1.97249e-06-0j -2.54401e-10-0j -4.99305e-13-0j -1.42172e-09-0j 2.90566e-08-0j -1.09308e-07-0j 7.14491e-08-0j 7.5866e-05-0j 7.1502e-06-0j -0.000703503-0j 1.35738e-09-0j 6.74479e-07-0j 3.34023e-07-0j -7.51311e-09-0j 5.71084e-08-0j 7.85377e-12-0j 1.7632e-08-0j -2.32135e-07-0j -1.33587e-08-0j -7.42588e-07-0j -0.00036899-0j -8.5976e-05-0j -1.08442e-08-0j 8.24289e-08-0j 5.16776e-08-0j 4.46579e-09-0j -1.12753e-10-0j -1.85853e-07-0j 1.14505e-06-0j 6.01676e-06-0j -4.57344e-05-0j 5.34913e-08-0j 6.40517e-09-0j 1.43288e-09-0j 1.52146e-06-0j 1.43394e-07-0j -2.99864e-05-0j 6.69869e-09-0j 
-6.90693e-20-0j -5.15287e-19-0j 1.85789e-17-0j -4.31439e-16-0j 6.35061e-15-0j -5.28794e-14-0j 1.64094e-13-0j -7.00163e-15-0j 3.19323e-13-0j -7.86513e-12-0j 1.0915e-10-0j -7.18516e-10-0j 1.92335e-09-0j -5.66218e-08-0j 7.4546e-07-0j -3.27148e-06-0j -0.000139992-0j 0.00184309-0j 0.977023-0j -1.99718e-16-0j 8.03296e-15-0j -1.67219e-13-0j 1.79755e-12-0j -6.83176e-12-0j 8.45476e-11-0j -2.03227e-09-0j 1.89194e-08-0j -8.01346e-06-0j 6.09116e-05-0j 1.27106e-12-0j -2.36659e-11-0j 1.272e-10-0j -1.4381e-07-0j -7.89448e-10-0j 3.84049e-15-0j -1.33776e-13-0j 2.27375e-12-0j -1.72831e-11-0j -1.28532e-09-0j 2.39314e-08-0j -1.28627e-07-0j 7.70478e-05-0j -2.4442e-11-0j 3.21794e-10-0j 1.3827e-06-0j 2.03521e-10-0j -1.547e-09-0j -7.05059e-14-0j 2.07564e-12-0j -2.7327e-11-0j 1.19926e-10-0j 1.78374e-08-0j -2.3484e-07-0j -0.000534626-0j 2.93757e-10-0j -2.2329e-09-0j -2.82441e-09-0j 1.38581e-08-0j 1.21537e-12-0j -2.92138e-11-0j 2.71966e-10-0j -2.1742e-07-0j 1.65264e-06-0j -2.92355e-09-0j 1.98763e-08-0j -1.93231e-11-0j 3.59777e-10-0j -1.93374e-09-0j 2.18624e-06-0j 2.07871e-08-0j 
8.70348e-05-0j -0.000479533-0j 0.000348452-0j -1.35207e-06-0j 5.07335e-10-0j -4.256e-14-0j 7.09982e-19-0j 0.00183814-0j 0.000162652-0j -2.08107e-07-0j 4.38251e-11-0j -2.07104e-15-0j 1.67828e-05-0j -1.25948e-08-0j 1.67058e-12-0j -3.94119e-17-0j -3.1407e-10-0j 2.96839e-14-0j 1.99718e-16-0j 0.861938-0j -0.00579285-0j 3.074e-06-0j -3.32916e-10-0j 6.80183e-15-0j -0.000514778-0j 1.87766e-07-0j -1.25486e-11-0j 4.13237e-09-0j -1.68858e-13-0j -4.68335e-05-0j 8.78513e-09-0j -2.53837e-13-0j 1.91183e-10-0j 2.3648e-12-0j -0.00135435-0j 2.4506e-06-0j -6.32054e-10-0j 3.44896e-14-0j 1.48312e-07-0j -2.78207e-11-0j 8.03848e-16-0j -4.28108e-13-0j -1.56346e-06-0j 1.47769e-10-0j 1.98841e-12-0j 1.63804e-10-0j -6.69337e-15-0j -0.000220955-0j 1.65818e-07-0j -2.19942e-11-0j 5.18881e-16-0j 7.1619e-09-0j -6.76898e-13-0j -6.4407e-15-0j -5.44052e-08-0j 2.22311e-12-0j 5.6363e-12-0j 5.99596e-14-0j -2.22641e-05-0j 8.12084e-09-0j -5.42726e-13-0j 2.52754e-10-0j -1.03281e-14-0j -1.3425e-09-0j 8.59986e-14-0j -1.54368e-06-0j 2.89567e-10-0j -8.36671e-15-0j 6.30158e-12-0j -2.06961e-11-0j 
3.541e-08-0j 5.65912e-05-0j -0.000538886-0j 0.000624527-0j -1.99808e-06-0j 5.27887e-10-0j -1.97707e-14-0j 3.85791e-06-0j 0.00163579-0j 0.000201881-0j -2.16667e-07-0j 2.87942e-11-0j 2.24264e-05-0j 1.23201e-05-0j -8.26674e-09-0j 5.47954e-13-0j -4.49199e-09-0j -1.02505e-10-0j 8.03296e-15-0j 0.00579285-0j 0.886755-0j -0.00604018-0j 2.4747e-06-0j -1.26181e-10-0j -0.00217016-0j -0.000307641-0j 8.70443e-08-0j 8.88648e-08-0j 7.7803e-10-0j -0.000399913-0j -2.16419e-05-0j 2.34937e-09-0j 5.7631e-09-0j 9.5116e-11-0j 0.0001189-0j -0.00118348-0j 2.08019e-06-0j -3.59379e-10-0j 1.26644e-06-0j 6.85353e-08-0j -7.43996e-12-0j -1.29051e-11-0j -2.23614e-05-0j -5.10276e-07-0j 7.99772e-11-0j 3.52252e-09-0j 3.08404e-11-0j -0.000295257-0j -0.000162202-0j 1.08837e-07-0j -7.21415e-12-0j 1.02433e-07-0j 2.33747e-09-0j -2.59055e-13-0j -1.16996e-06-0j -1.02432e-08-0j 1.69903e-10-0j 2.41167e-12-0j -9.38589e-05-0j -1.33054e-05-0j 3.76465e-09-0j 5.43537e-09-0j 4.75878e-11-0j -4.04688e-08-0j 3.459e-12-0j -1.31815e-05-0j -7.13338e-07-0j 7.74376e-11-0j 1.89957e-10-0j -8.32429e-10-0j 
3.97135e-12-0j 2.38882e-08-0j 3.26149e-05-0j -0.000486611-0j 0.00091329-0j -2.01705e-06-0j 2.3731e-10-0j 1.22043e-09-0j 3.5372e-06-0j 0.00139483-0j 0.000204568-0j -1.37828e-07-0j 7.60472e-08-0j 3.27483e-05-0j 7.81443e-06-0j -2.62096e-09-0j -1.84577e-08-0j -2.85336e-09-0j 1.67219e-13-0j 3.074e-06-0j 0.00604018-0j 0.911613-0j -0.00471285-0j 9.07296e-07-0j 0.000131465-0j -0.00253924-0j -0.000137575-0j 7.3652e-07-0j 3.25333e-08-0j -0.000529197-0j -0.000360305-0j -5.5779e-06-0j 7.98633e-08-0j 1.98e-09-0j 1.27995e-07-0j 0.000144012-0j -0.000974879-0j 1.14433e-06-0j 1.67586e-06-0j 1.14101e-06-0j 1.7664e-08-0j -1.78834e-10-0j -9.18836e-05-0j -1.42042e-05-0j 1.66486e-09-0j 2.9195e-08-0j 1.28959e-09-0j -1.00121e-06-0j -0.000431151-0j -0.000102882-0j 3.45066e-08-0j 4.209e-07-0j 6.50667e-08-0j -5.39266e-12-0j -9.69673e-06-0j -4.28321e-07-0j 2.35446e-09-0j 5.0203e-11-0j 5.68583e-06-0j -0.000109822-0j -5.9501e-06-0j 4.50489e-08-0j 1.98989e-09-0j -5.60804e-07-0j 7.20048e-11-0j -1.74429e-05-0j -1.1876e-05-0j -1.83853e-07-0j 2.63237e-09-0j -1.73284e-08-0j 
1.42741e-16-0j 2.07597e-12-0j 1.06897e-08-0j 1.50703e-05-0j -0.000357962-0j 0.00121839-0j -1.17556e-06-0j 9.42493e-14-0j 8.65478e-10-0j 2.32573e-06-0j 0.00108992-0j 0.000169233-0j 2.07413e-11-0j 8.40356e-08-0j 4.13863e-05-0j 3.19921e-06-0j 8.66062e-10-0j -2.29378e-08-0j 1.79755e-12-0j 3.32916e-10-0j 2.4747e-06-0j 0.00471285-0j 0.936506-0j -0.00223778-0j 7.24317e-08-0j 0.000178976-0j -0.00222808-0j 1.28892e-06-0j 5.25344e-07-0j -9.04009e-07-0j -0.000947179-0j -0.000181461-0j 4.27387e-07-0j 2.12843e-08-0j 2.08482e-11-0j 1.1919e-07-0j 0.000138433-0j -0.000695361-0j 2.86281e-09-0j 2.99952e-06-0j 5.7465e-07-0j -9.57029e-10-0j 4.31131e-06-0j -0.000114186-0j 1.78967e-08-0j 5.10916e-08-0j 2.08242e-08-0j -2.73072e-10-0j -1.10638e-06-0j -0.000544876-0j -4.21196e-05-0j -1.97492e-08-0j 5.23061e-07-0j -5.79694e-11-0j -1.69694e-05-0j -6.91648e-06-0j 1.25999e-08-0j 5.39666e-10-0j 3.13266e-09-0j 7.7407e-06-0j -9.63643e-05-0j 7.88361e-08-0j 3.21324e-08-0j -3.00113e-06-0j 7.74029e-10-0j -2.9797e-08-0j -3.12199e-05-0j -5.98115e-06-0j 1.40871e-08-0j -1.86275e-07-0j 
-1.02225e-20-0j 3.51748e-17-0j 4.38072e-13-0j 2.33409e-09-0j 3.88386e-06-0j -0.000164571-0j 0.00154101-0j 1.49677e-18-0j 3.14846e-14-0j 2.67865e-10-0j 8.5292e-07-0j 0.000634701-0j 7.92604e-16-0j 1.0762e-11-0j 4.89414e-08-0j 4.92798e-05-0j 1.67219e-13-0j 1.0154e-09-0j 6.83176e-12-0j 6.80183e-15-0j 1.26181e-10-0j 9.07296e-07-0j 0.00223778-0j 0.961431-0j 4.15907e-12-0j 4.61091e-08-0j 0.000148271-0j 7.599e-10-0j 2.66408e-06-0j -8.6766e-11-0j -7.45102e-07-0j -0.00138332-0j -1.41793e-08-0j 8.0893e-08-0j 5.68406e-16-0j 9.13185e-12-0j 5.36126e-08-0j 9.35019e-05-0j 2.7477e-13-0j 2.35958e-09-0j 4.38069e-06-0j 3.17511e-11-0j 8.32429e-10-0j 5.05474e-06-0j 6.80179e-08-0j 3.01218e-11-0j 1.05602e-07-0j -1.04351e-14-0j -1.41688e-10-0j -6.44343e-07-0j -0.000648799-0j -3.81319e-12-0j -2.31547e-08-0j -2.20318e-10-0j -1.00046e-08-0j -3.50742e-05-0j -4.18023e-10-0j 2.05105e-09-0j 1.79879e-13-0j 1.99421e-09-0j 6.41268e-06-0j 4.64789e-11-0j 1.62947e-07-0j 9.9568e-08-0j 2.94176e-09-0j -2.85989e-12-0j -2.45593e-08-0j -4.55957e-05-0j -4.67364e-10-0j -7.07952e-07-0j 
-1.33637e-09-0j 2.61627e-08-0j -2.08107e-07-0j 5.06521e-07-0j 2.1697e-08-0j -9.25968e-12-0j 4.34127e-16-0j 4.4116e-05-0j -0.000331447-0j 0.000366158-0j -8.17504e-07-0j 1.3622e-10-0j 0.0021733-0j 0.000186188-0j -1.25637e-07-0j 8.33018e-12-0j 1.76438e-05-0j -5.87995e-09-0j -8.45476e-11-0j -0.000514778-0j 0.00217016-0j 0.000131465-0j -7.24317e-08-0j 4.15907e-12-0j 0.905736-0j -0.00350254-0j 8.25372e-07-0j -0.000310779-0j 3.56901e-08-0j -0.00200291-0j 1.91136e-06-0j -1.55212e-10-0j -1.25749e-05-0j 1.44599e-09-0j -1.60146e-05-0j 2.50199e-05-0j -6.84151e-08-0j 1.31636e-11-0j -0.00109308-0j 1.04311e-06-0j -8.47057e-11-0j 5.64801e-08-0j -0.000169233-0j 5.63984e-08-0j -2.0953e-07-0j 3.56384e-08-0j -4.09274e-12-0j 8.27757e-05-0j 7.09147e-06-0j -4.78522e-09-0j 3.17277e-13-0j -0.000133597-0j 4.45223e-08-0j 1.36132e-09-0j -1.18368e-05-0j 1.35935e-09-0j 2.15119e-09-0j 3.66631e-11-0j -0.000227309-0j 8.79019e-07-0j -2.07141e-10-0j -9.47681e-06-0j 1.08833e-09-0j -5.12387e-07-0j 5.25849e-11-0j -6.6018e-05-0j 6.30003e-08-0j -5.11593e-12-0j -4.1448e-07-0j -1.26549e-08-0j 
-1.34401e-13-0j -5.17921e-10-0j 1.74671e-08-0j -2.16667e-07-0j 8.39979e-07-0j 3.81781e-08-0j -7.22458e-12-0j 1.06941e-08-0j 2.32107e-05-0j -0.000325828-0j 0.00065558-0j -9.04016e-07-0j 2.68941e-06-0j 0.0017903-0j 0.000206664-0j -6.92137e-08-0j 4.09327e-05-0j 9.69202e-06-0j -2.03227e-09-0j -1.87766e-07-0j -0.000307641-0j 0.00253924-0j 0.000178976-0j -4.61091e-08-0j 0.00350254-0j 0.930847-0j -0.00273283-0j -0.00222157-0j -9.82753e-05-0j 0.00016812-0j -0.00156519-0j 8.58504e-07-0j -0.000180937-0j 3.47572e-08-0j -9.7898e-09-0j -1.10837e-05-0j 3.65232e-05-0j -6.5472e-08-0j 9.17505e-05-0j -0.000854194-0j 4.68523e-07-0j 8.12681e-07-0j -0.000392612-0j -9.29625e-05-0j -5.03647e-06-0j 2.54758e-07-0j 1.12697e-08-0j 1.02433e-07-0j 6.81884e-05-0j 7.87134e-06-0j -2.63618e-09-0j -0.000309938-0j -7.33868e-05-0j 3.27221e-08-0j -8.46144e-05-0j -3.74307e-06-0j 3.09531e-08-0j 8.8127e-10-0j -8.79019e-07-0j -0.000233611-0j 6.85847e-07-0j -6.77441e-05-0j -2.99679e-06-0j -7.37264e-06-0j 1.26398e-09-0j 5.54141e-06-0j -5.15903e-05-0j 2.82971e-08-0j -5.96387e-06-0j -3.04185e-07-0j 
-3.42014e-18-0j -4.04881e-14-0j -1.3314e-10-0j 7.0125e-09-0j -1.37828e-07-0j 9.53597e-07-0j 3.87812e-08-0j 5.35492e-13-0j 4.36856e-09-0j 8.75715e-06-0j -0.000220163-0j 0.000957754-0j 3.78819e-10-0j 1.70834e-06-0j 0.00127704-0j 0.000148056-0j 5.98251e-08-0j 5.97133e-05-0j -1.89194e-08-0j -1.25486e-11-0j -8.70443e-08-0j -0.000137575-0j 0.00222808-0j 0.000148271-0j 8.25372e-07-0j 0.00273283-0j 0.955995-0j 0.000120362-0j -0.00183777-0j 7.98633e-08-0j 0.000170341-0j -0.000911542-0j -0.000554962-0j 3.23572e-07-0j -9.17281e-13-0j -5.24652e-09-0j -6.0882e-06-0j 4.6142e-05-0j 4.35848e-08-0j 9.29625e-05-0j -0.000497468-0j 2.49262e-06-0j -5.73821e-07-0j -0.000572749-0j -4.6887e-05-0j -1.38025e-08-0j 2.10746e-07-0j 1.44283e-11-0j 6.50667e-08-0j 4.86392e-05-0j 5.63908e-06-0j -4.52988e-07-0j -0.000452142-0j 3.04626e-07-0j 4.58431e-06-0j -6.99964e-05-0j 9.49377e-08-0j 8.20418e-09-0j -2.07141e-10-0j -6.85847e-07-0j -0.000239922-0j 3.6703e-06-0j -5.60407e-05-0j -2.2613e-05-0j 1.1767e-08-0j 2.63237e-09-0j 5.61461e-06-0j -3.00453e-05-0j -1.82921e-05-0j -2.83181e-06-0j 
1.77178e-15-0j -7.45466e-14-0j 1.67058e-12-0j -2.07413e-11-0j 1.21556e-10-0j -1.64775e-10-0j 7.93191e-14-0j -4.0439e-10-0j 1.07429e-08-0j -1.25637e-07-0j 5.18522e-07-0j 1.98647e-08-0j 1.52919e-05-0j -0.000179239-0j 0.000384166-0j -2.61528e-07-0j 0.00192672-0j 0.000147626-0j 8.01346e-06-0j 4.13237e-09-0j -8.88648e-08-0j 7.3652e-07-0j -1.28892e-06-0j 7.599e-10-0j -0.000310779-0j 0.00222157-0j 0.000120362-0j 0.95028-0j -0.0011205-0j -1.12212e-05-0j 3.40126e-05-0j -2.83586e-08-0j -0.00183376-0j 2.64195e-07-0j 2.58782e-10-0j -4.28003e-09-0j 2.16342e-08-0j 9.57029e-10-0j -1.22833e-05-0j 3.7232e-05-0j -3.10429e-08-0j -0.000705588-0j 5.35148e-05-0j 4.10033e-06-0j -7.67883e-05-0j 6.34183e-07-0j -7.47783e-10-0j -3.38955e-09-0j 3.97294e-08-0j -8.51527e-08-0j 5.79694e-11-0j 8.47369e-05-0j 6.49258e-06-0j -4.2739e-05-0j -0.000210635-0j 2.48366e-07-0j 1.56398e-07-0j 6.69869e-09-0j 3.88846e-08-0j -2.77963e-07-0j -1.50597e-08-0j -0.000338257-0j 3.98849e-07-0j -3.7252e-05-0j 9.60775e-09-0j -3.6986e-07-0j 1.12109e-06-0j -9.34728e-10-0j -6.04426e-05-0j -2.31216e-06-0j 
