-0.143079+2.77556e-17j 0.140355+0.00794496j 0.0970624+0.107348j 0.0345976+0.102677j -0.00178714-0.00927491j -0.0277687-0.0132733j 0.0482373-0.00133669j 0.0239049+0.0555971j -0.0281793-0.0549898j -0.0237996+0.0265356j -0.0130221+0.00411679j -0.00196204-0.0810263j -0.0204485+0.0412676j -0.029303+0.0311232j 0.0208475-0.016214j 0.000864179-0.00159635j -0.0289941+0.0118864j -0.025715+0.0183961j 0.0138599+0.00447678j -0.00105613+0.00641505j -0.00879792-0.00421993j 0.0145185-0.0486298j 0.0223511+0.00889358j -0.0130992+0.0099032j -0.0150528+0.0231377j -0.0169187-0.00878058j -0.00860925+0.0105366j -0.020634-0.0133079j -0.0040709-0.0214147j 0.00897298+0.00574411j -0.0161869-0.00629146j -0.0128913+0.0140591j 0.0255046+0.00932039j -0.0031656+0.00136527j 0.022298-0.0100053j 0.00532664+0.0169791j -0.0355612+0.0209633j 0.00853052-0.00895398j 0.00492975-0.0255365j -0.0380096+0.0258835j -0.0130502+0.00675365j 0.0117294-0.00385324j -0.00861267+0.0182868j -0.0144668+0.0220557j -0.030465+0.0243717j 0.00274246+0.00907878j -0.00329026-0.000175138j -0.000972586+0.00582038j -0.00439657-0.00339236j -0.00701751-0.00732249j 0.00399398-0.0369703j 0.0229154-0.0221938j -0.00412544+0.0241727j 0.00899747+0.0219928j 0.000444927+0.0126869j -0.0124782+0.0381996j 0.0354763-0.0202395j 0.0104546-0.0222831j 0.0180269-0.0458911j -0.0086303-0.00773944j 0.00846587+0.0122169j -0.0167872-0.00185612j -0.00422078-0.00455576j 0.00181747+0.0208787j 0.00604262+0.0218382j 0.00435472+0.00229472j 0.00570066+0.00997145j -0.00417784-0.0120308j -0.0236652+0.0101166j -0.0111314-0.00654126j -0.00449416+0.0431709j 0.0151439-0.00100514j -0.0194779-0.0212833j -0.0271765+0.0368968j -0.00965714-0.0161034j -0.0311423-0.0168266j 0.00732924+0.0426844j -0.0297318+0.0244593j 0.0167108-0.00544621j -0.0225158-0.0134738j 0.0259667+0.0041015j -0.00136538+0.0422072j -0.0506197+0.0559689j -0.0129961-0.0498766j -0.00645058-0.0155143j -0.00713619+0.0862608j 0.0906419+0.212004j -0.346262-0.0501363j 0.0285902-0.182179j 0.000906219-0.095409j -0.0444126+0.0126659j -0.0611739+0.219771j 0.00445781-0.00332018j 0.0114672-0.0180466j 0.225273+0.144861j 
0.140355-0.00794496j 0.144016-1.38778e-17j 0.0642832+0.0571353j -0.0482241-0.0992292j 0.0321482+0.0109643j 0.00522338+0.0112428j -0.00703417+0.0669648j 0.0390044-0.00920181j 0.00329749+0.112456j -0.00940835-0.00522687j -0.0242184-0.0105908j -0.0342453+0.0415936j -0.0193287+0.00655224j -0.0148274+0.0509491j -0.00388895-0.0266005j 0.0179465-0.0129706j -0.00454023+0.00994951j 0.00373874-0.0425289j 0.0256181-0.0424817j 0.0173593+0.0198399j 0.0247933-0.0151764j 0.010566-0.0109598j -0.0179009-0.0140273j -0.0202618-0.0191485j 0.00715362+0.0193158j -0.0189051+0.0143579j -0.00427575-0.0132509j -0.0240839+0.00644185j 0.00752012-0.00118375j -0.000182598-0.00232763j 0.00240106-0.00613132j -0.00260129-0.0128322j 0.00472652+0.00248232j 0.00489981+0.00673871j -0.00508664-0.0109713j 0.00321385+0.00221937j -0.00655168-0.00025469j -0.000189437+0.00429929j -0.00591168-0.0266607j -0.0101259+0.0111427j -0.0240677-0.00898364j 0.0188543-0.00774755j -0.0147334+0.014226j -0.00893261-0.00316412j -0.0128174+0.0204391j -0.00162643+0.00266797j -0.00441512-0.0104304j 0.0069921-0.00467174j -0.0035629+0.0116286j -0.0019943+0.0104508j -0.00245587+0.00674042j 0.0138046-0.0167177j -0.00818467+0.0152199j -0.0101175-0.0153979j -0.0206064-0.0116421j 0.00415815+0.00086755j -0.00920396-5.54965e-05j -0.0024764+0.00565412j -0.00291935-0.00562215j 0.000871227+0.00729865j 0.00404217-0.00840167j -0.00649701+0.00148189j 0.0102328+0.0267118j -0.00568929+0.0087948j -0.00704146+0.0106336j -0.00437047-0.00220005j 0.0112364+0.00250063j 0.0241157+0.00376733j -0.00563177+0.0224408j 0.00214792+0.0201923j 0.0311262-0.0316848j -0.00842862+0.00761707j 0.022491+0.0130767j -0.0161528-0.0264097j -0.0123917-0.00934891j 0.011903+0.00241781j 0.0407887-0.0305613j -0.0357051+0.0650847j 0.00431527+0.00182516j 0.0321444+0.00730621j -0.00576931+0.0234096j 0.0894658-0.0238322j -0.0485588+0.00838123j 0.0336625-0.0433417j -0.0146846+0.00291179j 0.0265668-0.0139758j 0.302205-0.0125972j 0.0454333+0.34463j -0.0657205-0.146914j -0.051152-0.0194898j 0.00110579+0.0773828j 0.0683258-0.0172773j 0.118923-0.151572j -0.250436-0.125778j -0.0114672+0.0180466j 
0.0970624-0.107348j 0.0642832-0.0571353j 0.0877436+1.38778e-17j 0.0583507+0.0449429j 0.0446422-0.0277517j -0.0197436-0.0346579j -0.0420372-0.0912805j 0.0340227+0.00173107j -0.0216804-0.0223676j 0.0287709-0.0433319j -0.0275212-0.00279434j -0.107425-0.0387463j 0.0399087+0.0127054j 0.0395895+0.024758j 0.0116622-0.0341178j -0.0280611-0.00907242j -0.00918177-0.0173812j 0.016006-0.0703069j -0.00859012+0.0434084j 0.0483217-0.0297943j -0.0126804+0.0133963j -0.00127127+0.0434643j 0.0171789-0.00562751j -0.0253006+0.0159665j 0.0259898+0.0444225j -0.0190745-0.0399973j -0.0191565-0.0260926j 0.00158522-0.0645368j -0.0068594-0.0311691j -0.00652231+0.035129j 0.00172264-0.0319872j -0.00968318-0.00263068j 0.0151173-0.00197567j 0.0288456-0.00668029j 0.0254342-0.0229523j 0.0289311-0.0089252j 0.00236079+0.0249692j 0.00149823-0.0156259j -0.0129005-0.000742759j 0.00151963+0.00101531j -0.0144151-0.0185212j -0.0126228+0.0316299j 0.0042744-0.0255423j 0.0140919-0.0316848j -0.0120158-0.038862j 0.0230599-0.0060375j 0.00334633+0.0225076j -0.0132455+0.00678007j -0.0183265+0.00424685j 0.00520763-0.0497539j -0.0375167+0.00188093j -0.00319007+0.0281489j 0.000156352-0.0559242j 0.0124318-0.0274881j 0.0152727-0.00930786j 0.0277975-0.0159326j 0.00667197+0.0119511j 0.000615089-0.0682825j -0.00777334-0.0340125j -0.0094408-0.0581052j 0.040407+0.0182867j -0.010926-0.0137492j -0.0276153-0.00828666j 0.0306704-0.00520672j 0.00302912+0.035474j -0.00302167+0.0268975j -0.016262-0.0136999j -0.0178574+0.0169462j 0.0161785+0.0127065j -0.0290417+0.0288604j 0.010962+0.00537748j -0.0094006-0.00189383j -0.0248192-0.0126256j 0.00992685+0.0836934j 0.0453991+0.0368157j -0.0100271-0.0281525j 0.0296806-0.047523j -0.0336262+0.0224732j 0.0695875-0.0241723j -0.0288178+0.0934804j 0.10718+0.00060487j 0.22285-0.0392854j -0.0700609-0.0415673j -0.0721569+0.212606j -0.0540354+0.0733j 0.0257811-0.238572j 0.0359877-0.0366752j -0.0263655-0.13742j -0.144778-0.0788747j -0.038776+0.00641961j -0.0139906-0.0470879j 0.0257329+0.0462444j -0.0258332+0.181865j -0.118923+0.151572j 0.00445781-0.00332018j 
0.0345976-0.102677j -0.0482241+0.0992292j 0.0583507-0.0449429j -0.00455376-6.93889e-18j 0.0539646+0.00640418j 0.0550485-0.0371748j 0.00293533+0.0308161j -0.0568239-0.0512014j 0.0323175+0.0291147j 0.0306525+0.0509747j -0.0475949+0.0274089j -0.0271865-0.0034064j 0.0201974+0.0290815j 0.0151055+0.0936373j -0.00803586+0.0349446j 0.0126778-0.0483104j 0.0147864-0.0128816j 0.00834917+0.0234599j 0.0350139-0.084148j 0.0178775-0.0162963j 0.00315556-0.0135167j 0.0318857+0.0141221j 0.0106435-0.000204013j 0.0383382-0.0330637j 0.0185548-0.018295j -0.0173916+0.0324352j -0.0172028+0.00962286j -0.0120415+0.0260541j -0.00790812+0.00613752j 0.000129576-0.0296264j -0.0154855-0.0119532j 0.00366243+0.0166357j 0.00923013-0.0081225j -0.00791848-0.0055303j 0.00161578-0.0177937j 0.00588594-0.0151416j -0.00054631-0.0471216j 0.0137099+0.023975j 0.0351294-0.00563108j 0.00835206+0.00203312j -0.00282044-0.00346113j -0.00661469-0.0209706j -0.0180828-0.000159667j 0.00681622-0.0316282j -0.00873515+0.0132479j 0.00100893+0.021632j 0.0140294-0.0190362j 0.022315-0.00605342j -0.0257951+0.0287372j -0.00284272+0.0166121j -0.00319184+0.0180671j 0.033947-0.0107487j -0.0285376+0.00675844j 0.00478145+0.00347527j -0.0026319+0.015268j 0.00422407-0.00323131j -0.0120331+0.0449439j -0.0104728+0.0136948j 0.0418308+0.0220878j -0.0223077+0.0119097j 0.0256986-0.0720203j -0.0315144+0.0241924j 0.00563479+0.0317037j -7.42215e-05-0.0158897j -0.0168722+0.0424528j -0.0123383+0.00271793j -0.002739-0.0137601j 0.0235004-0.00580651j 0.022182-0.0142114j -0.0172109-0.0253589j 0.0639524-0.0146317j -0.0420876+0.00399841j 0.0534754-0.0123735j 0.0403817-0.022057j 0.0433828-0.0279175j -0.0373322+0.0750121j 0.033529-0.0732391j 0.0647432+0.0874787j -0.0117924+0.0256678j 0.0798961+0.0484639j -0.0795489-0.0452707j 0.0850816-0.209145j -0.0469135+0.121584j 0.0822596+0.0449675j 0.0216874+0.0253682j -0.214391+0.0771072j -0.0850549+0.199043j 0.0782477+0.00314265j -0.200966+0.130894j 0.0231063-0.0211869j 0.00245376-0.00840075j 0.0710922+0.11907j 0.0257329+0.0462444j -0.0683258+0.0172773j -0.0611739+0.219771j 
-0.00178714+0.00927491j 0.0321482-0.0109643j 0.0446422+0.0277517j 0.0539646-0.00640418j -0.0576514+9.15934e-16j 0.151413+0.00677334j -0.0652236+0.00294695j 0.0246254+0.0200305j -0.015581-0.000643362j 0.0685973+0.0790735j 0.0406889+0.0485472j 0.041306+0.0767363j -0.0189219-0.0259672j -0.0375204+0.0107966j 0.00417458-0.00519858j 0.0424731+0.00248218j 0.00883656+0.0225941j -0.00744897-0.0343985j 0.00598399-0.0623293j -0.0118635-0.0621587j -0.0074238+0.0381948j 0.0191524+0.03295j 0.0467047-0.0388326j 0.00806026-0.0303511j -0.0403991-0.00596735j -0.00327972+0.0564046j -0.031692+0.00103457j -0.00291821-0.000891141j 0.017483+0.00248279j 0.0126346-0.0277082j 0.0171026+0.00518512j -0.026198+0.014789j 0.018099-0.00732733j 0.00315169-0.00691589j 0.0266952-0.0426892j 0.00807734-0.000487678j -0.0166854+0.000224983j 0.010337-0.00733352j 0.00013701+0.00424557j -0.0113108-0.00163766j 0.0113817-0.0273657j 0.00667868-0.0141583j 0.00164421-0.0148285j 0.0301473-0.0256818j 0.00173945+0.0117935j 0.00131227-0.0245928j 0.0206732-0.0199015j 0.0404807-0.0276359j -0.0299597-0.0152346j 0.0123975+0.00281602j 0.00607318+0.00538626j 0.0246173-0.0213682j 0.0182872-0.0154737j 0.0414685-0.0079442j -0.0174806+0.0356592j -0.00305403-0.00401537j 0.0175561-0.0294679j 0.0471316-0.0254544j 0.046633-0.0101836j -0.0186394+0.00577157j 0.0327403-0.0195068j 0.00541942+0.0298049j -0.0189665+0.0225115j -0.0229893-0.0194019j 0.0338948-0.00499565j -0.042812+0.0665303j -0.061429+0.00368375j -0.0462198+0.0220746j 0.00428068-0.0557394j -0.0184917+0.0488589j -0.0953788+0.0198849j -0.0403301-0.0266283j -0.0399232-0.0157268j -0.123108-0.0208334j -0.00871026-0.0712097j -0.02864+0.0886926j 0.104791-0.0846979j -0.0254639+0.0253681j -0.028623-0.139383j 0.140428+0.225262j -0.0296049+0.0902073j -0.104311+0.127258j 0.0891359+0.0744887j -0.131932+0.0852242j 0.0924099-0.195419j -0.103773+0.05623j 0.0464636-0.0561731j 0.0409698-0.0464425j 0.0239158-0.0424305j -0.000640062+0.00390158j -0.197084-0.181304j -0.00245376+0.00840075j 0.0139906+0.0470879j 0.00110579+0.0773828j 0.0444126-0.0126659j 
-0.0277687+0.0132733j 0.00522338-0.0112428j -0.0197436+0.0346579j 0.0550485+0.0371748j 0.151413-0.00677334j 0.0689435+4.16334e-16j -0.0114576-0.0498559j 0.0710522+0.036574j -0.00293772-0.0631768j 0.00668222-0.0112637j -0.0763442-0.126902j 0.0301571-0.0129083j -0.031462-0.032337j 0.00180494-0.0954747j -0.0152156-0.015725j 0.0242227-0.00137301j -0.0498363-0.0732011j -0.011725+0.0186093j 7.65353e-05-0.0329765j 0.00895547+0.0194175j -0.00974581+0.0116665j 0.0142601+0.00920964j -0.00962219-0.0117543j -0.00583633-0.00625722j 0.00869393-0.0712541j -0.0190674+0.0136883j 0.00288901+0.0150442j -0.00231592+0.0180419j 0.00449797+0.0344884j 0.0116398-0.020139j 0.00201293+0.0490991j -0.01382+0.0142778j 0.00892882-0.019761j 0.0163178-0.0237564j 0.0252226+0.00187013j 0.0172671-0.00532229j -0.0382024-0.00805068j -0.00888927+0.053841j 0.0220054+0.0087228j -0.0128571+0.00276124j 0.00512578+0.00421836j -0.00173978-0.0259921j -0.0465426+0.0193991j -0.0170069+0.0197118j 0.000210669+0.00444529j 0.0311368+0.0116696j 0.0223565-0.0023714j 0.0122623-0.00679976j -0.0126271-0.00495208j -0.0357586+0.00939655j 0.028614-0.0197352j 0.0102659-0.035003j 0.000174635+0.0379938j 0.00475513+0.00124582j -0.0117391+0.00662339j -0.000873637+0.0222182j -0.00203661-0.0143598j 0.0125739+0.0329357j 0.00429077-0.00496455j 0.00472079+0.00587388j 0.0307496-0.0198521j -0.0237144+0.00946704j -0.0151637-0.0272145j 0.0121049-0.0066406j -0.027984-0.00648197j -0.0167554-0.0371031j -0.0417543-0.00727187j -0.00700495-0.0155932j -0.0264375-0.0484495j -0.050915+0.0184972j 0.0255682-0.0664589j 0.0279343+0.0591973j -0.0206907-0.0614433j -0.0101887-0.0769178j 0.0547307+0.0326007j -0.12555-0.0453224j 0.116249+0.0738605j -0.0366864-0.00129383j 0.192488+0.0908668j -0.102647+0.185358j -0.122122-0.0711144j -0.0703691-0.0592532j -0.0609562+0.111509j 0.00588324-0.182874j 0.0617391-0.0322077j 0.100414-0.174213j -0.00234958-0.0169867j 0.0147987+0.0501734j 0.00764614-0.0199499j 0.231596+0.13811j 0.000640062-0.00390158j 0.0231063-0.0211869j -0.038776+0.00641961j 0.051152+0.0194898j 0.000906219-0.095409j 
0.0482373+0.00133669j -0.00703417-0.0669648j -0.0420372+0.0912805j 0.00293533-0.0308161j -0.0652236-0.00294695j -0.0114576+0.0498559j -0.0406078+1.38778e-17j 0.111172+0.0280938j 0.00674709-0.0142321j -0.0191261-0.00110371j 0.063655-0.0243306j 0.0865905+0.0222843j -0.0438134+0.0342668j -0.00919047+0.00448456j 0.0103822-0.023602j 0.0322333-0.0041652j 0.000961755+0.010098j -0.0151111+0.0101387j -0.000679215-0.00566333j 0.0300129-0.000185468j 0.0255544-0.0168308j -0.0371519-0.0555031j -0.022817-0.0471794j -0.059347+0.00482125j -0.00977355+0.0788195j 0.032136+0.0394065j 0.0304685-0.00663082j 0.00836596+0.00221391j 0.0408712-0.0151251j -0.0179068+0.0193423j 0.0338162+0.0288187j 0.00787488-0.0298558j -0.024644+0.0059378j 0.0163592+0.0187653j 0.00986637+0.0137076j 0.0225683-0.012176j -0.0322342+0.0442573j 0.0111086-0.0654639j 0.00273282-0.02403j -0.0180901+0.02514j 0.0234064+0.00134563j -0.0117173+0.0168686j -0.00868812+0.0054368j -0.00102785+0.0122367j 0.0294892+0.0155149j 0.00326004-0.0240136j 0.00278165-0.0119716j 0.00484157-6.76679e-05j -0.00831461-0.0235251j 0.000907402+0.0306092j 0.0074326+0.017358j -0.00983848-0.0289449j 0.0195906-0.00222619j 0.0317141-0.021497j 0.00307239-0.00632906j -0.00946035+0.0536311j 0.0105974-0.043552j 0.0190405+0.0211297j 0.00310684-0.0496667j 0.0144334-0.0205886j -0.0244922+0.0124206j 0.00549878-0.0107155j -0.0262419-0.0361831j 0.0328023-0.0151199j -0.0249003-0.0594341j -0.050243-0.0101704j 0.0317747+0.0092617j -0.0479531-0.0283663j -0.0020543-0.0100699j 0.0235512+0.129433j 0.00834241+0.0464485j 0.0292455+0.0352773j 0.0320544+0.116701j -0.0522393-0.0796626j -0.15009+0.113019j -0.00342654-0.00652461j 0.0830823-0.0717044j 0.0720818-0.0609095j -0.066983-0.0667861j -0.0148715+0.0285425j -0.0317524+0.00379015j 0.146198-0.130913j -0.0523813-0.0276668j -0.201028-0.0268856j -0.0582514-0.00344657j 0.0585633+0.0739175j -0.162823+0.0572985j -0.00205912+0.118774j -0.0318367+0.155688j 0.00764614-0.0199499j -0.0239158+0.0424305j -0.200966+0.130894j -0.144778-0.0788747j 0.0657205+0.146914j 0.0285902-0.182179j 
0.0239049-0.0555971j 0.0390044+0.00920181j 0.0340227-0.00173107j -0.0568239+0.0512014j 0.0246254-0.0200305j 0.0710522-0.036574j 0.111172-0.0280938j 0.0167651-1.11022e-16j -0.094588-0.030723j 0.0231638+0.000384915j -0.0384255+0.0146313j -0.00521657-0.0126956j 0.0376658+0.0198692j -0.0298674-0.0621j 0.0207927-0.00188008j -0.0114825+0.0356871j 0.0237612+0.019961j 0.0478679+0.0205072j 0.00143171+0.0380528j 0.0430204-0.0280754j 0.0625249+0.000837355j -0.0429521-0.0551032j -0.042397-0.0380299j -0.0243191-0.0129779j 0.0609066+0.0348006j -0.0471115-0.00497243j -0.0306286-0.000383585j 0.0326008-0.00124903j 0.00929355-0.0188343j 0.00405435+0.0457868j -0.0351879-0.0133731j -0.0372092+0.00871229j -0.00505901-0.00319255j 0.00468115-0.00921821j 0.00677755-0.0302975j 0.0273826-0.00224018j -0.0108361+0.000783539j 0.0155401-0.0115384j -0.0410034-0.0330136j 0.00309546+0.0217375j -0.00982423+0.00799249j -0.0108698-0.0045364j -0.0155167+0.00202707j 0.0367972-0.0128448j 0.0199064+0.00726326j 0.0223094+0.0377709j -0.00419228+0.0155295j 0.0146197-0.00714691j 0.022372+0.0217897j -0.0335159-0.00165422j -0.0260594-0.0118335j -0.0295164-0.0212694j 0.0563095+0.0411381j 0.0432655-0.00212019j -0.00214238+0.0203442j 0.00449839+0.0333745j 0.0306015+0.000928037j 0.0139102-0.0424512j -0.0657886-0.00414549j 0.00988751-0.0094744j 0.0268052-0.0235891j -0.0467844+0.0118293j -0.0153769-0.0047856j 0.0213037+0.0250216j 0.0860838-0.0170589j -0.0405634-0.0329428j 0.0139521+0.0403754j 9.97549e-05-0.0263865j 0.033865-0.0387683j -0.099951+0.00110948j 0.0760857+0.115359j 0.0590821+0.14121j 0.00217892-0.0232476j -0.00856222-0.0789481j 0.0380565-0.176293j 0.0508983+0.0204083j -0.00612559+0.0136452j 0.0507181-0.128117j 0.0809998-0.0735854j 0.0467416-0.0362955j 0.146109+0.0175741j -0.0296719-0.0150881j 0.00767685+0.0400796j -0.00884422-0.0163301j 0.024657+0.0123166j -0.0747247+0.0672754j -0.0072286+0.00214231j 0.00986748+0.222971j -0.00205912+0.118774j 0.0147987+0.0501734j -0.0409698+0.0464425j 0.0782477+0.00314265j -0.0263655-0.13742j -0.0454333-0.34463j -0.346262-0.0501363j 
-0.0281793+0.0549898j 0.00329749-0.112456j -0.0216804+0.0223676j 0.0323175-0.0291147j -0.015581+0.000643362j -0.00293772+0.0631768j 0.00674709+0.0142321j -0.094588+0.030723j -0.0805081+1.52656e-16j 0.0622278+0.0430641j 0.0363979-0.030503j -0.0417427-0.0455774j 0.0105969-0.0597605j -0.0879792-0.0378372j 0.0188761-0.0119096j -0.0370721-0.00650484j 0.0179698-0.0270688j 0.00314225+0.0350844j -0.0362814-0.024446j -0.0535306+0.0136284j -0.0337564-0.026239j -0.00474592+0.0560121j 0.00539696+0.0573228j -0.0263217-0.0109176j -0.040669-0.062091j 0.0149476-0.00483392j -0.0230621-0.0273155j 0.0110055-0.0126181j 0.0108556+0.0178142j 0.00864932+0.00753985j 0.012033+0.0219863j 0.0192082-0.0242845j -0.00362821+0.0449217j 0.00250507+0.0239203j -0.00582659+0.0149599j 0.0100503+0.00951795j -0.0129857-0.00318464j 0.0100079-0.0109241j -0.0088535-0.000910795j -0.0353018+0.0219571j -0.00207405-0.011533j -0.0302661+0.0180517j 0.0265785-0.00186886j 0.0189039+0.0189464j -0.002135-0.00229314j -0.00845187+0.0107328j -0.0107137+0.00679807j -0.00211056+0.00524402j 0.0111558-0.00893102j 0.00309572+0.0077319j -0.0110503-0.00829258j 0.0104847+0.0365821j -0.010115+0.0273662j 0.0072612-0.026507j 0.021708-0.0094833j -0.014275+0.0363713j 0.0322217-0.0356212j 0.035988+0.0140624j 0.0392202-0.00498988j 0.0130978-0.0142166j -0.0204487+0.000653391j -0.0181868-0.0458367j 0.0264217+0.0138333j -0.0038348-0.034802j 0.042676+4.57913e-05j 0.0337977-0.0175016j -0.0382929+0.0659195j 0.0386909+0.118491j 0.00107707+0.00595722j -0.0536045-0.122925j -0.104812+0.0862564j -0.0137005+0.0017999j -0.13694-0.0207646j 0.0207579-0.121703j -0.0564057+0.108264j -0.110659+0.00423187j 0.104897-0.0436275j 0.0171657-0.101j 0.0330167-0.0801189j -0.0481413-0.0525314j 0.103759-0.0223257j 0.151909-0.0351921j 0.0515299+0.0232742j 0.0394264-0.0401679j -0.0379242-0.0362044j -0.0172588-0.0222287j -0.0613072+0.208834j -0.0072286+0.00214231j -0.162823+0.0572985j -0.00234958-0.0169867j -0.0464636+0.0561731j -0.0850549+0.199043j 0.0359877-0.0366752j -0.302205+0.0125972j 0.0906419+0.212004j 
-0.0237996-0.0265356j -0.00940835+0.00522687j 0.0287709+0.0433319j 0.0306525-0.0509747j 0.0685973-0.0790735j 0.00668222+0.0112637j -0.0191261+0.00110371j 0.0231638-0.000384915j 0.0622278-0.0430641j -0.0134849+5.55112e-17j -0.0114574-0.0663559j 0.0034581-0.0105501j 0.0273569+0.0389259j 0.0530903-0.0167785j 0.0102449+0.00492673j 0.0633336-0.00797825j -0.0400907-0.0250465j -0.00322657+0.00143633j 0.0360068+0.0709576j 0.0275574+0.0103192j -0.0359243-0.0482176j -0.0192083-0.00502195j 0.00594584+0.0392272j -0.0219078+0.000275102j 0.0226681+0.00887611j 0.00555469+0.0191591j 0.0394609-0.0244264j -0.0192585-0.0319547j -0.023209-0.00947808j 0.00937706+0.0150764j 0.00779219+0.0122465j -0.0105373+0.033239j 0.00757463+0.0280752j 0.00572546-0.0035945j -0.00108354+0.0264113j -0.0182031+0.0319785j 0.00787749-0.0354634j -0.00671278+0.0102122j -0.0564674+0.0636888j 0.0293503-0.0275421j 0.000549697-0.0280902j 0.0100859-0.0115708j 0.00225839-0.0038943j -0.0293113-0.0317123j 0.0479291-0.0469936j 0.0124358+0.0139225j -0.0282051+0.014571j -0.0171322-0.0281161j 0.00591394-0.0220964j -0.0163234+0.0290825j 0.00787241-0.013017j -0.0348416+0.00378779j -0.00543882-0.0146025j -0.0454692+0.0103681j -0.0185407+0.0476686j 0.0266811-0.0125263j -0.0177789-0.0372763j 0.00412699+0.0469923j -0.0567866+0.0653826j 0.0152368-0.0276398j 0.0256039+0.0559805j 0.0186612-0.0462286j -0.0273187-0.0630657j 0.0167066+0.00182728j 0.0252356-0.0363662j 0.0191161+0.0726152j 0.0587032-0.0363141j 0.0722998-0.00305565j -0.0650865+0.0476915j -0.000332632-0.00551137j -0.0210481+0.0415633j 0.0497795+0.0190934j 0.0286566-0.117768j -0.0212397+0.0235874j 0.212449-0.134531j 0.00236761+0.0749153j 0.202378-0.166981j -0.0236919-0.121488j -0.13883+0.0836968j -0.109616-0.0157886j 0.0666048-0.0206562j -0.0236215-0.047414j -0.0883559-0.0198773j -0.0916727+0.103873j -0.0755912+0.0862879j -0.110792+0.118965j -0.0172588-0.0222287j -0.0747247+0.0672754j 0.0585633+0.0739175j 0.100414-0.174213j 0.103773-0.05623j -0.214391+0.0771072j 0.0257811-0.238572j -0.0265668+0.0139758j -0.00713619+0.0862608j 
-0.0130221-0.00411679j -0.0242184+0.0105908j -0.0275212+0.00279434j -0.0475949-0.0274089j 0.0406889-0.0485472j -0.0763442+0.126902j 0.063655+0.0243306j -0.0384255-0.0146313j 0.0363979+0.030503j -0.0114574+0.0663559j 0.0618045-1.249e-16j 0.020661-0.0305759j 0.0200168+0.0579017j 0.0454512+0.0822285j -0.0130043+0.00170103j 0.0124505-0.0332274j 0.00955085-0.0451055j -0.00450514+0.0388411j 0.0579084-0.0151169j 0.00653362-0.0161118j -0.0436288+0.000791572j -0.0435766-0.0234823j -0.0163311-0.0634908j -0.0231714-0.0483619j 0.0487731+0.0460875j 0.00549359+0.00305545j 0.01425+0.0106808j -0.0125396-0.00196266j -0.0157276-0.0173939j -0.00322058-0.000380143j -0.00803818+0.0301461j 0.0331319+0.0376877j -0.0491631+0.0530254j 0.0101809+0.00801401j -0.00113307-0.0356246j -0.0105972-4.04078e-05j 0.0124113-0.0169976j -0.0142871-0.0795108j 0.000736623+0.0465887j 0.00983337+0.00156662j 0.0324438-0.0481434j 0.037377+0.022649j -0.00533769-0.00327174j 0.000407869-0.0504556j -0.00483624+0.0701571j 0.0279128-0.00625974j -0.00909353-0.00289296j 0.0304565-0.0103532j -0.00691341+0.00368731j -0.00317525+0.0070158j 0.015965+0.0268372j 0.0100369-0.0428183j 0.00381585+0.00407056j -0.00423238+0.0437653j -0.000613953+0.0119982j -0.00629759+0.0538415j 0.0180241-0.114941j -0.032124+0.0484558j 0.0147275-0.0420032j -0.0110396+0.0158954j -0.116335+0.0262823j 0.038537-0.046289j 0.00744847+0.030378j -0.020672-0.0188905j -0.0376896+0.00301101j -0.00428261+0.134283j 0.0246225+0.0731677j -0.0279078+0.0112921j 0.0957961-0.0527997j -0.0322035+0.0215481j 0.0435764+0.00882051j -0.0109677+0.0926783j 0.116462-0.0059566j 0.031314+0.00377632j 0.132087-0.0109863j -0.0691956+0.16709j -0.12446+0.206137j -0.0514033+0.0834014j -0.0685758-0.151881j -0.0456446+0.0436444j 0.0819646+0.024455j 0.0755084-0.055297j -0.0190337-0.0665217j -0.00904271+0.0173355j -0.0328129-0.135212j 0.0755912-0.0862879j 0.0379242+0.0362044j -0.024657-0.0123166j 0.0582514+0.00344657j -0.0617391+0.0322077j 0.0924099-0.195419j -0.0216874-0.0253682j 0.0540354-0.0733j -0.0146846+0.00291179j 0.00645058+0.0155143j 
