0.117155+1.38778e-16j 0.143785+0.0115618j 0.125562+0.0995072j -0.0123042+0.0328463j -0.0125445-0.00794018j -0.00594501+0.0386993j -0.0416733-0.0621431j 0.0454951-0.00455669j 0.0536428-0.174212j 0.0572099+0.0657502j -0.0314336+0.0223498j -0.126006-0.043982j 0.0459709-0.0250897j 0.0950094+0.0755829j -0.0320398-0.175732j 0.0141159-0.00691787j 0.043032+0.093147j -0.0517903-0.00976789j 0.0243929-0.0577738j -0.0767016-0.0744487j 0.143454+0.156402j 0.180821+0.0706902j 0.20683-0.309454j -0.154153+0.0280595j -0.0125361+0.000634848j 0.114865+0.265317j 
-0.126006+0.043982j 0.0642671+0.0705186j -0.215159-0.149395j 0.177186-0.0557973j 0.0563678-0.00945722j -0.128978-0.0131775j -0.32467-0.164083j 0.0923308+0.104628j -0.0488252-0.217339j 0.187466-0.0152088j -0.0879168-0.106325j 0.0585702+2.82933e-15j -0.129398+0.0496541j 0.212154+0.0667929j -0.0254758-0.11521j 0.0689778+0.00658969j -0.0636897-0.0447744j -0.0100002+0.0293268j 0.0590056-0.0672567j 0.0922719-0.00616166j 0.118982-0.0877396j -0.0847559-0.0164652j 0.0763776+0.0478774j -0.0612127+0.12304j 0.00329803+0.0110742j -0.123601+0.0563714j 
0.0459709+0.0250897j -0.0567952-0.0860077j 0.252837+0.280074j -0.263487-0.0581887j 0.0831271+0.048792j -0.0293939+0.10258j 0.190572+0.197734j -0.182185-0.313897j -0.10972-0.197559j -0.0663719-0.0316152j -0.102108-0.0775808j -0.129398-0.0496541j -0.169118-1.27676e-15j 0.00292335+0.0442236j -0.0592564+0.0333038j -0.0176744-0.0228597j 0.0129246+0.0233997j -0.0189593-0.0424661j -0.0892184-0.118625j 0.0693325-0.0678375j -0.00369435-0.119587j 0.0237086+0.0036068j -0.00838949+0.0577696j 0.0195538+0.0532679j -0.0834924+0.0973684j -0.0370334-0.0184485j 
0.0950094-0.0755829j 0.112305-0.068297j 0.0540921+0.0835813j 0.186746+0.26367j -0.142208+0.206375j -0.0661208-0.026858j -0.0188458+0.0093334j 0.052167-0.160136j -0.00410458+0.0495765j 0.0193798-0.107181j 0.0350616-0.147708j 0.212154-0.0667929j 0.00292335-0.0442236j -0.000754794-1.66533e-16j 0.155541+0.147185j -0.0373601-0.0254334j -0.0652687+0.0989923j 0.0698713+0.0103732j -0.0300058-0.00508831j -0.00731975+0.0683833j -0.102447+0.0776172j 0.0382468+0.0502819j -0.144917+0.0202579j 0.15645-0.155591j -0.0548144-0.0740476j 0.115419-0.0453826j 
-0.0320398+0.175732j 0.025306-0.0983834j 0.22954+0.0233385j 0.132044-0.0210828j 0.0310965-0.0902612j -0.0930233+0.0554225j 0.134499+0.115401j 0.102037-0.207188j 0.0973697+0.0387908j 0.111314-0.0779334j -0.0071294+0.175009j -0.0254758+0.11521j -0.0592564-0.0333038j 0.155541-0.147185j 0.214803-1.81296e-14j 0.191688-0.0253543j 0.0160044+0.0611265j -0.0031348+0.226016j 0.0816281-0.0175392j 0.0640682+0.0114752j 0.16979+0.0863861j -0.15452-0.0421681j -0.0912009-0.0948456j -0.116694-0.198832j 0.194505-0.110147j -0.0196278+0.23081j 
0.0141159+0.00691787j 0.112007+0.0222889j 0.0373192-0.0373778j 0.0137659+0.0536029j -0.0213585-0.0532859j 0.0717677+0.0330433j -0.0401673-0.0353232j 0.111937+0.0323986j 0.0604207+0.0567292j 0.0406934+0.0795586j -0.0395995+0.0238237j 0.0689778-0.00658969j -0.0176744+0.0228597j -0.0373601+0.0254334j 0.191688+0.0253543j 0.122169-1.0103e-14j 0.124045-0.103537j -0.142028-0.105331j 0.016402-0.132196j 0.119414-0.067861j 0.0309654+0.0379498j 0.15153-0.199195j -0.28404-0.0859456j 0.00171244-0.0267712j 0.0550949+0.262397j -0.13672+0.0167978j 
0.043032-0.093147j -0.0686115+0.0870532j -0.186225-0.0908242j -0.00509531+0.0367187j 0.0176748-0.0904373j 0.0404596-0.0368063j -0.0432957+0.0649912j -0.0594519+0.160788j -0.0145932+0.12146j -0.0135524-0.0056159j 0.0345286+0.126887j -0.0636897+0.0447744j 0.0129246-0.0233997j -0.0652687-0.0989923j 0.0160044-0.0611265j 0.124045+0.103537j 0.0817464-4.30211e-16j 0.0361268+0.108798j -0.0309338-0.0984361j 0.180487-0.143732j -0.0642828+0.019358j -0.0647522+0.0955713j -0.200336-0.0416229j 0.06928-0.331386j 0.0410742-0.0555224j 0.0720027+0.0945893j 
-0.0517903+0.00976789j -0.0192703+0.0355914j 0.0170061+0.0937748j -0.0219404+0.0680413j 0.0511342+0.0791369j -0.0160083+0.0132016j 0.024267+0.0194306j -0.0204542-0.0711125j -0.0545833+0.0251737j -0.0199936+0.0159887j -0.0122358-0.015305j -0.0100002-0.0293268j -0.0189593+0.0424661j 0.0698713-0.0103732j -0.0031348-0.226016j -0.142028+0.105331j 0.0361268-0.108798j 0.01462+9.71445e-17j 0.223701-0.0682637j 0.235605+0.184298j 0.176662-0.206359j -0.10628+0.0170056j -0.112966-0.0480532j 0.0908426-0.0897026j -0.0472995+0.0526231j -0.130079-0.0543721j 
0.0243929+0.0577738j 0.145403+0.190473j -0.0230516-0.0820446j -0.0683566-0.0760854j 0.0251234-0.0972493j -0.0913227+0.103685j -0.023839-0.000579518j 0.00232066+0.06789j 0.0670124-0.0555427j -0.023233+0.00959546j -0.155475-0.00311973j 0.0590056+0.0672567j -0.0892184+0.118625j -0.0300058+0.00508831j 0.0816281+0.0175392j 0.016402+0.132196j -0.0309338+0.0984361j 0.223701+0.0682637j -0.100724-8.84709e-17j 0.234041-0.0472273j -0.0812839-0.193735j -0.0481794+0.0911498j -0.159134+0.0801795j -0.0226716+0.0447266j -0.116192+0.169814j 0.0125462+0.0398544j 
-0.0767016+0.0744487j 0.102038+0.0218159j 0.131048+0.117788j -0.0676039+0.0506725j 0.0165935-0.00291063j -0.0226457+0.1193j 0.00123422-0.0812943j 0.0263403+0.00601856j -0.0530716-0.0404086j 0.0116787+0.00323682j -0.0646514+0.0291927j 0.0922719+0.00616166j 0.0693325+0.0678375j -0.00731975-0.0683833j 0.0640682-0.0114752j 0.119414+0.067861j 0.180487+0.143732j 0.235605-0.184298j 0.234041+0.0472273j 0.0779941+6.93889e-17j -0.0300776+0.106849j 0.119388+0.203128j -0.0165179-0.190589j -0.0435014-0.082731j 0.00458847+0.062305j -0.00629767+0.0114415j 
0.143454-0.156402j -0.087916-0.0203718j 0.0252825+0.247592j -0.147006+0.0853656j -0.0265102+0.0935366j -0.0143639-0.0955074j -0.0962627-0.0916911j 0.000240419+0.0592504j 0.045994+0.076484j -0.00110473+0.0198683j -0.0795034-0.0698221j 0.118982+0.0877396j -0.00369435+0.119587j -0.102447-0.0776172j 0.16979-0.0863861j 0.0309654-0.0379498j -0.0642828-0.019358j 0.176662+0.206359j -0.0812839+0.193735j -0.0300776-0.106849j 0.0984172+1.17961e-15j -0.155779+0.045117j -0.0947741-0.0664018j -0.0907239+0.00154098j 0.021995-0.010181j 0.0992056+0.143779j 
0.180821-0.0706902j 0.00679629-0.295758j 0.0516126+0.077714j 0.130669+0.0050193j 0.0453809+0.100726j -0.00569514-0.0239766j 0.0274378-0.0235277j -0.0276274+0.0633466j 0.0297802+0.024241j -0.020873+0.0498189j 0.0490892-0.0254924j -0.0847559+0.0164652j 0.0237086-0.0036068j 0.0382468-0.0502819j -0.15452+0.0421681j 0.15153+0.199195j -0.0647522-0.0955713j -0.10628-0.0170056j -0.0481794-0.0911498j 0.119388-0.203128j -0.155779-0.045117j 0.0319034-1.11022e-16j 0.11369+0.032602j -0.0383697-0.00416952j 0.0512351-0.00789518j 0.0205873-0.00862604j 
0.20683+0.309454j 0.200444+0.00578165j 0.17186-0.0971523j 0.0449241-0.0421719j -0.0380703+0.00754097j -0.0467626-0.0144175j -0.147315-0.088212j -0.0698128-0.0220893j 0.174899+0.0601225j -0.0754993-0.0547679j -0.097176-0.0427753j 0.0763776-0.0478774j -0.00838949-0.0577696j -0.144917-0.0202579j -0.0912009+0.0948456j -0.28404+0.0859456j -0.200336+0.0416229j -0.112966+0.0480532j -0.159134-0.0801795j -0.0165179+0.190589j -0.0947741+0.0664018j 0.11369-0.032602j 0.00512838+4.09395e-16j -0.013725-0.0553674j -0.0855118-0.0918132j 0.0714174+0.169008j 
-0.154153-0.0280595j 0.13839+0.141655j -0.0955024-0.249102j 0.184803+0.00288261j -0.0769925-0.0751713j 0.0387353+0.0960802j 0.237205+0.18177j -0.000732353-0.11397j -0.0436406-0.116455j 0.0206932-0.0240154j 0.165975+0.049738j -0.0612127-0.12304j 0.0195538-0.0532679j 0.15645+0.155591j -0.116694+0.198832j 0.00171244+0.0267712j 0.06928+0.331386j 0.0908426+0.0897026j -0.0226716-0.0447266j -0.0435014+0.082731j -0.0907239-0.00154098j -0.0383697+0.00416952j -0.013725+0.0553674j -0.120456-2.77556e-17j 0.118173+0.046454j 0.109516+0.0858015j 
-0.0125361-0.000634848j -0.174917+0.25458j -0.136229-0.108187j -0.159076+0.00204036j -0.00961358-0.15574j 0.0259797+0.0181463j -0.015314+0.121535j 0.00975756-0.0640907j -0.0462851+0.00349382j 0.00615035-0.0427912j -0.0250715+0.0262183j 0.00329803-0.0110742j -0.0834924-0.0973684j -0.0548144+0.0740476j 0.194505+0.110147j 0.0550949-0.262397j 0.0410742+0.0555224j -0.0472995-0.0526231j -0.116192-0.169814j 0.00458847-0.062305j 0.021995+0.010181j 0.0512351+0.00789518j -0.0855118+0.0918132j 0.118173-0.046454j -0.16756+6.21725e-15j -0.134866-0.00882914j 
0.114865-0.265317j -0.0207654+0.0501346j -0.11429+0.0260949j 0.129634+0.189669j -0.0886979+0.0266584j 0.00210157-0.0421436j 0.0872945+0.18438j -0.0272934+0.0584018j -0.0289472+0.0184126j -0.0258125+0.00588697j 0.178891+0.0869908j -0.123601-0.0563714j -0.0370334+0.0184485j 0.115419+0.0453826j -0.0196278-0.23081j -0.13672-0.0167978j 0.0720027-0.0945893j -0.130079+0.0543721j 0.0125462-0.0398544j -0.00629767-0.0114415j 0.0992056-0.143779j 0.0205873+0.00862604j 0.0714174-0.169008j 0.109516-0.0858015j -0.134866+0.00882914j 0.144281+8.32667e-16j 
