-0.309114-0.0838308j 0.041099-0.418315j 0.237336-0.107115j -0.21091+0.0497717j 0.100669+0.0141148j -0.0489425-0.312844j -0.263126+0.057318j 0.0939823-0.0346062j 0.208232-0.0408209j 0.259512-0.0316029j -0.217013-0.352315j -0.174828+0.26831j -0.149654-0.135045j -0.0120949-0.00294899j 0.0744732-0.0125372j 0.0383535-0.00488321j -0.0235539+0.0206352j 0.0196031-0.0104598j -0.0498111-0.0436847j -0.0148779-0.00846446j 0.033741+0.0374891j 0.0268131-0.0262656j -0.123181+0.0428015j 0.0435905-0.0295875j -0.0130598-0.114943j -0.0591741+0.00697933j 
0.0501817+0.0538958j -0.102887-0.00978083j 0.0765596+0.00523384j 0.0607313+0.0320279j 0.00826507-0.00231891j -0.0521936+0.0633071j 0.0871504-0.0386171j 0.0405127-0.00602967j 0.00906532-0.038272j 0.154814-0.00030598j 0.0459524+0.00611676j -0.0981709+0.0992529j -0.0139534-0.164814j 0.159787-0.404332j -0.0599173+0.0384201j -0.0477503-0.0295397j -0.479114-0.164189j 0.125402+0.0201859j -0.0524915-0.0803416j -0.098518-0.213416j -0.0746918+0.254464j -0.171844+0.00454112j 0.0141574+0.0965687j -0.0189619+0.0473991j 0.0490668+0.361209j 0.33577-0.0999225j 
-0.106283-0.119185j 0.183865-0.0408515j -0.0295879+0.0468702j 0.0285491+0.00641473j -0.0377953+1.03704e-05j -0.0535417+0.00362872j -0.0881052-0.0147041j -0.0121953-0.0204387j -0.0300671-0.120942j -0.206172-0.0550804j -0.108841-0.0962495j 0.0217426-0.0465954j -0.0445992+0.343862j -0.0295493-0.103427j 0.0240185+0.119j -0.191355+0.0248819j -0.116902-0.20587j 0.0845556-0.139711j -0.0652766+0.156621j -0.203308+0.120349j -0.453888+0.146105j -0.0297474+0.0254375j 0.172178+0.107621j 0.133813+0.414448j -0.0470278-0.111043j -0.179957+0.0143306j 
-0.00413033+0.00323123j -0.0115432+0.014374j 0.00566038-0.00732629j 0.0140237+0.00822749j 0.00608244-0.00390268j 0.00904232-0.00477713j -0.00191649-0.00970738j 0.011039-0.0169377j 0.00927084+0.00344611j 0.0246991-0.0336903j 0.00484118-0.00919261j 0.00956212+0.00702368j 0.0128547-0.0312523j -0.0851951-0.0166762j -0.0026299+0.0265174j 0.0111827+0.0173498j 0.019413+0.00322177j 0.0122938+0.0144968j 0.0559919-0.0577922j -0.0256992+0.0361816j -0.0293862-0.0201516j 0.0193181+0.0319999j -0.0328614-0.0260263j -0.014757+0.00609645j -0.0309427+0.0331113j 0.0780608+0.0530369j 
0.0172388-0.00765339j -0.0221498-0.00430385j 0.00840153-0.00992472j -0.0355915-0.0293351j -0.00217441-0.0130295j -0.0165681+0.0146477j 0.0287649-0.00103402j -0.0371356+0.0131125j -0.0122257-0.0271943j -0.00300693-0.000558319j 0.000502654+0.00302816j -0.0524593+0.0128617j -0.0130178-0.0167747j -0.0305833-0.014701j 0.00196181+0.00152405j 0.0072901+0.0118478j -0.00733525+0.000266784j 0.00828462+0.0117581j 0.0277154-0.0266869j -0.0228906+0.00440147j -0.00898632-0.0082155j -0.000539817+0.024021j -0.0178583-0.0050292j -0.0122274-0.000657515j -0.0109926+0.020016j 0.0282416+0.0229101j 
-0.00975103-0.00765939j -0.00550798+0.0188581j -0.00436426+0.000304996j -0.0129789-0.000947515j 0.013893-0.0288178j 0.00654842-0.00026725j 0.00083954-0.0220595j -0.0306321-0.013913j 0.00173787-0.013832j 0.0177975-0.0226195j 0.0135359-0.0174082j 0.0165736+0.00715655j 0.00746423+0.00470303j -0.00502656-0.01607j 0.0148567+0.0639579j -0.018746-0.0412708j 0.0341004+0.00825697j 0.0305845-0.0232741j -0.0367397+0.0337385j 0.0503173+0.0244084j -0.00119303-0.0115185j 0.0154134-0.0731957j 0.0112536-0.0526176j 0.0246686-0.0402983j 0.0107848-0.0138264j -0.00399445+0.02972j 
0.0220952-0.0140967j -0.0120119-0.000774171j 0.00934894-0.0255943j 0.0112419-0.0139538j -0.0422709+0.0277659j -0.00033454+0.00253926j 0.00496053+0.0109403j 0.0336471+0.0377648j 0.00868711+0.00412905j 0.00179845-0.0360398j -0.00377918+0.00506033j -0.00802341-0.0140454j -0.0027974-0.00850764j -0.0107715-0.0172877j 0.00519601+0.047253j -0.00356213-0.0277185j 0.0194499+0.00355279j 0.0248299-0.00571086j -0.0233672+0.0117102j 0.0289524+0.02042j 0.000937244-0.012515j 0.0186989-0.0441094j 0.0100105-0.0361842j 0.0199228-0.0274599j 0.00412539+0.00200033j -0.00170546+0.0234353j 
-0.0291133-0.0186874j -0.00789523+0.0104801j -0.0223383-0.00460668j 0.00990562-0.0240809j -0.0348316-0.0129205j 0.0108504+0.00774111j 0.0106472-0.00894464j 0.00366495+0.00297006j 0.0386935-0.0347124j 0.0180658-0.0118725j 0.0254021-0.00950721j 0.0174972+0.00632675j -0.0173773+0.0153088j 0.017699+0.0295645j -0.0149131-0.0147278j -0.0188247+0.0405556j 0.0170763-0.0181666j -0.0542452-0.0312558j -0.0129662+0.0037639j -0.0266648-0.00924712j -0.0246702+0.00617836j -0.0079842+0.0264042j 0.00860002-0.000925574j 0.0450552+0.0129959j 0.00611805-0.00795042j -0.00932128+0.00784277j 
-0.0479693+0.00671509j 0.00376652-0.0242329j -0.0175159+0.00723865j 0.0159906-0.0141002j -0.0232195-0.0115285j 0.00931136+0.00796348j -0.0025305+0.0110481j -0.00472713+0.0120751j 0.0225455+0.000556281j -0.0376479+0.043392j -0.0119769+0.0161188j -0.00636155+0.00672462j 0.0293955+0.00859396j -0.0170644-0.0261717j 0.0188582+0.00306803j 0.0325505-0.0476546j -0.0425674+0.020922j 0.0638098+0.0614032j 0.0279829+0.00573923j 0.0139009+0.0133642j 0.0237914+0.00118176j 0.00715741-0.0203412j -0.0149346+0.0221907j -0.0754458-0.0106513j -0.00401843-0.00348537j 0.00972909-0.0221524j 
-0.000578828-0.000836352j -0.00345536+0.00878141j 0.00320755-0.00596213j 0.001834-0.00117508j -0.00124655-0.00282116j -0.00316743-0.00277435j 0.00430484-0.00478143j -0.00606136-0.00258306j -0.00041194-0.000433315j 0.0104583-0.0158363j 0.0066718-0.00335253j -0.00431537+0.00639241j 0.00686603-0.010044j -0.0185433+0.00507626j -0.00472672+0.0118128j -0.000223466+0.000795097j -0.0161242-0.0125472j -0.00223652-0.00439145j -0.0141923-0.0119184j 0.0185616+0.00299454j -0.0100516-0.000524195j -0.00866586+0.00700911j 0.010603-0.0101508j -0.011472-0.0148215j 0.00127245+0.0127122j -0.0178039+0.0144017j 
-0.0130016+0.00339008j 0.012095+0.00698293j -0.0021191-0.00557576j 0.0131531-0.00151236j -5.85834e-05-0.00575708j -0.00725357-0.0177164j 0.00159489+0.00364855j -0.0133104-0.0157893j -0.00561415+0.00856416j 0.00196964-0.00498044j 0.0154378+0.00662002j -0.00924275+0.010709j 0.0136425+0.00694334j -0.0113908+0.00775719j -0.00358414-0.00823827j -0.00273056-0.000583745j -0.0097446-0.0196984j -0.00495742+0.00225711j -0.00591127-0.00655002j 0.0114833+0.00168098j -0.000176128-0.00220348j -0.0135443+0.00299118j 0.0140258+0.0120166j -0.00554046-0.0139275j 0.00387999+0.00264727j -0.0360598-0.0101748j 
