-0.000227235+0.00479808j 0.0116762-0.000481476j 0.00984926+0.00112819j 0.00336397-0.00478353j -0.00384071-2.54065e-05j 0.0113169-0.000443153j 0.0060665-0.00592061j -0.0062193-0.0010037j 0.00417477-0.00229089j -0.00912403+0.000472649j 0.015331-0.0035325j 0.00420819+0.00138728j -0.0306275+0.00196721j -0.00594633-0.00469761j 0.00358422-0.00219365j 0.00847096-0.000374261j 0.00326428-0.00140021j 0.00704569-0.0012032j -0.0135275-0.00136947j 0.0016055-0.00156227j 0.00352088+0.000202165j -0.0116527+0.00187359j -0.0131829+0.00325407j -0.0175632-0.000859033j -0.00192715-0.000924796j 0.0105365-0.00147683j -0.00810555+0.000619547j 0.0115933-0.000675334j 0.00184346+0.00168872j 0.000198599-0.00158554j 0.000210005-0.00132009j -0.00361344-0.00198627j 0.00286451+0.00160979j -0.0113758+3.17415e-05j 0.00709057-0.00106058j -0.00466482-0.000690831j -0.00357297-0.00204312j -0.000848722-0.000150981j -0.00297083-0.00136406j 0.000616843-0.000482912j 0.00676796-0.000405001j -0.00552577+0.000675651j -0.00440765+0.00104928j 0.00602563-0.000375759j 0.00419364-0.000362756j 0.00237172-0.00242728j 0.00370048-0.000106738j 0.0154654+0.000459663j 0.000416353+0.000958652j 0.00700714-0.0012344j 0.00636244+0.000945045j -0.00473062+0.00301111j -0.00230131-0.00115675j 0.00552565+0.000729593j 0.00408702+0.000676049j -0.00904081+0.00254206j -0.00904558-0.000821111j -0.00443643+0.000859804j 0.00332637+0.00169364j 0.00113581-0.000460254j 0.0118969-0.00121863j -0.00407833-0.00143767j -0.00108144-0.00192868j -0.00965469+0.00239751j -0.0053597-0.00247108j -0.00497171+3.61777e-05j -0.00727743-0.00198942j -0.00618338+0.00563183j 0.00717708+0.00158358j 0.000269732+0.00290039j 0.00391409+0.000802976j 0.00322628-0.00313018j -0.00276782-0.00266638j 0.00216092+0.00315478j 0.0139813-0.00383799j 0.0206808-0.00314296j -0.00117666-0.00316399j 0.0114812+0.00242863j -0.00439647-0.00732318j -0.0203942+0.00040885j 0.0191588-0.00189931j -0.00185675+0.00163281j 0.00337372-0.00980323j 0.0149634-0.00434494j -0.076734-0.00363205j -0.0633255+0.0230767j 0.0394355-0.00576729j 0.0194378+0.000658151j -0.00123259-0.00634262j 0.0219477-0.00668189j 0.00680532-0.000474865j -0.0118067+0.00257986j 0.0117177-0.000506559j -0.0165973+0.00181291j -0.0241869+0.00358275j -0.0153286-0.00179279j 0.255976-0.0146705j -0.895284-0.00478394j 
0.0115428-0.000513931j 0.00019057-0.00489005j 0.00462878-0.00419654j -0.0111206-0.000345756j -0.00284146+0.00201785j 0.00364344-0.00392153j -0.0148723-9.62349e-05j -0.00661276+0.00297481j -0.00864245-0.000565529j 0.00258302-0.000441884j 0.00226359-0.0026915j 0.0209165-0.00294325j 0.00981239+0.00444031j -0.0248518-0.000242802j -0.00813811+0.00234472j -0.00692108-0.00103933j 0.00210506-0.00156482j 0.00262732-0.00260132j -0.0155531+0.00145156j -0.00544973+0.000183356j -0.00343476+0.00110126j 0.0157532+0.00121178j 0.0110442+0.00278366j -0.0123919+0.00487509j -0.00217776+0.000663684j -0.000692381-0.00252964j -0.00278375-9.25321e-05j -0.00260332-0.00174462j 0.0125296-0.00173665j -0.00459933+0.002136j -0.00280823-0.000449074j -0.00495141+0.000499581j 0.0076705-7.95713e-05j 0.000531548+0.00187512j -0.0041469-0.00138157j -0.00850114+0.000213213j -0.0121311+0.00216215j 0.00309825+0.000121515j -0.00790279+0.00267422j -0.00506+0.000866916j -0.000430376-0.000793932j 0.00566196+0.00144403j 0.00764379+0.000323026j -0.00205395-0.000262841j 0.00227127-2.06319e-05j -0.011559-0.000515104j -0.00152987-0.000723632j 0.00603192-0.0036473j 0.00118321-0.000315458j 0.00232268-0.00137333j -0.00221815-0.000997914j 0.0102815-0.000330116j -0.00567379+0.00186573j 0.00520599-0.00133218j 0.004495+2.63016e-05j 0.0089235+0.00149884j -0.00578845+0.00303579j 0.00368801+0.000359155j 0.00277959-0.000540401j -0.00392642-0.000536451j 0.000371957-0.00186673j -0.00759869+0.00132692j -0.00936522+0.000974616j 0.00667507+0.00248206j -0.00677503+0.00239079j -0.00326361+0.00149369j -0.00765441+0.00226336j 0.0153126+0.00118112j 0.00742196-0.00150913j 0.00650929-0.00162439j 0.00388172-0.000495914j -0.0127577+0.00017819j -0.00473167+0.00154943j 0.0162398-0.00197049j -0.00799172-0.00602556j -0.00862671-0.00568739j -0.00334213-0.000258983j -0.000748005-0.00153645j -0.0222153+0.00478223j -0.00596615+0.00666413j 0.00797724-0.00504714j 0.010767-0.00239871j -0.0387154+0.000443703j -0.012304-0.000813624j -0.0619067+0.023641j 0.0742821+0.00480375j -0.00508477-0.00674379j 0.017011-0.0064827j -0.0410389+0.00761389j -0.00501928-0.00291015j 0.00682984-0.0039544j 0.0101979-0.000614918j 0.0201174-0.00280525j 0.00473802+0.000730692j -0.00594708-0.00250734j 0.0325691-0.0038281j 0.895426+0.00466329j 0.255699-0.0146693j 
0.00587909+0.00103589j 0.00765521-0.00261399j 0.00268486-0.000249802j 0.00357654+0.00165477j -0.00592576-0.00406891j 0.0154425-0.00155976j -0.00198933+0.000850456j -0.000276871-0.00257063j -0.0120563+0.00471459j -0.000842969+0.00319678j 0.0129037+0.000141568j 0.0238196+0.00179965j -0.00463903+0.0020799j -0.0194294-0.000543189j 0.0035764-0.0026707j -0.0111959+0.00233034j -0.00183846+0.00243079j -0.0107909+5.08857e-05j -0.0113311+0.00217779j 0.00572254-0.000319882j -0.0149454+0.000191844j -0.000356843+0.00217338j -0.00490062-0.000569038j -0.000306278-0.00193772j 0.000398991+0.00315304j -0.00321188+0.00180308j -0.00491144+0.00281452j -0.00364294+0.00293757j 0.0156473-0.00229712j -0.00649717+0.000321443j 0.000687403+0.000910753j -0.00135989+0.00185617j 0.00380716-0.00188434j -0.00526432+0.00126629j -0.00164577-0.00111298j -0.0110874-0.000900609j -0.00170508+0.00338575j 0.00575865+0.00208366j 0.00310661-0.00145475j -0.00457255+0.00149085j -0.000875171-0.00185743j -0.00853238-0.000137636j -0.00643959+0.000564387j -0.00033681+0.000553729j 0.0117668-0.00286443j -0.00407037-0.000379101j -0.00185809-0.000188606j -0.00480153+0.00163135j 0.00482355-2.43348e-05j -0.00606086+0.00664353j 0.00961866-0.00494832j 0.00464891-0.00123853j -0.0028733+0.000466415j -0.00147684-0.000798767j -0.0085419+0.00378202j 0.00202886-0.0046402j -0.00225954-0.000444917j 0.00301841-0.00453971j -0.00227747+0.000556932j -0.00546532-0.000617934j -0.0212179+0.00460114j 0.00429407-0.00102403j -0.00576835-0.00198922j 0.003964-0.00343832j -0.0200807+0.00193304j 0.0141474-0.00248495j -0.00301608+0.00251466j 0.0117941-0.00704267j 0.0110629-0.00582865j 0.0164223-0.00318229j -0.00373031+0.00335508j 0.0312991-0.00680076j 0.00749609+0.00358346j 0.0134394+0.00528551j -0.0687719+0.0061551j 0.0141838-0.00124698j -0.0396377+0.00810975j 0.0765073-0.0103966j -0.00378718+0.00363275j -0.00800153-0.00666836j -0.0206807+0.0103053j -0.0434798+0.00696414j -0.00282471-0.00165349j 0.0460158+1.12537e-05j -0.0460142-0.0163904j -0.0760488+0.00824868j 0.0769698-0.00113838j 0.0387911+0.00401631j 0.0258375-0.0102766j 0.0223921+0.00283165j 0.00950914+0.000549685j -0.0242788+0.00225603j 0.0308781+0.0012309j 0.00598469+0.00246944j -0.221353+0.0109667j -0.888975-0.00461842j 0.0228683-0.00319303j 0.0199712+0.000531911j 
-0.00810184+0.00267606j 0.00764935+0.00107434j -0.000556835-0.000567081j 0.000717068+0.00139993j 0.0158012-0.00200267j 0.00716911+0.00242905j 0.0084462-0.000912449j 0.00683117+0.00140866j -0.00886815-0.000978094j -0.0265446+0.00101589j 0.0111601-0.000295052j -0.0132552+0.00303885j -0.028659-0.0012769j -0.00251414-0.00154552j 0.0074391+0.00215797j -0.000237114-0.00165251j -0.00818826-0.00127433j 0.0148904-0.00375002j -0.0158837-0.00103472j 0.00503218+2.80782e-05j -0.00675291-0.00188191j -0.00926289-0.000344195j -0.0018751-0.00082874j 0.00834311+0.000456244j -0.0177195+0.000294602j -0.0104374+0.00129147j -0.0145693-0.00170839j -0.00270635-0.000418648j 0.0124147+0.00062287j -0.00711062+0.000991847j 0.001676-0.00102741j -0.0105574+0.000359287j 0.00760493-0.000466077j -0.00151483-0.000860374j 0.0054561-6.09256e-05j 0.00823251-0.00309103j -0.0227757+0.00125185j -0.0135673+0.00089977j 0.00295368+0.0018915j -0.00467599-0.00122302j 0.00959343+7.3089e-05j 0.00304165-0.00127151j -0.000505206-0.00152457j -0.00930104+0.00153518j 0.00850756+0.00291935j 0.00458378-0.00126573j 0.004445-0.00113435j -0.000951988-0.000375269j 0.00159056-0.000225351j -0.0199451+5.74406e-06j 0.0150127+0.00122835j 0.00214163+0.000319787j -0.00816326-0.000113174j 0.00724509-0.000893061j -0.0173288-0.000249848j 0.0201156-0.000379695j -0.00424039-0.000471976j 0.0219834-0.000249878j -0.0115013-0.000485641j -0.00218832-0.00135963j -0.0208947-0.00229847j 0.00520319+0.00127444j 0.00837829-0.00134369j 0.0119478+0.000374426j -0.00325377-0.0034008j 0.0138456+0.00314304j -0.0181348-0.000839582j 0.0262288+0.00136302j 0.00992463+0.00108489j 0.00109708+0.00296765j -0.00245935-0.00115788j 0.00738461+0.00903402j -0.0193363+0.00222468j -0.015791+0.00205057j 0.0516154-0.0149995j 0.0385571-0.000165204j -0.0422249-0.00133968j 0.0331592+0.00785163j -0.0590592+0.00731497j 0.017703+0.000925378j -0.0361548-0.00319769j 0.0247235-0.0110356j 0.0873847-0.00618116j -0.0191571+0.00820282j 0.103254-0.00679458j -0.0550024-0.0134775j 0.00772686+0.00974485j -0.0561514+0.00543553j 0.0387894+0.00534397j -0.00467833+0.00406596j 0.0185502-0.00354521j -0.0749598+0.00261122j -0.0214471+0.00315567j 0.0767287-0.00651612j 0.887714+0.00279906j -0.218634+0.0105798j 0.0123755-0.000700212j -0.0144571+0.00263624j 
0.00557851+0.0012639j 0.00410215-0.00202892j -0.00152354+0.00103698j 0.0100105-0.00169198j -0.014407-0.000472587j 0.00820436-0.0035634j -0.00252893-0.000590381j 0.00186458-3.46992e-06j -0.00594256+0.000626521j 0.00480357+0.00109182j 0.00321437-0.000689258j 0.0135423+0.000346337j -0.000131874+0.00180065j -0.0136046-0.00105329j 0.0163504+0.000142181j 0.00184707-0.00101567j 0.00307251-0.00156923j -0.0329436-0.000696607j -0.000744176+0.000128112j -0.00280979-0.000880863j -0.000684045+0.00246182j -0.0125008+0.00219392j -0.0160756+0.00265896j 0.000341927-0.000484521j 0.0258001-0.000791901j 0.0108326-0.000104229j -0.00703001-0.0004105j 0.00598503-0.00161096j -0.00220026-0.00180674j 0.0151818+0.00101351j -0.00319645-0.00147382j 0.0102341-0.00189879j -0.000890522+0.000384807j -0.000470965+0.000740047j -0.00613423-0.00114193j -0.0131083-0.00220376j 0.016995+0.00099063j 0.0112898+0.000469863j 0.00220111+0.00238102j 0.00151865+0.000500455j -0.0136148+0.00102971j -0.0100553+0.00196977j -0.000573618-0.00055949j 0.00732905+0.00255951j 0.0091047+0.00140109j -0.0102255-0.00160232j -0.0116794-0.000230126j 0.00393289-0.00106683j -0.00255793+0.000348433j 0.0193961-0.00124455j -0.0108304-0.00140316j 0.000795904+2.457e-05j -0.0108458+0.00306378j -0.00789451+0.000556128j 0.00869887+0.00214805j -0.0241337+0.00124931j 0.00472812+0.00231051j -0.0145819+0.00154627j -0.00832709+0.000821647j -0.014072+0.000311051j -0.0248787+0.000399092j -0.00716456-0.000443865j -0.0333792-0.00142925j 0.000292475+0.00403673j -0.00999075+0.00273244j 0.0135774+0.000826648j -0.0179039+0.00412268j -0.0174773+0.0014856j -0.0160826+0.000581746j -0.0137163+0.00436903j 0.0285411-0.0038653j -0.0377252+0.00688985j 0.0744371-0.00326191j 0.0401606-0.00357843j -0.0438307-0.0157049j -0.01184-0.00841439j -0.0538809+0.0041291j 0.0852122-0.00224733j -0.0269208+0.0114936j 0.00248503+0.00171979j 0.0216732-0.00149961j -0.0301286-0.00845961j 0.0396565-0.0132039j 0.0399327+0.00321723j 0.00379747+0.00243674j -0.0642794+0.00268792j 0.0709367-0.00509031j -0.00700633+0.0019949j 0.0444499+0.0021163j -0.0346534+0.0020691j 0.0905569-0.00864733j -0.0455399+0.00151956j -0.00635255+0.00361398j 0.914897+0.000602367j -0.0761777+0.00494053j 0.0306735-0.000262689j -0.00617763-0.000342153j -0.00989758-0.00459987j 
0.00733073-0.00140981j 0.00135968-0.00286278j 0.00871509-0.0020317j -0.00476451-0.00117598j -0.00601292+0.00436936j -0.00398672+0.000313078j 0.00340063+0.00256332j -0.0126486+0.00275013j -0.00480044+0.000145724j 0.0110942+0.000942953j 0.023579+0.00152064j 0.0262627-0.000441116j 0.0107244+0.00188453j -0.0229199+0.00323802j -0.0153453+0.000835875j -0.00887199-0.00333958j -0.00155574+0.00155041j 0.0143802+0.00109718j -0.014197+0.00118589j -0.0117623+0.00580873j 0.013434-0.00291125j 0.0164367+0.00217468j 0.0106741+0.000815596j -0.014185+0.000993156j 0.00465024-0.00222353j 0.0126241-0.00142605j 0.00395274+0.00317231j -0.0103652-0.00233514j -0.0206142+0.00110674j -0.00433903-0.00169872j -0.00656269+0.00176663j -0.0178023+0.00237018j 0.00408177-0.00168122j 0.000208565-0.000578957j -0.00951299+0.00283875j 0.00196815+0.000873752j -0.0145193+0.00239791j 0.00718596+0.000651736j -0.000423377+0.00309241j 0.0152184-0.00154425j 0.0103913+0.00225505j 0.0156113-0.00107149j 0.00517879-0.00226476j 0.0096285+0.000350263j -0.00386192-0.00317411j -0.00774799+0.00335769j -0.00137923+0.00127109j 0.0105204-0.00305142j 0.000160519+0.00108839j 0.00242966+0.00012964j -0.0169532+0.00278247j 0.00977857-0.00167642j 0.00410964+0.00226119j 0.00415378+0.000696898j 0.0152889-0.00197166j -0.00730379+0.00532313j 0.00961959+0.000582454j 0.0039984+0.000708875j -0.00193161+0.00204258j 0.00361414+0.000373583j -0.0403631+0.00785778j -0.00304772-0.00198842j -0.0237735+0.00550438j 0.0151335+0.00157328j 0.0246369+0.00377181j -0.0338089+0.00240015j 0.0387934+0.00350413j -0.0121828+0.00151339j -0.0330142+0.00586113j 0.0994876-0.00924351j -0.0169946-0.00145507j -0.0266952+0.00756481j -0.0146391-0.00447524j 0.00301535-0.00915128j -0.0153552+0.000630159j -0.00947653+0.000655203j 0.01794-0.00015598j -0.0109081-0.00156852j -0.0360686+0.00478158j -0.0862902+0.00517728j 0.0263164-0.00466449j -0.0179908-0.000259702j 0.00618987-0.000159795j 0.0397984-0.00140653j -0.0867923+0.00522763j -0.0498901-0.00681746j 0.0715025-0.00136767j 0.0224842-0.000446387j -0.0225021+0.0050909j 0.0405973+0.00250365j 0.12174-0.00255717j -0.102858+0.00488981j -0.910978-0.00276189j -0.0241159+0.00674858j -0.0159999-0.00195796j -0.00580392+0.00135216j 0.0120366+0.0065479j -0.00488795-0.00122039j 
-0.0064465+0.00294446j 0.00740917-0.000544551j 0.00566995-0.000492453j 0.00561721-0.00141804j -0.0037007+0.000440299j -0.00397873-0.00165638j 0.00921541+0.00109709j -0.0100577-0.0014076j 0.00755686-0.000848746j -0.0322434+0.00164721j 0.0124454+0.00188316j -0.0117372+1.01928e-05j -0.0420333+0.00157898j -0.0133878-0.00373971j 0.00610106-0.00264027j 0.0190295-0.000320799j -0.0019224-0.00167604j 0.0147676+0.00115271j -0.0160203-0.000909415j -0.02453+0.00169458j 0.0202985+0.000312321j -0.0071305+0.000882949j -0.00802773+0.00228207j -0.0134964+0.000426436j 0.00229441+0.00229983j 0.0110647-0.000669639j -0.0180433+0.000805165j 0.012136+5.99251e-05j 0.0120128-0.00413635j 0.00783733-5.64595e-05j -0.00357766-0.000668665j -0.0120398-0.00237794j 0.0151281+0.000957088j -0.000334356+0.000368413j -0.01293+0.00020276j 0.00252629+0.00049541j -0.0220326-0.00226552j -0.00868259+9.97242e-05j -0.0211294+0.00156014j -0.011523+0.0042545j -0.001851+0.000510033j 0.00529414+0.00311427j 0.0203032+0.000554248j -0.0173598+0.000563297j 0.0259086-0.00192465j -0.00960812-0.00277875j -0.00293639+6.15925e-05j 0.00147341+0.00235272j -0.00286097-0.000586098j -0.028217+0.00340575j -0.00906519-0.00253502j 0.00770493+0.0011274j -0.0152023+0.00169135j -0.00344937+0.00151847j -0.00581648+0.00323271j -0.00837187+0.000279988j -0.00418123-0.000263348j 0.0273782+0.000285376j -0.0197079-0.000790813j 0.0105899+0.000418857j -0.0130754-0.00701541j 0.0287157-0.0010182j -0.0119978-0.00103582j -0.0171617+0.00320836j -0.0342465+0.00515526j -0.022117-0.00165766j -0.0624711+0.00930476j -0.0264049+0.000873795j 0.0138889-0.00720046j 0.0670886+0.00301261j -0.0234194-0.000356388j 0.034084-0.00784608j 0.0485689-0.00976571j 0.0130847-0.000418276j 0.0284723+0.00677035j 0.0324287-0.000537011j 0.0582822-0.00134704j -0.0767309-0.000631438j 0.0551991-0.00990583j 0.0433952-0.00649484j 0.0348426-0.00151162j -0.0309215+0.00777324j 0.0486628+0.00484601j -0.0239251-0.00174983j 0.0625038+0.00446356j -0.0902807+0.00645496j -0.028685-0.00264291j -0.101615-0.0013485j 0.0121538+0.000186587j 0.127025-0.00512341j -0.00360814+0.00391557j 0.897449+0.00204306j -0.101552+0.00698366j 0.0577031+0.000659582j 0.036872-0.0027196j -0.0233143-0.00246229j -0.00136131-0.00153788j -0.00706271-0.00469765j 
0.00254497+0.00135435j 0.00777521-0.00188525j -0.00557749-0.00147723j 0.00116844+0.00220889j 0.00124241-0.00122708j 0.0169157+0.000330304j 0.00111642-0.00011972j -0.014045+0.00279743j -0.0206499-0.000186195j -0.0111498+0.0021117j 0.0174554+0.000436538j 0.0053819+0.00147097j 0.00711146+0.00151505j -0.0330338+0.000229576j -0.00865565+0.0010649j 0.00373755-0.0014712j 0.00168955+0.0008895j -0.00640306-0.00534159j -0.0062186-0.000279704j 0.0189525+0.001196j -0.027638-0.00210993j -0.00646854-0.00046719j -0.0152958-0.00200712j 0.0115789+0.00259843j 0.029003+0.000738665j 0.00530476-0.000333189j -0.00425784+0.00133341j 0.016146-0.00170536j -0.00524192-0.000569766j 0.000202585+0.000382871j -0.00178804-0.000426693j 0.00905513+0.00116517j -0.000719687-0.00131017j -0.00274615-5.06817e-05j 0.00184394-0.000161311j 0.0158018-0.00210826j -0.0219171+0.00513763j -0.00395233+0.0031322j -0.0178345+0.00300385j 0.00129831+0.000772327j -0.0160434+3.93018e-05j 0.00876555-0.002849j 0.013134-0.00239396j -0.00260206+0.00341905j -0.0118722-0.00110169j -0.0199945+0.00116164j -0.0127402-0.00109923j 0.0203419-9.32624e-05j -0.0196572+0.00121209j 0.0304452+0.00569242j -0.0079832-0.000600905j 0.0214605-0.00196857j -0.0161996-0.0017416j -0.0064326-0.00228866j 0.0124053+0.00126651j -0.011245-0.000513133j -0.0115516+0.000860123j -0.0365017-0.0029455j -0.00710428+0.00054334j -0.0202672-0.00316311j -0.046473+0.00383486j 0.0431296-0.00401689j -0.0167867-0.000146645j -0.0196609+0.00224741j -0.0465399+0.00376563j 0.0467324+0.00446866j -0.0234514-0.00367655j 0.0511915-0.000207766j -0.0926025+0.000197223j 0.00252543-0.00821172j 0.0220245+0.00589386j 0.0260326-0.00548362j -0.082689+0.00736261j 0.071176+0.00289988j 0.146275-0.0044909j 0.0734626-0.00149848j 0.0302881-0.01031j -0.0225371+0.0113113j -0.0911743-0.00559754j -0.0199955+0.000623744j -0.0407591+0.00256913j 0.0677167+0.000177227j 0.0639346+0.00243884j -0.0790402+0.00477585j -0.0601272+0.00223336j -0.0802373+0.00263773j 0.0110195+0.00525463j -0.0236394-5.02676e-05j -0.0900685+0.000205004j 0.0304135-0.00543703j -0.886273-0.000591041j -0.0252376+0.00552671j -0.0905691-0.00242667j 0.0862796-0.00397648j 0.001377+0.00270496j -0.000155711+0.00309418j 0.00378181+0.0011221j 0.000287022-0.000854387j 
0.00309149-4.90646e-05j 0.000735359+0.000147277j -0.0070609+0.00281743j 0.00674734-0.000163248j -0.00304225-0.000577238j -0.0011318-0.00107036j -0.0041383+0.00109687j 0.00987756+0.000878757j -0.0254212+0.00227024j 0.0151448+0.00282097j -0.00571866-0.000276496j -0.000187157+0.00176926j 0.00777907-0.00223775j 0.00253145-0.000852633j 0.000774865+0.00027242j -0.00440496-0.00112779j -0.0173944-0.000866399j -0.0492744+0.00100641j 0.0355615+0.00114815j 0.00613445+0.00132019j 0.00336265+0.00354093j -0.024368+0.000527558j -0.01938+0.00442928j 0.0253373-0.00346982j 0.0342157-0.000805133j 0.000645701-0.000388158j 0.00905547+0.00140582j 0.00511417-0.000471247j -0.0394749-0.00101536j 0.00367255+0.00035444j 0.0102826+4.33306e-05j 8.59316e-05+0.000141073j -0.00635838+0.000643152j -0.00961496-0.00324866j 0.0059252-0.000291452j -0.0153769-0.00219981j 0.0200214+0.000925866j 0.0155331+0.000506868j 0.0110419+0.00207234j 0.022423+0.00252192j 0.012035+0.000147056j -0.012481-0.000100463j -0.0146614-0.00221317j 0.0286466+0.000657449j 0.00187074+0.000534903j 0.00758871-0.000821079j -0.0160947+0.00132394j 0.0264889-0.00121073j 0.00538733-0.00183367j 0.0362149-0.00403592j -0.0230824+0.00139587j -0.00251967+0.00288517j -0.00683459+0.00416458j 0.011311+0.00594711j 0.0370741+0.00116005j -0.0585988+0.000856721j 0.00909112-0.00307036j -0.00112794+0.0033293j 0.00704744+0.000171433j -0.00132559+0.000860813j -0.000624818+0.00167284j -0.0300891-0.0056751j 0.0239054-0.00983587j 0.046788+0.00239018j 0.0412244+0.00282743j 0.0626221-0.00563277j -0.111638+0.00663657j 0.0218122-0.00237224j -0.0152277+0.00278642j 0.0138234+0.00308146j 0.00201605-0.00192009j -0.0490428-0.0031878j -0.0586913+0.0033426j 0.0312427-0.00501529j 0.0293904-0.00210946j 0.0499082-0.0040085j -0.0964451-0.00036109j 0.0808936+0.000942428j -0.137111-0.000792841j 0.0127042-0.00353221j -0.0790023+0.00154366j -0.0157667-8.4374e-05j -0.0143181-0.000334512j -0.103984+0.00135135j 0.0336736-0.00241771j 0.209692+0.00465835j -0.112033+0.000134045j 0.0733541-0.00189121j 0.192047+0.00348147j 0.849041-0.0011682j 0.0198121-0.0056807j -0.0623757+0.00113882j 0.0155859+0.00224829j 0.0178169+0.00203499j -0.0014584+0.00129827j 0.0024867-0.00132387j -0.00341358-0.00146201j 0.00462556+0.000139162j 
0.00326694+7.14677e-05j 2.59973e-05+1.43905e-05j -0.00223299+0.000973263j -0.000763183-0.00123532j 0.00231763-0.000205327j 0.00365496+0.00118677j 0.00601371-0.00296655j 0.00411101-0.00174737j -0.00475715+0.00086333j 0.0166472-0.00158303j -0.00269854-0.00163448j 0.00374963-0.00261336j 0.00928203+0.00305754j -0.00848445-0.00141927j 0.0169684+0.000551766j -0.00946587+0.0026535j -0.0198901+0.00273586j -0.0124926+0.00101483j 0.00814381-0.00319978j 0.0316668-0.000990587j 0.000647576-0.00126155j -0.0106533-0.000873776j 0.00736865+0.000449631j 0.00413595+0.000378748j 0.00955209+0.000443151j 0.00302857-0.00111032j 0.000210965-0.0012999j 0.00261206-0.000754981j -0.0315321+0.00119225j 0.00866361+0.00103105j -0.00827506-0.00074992j 0.0114087-0.000228227j -0.0156631+0.00199677j -0.0318503+0.00287334j 0.0140782+0.000144695j -0.0302211+0.00299135j 0.0232731-0.00284834j 0.00661556-0.000759139j 0.0220797-0.000795605j 0.0139931+0.000301796j 0.00556042-0.00233721j 0.00239453+0.0015414j -0.026788+0.00267319j 0.00764637-0.000245532j -0.00280965-0.00164905j -0.00738113-0.00349231j 0.000228113-0.000149308j -0.00100914-0.00107793j -0.00564439-0.00238344j 0.0133326+0.000594533j 0.00494599+0.00209806j 0.0154836+0.00138608j 0.0202637+0.00102774j 0.00538716-0.00162489j 0.033557-0.000745725j 0.0204887+0.00367369j -0.0214812+9.93747e-05j -0.0025394-0.0042745j -0.00909629+2.85299e-05j -0.0630136+0.00120666j 0.0483004-0.00887113j 0.0059434+0.00414339j -0.0522135-0.00239175j 0.0272564-0.000660753j 0.0899971-0.00690057j -0.0128343+0.00344237j 0.0259638+0.00951471j 0.0797565+0.00361655j -0.00283485-0.00947561j 0.069108-0.00547352j 0.0128106+0.00347722j 0.0973817-0.00211728j 0.00277652-0.00740733j -0.0638177+0.00351325j -0.0648378+0.00116728j 0.0302146-0.00404283j -0.0244881-0.000710755j 0.022415+0.00553583j 0.0040893-0.00259173j 0.0137158-0.000218848j -0.105958-0.00156405j -0.123612+0.0054626j -0.0731304-0.000225593j -0.0387641+0.00207145j 0.216804+0.00398121j -0.0844691+0.00124984j 0.25907-0.00217493j -0.316369-0.00063342j -0.746506+0.00109914j 0.208547+0.00265709j 0.0579901+0.0041236j -0.051359+0.00250196j 0.0246987+5.69653e-05j -0.00242258-0.00245053j -0.0141262-0.00319798j -0.00359654-0.00116949j -0.00744494-0.000669362j -0.00165628-0.00125001j 
0.00114451-0.00200985j -0.00527273+0.00118528j -0.00383461-0.000819264j -0.00897067+0.00283924j 0.00278846-0.00190983j -0.00280662+0.000837385j -0.00913611+0.000228646j -0.00828214-0.001821j -0.0116927-0.00186039j 0.00995498+0.00187707j -0.0144457-0.00127678j 0.000365465-0.00237409j 0.0477301-0.00222753j 0.0258163+0.000802806j -0.01892-0.00116691j -0.0166799+0.00160841j -0.00546391-0.00153121j 0.00526835-0.00160152j 0.0220777+0.00273634j 0.00744286-0.000392823j -0.0247217+0.00142318j 0.0189122-0.00468796j -0.00881768-0.00204062j 0.0196457-0.000927893j -0.00655473+0.00399238j -0.00180948+0.00231168j 0.00746483-0.00226548j -0.00373403+0.00240319j 0.008583-0.00609836j -0.0102582+0.00229974j -0.00387096+0.00232669j -0.0148091+0.00158408j -0.00631765-0.000255925j 0.024599-0.000525486j 0.00134855+0.00252882j 0.0280832-0.00134633j 0.00556588-0.00224956j -0.0137776-0.00127485j 0.00531842-0.00383129j -0.00739567+0.00186569j 0.00365376-0.00144621j 0.0019065+0.00161279j 0.00395827+0.000289182j -0.00142869-0.000569622j -0.00846021+0.00183768j -0.0012186-0.000862806j 0.006825-0.00141712j -0.00302808+0.00761827j 0.0343132-0.00263066j -0.000611025+0.00477673j -0.00066681-0.000292538j -0.0210342-0.00020838j -0.00157245-0.00325846j -0.0729669+0.00609771j 0.00354582+0.00416092j 0.0369909-0.00487824j 0.0704091-0.00413875j -0.0202586+0.00275032j 0.014599-0.00309456j 0.00481267+0.000374095j 0.04037-0.00675419j 0.0657757-0.000769091j 0.0675049-0.00103293j 0.00736272+0.000868482j -0.0323797+0.00449466j -0.0116324+0.00277554j 0.0112777+0.000799397j 0.0439278+0.000303952j -0.00560257-0.00426286j 0.104139-0.00207914j 0.0278609-0.00328698j 0.0218937-0.00114385j -0.0197427-0.0083904j -0.0103008+0.00116788j -0.0191776+0.00305012j -0.0061608+0.0017161j 0.058771-0.00161901j -0.0521051+0.00256783j -0.006357-0.00318909j -0.0738032-0.00283862j -0.0177578-0.00245793j -0.0339903+0.002712j -0.0487851-0.000274725j 0.0143461+0.000653941j -0.300925-0.00442305j 0.169667-0.00532567j 0.284662-0.000815237j -0.738515-0.0021085j 0.337268-0.00150873j -0.00506018-0.00537529j -0.0098228+0.00307215j -0.0411155+0.00091486j 0.017716+0.00234635j -0.0158752-0.00157655j -0.00635529-0.00215567j 0.00432782+9.64357e-05j 0.00243598-0.000192578j 0.00341839+0.00299643j 
