0.104335-0.0894107j -0.0116965+0.0392344j -0.06594-0.0210314j -0.134789-0.0399016j 0.0271368-0.0315508j 0.00433342+0.0044201j 0.0969063+0.0886016j 0.0737213+0.0498501j 0.00195596+0.0465973j -0.0011443-0.0428222j -0.0449066-0.024047j -0.0240234-0.0775375j -0.0276918-0.0594963j -0.0225519-0.0386523j -0.0244705-0.0389545j 0.00680888-0.00467045j -0.0207994-0.030188j -0.0108782-0.0320765j -0.00630916+0.0192787j -0.0289309-0.043266j -0.0118105+0.0414733j -0.0330507+0.0316507j -0.00508181-0.0301883j 0.0259128-0.0263761j 0.00520781-0.0128492j 0.00104974+0.0231177j -0.00760775-0.00259995j 0.0108259-0.0489508j -0.00583364-0.0176152j 0.0151337+0.065511j 0.0185549-0.00843326j 0.0169727+0.0374206j -0.0300035-0.0117232j 0.0128067-0.0115014j 0.0272739-0.0509481j 0.00785592-0.0644228j 0.0469902-0.0023519j 0.0142748-0.0444349j -0.0327634+0.0073172j -0.00579462+0.0130719j -0.00767843+0.0225895j 0.0266168-0.0686211j 0.0408141+0.0245235j 0.0124724-0.0154552j 0.0643227-0.0350008j 0.0761407-0.0588319j 0.0136999+0.00847571j -0.0197926+0.0253998j 0.023134-0.0223903j 0.00711815-0.00745582j -0.0197364+0.0135519j 0.0301939-0.0302576j -0.0147892-0.0274712j -0.0121368-0.0211126j -0.0359191-0.0195413j -0.0380432-0.00890014j -0.0104869+0.0237025j -0.0385176+0.0787532j -0.0227379+0.0995552j 0.0403481-0.0234237j -0.00202801+0.0360059j 0.0165546-0.0464876j 0.0363864-0.0671932j 0.0585958-0.00752744j -0.0551647-0.0694752j 0.0989197+0.0846458j 0.26252-0.145945j -0.125812-0.223047j -0.0547071+0.0714698j 0.110393+0.0349645j -0.129045-0.00491987j 0.022816-0.160241j 0.0423334-0.0718408j 0.112429+0.0909565j -0.051979+0.0802395j 0.0710293+0.00420091j -0.184842+0.223617j 
-0.013077+0.0379578j -0.106991+0.055396j 0.126922+0.0686934j -0.0547597+0.0412252j -0.0573376+0.00305011j 0.0748465+0.0439485j 0.0393806-0.0248656j -0.0468836-0.0703269j 0.0216907+0.025089j -0.00480734+0.00347628j 0.00844434+0.0362612j -0.0637924-0.0487342j -0.00616267+0.0476176j -0.0356786-0.0188457j -0.00905697+0.0222496j -0.000163821-0.000596408j 0.0103163+0.0326577j 0.00408579-0.0414292j 0.0354453+0.0304944j -0.0354776+0.0325243j 0.00247315+0.0219245j 0.0100805+0.0128952j -0.00884751+0.0428729j -0.0277969-0.0761631j 0.000253083+0.0234112j 0.0233349+0.0561261j -0.0165329+0.00221863j -0.0136033+0.017795j -8.16528e-05-0.000535659j 0.0208002-0.0283884j -0.00358652-0.0154729j -0.00191436-0.00739231j 0.00357379+0.0242914j 0.0116088+0.00764088j -0.0451193-0.0272328j -0.0341609+0.0279421j 0.015259-0.0573498j -0.00260964+0.0395859j -0.0228771+0.0598928j 0.00384041+0.00184177j 0.0114226+0.00237855j -0.0136718-0.0252152j 0.013044-0.0466582j 0.00867337-0.011301j -0.0246803-0.0380575j -0.00421664-0.0593195j -0.019848-0.0216365j -0.000834426+0.0103389j 0.00467428-0.0111284j -0.0327725+0.015328j -0.0636956+0.0177558j -0.0489853+0.0429999j -0.00962483-0.00711798j -0.055632+0.0545904j -0.0234652-0.029924j -0.0154137+0.00864809j -0.0212802-0.0113739j -0.0187529+0.0570744j 0.0270831-0.0507874j 0.0546116-0.00495789j -0.0420723+0.0578252j 0.0649833-0.0359715j 0.0226105+0.0496781j -0.0364637+0.086951j 0.0420336-0.0848806j -0.181991+0.0733915j 0.1799+0.13353j 0.199343-0.110657j -0.118655-0.0937811j -0.0659701+0.0820663j -0.0275248-0.244305j 0.0560311+0.0779984j 0.0509361-0.0021975j -0.0258052+0.112079j -0.11011-0.180418j 0.180356-0.256514j 0.0722779-0.0211513j 
0.0262086+0.0013294j -0.0270947+0.0567781j 0.052502+0.0764143j 0.00623997+0.0689865j 0.0579394+0.0636959j 0.0277469+0.0334346j 0.0204896-0.104201j -0.0609976+0.0190422j -0.0888307-0.0929596j 0.0417927+0.0493977j -0.100964+0.0212841j 0.00228971+0.0269139j 0.0383192+0.0159226j 0.0120643-0.06034j -0.00325346-0.0590238j -0.0160686+0.0713675j 0.00131531-0.0188324j -0.0131552+0.09466j 0.078859+0.0879225j -0.103559-0.0473963j -0.00699948-0.0595803j -0.0160467-0.0629426j -0.0627804+0.0115884j 0.0318013+0.0184524j -0.0166872+0.0139595j -0.00601043+0.0316018j 0.0189328+0.00295652j 0.0455571+0.0218628j -0.00597341-0.00455443j -0.0474915+0.0226307j -0.0233717-0.0152674j 0.0470538-0.0412691j 0.000624405+0.00288556j -0.0445891+0.0437894j -0.03236-0.0695981j -0.0542009-0.0258646j -0.039108+0.0873481j -0.0410765+0.0189974j -0.0219446+0.0228888j 0.0266332-0.0320987j 0.00765232-0.0303106j 0.00799285+0.00854641j -0.00704327-0.00278454j -0.00253443-0.0290514j 0.00299181+0.00818976j 0.0261822-0.0350886j -0.0108247-0.0529055j 0.0458016+0.0444536j 0.0154933-0.0104245j 0.097285+0.0552861j 0.041148-0.0352637j 0.0270878+0.0124161j 0.0995041+0.000146001j 0.0229992+0.000264658j 0.161239-0.050865j 0.00691758-0.0360104j 0.0556325+0.0123059j -0.0330093-0.0947746j 0.042365-0.040934j -0.0231386-0.0146271j 0.0349504+0.0119782j 0.0480509+0.0779328j 0.0198195+0.00257459j 0.103524-0.111308j -0.207491-0.00962861j -0.0722307-0.0739306j -0.0400432-0.144265j -0.0192435-0.1802j 0.0170497-0.0421402j -0.0230948+0.0131826j -0.0359468-0.0885832j 0.0772467-0.00603258j -0.181939+0.196929j 0.0287137+0.122161j 0.259141-0.136211j -0.345958-0.263892j 0.131775-0.254615j 
-0.0183463+0.107085j -0.0312065+0.0394776j 0.00763941-0.0475754j 0.0277595-0.0456038j 0.000488161-0.0483752j 0.104514-0.0517338j -0.0794335+0.0383169j 0.0673943+0.0083369j -0.0289314+0.0679715j -0.00564147+0.000737023j 0.131914+0.00573977j -0.0209558+0.0083847j -0.00151481-0.0300223j -0.0464547-0.00755929j -0.000464103-0.00285409j 0.0249884-0.0160037j 0.000103126+0.0184687j 0.0598588-0.00261986j 0.0231232+0.0110254j 0.0354674-0.0181428j -0.0486266-0.0117213j -0.00779645-0.00504061j -0.0121356-0.00642851j -0.0155834-0.024043j -0.00726445-0.00632935j 0.0115508+0.0178825j 0.0515718-0.0251294j 0.0197704+0.0265222j -0.0160792-0.00227277j -0.00757548-0.0450541j 0.0264662-0.0046727j -0.013049-0.0487056j 0.0337489+0.0669912j 0.0389881+0.0774975j -0.0150424-0.0690692j 0.00537343+0.0326703j 0.0408323+0.016107j -0.0587233+0.0362088j 0.0237453-0.0141373j 0.00585002+0.00201621j 0.0332346-0.0093866j 0.0079571+0.114586j 0.0406679-0.0911495j 0.0194698-0.00261124j 0.0496997-0.043783j 0.0530032+0.0236626j 0.0334662-0.00745349j -0.0226396+0.0389661j 0.0206067-0.00101708j 0.0220083-0.011769j 0.108566+0.00526867j 0.0288148-0.0143957j 0.0178558-0.0019266j 0.0497037-0.0371166j 0.0250213+0.0358522j 0.0810076-0.00958326j -0.0401823-0.00826159j 0.199175-0.0884146j 0.0649159+0.0766463j 0.0761311+0.0949192j -0.02276-0.0415915j 0.00804655+0.151232j 0.00101204-0.0401562j 0.0526001+0.0999984j 0.0545369-0.257399j 0.0524466+0.0179242j 0.105677-0.000455315j 0.129276+0.0171132j 0.191747-0.0783342j -0.0691409-0.0676604j 0.0285989+0.138309j 0.117919-0.0117464j -0.096604-0.239581j 0.146542-0.0361852j 0.0389545+0.165782j -0.114592+0.318211j -0.39525-0.18473j 
-0.0446618-0.000388504j -0.00151933-0.0818676j 0.01241-0.00661171j 0.00115629+0.0433978j -0.0762791+0.0975465j -0.125249+0.0857349j 0.0321227-0.0200793j -0.0659294+0.00863813j 0.0196934-0.0831305j -0.00526001-0.00217763j -0.0701169+0.0560458j 0.0126849-0.0180812j 0.00584279-0.00241779j 0.052924-0.0204991j -0.0215639+0.00118547j 0.0206085+0.0630587j 0.0516247-0.022797j 0.040701+0.0653772j 0.0184735-0.0486729j -0.0591336+0.069677j 0.0249619+0.0034469j 0.00171025+0.0314689j 0.0231446+0.0419028j 0.0669936-0.00071806j 0.0119605+0.0495533j -0.0501418-0.0298535j -0.0902086+0.0129536j -0.0066063-0.101599j 0.0405678+0.0598616j -0.0441299+0.0541239j -0.0552296-0.0335169j -0.0132149-0.0367728j -0.00167448-0.00297786j 0.00293696-0.00836695j -0.069899+0.0375798j -0.0430872-0.0194938j 0.0248278-0.00990086j 0.0421903-0.00708539j -0.0659626-0.0049887j 0.0133447-0.0303999j -0.0211505-0.0710908j 0.0628943-0.0269829j -0.0187453-0.0662921j -0.0184745+0.00192632j -0.00209195+0.00991611j 0.00131119-0.0521557j -0.0152799-0.0286132j 0.0588534-0.0188392j -0.0613429-0.0265088j 0.016439+0.0450647j -0.0427175-0.007935j -0.0186584-0.0144852j 0.012332+0.0130448j 0.084532-0.0537803j 0.0461272+0.0434672j 0.0041077+0.0655463j 0.0543385+0.000433439j 0.104331+0.0361542j 0.0844529+0.0247438j -0.0456453+0.147898j -0.0437555+0.0600175j -0.0265793+0.107225j -0.0212124+0.132292j -0.216404+0.0982337j 0.200655+0.0914727j 0.0899543+0.0152295j 0.0951664-0.114072j -0.0549531-0.031412j 0.0488413+0.077818j -0.0162436+0.115088j 0.0230653+0.0381041j 0.106846+0.0890083j -0.156506+0.0339697j 0.204826+0.406021j 0.231784-0.252669j 0.212306-0.0567751j 0.037212+0.0844057j 
0.0250692+0.0165031j -0.0337171+0.0444597j 0.0202554+0.0103016j -0.0562935+0.0784458j -0.0725902+0.0805338j 0.0304328+0.0296743j -0.0333138+0.0201561j 0.0311288-0.0089934j 0.0537193-0.0210077j 0.0840821+0.0196564j 0.0662254+0.0735068j -0.0264673-0.0143118j -0.0214642-0.0560511j -0.0064463+0.0270001j 0.0405275+0.037971j 0.00645189+0.0320554j 0.0859257+0.034844j 0.0146094+0.0166678j -0.10236-0.0189183j -0.0343145-0.0236993j -0.014416+0.0167384j -0.0284362+0.0366996j 0.0121157-0.0393367j -0.0176762-0.0309736j -0.0175482+0.038468j 0.0309501+0.00492688j -0.0478322+0.026448j 0.00499417-0.01789j 0.00957822+0.0471947j 0.0191618-0.0357292j 0.0296791+0.0251328j 0.0317204+0.0762329j -0.0871735-0.0114285j 0.0362983+0.0395495j 0.0300336-0.0507311j 0.0214208-0.00201277j -0.00830008-0.0690371j 0.026039+0.0496147j 0.00298477+0.000261155j 0.0504273+0.0234014j 0.0484447+0.0263043j -0.0126624-0.0352331j 0.0645648-0.0152971j 0.06509+0.00570649j 0.0563736+0.0316953j -0.0507715+0.139944j 0.0219278+0.00521623j -0.0269815-0.012163j -0.091043+0.0260568j -0.00212526+0.0558339j -0.0105046-0.0606252j -0.0151421+0.0586423j 0.0259386+0.0647353j 0.0155208-0.0329041j 0.0288445-0.153287j 0.0339546+0.0359498j 0.055773-0.0856802j 0.076634-0.0599761j -0.163921+0.0825437j 0.168967-0.0147524j -0.029815+0.256182j 0.0798174-0.0454825j 0.162185-0.0677847j 0.00228022+0.13552j -0.00944044+0.046709j -0.0111667-0.0893837j -0.0993474-0.0831152j 0.0372907-0.022604j 0.0325065+0.00666727j 0.0829716-0.0105384j -0.00684487-0.0362221j -0.12973-0.0682695j 0.0996617+0.234452j -0.221133+0.0742309j -0.0345185+0.184482j 0.0636126-0.0576695j -0.0933462+0.126867j 
-0.00337441+0.0815832j -0.0283957+0.0613967j 0.0402597-0.0772627j 0.0311634-0.0914796j -0.0282306-0.0857996j -0.024166+0.00489746j 0.000511956+0.0269378j -0.0332704-0.0305981j -0.0642773+0.0945886j -0.00968138-0.0738508j 0.0671797-0.0217176j -0.022447+0.0323944j -0.0563086+0.0447749j 0.0448402+0.0349327j 0.075763+0.0218604j 0.0167823-0.0387238j -0.00522741+0.021313j 0.0712022-0.0486468j 0.0379631-0.00446982j 0.043536+0.0393391j -0.00106204+0.0083289j 0.0583552+0.0389319j -0.00844183-0.0547127j -0.0263808+0.0170507j 0.0189072-0.00212357j -0.00175497-0.0497356j 0.0724687+0.0580193j -0.016119+0.0303032j 0.0497861+0.049162j 0.0299723-0.0625928j 0.0432467+0.00215674j 0.00448378+0.001552j -0.0334004-0.00149967j 0.030973-0.00983405j 0.0418973+0.0119587j 0.00688861+0.00366601j 0.00961977-0.0208864j 0.0690001-0.111896j 0.0289403+0.0357879j 0.0234408+0.0035024j 0.0572051+0.00554116j -0.0235825-0.0647343j 0.0632797+0.0314813j -0.00986594+0.0327919j 0.00230672+0.0813493j -0.032702+0.0494697j -0.000716881+0.0584081j -0.000814567+0.0499249j 0.0577679+0.0281703j -0.0539319+0.0231465j -0.0847594-0.154503j -0.0261205+0.052774j -0.034041+0.0378422j 0.0710266+0.0796075j 0.0789389-0.122349j 0.0297766-0.110709j -0.0266779+0.104862j -0.0436012+0.066382j -0.0847704-0.0916741j -0.122114+0.217801j -0.237956-0.0217399j -0.0137308+0.158675j -0.0551395+0.137282j -0.0865132+0.00791245j -0.151293-0.144898j 0.0466443+0.0472301j -0.0606369+0.0457386j -0.040413+0.026345j 0.0491855-0.0751454j -0.0342123-0.0737147j -0.164824-0.028746j -0.0753045-0.218081j 0.107678-0.0551712j -0.220535-0.0555199j 0.0533294+0.156654j -0.00757956-0.0695157j 0.0345845-0.079542j 
-0.0200177+0.0454225j -0.0278214-0.0598311j -0.0618519-0.0161919j 0.00911945+0.0547329j -0.0336559+0.0687944j -0.0468016-0.00175389j 0.0151504+0.0698362j 0.0288498-0.0021587j -0.04072-0.0187232j -0.0412708-0.00952247j -0.0317467+0.042198j -0.0189289-0.0348678j 0.0170026+0.0394566j -0.0180825-0.0458441j -0.11714+0.0222368j 0.0199199+0.038412j 0.0822219-0.0487297j 0.061935+0.0216744j 0.0887484-0.0980287j -0.00887099+0.0476818j 0.00603775+0.00799223j 0.0463131+0.00467205j -0.00673383+0.0377284j 0.0326371+0.0284936j -0.0102326-0.0249764j -0.0211892-0.0151872j -0.0629497+0.00843058j -0.000965579-0.0205232j 0.00588499-0.0117915j -0.0344873+0.0139754j -0.0479956-0.0328418j -0.0472774+0.00229645j 0.0635536+0.028915j -0.0374826-0.0146857j -0.0266554+0.0208218j 0.0330922-0.00498376j 0.0012168+0.019627j -0.0208255-0.0688051j 0.0318299+0.00240842j -0.0186059+0.0950754j 0.0108433+0.075239j -0.0173177-0.00778753j 0.0480392+0.056343j 0.0206684-0.0375213j -0.0427982+0.0134309j 0.053589-0.00951179j 0.000753979-0.0329534j -0.0654552-0.0535383j 0.0181695-0.0130225j -0.055686-0.00332455j -0.0107096-0.024368j -0.00752546+0.0632189j -0.0156794-0.0242978j -0.0188229+0.1203j 0.170431+0.0393055j 0.186534+0.125195j -0.0679413-0.129839j -0.0572776+0.0168647j -0.101071-0.00839801j 0.0538335+0.0108021j 0.175528-0.0290205j -0.0502679+0.0202468j -0.0526526-0.0177331j 0.0245978+0.11706j -0.104651-0.138439j -0.013546-0.0489274j -0.0276399-0.105059j 0.00918573+0.104434j -0.0254854-0.0239946j -0.004667-0.0557844j 0.0077838-0.16117j 0.018687-0.0749319j 0.0945861+0.201928j -0.0519322+0.162611j 0.354963+0.149946j -0.00803605+0.0538479j -0.0772935-0.0294591j 
0.0270799+0.0134234j 0.0289482+0.046353j 0.0042493+0.00083896j 0.0549342-0.0707814j 0.0546781-0.0650947j 0.0480691-0.032342j -0.0475668+0.0817827j 0.0141311-0.00319053j -0.0161337+0.0674796j 0.081021-0.08846j 0.0129292+0.0488626j -0.00758851-0.00837774j -0.0096876+0.0562022j -0.00756853+0.0451359j 0.00535522+0.0388042j -0.0607976-0.00364516j 0.0555212+0.0120757j -0.033114-0.0677567j -0.0351166-0.0269643j 0.0317139-0.0060552j 0.0129773+0.0425754j 0.0286711+0.00498399j 0.000781381-0.0119477j -0.0432802+0.0447914j -0.08628-0.0524886j 0.0373471-9.58895e-05j 0.0152313+0.0305902j 0.0315409+0.0798961j 0.0024212-0.0055343j -0.00786295-0.0241903j 0.103952-0.026922j 0.0146672+0.0712178j -0.0679306-0.0447627j -0.0699811-0.0201171j 0.0095678+0.0325893j 0.0242875+0.0214838j -0.0306666+0.0459412j 0.0191345+1.25824e-05j 0.0299673+0.0294381j 0.061932+0.0624947j 0.0199405+0.0489619j 0.0525607-0.00393974j 0.0682306+0.0357786j -0.0337403-0.0762498j -0.0796218+0.0115689j 0.0594674+0.0575744j -0.0383152-0.0914988j 0.109117+0.0315076j 0.012362-0.135578j 0.0769031+0.0743942j -0.179249+0.06136j -0.000447133-0.0195566j -0.00231804-0.0610664j -0.0229704-0.0809994j -0.038762-0.113532j 0.0655499-0.129135j 0.0664396-0.04948j 0.0595857-0.0921628j 0.0873116+0.166097j -0.0946205+0.045703j -0.0884538-0.0035343j 0.0709292+0.0821498j -0.0783494-0.0076654j 0.10405+0.0970614j 0.0404984+0.0706237j 0.037749+0.0430562j -0.142249+0.00296015j 0.0303385+0.0378496j 0.100297+0.0262206j -0.0741201+0.144331j 0.0473636+0.189824j 0.0441148+0.129432j -0.137998-0.0397288j -0.193997-0.152643j -0.0748811+0.0930208j -0.0136183+0.100316j 0.0223628-0.0041368j 
-0.0313975-0.0022386j -0.00117383-0.0493467j 0.0105488+0.0593503j 0.0187582+0.0789051j -0.00753971+0.0739932j -0.00431986-0.0564275j 0.00975908-0.0171037j -0.0317179+0.017351j 0.0843966-0.0998732j -0.0269518+0.0894179j -0.0456545+0.015901j 0.0436648-0.0457871j 0.0278304-0.0182122j 0.0185568-0.00294029j -0.0187265+0.025262j -0.0835203+0.036891j -0.00540686-0.00154558j -0.0805495+0.0455679j -0.0373931+0.00775711j 0.0311897+0.000549599j -0.0235452+0.00937941j -0.0219905+0.0329359j -0.0198749-0.00431191j 0.00277066+0.0201389j -0.0228116+0.00067462j -0.0108752-0.00368554j 0.0186049+0.0119641j -0.0109678-0.0193594j 0.0164891-0.00995904j 0.00124748+0.0299767j 0.054551+0.0600117j 0.0407416+0.00220942j -0.0752566+0.0147709j 0.00448976-0.0211828j 0.0107323-0.0203332j 0.0774876+0.0763448j 0.0650327+0.0129322j -0.0462832-0.0900219j 0.00268445+0.010193j 0.054443-0.0494244j 0.015719-0.00958555j -0.04954-0.0539077j 0.0447803-0.00659738j 0.0297131-0.00292216j 0.0670689+0.0194502j -0.0894122+0.0234621j -0.0264761-0.0940796j 0.0354433-0.0276614j -0.0467835-0.0612793j 0.0503711-0.124934j -0.107981+0.0459704j 0.00826018-0.0691932j 0.0470782-0.156196j -0.0263515+0.0568988j -0.065755+0.0380627j 0.116819+0.0942871j -0.200474-0.0783729j -0.0788149+0.0248274j 0.0637046-0.0321307j -0.0531117-0.134246j -0.031055-0.127415j 0.0516103+0.0942312j -0.00985222-0.0563755j -0.00630705+0.0580783j 0.0163815+0.016048j -0.0340991-0.0146317j 0.0332318-0.0695189j 0.156219+0.00130459j -0.0472638-0.0271326j -0.0733421+0.0524326j -0.071014-0.17541j 0.0123593+0.0888889j 0.137954+0.0306018j -0.0757118+0.0490856j -0.0587087-0.0294236j 0.0453007-0.0175323j 0.000368971-0.027933j 
-0.0258151+0.0517229j -0.0132078+0.0208147j 0.043793-0.0793475j 0.00152719-0.0790394j -0.019835-0.0492198j -0.00123824-0.00403468j -0.000724916+0.00111708j -0.0435363-0.0273567j 0.0548121-0.0410109j -0.0714903-0.00831934j -0.0194624-0.0413953j 0.0543435-0.0268645j 0.0249029+0.059108j 4.78146e-05+0.0351374j 0.0198806-0.042555j -0.0943206+0.0019937j -0.0600407-0.00306887j 0.0560021+0.0263475j 0.00830036+0.0386815j 0.0332826+0.0206444j -0.0492895-0.0103769j 0.00729596-0.0424891j 0.0110903+0.0627519j 0.0425439+0.0399805j -0.0634969-0.096889j -0.0370678-0.000308397j -0.0491092+0.0425693j -0.000457103+0.0115064j -0.000543198+0.0122405j -0.00645194+0.0187037j 0.0810298+0.0102207j -0.0460927-0.0843013j 0.023079-0.017426j -0.103132+0.015388j -0.0503293-0.00870627j -0.0232014-0.0155775j 0.0580779+0.0632747j 0.00378973+0.0147054j -0.0807123-0.00870262j -0.011652+0.0324132j -0.00558693+0.0407279j -0.0142823+0.0316285j 0.00464433-0.0524805j -0.016121-0.0661434j 0.0495022-0.119882j 0.0108587+0.0478227j 0.00642833+0.0400768j -0.0412014-0.0537196j -0.133499+0.102044j -0.0760524-0.00923671j 0.181687+0.0848726j -0.0697168+0.0672509j -0.0294427-0.0243505j -0.0490514+0.0587761j -0.0222072+0.0165107j -0.0168266-0.0924775j 0.0619856+0.0468592j 0.069363+0.0307771j -0.0283976-0.097807j 0.00371774+0.0579297j 0.0127991+0.137135j 0.180841-0.120828j 0.0519184-0.0855699j 0.00750265-0.0389135j -0.0344634-0.0808534j -0.162988-0.0863256j -0.143594+0.0256785j -0.0291302+0.0557414j 0.0537638-0.205645j -0.0481081-0.158552j 0.0418682-0.0292204j -0.0925984-0.0731416j 0.0542377-0.0212169j 0.0593362-0.0563573j -0.0282121-0.040234j 0.000470164-0.00554615j -0.0483542-0.0771878j 
