0.188054-0.171466j -0.325364-0.382988j -0.0475908+0.0247523j 0.532377-0.247717j 0.0225284+0.0172799j -0.0634098-0.515376j -0.268081-0.0306909j -0.0679548-0.055511j -0.11428+0.0871552j 0.0196155-0.00327921j 0.0293658+0.092407j 0.0113705+0.0851722j -0.000980777+0.0144696j -0.0238666-0.00145789j 0.0887073+0.0422275j 0.0191018+0.00287055j -0.0565534+0.0376644j -0.0105017-0.0259971j 
0.102769+0.0040532j 0.0666062-0.135319j 0.0260673+0.0132741j 0.0478431+0.0497464j -0.0189334+0.040523j -0.0382963+0.0640097j 0.0679318+0.119695j -0.19137+0.225978j 0.390788+0.24898j -0.00813654+0.176378j 0.0289354-0.160161j 0.042761-0.25502j -0.322441-0.0183592j -0.0109815-0.124327j 0.000631061+0.188765j -0.0142119+0.206678j -0.389746+0.249762j -0.202698-0.279536j 
0.000277954-0.0165329j 0.00706344+0.00547154j -0.0317201-0.00238576j 0.0042703+0.0114751j -0.00475117-0.00901349j -0.0136501-0.0070641j 0.00672571+0.0163098j -0.0397074-0.0475308j -0.0186939+0.0060817j -0.0836498+0.0409992j -0.0307879-0.0134729j -0.0234403-0.0282802j -0.0406431-0.0502286j -0.00156877+0.0164207j -0.00190518+0.032466j -0.00740586+0.00119089j 0.0439097+0.0303374j -0.0307211+0.0721437j 
-0.0135033+0.00552724j 0.00821247-0.0135026j -0.048139-0.0274058j 0.0166841-0.00310907j 0.04581-0.0330062j -0.00883657+0.000937957j 0.0177905+0.0124152j 0.0279982+0.0474116j 0.0230574-0.0264093j 0.00603576+0.000945513j 0.00603558+0.0269742j -0.000838802+0.0116438j 0.0221311-0.0256978j -0.000439503+0.00786198j 0.027539-0.0231243j -0.0506457-0.018568j -0.00857767-0.00860043j 0.0273512-0.0274282j 
-0.00838067+0.0331049j -0.00822864+0.00549459j 0.0336333+0.0118245j -0.00139525-0.0325421j 0.00752749+0.00265794j 0.00928017-0.00121489j -0.0152176-0.050695j 0.00321817+0.0205642j -0.00349011-0.0197254j -0.0720548+0.0210474j -0.0185105+0.0218687j -0.0200009-0.00798862j 0.00731358-0.0757109j -0.00559124+0.0282271j 0.0238168+0.00578736j -0.0514765-0.0258294j 0.0326316+0.0149057j -0.00494248+0.0313864j 
-0.019753+0.0475202j 0.0176197+0.0126322j -0.00553368-0.0172417j 0.00680468-0.0259571j 0.0449732-0.00610502j -0.012133-0.00720977j 0.000449803-0.0262825j -0.027556-0.0535043j -0.0372529+0.0292316j 0.0117176-0.00504803j 0.00405605-0.0377921j 0.00650525-0.00154922j -0.0320635+0.0531542j 0.00818504-0.016337j -0.0410474+0.0133028j 0.0715172+0.0405138j 0.0108633+0.00314869j -0.0283702+0.0207716j 
-0.000952529+0.00435512j -0.0059887-0.000722458j 0.000918552-0.00581674j 0.00177681+0.00267071j -0.00515898-0.00472631j 0.00222102-0.00238469j 0.00814121+0.00608637j 0.0120219+0.0153488j -0.00156696+0.0124177j 0.00264157-0.0273225j 0.0056462+0.00483019j 0.00157059-0.00138328j -0.0133054-0.011894j -0.0197491-0.0095682j -0.000350227+0.0157055j -0.00804969+0.0140742j 0.00117073-0.000606808j 0.0118205+0.029919j 
-0.0049953+0.00959329j -0.012773-0.0029665j 0.00281304-0.00506214j -0.000946733+0.00392391j -0.00463237-0.00586214j 0.00872818-0.00385432j 0.0103566+0.0142918j 0.00297158+0.0188453j -0.0175494+0.00767101j -0.00135189+0.00606064j 0.0256247+0.00267793j -0.0122297-0.00105063j -0.00103166-0.0114877j -0.000582069+0.0254941j -0.0192519+0.0179515j 0.0167509-0.00222242j -0.003225-0.00128787j -0.0107113+0.0246736j 
0.00225718+0.0138472j -0.0104902+0.0112246j 0.0183632-0.0153497j 0.00586127+0.00373606j -0.0112462-0.0190586j 0.00137613-0.0147395j 0.0195981+0.0044611j -0.00297249+0.00301398j -0.00441295+0.00911723j 0.0151669-0.0208537j -0.0153294-0.00179952j 0.00780709-0.00115805j -0.0101153-0.00707594j -0.00540897-0.0323945j 0.00291939+0.00400202j -0.0185146+0.00801239j 0.00690803+0.00584083j 0.00689781+0.0182373j 
0.00362159-0.00796834j 0.00405506+0.00997296j 0.0252931-0.0192669j 0.0133578+0.00463372j -0.0163768-0.0291622j -0.0089638-0.00919385j 0.0181323-0.00276251j -0.00724696+0.00237103j 0.00402185-0.00693437j -0.0211286+0.0129529j -0.0024206-0.00544334j -0.00402852+0.00974857j 0.00737253+0.00621944j 0.00783298+0.0165847j 0.00351504-0.00959127j 0.0182894+0.00365609j -0.000277019-0.00148688j 0.00362664-0.0254006j 
-0.00837629+0.0158026j -0.0182053-0.0106024j 0.00240328-0.0082988j -0.00564915+0.00183611j -0.00736054-0.00428713j 0.0172043-0.00192206j 0.00568228+0.0254713j -0.013969+0.0145492j -0.00750407-0.0122873j -0.0193229+0.0107952j 0.00448874-0.00439286j -0.000990112+0.0146034j 0.00842061+0.00567554j 0.00557414+0.0169849j -0.00691463-0.00996389j 0.0302921+0.00927188j -0.00693133-0.00399115j -0.00144566-0.0127423j 
