0.010327+0.0671545j -0.0543429+0.0204952j 0.0641857+0.149465j -0.136484+0.0438277j -0.148395+0.0310539j -0.0589837-0.167665j -0.0910751+0.116939j 0.0768894+0.0658703j -0.0897585+0.131094j -0.0992282-0.0266737j -0.0184157-0.0120581j -0.169501+0.0067496j 0.0236601-0.053748j 0.0855412+0.0468905j 0.0560562-0.013355j -0.0659122-0.0419553j -0.072939+0.0791609j 0.00375817-0.0652249j 0.0117236+0.0458786j -0.0636223-0.144462j 0.13206-0.0941813j -0.121838-0.208542j 0.252938+0.122683j -0.0877383+0.123253j 0.092355-0.22226j -0.0543247+0.109123j -0.0394329+0.138487j -0.0337113-0.116809j -0.024649-0.0227847j -0.223898-0.060499j 0.0350636-0.0323561j 0.0594026+0.125173j -0.148776+0.251492j 0.0936106+0.0223752j 0.0211587-0.0871683j 0.147952+0.0981659j 0.0502302-0.0221261j -0.000569841-0.0470299j -0.0584799+0.0243654j 0.139521+0.0332872j -0.0925343-0.045585j -0.0126019+0.00526437j 0.00146737+0.0340231j 0.050368-0.0079882j -0.0328976+0.014249j 0.047065+0.0226164j -0.0604366+0.0615434j 0.0906631-0.0660293j -0.026867-0.0264575j -0.0937812+0.0324706j 0.159526-0.0475167j 0.0478051-0.0227156j -0.0531403+0.0232428j -0.0801132-0.025637j 0.00736932+0.00307656j -0.0242686-0.0441889j 0.0164809+0.02813j -0.0500735-0.00219106j -0.0120227-0.0458594j 0.00228979-0.0387688j -0.0326171-0.0363997j 0.00587703+0.0184866j -0.0156267+0.00656692j 0.0347217-0.0267323j -0.00920303-0.0144784j -0.0393561-0.0460912j 0.0105495-0.00414027j 0.0117459+0.0293735j 0.00388477+0.00676306j -0.00672593+0.0450727j -0.0269903-0.0168713j 0.018243+0.00931722j -0.0160114-0.0373519j -0.0132772+0.0379279j -0.00157421-0.0153014j -0.0111019+0.0146868j 0.000548+0.00155241j 0.00752386+0.014439j 0.0174644+0.0239375j -0.00484658+0.0216302j -0.00119152-0.0141147j -0.00170878+0.00482917j -0.0136242-0.00758007j 0.0635007+0.0316027j -0.0383545+0.00387627j -0.0325086+0.00684593j 0.0107038+0.00254722j -0.00495899+0.015462j 0.0051656+0.0187644j -0.00364362+0.00297286j -0.00107505-0.00208192j -0.0165644-0.0126854j -0.0243892-0.00932999j 0.0150328+0.0306239j 0.0108012-0.0127361j 
0.0403221+0.160287j -0.157985+0.0393516j -0.116303-0.17143j 0.156446-0.105727j 0.239208+0.0484562j -0.148707+0.116239j 0.0747463-0.127174j 0.0176591-0.0881701j 0.0626965-0.0939397j 0.16854-0.0529335j -0.0415078-0.0408531j -0.0013989+0.00529295j -0.0982974+0.102415j -0.162176-0.0975029j -0.105772-0.0809202j 0.227514+0.124506j 0.1617-0.175414j -0.0341619+0.253558j 0.177597+0.11774j 0.251431-0.00460649j 0.0410964-0.0677587j -0.0552059-0.0961836j 0.0929505+0.0299627j -0.0331642+0.0247069j 0.0525624+0.0253892j -0.0717508+0.135953j -0.000962334+0.23135j 0.00224163+0.213596j 0.0275491-0.10344j -0.0895655-0.0586826j -0.0344386-0.113195j 0.0568272-0.0149092j -0.0849512+0.126364j 0.0655009+0.10561j 0.00493772+0.0281245j 0.0444119+0.0379082j 0.0213214+0.0580394j 0.0463157-0.0166807j -0.0190523-0.0297624j 0.0495354+0.00994338j -0.0446948-0.0112501j 0.0118215-0.000583384j -0.0429186-0.0168408j -0.015563-0.0168627j 0.00910206+0.0062908j 0.0192611+0.000959682j -0.0134575+0.0287657j 0.0432551-0.008509j -0.034226-0.0251037j -0.0544262+0.0263656j 0.0663625-0.0275345j -0.000492507+0.00515474j -0.034087+0.012294j -0.029339-0.000635065j -0.00524079+0.00634758j 0.00244965-0.0152006j -0.00218749-0.0192543j -0.0113655+0.0225747j 0.0222261-0.0273525j -0.0544997+0.0197425j 0.00506563-0.0207919j 0.00959141-0.0498396j -0.0226004-0.026816j 0.0157574-0.00942571j 0.00301671-0.000468044j -0.0191996-0.0251826j 0.0129119-0.00639494j -0.00179022+0.000548004j -0.00365612+0.00654694j 0.000886826+0.00875315j -0.0131655-0.0297954j 0.0121354-0.00332636j 0.00406135-0.0166519j -0.0139745+0.00188022j -0.0157857+0.0101843j 0.0223015+0.00650931j -0.00428933-0.00740306j 0.00965877-0.0136852j 0.00721394+0.0143664j 0.00416481-0.00079954j 0.00371506+0.000704871j 0.0154682+0.0176587j -0.0134152-0.00723955j 0.0239035-0.000134066j -0.00265+0.0136085j 0.0151477+0.000991725j 0.000363363+0.000786615j 0.00349132+0.00225472j 0.00335329-0.0269401j -0.00542116-0.00487122j 0.00571671-0.00248433j -0.00526993-0.00679899j -0.0101633+0.00536994j -0.0237536+0.00916446j 0.00628212+0.0373793j 
-0.042204+0.137496j -0.165497-0.0238924j 0.181697-0.035185j 0.0260653+0.143862j -0.0146793+0.0257649j -0.128135-0.0942698j -0.0505015+0.0166227j -0.0765708+0.259265j -0.207249+0.0383618j -0.264123-0.248157j -0.0606894-0.301108j -0.133695+0.22708j -0.0557035+0.0992372j -0.320606+0.0548626j 0.0572436-0.19898j 0.151717-0.179661j -0.189432-0.152736j -0.00183264-0.0604851j 0.00583543+0.147296j 0.0475975+0.0189111j -0.0462803-0.0763771j 0.0583667+0.0329154j -0.0973421-0.0420044j 0.0409989-0.0600373j -0.00394663+0.0190372j 0.0128744-0.0290329j -0.00701832-0.0611206j -0.245207+0.020811j 0.0117454+0.0124296j 0.031775+0.00531977j 0.00056425+0.0179954j 0.0346742-0.0132472j 0.0734953-0.0664877j -0.0358574-0.0111304j 0.0146238+0.0524086j -0.0379952-0.029295j 0.0351729+0.022562j 0.0364523-0.0252672j 0.0186747-0.0182944j -0.0107588-0.0102166j 0.0260009+0.00727901j 0.0118219+0.00145984j -0.0051006-0.00287375j 0.0390925+0.0142075j 0.00411634+0.0102028j -0.00316333-0.00734264j 0.00633422-0.0143658j -0.00852296+0.00818187j 0.00182144+0.000930961j 0.00570715-0.0166118j -0.0221424-0.0082439j -0.00321753-0.00865102j 0.0167026+0.00906809j 0.0127946-0.0213042j -0.0089281+0.00908367j 0.00256356+0.0142346j -0.00104165+0.0178858j -0.0111158+0.00578458j 0.00556304+0.00805188j 0.00249442-0.00112513j 0.00257449+0.00707512j 0.00294367-0.00209919j 0.00327104+0.00174793j -0.00803565+0.0156879j -0.0034+0.00600451j 0.0182937+0.0100917j -0.00727203-0.0204471j 0.00432202+0.0104536j 0.0135065-0.012177j -0.00988573+0.00147418j -0.00839008+0.0155808j 0.0106657-0.00744828j 0.00556934+0.000257416j 0.0192177-0.011188j 0.00952897+0.00014287j -0.00547741-0.0205526j -0.00129865+0.00837881j 0.0253973+0.00176499j -0.00234992-0.000144849j -0.00778811-0.000661051j -0.00513058-0.000148901j -0.000840587+0.0181512j 0.00224389-0.00316535j -0.00947057-0.0100374j -0.00165586-0.00416503j 0.0127551+0.00552246j -0.00370708+0.00518816j 0.0066305-0.00159148j 0.000895813-0.00779289j -0.00121282-0.00529754j 0.00212716-0.00188169j 0.00206716+0.00537299j -0.000501488+0.00609174j 0.000177622-0.000518651j 0.00184296+0.000633354j 
0.00433776-0.0344916j 0.0274071+0.0396364j 0.0383143-0.0789829j 0.042117+0.0678314j -0.188307+0.0667483j 0.0530025-0.0182652j 0.0966166+0.00856763j 0.0966777+0.0461589j 0.0631355-0.0475109j 0.0445386-0.0418545j -0.0708955-0.0534227j 0.0655394-0.111905j 0.014762+0.0214666j -0.141332-0.0374214j 0.0969846+0.0491743j 0.00724097+0.0378373j 0.086919+0.0328841j 0.195926+0.135641j 0.00455838-0.00588874j 0.235702-0.130419j -0.0238207+0.0659597j -0.0493227-0.161766j -0.0328295-0.0322059j -0.096443-0.0873914j -0.0339173+0.00908119j 0.00894263+0.110671j -0.0620803-0.136973j -0.0117198+0.10179j -0.0680389+0.17088j -0.0317855+0.0275412j 0.118249-0.109189j -0.0791654+0.00260362j 0.127361-0.0737286j 0.00744369-0.180468j -0.119265+0.0741885j 0.0992211-0.00620698j -0.0132011+0.0068823j 0.0104207+0.0142664j -0.0986399-0.140334j 0.0422021+0.0172208j 0.0976243+0.201907j -0.13872-0.024901j 0.052447+0.00182161j 0.0197677-0.0143019j 0.0197394+0.0173408j 0.0648964+0.0826573j -0.0607758+0.0808911j -0.00692437-0.0797768j 0.0804446-0.0156096j 0.0178234-0.0323878j -0.050302+0.0343969j -0.0161383-0.0120875j -0.0200527-0.0197725j -0.00395883-0.00192454j 0.0423527+0.0335424j -0.0370694-0.0189476j 0.0132271+0.00761872j -0.0236943-0.021143j 0.00322721-0.0814075j 0.00640646-0.059824j -0.042428+0.100974j -0.0382314+0.0886233j 0.0467835-0.019434j 0.0139707-0.0212259j -0.00282167-0.0253292j -0.0250774-0.00511499j -0.00214224-0.012921j -0.0228789-0.00727542j 0.0061082+0.0283947j 0.016634+0.0141221j 0.0225797+0.0246824j 0.00342895-0.0204819j -0.0014438-0.0215117j 0.0375158+0.0486517j 0.0293154-0.0154323j -0.0396197+0.0146506j -0.0360758+0.00431408j -0.0305208+0.0418832j 0.0124556-0.0449431j -0.0424593+0.024503j -0.00763146-0.0083327j -0.0154894-0.0277553j 0.0180637-0.0224781j 0.00973094+0.036757j -0.0525801-0.0642421j -0.0518997-0.0269168j 0.0408265-0.0191534j -0.0305254-0.0225442j 0.0431086+0.0477672j -0.00572469+0.0136207j -0.011455+0.0227573j -0.00167978+0.00796654j -0.0147586-0.0700527j 0.0622425+0.0514232j 0.0208637-0.0933616j 
-0.093126+0.00321893j 0.0256648-0.0355786j -0.0237014-0.0460956j 0.0365055-0.0495597j -0.0429-0.132247j -0.0988384+0.0727521j -0.0698686+0.0491632j 0.0396221-0.046145j -0.240401+0.0105653j 0.105441+0.00598585j 0.04314+0.0623442j 0.0143854+0.17468j 0.066998-0.0537709j 0.0162072-0.0392348j -0.142989-0.0404674j -0.138467+0.0193827j 0.0354879-0.0557595j 0.0687099-0.0584504j -0.0909447-0.0359501j 0.150397+0.0213394j -0.0501651+0.0197788j -0.162195-0.163361j 0.0577214-0.189174j 0.182798+0.259702j 0.0488065-0.0428273j 0.0174026-0.238536j -0.209762-0.0721866j 0.00996117-0.0222295j -0.183726+7.47869e-05j 0.229733-0.24311j -0.0203337-0.16617j 0.188097-0.0743447j 0.0634716-0.0494286j 0.0831563-0.122875j 0.110224+0.183802j -0.0870617+0.119258j -0.0481554+0.0387481j 0.0229849+0.0625281j -0.029991-0.0501945j 0.0577156+0.00223492j -0.0167529-0.0131169j 0.0223825+0.0154105j 0.00365807+0.0156647j -0.00185554-0.0175542j -0.00692679-0.0236962j 0.0506275+0.0351755j 0.00859258-0.0382473j -0.00886702+0.0227205j 0.000632902-0.0376948j 0.0134659+0.0475667j -0.0414665-0.0956538j 0.0136587-0.00939977j -0.0141436+0.0472016j 0.0019713+0.0218656j 0.0113216-0.0604223j 0.0261637-0.00675181j 0.000411824+0.0187355j -0.0126203+0.0144558j 0.00350318+0.0174702j 0.000853953-0.000423684j 0.0140559-0.0306713j -0.00646344+0.00480781j 0.000766693-0.0261999j -0.00307775+0.0165606j 0.01487-0.0104105j 0.0161208-0.0197739j 0.00568655+0.00336421j 0.00113356-0.000231873j -0.0238742+0.0209641j 0.0294626+0.0189433j -0.0181886+0.0201792j 0.035938-0.0171044j 0.0104012-0.033987j -0.0404505+0.0307593j 0.0338559-0.0140872j -0.0189465+0.0164148j -0.0158926+0.00439201j 0.00919598+0.0146176j 0.00626494-0.00541788j 0.0062261+0.00961908j 0.0113312-0.00898488j -0.00934091+0.00545703j -0.0110468+0.000461311j 0.0308732-0.00626036j -0.047701+0.00544754j -0.00973349+0.00297886j 0.0176623+0.0147617j -0.0144954+0.00795284j 0.0089801-0.0121071j -0.0108873-0.0221499j -0.0045033-0.0597961j -0.0189439-0.0446646j -0.0212992-0.00634746j -0.00451143+0.0226251j 0.00930662+0.0100025j 
0.0276946+0.00141703j 0.00879216+0.015968j 0.000945213+0.0304249j -0.0121545-0.00309172j 0.0820446-0.00264292j 0.00384915+0.0341069j 0.0145771-0.00884488j -0.0372424-0.0181069j 0.0250869-0.00322884j -0.0129018+0.013166j 0.00883536-0.0105026j -0.00693514+0.00325497j -0.0125417+0.00595807j 0.0100508+0.00726519j -0.00445318+0.0208606j 0.00119414-0.000156782j -0.0201136+4.39848e-05j -0.0417315+0.00107686j -0.0172962+0.0266471j -0.0415517+0.0401722j 0.0155863+0.00471719j -0.0115984+0.0939517j -0.00598505-0.0243381j -0.0579904-0.0510362j -0.025834+0.0242956j 0.0191-0.0364139j 0.0743729-0.00626434j -0.00979801-0.0129367j 0.0299456-0.0419106j 0.0211544+0.0816711j -0.0180767+0.105693j -0.033629-0.0608873j -0.0454573-0.0914881j -0.0471155+0.00623999j -0.00200977+0.00207452j -0.00310479+0.00288571j 0.0254451+0.00343448j -0.0184837+0.011212j 0.060756-0.0124124j -0.100511+0.0620016j 0.0648317+0.0586989j -0.060855+0.0464986j -0.0172527+0.00181584j 0.00872238-0.00132613j -0.0262-0.00786068j -0.030556+0.00792636j -0.0847698+0.0941795j 0.0397952-0.0345082j 0.05879-0.0482042j 0.0155-0.0110855j -0.0758114+0.0756458j -0.0337924+0.0144972j 0.00968561+0.0232413j 0.0558755+0.033859j -0.0145564+0.0672487j 0.144314+0.136853j -0.00354747-0.00454121j -0.00155128+0.0401387j -0.00611478+0.115711j 0.0237367+0.040401j 0.102087-0.0891275j 0.0108798-0.0604369j -0.0271801+0.0677217j 0.133029-0.0359269j -0.0425808-0.0541501j 0.0703852-0.0953009j 0.0499289+0.00043119j -0.00669788+0.0223538j -0.0577069+0.031127j 0.122358+0.107298j -0.00196277-0.0323926j 0.0667019+0.0411195j 0.0166242-0.0643766j 0.0229303+0.0422251j 0.129859-0.0521173j -0.0557939-0.0196103j -0.0852681-0.0113709j -0.0122875+0.0101246j 0.100854+0.0288915j -0.0174853-0.00396602j -0.0230684-0.00748413j -0.0241211+0.0479681j 0.058108+0.0106475j 0.220038-0.0213315j -0.187322+0.140269j -0.0180011+0.049014j 0.0918674+0.0729534j -0.0166644-0.022283j 0.0315829-0.0300281j 0.000932416-0.00205314j 0.0294823-0.0446678j -0.051178-0.044479j -0.109269+0.0178995j -0.0241066+0.0947881j 0.0405827+0.0650867j 
0.0164926-0.000225607j -0.00666381-0.0058729j -0.00472791+0.00594088j -0.00267976-0.0100121j 0.125535+0.00343379j -0.0458289+0.0206699j -0.0288679-0.0332373j -0.0707798-0.037357j -0.0261846-0.000726056j 0.00964861+0.00645121j 0.0257835+0.03148j -0.0375619+0.0693777j -0.019896-0.0114003j 0.057725+0.00911961j -0.0716197-0.0460134j 0.033064+0.0197837j -0.00514534-0.0315013j -0.0788875-0.0295423j 0.0437459-0.00208379j -0.112464+0.023529j 0.0119382-0.038643j -0.0150334+0.0919621j 0.0020884+0.0656373j 0.0873171+0.0422024j -0.0120956+0.051418j -0.0181349-0.0172268j 0.000245719+0.0731854j 0.00567989-0.0219359j 0.0220048-0.093856j 0.0603861-0.0364885j -0.063311+0.046642j 0.0661403+0.00416809j -0.0303351-0.0624283j 0.0124788+0.126481j 0.099885-0.00904156j -0.069409+0.0523797j 0.00600734+0.0402977j -0.00691083-0.032259j 0.0392882+0.0140299j 0.0547504-0.00318918j 0.00289416-0.0238587j 0.00829802-0.0780602j -0.0585776-0.0290885j -0.0134759-0.0820301j 0.107248-0.0308575j -0.107999-0.0526856j 0.0756059-0.0970357j 0.0215004+0.0112092j -0.0367865-0.00152681j -0.0264964+0.00643352j 0.0895011-0.0570178j -0.0707601+0.00634182j 0.0983501+0.0138227j 0.00572526-0.0532936j -0.0176057-0.0675288j 0.131311+0.0453197j -0.0108111+0.057615j -0.0206234+0.0465367j 0.0168788+0.0214809j 0.0273956+0.0465615j -0.0313139-0.0392745j -0.0248572-0.109848j 0.0150262+0.175786j 0.0295311-0.0708787j -0.010733+0.184786j -0.0856242+0.0678052j 0.00601556-0.0469783j -0.0360406-0.0149676j 0.0139593+0.0329643j -0.0951956-0.0229238j 0.0141897+0.0207351j -0.0358259+0.0187247j -0.0811623+0.0210125j 0.071889+0.100937j -0.0210716+0.0363616j -0.0573015-0.0748526j -0.040836-0.0412186j -0.0901108+0.0454605j 0.0467532-0.0688565j -0.136733-0.00518373j -0.00529035+0.0357337j -0.0120769-0.0787452j 0.0418203-0.0119252j -0.000636784+0.0449131j -0.0259998-0.0940738j -0.074906-0.0269486j 0.025166+0.0241538j -0.0318435-0.00559074j 0.014638+0.06096j 0.0100131+0.0775972j -0.00908232+0.150527j 0.00952699+0.000500433j -0.024942-0.08971j 0.0750957+0.0350118j 0.0224171-0.109162j 
-0.0222511+0.00804576j 0.00419732-0.0244858j -0.00878903-0.00552527j 0.0137508+0.00659983j -0.0289794+0.00784364j 0.0456425+0.0212216j 0.00479873-0.021689j -0.00598779+0.0036446j 0.00273+0.00761915j 0.0209567+0.0117161j -0.00887911-0.0237585j 0.019466+0.00622275j 0.00483399+0.013458j 0.0048333+0.0151334j -0.00655022-0.0118117j 0.00533083+0.00218649j -0.0116211+0.00697511j 0.0230218+0.019106j -0.0269885-0.0277126j -0.00437851+0.0340996j 0.00140969-0.0027298j 0.0235716+0.0103777j -0.0389845-0.0322463j 0.0126634-0.0162319j -0.0105548-0.0188287j 0.00236028-0.0230061j 0.0102236-0.000551391j 0.0103528+0.0266867j 0.0154355+0.0147834j -0.0278673+0.011797j 0.00999344-0.0118605j -0.00775953+0.00027814j 0.00265691+0.0346637j -0.0141498+0.0150198j -0.0596776-0.0121657j -0.0109024-0.0713536j -0.0554077+0.0506635j -0.0410511-0.0191327j -0.00953446-0.0100501j -0.0111751-0.0193448j -0.0246364-0.0577707j 0.0398866-0.0081125j -0.0833103-0.0206282j 0.135461-0.135819j 0.0991526-0.135498j 0.0472901-0.0130075j 0.0408621-0.0184701j 0.124716-0.112291j 0.0809043-0.110505j -0.0452564-0.0743684j -0.0884749-0.0117613j -0.0836041+0.0636342j 0.0135771+0.0434029j -0.05244-0.0882176j 0.0469267+0.127015j -0.0661242-0.0374802j -0.00693624+0.150332j -0.0885271+0.0741585j 0.0496257-0.0382691j -0.0377814+0.0124973j 0.0791101+0.017568j -0.0730279+0.0442127j -0.150826-0.0917293j -0.0690601+0.0498508j -0.0427157-0.022223j -0.111008-0.0122042j -0.0607467-0.0913102j -0.0451623-0.1835j -0.0684754+0.107803j -0.18707+0.00966376j -0.0425954-0.0298227j 0.0851023+0.127526j -0.179228-0.00732061j -0.0833359+0.00487998j -0.0523181-0.0363113j -0.0740455-0.0461056j -0.00796804+0.0304309j -0.141818+0.255446j -0.0125941+0.0969066j -0.27025+0.0632881j 0.0714569-0.0631603j -0.121927-0.0647336j -0.0981355+0.105079j -0.0243975+0.018886j -0.0236107+0.18679j -0.105927+0.0406173j 0.0249661+0.0479039j 0.0563937+0.119729j -0.0455707+0.0915401j 0.032865+0.135456j -0.0199749-0.180832j -0.00228815-0.0749357j -0.0204725+0.0511744j -0.0203413+0.012678j -0.00109765+0.0307277j 
0.0352122+0.022589j -0.0236639+0.0189124j 0.000585469+0.00098605j -0.0222171+0.0376889j 0.0350186+0.00404742j 0.00990591-0.0351296j -0.00879201+0.00106625j 0.00961891-0.0050053j 0.0225988+0.00266719j 0.00300584-0.00953153j 0.00709904-0.0243156j 0.00168692-0.00542103j 0.0097448-0.0130696j 0.00702118-0.00325184j -0.0102881-0.00793115j 0.0140626+0.00919816j 0.00826761+0.00937172j 0.0143717+0.00998571j 0.0292162+0.0210882j -0.00454443-0.015232j -0.0113962+0.00970427j -0.0121207+0.00578359j 0.0290302+0.0414383j -0.00326786+0.0090332j 0.00982807+0.0161838j 0.00453907+0.0427888j -0.00146773-0.0124853j 0.0156898-0.00533337j -0.0155489+0.0165277j 0.0157717-0.0132167j 0.00697261+0.00797556j -0.0150582+0.00746409j 0.0107531-0.0206614j 0.00599551+0.000171994j 0.0628803-0.0112159j 0.031829+0.0134194j -0.131073-0.015351j -0.0269799+0.131962j 0.0298647+0.0349787j 0.032139-0.00272178j 0.0659194+0.0607319j -0.00689596-0.0156501j 0.119458+0.0888646j 0.112926+0.0913762j -0.0703991-0.113193j -0.0092522-0.0882596j 0.146022-0.047332j 0.0556471-0.0373822j 0.0395544+0.031229j -0.0206324-0.00624867j 0.0200505-0.0258288j 0.111085+0.156155j 0.0495645+0.0780083j 0.0399622-0.0111748j -0.0845745-0.0883378j 0.0431155+0.0311427j 0.0100464-0.0419413j -0.0522381-0.0757602j 0.0691687+0.0769406j -0.115517-0.118748j -0.0414092+0.0290986j -0.109914-0.157955j -0.063392-0.13111j 0.0513131-0.0623883j 0.0882929+0.114361j 0.0841319-0.016588j -0.131798+0.0648695j 0.04942-0.121016j 0.0886744-0.0377205j 0.167853+0.110269j 0.161528+0.186486j 0.0481142-0.0348253j -0.0262391-0.131533j -0.0276486-0.0902844j 0.138547-0.114841j 0.217033-0.0682901j 0.0303121-0.00335488j -0.0128868+0.200003j -0.0300623+0.00804178j 0.108348+0.136999j -0.071588+0.0968437j -0.0089844-0.0785795j -0.00295352+0.164411j -0.0109278+0.0439937j 0.0777065-0.0707741j 0.0440495-0.0830777j -0.0551722+0.000771992j -0.0646594-0.0112634j -0.0796007+0.0211551j 0.00103845+0.293958j -0.00367496-0.0028936j 0.0288572+0.00686407j -0.000868955+0.0369237j 0.00534557-0.0032265j 0.0146763-0.0251402j 
0.034008-0.0243562j 0.0143599+0.0329964j 0.0405782+0.0140391j -0.0407101+0.0394135j -0.031835+0.00851396j -0.0132598-0.019405j 0.0171145+0.00841796j -0.0147971+0.0113621j 0.0301032-0.0015657j 0.0115879-0.00629559j -0.0214029-0.00602676j -0.0116191-0.0238838j -0.00189085+0.00195158j -0.00819227+0.0035919j 0.00661012+0.01298j -0.00561858+0.0211433j 0.0263631+0.0435711j 0.0318019+0.0467114j -0.0153757+0.0362224j 0.012143-0.0418177j -0.0335791+0.0162553j -0.00224096-0.0438574j 0.0841678+0.0299136j 0.00392808-0.00645168j -0.01554+0.0507808j -0.0168143+0.0550566j -0.0269314-0.0450518j -0.00951588+0.0176805j -0.0510242+0.0531471j 0.0465212-0.0166531j 0.0371314-0.00736032j -0.0194588-0.00133555j 0.0291944-0.0418226j -0.0431694-0.0593812j 0.0976387+0.0391392j 0.0343391+0.0250297j 0.0488177+0.0331694j 0.00314015-0.0480983j -0.016141+0.0123563j -0.0117459-0.00639153j 0.142725+0.0655444j -0.0122167-0.0451539j -0.0875635-0.0504887j -0.00912907-0.111962j 0.0674819-0.0110398j 0.0789259-0.0784532j 0.103385-0.0516193j -0.0783897+0.0210635j -0.0335344+0.0372423j -0.031744-0.00631422j -0.00108942-0.00754811j -0.0329822-0.017595j -0.101203-0.0287987j -0.10988-0.0782582j -0.102546-0.113151j 0.0824684+0.0918832j -0.0397282+0.0710046j -0.019171+0.0569234j -0.0303929-0.0551958j 0.00504582+0.0616229j -0.126015-0.152429j -0.0191151+0.0671216j 0.0254468-0.0366802j 0.0909261-0.117109j 0.120556+0.0902016j -0.0330201+0.0586152j 0.105651-0.00446966j 0.0271158+0.0648673j -0.00666588+0.045034j -0.120193+0.0129511j 0.0173031-0.0187845j -0.0617406+0.0305899j -0.0526773-0.0088032j 0.0939478+0.141038j 0.0253459+0.0352421j -0.105719-0.029748j -0.0649268-0.0342517j -0.100403+0.0691977j 0.126653-0.0848353j -0.154892+0.000727779j -0.0337129+0.0408482j -0.0177047-0.0834288j 0.106234-0.0752056j 0.12134-0.0790883j 0.00855145-0.184883j -0.0586567-0.108631j -0.0829981-0.00235684j 0.0918432-0.132945j -0.0093526+0.124352j 0.0159457+0.0368826j -0.01151+0.127398j 0.0384771+0.149617j 0.0282315+0.177423j 0.0128389-0.0272827j 0.0373933+0.0136717j 
-0.0141646-0.0218658j 0.0168-0.0217545j -0.00269739-0.0311107j 0.0199366+0.00819874j -0.0406087+0.0101313j 0.0124591-0.0218757j 0.00400664-0.020511j -0.00700439+0.0115783j 0.0100607-0.00931004j 0.00292539-0.00852422j -0.00322319+0.020217j 0.0269888+0.00109669j 0.00917176+0.00485877j -0.00391078-0.00144273j 0.0133942-0.012844j 0.0136809-0.00875028j 0.00556078+0.00889741j 0.00202628-0.013112j 0.0185136-0.0393513j -0.0176528-0.00463933j -0.0302827+0.0235592j 0.056268+0.0288077j -0.0785022+0.0304831j 0.0479562-0.00562825j 0.0132211+0.0131688j 0.0110997+0.0209406j -0.024393-0.000514472j 0.0153883+0.0108018j 0.0122618+0.0270023j 0.00449941-0.0296879j 0.0131067-0.0416099j -0.0124653+0.0363757j 0.0670748+0.0311562j 0.0271671+0.026755j -0.0177538-0.0182758j -0.0421314-0.0763618j 0.00635279+0.00324119j 0.00319205+0.0176133j -0.0423128+3.07612e-05j 0.0859334-0.0725669j -0.073075-0.082518j 0.0523341-0.0423646j -0.0254736-0.00821375j -0.0132353+0.0169285j -0.0403604+0.00688635j -0.0515542-0.0204292j 0.0566289-0.0481958j -0.0381549+0.0621392j -0.100171+0.0386378j -0.0101183+0.0324703j 0.0292377-0.0281327j -0.0707285-0.024464j 0.0103075-0.040465j 0.0127782-0.0245532j -0.00175717-0.0308337j -0.103031-0.113095j -0.0262674+0.0549014j 0.0250142+0.025128j 0.0237194-0.117062j -0.0668749-0.0381775j -0.0170371+0.0986023j 0.0034942-0.0556677j 0.0681-0.0383781j -0.101962+0.0385832j -0.010076+0.0252102j -0.0565231+0.0794169j 0.0248237+0.0184344j 0.0652153-0.00207535j 0.0454087+0.0158076j -0.117916-0.112674j 0.00569741+0.0383084j -0.0530127-0.0120155j -0.0220491+0.0686517j -0.0230248-0.0946726j -0.147091+0.0364639j 0.0517819+0.00472929j 0.0602847+0.0154567j 0.0297435-0.00253243j -0.0797758+0.0452042j 0.0224573+0.0341235j 0.0594895-0.0818616j 0.0347357-0.0511854j 0.0547942-0.0332183j -0.17588-0.00134915j 0.124095-0.0946572j 0.000748327+0.0212013j -0.0857175-0.0421259j -0.0182751-0.00970529j -0.0576168+0.00108078j 0.0011614-0.0039802j 0.00756487+0.150939j 0.0146883-0.0894049j 0.0580537+0.0488672j 0.0221656-0.0647329j -0.0301594-0.0440608j 
