0.0181022-0.00930554j 0.0179244+0.0330493j -0.0264688+0.0179417j 0.0623973+0.0465484j 0.116429-0.060595j 0.000663685-0.00532012j -0.00963165+0.138951j 0.0974209+0.0546064j 0.112716-0.018781j -0.209388+0.0558218j 0.00985215+0.20127j 0.0944899+0.445739j -0.0138204+0.0127744j 0.103969-0.0275058j 0.0823061-0.0262565j 0.0368731-0.000948299j 0.563215+0.0591271j -0.00644545-0.0241105j -0.0776227+0.264685j -0.164775+0.382369j 0.103835+0.0891766j 0.185736+0.0861898j 
-0.0429022+0.0220998j -0.0107839-0.0660668j 0.0552986+0.00596591j 0.0422878+0.0236074j 0.0856676-0.0431649j -0.00107703-0.00403505j -0.00709908+0.117496j 0.0860827+0.0362657j 0.171758-0.0385645j 0.11474-0.092289j 0.0970332+0.394722j -0.111949-0.223895j -0.0231063+0.0255759j -0.56035-0.000679297j -0.0726166+0.0042662j -0.0799717-0.0268698j 0.0863741+0.0260815j -0.0146086+0.0181007j 0.123038-0.428311j -0.0613183+0.283499j -0.220679-0.0543111j 0.149348+0.0580804j 
-0.0128409+0.00448527j -0.00372123+0.00358775j -0.0141898+0.00543358j 0.0151092-0.019825j -0.0106485+0.00993251j 0.00690912+0.0154315j -0.024595+0.0170105j 0.0273378+0.00954677j 0.0170379+0.0753893j -0.00778256-0.0686501j -0.0567094+0.0205757j -0.0641914+0.0280057j 0.0164556+0.0160685j 0.00476381+0.00176239j -0.030802-0.0323172j 0.00112622-0.00509652j 0.058947-0.00312643j 0.0257358-0.0406514j 0.0308456+0.00996388j 0.0717431+0.0307353j 0.0152619-0.0235167j 0.0125653-0.0731839j 
-0.0516529+0.00343775j -0.0111751+0.00233161j -0.0510525+0.00130356j 0.0136955-0.0161909j -0.0068086-0.0123955j -5.36902e-05+0.00298745j 0.000309482+0.00873891j 0.0148529+0.0137379j -0.00416603-0.0504876j -0.0107879+0.00686494j 0.0521126-0.011265j 0.0130716+0.0083453j -0.0195753-0.0205786j 0.0197597-0.00241014j 0.0099337+0.011332j -0.010542+0.0172158j -0.0140991-0.00357547j -0.0177188+0.0160574j 0.0122426+0.00563728j -0.0464087-0.00682076j -0.00476152-0.0143747j -0.00514331+0.0488251j 
-0.0246894-0.0102846j -0.0021361+0.000673914j -0.027913-0.00881551j -0.0429253+0.0397141j 0.0177977+0.0300716j 0.00394403-0.0221995j 0.0261061-0.0199954j -0.0313724-0.0482778j -0.00623862+0.0625103j 0.00637711+0.0390396j -0.0779684+0.00154304j 0.0249319-0.00228341j 0.030995+0.0363986j -0.0228124-0.00148106j 0.000372297+0.00224132j 0.0287415-0.0316994j 0.00590624+0.00722338j 0.016047-0.00730209j -0.0537285-0.00199683j 0.0478314-0.00347801j 0.00275528+0.0529857j 0.00434358-0.0483247j 
-0.000411277-0.000179333j -0.00203864-0.00159561j -0.0034177+0.00157057j -0.00691605+0.00554698j -0.0112567-0.00332489j -0.00784054+0.00565265j -0.004919-0.00314362j 0.0156458+0.00324358j -0.00283321-0.0184683j 0.00551336+0.0112102j -0.0195387+0.00510248j -0.0166841+0.00140029j -0.0133811+0.011525j -0.00490351-0.0016948j 0.0191086-0.0171481j 0.00467175-0.00337764j 0.0122528+0.0253951j 0.0158468-0.00991958j 0.0071286-0.00212967j 0.028215-0.00868835j -0.00130857-0.0153558j -0.0225557-0.0471643j 
0.00106099+0.00257593j 0.00205115-0.00338962j -0.00394336-0.000228871j -0.00910707-0.00101042j 0.00251658-0.00825144j 0.0092723+0.0217332j 0.00585926-0.00231156j 0.000528393+0.00747382j 0.0104664-0.013833j -0.0092864+0.0148102j 0.000837795-0.00806689j 0.00536422-0.00521246j 0.026278+0.00640334j 0.00647225+0.00211088j -0.0387493-0.0143369j 0.000992005-0.00737727j -0.00657333+0.0141792j 0.0388612-0.0416199j -0.00152155-0.00115083j -0.00734983+0.0021276j 0.00321831-2.17275e-05j 0.00882314-0.00728399j 
-0.0132725+0.00696643j 0.0120674+0.0174438j 0.0109058-0.00963374j 0.0112556-0.0140711j 0.0124591+0.0100139j 0.021028+0.00966524j 0.00432384+0.00711641j -0.0261835-0.00691123j -0.0124081+0.00146663j 0.0035159-0.0219811j 0.00107029-0.00334936j 0.00666454-0.00377014j -0.00940743+0.0062651j -0.00142195-0.0132449j -0.0245806-0.00586983j 0.00465735-0.00101068j -0.00176134-0.0101969j 0.00284515-0.00321386j -0.00912037+0.00498235j -0.00166698-0.00705718j 0.00910346+0.0249764j -0.00155443+0.00451746j 
-0.00434224-0.0143075j -0.0196987+0.0116613j 0.010919+0.0128218j 0.017314-0.00486968j -0.000140203+0.00698526j 0.00684073-0.0213828j -0.00828392+0.00893158j -0.00700903-0.0100702j -0.00209601-0.00326402j 0.00891232+0.00340709j 0.00304703-0.000316602j -0.00928595+0.00847151j 0.0316579+0.00884662j 0.00466912+0.00359083j 0.0350029+0.0216434j 0.0264597-0.0239514j 0.0085454+0.00704718j -0.0155739+0.00618441j 0.00948687+0.00266095j 0.00413841+0.00620612j -0.013519-0.0188734j 0.00336921-0.00705807j 
-0.000954791-0.00543162j -0.0096896+0.00404489j 0.00500833+0.00716008j -0.00263574+0.0124592j -0.0126413-0.00371165j -0.0139666-0.0364465j -0.00485544-0.00532061j 0.0212907+0.00135951j 0.00262454-0.0130281j -0.00165961-0.0380555j -0.00541737+0.00198442j 0.00894149-0.00523673j -0.0344464-0.00571127j -0.00551991-0.0282117j -0.0535799-0.0248025j -0.00453167+0.0119668j 0.00172227-0.0186683j 0.00994326-0.00921856j -0.0163482+0.00113152j -0.0066226-0.00175703j 0.0225905+0.0559179j -0.00206369+0.0126921j 
-0.0173421+0.0118147j 0.0197351+0.022332j 0.0156855-0.0158363j 0.00230004+0.00802157j -0.0104558-0.000733675j -0.00339783-0.0262064j -0.00451034-0.00188185j 0.0130336+0.00375285j 0.00410053-0.00273768j -0.00108548+0.0136731j -0.00633235+0.00447658j -0.00673171-0.00025042j -0.00201013-0.00517034j -0.00496121+0.00333831j 0.016146+0.00876055j -0.0034528+0.00202454j 0.000250313+0.0111805j -0.00179232+0.00225515j 0.0034322-0.00343157j 0.00859045+0.00470836j -0.00224149-0.0142701j -0.00157552-0.0161483j 
0.00295592-0.00311107j -0.00436631-0.00216124j -0.000524621+0.00203689j 0.023385-0.00626909j 0.000537232+0.00915224j 0.014071-0.0224262j -0.0121876+0.0069482j -0.0057027-0.0112236j -0.0065318+0.0153006j -0.0269972+0.0553232j -0.00818682+0.00954235j 0.0180192+0.00208862j -0.0183184-0.0136745j -0.00534611+0.0292075j -0.0164824-0.0249361j -0.0638334+0.0313216j -0.00901642+0.0181024j 0.0470479-0.0092243j -0.0107272-0.00711372j -0.00219113-0.00215946j 0.00510683-0.031828j 0.00540446-0.00116784j 
