0.000294565-0.0120266j 0.0758463-0.0520695j -0.0672341-0.00702636j 0.0401416+0.00421934j 0.048136+0.0296685j -0.0479382-0.00274854j -0.0217858-0.0407897j 0.0150203+0.0379238j -0.00537877-0.0126725j -0.044825-0.0173961j 0.00407253-0.0403161j 0.0141583+0.0384136j -0.0108819-0.00538349j 0.0068193-0.0186182j 0.00226409-0.00783785j 0.0203029+0.00446428j -0.000300782-0.00191537j -0.0100532-0.0128839j -0.0084816-0.010984j -0.000830081-0.0202461j -0.00488509+0.0166905j 0.0169688-0.00684742j 0.00757398+0.00467772j 0.00212987+0.0343747j 0.0190046-0.0260043j 0.0168096-0.00252626j 0.0141394+0.00671111j 0.0106447-0.00809186j -0.0118873-0.00779577j -0.0034188+0.00165684j -0.00473295+0.0188155j -0.0197954-0.0085289j -0.0170592-0.00472798j -0.00695915-0.00734516j -0.00415068-0.00335379j -0.00214564+0.00215504j 0.0147555+0.00699908j -0.00776415+0.0222609j -0.0102684+0.0286902j 0.0196259+0.00231962j 0.0127384+0.0174563j -0.00129957+0.0205837j -0.00449651+0.016323j 0.00414493+0.0168932j -0.00809532-0.00220511j -0.00735945-0.00105272j -0.00362337+0.00304559j 0.000643994-0.00685313j 0.00268173+0.0211705j -0.0386809+0.0305005j -0.00420549+0.00213105j 0.00160053-0.0297975j -0.00910472+0.000812262j 0.00658663-0.0315713j 0.0155936-0.00940101j 0.00562143+0.0101829j -0.0192362+0.0149053j 0.00705529+0.029007j -0.0394669+0.00200835j 0.0423488-0.0360836j 0.00494235-0.0295764j -0.0803388+0.0133192j 0.0956686+0.0455146j -0.00428832-0.0925991j -0.0332894+0.0608706j 0.0719677-0.0243276j 0.0139559+0.0780563j -0.00231782-0.0183707j -0.0573847-0.0259435j -0.0354312+0.0900782j 0.0042827-0.0330429j 0.128713-0.141822j 
0.074715-0.0570161j 0.00460034+0.0103599j 0.0406798+0.00457008j 0.0818253+0.00911955j -0.00143386-0.0015436j 0.0161172+0.0269769j -0.0564824-0.034576j -0.00328383-0.0452897j 0.0259165-0.00127917j -0.00284681+0.0209715j -0.0127749+0.00393348j 0.00854889+0.021315j 0.0284333+0.033746j 0.000764832-0.0216772j 0.0200029-0.0035811j 0.00692068-0.017456j 0.00742893-0.00271103j -0.012756+0.00693086j 0.0174871-0.0280807j -0.00602868-0.0174307j -0.00501753-0.0235039j -0.000377257-0.00618829j -0.00707282+0.0101507j 0.00798265-0.00823781j -0.00333954-0.0131007j 0.0104929-0.00134802j 0.00454225+0.00815333j -0.00177459-0.00872065j 0.00201238+0.000726424j 0.0100835+0.0127869j 0.00330898-0.0175957j 0.0103688-0.00713481j 0.00565347+0.00206834j 0.00895865-0.00556094j -0.00280087-0.00952959j -0.0108028-0.0232064j 0.0165153-0.00460628j -0.00346014-0.00123119j 0.000295717+0.00192809j -0.0152616-0.0219931j 0.00538903-0.00161901j -0.0140205-0.0242813j 0.0013083-0.0270762j 0.0118957-0.00292453j -0.00641838-0.0076986j -0.0120313+0.00917402j -0.00273796+0.0124974j 0.0112915-0.0284524j -0.0189949+0.0199364j 0.013545+0.0372836j 0.0132872-0.0205281j -0.0218179+0.0105431j -0.00273992+0.0248302j -0.0217147+0.00474895j 0.00490442-0.00361777j 0.00335773-0.0253216j -0.00287572+0.0095749j 0.0567932-0.0207942j -0.0383531+0.0435498j -0.0372205-0.00908294j -0.0284338-0.00850405j 0.0196709+0.0379701j 0.00584728-0.0876835j -0.107832-0.0386807j 0.043136+0.0106635j -0.0233802-0.105408j 0.0380784-0.0284895j -0.0467346+0.0334813j 0.00512587+0.0757707j 0.0834892+0.0640919j 0.114653-0.139037j -0.0104936+0.0168001j 
0.0229032-0.071317j -0.00771182+0.0462868j 0.0156784-0.0102716j 0.0268704-0.0393029j 0.0515645-0.0150483j 0.0591613+0.0330712j -0.0389027+0.0106148j 0.0647511+0.0214923j -0.030673-0.0126585j -0.0323289+0.0119969j -0.04061-0.0108257j -0.00663228+0.0560783j 0.0195762+0.0356321j 0.0259696+0.02722j -0.0146938-0.00774312j 0.0205362+0.0130605j 0.00458243+0.00499169j -0.0139906+0.00916998j 0.0115392+0.0384033j -0.00164892+0.00516573j -0.00507778+0.018432j 0.0199745-0.0114148j 0.000923833+0.0179364j 0.0230604+0.0412731j 0.0152996-0.0122316j 0.00102299+0.000645528j -0.00380642-0.033595j 0.0105967-0.0352958j 0.00447776-0.00265873j 0.0110001-0.00101302j 0.0101731+0.0185064j 0.0225802+0.0142511j -0.0130873-0.0149419j 0.0228612+0.000774402j 0.0215108+0.00603621j 0.00246251-0.00901933j 0.0151872+0.00569185j 0.00870934+0.024921j -0.000240639+0.0095637j 0.0230777-0.017717j 0.00638084-0.00232462j 0.0247062-0.0119994j -0.00496436-0.0184558j 0.0203186+0.00895214j 0.00382367-0.00399112j -0.0147411+0.00905206j -0.0347492-0.00202714j -0.0115645+0.0342862j 0.021982-0.0171949j -0.0150645+0.0250184j -0.00564865+0.0321119j 0.0339391-0.031733j -0.0455247-0.0300731j -0.0169528-0.00109722j 0.0393566+0.00694913j -0.0384712+0.00270188j -0.00426792-0.0239306j 0.00751874+0.0348014j 0.0331501+0.00764812j 0.0402631-0.00484103j 0.0422854+0.0635003j 0.000827537-0.0618553j -0.0162731-0.0344342j -0.0224607+0.0532222j 0.0562994-0.0212112j -0.0521316+0.0128041j 0.023192-0.0271566j 0.0809379-0.0770276j 0.0455196+0.0573356j -0.163513+0.0629616j -0.200915-0.180207j 0.133082-0.0874232j 
0.00559031-0.0266342j 0.00451876-0.0908909j 0.00448902+0.0347508j 0.00158633+0.0460167j -0.0757807+0.0328419j -0.0528515+0.00782468j -0.0108169-0.011845j -0.014997-0.00776679j 0.0288282-0.00743059j -0.00276851+0.0213838j 0.0187478-0.0108209j 0.00510317-0.0103537j -0.00272783+0.000292745j -0.00263338+0.00415263j 0.00404774+0.00493942j 0.00585074+0.00129109j 0.0157003+0.018317j -0.0135207-0.0140358j 0.00140723+0.0181343j 0.00780412-0.00338272j -0.0196474+0.00835655j 0.0147395+0.00921405j -0.0208119+0.00506739j -0.00426515+0.0201894j 0.0202605+0.00262088j 0.0152854-0.012145j -0.0111827+0.0109149j 0.0023621+0.00952483j -0.0109473-0.000278687j 0.00947721+0.00374044j 0.0163125-0.00658859j -0.00615599-0.0147577j -0.00391227-0.0152428j -0.000965126-0.00400889j -0.0050191+0.00583093j 0.0133729-0.00947372j -0.014831+0.0187237j -0.00926586-0.00683261j 0.0149401+0.00329537j 0.0179966+0.00203795j 0.012976+0.0180951j 0.00965263-0.0120012j -0.00838256-0.0261381j -0.00335091+0.00622289j -0.018575-0.00910453j 0.0124321-0.0291332j 0.00660453-0.0180691j 0.00412933+0.0176064j 0.0115012-0.003247j -0.045502-0.00283397j -0.0097909+0.0239395j 0.0105696-0.0369753j 0.0111906-0.00395205j -0.00900332-0.0237634j 0.0212084+0.0709635j -0.0271234-0.0401665j 0.00859182-0.00220205j 0.00873589+0.0288471j -0.0137681+0.0336812j 0.00191743+0.0461364j -0.0894526+0.0861936j 0.0962984+0.0229068j 0.0702243-0.0142169j 0.0241832-0.0545133j 0.0300331-0.000391222j -0.0405924-0.00880312j 0.0825735+0.0229353j 0.0808115+0.0745689j 0.0225757+0.0164561j -0.0564289-0.126381j -0.101707+0.097264j -0.235407-0.157498j 
-0.0208886+0.00270921j -0.0452537+0.0162406j 0.0389166+0.0242764j -0.0596106+0.0472579j -0.0657058+0.0171715j 0.00436473+0.003184j 0.0218821+0.0217783j 0.0025479-0.0261332j 0.0201247-0.0462546j 0.00108988+0.0008715j -0.0149355+0.0138201j -0.0309171-0.00553395j 0.00312848+0.00819383j -0.0212333+0.00172458j 0.0266347-0.0184968j 0.00710597+0.0243519j 0.00695553+0.0165268j -0.0139964-0.0334188j 0.0214442+0.0197364j 0.00414307-0.00692205j 0.00460625+0.0100777j -0.0300965-0.00331709j -0.026183+0.0140856j -0.00732006+0.00896133j 0.00167812+0.0105807j 0.0169782-0.00365179j -0.0156571+0.0054871j -0.000985294+0.0178726j 0.00946055-0.00701631j 0.0146379+0.0230184j -0.00967065+0.00582431j 7.61914e-05+0.0253811j 0.00103173+0.0261935j 0.0084974+0.0219699j -0.0193411-0.00324301j -0.0326777+0.00376992j -0.007132+0.0230647j -0.0134226+0.0057399j -0.0237488-0.00221153j -0.00852307-0.0155194j 0.00997703+0.0126213j 0.0215516+0.0125463j 0.020361+0.00429405j -0.00804717+0.00559895j 0.0143602-0.0260293j -0.00548519+0.00140995j 0.00816381+9.45932e-05j 0.0404309+0.00545288j 0.0128864-0.0305167j 0.0399598-0.00402917j -0.0109558+0.0460319j -0.0150374+0.0300597j 0.00195667-0.00832984j -0.0379958+0.0496149j -0.0045927+0.0373049j -0.0674813+0.0082102j 0.038776-0.00476308j -0.00316717-0.0673017j 0.0600338-0.022693j 0.0274526-0.0380301j -0.0289034+0.0726813j -0.0147059-0.00973881j -0.056337-0.0365673j -0.00266757+0.0131112j 0.0224496-0.0334114j -0.0448148+0.053234j -0.0277414-0.0563626j 0.0217117+0.00364818j -0.0592432-0.125884j 0.117306-0.0874805j -0.0809815+0.0232556j -0.0859272+0.0329741j 
-0.0369139+0.0207863j 0.00334888-0.0378692j -0.0374205+0.0258602j -0.0330683+0.00590087j 0.0172101+0.0121904j -0.0205724+0.00283115j -0.00467389+0.0143609j 0.0190532+0.0217483j -0.0192729-0.00510906j -0.00923736-0.0463021j -0.0448947-0.0135285j -0.0027712-0.0015698j -0.0290542+0.0111751j -0.0147755+0.0189337j -0.0204124+0.00358662j -0.0227268+0.00605329j 0.00606843+0.00209769j 0.00102585-0.0137389j 0.0024263+0.00178858j -0.0129703-0.00584069j 0.0222548+0.00502217j 0.00257073-0.00548912j -0.00505146-0.0179468j 0.0066518+0.0106718j -0.00402355+0.0085516j -0.00386983-0.0149232j -0.00778727-0.00890298j 0.00273628-0.00979126j 0.0127067+0.00170581j 0.00176659-0.00986501j -0.00975123+0.0386345j 0.0088065+0.0192129j 0.00220689-0.017004j 0.0286362+0.00210346j 0.0179626+0.0122415j 0.0168121+0.0511861j 0.00839528-0.0232563j 0.0341859+0.0027753j 0.0241442+0.00740105j 0.00339483+0.0185137j 0.00730872-0.0224246j 0.0281087-0.00315956j 0.0108143-0.0265194j 0.0123389-0.0142598j -0.0447913-0.02535j 0.0226323+0.0119161j 0.00247554-0.0536555j 0.000816739-0.0176043j -0.0150633-0.023824j 0.00545622-0.0122134j 0.0372565+0.0258545j 0.00653241-0.0381963j -0.00340222+0.0122111j 0.022642+0.00807255j -0.0149723+0.0263579j -0.0330573+0.0530115j 0.00105142-0.0247573j -0.0521065-0.00562401j -0.0167739-0.0101373j 0.0744386-0.0343271j 0.0354848+0.00225045j 0.0108557-0.0266889j -0.0227459+0.0671884j 0.0153933-0.00433457j -0.0195487+0.00106953j 0.0360124+0.0657202j -0.0251248+0.0488621j 0.0711318-0.0184638j 0.0241741-0.0316393j -0.0495115-0.0227973j -0.114526+0.0307564j 0.0191844-0.0512959j 
0.0284946+0.0494307j 0.0135755+0.0180809j -0.0264661-0.0216799j 0.00512548-0.0412837j 0.036292-0.0606026j 0.00273049-0.000903253j 0.043718-0.0271023j 0.0105236-0.00313609j 0.00235861+0.0388522j 0.0122954-0.00466661j 0.0110857+0.0290564j -0.00292155+0.00788388j 0.0148294-0.00215288j 0.00463548-0.0116314j -0.00102428+0.00925557j -0.00633921-0.0081086j -0.00238813-0.00892367j -0.00252939+0.00169776j 0.0533903-0.00543617j 0.0015887-0.0133276j 0.018353+0.00456155j -0.0193851-0.0056624j 0.00553701-0.00278787j -0.01828-0.00777718j -0.021997-0.0170117j 0.000840953+0.0188562j 0.0199435+0.0231341j 0.0151097+0.00513323j 0.0146283+0.00432424j 0.000181874+0.00642536j -0.0185747+0.00222904j -0.0011014+0.00329339j 0.0129837+0.0160852j -0.00865042-0.000539633j -0.0183251-0.0157993j -0.0160838-0.0205983j 0.00766055+0.0128363j 0.00361372-0.00648495j -0.0139347+0.0258443j -0.0052223+0.0177226j 0.00557343-0.00473859j -0.0145581-0.0295488j 0.0242755+0.0259078j 0.00401813+0.0143466j 0.0159854-0.025194j 0.0173628+0.0373408j -0.000341088+0.00884338j 0.0178999-0.0246942j 0.0108243-0.0193995j -0.0257955-0.0472358j 0.00372796+0.024051j 0.0283542-0.0369269j -0.0209632+0.00318219j 0.0691375-0.0109525j -0.0020407-0.0640269j 0.0427075-0.0282731j -0.0338827+0.020021j 0.0226466+0.0194326j 0.0159292-0.0157188j -0.0118112+0.0389366j -0.0690299-0.0256151j 0.0661382+0.0337111j -0.00369611+0.0239002j 0.0418876+0.0782582j 0.0314525-0.013224j -0.0216389-0.00248262j 0.00620848-0.0213541j 0.0169367+0.0325007j 0.0829544+0.226903j -0.132598+0.0444247j 0.115831+0.0121408j -0.0312184+0.0161155j 
-0.0251516+0.00922605j 0.0249596-0.0439745j -0.0406683+0.0265204j -0.0188731+0.0155529j 0.0351133-0.00313574j 0.0314732-0.0368413j 0.00460218-0.00194915j 0.0582867+0.0138449j -0.0171004+0.0196732j 0.00131243-0.0301566j 0.00872441-0.00141287j -0.0155539+0.0296572j 0.0150799-0.0282863j 0.0353329+0.0455911j -0.0164727+0.0269852j 0.0181997-0.016423j 0.0172911-0.007209j 0.000299409+0.0136721j -0.00373661+0.0256276j 0.0555304+0.0111027j -0.0177696+0.00999739j 0.0614421-0.0047212j 0.00150976-0.00565194j 0.0197553-0.0183896j 0.00096962+0.0118317j -0.0168853+0.00532681j -0.0295522+0.006295j 0.0131771-0.00245833j 0.0245519+0.00934598j 0.0212022-0.0192081j -0.021361-0.00653622j 0.00425252-0.00708985j -0.00241696-0.0213427j 0.0271507-0.0126318j 0.0401246-0.0318967j -0.0141438-0.00995646j 0.00455521+0.0298715j 0.022388-0.00319929j -0.00732097-0.0224923j 0.00876936+0.00680557j 0.0229427+0.0328463j -0.0112358-0.0324707j -0.0256434+0.0166713j -0.0213887-0.0162376j -0.0152066+0.0132807j -0.0343395+0.0503218j -0.0421514-0.0189916j 0.0179686+0.0433932j -0.0282626+0.0651847j 0.0146452-0.0233915j 0.0283358-0.0205818j 0.0258534+0.01226j 0.0311484+0.0270347j 0.0797158-0.0297211j 0.0923642+0.019063j -0.0637017+0.0662814j -0.0102528-0.0507835j -0.0632302-0.00984249j -0.0221844+0.0107829j -0.0234143+0.0153304j 0.0516794+0.0128461j 0.00787443+0.0248571j 0.0123147-0.00338147j -0.0721433-0.0542162j -0.00860338+0.0100218j 0.00710266-0.0618867j 0.0613719+0.00895273j 0.0315924+0.089864j 0.0375909-0.0221957j -0.129561+0.0816352j -0.0703661+0.00952113j 0.072903-0.139187j 
-0.00131184+0.0744167j -0.00269712+0.0641935j 0.00462502-0.0404644j -0.0221772-0.0113563j 0.00514117+0.00845388j 0.0133563-0.0105887j -0.00462359+0.0449278j -0.0228257+0.00618404j 0.0017398-0.0492972j -0.00346945-0.0197734j -0.0236842+0.00565578j 0.043816-0.0156782j 0.0257955+0.0276881j -0.00501241+0.0160306j 0.0175261-0.0198943j 0.00852818+0.00983488j 0.0039443-0.00363148j 0.0122174-0.00017246j -0.022244+0.00643182j 0.00181504+0.00916933j 0.0191245+0.0199689j -0.00444944+0.0202741j 0.00223834+0.0205474j 0.0273392+0.0228837j -0.0173569-0.00594654j -0.0217067-0.0211973j -0.0068491-0.00274206j -0.0142912-0.0344419j -0.00355061+0.0135096j -0.0156096-0.00427143j 0.00543838-0.00370097j -0.02797-0.0113317j 0.00152294-0.0229161j -0.0190096-0.00157886j 0.00514438+0.0237828j 0.0213445+0.0291389j 0.013317+0.00689278j 0.000841117+0.00685241j -0.00341564-0.0179239j -0.0321844+0.00329932j 0.0177901-0.011368j 0.000526499-0.00800978j -0.010196+0.0192867j -0.0131993-0.0419814j -0.0142123-0.00924323j -0.02935-0.0287292j 0.0183445-0.0489006j -0.0458505+0.0517808j -0.0039961-0.00524005j -0.00375822+0.0055758j 0.0153835+0.0280961j -0.00308487+0.00719702j -0.0345997+0.0668358j 0.0363269+0.102861j -0.0351034+0.0178287j -0.0876953+0.0144927j 0.0440789-0.0101766j 0.0462774-0.0474935j -0.00364867-0.0400185j -0.0202189+0.00352784j 0.00244842-0.0389064j 0.0154221+0.081593j 0.00547758+0.0776981j 0.030879-0.0325227j -0.0193659+0.0137237j 0.039522+0.0484256j 0.0222768+0.139356j -0.000995849+0.0840676j 0.204967+0.0163692j -0.00148969+0.0260893j 0.0250259+0.142838j -0.0274667+0.0506523j 
-0.025821-0.0151266j 0.018676+0.0257564j 0.0440568+0.0408397j 0.0193872+0.0401108j 0.0262243+0.0250372j 0.00467515-0.0202222j -0.0184028+0.00212714j -0.0475719-0.0181438j 0.00859516-0.0332366j -0.0057674-0.0416185j -0.00461756+0.018335j -0.0180675+0.00753797j -0.023823-0.00634589j -0.0354381-0.00589103j 0.0347092-0.0221817j 0.022343-0.0155634j -0.0295122+0.017284j 0.00648603-0.00485316j -0.0123661-0.0256948j -0.00226388+0.00671275j 0.023549-0.00760288j -0.0249324-0.00029059j 0.0253404+0.0105991j 0.0202729-0.01638j -0.00992677-8.54221e-05j -0.0259053+0.000222704j -0.00386865+0.0353557j 0.00298335+0.00848956j -0.00893077+0.0142348j 0.022583+0.0141652j -0.0246812-0.0367327j -0.0299687+0.00665345j -0.0115167-4.48931e-05j 0.000254274+0.0153026j 0.00472705+0.0110041j -0.0154725+0.00208629j 0.00975599+0.0426357j -0.0219029-0.00366047j -0.0367786-0.0308167j -0.0330712-0.0112349j 0.0113331-0.0101962j -0.0171915+0.0535904j -0.00503022+0.0070846j -0.00912381-0.0322405j 0.0716634+0.0234672j 0.0331256+0.0350205j 0.0305811+0.0124063j -0.0173888-0.0100082j -0.0511192+0.00461877j 0.0686778-0.0155604j -0.0064888-0.0217468j 0.0490915+0.0203919j 0.037583+0.00600656j 0.0419537+0.0365269j 0.036394-0.0329753j 0.110487+0.0590029j 0.00396768-0.0205133j 0.0578166+0.0162953j 0.0347216+0.0262818j -0.112871-0.0863911j 0.0752161+0.0189463j -0.0819754+0.0878319j -0.0128738-0.0140947j -0.0440871+0.0128522j -0.0653609+0.00606421j -0.0168063+0.0281144j -0.0244675-0.00160011j 0.00229138+0.135307j 0.0060138-0.097271j 0.268561+0.0963909j 0.112849-0.0220468j 0.0776612+0.0831948j 
0.00545384+0.0325614j -0.0172085-0.0359948j -0.00863955+0.00622356j -0.0154653+0.0147598j -0.0464874+0.0103443j -0.0109735+0.00702j 0.0125585-0.00621564j -0.0294788-0.0326679j 0.0254661+0.0275401j 0.0249244-0.0234374j 0.0061281+0.0136403j 0.00790944-0.0354764j 0.0235681+0.0265186j 0.0308356-0.00229059j 0.0128778+0.0238737j -0.022181+0.00762355j 0.04409-0.0282924j -0.0086184+0.000643829j 0.0334682-0.0566867j -0.0165057-0.027466j 0.0126592-0.0117323j 0.0089867+0.0168296j 0.00941481+0.0309672j -0.00830932+0.00877934j 0.00444514+0.0324866j -0.0102328+0.00440816j 0.0385483+0.0454666j 0.00732091+0.00860625j 0.00333111+0.00143548j -0.00541113-0.00874697j -0.027212-0.0236167j -0.0220053+0.00433646j -0.00752458-0.0263409j -0.0177487+0.00291295j -0.0283299+0.0200689j -0.00987322+0.000553763j -0.0011402+0.000403288j -0.027268+0.00279782j -0.0204343+0.0320516j 0.00871588+0.0508177j -0.0354815-0.0144847j -0.0365133+0.00810282j 0.0120951+0.00429307j -0.061979+0.00501185j -0.0209479+0.0037577j 0.0246-0.0283939j 0.0277347+0.0104654j -0.042533+0.0152306j -0.0192674+0.0533908j 0.0468158-0.0209193j -0.0383407-0.0194252j 0.029773+0.0140934j 0.0243227+0.0703677j 0.0356779-0.0105937j 0.0181127+0.011854j -0.00705245-0.033474j 0.0378249+0.0390019j 0.0288804-0.0650165j 0.0495662+0.00442203j -0.0866588-0.065483j -0.0788271+0.0232459j -0.0487465+0.010734j 0.0881598+0.0656217j 0.0105684+0.00709806j -0.0280229+0.00701308j 0.0196414-0.0593867j -0.019251-0.0197872j -0.0673206-0.0304737j -0.0243481-0.01602j 0.00646758-0.0235006j 0.0572229+0.0654755j -0.0521762+0.0255989j 
