0.214036+0.00128371j -0.0268396+0.154114j -0.144381+0.42725j -0.143919+0.058309j 0.00743679-0.0341576j -0.471992-0.14502j 0.177926+0.0417055j 0.118997+0.193745j 0.0756835+0.122618j -0.093162+0.247406j 0.168001+0.00756446j -0.0203868-0.104174j 0.0262287-0.0693488j -0.0412092-0.387908j 0.347645-0.0897942j 
-0.33857-0.09053j 0.0381311-0.381202j 0.0227584+0.0930935j -0.0268944+0.110924j -0.167416+0.00266828j -0.114469-0.254992j 0.0893612-0.120956j 0.12285-0.184517j 0.183255-0.0367229j -0.477531+0.154629j 0.000585521-0.0334757j -0.144173-0.062901j -0.138911-0.43171j 0.0265815+0.134116j -0.194407-0.0019681j 
-0.0193134+0.0251945j 0.0101389-0.0243228j -0.0643099-0.0141467j -0.00320738-0.0237593j -0.00835999-0.0066645j -0.0122578-0.00593763j -0.00835491-0.0128591j 0.0289564-0.0207275j -0.0424949+0.0441286j 0.0161813+0.0180966j 0.0162563+0.0297737j -0.0228121-0.0143906j -0.0182839+0.00293798j -0.0253184+0.0273658j -0.0620012-0.0462007j 
-0.0132278+0.0309153j 0.00209879-0.00201081j -0.00613165-0.0158397j -0.0111481-0.0415955j 0.0176236+0.0552051j -0.0256779+0.00490377j -0.0320243+0.0178738j -0.00120822+0.0334157j 0.052573+0.00917228j 0.00406412+0.0133435j 0.0177773-0.060367j 0.0113122-0.0489112j 0.01999-0.037285j 0.00821314-0.00652892j 0.00219214-0.0281593j 
-0.0373632+0.0438729j -0.0291473-0.00160267j 0.0133078+0.0260508j 0.0206368-0.00674182j 0.0216555-0.0440877j -0.0303393+0.02047j 0.0568972+0.0478197j -0.029028-0.00961555j -0.00455744-0.00745824j 0.0263189-0.00428027j -0.00390018+0.0191148j 0.00699439-0.0157709j 0.0678745+0.00823187j 0.00515559-0.000573766j 0.00894104-0.0208518j 
0.00958402-0.0110439j -0.00165077+0.0088218j 0.00633423-0.00272021j -0.00316479+0.00632177j -0.000157339-0.00060588j -0.0066487-0.00436849j -0.00175838-0.00262584j 0.00320784+0.00533056j -0.0110887-0.00088214j -0.00468428+0.000773411j 0.00165344-0.00297435j -0.00407721+0.00613428j 0.00199602+0.00775801j -0.00122694-0.00832803j -0.00400493+0.00992342j 
0.00166148+0.00501529j 0.010006-0.00520764j -0.023988+0.00245593j 0.00593868-0.00151884j -0.00957008-0.00579503j 0.0192329+0.0212712j -0.00835033+0.00339505j -0.00138432-0.0124605j 0.0141938+0.0207288j 0.014824+0.00737174j -0.0185915+0.0136473j 0.0103471+0.00275841j -0.0149151-0.0204603j 0.000368661+0.0088731j 0.0265465-0.00302352j 
0.0035734-0.011805j -0.0132679+0.00565923j 0.0179688-0.00719186j -0.00438376-0.001928j -0.00127127+0.00300526j -0.012607-0.0218397j -0.00563624+0.00530606j -0.00110591+0.0132711j -0.0176913-0.00621898j -0.00434562-0.00331671j 0.0147887-0.00562464j -0.0140531-0.00833563j 0.00364596+0.0184208j 0.00172548-0.0104808j -0.0393895-0.0107231j 
-0.0148142+0.0165267j 0.0187138-0.00506163j -0.0145023-0.0157121j -0.00573226-0.00385142j 0.0151725+0.0220819j -0.00399385+0.00330151j 0.0281145-0.0218545j 0.0172296-0.00655454j 0.00121006-0.0233459j -0.00773583-0.00806564j 0.0192073-0.00719467j 0.000264947+0.0144371j 0.00918217+0.0141557j -0.0179276+0.0164842j 0.000756169+0.0239287j 
0.00128415+0.00115306j -0.000256809-0.000758178j 0.0129583+0.014707j -0.00226831-0.00907429j 0.0134149+0.0345924j -0.00740636+0.0160252j -0.0161167+0.00742494j 0.00582457-0.00215572j -0.0175389-0.000689442j -0.0141217-0.0120041j -0.00504455+0.0387445j -0.000457727+0.00949706j 0.00662518-0.0188031j 0.000807142+0.00150323j -0.00262748+0.00105747j 
0.0100457-0.0126572j -0.0120157-0.0107606j -0.00984024+0.00356157j -0.00208315+0.00486269j 0.0155696+0.00759156j 0.00100127+0.000668951j -0.0075017-0.0138442j -0.0102993-0.00388536j -0.022737-0.0101149j 0.00678865+0.00482677j 0.00963417-0.0158636j 0.00469989-0.00472122j 0.016464-0.00851344j 0.0107611+0.00526714j -0.00749978-0.0122254j 
-0.000411986+0.00149031j -0.00155037-0.000747492j 0.00896674+0.0199014j 0.000797459-0.00956804j 0.00502115+0.0398631j -0.0129198+0.0133244j -0.0167613+0.00215996j 0.00513015+0.000176629j -0.0180284-0.00829969j -0.0102511-0.0174403j -0.0147149+0.0362666j -0.00268947+0.00943861j 0.0136573-0.0165033j 0.00105464+0.00144851j -0.00318318+0.000987675j 
-0.0167758+0.0160215j 0.0111319+0.00716444j 0.0122306-0.0089633j 0.00396278-0.0107039j -0.0184056-0.00856564j -0.00231691+0.00198897j -0.00768278+0.0194014j 0.0111867+0.00328514j 0.0227028+0.0217457j -0.00928798-0.00291181j -0.0183025+0.0147822j -0.00732337-0.00157313j -0.0168905-0.00292356j -0.00895222-0.00157978j -0.00242998+0.00753332j 
-0.0391079-0.00343364j -0.00133853+0.0165951j -0.0142852+0.0301855j 0.0129566-0.00246679j 0.0237008+0.0110584j 0.0136614-0.0086446j 0.0162193-0.0268446j -0.000435759+0.0185967j -0.00505552-0.00042703j 0.0175686-0.0274514j 0.00677481-0.00798218j 0.00685388+0.00268012j -0.030835-0.00652845j -0.0108552-0.00946045j 0.00395989+0.0099335j 
-0.021907-0.00174815j -0.00322586+0.00028484j -0.0102935+0.00877161j 0.00661057-0.0013794j 0.00869762+0.00785371j 0.00363741-0.00163255j 0.0140654-0.00496669j -0.00371608+0.00437452j 0.00158299-0.00242468j 0.0102708-0.0061437j 0.00596722-0.00317538j 0.0026745-0.00202947j -0.00518344-0.0104396j -0.00316017-0.00165621j -0.00251228+0.000240324j 
-0.00293875-0.0046526j -0.00196684+0.00269379j -0.00132909-0.00132455j 0.000809905+0.00187148j -0.000705924+8.74023e-06j 9.66589e-05+0.00273032j 0.00275714+0.00142989j -0.00172708+0.000655598j 0.0014393+0.00427099j 0.00065325+0.000168161j -0.00588365-0.002324j -0.00126551+0.00127509j -0.00100732-0.00311623j 0.00270275-0.00169378j 0.000340308+0.00188124j 
0.00145697-0.00477054j -0.00865659+0.00162079j 0.00513499-0.00801088j -0.00699317+0.00108313j 0.000482591-0.00327198j -0.0116151+0.00376285j -0.000736245+0.00611827j -0.00303339-0.00475029j -0.00343571+0.0108628j -0.00849511-0.00239197j -0.0109656-0.0165637j -0.00747537-0.00181665j 0.00476495+0.00448998j 0.0161033+0.00739385j -0.00464086-0.00880386j 
-0.0038631+0.0042902j 0.00195829-0.00128434j 0.00188603-0.000923543j -0.0014119-1.50427e-06j 0.00698468+0.000592876j -0.00338459+0.000213819j -0.00734684-0.00434521j -0.00112935-0.000203414j 0.000696611+0.00377943j -0.00803947-0.000172356j 0.00284236-0.0101706j 0.00217643-0.00254551j 0.00546985+0.0102718j 0.0045517-0.00123489j -0.0123678-0.0043439j 
0.000729923+0.00232622j 0.00547423-0.00580222j -0.0041669+0.00828164j 0.0110335+1.04902e-05j -0.00334856+0.0010369j 0.0181002-0.0052541j -0.000266634-0.00517173j -0.00110982+0.00822382j 0.00425572-0.0170838j 0.00946997+0.0100231j 0.00732456+0.0266195j 0.00579427-0.00232551j 0.000712066-0.00868396j -0.0186719-0.0160423j -0.00721067+0.00637475j 
-0.00195998+0.00330927j 0.00356539-0.00181j 0.00162005+0.00250306j -0.000893567-0.0010693j 0.00871526+0.00746662j 0.00377462-0.00306411j 0.0032621-0.00916118j -0.00155545-0.000690936j 1.92727e-05+0.00796299j -0.0044147+0.00189152j 0.00135385-0.00322012j 0.0029105-0.000442778j -0.000646119+0.0100386j 0.00283864-0.00199952j -0.00620405-0.00679721j 
0.00537944-0.00617302j -0.013085+0.00062627j 0.00799213-0.00139955j -0.00295234-0.00458272j -0.00938951-0.00701228j 0.00454526-0.00341164j 0.0134889+0.0182591j 0.0035304-0.000781364j 0.000608629-0.00930859j 0.0142593+0.00413699j -0.0166049+0.00894525j -0.0154595-0.00071684j 0.00242998-0.0232839j -0.00532504+0.0124121j 0.0193165+0.0114557j 
-0.00695672+0.00259345j 0.00389758+0.000426677j 0.00289126-0.00445545j -0.00842755+0.00496411j 0.00440945+0.00342678j -0.014029-0.00385171j -0.00614764+0.0186252j -0.000555287-0.00733804j 0.0162703+0.00133676j 0.0156875-0.00911529j -0.00689684-0.00795681j -0.00164518+0.00433406j 0.00430858-0.0120397j 0.0136581+0.00387871j -0.0030939+0.000152682j 
0.00217502+0.00542885j 0.0103993-0.00493576j -0.00286003+0.0078061j 0.00612717+0.00342094j 0.0053793+0.0129891j 0.00750755+0.00212688j 0.00461589-0.0180008j -0.00710272+0.000817683j -0.00800856+0.0077303j -0.0167104+0.00281671j 0.00979246-0.00181601j 0.0141764-0.00171043j -0.00526444+0.0193877j 0.00396515-0.0151654j -0.0110881-0.0162848j 
0.00307573-0.00320537j 0.00335687-0.000730947j -0.008717-0.0057017j 0.00664766+0.00581259j 0.000671329-0.00808j -0.00704489+0.00249519j -0.0120977-0.0198701j -0.00420276+0.00421413j 0.00487637-0.00284276j -0.00335035-0.00179503j 0.0102556+0.0188908j 0.0111853+0.00301732j -0.00106698+0.00193304j -0.00382968-0.0134557j -0.00510209-0.00428261j 
9.5607e-05-0.00181687j -0.00166916-0.000434879j 0.00672992+0.00464191j -0.00373761-0.0065972j 0.013953+0.0165599j 0.0143902-0.00948661j 0.0191249-0.0115048j -0.0005446+0.00113325j 0.00870379+0.0107542j 0.00648157+0.0103261j -0.0123093+0.0131053j -0.00521671+0.00259663j 0.00226184+0.00264711j -0.00172853+0.000733292j 0.00389709-0.00287224j 
0.00398515-0.00452375j -0.0184825+0.00161892j 0.00494037+0.00910752j 0.00695543-0.00775677j -0.00215037-0.0147685j 0.0199704+0.00917088j 0.01999-0.0113434j 0.000820365+0.0126008j -0.0155986-0.0188526j -0.0254836+0.00670892j -0.00301418+0.0090443j -0.0104476-0.00902798j -0.00374037+0.00486741j -0.0159324-0.000304834j 0.00807752+0.00734972j 
-0.000120232-0.00474904j -0.00103063+0.000820347j 0.0028387-0.00298224j -0.00348896-0.00251145j 0.0108654+0.00923159j 0.00630647-0.00906801j 0.0106645-0.0110769j -0.00153728+0.000924186j 0.0182538+0.0111804j 0.0127598+0.0105877j -0.0150576+0.0180886j -0.00416257+0.00526047j 0.00678401-0.00301502j -0.000581004-0.00245981j 0.00236905-0.000368173j 
0.00419507+0.00190979j 0.00518127-0.00476077j -0.000160734+0.00387444j 0.00438054-0.00297765j -0.00579853+0.0147707j 0.00438865+0.00309107j 0.00821608+0.00489137j -0.00144493-0.0026037j -0.0117879+0.0131678j -0.00744773+0.000570458j 0.00181845-0.0126885j 0.00444742-0.00410803j -0.00797936+0.0104564j 2.8539e-05-7.64771e-05j 0.00135477-0.00468753j 
-0.0194726+0.0140945j -0.00248781+0.0159689j 0.00959033+0.0257383j -0.0192999+0.00162823j 0.0193483-0.0043136j 0.0237866-0.00137206j 0.00754799+0.00608313j 0.00468503+0.00164331j 0.0016642-0.0330442j -0.00837627+0.00421836j 0.00612098-0.0115452j -0.0108138+0.00324668j 0.00879123+0.00176832j 0.0166495+0.00520703j -0.00639369-0.00784539j 
0.000234844-0.00367922j -0.00710176-0.00428437j -0.00181112-0.00233161j 0.00568988-0.00551891j -0.00118267-0.00126145j 0.00394999+0.0053351j 0.00715372-0.000710236j -0.00042968+0.00380957j -0.00115884-0.000517788j -0.00500792-0.00298414j -0.00512634+0.00272385j -0.00386113-0.00541742j -0.00602353-0.000189149j -0.0090486+0.00208828j 0.000876691+0.00586152j 
0.0004008+0.00109364j 0.000387639-0.000832829j -0.000860836+0.00348042j 0.00233468+7.03413e-05j -0.00308591+0.000493275j 0.000316069+0.00270048j 0.00133809+0.0033227j 4.56361e-05+0.000413661j -0.00742664-0.00350575j -0.00429345-0.00453386j 0.00554513-0.00591354j 0.0020216-0.00216807j -0.00548295+0.00178327j -0.00122368+0.000182765j 0.00141741+0.00024176j 
-0.0154102+0.0142006j 0.0128011+0.00439965j -0.00445987+0.0198286j -0.0102204-0.00226006j 0.00968658+0.0189898j 0.0170734-0.000374358j -0.000305878+0.0127804j 0.00403367-0.00377815j 0.012992-0.0127852j 0.00926996+0.00222667j 0.0115861-0.00478299j 0.00297573+0.00377749j 0.00254619+0.00151868j 0.00710726+0.00359202j -0.00251415-0.00526554j 
-0.000427327+0.00884143j 0.0189625-0.0145152j -0.000947234+0.0103585j 0.0119091-0.000619747j -0.006275+0.027315j 0.00899694-0.0108137j 0.0101861+0.0144384j -0.000544623-0.00423134j -0.00148624+0.00873354j 0.0221765-0.000699955j 0.00180344+0.00185725j 0.0122642-0.00120287j -0.00981494-0.00982317j -0.0125909-0.00751838j 0.00120448+0.0070995j 
0.00122047-0.000144164j 0.00361788+0.00366871j -0.0019238+0.00402451j -0.00119+0.000802339j -0.00192499+0.00422308j 0.00298365+0.00155503j -0.00197661+0.00320757j 0.0007341+0.000158117j 0.00167624-0.000315125j 0.00258767+0.00235515j 0.00242114+0.00178255j 0.00203364+0.00282849j 0.000761969+0.00237623j 0.000585697-0.00233625j 0.00287848+0.000665311j 
