-0.0549815-0j -0.00857174-0j -0.00663964-0j -0.00095835-0j -0.00606114-0j -0.00107147-0j -0.000714312-0j -8.9289e-05-0j -0.000618612-0j -0.000126274-0j -6.31368e-05-0j -7.44075e-06-0j -9.11302e-06-0j -5.88243e-07-0j -1.85279e-08-0j 
0.005608-0j -0.0411185-0j 0.00067723-0j -0.00929212-0j 0.000618224-0j -0.00513981-0j -0.00342654-0j -0.00130317-0j 6.30972e-05-0j -0.00122434-0j -0.000302866-0j -0.000145049-0j -0.000133004-0j -1.43489e-05-0j -6.33485e-07-0j 
-0.00566611-0j 0.0415446-0j -0.000684248-0j 0.00938842-0j -0.00062463-0j 0.00519307-0j 0.00346205-0j 0.00131667-0j -6.37511e-05-0j 0.00123703-0j 0.000306005-0j 0.000146552-0j 0.000134382-0j 1.44976e-05-0j 6.4005e-07-0j 
0.00323574-0j 0.00050446-0j -0.0371687-0j 5.64004e-05-0j 0.000356707-0j -0.00599808-0j 4.20384e-05-0j 5.2548e-06-0j -0.00696239-0j -0.00070688-0j -0.00106775-0j 4.379e-07-0j -0.000102566-0j -3.29298e-06-0j 1.0904e-09-0j 
-0.00046704-0j 0.00692159-0j -5.64004e-05-0j -0.0360036-0j -5.14863e-05-0j 0.000865199-0j 0.000576799-0j -0.0102804-0j -5.2548e-06-0j -0.0047439-0j 5.09823e-05-0j -0.00172548-0j -0.00104924-0j -0.000228148-0j -1.51433e-05-0j 
-0.00400403-0j -0.000624238-0j 0.045994-0j -6.97919e-05-0j -0.000441403-0j 0.00742224-0j -5.20198e-05-0j -6.50248e-06-0j 0.00861552-0j 0.00087472-0j 0.00132128-0j -5.41873e-07-0j 0.000126919-0j 4.07486e-06-0j -1.3493e-09-0j 
0.00233568-0j 0.000364139-0j -0.0268298-0j 4.0712e-05-0j 0.000257485-0j -0.00432964-0j 3.03449e-05-0j 3.79311e-06-0j -0.00502572-0j -0.000510253-0j -0.000770744-0j 3.16093e-07-0j -7.40358e-05-0j -2.377e-06-0j 7.8709e-10-0j 
0.000577932-0j -0.00856503-0j 6.97919e-05-0j 0.0445522-0j 6.3711e-05-0j -0.00107063-0j -0.000713752-0j 0.0127213-0j 6.50248e-06-0j 0.00587027-0j -6.30874e-05-0j 0.00213517-0j 0.00129836-0j 0.000282319-0j 1.87389e-05-0j 
-0.000337127-0j 0.00499627-0j -4.0712e-05-0j -0.0259888-0j -3.71648e-05-0j 0.000624533-0j 0.000416356-0j -0.00742077-0j -3.79311e-06-0j -0.00342432-0j 3.6801e-05-0j -0.00124551-0j -0.000757379-0j -0.000164686-0j -1.0931e-05-0j 
0.00228658-0j 0.000356483-0j 0.000276131-0j 3.9856e-05-0j -0.0361147-0j 4.45604e-05-0j -0.00854203-0j 3.71337e-06-0j -0.00368595-0j -0.000752391-0j 2.62575e-06-0j -4.4335e-05-0j 3.78994e-07-0j 2.4464e-08-0j 7.70542e-10-0j 
-0.000404214-0j 0.00296374-0j 0.00464317-0j 0.000669759-0j -4.45604e-05-0j -0.0352392-0j 0.000246979-0j 9.39299e-05-0j 0.000869752-0j -0.00839426-0j -0.00627313-0j 1.04549e-05-0j -0.00183337-0j -9.83782e-05-0j 4.56604e-08-0j 
