-0.0050601+0.0039271j 0.00401366+0.00439482j -0.00299791-0.000914338j -0.00290163+0.00370298j 0.000649073+0.00134544j -0.000535248-0.00106983j 0.000278775-0.00258276j 0.000662452-0.00209982j -0.0041444-0.00125066j 0.00125095-0.0033548j 0.000742703+0.00212147j 0.00415157+0.00255239j -0.00508489+0.00167859j -0.00182428-0.00205981j -0.00289983-0.000564028j -0.000629307+0.00160808j -0.00116277+0.0010602j 0.00215024-0.00143938j -0.000711803-0.00224722j 0.000764808-5.81762e-05j 0.000872143-0.00265947j 0.000379365+0.00255771j -0.000711678+0.00272022j 0.00135194-0.000581612j -0.0023007-0.000884511j 0.000404242-0.000288294j -0.000933202+0.000638194j -0.0034143+0.000208966j -0.00273479-0.00142944j -0.00209983+0.000199234j -0.00043628+1.7276e-05j -0.00370262-0.00385211j 0.0019847-0.0014879j 0.000697823-0.00093455j -4.05404e-05-0.0011233j 0.00220541+0.000274751j -0.00444163-0.00204031j 0.00440432-0.00148252j 0.00120743+0.0031309j 0.00169527-0.0011028j -0.000862709-0.000508563j 0.0022203+0.00201869j 0.00334214+0.000833453j -0.0017959-0.00190489j 0.00286619+0.00102315j 0.000366133+0.00125112j -0.00148604+0.000373526j 0.00276107-0.000795483j -0.00517633+0.00231854j -0.000510745+0.0016511j 0.00416639-0.000276795j -0.00291042+0.00116914j -0.00280195+0.000795677j -0.00107834+0.00086849j -0.000990978-0.000703249j -0.00140716+0.000245375j -0.00283521+0.00156684j 0.00144136+0.00267231j 0.000443325+0.00123339j -0.000780269+0.0024034j -0.00338604-0.00459049j -0.00442207-0.00117632j 0.0065854-0.00391913j -0.00287286-0.00397661j 0.00366309-0.000912755j -0.001622+0.00205365j -0.00644492-0.00220057j 0.00213535-0.00305471j 0.00321145-0.00223733j -0.000645878-0.00372615j 0.011044-0.0065464j -0.00838623-0.00948626j 
-0.00408296-0.00515351j -0.00456996+0.00450983j 0.000669048-0.00322788j -0.00364082-0.00237421j -0.000780617+0.000766955j 0.000818417-0.000748413j 0.00258434-0.000382515j 0.00231525+7.48896e-05j 0.00133391-0.00442267j 0.00328146+0.00162519j -0.00269993+0.000935292j -0.0027643+0.00491477j -0.00200999-0.00527538j 0.00190613-0.00199002j 0.000507169-0.00324249j -0.00211704-0.000976787j -0.00134099-0.00111177j 0.00160322+0.00248712j 0.00183653-0.00086661j -0.000487795+0.000694139j 0.00263243+0.00017135j -0.00288006+0.000924959j -0.00282558-0.000444848j 0.000555657+0.00106141j 0.000755815-0.00238678j 0.000268148+0.000492493j -0.000329499-0.00100942j -0.000131353-0.00380204j 0.00139293-0.00281774j 8.6247e-05-0.00192083j -0.000451429-0.000852299j 0.00367779-0.00407096j 0.00154109+0.00217403j 0.0010387+0.000932764j 0.000954264-0.000175973j -0.00078645+0.0018977j 0.00229099-0.00480046j 0.00145684+0.00372826j -0.00334137+0.000973008j 0.000608115+0.0012179j 0.000847214-0.00128357j -0.0030688+0.00160943j -0.00168991+0.0033786j 0.00214938-0.00210846j -0.0015304+0.00346365j -0.00146283+0.000710069j -0.00021862-0.0020969j 0.000702077+0.00318074j -0.00197522-0.00605183j -0.00214746-0.00105015j 0.000244253+0.00495997j -0.000946072-0.00335849j -0.00100661-0.00317105j -0.000783942-0.000394666j 0.00127469-0.000660373j -0.000187094-0.00141329j -0.00129236-0.00290621j -0.00324303+0.00159338j -0.00125801+0.00086159j -0.00311055-0.00103401j 0.00513001-0.00429724j 0.00119723-0.00477759j 0.00392834+0.00667634j 0.00435933-0.00278277j 0.000552844+0.00404385j -0.00226085-0.0014315j 0.00242835-0.00651072j 0.00280928+0.00185469j 0.00261408+0.00289878j 0.00360291-0.000889499j 0.00659961+0.0109614j 0.00988491-0.0086315j 
-0.000969619+0.00070018j 0.00203716+0.00203106j -2.60503e-05+0.0012964j 0.00191739-0.00175969j -0.000230352-0.00381745j -0.00110988+0.00105555j -0.00182329-0.000612355j -0.00286613-0.000935481j -0.00255663-0.00127055j 0.00134477-0.00051812j 0.00156655+0.00364896j 0.00299703+0.00261731j -0.00328604+0.00184254j -0.000964514-0.00130417j -0.00109592+0.000563756j -0.000758374+0.00260497j 0.00058569+0.00175601j 0.0013331-0.00116724j -0.000348105+0.00118586j -0.000473631+0.00398863j -0.0016996-0.000159043j 0.0012809+0.00282488j 0.000887054+0.00180078j -0.00142879+0.0004257j -0.000900977-0.000991702j -0.00113884+0.000911043j -0.000333473+7.91411e-05j -5.70351e-05-0.000551461j -0.00100188-0.00060638j -0.000480007-0.00255729j -0.0010004+0.000142209j -0.0028118-0.00335319j 0.000828162-0.00190427j 0.00115563-0.00293097j -0.000970478-0.000235804j 0.000734734+0.00191708j -0.0033983-0.00138898j -0.00256089-0.000318806j 0.000769037+0.00242644j -0.001239+0.00109737j -0.00218806-0.0010714j 0.00202267+0.00167791j 0.00164225+0.00244466j -0.00383604-0.00112785j 0.00337012+0.000510608j 0.00212352+0.000545277j -0.00102539+0.00140886j 0.000560771+0.00136675j -0.0005631-0.00369811j 0.00139718+0.00185796j 0.00172955+0.00152106j -0.00254109-0.00116619j 0.000287149+0.00130741j 0.00180141+0.000206651j 0.000227462-0.00186098j -0.00114185-0.00215242j 0.000822785-0.00346644j 0.00031632+0.00630653j 0.00225777-0.00212276j -0.000781129+0.00394973j -0.00363931-0.00351385j -0.0049497-0.000193474j 0.00107657-0.00144408j -0.00124663-0.00130208j -0.00176339+0.00291897j -0.00294968+0.00116331j -0.00140278-0.00312802j -0.0028677+0.000747925j -0.000136453-0.00571752j -0.00475131+0.000111124j 0.00161002-0.00100016j -0.00245081-0.0039434j 
-7.9798e-05+0.00220981j 0.00288688-0.00188791j 0.00156889-0.00131801j -0.00354435-0.00261585j -0.00564445+0.000359597j 0.000590796+0.0031198j -0.000354976+0.00056762j -0.000847857+0.00364154j -0.00111872+0.000774622j 0.000555151-0.000688611j 0.00332534-0.00297011j 0.00364694-0.00110848j 0.00155099+0.00291667j -0.00239762+0.00238173j 0.000691147-0.0016191j 0.00167855-0.00171705j 0.00357075-0.00169864j -0.0019016+0.00138558j 0.00381784+0.00100258j 0.00567105+0.00084813j -0.00128996+0.0015826j 0.00385021-0.00166273j 0.00112804-0.00258886j 0.000501657+0.00217691j -0.00278165+0.000728461j 0.0023696+0.00232196j -0.00179378-0.00278675j -0.0022144-0.00381182j -0.000604498+0.00193075j -0.00245309+0.000148969j 0.000398469+0.00216046j -0.00381641+0.00398856j -0.00156146-0.00109622j -0.00359739-0.000981605j -0.0011155+0.00109973j 0.0020594+0.000886395j -0.00219752-0.00130699j 0.000457151+0.00538834j 0.00230195-0.000625848j -0.000189087+0.0016491j -0.000838735+0.000656605j 0.00111658-0.001732j 0.00264025+0.000221875j -0.00102692+0.00366236j 8.07838e-05-0.000518945j 0.000486697+0.000607965j 0.000422292-0.00360309j 0.00294719+0.00284565j -0.00541561-0.00446541j 0.0020984-0.0025793j 0.00246663+0.000837468j -0.00147021+0.00177707j 0.00150028-0.00518103j 0.00154893-0.00161294j -0.00371774-0.000113431j -0.00329084+0.000684104j -0.00430201-0.00239637j 0.00862441-0.0024124j -0.00370377+0.00168573j 0.0016312+0.00288482j -0.00202615+0.00176216j -0.00100025+0.00340283j -0.000264515+0.00396233j 0.00158599-0.000959791j 0.00573268+0.00632516j 0.000700114+0.00463313j -0.00360156-0.00189633j 0.00250801+0.00682747j -0.0102449+0.0033826j 0.00112618+0.00907763j 0.000459172+0.00144038j -0.00326887+0.000735171j 
0.0018991-0.00147606j -0.00163241-0.00144981j -0.00163436-0.000190254j -0.00108128+0.00163189j 0.000401193+0.00239477j 0.0032401+0.000243203j -0.00215467+0.000841616j 0.00162883-6.83667e-05j -0.00166488+0.000604923j 0.000854052-0.000524108j -0.00227084+0.0014478j 0.00248239-0.00279523j 0.000591906+0.000724452j 0.00227289+0.00109055j -0.00314633+0.000579882j -0.00254923+0.00211924j -0.00137615-0.0019944j 0.00384483-1.07825e-05j -5.79831e-05-0.00342791j 0.00030545-0.00152466j 0.000421371+0.00123029j -6.36691e-05-0.000405381j -0.000515682+0.00104435j 0.00187316-0.0010543j -0.000102884+0.00339005j 0.000879403-0.00128309j -0.00347284+0.00351863j -0.00391865+0.0034019j 0.00121133-0.000134431j -0.000897942+0.000619761j 0.000416253-0.00116151j 0.000853565+0.00208289j -0.00212387+0.00138657j -0.00104496+0.00135j 0.000566353+0.00145132j 0.000906711-0.00205984j -0.00418631+0.0038777j 0.0018756-0.000952909j 0.000257059-0.00181296j 0.000637022+0.00178693j -0.00180248-3.45363e-05j -0.00184388+0.000274095j -6.67517e-05-0.000727493j 0.00228063+0.00097948j 0.00191502+0.000159392j 0.00362767-0.00159341j -0.00380228+0.0022499j 0.00256214-0.00158172j -0.00538132+0.000585448j -0.00380384-0.0010353j 0.00205205-0.00099544j 0.000978274-5.48446e-05j -0.00538322+0.00117936j 0.00131998-0.00163181j 0.00302929+0.00117708j -0.00153435+0.00345383j -0.00386077+0.000530684j -0.00352097-0.000705998j 0.00362539-0.000974446j 0.00387958+0.0011671j -0.0037102-0.000574604j -0.00112+0.00370353j 0.00330157-0.00185349j -0.00335636-0.00142049j 0.00507062-0.0033004j 0.00407934+0.00107531j -0.00447055+0.00319272j 0.00301135-0.00228222j 0.00391462+0.0047912j 0.00559408-0.000851148j 0.00067278-0.000161243j -0.000361046+0.00165218j 
0.00289944+0.00122815j -9.55507e-05-0.00261985j -0.000896216-0.00123542j -5.85021e-05+0.00168753j 0.000846905+0.00222891j 0.000762239+0.00103997j -0.000632971-0.00136176j 0.000890226+6.34581e-05j 0.000336332-0.000622846j 5.81927e-06+0.00136018j -0.0035051-0.00269182j -0.000511631+0.00137787j 0.000152693-0.00187682j 0.000562434+0.00297056j -0.0015431-0.00206858j -0.00433174-0.00240572j -0.00165921-0.00203428j 0.00170395+0.00395733j 0.000873089-0.00111548j -0.00118121-0.00330471j -0.000250766+0.00126869j -0.00233317-0.00232872j -0.00320254+3.45836e-05j 0.000180884+0.00142041j -0.00112889+0.000363824j 0.00132539-0.00221304j -0.00180571-0.00208721j -0.00336856-0.00146592j 0.00142786+0.000533109j 0.0011891-0.000279416j 0.000926668+0.000580556j 0.00122973+0.000583623j 0.000265636-0.00160597j 0.000221269+0.00092998j -0.00115446+0.000913157j 0.000570573+0.000972174j -0.00398637-0.00235989j 0.00255656-0.000715308j -0.00025047+0.000192333j -0.00229971+0.000393743j 0.000269442-0.00124838j -0.00398992-0.000313588j -0.000538426-0.000857549j -0.000401321-9.55033e-05j 2.7759e-05+0.00175236j 0.00132349+0.00290222j -0.00483308-0.00210485j 0.00413983-0.00101249j -0.00275602+0.000997981j -0.00115092-0.00284889j 0.0025805+0.000358793j -0.000491535-2.89015e-05j -0.00589013-0.00379939j -0.000587043+0.000126709j 0.000804033+0.00518046j -2.58936e-05-0.00175096j 0.00125095-0.000568181j -0.00316066-0.00762378j 0.00425217+0.00508272j -0.00130896+0.00235661j 0.00227491-0.00347316j -0.000165599-0.00349337j 0.00520848+0.00177171j 0.00135121-0.00347052j 0.00357418-0.000488847j 9.97038e-05-0.000129567j -0.000332965-0.00245732j 0.004769-0.000856219j 0.00151088+0.00733207j 0.00482983+0.000446762j 0.00102567+0.000258466j 0.000846476+0.000566744j 
0.00232066+0.00161006j 0.00020416+0.000663321j 0.00012847+0.00153313j 0.00363422-0.000640588j 0.000327123-0.00323611j -6.7143e-06+0.0024716j -0.00166483-0.00199381j -0.00137798-0.000592j 0.00123442-0.00495056j 0.00312932+0.000982044j -0.00133625+0.00198758j 0.00164351+0.00291748j 0.000233063+0.000523247j 0.00230809-0.000257358j 0.000383245-0.00149405j -0.000999508+7.46171e-05j 0.00116232+0.00367684j 0.00122513-0.000381055j 0.00337807+0.00358213j -0.00299246+0.00347517j -0.00163309-0.000528608j 0.000542541+0.0033079j 0.00128172+0.00139273j 0.000505314-0.00109504j -0.000387699-0.00116935j -0.0019213+0.000369117j -0.00207981-0.00330454j 0.000190282-0.000552676j 4.4667e-05+0.00207116j 0.00187266-0.00213926j -0.00053973+0.000515222j 0.0017756-0.00124152j 0.0015588-0.00353622j 0.0031455-0.00444146j 0.000555986-5.01197e-05j -0.00264146+0.00302103j 0.00152523-0.0058443j -0.00544151-0.00124448j -0.00214106+0.00189086j -0.00113218+0.00041379j -0.00212538-0.0033599j -0.00136289+0.00321757j -0.00187577+0.000823032j 0.000848164-0.000324327j 0.00120062+0.00188105j 0.000995874+0.00490337j -0.00134046-0.00154956j -0.00317936+0.0035671j 0.00301468-0.00271468j -0.00235856+8.27017e-05j -0.000307875-0.00024014j -0.00276194+0.000251222j 0.00197962+0.0012676j 0.00350758+0.00296927j 0.00365805-0.000477278j -0.000245861-0.00228971j 0.000110428-0.00372397j -0.0042221+0.00231978j 0.00091271+0.00120058j -0.00220516+0.00286214j -0.00127852-0.00584184j -6.06208e-05-0.00231397j 0.000483989-0.000781851j 0.00305892-0.00134993j -0.00099166+0.00545206j -0.000949606+0.00228945j 0.0022472-0.000951426j -0.00321262+0.000670483j 0.000192783-0.00258279j -0.00109759+0.00136753j -0.0026569-0.000563292j 0.00297434+0.000531865j 
0.00120999+0.000950355j 0.00196712-0.000824972j 0.00177979+0.000790544j 0.00135688-0.00173425j -0.000338828-0.000870622j 0.000151979-0.000279719j 0.00037556+0.000837049j -0.000714663-0.000543356j -0.00196603-0.000477942j -0.00118957-0.00125321j 0.00271582-0.000927972j -0.00192484-0.00119851j 0.00186711-0.00106303j -0.00203037-0.00121071j 0.000581683-0.000453968j 0.000706772-0.00246258j 0.00124-0.000309983j -0.00287543+9.99689e-05j 0.00161373-8.04857e-05j 0.000832677+0.000452842j -0.00105786-0.000210511j 0.00234646-0.000673059j -0.000670164-0.00252949j -0.00320813-0.00123474j -0.000498953-0.00115942j 0.00140434+0.00111113j 0.00180553+9.29224e-05j 0.00193546-0.0014629j 0.00133114+0.000952158j 0.000808889-0.000275107j -0.00079044+0.000337189j 0.000446396-0.000594987j 0.000677131+0.000170894j -0.0019956+0.000146694j 0.000183973-0.00135973j -0.000123618+0.00252352j -0.00099707-0.00493688j 0.0020097+0.00184627j -0.000358565+0.00061222j 5.46483e-05-0.00272737j 4.10094e-05-0.000384008j 0.000590867-0.000321247j -0.00118306+0.0015299j 0.000450518-0.0027529j -0.00265702+0.00143967j -0.00114128+0.000919061j 9.73505e-05-0.00159638j 0.00249078+0.00518442j 0.00169723-0.00247605j 0.000375808+0.00205508j -0.00329808+0.00229086j 0.00215533-0.00133912j 0.00225888-0.00391968j -0.000140263-0.00209056j -0.00153566-0.0024031j 0.00346842+0.000103928j 0.00146808+0.00191501j 0.00207336+0.000304336j -0.00140616+0.00351328j -0.0030167-0.000947082j 0.00104633+0.00181386j 0.00224499-0.0026148j -0.00273785+0.00397165j 0.00188403-0.000116284j 0.000977895+0.00128302j 0.00174151-0.00259785j 0.00526665+0.00014381j -0.00141767+0.00410999j -0.00376099-0.000174404j -0.000990165+0.0013705j -0.00303242+0.00258127j 0.00161842+0.00040237j 
0.00156794+0.00162602j 0.00254855+0.000509011j 0.000157057-0.00163791j 0.000339691+0.000794278j 0.000419287+0.0015301j -0.00183675+0.000107414j -0.000996823-0.00409745j 0.00134914-0.000622697j -0.00221437-0.00132934j -0.00365394-0.000842811j -0.00104311-0.00281696j -0.000256237+0.000700469j 0.000408898-0.00100342j -0.00330976-0.00181494j -0.000265378-0.00258944j -0.001811-0.00238332j 0.00360834-0.00210364j -0.00353292+0.00197429j 0.00160787-0.00347875j 0.00145641+0.00065346j -0.00288261-0.000986092j 0.00225434-0.000496363j -0.000489407-0.00114361j -0.00176852-0.000338256j -0.0030433-0.000327097j 0.00164739-0.000121951j -0.00166736+0.000488157j -0.000882851-0.00112454j 0.00258554+0.000513322j 0.00108168-0.000231916j 0.000383301-0.000123503j -0.000654698-0.000958249j -0.00244464-0.00147746j -0.00296072+0.00089786j -0.00134166-0.00166612j 0.00206063+0.00176025j -0.00362716-0.00469032j 0.00200727-0.00173196j 0.00235592+0.00202386j -0.00366962-0.00132828j 0.00225259-0.000659626j 0.00107098-0.000889429j -0.00217091+0.00224611j 0.000998789-0.000653277j -0.00255638+0.00198635j 0.000630383+0.00387365j -0.00118344-0.0015015j 0.00283311+0.000407612j 0.00289604+0.000447732j 2.29143e-05+0.000904746j -0.00223483-0.000132848j 0.0046931+0.00430578j -0.000347703-0.00245132j 0.00137441+0.00147534j -0.00282454+4.8282e-05j 0.000990794-0.000373895j 0.00309274+0.00343242j -0.000954039-0.00219901j 0.0021106+0.00553715j -0.00308913-0.000438144j 0.00126192-0.00115693j -0.00292104-0.00406167j -0.00327872-6.35811e-05j 0.00114121-0.00480301j 0.00407122-0.00426871j 0.00198944+0.00150016j 0.00142331-0.00218278j 0.00200872-0.000423929j -0.00248691+0.00086378j -0.000370927-0.00127716j -0.00223855-0.00430276j -0.00248065-0.00129556j 
0.000597541-0.00175972j -0.00133406-0.00106846j -0.00144599-0.00296977j -0.00222989+0.000402268j -0.000732623+0.00122327j -0.000941235+0.00266761j -0.00279808-0.00250061j -0.00117317-0.000237392j -0.000408271+0.00149045j -0.00222258+0.00272865j -0.00285322-0.00087163j 0.00116917+0.00246551j -0.00301744-0.00294133j 0.00024133+0.00281294j -0.000612372-0.00148135j -0.000317911+0.000747643j 0.00167476-0.00350831j 0.000700361+0.00575497j -0.00368133-0.00290471j 0.00221714+0.000474888j -0.00161622+0.000391109j 0.000522153-0.00501168j 0.00128954-0.000198878j 0.00251915+0.00364072j 0.000215129+0.0010214j 0.000766056-0.00111199j 0.00197819-0.00157414j 0.00120996+0.000243344j -0.00181955-0.00509806j -0.00147159-0.000431157j -0.00172002-0.000875918j -0.00246724-0.00214078j -0.00367148+0.00195572j 0.0009776+0.00299178j -0.00368403-0.00395481j 0.002455-0.00286527j -0.000381374-0.00059964j -0.006183-0.00360723j 0.000194085+0.000413314j -0.00186822+0.000312862j 0.00265042-0.0006884j 0.00142874-0.00463979j 0.00247209+0.00168109j -0.00129225-0.000870545j 0.00209103+0.00170373j 0.00189134+0.00360858j 0.00560414-0.00113851j -0.00293369-0.00337098j 0.00121579-0.00466701j 0.00535365+0.00223801j -0.000552717+0.00457173j 0.00102756-0.00168569j 0.00427752-0.00244255j 0.000894846+0.00283468j -0.00271206+0.00512155j -0.00369089-0.0048457j 0.00280178-0.00324207j 0.0042516+0.00197304j 0.00180253-0.0018213j -0.000277421+0.00253841j 0.00258504-0.000377646j -0.00307594+0.00103215j -0.00433177+0.00299465j -0.00213775+0.000372636j -0.00658534-0.00460746j -0.00297267-0.0011547j -0.00253991-0.00713926j 0.00146287-0.00265702j -0.00166127+0.00230445j -0.00183925+0.000377944j -0.00163051+0.00218621j 9.33708e-05-0.000232502j 
-0.00070715+0.00252062j 0.00134328+0.000973368j -0.0025776+0.0012791j 0.00138828+0.00359024j 0.00158628+0.00219742j 0.00207015+0.00249882j -0.00280704+0.00181272j 0.000695445-0.000524535j 0.00155127-0.00129193j 0.000619171+0.00216139j 0.000435148+0.00174865j 0.000728797-0.00223175j -0.00177539+0.0027399j 0.00169678-0.00210516j -0.000572533-0.000820197j 0.00288777+0.000172657j -0.00208928-0.00279572j 0.0025497-0.000559808j -0.00243768+0.00352339j 0.00181588-0.00475622j -0.000587944+0.00176462j -0.00364726-1.50086e-05j -0.000604985-0.00178824j 0.00334298-0.00420264j 0.00139438-0.00103554j -0.00014138-0.00119227j -0.000924194-0.00100396j 0.00142941+6.29899e-05j -0.00356557+0.00108081j 0.000858803+0.00259983j -3.08362e-05+9.5075e-05j -0.00028608+0.000869779j 0.00109972+0.00407025j 0.00412341-0.000262051j -0.00312297+0.00428026j -0.002163-0.00335573j 0.00272293-0.00343206j -0.00134362+0.00454415j 0.00118087-0.00102118j 0.00235124+0.00112543j 0.0029584-0.00661226j 3.70017e-05-0.00293963j 0.00225853-0.00290106j 0.000832966+0.000250031j -0.000993244-0.000952458j 0.00117524+0.000598124j 0.00137566-0.00529693j -0.00806513+0.00377648j -0.000131185+0.00307186j 0.00486328-0.00421971j -0.000285279-0.00165208j 0.00255023-8.01186e-07j 0.00137788-0.00305086j 0.00328124+0.000125009j 0.00171427+0.00257471j -0.00143279+0.00574212j 0.000127061-0.000134115j 0.0016914-0.00380275j -0.00275238-0.000866973j 0.000707791-0.00247333j 0.00321921-0.00310956j 0.00138336+0.00352456j -0.00226092+0.00591697j 0.000673452+0.00116368j -0.00704777+0.0016759j 0.00169119+0.00232265j -0.00523536+0.00551298j -0.00309283-0.00418557j 0.000870873+0.0010413j -0.00134995+0.000214057j -0.0012151-0.00245861j -0.00199037+0.00178674j 
